Orthogroup	Camelina_sativa	Odontarrhena_muralis
OG0000004	XP_010474601.1, XP_019095662.1	Om007G317080, Om007G314040, Om006G243290, Om001G014830
OG0000004	XP_010481107.1	Om004G154430, Om006G235390
OG0000004	XP_010463143.1	Om003G099290
OG0000004	XP_010451888.1, XP_019085420.1, XP_010431327.1, XP_010436659.1	Om004G151610, Om003G106990
OG0000004	XP_019089229.1, XP_010431244.1	Om007G313270
OG0000004	XP_010473903.1, XP_019087479.1, XP_010512944.1, XP_019099570.1	Om004G159780
OG0000004	XP_019087439.1, XP_010456766.1, XP_019092328.1, XP_010424493.1	Om008G320930
OG0000005	XP_019096542.1	Om001G028590, Om007G295980
OG0000005	XP_010474388.1, XP_010445324.1, XP_010418625.1, XP_019091186.1, XP_010412434.1, XP_010506918.1, XP_019092367.1, XP_010419080.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010495742.1, XP_010468814.1, XP_010436406.1, XP_010468349.1, XP_010431090.1	Om006G268760, Om008G339970, Om008G338760, Om003G092950, Om001G028900
OG0000005	XP_010507589.1, XP_010462909.1	Om005G208940
OG0000005	XP_019097316.1	Om003G097810
OG0000005	XP_010445339.1, XP_010474119.1, XP_010419407.1, XP_019089129.1	Om004G141520
OG0000005	XP_010462630.1	Om006G258880
OG0000005	XP_019096054.1, XP_019090183.1	Om005G225270, Om004G159630, Om007G288000, Om007G313780, Om003G127510
OG0000005	XP_010424733.1, XP_010446224.1, XP_019101780.1, XP_019085473.1	Om007G282810
OG0000005	XP_010484733.1, XP_010507009.1	Om007G307980
OG0000005	XP_010412393.1	Om007G309960, Om001G015550, Om009G364000, Om003G110250, Om003G100620
OG0000005	XP_010497088.1	Om005G226590, Om008G346020
OG0000006	XP_010484977.1, XP_010418557.1, XP_010496147.1, XP_010418993.1, XP_019085642.1, XP_019091014.1, XP_019094573.1, XP_010446804.2, XP_010416297.2, XP_010468712.1, XP_010471152.1, XP_010507227.1, XP_010445003.1, XP_010477729.2, XP_010436513.1, XP_010506961.1, XP_010489975.1, XP_019088922.1, XP_019096041.1, XP_019096210.1, XP_019097221.1, XP_010495224.1, XP_010418574.1, XP_010436820.1, XP_010445698.1, XP_019087537.1, XP_010456622.1, XP_010445750.1, XP_010424813.1, XP_010474418.1, XP_019100967.1, XP_010436701.1, XP_019087605.1, XP_010445262.1, XP_010463458.1, XP_010496974.1, XP_010418941.1, XP_019087475.1, XP_019082563.1, XP_010445969.1, XP_010481097.1, XP_010496849.2, XP_010501923.1	Om005G227740
OG0000007	XP_010437344.1, XP_010474056.1	Om005G219310
OG0000007	XP_010413204.1	Om006G244810, Om006G267880, Om011G365910, Om003G114390
OG0000007	XP_019101890.1	Om008G342300
OG0000007	XP_010472440.1, XP_010474031.1, XP_019099588.1, XP_019084310.1, XP_010451797.1, XP_010472251.1	Om006G268350, Om007G297600, Om005G190610, Om004G164520, Om006G258000
OG0000007	XP_010418622.1	Om008G348570
OG0000007	XP_019101891.1	Om006G268360, Om002G076040
OG0000007	XP_010418558.1, XP_010489824.1, XP_010495246.1, XP_019102134.1, XP_010436305.1	Om007G308670, Om005G224350
OG0000007	XP_019094484.1, XP_010469202.1	Om003G091350
OG0000008	XP_010451903.1, XP_019085491.1	Om007G307170
OG0000008	XP_019084270.1	Om007G308850
OG0000008	XP_019085490.1, XP_010451904.1, XP_010479356.2	Om009G364060
OG0000008	XP_010490304.1, XP_019092291.1, XP_019096470.1, XP_010468439.1, XP_010451611.1, XP_010480905.1, XP_010496603.1, XP_019092275.1, XP_010496514.1, XP_019085184.1, XP_010490409.1, XP_010451476.1, XP_010419054.1, XP_019093233.1, XP_010468775.1, XP_010490230.2, XP_019095563.1, XP_010419092.1, XP_010497028.1, XP_010480868.1, XP_010507052.1, XP_010445013.1, XP_010497042.1, XP_019100927.1, XP_010456611.1, XP_010468583.2, XP_010469634.1, XP_019100889.1, XP_010462780.1, XP_019097443.1, XP_010474186.1	Om007G284450, Om008G361640, Om007G313430
OG0000008	XP_010451669.1	Om004G146620
OG0000008	XP_019096488.1, XP_010419095.1, XP_010419093.1, XP_019087530.1, XP_010485185.1, XP_010480907.2, XP_010507054.1, XP_019098037.1, XP_010495527.1, XP_019087817.1	Om001G020680
OG0000008	XP_019086305.1	Om008G328770, Om004G146610, Om004G145690, Om006G232740, Om007G292230, Om004G145980, Om007G313990, Om006G260180, Om002G073680
OG0000010	XP_019100932.1, XP_010495824.1, XP_010496850.1, XP_010507594.1, XP_019090131.1	Om008G341420
OG0000010	XP_019086506.1	Om003G108840
OG0000012	XP_010424636.1, XP_010489881.1, XP_010417428.1, XP_010451510.1	Om004G146180
OG0000012	XP_010506933.1	Om003G105470, Om004G154660
OG0000012	XP_010495590.1	Om002G076390
OG0000012	XP_019092345.1, XP_010490056.1	Om007G305450
OG0000012	XP_010422803.1	Om003G106630
OG0000012	XP_010466661.1	Om004G153330, Om018G374000
OG0000012	XP_010430986.1, XP_010475417.1, XP_010484854.1, XP_010419111.1	Om007G307770
OG0000012	XP_010495582.1	Om008G342970
OG0000013	XP_010463083.1	Om008G350670
OG0000013	XP_010462887.1, XP_010489385.1	Om002G088760, Om001G031100, Om003G113450, Om006G258780
OG0000013	XP_010501858.1, XP_010501812.1	Om002G089030
OG0000013	XP_010497144.1	Om003G108850, Om006G268640
OG0000014	XP_010430806.1	Om005G227750, Om008G343700
OG0000015	XP_010480818.1, XP_010456599.1, XP_010497195.1	Om008G350280
OG0000015	XP_010488852.1, XP_010517126.1, XP_019101582.1, XP_019089569.1	Om006G271980
OG0000015	XP_010412816.1, XP_010470614.1	Om003G098660
OG0000015	XP_010481162.1, XP_019101915.1, XP_010490066.1, XP_010462823.1, XP_019089071.1, XP_010420917.1, XP_010490468.1, XP_010472228.1, XP_010445504.1, XP_010412881.1, XP_010463160.1	Om003G105790, Om004G154560
OG0000015	XP_010445386.1, XP_010491426.2, XP_010484947.1, XP_010513588.1, XP_010497078.1, XP_010495514.1, XP_010418845.1, XP_019084362.1, XP_010470588.1, XP_010430636.1, XP_010507136.1, XP_010418799.1, XP_010424225.1	Om002G088840
OG0000017	XP_010511936.1	Om003G112310, Om004G148090
OG0000017	XP_010490144.2, XP_010419513.2, XP_019093393.1, XP_010485084.1, XP_010445327.2, XP_019087487.1, XP_010473965.2, XP_010496135.2, XP_010417447.2, XP_010506998.1	Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900
OG0000018	XP_010484820.1, XP_010496602.2, XP_010518556.1, XP_010456610.1, XP_010445717.1, XP_010431070.1, XP_019091017.1, XP_010474695.1, XP_010507197.1, XP_010456729.1, XP_010484803.1, XP_010480828.1, XP_019094396.1, XP_019100756.1, XP_019092276.1, XP_019097496.1, XP_010456944.1, XP_010412713.1, XP_010436809.1, XP_010503779.1, XP_010424537.1, XP_010506965.1, XP_010425129.1, XP_010484789.1, XP_019100928.1, XP_010431203.2, XP_019096510.1, XP_010513446.2, XP_019086267.1, XP_010423747.1, XP_010425747.1, XP_010424409.1, XP_019097512.1, XP_019099607.1, XP_019097391.1, XP_010425255.1, XP_010419328.1, XP_010490194.1, XP_010426045.1, XP_010445495.1, XP_010451671.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010511144.1, XP_019096477.1, XP_010439761.1, XP_019089680.1, XP_010471217.1, XP_010434877.1, XP_010482610.1, XP_019088976.1, XP_019091495.1, XP_010451363.1, XP_010446058.1, XP_019091130.1	Om008G335480, Om007G284460, Om008G361630
OG0000019	XP_010424212.1, XP_019087271.1	Om006G268990
OG0000020	XP_010419309.1	Om010G364780, Om008G361310
OG0000020	XP_019086315.1, XP_010431521.1	Om008G361920
OG0000020	XP_010473639.1, XP_010480490.1, XP_019097480.1	Om008G361320
OG0000020	XP_010425095.1, XP_010445680.1, XP_010473999.1	Om007G309390
OG0000021	XP_010463070.1, XP_010481219.1, XP_010456454.1, XP_010424514.1, XP_019089179.1, XP_019082748.1, XP_019096508.1, XP_019085542.1, XP_019095265.1, XP_010468638.1, XP_010446081.1, XP_010468560.1	Om005G226540, Om001G020790
OG0000021	XP_010424688.1, XP_010418986.1	Om001G038730
OG0000021	XP_010471472.1, XP_019085419.1, XP_019087289.1, XP_010412606.1	Om008G331340
OG0000021	XP_010490455.1	Om002G057270
OG0000021	XP_010424593.1, XP_019089103.1, XP_010424837.2	Om001G020780, Om001G006810, Om002G059070
OG0000023	XP_010439188.2, XP_010433919.1	Om001G010400
OG0000023	XP_019089325.1, XP_010433927.1, XP_019086460.1	Om001G010360, Om001G009290
OG0000023	XP_019089721.1	Om008G351580
OG0000023	XP_019084079.1, XP_019090217.1, XP_010422102.1	Om008G351640, Om008G351650
OG0000023	XP_010418084.1, XP_010439216.1	Om001G010200
OG0000023	XP_010439191.1, XP_019086469.1	Om001G010350
OG0000023	XP_010448752.1, XP_010439208.1, XP_010433929.1, XP_019088139.1	Om001G010250
OG0000023	XP_019087878.1	Om001G011570
OG0000024	XP_010478711.1, XP_010480712.1, XP_010475131.1	Om008G342080, Om001G017150
OG0000024	XP_010430731.1, XP_010512875.1, XP_010451855.2, XP_010423573.1, XP_010490387.1, XP_010423713.1, XP_010518554.1, XP_010474136.1	Om001G030080, Om007G305000
OG0000025	XP_010446183.1, XP_010450001.1, XP_010436592.1, XP_010440401.1, XP_019087714.1, XP_010436629.2, XP_010451562.1	Om002G073490, Om002G073430
OG0000025	XP_010446107.1, XP_010475504.1, XP_010446108.1, XP_010448142.1	Om003G114490, Om003G114450
OG0000026	XP_010507228.1, XP_010495239.1, XP_010495240.1	Om002G080990
OG0000027	XP_010480750.1, XP_010480482.1	Om007G316890
OG0000028	XP_010431039.1, XP_010501650.1	Om001G022770
OG0000028	XP_019090727.1	Om007G308810
OG0000029	XP_010435359.1, XP_019099915.1	Om008G343780
OG0000029	XP_010468539.2, XP_019100867.1, XP_019096310.1, XP_019084297.1, XP_019095473.1, XP_019092371.1, XP_019091545.1	Om001G020560, Om002G078670, Om007G309080, Om007G298320
OG0000029	XP_010496858.1	Om003G119560
OG0000030	XP_010506956.1, XP_010506954.1, XP_010412394.1	Om011G364950
OG0000030	XP_010445645.1, XP_010462855.1	Om001G018460, Om005G215420, Om004G165210
OG0000030	XP_010424457.1	Om008G355010
OG0000030	XP_010412443.1, XP_019084211.1, XP_010501749.1, XP_010490052.1, XP_010468592.1, XP_019098046.1, XP_010470910.1, XP_010431219.1, XP_010507568.1, XP_010480984.1, XP_010501571.1, XP_019092230.1, XP_010513486.1, XP_010473769.1, XP_010513423.1, XP_010424173.1, XP_019083211.1, XP_010424695.1, XP_010481147.1, XP_019099771.1	Om005G226380
OG0000031	XP_010458700.1	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850
OG0000031	XP_010453827.1, XP_019084725.1, XP_010492576.1	Om006G252510
OG0000031	XP_010447152.1, XP_010436064.1	Om007G317990
OG0000031	XP_010504570.1, XP_010465692.1, XP_019096254.1	Om002G063040
OG0000031	XP_010448208.1, XP_010438694.1, XP_010433436.1	Om001G018890
OG0000032	XP_010430682.1	Om008G348900
OG0000032	XP_010445555.1, XP_010424066.1, XP_010424166.1, XP_010462614.1, XP_010489839.1, XP_010430681.1	Om008G348910
OG0000033	XP_010448753.1, XP_010439209.1, XP_010433941.1	Om001G010240
OG0000033	XP_010418085.1, XP_010448756.1, XP_010439218.1	Om001G010210
OG0000033	XP_010439201.1, XP_019089065.1, XP_010448744.1, XP_010492474.1, XP_010453750.1, XP_019089320.1, XP_010439192.1, XP_019086470.1, XP_010439195.1, XP_019088941.1, XP_010448766.1, XP_010473582.1, XP_010418366.1, XP_010430440.1, XP_010439226.1, XP_010439227.1, XP_010448760.1, XP_019087864.1, XP_010448759.1, XP_010433935.1	Om001G011550
OG0000033	XP_019088150.1, XP_019089518.1	Om001G007120
OG0000033	XP_010433930.1, XP_010448768.1, XP_019087874.1	Om001G010110
OG0000034	XP_010450460.1	Om010G364590, Om008G356530, Om001G014760
OG0000034	XP_019094521.1, XP_019090430.1, XP_010495589.1, XP_010451640.1, XP_019082481.1	Om003G107450
OG0000034	XP_010477952.1	Om008G350440, Om004G148920
OG0000034	XP_019086739.1	Om003G111610
OG0000034	XP_010494867.1	Om007G303110, Om003G111210, Om003G106810, Om001G013580, Om001G019560
OG0000034	XP_010422636.1	Om005G219960, Om002G081730
OG0000034	XP_019100729.1	Om002G079430
OG0000034	XP_019094880.1	Om009G362950
OG0000035	XP_010421893.1, XP_019082535.1, XP_019094365.1, XP_010468111.1, XP_010495953.1	Om006G273920, Om002G042810
OG0000035	XP_010418688.1, XP_010510047.1, XP_010510053.1, XP_010473899.1, XP_010473891.1, XP_010444605.1, XP_010485320.1	Om007G280220, Om007G279280, Om006G269650, Om008G331040
OG0000035	XP_019082534.1, XP_010513136.1, XP_010430751.1, XP_019099592.1, XP_010510111.2, XP_019100801.1, XP_010418693.1, XP_010418694.1, XP_010513131.1, XP_010473897.1, XP_010418692.1	Om004G132400, Om008G334460, Om007G279790
OG0000035	XP_010513763.1, XP_010513762.1	Om003G126360, Om003G126370
OG0000036	XP_010485044.1, XP_010468544.1	Om005G184480
OG0000037	XP_010436765.1, XP_010501854.1, XP_019092352.1	Om008G355590
OG0000037	XP_019084216.1, XP_019101934.1	Om001G018180
OG0000037	XP_019087549.1, XP_010484894.1, XP_010490134.1, XP_010412990.1, XP_010518640.1	Om005G188070
OG0000037	XP_019096539.1	Om001G014920
OG0000037	XP_019089269.1	Om002G074010
OG0000037	XP_019085550.1, XP_019082566.1, XP_019082578.1, XP_019087633.1, XP_019099682.1	Om006G267090
OG0000038	XP_010507624.1, XP_010512960.1, XP_010509052.1, XP_010412781.1, XP_010502501.1, XP_010427246.1	Om005G196570, Om004G131590
OG0000038	XP_010460250.2, XP_019094444.1, XP_010462884.1	Om003G091800
OG0000038	XP_010451456.1, XP_019086710.1, XP_010412673.2, XP_010473935.1, XP_010513180.1, XP_010424281.1, XP_010495458.2, XP_010495456.1	Om006G262290
OG0000038	XP_019087882.1	Om001G029210
OG0000038	XP_019092169.1	Om002G053860, Om001G005520
OG0000039	XP_010481168.1, XP_010456792.1, XP_010436889.1, XP_010495798.1, XP_010451634.1, XP_019097426.1, XP_010424316.1	Om008G321840
OG0000039	XP_010418877.1, XP_019096217.1, XP_010481178.1	Om006G250590, Om002G057780
OG0000040	XP_010462901.2, XP_010462898.1, XP_010477981.2, XP_019091238.1, XP_010499061.1, XP_010462936.2, XP_010462910.2, XP_010506941.1, XP_010481243.1	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	XP_010446114.1, XP_019096373.1	Om007G309130
OG0000040	XP_019099931.1, XP_010431180.1, XP_019099946.1	Om008G328570
OG0000040	XP_010489955.2	Om002G067320
OG0000040	XP_019100742.1	Om008G332860
OG0000042	XP_019094451.1, XP_019083342.1	Om004G177160
OG0000043	XP_019093255.1	Om007G304750
OG0000043	XP_010419011.1	Om002G089060
OG0000046	XP_010435808.1, XP_010441031.1, XP_019089248.1	Om006G241220
OG0000046	XP_010439880.1, XP_010412987.2, XP_010439882.2	Om001G001860
OG0000046	XP_019083220.1, XP_019100936.1	Om005G206750
OG0000047	XP_010462847.1, XP_010501825.1	Om006G238470
OG0000047	XP_010474442.1	Om006G268590, Om001G028180
OG0000047	XP_010506977.1	Om007G295630
OG0000047	XP_010474142.1	Om002G077780
OG0000047	XP_010470520.1	Om005G225040, Om001G020530
OG0000048	XP_019092533.1, XP_010485741.1	Om002G045390
OG0000048	XP_010514749.1, XP_010463845.1, XP_010485737.1	Om002G045400
OG0000048	XP_019083866.1, XP_019097998.1	Om007G296190, Om007G296250
OG0000049	XP_010466315.1, XP_019085488.1, XP_010497180.1, XP_019087596.1, XP_019082552.1, XP_010496781.1, XP_019095576.1, XP_019087652.1, XP_010490036.1, XP_010468379.1, XP_010479820.1, XP_019100970.1	Om002G080850
OG0000050	XP_019085507.1, XP_010430776.1, XP_010497024.1, XP_010445564.1, XP_019098324.1	Om007G308990
OG0000050	XP_019096831.1	Om006G268560
OG0000050	XP_010430727.1	Om008G341390, Om005G201890, Om005G219290
OG0000052	XP_019098849.1, XP_010457379.1, XP_019094361.1, XP_019094954.1, XP_010475218.1	Om005G179650, Om008G361390, Om005G180640
OG0000052	XP_010506074.1, XP_019101977.1, XP_010508568.1	Om008G354070, Om008G326640
OG0000052	XP_010413017.1	Om008G326600
OG0000052	XP_019100718.1, XP_019102056.1	Om008G326590
OG0000052	XP_019100716.1, XP_019100715.1, XP_019099796.1, XP_019101979.1, XP_019099795.1, XP_019100717.1, XP_019101978.1	Om008G326580
OG0000053	XP_010415481.1	Om002G081910, Om001G013510, Om007G303670, Om001G005250, Om003G102410, Om005G223530, Om003G110840, Om001G030740, Om005G223990, Om005G212830
OG0000054	XP_010475682.1	Om008G359460, Om008G361290
OG0000054	XP_010445679.1, XP_010442704.1, XP_010497389.1	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320, Om005G214240, Om002G057290, Om001G013850
OG0000055	XP_010419456.1	Om005G224080
OG0000055	XP_010419451.1, XP_010473417.1, XP_010473416.1, XP_019082750.1, XP_010430231.1, XP_010430224.1, XP_010418173.1, XP_010473415.1, XP_010473414.1, XP_010430223.1, XP_010418172.1	Om008G361740, Om008G332920, Om003G120530, Om005G198120
OG0000057	XP_010489359.1, XP_010515149.1	Om004G172320, Om008G335030, Om004G172300
OG0000058	XP_019097515.1, XP_010495728.1	Om006G269070, Om006G268950, Om004G151670
OG0000058	XP_010463383.1	Om006G251390, Om004G159610, Om008G340000, Om005G225280, Om006G268750, Om004G160530
OG0000058	XP_010430899.1	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000059	XP_019094476.1	Om001G008500
OG0000061	XP_010440978.1	Om003G100910
OG0000061	XP_019095567.1, XP_010495603.1, XP_019099635.1, XP_019086243.1, XP_010474285.1, XP_010436886.1, XP_010474078.1, XP_019092366.1, XP_019086241.1, XP_010436697.1, XP_019101952.1, XP_019097457.1, XP_019091169.1, XP_019092479.1, XP_019096239.1, XP_019095788.1, XP_019091550.1, XP_019087541.1, XP_010501907.1, XP_010462790.1, XP_010480815.1, XP_019089329.1, XP_010436473.1, XP_010456870.1	Om006G238480
OG0000061	XP_019082651.1, XP_019085368.1, XP_019086362.1, XP_010424661.1, XP_019091072.1, XP_019084275.1, XP_019096344.1, XP_019096335.1, XP_019082519.1, XP_019098295.1, XP_019099672.1, XP_019082727.1	Om003G106600, Om008G345470, Om008G347220
OG0000062	XP_019100816.1, XP_010476531.1	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320
OG0000064	XP_019088762.1, XP_010446406.1, XP_019086777.1	Om001G041080
OG0000064	XP_010497340.1	Om008G358570, Om002G083120, Om002G083140
OG0000065	XP_019098326.1, XP_019098351.1, XP_019098390.1, XP_019099627.1, XP_019097476.1, XP_019100901.1, XP_019099563.1, XP_019094561.1, XP_019094562.1, XP_019089054.1	Om006G267840, Om005G217710
OG0000065	XP_019090145.1, XP_019097467.1	Om005G217720
OG0000065	XP_010501810.1	Om006G268440
OG0000065	XP_019089233.1	Om006G263980
OG0000065	XP_010422526.1, XP_010480845.1, XP_010496878.1, XP_010501916.1, XP_010473931.1	Om007G310120
OG0000066	XP_010437129.1, XP_010453132.1, XP_010491788.1, XP_010431986.1, XP_010431988.1, XP_010419651.1, XP_010480248.1, XP_010488359.1, XP_010471674.1, XP_010428586.1, XP_010466628.1, XP_010447175.1	Om004G164550
OG0000066	XP_010425488.1, XP_010484375.1, XP_010502711.1, XP_010475747.1, XP_010458200.1, XP_010463183.1, XP_010514443.1, XP_010489841.1, XP_010444536.1	Om004G165570
OG0000067	XP_010452237.1, XP_010423775.1, XP_019097289.1, XP_010490843.1, XP_019084545.1, XP_019097292.1, XP_010424780.1, XP_010490972.1	Om004G137760
OG0000067	XP_010491460.1, XP_019084672.1	Om004G163960, Om004G163910, Om001G022040, Om004G163900
OG0000069	XP_019089848.1, XP_010456900.1	Om005G212060
OG0000070	XP_010462765.1, XP_010412662.1, XP_010412664.1, XP_010496096.1, XP_019089253.1, XP_019092323.1, XP_019097462.1, XP_019089247.1	Om008G344650
OG0000070	XP_019082595.1	Om005G218350
OG0000070	XP_019092317.1, XP_019091077.1, XP_019096116.1	Om005G215790
OG0000070	XP_019089192.1	Om007G307520, Om004G146520
OG0000071	XP_019086014.1, XP_019087671.1, XP_010426617.1, XP_010450226.1, XP_010514363.1	Om001G016290, Om004G163830
OG0000071	XP_010426473.1, XP_010416947.1	Om008G360280, Om004G166900
OG0000072	XP_019092259.1, XP_019082981.1, XP_010480955.1, XP_019094608.1, XP_019099613.1, XP_019085388.1, XP_019089441.1, XP_019089444.1, XP_010445263.1, XP_019089175.1, XP_019097535.1, XP_010480982.1, XP_019089388.1, XP_019101047.1, XP_010480771.1, XP_019087491.1, XP_019092555.1, XP_010498960.2, XP_019097842.1, XP_019094512.1, XP_019098282.1, XP_010455605.1, XP_010468370.1, XP_019087456.1, XP_019085117.1, XP_019101294.1, XP_010513333.1, XP_010436696.1, XP_010484918.1, XP_019098356.1, XP_010431026.1, XP_010468511.1, XP_010518462.1, XP_019097833.1, XP_010450472.2, XP_010424456.1, XP_019098111.1, XP_019090345.1, XP_010421088.1, XP_019086540.1, XP_019093688.1, XP_010496614.1, XP_010431325.1, XP_019093303.1, XP_019099565.1, XP_010514808.1, XP_010467138.1, XP_010419836.1, XP_010445669.1, XP_010501700.1	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000072	XP_019097510.1	Om007G308740, Om006G246100, Om002G077420, Om005G220330, Om010G364650, Om003G106210, Om003G102400, Om010G364730, Om001G017210, Om008G353090, Om003G109200
OG0000074	XP_010477663.1	Om004G144350
OG0000074	XP_010477661.1, XP_019095155.1	Om004G143980
OG0000074	XP_010510745.1, XP_019095156.1, XP_010477657.1, XP_019097182.1	Om004G144100
OG0000074	XP_019099169.1, XP_010477662.1	Om004G144220, Om004G144230
OG0000074	XP_019094215.1, XP_019091039.1, XP_019099162.1	Om004G143840
OG0000075	XP_010490137.1, XP_010468500.2	Om008G356700, Om004G132620, Om001G003590, Om001G003700
OG0000075	XP_010495208.1, XP_019084194.1, XP_010492457.1, XP_010420351.1, XP_010495227.2, XP_019088045.1, XP_010447293.1, XP_010432619.1	Om005G194550
OG0000075	XP_010501637.1, XP_010462958.1, XP_010480708.1, XP_010477784.1, XP_010480648.2	Om008G342390, Om001G025890, Om001G025920
OG0000076	XP_010426407.1	Om002G087760
OG0000076	XP_019085577.1, XP_010431293.1, XP_010431290.2, XP_019082473.1	Om006G255670
OG0000076	XP_010418929.2, XP_019100897.1, XP_010418932.1, XP_010507020.2, XP_019100094.1, XP_010425426.1, XP_010502642.1, XP_010514366.1, XP_010430778.1, XP_019085408.1, XP_010440300.1, XP_019085462.1, XP_019101817.1, XP_010502644.1	Om006G242520
OG0000076	XP_010502638.1, XP_010425425.1	Om003G090370
OG0000077	XP_019086927.1	Om001G035000
OG0000077	XP_010431932.1, XP_019087113.1, XP_010446508.1	Om001G033890
OG0000077	XP_010446504.1, XP_010431928.1	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490
OG0000077	XP_019100856.1	Om005G195310
OG0000079	XP_010512114.1, XP_010512120.1	Om003G122890, Om003G122910, Om003G122930, Om003G122940
OG0000079	XP_010435737.1	Om003G123020
OG0000079	XP_010512106.1, XP_010504853.1	Om003G122810
OG0000079	XP_019099951.1	Om003G122730
OG0000079	XP_010516541.1, XP_010469219.2	Om003G122880, Om003G122870
OG0000080	XP_019084383.1, XP_010452572.1, XP_010436712.1	Om004G135430
OG0000080	XP_010448996.1, XP_010481076.1, XP_010495296.1, XP_010434141.1, XP_010451304.1	Om001G013570
OG0000080	XP_019091030.1, XP_010510427.1, XP_010414309.1, XP_010480591.2, XP_019100817.1, XP_010491240.1	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	XP_010463253.1	Om001G032270
OG0000081	XP_010501884.1, XP_010479216.1, XP_010481101.1, XP_010501948.1	Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470
OG0000081	XP_019082655.1, XP_010431469.1	Om003G096460
OG0000081	XP_010495264.1, XP_010495265.1, XP_010495267.1, XP_010495269.1, XP_010495266.1, XP_019083858.1, XP_019090062.1	Om005G184670, Om005G184660
OG0000082	XP_010495419.1, XP_010412622.1, XP_010513329.1, XP_019082565.1	Om006G274800
OG0000082	XP_010412616.1, XP_010446172.1, XP_010468697.1, XP_010412581.1, XP_010451347.1, XP_010447993.1, XP_010490164.1, XP_010497085.1, XP_010418794.1, XP_010468244.1, XP_010451150.1, XP_010425644.1, XP_010478154.1, XP_010485018.1, XP_019096815.1, XP_010424226.1	Om008G349260
OG0000082	XP_010495389.1, XP_010436367.1, XP_019087493.1, XP_010451106.1, XP_010412437.1	Om007G305200, Om007G305330
