Orthogroup	Camelina_sativa	Brassica_napus
OG0000002	XP_010451602.1, XP_010468898.1, XP_010495427.1, XP_010480610.1, XP_019089215.1, XP_010451170.2, XP_010451603.1, XP_010424741.1, XP_010496006.1, XP_010496846.1, XP_010456559.1, XP_010480911.1, XP_010424499.1, XP_019089153.1, XP_019085481.1, XP_019089100.1, XP_010451318.1, XP_010451667.1	XP_048624137.1, XP_048605110.1, XP_013678027.1, XP_013699413.2, XP_048605922.1, XP_013704005.2, XP_013705046.2, XP_013743402.2, XP_022554443.2, XP_022557545.2, XP_048602403.1, XP_048603537.1, XP_048604763.1, XP_048605599.1, XP_048606467.1, XP_048606492.1, XP_048608321.1, XP_048613262.1, XP_048614401.1, XP_048615840.1, XP_048618038.1, XP_048621685.1, XP_048622894.1, XP_048619508.1, XP_048623072.1, XP_048624199.1, XP_048624223.1, XP_048624554.1, XP_048619988.1, XP_048604876.1, XP_022564570.2, XP_022557418.2, XP_048605038.1, XP_048599943.1, XP_013739462.1, XP_013673932.1, XP_048622631.1, XP_013669043.1, XP_048599750.1, XP_048611618.1, XP_022558122.1, XP_013689755.1, XP_013721006.1, XP_013719469.1, XP_013680020.1, XP_048604981.1, XP_013700214.1, XP_013751912.1, XP_013658791.1, XP_048622703.1, XP_013673642.1, XP_048598070.1, XP_048622695.1, XP_022568272.1, XP_048619908.1, XP_048605843.1, XP_048611539.1, XP_013704325.2, XP_013745790.2, XP_048605726.1, XP_022566326.2
OG0000003	XP_010480943.1	XP_048630494.1
OG0000003	XP_019098106.1	XP_022575815.1, XP_048599772.1
OG0000003	XP_010412456.1	XP_013745520.2
OG0000003	XP_010467548.1	XP_048623767.1, XP_048617123.1, XP_048613209.1, XP_013650755.2, XP_048629524.1, XP_048627545.1, XP_048599996.1, XP_048611684.1, XP_048604999.1, XP_048605785.1, XP_048605458.1, XP_013717832.1
OG0000003	XP_010468230.1	XP_048628762.1, XP_048628164.1, XP_048630693.1
OG0000003	XP_010456694.1	XP_048622366.1
OG0000003	XP_010445304.1	XP_013658381.1, XP_013751798.1
OG0000003	XP_010468759.1	XP_048612100.1
OG0000003	XP_010451581.1	XP_048627963.1
OG0000003	XP_010484749.1, XP_010470568.1	XP_048629521.1, XP_048629519.1, XP_048620066.1
OG0000003	XP_019098361.1	XP_013688944.1, XP_048631221.1, XP_048629910.1, XP_048628610.1, XP_048628617.1, XP_048611574.1
OG0000003	XP_010485042.1	XP_048630645.1, XP_013669098.1, XP_048611542.1
OG0000003	XP_019089029.1	XP_048628470.1
OG0000004	XP_010495244.1, XP_010495165.1	XP_048593472.1, XP_048633069.1
OG0000004	XP_010425346.1, XP_010490159.1, XP_010419021.1	XP_013720023.2, XP_048605758.1, XP_048613516.1
OG0000004	XP_010481107.1	XP_048630790.1, XP_048635080.1
OG0000004	XP_010463143.1	XP_048591457.1
OG0000004	XP_019097419.1, XP_010445866.1, XP_010513025.1, XP_019093315.1, XP_010419097.1	XP_048599890.1, XP_048622927.1, XP_048598122.1, XP_048626290.1, XP_013709134.2, XP_022562623.2
OG0000004	XP_019087479.1, XP_010512944.1, XP_019099570.1	XP_013709365.2, XP_013689957.1
OG0000005	XP_010481118.1	XP_013673764.3, XP_048622638.1, XP_013739679.2, XP_013729746.2
OG0000005	XP_019097316.1	XP_048590917.1, XP_013738879.2, XP_022564438.1
OG0000005	XP_010424774.1, XP_019085342.1	XP_048626850.1, XP_013665497.1, XP_013709689.1, XP_048605197.1, XP_048611727.1, XP_048596344.1
OG0000005	XP_010468460.1	XP_048637311.1, XP_048621840.1, XP_048630649.1, XP_048613426.1, XP_048591270.1, XP_048633020.1, XP_048606173.1, XP_048620322.1, XP_022553759.1, XP_013739997.1, XP_013722776.3, XP_048593504.1, XP_013728385.1, XP_048596130.1, XP_048626384.1, XP_022559081.2
OG0000005	XP_019096054.1, XP_019090183.1	XP_048604677.1, XP_013699975.1
OG0000005	XP_019085473.1	XP_048608242.1
OG0000005	XP_010412393.1	XP_048611997.1
OG0000006	XP_019086691.1	XP_048622592.1
OG0000006	XP_019099816.1, XP_010463256.1	XP_013747307.1
OG0000006	XP_010478660.1, XP_019084295.1	XP_048603704.1, XP_048596481.1
OG0000006	XP_010424794.1	XP_048611470.1, XP_048604740.1, XP_013704285.1
OG0000006	XP_019093691.1, XP_010501166.1, XP_010424263.1, XP_010495913.1, XP_019101696.1, XP_010513731.1, XP_019087470.1, XP_010507724.1	XP_013694123.2, XP_048595263.1, XP_048596256.1, XP_048600198.1, XP_048632513.1, XP_022548161.2, XP_048607705.1, XP_048600483.1, XP_048605783.1, XP_048608223.1, XP_048610731.1, XP_048608167.1, XP_048633194.1, XP_048595740.1, XP_048608477.1, XP_048634500.1, XP_048595950.1, XP_048591706.1, XP_048599362.1, XP_048599195.1, XP_048633886.1, XP_048633566.1, XP_022550583.2, XP_048623214.1, XP_048623269.1, XP_022561816.2, XP_048599680.1, XP_048596122.1, XP_048611876.1, XP_048604684.1, XP_048598045.1, XP_048599957.1, XP_048634673.1, XP_048627686.1, XP_048596592.1, XP_048598128.1, XP_048599668.1, XP_048623622.1, XP_048623620.1, XP_048604456.1, XP_048596576.1, XP_048593931.1, XP_048592647.1, XP_022545293.2, XP_048598665.1, XP_048637663.1, XP_022542942.2, XP_022546681.1, XP_048608453.1, XP_048635919.1, XP_048633777.1, XP_022553853.1, XP_048618793.1, XP_048615634.1, XP_048636544.1, XP_048618843.1, XP_048595865.1, XP_048606283.1, XP_048591073.1, XP_048605393.1, XP_022545844.2, XP_048635111.1, XP_013720746.1, XP_048596555.1, XP_048605381.1, XP_048605321.1, XP_048602103.1, XP_048613007.1, XP_048602202.1, XP_048617000.1, XP_013670433.2, XP_048638605.1, XP_048637581.1, XP_048612088.1, XP_048594681.1, XP_048611448.1
OG0000006	XP_010495651.1	XP_048620254.1
OG0000006	XP_010431602.1	XP_048637522.1, XP_048610064.1
OG0000006	XP_010451880.1	XP_048613014.1
OG0000006	XP_010511600.1, XP_019087423.1, XP_010500080.1	XP_048615096.1, XP_048603562.1
OG0000006	XP_019096427.1, XP_010485281.1	XP_048600215.1
OG0000006	XP_019087477.1	XP_022576063.2
OG0000006	XP_010478058.1, XP_010436672.1	XP_048633966.1
OG0000006	XP_010468495.1, XP_010480912.1, XP_010507576.1, XP_010463082.1, XP_010445987.1, XP_010436436.1, XP_019091129.1, XP_019094477.1, XP_019094446.1, XP_019097408.1, XP_010451248.1, XP_010480734.1	XP_048593388.1, XP_048609348.1, XP_048609347.1, XP_013665085.2, XP_048613183.1
OG0000006	XP_019094496.1, XP_019100121.1, XP_019091890.1, XP_019094351.1	XP_048631151.1, XP_048621605.1, XP_048621349.1, XP_048612104.1, XP_048602935.1, XP_048607098.1, XP_048602894.1, XP_022557024.2, XP_048631548.1, XP_013739847.3, XP_048597124.1, XP_048632399.1, XP_048629681.1
OG0000006	XP_019100941.1	XP_048593351.1
OG0000006	XP_010435400.1, XP_010436667.1	XP_048633298.1
OG0000006	XP_010479585.2	XP_048612781.1, XP_048613045.1
OG0000006	XP_019099475.1, XP_019084626.1, XP_010496706.1	XP_048606381.1
OG0000007	XP_010413204.1	XP_048609270.1
OG0000007	XP_010480531.1, XP_010431321.2	XP_013669482.2
OG0000007	XP_010472440.1, XP_010474031.1, XP_019099588.1, XP_019084310.1, XP_010451797.1, XP_010472251.1	XP_048637624.1, XP_048624133.1, XP_013650931.1, XP_013679317.2, XP_048611547.1, XP_013674098.1, XP_048604662.1, XP_048606193.1, XP_048599926.1, XP_048608923.1, XP_048637623.1, XP_022549744.1, XP_013694951.1, XP_022569685.1, XP_013674205.2, XP_048634083.1, XP_048606175.1, XP_048611825.1, XP_048620110.1, XP_013704630.2, XP_048632995.1, XP_048634091.1, XP_013658983.1, XP_048598085.1, XP_013658904.1, XP_048605398.1, XP_013713691.1
OG0000007	XP_010446064.1, XP_010518602.1	XP_048624140.1
OG0000007	XP_010507173.1	XP_048624246.1
OG0000007	XP_019101891.1	XP_013709372.2, XP_022553380.1
OG0000007	XP_010418618.1, XP_010419439.1	XP_048591447.1, XP_048605541.1, XP_013678969.2, XP_048596342.1, XP_048621839.1, XP_022549722.2, XP_013658576.2, XP_013745771.2, XP_013690321.2, XP_048599593.1, XP_048599664.1
OG0000007	XP_010418558.1, XP_010489824.1, XP_010495246.1, XP_019102134.1, XP_010436305.1	XP_048628012.1, XP_048635094.1, XP_022565607.2
OG0000008	XP_010451903.1, XP_019085491.1	XP_013709535.2
OG0000008	XP_010490195.1	XP_048596271.1
OG0000008	XP_010484870.1	XP_048605305.1
OG0000008	XP_019085413.1	XP_048602208.1, XP_048637614.1, XP_048637817.1, XP_048622563.1, XP_048599589.1
OG0000008	XP_010479356.2	XP_013705001.2, XP_048620224.1
OG0000008	XP_019097485.1	XP_048628475.1, XP_048590797.1
OG0000008	XP_010419054.1, XP_019093233.1, XP_010468775.1	XP_048605193.1
OG0000008	XP_010497028.1, XP_010480868.1, XP_010507052.1, XP_010445013.1, XP_010497042.1	XP_048602098.1, XP_013729777.3, XP_048614654.1, XP_048613386.1, XP_013726652.1, XP_048634180.1
OG0000008	XP_010456611.1, XP_010468583.2, XP_010469634.1, XP_019100889.1	XP_048615675.1, XP_048627521.1, XP_048600989.1, XP_013649895.1, XP_048593291.1, XP_048637651.1, XP_048634041.1, XP_048599181.1, XP_048607915.1, XP_048607904.1, XP_013717411.2, XP_013691111.2, XP_013722649.1, XP_048633127.1, XP_048599584.1, XP_048603850.1, XP_048614138.1, XP_022548693.2, XP_022557716.2, XP_048612002.1, XP_048612005.1, XP_048630290.1, XP_048637523.1, XP_048605750.1, XP_048630899.1, XP_048612699.1, XP_048611975.1, XP_048622867.1, XP_022549239.1, XP_048615069.1, XP_048622956.1, XP_048621207.1, XP_048605224.1, XP_048622188.1, XP_022574272.2, XP_048593363.1, XP_048623066.1, XP_022565168.1, XP_048619957.1
OG0000008	XP_019085556.1	XP_022560005.2
OG0000008	XP_019097562.1	XP_048596270.1
OG0000008	XP_019096484.1, XP_010424538.1	XP_022557626.1
OG0000008	XP_019086304.1, XP_010468434.1, XP_010496023.1, XP_019094615.1, XP_010484960.1, XP_010473823.2, XP_010506903.1	XP_048605325.1
OG0000008	XP_010451669.1	XP_048615501.1
OG0000008	XP_019096488.1, XP_010419095.1, XP_010419093.1, XP_019087530.1	XP_048606775.1
OG0000008	XP_010485185.1, XP_010480907.2, XP_010507054.1, XP_019098037.1, XP_010495527.1, XP_019087817.1	XP_048634035.1, XP_048605571.1, XP_048616724.1, XP_048607397.1
OG0000008	XP_019097389.1, XP_019092334.1	XP_048634097.1, XP_048613323.1, XP_048608334.1, XP_048606350.1, XP_048601609.1, XP_048622948.1
OG0000008	XP_019087202.1	XP_048605748.1, XP_048594969.1, XP_048622433.1
OG0000008	XP_019102002.1, XP_010468441.1, XP_010451612.1, XP_010489748.1, XP_010424520.1, XP_010419764.1, XP_010484992.1, XP_010474114.1, XP_010445056.1, XP_010481160.1, XP_010480985.1, XP_010481083.1, XP_010424377.2, XP_010445494.1, XP_010456943.1	XP_048616725.1, XP_048606607.1
OG0000008	XP_019086305.1	XP_048615493.1, XP_048619151.1, XP_022565888.1, XP_048619083.1
OG0000008	XP_010507400.1, XP_019101905.1, XP_010431252.2	XP_048597022.1, XP_013658616.2
OG0000008	XP_010434876.2, XP_010451668.1, XP_010495526.1, XP_019100926.1, XP_010456996.1, XP_010484804.1, XP_010456594.1	XP_048627537.1
OG0000010	XP_019100932.1, XP_010495824.1, XP_010496850.1, XP_010507594.1, XP_019090131.1	XP_022560075.1
OG0000010	XP_019098329.1, XP_019098328.1, XP_019098389.1, XP_019096593.1	XP_048622787.1, XP_048617027.1
OG0000010	XP_019091121.1	XP_048604663.1
OG0000010	XP_019086506.1	XP_013745801.1, XP_048615585.1, XP_022567036.1, XP_048605091.1
OG0000011	XP_010474320.1, XP_010446274.1, XP_010418947.1, XP_010463434.1, XP_010445208.1, XP_010436204.1, XP_010451621.1, XP_010517357.1, XP_010500083.1, XP_010464671.1	XP_013668563.1, XP_048611795.1, XP_048613988.1, XP_048604660.1, XP_048612142.1, XP_048615068.1, XP_048604154.1, XP_048623923.1, XP_022551178.1, XP_048605490.1, XP_048607127.1, XP_048620540.1, XP_048605592.1, XP_048624406.1, XP_048615315.1, XP_013739652.1, XP_013697297.1, XP_013752157.1, XP_048606534.1, XP_013729917.3, XP_013651057.2, XP_013699609.2, XP_048624972.1, XP_013689590.2, XP_048625258.1, XP_048618052.1, XP_048617631.1, XP_013751784.1, XP_013645429.2, XP_048616619.1, XP_048602222.1, XP_048600267.1, XP_048609749.1, XP_048624236.1
OG0000012	XP_010424636.1	XP_048613104.1
OG0000012	XP_010506933.1	XP_048591476.1
OG0000012	XP_010445979.1	XP_022569878.1, XP_048606561.1, XP_022546024.2, XP_013713433.2, XP_013709291.2, XP_048599723.1
OG0000012	XP_010495372.1	XP_013723380.2, XP_048605575.1
OG0000012	XP_010451895.1, XP_010451825.1	XP_048611476.1
OG0000012	XP_010495590.1	XP_013695049.2, XP_048623277.1
OG0000012	XP_010474959.1, XP_010424574.1	XP_048605645.1, XP_048596310.1, XP_013694784.2, XP_048623788.1
OG0000012	XP_019085500.1, XP_010431149.1, XP_019092394.1	XP_048604901.1
OG0000012	XP_010451613.1, XP_010431214.1	XP_048611700.1, XP_048611839.1, XP_013751098.2, XP_048615869.1, XP_048613343.1, XP_048613275.1, XP_013726724.2, XP_048604636.1, XP_048615703.1, XP_048604640.1, XP_048635131.1, XP_048604789.1
OG0000012	XP_019086325.1, XP_010495686.1	XP_013679651.1
OG0000012	XP_010489845.1	XP_013738772.1, XP_013729011.2
OG0000012	XP_010466661.1	XP_048602192.1, XP_048603410.1, XP_048628529.1, XP_048628532.1, XP_048627388.1, XP_048616616.1
OG0000012	XP_010430986.1, XP_010475417.1, XP_010484854.1, XP_010419111.1	XP_013657490.1, XP_013674351.2, XP_013691298.1, XP_048614816.1, XP_048623324.1, XP_048630348.1, XP_048628908.1, XP_048624621.1, XP_048619695.1, XP_048614056.1, XP_022569354.1, XP_013734848.1, XP_013726622.1, XP_013691321.1, XP_013703519.1, XP_013708319.1, XP_022548061.2
OG0000012	XP_019097497.1, XP_010468248.1, XP_010431497.1, XP_010495795.1	XP_048619941.1
OG0000012	XP_010490322.1	XP_048596427.1
OG0000012	XP_010425465.1	XP_022568711.1, XP_022557732.1
OG0000012	XP_010431119.1	XP_013729119.2, XP_013720735.2, XP_048622707.1, XP_048599990.1, XP_013751786.2
OG0000012	XP_019082669.1, XP_010418679.1, XP_010480840.1, XP_010513121.1, XP_010468629.1	XP_048633986.1, XP_048605079.1, XP_048604933.1, XP_013645445.1
OG0000012	XP_010424529.1	XP_013700093.2, XP_048627290.1, XP_048620264.1, XP_048613256.1, XP_048623895.1, XP_013669083.2, XP_048631003.1, XP_048605689.1
OG0000012	XP_010490347.1, XP_010472048.1	XP_048630404.1
OG0000013	XP_019090157.1, XP_010462812.1, XP_010430984.1, XP_010474117.1, XP_019093237.1, XP_010475339.1, XP_010418610.1, XP_019094462.1, XP_010431304.1, XP_019090236.1, XP_010430896.1, XP_010490049.1	XP_013700535.1, XP_013700318.1, XP_048615689.1, XP_013673894.2, XP_048620109.1, XP_013713592.1, XP_048603843.1, XP_048603078.1, XP_048617046.1, XP_048626973.1, XP_048600408.1, XP_048605631.1, XP_048622706.1, XP_013651736.2, XP_013665254.2
OG0000013	XP_010462887.1, XP_010489385.1	XP_013673830.1
OG0000013	XP_010490193.1, XP_010424605.1, XP_010445585.1, XP_010424415.1, XP_010430920.1, XP_010445599.2, XP_010445508.1, XP_010481077.1	XP_048605032.1
OG0000013	XP_019092248.1, XP_010436763.1, XP_010412548.1, XP_010468557.1	XP_048605139.1, XP_048605122.1, XP_048617118.1
OG0000013	XP_010501858.1, XP_010501812.1	XP_048605773.1
OG0000013	XP_010497144.1	XP_013651123.1, XP_013699897.1, XP_013729113.2, XP_048608937.1, XP_048619944.1
OG0000013	XP_010426241.1	XP_013699883.2, XP_013654290.1, XP_022558217.1, XP_048611650.1, XP_048605932.1, XP_013699887.1, XP_013645659.1, XP_022566330.1
OG0000014	XP_010513382.1	XP_022552432.1
OG0000014	XP_010507355.1, XP_010463274.1, XP_010495562.1	XP_048622641.1, XP_048622642.1, XP_048622974.1
OG0000014	XP_010497102.1, XP_010480731.1	XP_048613287.1, XP_048622935.1, XP_013709049.2, XP_013728258.2
OG0000014	XP_010469242.1, XP_019095568.1	XP_048626508.1
OG0000014	XP_019087687.1	XP_048623583.1, XP_013645651.2, XP_013659049.1, XP_048605480.1, XP_048615803.1, XP_013709311.1, XP_013694537.1
OG0000014	XP_010484986.1, XP_010412760.1, XP_010474532.1, XP_010431329.1, XP_010412495.1	XP_013708671.1, XP_048624069.1, XP_013658227.1, XP_048599863.1, XP_048604671.1, XP_048624017.1, XP_048604978.1, XP_048613067.1, XP_013689140.2, XP_048615831.1, XP_048620011.1, XP_048613476.1
OG0000014	XP_010507349.1, XP_019085461.1, XP_010490433.1, XP_010412418.1, XP_019097678.1	XP_013654467.2
OG0000014	XP_010430806.1	XP_013658577.1, XP_048602505.1, XP_022558682.2, XP_048625121.1
OG0000015	XP_010450099.1, XP_019091410.1, XP_019084470.1	XP_048614634.1
OG0000015	XP_010427798.1	XP_048622603.1
OG0000015	XP_010480818.1, XP_010456599.1, XP_010497195.1	XP_048627782.1, XP_048595751.1, XP_048607541.1
OG0000015	XP_010501828.1, XP_019084456.1, XP_010418862.1, XP_019090265.1, XP_010497072.1, XP_010496259.1	XP_048613565.1, XP_048634846.1, XP_048611773.1, XP_048616950.1, XP_048602698.1, XP_048622170.1
OG0000015	XP_019101930.1, XP_010481012.1, XP_010497067.1, XP_010424221.1, XP_010495723.1, XP_010430713.1, XP_010497070.1, XP_010513208.1, XP_010451702.1	XP_048623927.1, XP_013645200.2, XP_048611390.1, XP_048606234.1
OG0000015	XP_010412816.1, XP_010470614.1	XP_048605893.1, XP_048604728.1
OG0000015	XP_010481162.1	XP_048613411.1
OG0000015	XP_019101915.1, XP_010490066.1, XP_010462823.1, XP_019089071.1, XP_010420917.1, XP_010490468.1, XP_010472228.1, XP_010445504.1	XP_048616944.1
OG0000015	XP_010507453.1	XP_013739573.2
OG0000015	XP_019098184.1, XP_010412474.1	XP_013741841.2
OG0000017	XP_019084688.1, XP_019082585.1	XP_048592801.1, XP_048620235.1, XP_048599118.1, XP_048594622.1, XP_022546269.2, XP_013715010.1
OG0000017	XP_010499860.1	XP_048603682.1
OG0000018	XP_010480828.1, XP_019094396.1, XP_019100756.1, XP_019092276.1, XP_019097496.1, XP_010456944.1, XP_010412713.1	XP_048605770.1, XP_048596272.1, XP_048599222.1, XP_048605670.1, XP_013723218.1, XP_013688917.1, XP_013651116.2, XP_048633126.1, XP_013729972.2, XP_048605202.1, XP_048611582.1, XP_013700193.2, XP_048637481.1, XP_048594395.1, XP_048634308.1, XP_048610225.1, XP_048610582.1, XP_048599165.1, XP_048593225.1, XP_022567697.1, XP_013664995.2, XP_048627957.1, XP_048633984.1, XP_048612571.1, XP_048599180.1, XP_013723386.1, XP_048620905.1, XP_048596639.1, XP_022565086.2, XP_048615837.1, XP_048623681.1, XP_013694986.1, XP_013651110.1, XP_048604736.1, XP_013724413.2, XP_048621801.1, XP_048621797.1, XP_048619956.1, XP_048619958.1, XP_048633112.1, XP_048623936.1, XP_013669249.1
OG0000018	XP_010451363.1, XP_010446058.1, XP_019091130.1	XP_048634179.1, XP_048605751.1, XP_022571151.1, XP_013673578.1, XP_048630900.1, XP_022575868.2, XP_048605747.1, XP_048605222.1, XP_048614689.1, XP_048596417.1, XP_013720098.2, XP_048601334.1, XP_048624799.1, XP_013673827.2, XP_048637603.1, XP_022550513.2, XP_048622957.1, XP_048590776.1, XP_013665022.2, XP_048611445.1, XP_048604864.1, XP_013745820.1, XP_048613131.1, XP_048606197.1, XP_022557717.1, XP_013751868.1, XP_022568346.1, XP_048611977.1, XP_013679337.1, XP_013704991.1, XP_048620421.1, XP_048604881.1, XP_013658330.1, XP_013726653.1, XP_013745661.1, XP_022552507.2, XP_013658329.1, XP_013726201.1, XP_048611537.1, XP_048599852.1, XP_048612004.1, XP_048612001.1, XP_048612006.1, XP_022569830.1, XP_013653854.1, XP_013658519.1, XP_048637099.1, XP_013674025.1, XP_048599651.1, XP_048629918.1, XP_022544100.1, XP_013657853.2, XP_013704346.2, XP_048605132.1, XP_048608829.1, XP_048615824.1, XP_048635015.1, XP_048604882.1, XP_013658447.2
OG0000019	XP_010496928.1, XP_010501572.1, XP_019084218.1, XP_010496929.1, XP_010456825.1, XP_010497051.1, XP_010496981.1, XP_010480376.1, XP_010451291.1	XP_022564361.1, XP_048596600.1, XP_013745161.1, XP_048620186.1, XP_048604827.1, XP_022571038.1, XP_022562585.2, XP_048593373.1, XP_013658360.2, XP_013674258.2, XP_048596246.1
OG0000019	XP_010504520.2, XP_019085445.1	XP_048615741.1, XP_048613232.1, XP_048631187.1, XP_048591492.1, XP_048600050.1, XP_048604601.1, XP_048633529.1, XP_013667922.1, XP_013650790.2, XP_048616705.1, XP_048623938.1, XP_048634915.1, XP_048596323.1, XP_048635128.1, XP_013689709.2
OG0000019	XP_010424212.1, XP_019087271.1	XP_048604600.1, XP_048615740.1
OG0000019	XP_010445506.1, XP_019085606.1, XP_019090007.1, XP_019101898.1, XP_010495668.1	XP_013704389.3
OG0000019	XP_019093372.1, XP_019095651.1, XP_010471617.2, XP_010424482.1, XP_010419507.1, XP_010451471.1, XP_019082511.1, XP_010436492.1, XP_010436780.1, XP_010480806.1, XP_010424296.1	XP_048627764.1, XP_048606410.1, XP_048610367.1, XP_048618308.1, XP_048605574.1, XP_022547754.2, XP_013739682.2
OG0000019	XP_019090103.1, XP_019082510.1, XP_019093634.1, XP_010412776.1, XP_019084280.1, XP_010501674.1, XP_010507749.1, XP_019094504.1, XP_010474558.1, XP_010418869.1, XP_010424237.1, XP_019090188.1, XP_010419113.1, XP_010418236.1	XP_048619647.1, XP_048633186.1
OG0000020	XP_010419309.1	XP_048615648.1
OG0000020	XP_019086315.1, XP_010431521.1	XP_022562274.2, XP_048616652.1, XP_022567210.2, XP_013726427.2, XP_048634160.1
OG0000020	XP_010451099.1, XP_010412532.1, XP_010451598.1, XP_010494552.1, XP_010457003.2	XP_013745514.1, XP_048605186.1, XP_048620230.1, XP_048623769.1, XP_013679767.1, XP_048621666.1, XP_013745491.2, XP_013650967.1, XP_048591571.1, XP_048626859.1, XP_048613161.1, XP_013658586.2, XP_048611725.1, XP_013699854.1, XP_022562366.2, XP_048620316.1, XP_013732066.2, XP_013674089.2, XP_048605043.1, XP_048599908.1, XP_048619511.1, XP_048611724.1, XP_048611452.1, XP_048603603.1, XP_048605540.1, XP_048595588.1, XP_048596917.1, XP_048596183.1, XP_048613160.1, XP_048626856.1, XP_048600450.1, XP_048620012.1, XP_048608714.1, XP_048615699.1, XP_048611812.1, XP_013709011.1, XP_048604246.1, XP_048604535.1
OG0000021	XP_010463070.1, XP_010481219.1, XP_010456454.1, XP_010424514.1, XP_019089179.1	XP_013694633.1
OG0000021	XP_019082748.1	XP_013713218.2
OG0000021	XP_019096508.1, XP_019085542.1, XP_019095265.1, XP_010468638.1	XP_022553574.1
OG0000021	XP_010424688.1, XP_010418986.1	XP_048591559.1, XP_013690322.2
OG0000021	XP_010495645.1	XP_048628766.1
OG0000021	XP_010436564.1	XP_013709779.2, XP_013713803.1
OG0000021	XP_010490455.1	XP_048615863.1
OG0000021	XP_019082654.1	XP_013722646.2, XP_013751498.1, XP_048604867.1, XP_048611893.1, XP_013650079.2
OG0000021	XP_010489852.1	XP_048596309.1, XP_048626541.1
OG0000021	XP_010481131.1, XP_010418651.1, XP_010462886.1, XP_010431573.1, XP_010446053.1, XP_010463260.1	XP_048598150.1, XP_048633049.1, XP_048630963.1, XP_013679738.1, XP_013658178.1, XP_048626986.1, XP_048626984.1, XP_048612021.1, XP_048611796.1, XP_048622942.1, XP_048604845.1, XP_048611396.1, XP_022567212.1, XP_048604962.1, XP_048637078.1, XP_048604910.1, XP_048620249.1, XP_013669673.1, XP_048593364.1, XP_048599759.1
OG0000021	XP_010445560.1	XP_048604911.1
OG0000021	XP_010412410.1, XP_019084355.1, XP_010418577.1	XP_048605373.1
OG0000021	XP_010501997.1	XP_048593340.1
OG0000021	XP_010484758.1, XP_019100906.1, XP_010431231.1, XP_010513293.1	XP_013678980.1
OG0000021	XP_010424593.1	XP_048615710.1
OG0000021	XP_019089103.1	XP_013720866.1, XP_022557494.1
OG0000023	XP_010439188.2, XP_010433919.1	XP_013697411.2, XP_013738434.2, XP_013738445.2, XP_022570725.1
OG0000023	XP_010445177.2	XP_013694303.1
OG0000023	XP_010448734.2, XP_010433921.1, XP_019087877.1, XP_019087876.1, XP_019087868.1, XP_019089322.1	XP_013661254.1, XP_013737516.2
OG0000023	XP_019089325.1, XP_010433927.1	XP_048633858.1
OG0000023	XP_019086460.1	XP_013694257.1, XP_013737657.1, XP_048612374.1
OG0000023	XP_019089721.1	XP_048625802.1, XP_048632003.1
OG0000023	XP_019086471.1, XP_019089064.1	XP_022573115.2
OG0000023	XP_019084079.1, XP_019090217.1, XP_010422102.1	XP_013718638.2
OG0000023	XP_019097923.1, XP_019087866.1, XP_010448736.1, XP_010448739.1	XP_022572340.2, XP_048632570.1
OG0000023	XP_010418084.1, XP_010439216.1	XP_013690743.1
OG0000023	XP_010448752.1, XP_010439208.1, XP_010433929.1	XP_013710801.1, XP_013717353.1
OG0000023	XP_019088139.1	XP_013694329.2
OG0000023	XP_010448754.1, XP_010439219.1, XP_010445190.1, XP_010451240.1, XP_010439207.1	XP_048605876.1
OG0000023	XP_010451236.1	XP_013741339.2
OG0000025	XP_010443019.1	XP_013717234.2, XP_048627191.1, XP_022569752.1, XP_048607491.1, XP_013712755.1, XP_013686788.2, XP_013674736.2, XP_048604076.1, XP_048604483.1, XP_022560149.2, XP_048630233.1, XP_013726076.2
