Orthogroup	Camelina_sativa	Aethionema_saxatile
OG0000006	XP_010468811.1, XP_010474227.1, XP_019087472.1, XP_019099816.1, XP_010463256.1, XP_010501823.1, XP_010489639.1, XP_010469173.1, XP_010444914.1, XP_019083796.1, XP_010428435.1, XP_019084200.1, XP_010478660.1, XP_019084295.1, XP_010424794.1, XP_019082601.1, XP_019094917.1, XP_019090940.1, XP_019093341.1, XP_019087695.1, XP_019089183.1, XP_010470530.1, XP_019093691.1, XP_010501166.1, XP_010424263.1, XP_010495913.1, XP_019101696.1, XP_010513731.1, XP_019087470.1, XP_010507724.1, XP_010462584.1, XP_010490462.1, XP_010484977.1, XP_010418557.1, XP_010496147.1, XP_010418993.1, XP_019085642.1, XP_019091014.1, XP_019094573.1, XP_010446804.2, XP_010416297.2, XP_010468712.1, XP_010471152.1, XP_010507227.1, XP_010445003.1, XP_010477729.2, XP_010436513.1, XP_010506961.1, XP_010489975.1, XP_019088922.1, XP_019096041.1, XP_019096210.1, XP_019097221.1, XP_010495224.1, XP_010418574.1, XP_010436820.1, XP_010445698.1, XP_019087537.1, XP_010456622.1, XP_010445750.1, XP_010424813.1, XP_010474418.1, XP_019100967.1, XP_010436701.1, XP_019087605.1, XP_010445262.1, XP_010463458.1, XP_010496974.1, XP_010418941.1, XP_019087475.1, XP_019082563.1, XP_010445969.1, XP_010481097.1, XP_010496849.2, XP_010501923.1, XP_010495651.1, XP_010431602.1, XP_010431016.1, XP_010451880.1, XP_010485068.1, XP_010511600.1, XP_019087423.1, XP_010500080.1, XP_010507587.1, XP_010507307.1, XP_010462805.1, XP_019087471.1, XP_019096427.1, XP_010485281.1, XP_010481225.1, XP_010469447.1, XP_019087477.1, XP_010478058.1, XP_010436672.1, XP_010421049.1, XP_010468495.1, XP_010480912.1, XP_010507576.1, XP_010463082.1, XP_010445987.1, XP_010436436.1, XP_019091129.1, XP_019094477.1, XP_019094446.1, XP_019097408.1, XP_010451248.1, XP_010480734.1, XP_010450590.1, XP_010492833.1, XP_010465950.1, XP_010466613.1, XP_010494065.1, XP_010518565.1, XP_010412896.1, XP_010444893.1, XP_010474396.1, XP_010448841.1, XP_019098200.1, XP_010449757.1, XP_010508388.1, XP_010501452.1, XP_010480931.1, XP_010484998.2, XP_019094496.1, XP_019100121.1, XP_019091890.1, XP_019094351.1, XP_019100941.1, XP_010435400.1, XP_010436667.1, XP_010479585.2, XP_019099475.1, XP_019084626.1, XP_010496706.1	As010G228090
OG0000008	XP_010451903.1, XP_019085491.1	As009G213820
OG0000008	XP_010490195.1	As007G166140
OG0000008	XP_010484906.1	As001G006420
OG0000010	XP_010480850.1	As012G279130
OG0000010	XP_019091121.1	As005G110910
OG0000010	XP_019092324.1, XP_019090653.1, XP_019091103.1	As010G226790, As005G110530
OG0000010	XP_019086506.1	As010G230410
OG0000010	XP_019086291.1	As011G260030, As011G260080
OG0000010	XP_019095899.1, XP_019096531.1	As003G066480
OG0000011	XP_010420789.1	As006G147240
OG0000012	XP_010495590.1	As007G176710
OG0000013	XP_010462887.1, XP_010489385.1	As010G228550, As010G230420, As010G230620, As001G011830, As003G066230, As001G010630, As007G166800, As001G010860, As002G040060, As006G147900, As012G279880, As010G230200
OG0000013	XP_010474295.1	As003G066310
OG0000013	XP_010501858.1, XP_010501812.1	As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120
OG0000015	XP_010450099.1, XP_019091410.1, XP_019084470.1	As007G166610
OG0000015	XP_010427798.1, XP_019092477.1	As007G163280, As004G091800, As011G257210, As008G195330, As004G086610
OG0000015	XP_010480818.1, XP_010456599.1, XP_010497195.1, XP_010501828.1, XP_019084456.1, XP_010418862.1, XP_019090265.1, XP_010497072.1, XP_010496259.1, XP_019101930.1, XP_010481012.1, XP_010497067.1, XP_010424221.1, XP_010495723.1, XP_010430713.1, XP_010497070.1, XP_010513208.1, XP_010451702.1	As010G225860
OG0000015	XP_010445386.1, XP_010491426.2, XP_010484947.1, XP_010513588.1, XP_010497078.1, XP_010495514.1, XP_010418845.1, XP_019084362.1, XP_010470588.1, XP_010430636.1, XP_010507136.1, XP_010418799.1, XP_010424225.1	As011G260400
OG0000017	XP_019084688.1, XP_019082585.1	As006G147350
OG0000017	XP_010499860.1	As003G065780
OG0000019	XP_010506471.1, XP_010420141.1, XP_010423040.1, XP_019095544.1, XP_010481212.1, XP_010507282.1, XP_010415695.1	As009G203070
OG0000019	XP_010412777.1	As012G281430, As001G013530
OG0000019	XP_019093372.1, XP_019095651.1, XP_010471617.2, XP_010424482.1, XP_010419507.1, XP_010451471.1, XP_019082511.1, XP_010436492.1, XP_010436780.1, XP_010480806.1, XP_010424296.1	As010G228190
OG0000020	XP_010419309.1	As007G165150, As001G010310, As001G015320
OG0000020	XP_019100224.1	As009G211210, As012G277620, As011G260540, As001G015300
OG0000020	XP_010425095.1, XP_010445680.1, XP_010473999.1	As002G039920, As009G211220
OG0000021	XP_010446081.1, XP_010468560.1	As001G004280
OG0000021	XP_010471472.1, XP_019085419.1, XP_019087289.1, XP_010412606.1	As005G111040
OG0000021	XP_010424593.1, XP_019089103.1, XP_010424837.2	As003G071480, As010G232120
OG0000023	XP_010439188.2, XP_010433919.1, XP_010445177.2	As003G061360
OG0000023	XP_010448734.2, XP_010433921.1, XP_019087877.1, XP_019087876.1, XP_019087868.1, XP_019089322.1	As003G061290
OG0000023	XP_019084079.1, XP_019090217.1, XP_010422102.1	As004G084560, As004G084580, As004G084570
OG0000023	XP_010439191.1, XP_019086469.1	As003G061280
OG0000023	XP_010448752.1, XP_010439208.1, XP_010433929.1, XP_019088139.1	As003G061270
OG0000023	XP_010445190.1, XP_010451240.1, XP_010439207.1	As003G061350
OG0000026	XP_010445838.1	As001G006500, As007G166710
OG0000026	XP_010484799.1, XP_010507266.1, XP_019099615.1, XP_019094547.1, XP_010513491.1, XP_019085625.1, XP_010480550.1, XP_010472603.1, XP_010495810.1, XP_019096500.1, XP_019086251.1, XP_010430881.1, XP_010430821.1, XP_019100880.1, XP_010451597.1, XP_019085450.1, XP_019087697.1, XP_010425957.1, XP_010420286.1, XP_010436691.1	As007G165250
OG0000026	XP_010424792.1, XP_010436832.1, XP_010474324.1	As008G188870
OG0000029	XP_010435359.1, XP_019099915.1	As001G005440
OG0000029	XP_019086286.1, XP_010490162.1	As001G005430
OG0000029	XP_010513534.1, XP_010468539.2, XP_019100867.1, XP_019096310.1, XP_019084297.1, XP_019095473.1, XP_019092371.1, XP_019091545.1, XP_010507008.1	As004G091740, As005G109110
OG0000029	XP_019096514.1, XP_010484883.1, XP_010513568.1	As009G211080
OG0000030	XP_019101232.1, XP_010468709.1	As001G013020
OG0000030	XP_010445645.1, XP_010462855.1	As001G013350
OG0000031	XP_019093579.1, XP_010484817.1, XP_019096365.1, XP_010418422.1, XP_010430428.1, XP_010419492.2, XP_010430431.1, XP_019082760.1, XP_019082759.1, XP_019087557.1, XP_010430336.1, XP_010418269.1, XP_010473491.1	As001G032000
OG0000031	XP_010453827.1, XP_019084725.1, XP_010492576.1	As009G202600
OG0000031	XP_010447152.1, XP_010436064.1, XP_010504570.1, XP_010465692.1, XP_019096254.1, XP_010448208.1, XP_010438694.1, XP_010433436.1	As006G134510
OG0000033	XP_010448753.1, XP_010439209.1, XP_010433941.1	As003G061230, As003G061200, As003G061190, As003G061240
OG0000033	XP_019089519.1, XP_010434185.1, XP_019088150.1, XP_019089518.1	As003G059410, As003G059430, As003G059400
OG0000033	XP_010451231.2, XP_010448725.1, XP_019087860.1, XP_019086461.1, XP_019089061.1, XP_010439190.1, XP_010448726.1, XP_010439220.1, XP_010448755.1, XP_010433938.1, XP_010448758.1, XP_010439212.1, XP_010433932.1, XP_019089810.1, XP_010433930.1, XP_010448768.1, XP_019087874.1, XP_010433918.1, XP_019087875.1, XP_010426013.1, XP_019101865.1, XP_019099660.1	As003G061210, As003G061160
OG0000033	XP_010431580.1	As004G086230
OG0000034	XP_019094880.1	As011G258840
OG0000036	XP_010474229.1, XP_010456533.1, XP_010430982.1, XP_010418657.1, XP_010474465.1	As010G230940, As008G183620, As012G280180, As011G261090
OG0000036	XP_010445597.1, XP_019085657.1, XP_010513622.1	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900
OG0000036	XP_010480993.1	As008G192160
OG0000037	XP_019090182.1, XP_019083214.1, XP_019093211.1, XP_019087396.1, XP_019089238.1	As004G089890
OG0000037	XP_019087357.1, XP_019095607.1, XP_019085897.1, XP_019091034.1, XP_019096545.1	As011G257090
OG0000038	XP_010507624.1, XP_010512960.1, XP_010509052.1, XP_010412781.1, XP_010502501.1, XP_010427246.1	As009G211050, As009G210990, As009G210820
OG0000038	XP_010422360.1, XP_019100342.1, XP_010509013.1, XP_019082541.1, XP_010455679.1	As007G157540
OG0000043	XP_019085386.1, XP_010451813.1, XP_010445696.2, XP_019087483.1	As002G039460
OG0000043	XP_010496446.1, XP_010473115.1	As011G260020
OG0000043	XP_010470900.1, XP_010436661.1, XP_019094513.1, XP_010418861.1	As001G006710
OG0000043	XP_010463411.1	As009G209940
OG0000048	XP_019092533.1, XP_010485741.1	As006G137100, As006G137070, As006G137030
OG0000048	XP_010514749.1, XP_010463845.1, XP_010485737.1	As006G136970
OG0000048	XP_010514943.1, XP_010485744.1, XP_010463847.1	As006G137110, As006G137010, As006G136980
OG0000048	XP_019098094.1, XP_019090301.1, XP_019083860.1, XP_019098096.1, XP_019098087.1, XP_019089956.1, XP_019083864.1, XP_019089955.1, XP_019083868.1, XP_019098095.1, XP_019089957.1, XP_019090652.1, XP_019083867.1, XP_019098001.1, XP_019090034.1, XP_019083863.1, XP_019090033.1, XP_019097860.1, XP_010420540.1, XP_019083862.1, XP_019097999.1, XP_019090249.1, XP_019090250.1, XP_019098000.1, XP_010492794.1, XP_010492795.1, XP_019083866.1, XP_019097998.1	As001G017720, As001G017740, As001G017730, As001G017710
OG0000049	XP_019091092.1, XP_019100833.1, XP_019092312.1, XP_019092358.1, XP_019085432.1, XP_019092302.1, XP_019086346.1, XP_019087375.1	As007G177650, As001G000050
OG0000054	XP_019093250.1, XP_019083618.1, XP_019085680.1, XP_019098445.1, XP_010484863.1	As007G163390, As001G010300
OG0000054	XP_010445679.1, XP_010442704.1, XP_010497389.1	As004G090600, As007G163400, As011G258570, As001G015330, As001G010290, As001G006440
OG0000055	XP_010515018.1, XP_010426146.1, XP_019084785.1, XP_010503309.1	As001G022050
OG0000059	XP_010513664.1	As001G005030
OG0000060	XP_019100933.1	As011G259170
OG0000065	XP_019098326.1, XP_019098351.1, XP_019098390.1, XP_019099627.1, XP_019097476.1, XP_019100901.1, XP_019099563.1, XP_019094561.1, XP_019094562.1, XP_019089054.1	As012G279540, As012G279660
OG0000065	XP_019089233.1	As002G040810
OG0000066	XP_010437129.1, XP_010453132.1, XP_010491788.1, XP_010431986.1, XP_010431988.1, XP_010419651.1, XP_010480248.1, XP_010488359.1, XP_010471674.1, XP_010428586.1, XP_010466628.1, XP_010447175.1	As002G052230
OG0000066	XP_010477215.1, XP_019091470.1	As007G156090
OG0000066	XP_010425488.1, XP_010484375.1, XP_010502711.1, XP_010475747.1, XP_010458200.1, XP_010463183.1, XP_010514443.1, XP_010489841.1, XP_010444536.1	As005G118450
OG0000067	XP_010452237.1, XP_010423775.1, XP_019097289.1, XP_010490843.1, XP_019084545.1, XP_019097292.1, XP_010424780.1, XP_010490972.1	As011G256070, As011G256050
OG0000070	XP_019101837.1	As011G259870
OG0000070	XP_019082595.1	As006G149230, As011G259300
OG0000070	XP_010484717.1	As010G229730
OG0000070	XP_010456869.1	As004G090980, As011G257970
OG0000073	XP_010440077.1, XP_010434750.1, XP_010440087.1, XP_019087254.1, XP_019088788.1, XP_019086569.1, XP_010449698.1, XP_010434749.1, XP_019086125.1	As006G137430
OG0000078	XP_019099724.1	As004G095030
OG0000079	XP_010485638.1, XP_010505483.1, XP_010463747.1, XP_010417389.1, XP_010463742.1, XP_010463745.1, XP_010485636.1, XP_010463744.1, XP_010512114.1, XP_010512120.1, XP_010512109.1, XP_010504857.1, XP_010435737.1, XP_010512111.1, XP_010512106.1, XP_010504853.1, XP_019099951.1, XP_010450921.1, XP_010436759.1, XP_019089478.1, XP_019089372.1, XP_010450919.1, XP_019088775.1, XP_010435739.1, XP_019102069.1, XP_010516541.1, XP_010469219.2	As012G285110
OG0000082	XP_010412616.1, XP_010446172.1, XP_010468697.1, XP_010412581.1, XP_010451347.1, XP_010447993.1, XP_010490164.1, XP_010497085.1, XP_010418794.1, XP_010468244.1, XP_010451150.1, XP_010425644.1, XP_010478154.1, XP_010485018.1, XP_019096815.1, XP_010424226.1	As009G206420
OG0000082	XP_019096076.1, XP_019089186.1, XP_010462626.1, XP_019085390.1	As012G278670
OG0000082	XP_010438168.1	As011G260840
OG0000083	XP_010486733.1, XP_010431481.1, XP_010471154.1, XP_010427972.1, XP_010415848.1, XP_019082660.1, XP_010474281.1, XP_010415849.1, XP_010468402.2, XP_010466622.2, XP_010421321.1, XP_019096450.1, XP_010513244.2, XP_010466788.1, XP_010488339.2, XP_010512058.1, XP_010466621.1, XP_010490063.1, XP_010488341.1, XP_010421303.1, XP_010466598.1, XP_010429373.1, XP_010427974.1, XP_019084962.1, XP_019085914.1, XP_010429377.1, XP_010472419.1, XP_010419294.1, XP_010464056.1, XP_010485978.1, XP_019100088.1	As006G138550
OG0000085	XP_019087577.1, XP_019095590.1	As001G000080
OG0000086	XP_010495949.1, XP_019097464.1, XP_010494194.1, XP_010494195.1, XP_010494196.1, XP_010442146.1, XP_010481977.1, XP_010481978.1, XP_019095830.1, XP_019095588.1, XP_010484899.1, XP_010495950.1, XP_010467928.1, XP_019097470.1, XP_019097730.1, XP_010494198.1, XP_010494197.1	As009G216030, As009G216300, As009G216040
OG0000087	XP_010421190.1, XP_010454670.1	As010G222260
OG0000087	XP_010469941.1, XP_010510475.1, XP_010414372.1	As006G128780
OG0000087	XP_010483981.1, XP_010459234.1	As010G224130
OG0000087	XP_010419814.1, XP_010491982.1, XP_010453291.1	As002G051000
OG0000087	XP_010516638.1, XP_010504960.1, XP_010509706.1	As012G274980
OG0000087	XP_010494444.1	As004G086530
OG0000087	XP_010439552.1, XP_010449142.1, XP_010434259.1	As003G058850
OG0000087	XP_010416482.1, XP_010471708.1	As010G237710
OG0000088	XP_010511816.1, XP_019102250.1, XP_019085904.1, XP_019100157.1, XP_010426203.1, XP_010503360.1, XP_010426163.1, XP_010503325.1, XP_010515061.1, XP_010515060.1, XP_019085518.1	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920
OG0000089	XP_010422938.1, XP_010452982.1, XP_010491624.1	As002G053510
OG0000089	XP_010483556.1, XP_010483559.1, XP_010483560.1, XP_010514974.1, XP_010503262.1, XP_010426084.1, XP_010454923.1	As010G224530, As005G115200
OG0000090	XP_010494151.1, XP_010442189.1	As004G082910
OG0000090	XP_010471746.1, XP_010440828.1, XP_010416502.1, XP_010428644.1	As003G065330
OG0000090	XP_010413610.1, XP_019093586.1, XP_010512295.1, XP_010447073.1, XP_010447075.1, XP_010432410.1, XP_010437611.1, XP_010450797.1, XP_010435879.1, XP_010441072.1, XP_010441003.1, XP_010425103.1, XP_010502326.1, XP_010514085.1, XP_010506934.1, XP_010502325.1, XP_010514084.1, XP_010425101.1, XP_010458359.1, XP_010475885.1, XP_010490823.1	As012G273080
OG0000093	XP_010431453.2, XP_019099736.1, XP_019102066.1, XP_019101935.1, XP_010516477.1, XP_010504788.1, XP_010427742.1, XP_019085608.1, XP_010507510.1, XP_019098882.1, XP_010490171.1, XP_010467068.1	As012G284680, As012G284700, As012G284660
OG0000096	XP_010445847.1, XP_010494541.1	As004G087370, As004G087300, As004G087270
OG0000097	XP_010431383.1, XP_010422434.1	As004G086430, As004G086420, As004G086450, As004G086440
OG0000098	XP_010476200.2, XP_019094334.1, XP_010458659.1, XP_010476182.1, XP_010476194.1, XP_010462666.1, XP_010435102.1, XP_010476199.2	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330
OG0000102	XP_019094567.1, XP_019095608.1	As010G228120
OG0000102	XP_019085751.1, XP_019098383.1, XP_019087675.1, XP_019082593.1, XP_019089068.1, XP_019085614.1, XP_019100777.1, XP_019095028.1, XP_019082506.1, XP_019098255.1, XP_019082509.1, XP_019100825.1, XP_019089224.1, XP_019097369.1, XP_019101826.1, XP_019098391.1, XP_019098377.1, XP_019087595.1, XP_019097514.1, XP_019086584.1	As002G042100
OG0000104	XP_010513261.2	As006G129180, As006G129160
OG0000104	XP_010500770.1	As012G271220
OG0000104	XP_010500773.1, XP_010479688.1, XP_010500775.1, XP_010462025.1, XP_010500772.2, XP_010462024.1, XP_010479689.1	As012G271190, As012G271200
OG0000104	XP_019093575.1, XP_019093246.1, XP_010470012.1, XP_010510552.1, XP_010414455.1, XP_010510551.2	As006G129190
OG0000106	XP_010507362.2, XP_010412683.1, XP_010431195.1, XP_010489939.1, XP_019096848.1, XP_010467954.2, XP_019082383.1, XP_019092874.1, XP_010468288.1, XP_010419966.1, XP_010465923.1, XP_010466168.1, XP_019102491.1, XP_010468260.1, XP_010468259.1, XP_019092240.1, XP_010465926.1, XP_010506820.1, XP_010466314.1, XP_010487753.1, XP_010465927.1, XP_019092751.1, XP_010465549.1, XP_010468188.1, XP_010468264.1	As002G041170, As002G041390, As002G041440
OG0000107	XP_010466194.1, XP_010508531.1	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220
OG0000107	XP_010508486.1, XP_019096974.1, XP_010466190.2, XP_010508508.1, XP_019096971.1, XP_010466191.1, XP_010494611.1, XP_010415203.1, XP_010511458.1, XP_010514626.1, XP_010425701.1, XP_010456149.1, XP_010422712.1, XP_010466304.1, XP_010434996.1, XP_010440318.1, XP_010449948.1, XP_010467059.1	As011G252340
OG0000108	XP_010424705.1, XP_010454853.1, XP_019091057.1, XP_010499628.1, XP_010499626.1, XP_010444838.1, XP_010478760.1, XP_010495494.2, XP_010495491.2, XP_010493782.1, XP_010424305.2, XP_010454852.1, XP_019097436.1, XP_010421382.1, XP_010495488.1, XP_010421381.1, XP_010493274.1, XP_019097437.1, XP_010494023.1, XP_010455133.1, XP_010478092.1, XP_010497135.2, XP_010499238.1, XP_010460514.1, XP_010478516.1, XP_010490218.1, XP_010488871.1, XP_010517498.1, XP_010467233.1, XP_010490184.1, XP_010468531.1, XP_010412745.2, XP_019092314.1, XP_010431735.1, XP_010499627.1, XP_010499629.1, XP_010501676.1, XP_010478514.2, XP_010480772.1	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000111	XP_019086613.1	As002G048150
OG0000112	XP_019100892.1, XP_019100893.1, XP_010511364.1, XP_019093286.1, XP_019093463.1, XP_019082598.1, XP_019086942.1, XP_019095670.1	As011G262130, As011G262140, As009G217680, As009G217690
OG0000114	XP_010456486.1, XP_019090462.1, XP_019094970.1, XP_010415607.1, XP_019093832.1, XP_010449922.1, XP_010442102.1, XP_010491769.1, XP_010419679.1, XP_010436453.1, XP_019089586.1, XP_010419682.1, XP_019083764.1, XP_019097993.1, XP_019083763.1, XP_010491840.1, XP_010491839.1, XP_010473148.1, XP_010419417.1, XP_010510753.1, XP_010417913.1, XP_019094814.1, XP_010514203.1, XP_019089703.1, XP_010422104.1, XP_010463849.1, XP_010440932.1, XP_010435732.1, XP_010450927.1	As006G137050, As006G137080
OG0000116	XP_010494942.1, XP_010425569.1, XP_010425748.1, XP_010477229.1, XP_010425741.1, XP_010511123.1, XP_010494683.1, XP_010428342.1, XP_010463378.1, XP_010420297.1, XP_010484801.1, XP_010496838.1, XP_010416306.1, XP_010471355.1, XP_010442366.1	As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410
OG0000117	XP_010473765.1, XP_010480966.1	As002G041560
OG0000118	XP_019090835.1, XP_010430962.1, XP_010457012.1, XP_010457013.1, XP_010490438.1, XP_010468732.2, XP_010467655.2, XP_010467652.1, XP_010424693.1, XP_010424683.1, XP_010424049.1, XP_010466656.1, XP_010427599.1, XP_010466686.1, XP_010466850.1	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770
OG0000122	XP_010446145.1, XP_010474623.1, XP_010476508.1	As002G036520
OG0000123	XP_010495498.1, XP_010458819.1, XP_010476380.1	As008G183790, As008G183770
OG0000123	XP_010495501.1, XP_010458820.1, XP_019094945.1	As008G183760
OG0000123	XP_010496748.1, XP_010507196.1	As008G183730, As008G183740
OG0000123	XP_010476383.1, XP_010495506.1, XP_010458821.1, XP_010476340.1, XP_019102045.1, XP_010435235.1, XP_010440548.1, XP_010450178.1, XP_019091637.1	As008G183720
OG0000125	XP_010515863.1, XP_010504134.1, XP_010427020.1	As006G146230, As012G277440
OG0000125	XP_010486520.1, XP_010473505.1, XP_010464595.1, XP_010423847.1, XP_010452101.1, XP_010490718.1, XP_010505335.1, XP_010509330.1	As005G107620
OG0000125	XP_010454568.1, XP_010421087.1, XP_010493386.1	As005G113770
OG0000125	XP_010443777.1, XP_010455739.1, XP_010483639.1	As005G114700, As010G224880
OG0000125	XP_010426025.1	As010G224830
OG0000127	XP_010462637.1, XP_010501424.1, XP_010476015.1, XP_010501425.1, XP_010480428.1, XP_010462638.1	As008G186430, As008G186390, As008G185640
OG0000127	XP_010501392.1	As008G186440
OG0000130	XP_019097474.1	As005G110830
OG0000130	XP_010496984.1, XP_010424606.1, XP_010451299.1, XP_019098355.1, XP_010495867.1	As010G226930
OG0000130	XP_010448680.1, XP_010451831.1, XP_010473967.1	As002G040800, As008G191120
OG0000133	XP_010478935.1	As004G090110
OG0000133	XP_019087459.1	As007G165020
OG0000133	XP_010470593.1, XP_010511614.1, XP_010485117.1, XP_010451618.1, XP_010451835.1, XP_019098313.1, XP_010420750.2	As007G167120, As007G166850, As004G092840, As011G261830
OG0000136	XP_010511492.1, XP_010415205.1, XP_019093553.1, XP_019101118.1, XP_010496730.1, XP_010470534.1, XP_010513640.1, XP_019100921.1	As001G028730
OG0000136	XP_010445581.1, XP_010451914.1	As005G116580, As005G116570
OG0000138	XP_010430892.1	As004G084820, As010G224060
OG0000138	XP_010502978.1, XP_010425759.1, XP_010425761.1, XP_010502982.1	As001G027950, As001G027940, As007G161530
OG0000139	XP_010472906.1, XP_019100791.1, XP_010468735.1	As001G010560
OG0000139	XP_010496220.1, XP_010495869.1, XP_010490389.1, XP_010506889.1, XP_010456768.1, XP_010506862.1, XP_019087546.1	As006G149220, As004G090290
OG0000140	XP_010483539.1	As005G115230
OG0000140	XP_010454742.1, XP_019088267.1, XP_010483489.1, XP_010483490.1, XP_010443667.1, XP_019095877.1, XP_019092906.1, XP_010443669.1, XP_010483537.1, XP_019095865.1, XP_010443671.1, XP_010454754.1	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000145	XP_010418595.1, XP_019082691.1, XP_010514307.1, XP_010424245.1, XP_010490073.1	As004G091580
OG0000146	XP_010482974.1, XP_010449487.1, XP_010443156.1, XP_010488707.1, XP_010467019.1, XP_010473574.1, XP_010485064.1	As002G047180
OG0000146	XP_010449529.1, XP_010443158.1, XP_010482976.2, XP_010449537.1, XP_010482975.1, XP_010443157.1	As002G047190
OG0000147	XP_010414912.1, XP_019096581.1	As011G265720
OG0000147	XP_010433017.1, XP_010451109.1, XP_010438207.1	As001G002190
OG0000147	XP_010443420.1, XP_019095995.1, XP_010452018.1	As002G049060
OG0000147	XP_019093982.1, XP_010417678.1	As010G243490
OG0000147	XP_010425792.1, XP_019102235.1	As010G227330
OG0000147	XP_010496144.1, XP_010488815.1	As011G259420
OG0000149	XP_010507237.1, XP_019085759.1, XP_010412591.2	As010G224590
OG0000149	XP_010455308.1, XP_019095493.1, XP_010443729.1, XP_010455299.1, XP_010443725.2, XP_010443735.1, XP_010443736.1, XP_010443739.1, XP_019092996.1, XP_019095498.1, XP_019092982.1, XP_019095503.1, XP_019093247.1, XP_010455320.1, XP_010426071.1, XP_010514962.1, XP_010503250.1	As010G224610
OG0000150	XP_010431628.1, XP_019082720.1, XP_010474468.1, XP_010429629.1, XP_010474467.1, XP_019099657.1, XP_019085504.1	As010G225180, As010G225220, As010G225210
OG0000151	XP_010448055.1, XP_010438527.1, XP_010433285.1	As007G166070
OG0000151	XP_010516221.1, XP_010496667.1, XP_010489253.1	As011G263600
OG0000151	XP_019087079.1, XP_010450714.1, XP_010483082.1	As002G047900
OG0000151	XP_010441335.1, XP_019091804.1, XP_010418477.1, XP_010473679.1, XP_010430541.1	As001G030700
OG0000154	XP_010497610.1, XP_010459142.1, XP_010476705.1	As007G152520
OG0000154	XP_010465032.1, XP_010499184.1, XP_010486980.1	As009G210670
OG0000154	XP_010464591.1, XP_010473075.1, XP_010486515.1	As002G034300
OG0000154	XP_010423853.1, XP_019097656.1, XP_010452093.1	As005G107550
OG0000155	XP_010448157.1, XP_010433385.1, XP_010445100.2, XP_019085366.1, XP_010507381.1, XP_010456994.1, XP_010424665.1, XP_010429228.1, XP_010456978.1, XP_019084252.1, XP_010424667.1, XP_010470984.1, XP_010415122.1, XP_010439485.1, XP_010449073.1, XP_010434187.1	As003G059350
OG0000156	XP_019093574.1, XP_019082501.1, XP_019093195.1	As012G287040, As012G287050
OG0000156	XP_010506516.1, XP_010508150.1, XP_010518177.1	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580
OG0000156	XP_010413500.1	As001G028010
OG0000161	XP_019086961.1, XP_010483885.1, XP_019087008.1, XP_019093450.1, XP_019095938.1, XP_010457940.1, XP_010457951.1, XP_019096086.1, XP_010500848.1, XP_019091952.1, XP_010513305.1, XP_019083613.1, XP_010510750.1, XP_019093846.1, XP_010495046.1, XP_010463280.1, XP_019088340.1	As001G013550, As001G029600, As001G029610
OG0000162	XP_010512373.1, XP_010469180.1	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570
OG0000162	XP_010508228.1, XP_010507742.1, XP_010518105.1, XP_010470042.1	As005G102210
