Orthogroup	Eutrema_salsugineum	Raphanus_sativus
OG0000007	XP_024007990.1	XP_018437596.1, XP_018443492.1, XP_018477728.1, XP_018487830.1, XP_018436238.1, XP_018439630.1, XP_018454081.1, XP_018453629.1
OG0000007	XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004856.1, XP_024004074.1, XP_024014006.1, XP_024012322.1, XP_024012910.1	XP_018438060.1, XP_018465863.1, XP_018471975.1, XP_018453972.1, XP_018463970.1, XP_018455359.1, XP_018459674.1, XP_018448282.1
OG0000007	XP_024004167.1, XP_024004498.1, XP_024016181.1, XP_024013999.1, XP_024004407.1, XP_024006094.1, XP_024004777.1, XP_024013813.1, XP_024012279.1, XP_024010251.1, XP_024008087.1, XP_024007934.1, XP_024013544.1, XP_024008877.1, XP_024004851.1, XP_024009378.1, XP_024009383.1, XP_024015931.1, XP_024004816.1, XP_024014990.1	XP_018452687.1, XP_018464104.1, XP_018453152.1, XP_018466855.1, XP_018436374.1, XP_018473843.1, XP_018462108.1, XP_018479202.1
OG0000007	XP_024004051.1	XP_018443248.1
OG0000007	XP_024013889.1	XP_018459130.1
OG0000007	XP_024007769.1	XP_018458777.1
OG0000007	XP_006397474.2, XP_024004398.1, XP_024011387.1, XP_024013912.1, XP_024004241.1, XP_024005863.1, XP_024004112.1	XP_018466130.1, XP_018467308.1, XP_018464921.1
OG0000008	XP_024004796.1, XP_024004794.1, XP_024014490.1	XP_018464359.1, XP_018463808.1, XP_018464542.1, XP_018460436.1, XP_018467327.1, XP_018436091.1, XP_018459493.1, XP_018458167.1
OG0000008	XP_024013171.1, XP_024010288.1, XP_024007970.1	XP_018454207.1, XP_018462648.1, XP_018465341.1
OG0000008	XP_024013173.1	XP_018438736.1
OG0000008	XP_024010217.1, XP_024010377.1	XP_018435526.1
OG0000009	XP_024014484.1, XP_024013044.1, XP_024009292.1	XP_018479454.1
OG0000009	XP_006408923.1	XP_018473607.1
OG0000009	XP_024013918.1, XP_024007904.1	XP_018463652.1, XP_018479189.1, XP_018479190.1, XP_018436049.1, XP_018479971.1, XP_018453423.1, XP_018487838.1, XP_018479007.1, XP_018479482.1, XP_018448691.1, XP_018458174.1, XP_018474243.1, XP_018435561.1, XP_018473658.1
OG0000009	XP_024015914.1	XP_018448431.1, XP_018458389.1, XP_018474214.1, XP_018487451.1, XP_018479585.1, XP_018453761.1, XP_018465007.1, XP_018465000.1, XP_018479302.1, XP_018443348.1, XP_018443324.1, XP_018464274.1, XP_018488051.1, XP_018467672.1, XP_018487967.1, XP_018435806.1, XP_018474082.1
OG0000009	XP_024011403.1, XP_024016212.1	XP_018459193.1
OG0000011	XP_024003642.1	XP_018448673.1, XP_018475002.1
OG0000011	XP_024014025.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1	XP_018436176.1, XP_018465398.1, XP_018435783.1
OG0000011	XP_024004159.1, XP_024015297.1	XP_018450169.1
OG0000011	XP_024004160.1	XP_018448270.1, XP_018448446.1
OG0000011	XP_024013228.1	XP_018448643.1, XP_018436024.1
OG0000012	XP_024006880.1, XP_024004313.1, XP_024007964.1, XP_024013590.1, XP_024004088.1, XP_024013911.1, XP_024004169.1, XP_024005329.1, XP_024014256.1, XP_024004751.1, XP_024015027.1, XP_024011205.1, XP_024007772.1, XP_024013764.1, XP_024008044.1, XP_024010049.1, XP_024004131.1, XP_024006429.1	XP_018479316.1, XP_018481586.1, XP_018466155.1, XP_018436044.1, XP_018465050.1, XP_018479889.1, XP_018471963.1
OG0000014	XP_024014048.1	XP_018461000.1
OG0000015	XP_024006143.1	XP_018475313.1
OG0000016	XP_024009219.1, XP_024016295.1	XP_018466545.1, XP_018464905.1, XP_018465409.1, XP_018443351.1
OG0000016	XP_024011334.1, XP_024013809.1	XP_018459313.1
OG0000018	XP_024010601.1	XP_018458644.1, XP_018474819.1
OG0000020	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1	XP_018487868.1, XP_018435883.1, XP_018466125.1, XP_018461261.1, XP_018467394.1, XP_018463332.1, XP_018458674.1, XP_018479532.1, XP_018459067.1, XP_018471648.1, XP_018473772.1, XP_018476168.1, XP_018461992.1, XP_018435266.1, XP_018436016.1, XP_018439110.1
OG0000020	XP_024014258.1, XP_024010776.1, XP_024011342.1, XP_024014221.1	XP_018460984.1, XP_018460983.1
OG0000021	XP_024013384.1	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1
OG0000022	XP_006413138.1	XP_018467852.1
OG0000022	XP_006400202.2	XP_018446660.1
OG0000022	XP_006391833.2	XP_018452507.1
OG0000022	XP_006391829.2	XP_018456914.1, XP_018456330.1
OG0000022	XP_006417237.2	XP_018439379.1
OG0000022	XP_006417199.1, XP_006417205.1, XP_006417216.1	XP_018490861.1, XP_018490862.1, XP_018439418.1, XP_018436026.1, XP_018438506.1, XP_018438505.1, XP_018435012.1, XP_018491224.1, XP_018491225.1, XP_018485652.1, XP_018440869.1, XP_018451491.1, XP_018438507.1, XP_018440496.1, XP_018463937.1, XP_018451058.1, XP_018448229.1
OG0000022	XP_024008093.1	XP_018493478.1, XP_018487942.1
OG0000022	XP_024014798.1	XP_018478989.1
OG0000022	XP_024015415.1	XP_018437843.1
OG0000023	XP_024004018.1, XP_024010417.1	XP_018453821.1, XP_018460031.1, XP_018458661.1, XP_018448717.1, XP_018458592.1
OG0000023	XP_024010406.1	XP_018459050.1
OG0000023	XP_024009473.1	XP_018459711.1
OG0000023	XP_024004033.1	XP_018462251.1
OG0000023	XP_024016113.1	XP_018459712.1, XP_018466264.1
OG0000023	XP_024007961.1, XP_024010549.1, XP_024014546.1, XP_024015958.1	XP_018435326.1, XP_018463391.1
OG0000023	XP_024006560.1	XP_018453504.1
OG0000023	XP_024016362.1	XP_018466175.1
OG0000023	XP_024013416.1	XP_018435516.1
OG0000023	XP_024009936.1, XP_024006513.1	XP_018462951.1
OG0000023	XP_024016167.1	XP_018480111.1
OG0000024	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2	XP_018485466.1, XP_018482596.1
OG0000024	XP_006415371.1, XP_024007955.1, XP_024010028.1, XP_006415204.1, XP_024009297.1, XP_006415203.1, XP_006415205.2, XP_024007920.1	XP_018475090.1, XP_018489860.1, XP_018448249.1, XP_018448253.1, XP_018448250.1, XP_018448247.1, XP_018450273.1
OG0000024	XP_006415394.1, XP_024007951.1, XP_006415341.2	XP_018467712.1, XP_018467711.1
OG0000024	XP_006402766.1	XP_018487153.1
OG0000025	XP_024007336.1	XP_018487947.1
OG0000025	XP_024010439.1	XP_018487867.1
OG0000025	XP_024009325.1, XP_024006530.1, XP_024011284.1, XP_024013992.1	XP_018479341.1
OG0000027	XP_006396898.1	XP_018472886.1, XP_018472884.1
OG0000027	XP_006396896.1	XP_018476504.1, XP_018476512.1, XP_018454315.1
OG0000027	XP_006413565.1	XP_018468520.1, XP_018468522.1
OG0000027	XP_024009837.1	XP_018464962.1, XP_018461167.1, XP_018471375.1
OG0000027	XP_024013896.1	XP_018451939.1, XP_018448955.1
OG0000027	XP_006396890.1	XP_018454312.1
OG0000027	XP_006396908.2	XP_018454316.1
OG0000028	XP_006411607.2	XP_018448361.1, XP_018448364.1, XP_018435503.1
OG0000029	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1	XP_018462178.1, XP_018479617.1, XP_018480098.1, XP_018453783.1, XP_018479504.1, XP_018453703.1, XP_018435876.1, XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1
OG0000029	XP_024016120.1	XP_018463159.1
OG0000029	XP_024007219.1, XP_024004754.1, XP_024004102.1	XP_018463125.1, XP_018463535.1, XP_018474042.1, XP_018453813.1, XP_018460266.1, XP_018463492.1, XP_018487478.1, XP_018460550.1, XP_018464271.1, XP_018465399.1, XP_018473758.1, XP_018463556.1
OG0000029	XP_024013922.1	XP_018492516.1
OG0000029	XP_024013800.1	XP_018448641.1
OG0000030	XP_006391637.1	XP_018435466.1, XP_018464547.1, XP_018443694.1
OG0000030	XP_024008003.1	XP_018479424.1, XP_018466469.1, XP_018462013.1
OG0000030	XP_024016186.1	XP_018453970.1
OG0000030	XP_024010547.1, XP_024015244.1	XP_018488225.1
OG0000031	XP_024014022.1	XP_018462035.1, XP_018463620.1, XP_018467340.1, XP_018435482.1, XP_018443707.1, XP_018487726.1
OG0000031	XP_024016318.1	XP_018459624.1
OG0000031	XP_024006123.1, XP_024006531.1, XP_024015844.1, XP_024010635.1, XP_024009411.1, XP_024011373.1	XP_018448790.1, XP_018466792.1
OG0000031	XP_024011171.1	XP_018479461.1, XP_018466777.1, XP_018473377.1, XP_018436087.1, XP_018453832.1, XP_018467329.1, XP_018435496.1
OG0000031	XP_024013167.1, XP_024016245.1, XP_024012481.1	XP_018461346.1
OG0000031	XP_024010348.1, XP_024013381.1, XP_024010913.1, XP_024006569.1	XP_018458946.1, XP_018480196.1
OG0000031	XP_024011268.1	XP_018479743.1
OG0000031	XP_024008010.1, XP_024009300.1, XP_024006120.1	XP_018443765.1, XP_018474115.1, XP_018448786.1, XP_018479710.1, XP_018459816.1, XP_018465887.1, XP_018453952.1, XP_018466560.1, XP_018461533.1, XP_018453567.1, XP_018459998.1
OG0000031	XP_024011224.1	XP_018470686.1, XP_018474238.1, XP_018461195.1, XP_018454095.1, XP_018465810.1, XP_018436319.1, XP_018435367.1, XP_018464700.1, XP_018435915.1, XP_018453434.1, XP_018467690.1
OG0000032	XP_024007954.1	XP_018453806.1
OG0000032	XP_024004841.1, XP_024010402.1	XP_018465781.1, XP_018487698.1, XP_018487412.1
OG0000032	XP_024009276.1, XP_024004049.1	XP_018461981.1
OG0000034	XP_006413571.1	XP_018483350.1
OG0000034	XP_024010975.1	XP_018468503.1
OG0000034	XP_006413574.2	XP_018436206.1, XP_018483352.1
OG0000034	XP_024005104.1	XP_018460842.1, XP_018460841.1, XP_018484117.1, XP_018484118.1
OG0000034	XP_006413566.2	XP_018463090.1
OG0000034	XP_006413567.2	XP_018463089.1, XP_018468501.1
OG0000034	XP_024004626.1	XP_018483344.1
OG0000034	XP_006413576.1	XP_018448921.1, XP_018448031.1
OG0000035	XP_024010425.1, XP_024007977.1	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1, XP_018448429.1, XP_018448430.1, XP_018485080.1, XP_018460632.1
OG0000035	XP_024008048.1, XP_024009273.1, XP_006391890.2, XP_024010301.1, XP_024016312.1, XP_024014902.1, XP_024016657.1, XP_024013938.1	XP_018448190.1
OG0000035	XP_024004785.1, XP_024005785.1, XP_024004877.1, XP_024016694.1, XP_024016229.1, XP_024011093.1, XP_024010243.1, XP_024006613.1, XP_006409421.2, XP_024009313.1, XP_024006556.1, XP_024015936.1	XP_018436588.1, XP_018483955.1, XP_018487525.1, XP_018483954.1, XP_018473619.1, XP_018453751.1, XP_018453750.1, XP_018459074.1, XP_018480128.1, XP_018448648.1, XP_018453607.1, XP_018480116.1, XP_018480115.1, XP_018474844.1, XP_018448647.1, XP_018463315.1, XP_018463335.1, XP_018465407.1, XP_018487548.1, XP_018462584.1, XP_018448493.1, XP_018462583.1, XP_018463221.1, XP_018443726.1, XP_018443724.1, XP_018475185.1, XP_018453682.1, XP_018473884.1, XP_018453899.1, XP_018465931.1, XP_018463554.1, XP_018459565.1, XP_018488068.1
OG0000035	XP_024016804.1	XP_018475133.1, XP_018458651.1
OG0000038	XP_024013061.1	XP_018480059.1
OG0000038	XP_024011196.1	XP_018487887.1
OG0000039	XP_024006661.1	XP_018459982.1, XP_018463371.1, XP_018459976.1, XP_018467056.1, XP_018462025.1, XP_018459607.1
OG0000040	XP_024006069.1	XP_018467584.1
OG0000040	XP_024014479.1	XP_018458944.1, XP_018443654.1
OG0000040	XP_024009299.1	XP_018467788.1
OG0000040	XP_024007589.1	XP_018460803.1, XP_018487809.1
OG0000040	XP_024004988.1	XP_018453539.1, XP_018463233.1, XP_018461220.1, XP_018436156.1, XP_018435870.1, XP_018462983.1, XP_018487561.1, XP_018448193.1, XP_018453481.1, XP_018436477.1, XP_018460961.1, XP_018467278.1, XP_018473788.1, XP_018488210.1, XP_018458625.1, XP_018479372.1, XP_018464335.1, XP_018443222.1, XP_018479331.1, XP_018477166.1, XP_018479218.1
OG0000040	XP_024013326.1	XP_018443419.1
OG0000041	XP_024011200.1	XP_018464686.1
OG0000041	XP_024004768.1	XP_018472294.1
OG0000041	XP_024011348.1	XP_018448715.1
OG0000042	XP_024009944.1	XP_018467598.1, XP_018463824.1
OG0000042	XP_024006466.1	XP_018435669.1
OG0000043	XP_024014240.1	XP_018465687.1
OG0000044	XP_024004579.1	XP_018466419.1
OG0000044	XP_024011128.1	XP_018448646.1
OG0000044	XP_024013343.1	XP_018440461.1, XP_018440462.1
OG0000044	XP_024009991.1	XP_018448890.1
OG0000044	XP_006398345.1	XP_018441634.1
OG0000044	XP_024005671.1	XP_018449081.1
OG0000046	XP_024015030.1	XP_018472630.1
OG0000046	XP_006401889.2, XP_024011380.1, XP_006389862.1, XP_024013796.1, XP_024010208.1, XP_006403918.2, XP_024006486.1, XP_024009662.1, XP_024009472.1, XP_024009471.1, XP_024009726.1, XP_024010419.1	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1
OG0000047	XP_024014421.1	XP_018479492.1, XP_018458501.1
OG0000048	XP_024005913.1	XP_018436807.1
OG0000048	XP_006391498.1	XP_018465159.1, XP_018458896.1, XP_018468803.1
OG0000048	XP_006407903.2	XP_018453414.1
OG0000049	XP_024006537.1	XP_018479287.1, XP_018453617.1, XP_018453786.1, XP_018479358.1
OG0000049	XP_024006627.1, XP_024013200.1, XP_024010060.1	XP_018474144.1, XP_018474143.1
OG0000049	XP_024009363.1	XP_018453597.1
OG0000050	XP_024013613.1, XP_024009750.1	XP_018487606.1, XP_018479191.1
OG0000050	XP_024015913.1, XP_024007981.1	XP_018479406.1
OG0000051	XP_024009195.1, XP_006418389.2, XP_024008111.1	XP_018493126.1
OG0000051	XP_006411503.1	XP_018482785.1, XP_018482784.1, XP_018473989.1
OG0000051	XP_006392148.1, XP_024013725.1, XP_024013699.1	XP_018435533.1, XP_018438374.1, XP_018463100.1, XP_018455750.1, XP_018463099.1
OG0000051	XP_024004231.1	XP_018489710.1, XP_018489712.1, XP_018436544.1, XP_018436543.1
OG0000051	XP_024004184.1	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1
OG0000052	XP_024007553.1	XP_018454118.1
OG0000052	XP_024008507.1	XP_018433197.1, XP_018454367.1, XP_018454366.1
OG0000052	XP_006404188.1, XP_024010967.1	XP_018493248.1
OG0000054	XP_024013594.1, XP_024009364.1	XP_018487733.1
OG0000054	XP_024013114.1, XP_024013119.1	XP_018460999.1
OG0000054	XP_024010469.1	XP_018453724.1
OG0000054	XP_024009580.1, XP_024007298.1, XP_024007316.1	XP_018436134.1
OG0000055	XP_006398121.1, XP_006406735.1	XP_018491504.1, XP_018488447.1, XP_018488227.1
OG0000056	XP_006391935.1	XP_018452237.1
OG0000056	XP_024016867.1	XP_018452289.1, XP_018452239.1, XP_018452238.1, XP_018454291.1
OG0000058	XP_024013600.1	XP_018467931.1, XP_018487493.1
OG0000058	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1	XP_018464464.1, XP_018458133.1, XP_018458116.1, XP_018459170.1, XP_018487916.1, XP_018453759.1, XP_018462577.1, XP_018462557.1, XP_018480044.1, XP_018473916.1, XP_018473917.1, XP_018435571.1, XP_018462760.1, XP_018461876.1, XP_018457139.1
OG0000058	XP_024009371.1, XP_024012609.1	XP_018464202.1, XP_018477823.1, XP_018458662.1
OG0000059	XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1	XP_018469270.1, XP_018438946.1, XP_018480125.1, XP_018490555.1
OG0000059	XP_024016529.1, XP_024007942.1, XP_024010231.1, XP_024005865.1	XP_018448672.1, XP_018492198.1, XP_018465516.1, XP_018443523.1, XP_018480052.1, XP_018479349.1
OG0000060	XP_006418920.1	XP_018439064.1, XP_018465955.1, XP_018434873.1
OG0000060	XP_006410944.1	XP_018466002.1
OG0000060	XP_006403660.1	XP_018463191.1
OG0000060	XP_006400928.1, XP_006418982.1	XP_018450799.1
OG0000061	XP_006400395.1	XP_018463136.1, XP_018463514.1
OG0000061	XP_006410039.1	XP_018478319.1, XP_018440849.1, XP_018462174.1
OG0000062	XP_024009412.1	XP_018463607.1, XP_018464509.1
OG0000062	XP_024004127.1	XP_018474002.1
OG0000062	XP_024014903.1, XP_024011317.1	XP_018462678.1, XP_018463439.1, XP_018460631.1, XP_018460515.1
OG0000062	XP_024016230.1, XP_024010222.1, XP_024006614.1, XP_024010315.1, XP_024006463.1, XP_024009419.1, XP_024011092.1, XP_024016359.1	XP_018453735.1
OG0000062	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010298.1, XP_024010297.1, XP_024008041.1, XP_024010226.1, XP_024010620.1, XP_024016291.1, XP_024011215.1, XP_024013963.1, XP_024009617.1, XP_024010321.1, XP_024009248.1	XP_018479829.1, XP_018467054.1, XP_018453734.1, XP_018487794.1, XP_018458698.1
OG0000064	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1	XP_018459458.1, XP_018459460.1, XP_018459461.1, XP_018459459.1, XP_018458876.1, XP_018458874.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1
OG0000065	XP_024012825.1	XP_018470312.1
OG0000065	XP_024014567.1	XP_018445374.1, XP_018470553.1, XP_018470311.1, XP_018442727.1, XP_018444185.1
OG0000065	XP_024014561.1	XP_018479670.1
OG0000065	XP_024014419.1	XP_018435200.1, XP_018462982.1, XP_018481866.1, XP_018462609.1, XP_018479313.1, XP_018464676.1, XP_018481217.1
OG0000066	XP_024012002.1	XP_018439713.1
OG0000066	XP_006394194.1	XP_018448989.1
OG0000066	XP_006394044.1	XP_018448990.1
OG0000066	XP_006399597.1, XP_006390289.1	XP_018447173.1, XP_018443026.1, XP_018450392.1
OG0000067	XP_024010589.1	XP_018460919.1, XP_018463862.1, XP_018473775.1
OG0000067	XP_024013907.1	XP_018448865.1
OG0000067	XP_024014292.1	XP_018436246.1, XP_018436236.1
OG0000067	XP_024011136.1	XP_018465377.1, XP_018459048.1, XP_018479351.1
OG0000068	XP_024014925.1	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1
OG0000068	XP_024012324.1	XP_018481460.1, XP_018464891.1, XP_018483168.1, XP_018482126.1, XP_018481938.1, XP_018443542.1, XP_018465698.1, XP_018482079.1, XP_018478114.1, XP_018478695.1, XP_018478694.1, XP_018474857.1, XP_018475140.1, XP_018472752.1, XP_018472753.1
OG0000068	XP_006413393.1	XP_018479852.1, XP_018451192.1, XP_018451190.1, XP_018433874.1, XP_018433854.1, XP_018433855.1, XP_018433875.1, XP_018452236.1
OG0000069	XP_006402374.1, XP_006404944.1	XP_018458214.1, XP_018435567.1, XP_018479283.1, XP_018458190.1
OG0000069	XP_024016442.1, XP_006390571.2	XP_018475767.1, XP_018479965.1, XP_018479843.1
OG0000070	XP_006395735.1	XP_018439895.1, XP_018455246.1
OG0000070	XP_006416426.1	XP_018467172.1, XP_018435343.1
OG0000070	XP_006390250.1	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000070	XP_006402629.2	XP_018475135.1
OG0000072	XP_024014710.1	XP_018453574.1
OG0000073	XP_024006136.1	XP_018464388.1
OG0000073	XP_024014455.1, XP_024015941.1	XP_018488189.1
OG0000073	XP_024007936.1	XP_018448749.1, XP_018436121.1
OG0000074	XP_024016530.1	XP_018453670.1
OG0000074	XP_024016104.1	XP_018443663.1
OG0000074	XP_024004866.1	XP_018478850.1
OG0000074	XP_024016279.1, XP_024013158.1	XP_018460750.1, XP_018435910.1, XP_018460637.1, XP_018448896.1
OG0000074	XP_024016228.1	XP_018477791.1
OG0000074	XP_024007928.1, XP_024006149.1	XP_018473819.1, XP_018479581.1
OG0000074	XP_024006141.1, XP_024010303.1, XP_024004054.1	XP_018463378.1
OG0000074	XP_024007677.1, XP_024004756.1, XP_024008105.1, XP_024006609.1	XP_018453745.1, XP_018453747.1, XP_018479674.1
OG0000074	XP_024013961.1, XP_024006432.1	XP_018435955.1, XP_018435897.1
OG0000075	XP_024009720.1, XP_024009721.1	XP_018467919.1, XP_018459482.1, XP_018471019.1, XP_018453598.1
OG0000076	XP_006411683.1	XP_018480217.1
OG0000076	XP_006410067.1, XP_024004059.1	XP_018435433.1, XP_018436299.1, XP_018488002.1, XP_018454002.1, XP_018436289.1, XP_018436283.1, XP_018436285.1, XP_018436286.1, XP_018437674.1, XP_018467455.1, XP_018482750.1, XP_018436301.1
OG0000076	XP_024004093.1, XP_024004091.1, XP_006410069.1, XP_006410074.2, XP_006410076.1, XP_006410126.2, XP_024004081.1, XP_006410042.2, XP_006410043.2, XP_006410041.1	XP_018436349.1, XP_018476025.1, XP_018475567.1, XP_018463206.1, XP_018474153.1, XP_018464851.1, XP_018463265.1, XP_018482751.1, XP_018469272.1, XP_018436302.1, XP_018474027.1, XP_018474028.1, XP_018436303.1
OG0000076	XP_006397224.1, XP_006397217.1, XP_024010292.1, XP_006397043.1	XP_018462841.1, XP_018475048.1, XP_018474599.1, XP_018474598.1, XP_018443200.1, XP_018443823.1, XP_018460203.1, XP_018473529.1, XP_018460207.1, XP_018460209.1, XP_018472945.1, XP_018460208.1, XP_018474714.1, XP_018473780.1, XP_018473779.1
OG0000077	XP_024004738.1	XP_018455183.1
OG0000077	XP_006398175.2	XP_018483784.1
OG0000077	XP_006395717.2, XP_006395727.1	XP_018435698.1
