Orthogroup	Eutrema_salsugineum	Camelina_sativa
OG0000008	XP_024007971.1	XP_010451894.1
OG0000008	XP_024013173.1	XP_019099860.1, XP_010431254.1, XP_010507402.1, XP_010507400.1, XP_019101905.1, XP_010431252.2
OG0000008	XP_024010217.1, XP_024010377.1	XP_019097389.1, XP_019092334.1, XP_010480870.1, XP_019084336.1
OG0000009	XP_024013918.1, XP_024007904.1	XP_019097316.1
OG0000009	XP_024010394.1	XP_010462909.1, XP_010507589.1
OG0000009	XP_006404467.1, XP_024014738.1, XP_024010667.1, XP_024015832.1, XP_024006416.1	XP_010445906.1, XP_010473781.1
OG0000009	XP_024007257.1, XP_024009950.1	XP_010506896.1, XP_010507310.1, XP_019093287.1, XP_010495420.1, XP_010456726.1
OG0000009	XP_024011403.1, XP_024016212.1	XP_019089031.1
OG0000011	XP_024014025.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1	XP_010496928.1, XP_010501572.1, XP_019084218.1, XP_010497051.1, XP_010496929.1, XP_010456825.1, XP_010496981.1, XP_010480376.1, XP_010451291.1
OG0000011	XP_024004159.1, XP_024015297.1	XP_010451589.1, XP_019094549.1, XP_010496057.1, XP_010495781.2, XP_010501777.1
OG0000011	XP_024014196.1	XP_010436526.1, XP_019087679.1, XP_010431020.1
OG0000011	XP_024014814.1, XP_024011246.1	XP_010463347.1, XP_010436569.1, XP_010445159.1, XP_010463024.1
OG0000011	XP_024004160.1	XP_019082656.1, XP_010424386.1, XP_010463179.1
OG0000011	XP_024013228.1	XP_019086294.1, XP_019087453.1, XP_010471647.1
OG0000011	XP_024016750.1	XP_010485259.1, XP_010412777.1
OG0000012	XP_024010329.1	XP_010420789.1
OG0000012	XP_024010254.1, XP_024009382.1, XP_024009379.1, XP_024004817.1, XP_024016208.1, XP_024013308.1, XP_024006882.1, XP_024015930.1, XP_024014989.1, XP_024006092.1, XP_024013538.1, XP_024013984.1, XP_024013319.1, XP_024007927.1, XP_024006840.1, XP_024006606.1, XP_024009011.1, XP_024010250.1, XP_024014667.1, XP_024007778.1, XP_024013297.1, XP_024004787.1, XP_024009476.1, XP_024014518.1, XP_024009301.1, XP_024004077.1, XP_024011119.1, XP_024009973.1, XP_024016528.1, XP_024010312.1, XP_024006271.1, XP_024011218.1, XP_024016237.1, XP_024016855.1, XP_024007215.1, XP_024011231.1	XP_010456918.1, XP_010489976.1, XP_019087426.1, XP_019097606.1, XP_010507182.1, XP_019094134.1, XP_010473919.1, XP_010462803.1, XP_019100981.1, XP_010513730.1, XP_010467672.1
OG0000014	XP_024013115.1, XP_024014009.1, XP_024005602.1, XP_024005000.1, XP_024015955.1	XP_010470900.1
OG0000014	XP_006408809.2	XP_010496850.1, XP_010507594.1
OG0000014	XP_024013164.1	XP_019089243.1, XP_019085515.1, XP_019089188.1, XP_019085407.1
OG0000014	XP_024014048.1	XP_010495824.1, XP_019100932.1
OG0000014	XP_024013196.1, XP_024005930.1, XP_024011382.1, XP_024011409.1	XP_019086291.1
OG0000015	XP_024009420.1	XP_010451702.1, XP_010497067.1, XP_010495723.1, XP_010430713.1, XP_010424221.1, XP_010497070.1, XP_019101930.1, XP_010481012.1, XP_010513208.1
OG0000015	XP_024012449.1	XP_010427798.1
OG0000015	XP_024013064.1	XP_010474544.1
OG0000016	XP_024014539.1	XP_010456869.1
OG0000016	XP_024009219.1	XP_019097468.1, XP_019089192.1
OG0000016	XP_024010546.1	XP_019096474.1
OG0000016	XP_024011334.1, XP_024013809.1	XP_019101859.1, XP_010412662.1, XP_010412664.1, XP_010462765.1, XP_010496096.1, XP_019089253.1, XP_019092323.1, XP_019097462.1, XP_019089247.1
OG0000018	XP_024010601.1	XP_010461832.1
OG0000020	XP_024013930.1, XP_024006617.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024013948.1, XP_024013964.1, XP_024013965.1, XP_006405034.2, XP_024010782.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013043.1, XP_024013056.1, XP_024010319.1, XP_024014443.1, XP_024006547.1, XP_024014425.1, XP_024007259.1, XP_024009794.1, XP_024011333.1, XP_024006565.1, XP_024013063.1, XP_024010757.1, XP_024016106.1, XP_024014812.1, XP_024015878.1, XP_024010923.1, XP_024016723.1, XP_024004986.1, XP_024015902.1	XP_019087487.1, XP_010473965.2, XP_010496135.2, XP_010417447.2, XP_010506998.1, XP_010419513.2, XP_010485084.1, XP_019093393.1, XP_010490144.2, XP_010445327.2
OG0000020	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1	XP_019084343.1
OG0000020	XP_024016132.1, XP_024015881.1, XP_024014745.1, XP_024014258.1, XP_024010776.1, XP_024011342.1, XP_024014221.1	XP_019082585.1
OG0000021	XP_024013384.1	XP_010431203.2, XP_019096510.1, XP_019100928.1
OG0000021	XP_024008232.1	XP_019091495.1
OG0000022	XP_006413138.1	XP_010438694.1, XP_010448208.1, XP_010433436.1
OG0000022	XP_006400202.2	XP_010453827.1, XP_019084725.1, XP_010492576.1
OG0000022	XP_006391807.1	XP_010419482.1
OG0000022	XP_006391833.2	XP_019082759.1, XP_019087557.1, XP_010473491.1, XP_010418269.1, XP_010430336.1
OG0000022	XP_006391829.2	XP_019093419.1, XP_010462675.2, XP_010474584.1, XP_019085228.1, XP_010419465.1
OG0000022	XP_006417237.2	XP_010458700.1, XP_010458689.1, XP_019090833.1, XP_019095236.1, XP_010458718.1, XP_010476232.1, XP_010456672.1
OG0000022	XP_006417199.1, XP_006417205.1, XP_006417216.1	XP_019091381.1, XP_010476184.1, XP_010476252.1, XP_019094809.1, XP_019098970.1, XP_019090986.1, XP_010458712.1, XP_010462662.1, XP_010493846.1, XP_010494656.1
OG0000022	XP_006391605.2	XP_010418529.1, XP_010430597.1
OG0000022	XP_024014798.1	XP_010447152.1, XP_010436064.1
OG0000022	XP_024015415.1	XP_019096254.1, XP_010504570.1, XP_010465692.1
OG0000023	XP_024013410.1	XP_019083197.1, XP_010506933.1
OG0000023	XP_024004018.1, XP_024010417.1	XP_010431119.1, XP_010425465.1, XP_010490322.1, XP_010436664.1
OG0000023	XP_024016113.1	XP_010489845.1, XP_010473334.1, XP_010412528.1, XP_019086325.1, XP_010495686.1
OG0000023	XP_024005009.1	XP_010424360.1
OG0000023	XP_024007961.1, XP_024010549.1, XP_024014546.1, XP_024015958.1	XP_010490106.1
OG0000023	XP_024006560.1	XP_010480840.1, XP_010513121.1
OG0000023	XP_024009593.1	XP_010445644.1
OG0000023	XP_024011315.1	XP_010495590.1
OG0000023	XP_024016362.1	XP_010468561.1, XP_010463429.1
OG0000023	XP_024016167.1	XP_010424636.1
OG0000024	XP_006415351.1	XP_019094488.1
OG0000024	XP_024006555.1	XP_010480824.1
OG0000024	XP_024004275.1	XP_010431261.1, XP_010515603.1, XP_010504688.1, XP_010427639.1, XP_010427857.1, XP_010431427.1, XP_010427640.1, XP_010504689.1, XP_010427641.1, XP_019100391.1
OG0000025	XP_024007336.1	XP_010438543.1, XP_010496538.1
OG0000025	XP_024013062.1	XP_010424792.1
OG0000025	XP_024006403.1, XP_024014257.1, XP_024015953.1, XP_024011323.1, XP_024014480.1, XP_024007296.1, XP_024013049.1, XP_024004954.1, XP_024012916.1, XP_024010763.1, XP_024014390.1, XP_024013392.1, XP_024014398.1, XP_024010323.1, XP_024011260.1, XP_024004142.1, XP_024015028.1, XP_024004413.1, XP_024014090.1, XP_024010651.1, XP_024009163.1, XP_024014222.1, XP_024015865.1, XP_024014393.1, XP_024004761.1, XP_024014962.1, XP_024010657.1, XP_024004987.1, XP_024006404.1, XP_024015864.1, XP_024007297.1, XP_024014500.1, XP_024012918.1	XP_010495239.1, XP_010495240.1, XP_010507228.1
OG0000025	XP_024013403.1, XP_024013306.1, XP_024009983.1, XP_024006433.1, XP_024014732.1, XP_024014743.1, XP_024007900.1, XP_024013980.1, XP_024010438.1, XP_024010204.1, XP_024015304.1, XP_024009430.1, XP_024010439.1	XP_010474036.1, XP_010424602.1, XP_010496134.1, XP_010490452.1, XP_010474526.1, XP_010424785.1, XP_010474094.1, XP_010419434.1, XP_019084250.1, XP_010445859.1, XP_010501852.1
OG0000025	XP_024009325.1, XP_024006530.1, XP_024011284.1, XP_024013992.1	XP_010445838.1
OG0000027	XP_024009838.1, XP_006396897.2	XP_010434897.1, XP_010455557.1, XP_010455558.1
OG0000027	XP_006396896.1	XP_019089721.1
OG0000027	XP_006413565.1	XP_010439188.2, XP_010433919.1
OG0000027	XP_024013896.1	XP_019086460.1
OG0000027	XP_024004623.1	XP_010439208.1, XP_010433929.1, XP_010448752.1
OG0000027	XP_006413573.1	XP_019087878.1
OG0000029	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1	XP_019085353.1, XP_019083999.1, XP_019095330.1, XP_019088516.1, XP_019092964.1, XP_019097126.1, XP_010501650.1, XP_010484850.2, XP_019097927.1, XP_019092098.1, XP_019098406.1, XP_019093987.1, XP_010431039.1
OG0000029	XP_024013054.1, XP_024013055.1, XP_024004809.1	XP_019101704.1, XP_010451391.1, XP_010507235.1
OG0000029	XP_024007219.1, XP_024004754.1, XP_024004102.1	XP_010515282.1
OG0000030	XP_006391637.1	XP_010424523.1, XP_010487966.1, XP_019092251.1, XP_010463131.1, XP_010481059.1
OG0000030	XP_024008003.1	XP_010462901.2, XP_010462898.1, XP_010462936.2, XP_010462910.2, XP_010477981.2, XP_019091238.1, XP_010499061.1, XP_010506941.1, XP_010481243.1
OG0000030	XP_024009293.1	XP_019093261.1
OG0000030	XP_024016186.1	XP_019099946.1, XP_019099931.1, XP_010431180.1
OG0000030	XP_024015244.1	XP_019096352.1
OG0000031	XP_024014022.1	XP_019082588.1
OG0000031	XP_024011171.1	XP_010444656.1, XP_010424185.1
OG0000031	XP_024007913.1	XP_010513198.1
OG0000032	XP_024009309.1	XP_010457003.2, XP_010412532.1, XP_010451598.1, XP_010494552.1
OG0000032	XP_024007229.1	XP_010451099.1
OG0000032	XP_024007954.1	XP_010445680.1, XP_010473999.1, XP_010425095.1
OG0000032	XP_024004841.1, XP_024010402.1	XP_010484862.1, XP_010436751.1, XP_010497251.1, XP_010412531.1, XP_019097480.1, XP_010484906.1, XP_010473639.1, XP_010446027.1, XP_010418918.1, XP_010436558.1, XP_010421223.1, XP_010497271.1
OG0000034	XP_006413571.1, XP_024010975.1	XP_010433941.1, XP_010439209.1, XP_010448753.1
OG0000034	XP_006413574.2	XP_010439226.1, XP_010439227.1
OG0000034	XP_024005104.1	XP_019086474.1, XP_019089519.1, XP_010434185.1, XP_019088150.1, XP_019089518.1
OG0000034	XP_006413567.2	XP_010439190.1, XP_019089061.1, XP_019086461.1, XP_019087860.1, XP_010451231.2, XP_010448725.1, XP_010448726.1
OG0000034	XP_024004626.1	XP_010439220.1, XP_010448755.1, XP_010433938.1
OG0000038	XP_024006448.1	XP_019090156.1, XP_019096519.1, XP_019089825.1
OG0000038	XP_024011196.1	XP_019082574.1, XP_019100874.1, XP_019091076.1, XP_019082567.1, XP_019087515.1, XP_019093356.1, XP_019100930.1, XP_019094577.1, XP_019097481.1, XP_019101903.1, XP_019097441.1, XP_019085229.1, XP_019085226.1, XP_019099619.1, XP_019086837.1, XP_019101577.1
OG0000039	XP_024006661.1	XP_019097465.1, XP_019097412.1, XP_019094533.1, XP_019098312.1, XP_019095577.1, XP_019085510.1, XP_019089232.1, XP_019090134.1, XP_019094562.1, XP_019094561.1, XP_019097448.1, XP_019098351.1, XP_019098390.1, XP_019098326.1, XP_019099627.1, XP_019097476.1, XP_019100901.1, XP_019099563.1, XP_019089054.1, XP_019098388.1, XP_019098337.1, XP_019098135.1, XP_019085563.1, XP_019098366.1, XP_019098352.1, XP_019098360.1, XP_019096026.1, XP_019089187.1, XP_019098311.1, XP_019101966.1, XP_019082856.1, XP_019087510.1, XP_019099678.1, XP_019097467.1, XP_019100868.1, XP_019082678.1, XP_019086329.1
OG0000040	XP_024006069.1	XP_010490455.1
OG0000040	XP_024004874.1, XP_024006081.1, XP_024004163.1	XP_019090150.1, XP_019089979.1
OG0000040	XP_024007589.1	XP_019084027.1, XP_019100690.1, XP_019099950.1, XP_019088174.1, XP_019094516.1, XP_019095793.1, XP_019102288.1, XP_019101895.1
OG0000040	XP_024007926.1	XP_010480899.1
OG0000041	XP_024004893.1	XP_010496670.1, XP_010420068.1
OG0000041	XP_024011200.1	XP_019093231.1, XP_019096492.1, XP_010412906.1, XP_019099748.1, XP_019086118.1, XP_019086485.1, XP_019086302.1, XP_019096323.1, XP_010436786.1, XP_019087653.1, XP_019099719.1, XP_019099720.1
OG0000041	XP_024011348.1	XP_019095626.1, XP_019087375.1, XP_019085432.1
OG0000041	XP_024013542.1	XP_019099649.1, XP_019096533.1, XP_019097420.1
OG0000042	XP_024009659.1	XP_010415464.1, XP_010456305.1
OG0000042	XP_024009944.1	XP_019101232.1, XP_010468709.1
OG0000042	XP_024006466.1	XP_010463124.1
OG0000043	XP_024014240.1	XP_010463327.1, XP_010423930.1, XP_010424468.1, XP_010463046.1, XP_010497241.1, XP_010501876.1, XP_019099585.1, XP_010445958.1, XP_010422854.1, XP_010490075.1, XP_019098185.1, XP_010451890.1, XP_010468194.1, XP_010462654.1, XP_019087448.1, XP_010424030.1, XP_010424324.1
OG0000044	XP_024004579.1	XP_019089124.1
OG0000044	XP_006398339.2	XP_010494828.1
OG0000044	XP_024013343.1	XP_010441602.1, XP_010496016.1, XP_010481473.1, XP_010496021.1
OG0000044	XP_024009991.1	XP_019095933.1
OG0000044	XP_006398345.1	XP_019096918.1
OG0000046	XP_024015030.1	XP_019091484.1
OG0000046	XP_024009472.1, XP_024009471.1	XP_010502335.1
OG0000047	XP_024014421.1	XP_010462614.1, XP_010430681.1, XP_010489839.1
OG0000047	XP_024011365.1	XP_010468710.1
OG0000048	XP_024005913.1	XP_010480341.1
OG0000048	XP_006410338.1	XP_010418692.1, XP_010513136.1, XP_019082534.1, XP_010510111.2, XP_019099592.1, XP_010430751.1
OG0000048	XP_006407903.2	XP_010431681.1, XP_019082751.1, XP_010431684.1, XP_010431683.1, XP_010419453.1
OG0000049	XP_024006537.1	XP_010412651.1, XP_019089143.1, XP_010484995.1, XP_019086715.1, XP_010424622.1, XP_010485132.1, XP_019101779.1, XP_010490450.1, XP_010445345.1, XP_010468354.1, XP_010463092.1, XP_010451390.1, XP_019084216.1, XP_010436765.1, XP_010420948.1, XP_010490134.1, XP_010484894.1, XP_010462626.1, XP_019084235.1
OG0000049	XP_024006627.1, XP_024013200.1	XP_019095674.1
OG0000049	XP_024010060.1	XP_019086215.1, XP_019085512.1, XP_019091164.1
OG0000050	XP_024015913.1, XP_024007981.1	XP_010463383.1
OG0000051	XP_006418389.2, XP_024008111.1	XP_010475218.1, XP_019098849.1, XP_019094361.1, XP_019094954.1, XP_010457379.1
OG0000051	XP_006392148.1, XP_024013725.1, XP_024013699.1	XP_010419487.1, XP_010474608.1, XP_019085682.1
OG0000051	XP_024004184.1	XP_019100718.1, XP_019102056.1
OG0000052	XP_024007553.1	XP_019100897.1, XP_010418932.1, XP_010418929.2, XP_010507020.2, XP_010502644.1, XP_019101817.1, XP_010425426.1, XP_010502642.1, XP_010514366.1, XP_010430778.1, XP_010440300.1, XP_019085462.1, XP_019085408.1
OG0000052	XP_024008507.1	XP_010515571.1, XP_010426725.1, XP_010503847.2
OG0000052	XP_006404186.1, XP_024013434.1	XP_010426407.1
OG0000052	XP_006404188.1, XP_024010967.1	XP_010471335.1, XP_010416064.1, XP_010428193.1, XP_019085547.1, XP_019099693.1, XP_019085544.1, XP_010507328.1
OG0000054	XP_024013594.1	XP_010419041.1, XP_010420509.1, XP_010423961.1, XP_010485112.1
OG0000054	XP_024009364.1	XP_010419011.1
OG0000054	XP_024010408.1, XP_024009470.1, XP_024013312.1, XP_024016521.1, XP_024013525.1, XP_024015866.1, XP_024010276.1, XP_024013449.1	XP_010507119.1
OG0000054	XP_024013114.1, XP_024013119.1	XP_019085386.1
OG0000054	XP_024009399.1	XP_010468617.1
OG0000054	XP_024016309.1	XP_019086339.1, XP_010507141.1
OG0000054	XP_024009765.1, XP_024010410.1	XP_010496997.1, XP_010451813.1
OG0000054	XP_024013932.1, XP_024006559.1, XP_024010157.1	XP_010473115.1
OG0000054	XP_024010469.1	XP_019089207.1
OG0000054	XP_024007282.1, XP_024010278.1, XP_024004993.1, XP_024014049.1, XP_024013966.1, XP_024010381.1, XP_024015903.1, XP_024006435.1, XP_024004823.1, XP_024009187.1, XP_024010437.1, XP_024009578.1, XP_024007262.1	XP_010451735.1
OG0000054	XP_024006482.1	XP_010501857.1, XP_010484908.1
OG0000054	XP_024013069.1	XP_010451852.2
OG0000054	XP_024009580.1	XP_010490378.1, XP_010507049.1, XP_010506879.1
OG0000054	XP_024007298.1, XP_024007316.1	XP_019098175.1, XP_010463155.1, XP_010424414.1
OG0000054	XP_024015897.1, XP_024007304.1, XP_024015898.1	XP_010496446.1, XP_010480724.1
OG0000054	XP_024010349.1	XP_019093255.1
OG0000055	XP_024012536.1	XP_010487026.1, XP_019099114.1, XP_019092423.1, XP_019096980.1
OG0000055	XP_006398121.1, XP_006406735.1	XP_010468237.1, XP_010466015.1, XP_010419774.1, XP_010468273.1, XP_010489926.1, XP_010507202.1, XP_010487805.1, XP_010465999.1, XP_019092636.1, XP_010456592.1
OG0000055	XP_024016535.1	XP_019092372.1, XP_019089014.1, XP_019092647.1, XP_010490397.2, XP_010449648.2
OG0000056	XP_006405761.2	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1
OG0000058	XP_024013600.1	XP_019086887.1, XP_010493433.1, XP_010496594.1
OG0000058	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1	XP_010468509.1, XP_010513254.1, XP_010506939.1, XP_010480419.1, XP_010484891.1, XP_010468544.1, XP_010485044.1, XP_010412459.1, XP_019098310.1, XP_019096550.1, XP_019086270.1, XP_019101868.1, XP_019100846.1, XP_019101359.1, XP_019093349.1, XP_010507005.2, XP_019090153.1, XP_019099752.1, XP_010495718.2, XP_010457035.1, XP_010472188.1, XP_010441848.1, XP_010445492.1, XP_010430898.2, XP_019093221.1
OG0000058	XP_024016265.1	XP_010481117.1, XP_010451663.1, XP_010451610.1, XP_010424604.1, XP_010430895.1, XP_019100940.1, XP_019089256.1, XP_019098331.1, XP_019089167.1, XP_010507288.1
OG0000058	XP_024009371.1, XP_024012609.1	XP_019085657.1, XP_010445597.1
