Orthogroup	Eutrema_salsugineum	Cardamine_glauca
OG0000004	XP_024007302.1	Cg005G1712500, Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400, Cg007G2356200, Cg005G1738500, Cg005G1738100, Cg005G1737900, Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700
OG0000004	XP_024009381.1, XP_024016564.1, XP_024011370.1, XP_024016539.1, XP_024009341.1, XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024014224.1, XP_024009247.1, XP_024014847.1, XP_024016570.1	Cg004G1187900
OG0000005	XP_024016125.1, XP_024013775.1	Cg006G1917400
OG0000005	XP_024009771.1, XP_024007306.1	Cg004G1316700, Cg001G0326200, Cg001G0340800
OG0000007	XP_024011120.1	Cg006G1891100
OG0000008	XP_024013171.1, XP_024010288.1, XP_024007970.1, XP_024013997.1, XP_024010682.1, XP_024009322.1, XP_024015209.1, XP_024009407.1, XP_024014486.1, XP_024013969.1, XP_024004792.1, XP_024006454.1, XP_024009495.1, XP_024009967.1, XP_024013989.1, XP_024014489.1	Cg002G0653600
OG0000008	XP_024013173.1	Cg002G0512100, Cg002G0565700
OG0000009	XP_024014484.1, XP_024013044.1, XP_024009292.1	Cg007G2452800
OG0000009	XP_024013918.1, XP_024007904.1	Cg008G2714900
OG0000009	XP_024004860.1, XP_024010394.1	Cg005G1737500
OG0000009	XP_024007257.1, XP_024009950.1	Cg008G2845600
OG0000011	XP_024003759.1, XP_024004876.1, XP_024016548.1	Cg003G0778000
OG0000011	XP_024014259.1, XP_024004159.1, XP_024015297.1, XP_024014196.1, XP_024013207.1, XP_024014814.1, XP_024011246.1, XP_024004160.1	Cg005G1679200
OG0000011	XP_024013228.1	Cg005G1679100
OG0000012	XP_024010663.1, XP_024004111.1, XP_024013978.1, XP_024006076.1, XP_024004769.1, XP_024016352.1, XP_006390305.1, XP_024008034.1, XP_024006880.1, XP_024004313.1, XP_024007964.1, XP_024013590.1, XP_024004088.1, XP_024013911.1, XP_024004169.1, XP_024005329.1, XP_024014256.1, XP_024004751.1, XP_024015027.1, XP_024011205.1, XP_024007772.1, XP_024013764.1, XP_024008044.1, XP_024010049.1, XP_024004131.1, XP_024006429.1, XP_024004872.1, XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024007953.1, XP_024015281.1, XP_024006278.1, XP_024006105.1, XP_024005001.1, XP_024006611.1, XP_024010628.1, XP_024009442.1, XP_024004156.1, XP_024011358.1, XP_024016363.1, XP_024009190.1, XP_024004052.1, XP_024010680.1, XP_024007768.1, XP_024004173.1	Cg005G1703300
OG0000014	XP_024014048.1	Cg001G0103300
OG0000015	XP_024006143.1	Cg001G0251200
OG0000015	XP_024007917.1	Cg004G1297400
OG0000016	XP_024010588.1	Cg002G0591300
OG0000018	XP_024010601.1	Cg003G0814300
OG0000020	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1	Cg004G1313600
OG0000021	XP_024013384.1	Cg006G1871200
OG0000021	XP_024008232.1	Cg006G1912000, Cg004G1333000
OG0000022	XP_006413138.1	Cg001G0134600
OG0000022	XP_006391833.2	Cg007G2277400
OG0000022	XP_024014798.1	Cg001G0385000
OG0000022	XP_024015415.1	Cg004G1232100
OG0000023	XP_024013410.1, XP_024013199.1	Cg007G2371000
OG0000023	XP_024016167.1	Cg006G2067800
OG0000024	XP_024006555.1	Cg002G0647900
OG0000024	XP_024004275.1, XP_006402766.1	Cg002G0447000, Cg002G0448700
OG0000025	XP_024007336.1	Cg007G2444400
OG0000025	XP_024006403.1, XP_024014257.1, XP_024015953.1, XP_024011323.1, XP_024014480.1, XP_024007296.1, XP_024013049.1, XP_024004954.1, XP_024012916.1, XP_024010763.1, XP_024014390.1, XP_024013392.1, XP_024014398.1, XP_024010323.1, XP_024011260.1, XP_024004142.1, XP_024015028.1, XP_024004413.1, XP_024014090.1, XP_024010651.1, XP_024009163.1, XP_024014222.1, XP_024015865.1, XP_024014393.1, XP_024004761.1, XP_024014962.1, XP_024010657.1, XP_024004987.1, XP_024006404.1, XP_024015864.1, XP_024007297.1, XP_024014500.1, XP_024012918.1	Cg005G1690200, Cg004G1264500
OG0000027	XP_024009838.1, XP_006396897.2	Cg003G0758800, Cg003G0758600
OG0000027	XP_006396896.1	Cg003G0758500
OG0000027	XP_006413565.1	Cg001G0170600
OG0000027	XP_024009837.1	Cg003G0758900
OG0000027	XP_024013896.1	Cg001G0171100
OG0000027	XP_006396890.1	Cg003G0757800
OG0000027	XP_024004623.1	Cg001G0171900
OG0000027	XP_006413573.1	Cg001G0171700
OG0000029	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1	Cg007G2405400, Cg007G2364600, Cg001G0384100
OG0000030	XP_006391637.1	Cg004G1270000
OG0000030	XP_024008003.1	Cg006G1982700, Cg001G0286900
OG0000030	XP_024016186.1	Cg002G0532900
OG0000031	XP_024011171.1, XP_024007913.1, XP_024013167.1, XP_024016245.1, XP_024012481.1, XP_024014868.1, XP_024010652.1, XP_024013936.1, XP_024010348.1, XP_024013381.1, XP_024010913.1, XP_024006569.1, XP_024009588.1, XP_024010453.1, XP_024006101.1, XP_024007284.1, XP_024008024.1, XP_024014349.1, XP_024006862.1, XP_024006618.1, XP_024016129.1, XP_024011268.1, XP_024008010.1, XP_024009300.1, XP_024006120.1	Cg003G0842000
OG0000034	XP_006413571.1, XP_024010975.1	Cg001G0172000
OG0000034	XP_006413574.2	Cg001G0172500
OG0000034	XP_024005104.1	Cg001G0190400, Cg001G0190500
OG0000034	XP_006413567.2	Cg001G0170800
OG0000034	XP_006413576.1	Cg001G0172700
OG0000039	XP_024006661.1	Cg001G0195900
OG0000040	XP_024014479.1	Cg001G0375200
OG0000040	XP_024004874.1, XP_024006081.1, XP_024004163.1	Cg007G2426000, Cg008G2852000, Cg008G2867800, Cg005G1448100
OG0000041	XP_024011200.1	Cg006G2127000
OG0000042	XP_024009944.1, XP_024011303.1	Cg013G3025700
OG0000042	XP_024006466.1	Cg007G2325300
OG0000043	XP_024014240.1	Cg003G0842100
OG0000044	XP_024004579.1	Cg001G0233900
OG0000044	XP_006398345.1	Cg008G2973900
OG0000046	XP_024015030.1	Cg003G0881700, Cg001G0284200
OG0000050	XP_024004962.1, XP_024006598.1	Cg006G1961200, Cg003G0717600
OG0000050	XP_024015913.1, XP_024007981.1	Cg005G1737200
OG0000051	XP_006418389.2, XP_024008111.1	Cg006G2232100
OG0000051	XP_024004184.1	Cg005G1723400
OG0000052	XP_024007553.1	Cg007G2494300
OG0000055	XP_006398121.1, XP_006406735.1	Cg004G1239300
OG0000056	XP_006405761.2	Cg002G0557700
OG0000058	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1	Cg005G1680800, Cg005G1670600, Cg002G0582900, Cg004G1300700, Cg006G1919800, Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300
OG0000058	XP_024009371.1, XP_024012609.1	Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500
OG0000059	XP_024010626.1, XP_024006533.1, XP_024013675.1, XP_024009487.1, XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024006276.1	Cg003G0778100
OG0000061	XP_024015522.1	Cg003G0858900
OG0000064	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1	Cg003G0987600
OG0000065	XP_024014567.1	Cg007G2434600
OG0000065	XP_006391458.1	Cg007G2435800
OG0000065	XP_024014419.1	Cg003G0889600
OG0000066	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1	Cg006G2172200, Cg008G2671100, Cg003G1045600, Cg003G1045700, Cg008G2671000
OG0000066	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1	Cg001G0018800
OG0000068	XP_024014925.1	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400
OG0000068	XP_024012324.1	Cg008G2928700
OG0000069	XP_006404944.1	Cg001G0395000
OG0000070	XP_006395735.1	Cg002G0680500
OG0000070	XP_006416426.1	Cg006G2064200
OG0000070	XP_006390250.1	Cg001G0322900, Cg001G0323200, Cg007G2530800
OG0000071	XP_024011528.1	Cg001G0318200
OG0000072	XP_024009686.1	Cg006G1870600, Cg007G2425100
OG0000072	XP_024014631.1, XP_024009608.1, XP_024004060.1, XP_024006592.1	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100
OG0000072	XP_024014710.1	Cg007G2400700, Cg007G2408800
OG0000074	XP_024016530.1	Cg008G2873100
OG0000074	XP_024004866.1	Cg007G2434800
OG0000076	XP_006411683.1	Cg001G0007600
OG0000076	XP_006410525.1	Cg005G1594800
OG0000076	XP_006397224.1, XP_006397217.1, XP_024010292.1, XP_006397043.1	Cg008G2983800
OG0000077	XP_006398175.2	Cg005G1775900, Cg003G0758200
OG0000077	XP_006395717.2, XP_006395727.1	Cg002G0678300
OG0000077	XP_006395720.2	Cg002G0679000, Cg002G0679200, Cg002G0679300
OG0000078	XP_006408252.2	Cg004G1099800
OG0000078	XP_024014979.1	Cg004G1099900
OG0000079	XP_006405230.2, XP_024010130.1	Cg004G1172300, Cg002G0672800
OG0000081	XP_024014389.1, XP_024004223.1	Cg003G0774600, Cg008G2921900
OG0000083	XP_024004864.1, XP_024004079.1, XP_024009339.1, XP_024014050.1, XP_024006498.1, XP_024009186.1	Cg002G0678700
OG0000086	XP_024014367.1	Cg001G0342500
OG0000086	XP_024014611.1, XP_006405827.1, XP_006405828.1, XP_006405825.1, XP_006405877.2	Cg001G0341500
OG0000086	XP_024014475.1, XP_006405815.1	Cg001G0342600
OG0000089	XP_006394642.1	Cg008G2794800
OG0000089	XP_006404433.1, XP_006404432.1	Cg002G0558400
OG0000089	XP_006410012.1	Cg005G1638200
OG0000089	XP_006399740.1	Cg008G2689500
OG0000089	XP_006403108.1	Cg008G2943700
OG0000089	XP_006413842.1	Cg001G0195600
OG0000089	XP_006410628.1	Cg005G1585200
OG0000089	XP_006390273.1	Cg007G2528700
OG0000090	XP_024009890.1	Cg005G1668200, Cg005G1727600, Cg004G1388300, Cg006G1926600
OG0000091	XP_024013782.1	Cg002G0552600
OG0000091	XP_006404364.1	Cg002G0551900
OG0000091	XP_006404361.1, XP_006398110.2, XP_006398111.1	Cg005G1672400
OG0000091	XP_024011446.1	Cg001G0362300, Cg008G2769400
OG0000091	XP_024013720.1	Cg007G2364700
OG0000096	XP_024009294.1, XP_006418661.2, XP_006418628.2	Cg001G0384700
OG0000098	XP_024009712.1, XP_006403292.2	Cg004G1351900
OG0000098	XP_006395726.1	Cg007G2258600, Cg007G2258500
OG0000098	XP_006404383.1, XP_006394690.1, XP_006414046.1	Cg008G2823500
OG0000100	XP_024014529.1	Cg007G2332300
OG0000101	XP_024007307.1, XP_024013940.1, XP_024010678.1, XP_024008063.1, XP_024004951.1	Cg007G2332400
OG0000102	XP_006396592.1	Cg003G0863700, Cg003G0734700, Cg003G0734400, Cg003G0864000
OG0000102	XP_006417793.2	Cg003G0863600, Cg003G0734800
OG0000106	XP_024004814.1, XP_024010468.1	Cg003G0970200
OG0000107	XP_024015177.1	Cg004G1267700
OG0000108	XP_006410952.1, XP_006403657.1	Cg005G1557400
OG0000108	XP_006400969.1, XP_006418890.1	Cg003G0983900, Cg002G0564200
OG0000108	XP_006407369.1	Cg004G1180800
OG0000108	XP_006399464.1	Cg008G2664600
OG0000108	XP_006406564.1	Cg004G1253800
OG0000109	XP_024009711.1, XP_024010384.1, XP_024009792.1, XP_024009380.1, XP_024010244.1, XP_024014026.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009348.1, XP_024013914.1, XP_024009952.1, XP_024006596.1	Cg008G2837900, Cg008G2837800
OG0000116	XP_024004957.1	Cg008G2902500, Cg008G2949800, Cg008G2949700, Cg008G2902600, Cg001G0293300, Cg001G0282800
OG0000117	XP_024008035.1	Cg006G2031100
OG0000117	XP_024008031.1	Cg006G2029800
OG0000117	XP_024008246.1	Cg006G2029400
OG0000117	XP_024008029.1, XP_024008030.1, XP_006416071.1, XP_006416064.2	Cg006G2030600
OG0000120	XP_024013368.1	Cg002G0560700, Cg001G0267600, Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500
OG0000122	XP_006401335.1	Cg003G0952700
OG0000122	XP_006401333.2	Cg003G0800700
OG0000123	XP_024006376.1, XP_024016087.1	Cg008G2893000, Cg008G2892800, Cg008G2892300, Cg008G2892200, Cg008G2892500, Cg008G2892400, Cg008G2892600, Cg008G2892100, Cg008G2892000, Cg008G2892700, Cg008G2892900
OG0000124	XP_024014203.1	Cg001G0378100
OG0000124	XP_024011275.1, XP_024009428.1, XP_024006620.1, XP_024007267.1, XP_024015892.1, XP_024009781.1, XP_024013977.1, XP_024010413.1, XP_024005584.1, XP_024010662.1, XP_024011095.1, XP_024010391.1, XP_006409642.2, XP_024007266.1, XP_024011274.1, XP_024016583.1	Cg001G0298900
OG0000125	XP_024003754.1	Cg005G1644600
OG0000125	XP_024006051.1	Cg006G1841400
OG0000125	XP_006392987.1	Cg006G1817000, Cg006G1816500, Cg006G1816900, Cg006G1816400
OG0000125	XP_006406282.1	Cg004G1281100
OG0000127	XP_006400797.1	Cg008G2786000
OG0000127	XP_006410934.1, XP_006403666.1	Cg002G0489900
OG0000127	XP_006400898.1	Cg003G0989900
OG0000127	XP_006409905.1	Cg005G1647800
OG0000128	XP_024012970.1	Cg007G2459200
OG0000128	XP_006402712.2	Cg002G0434700
OG0000128	XP_006402710.1	Cg002G0434600
OG0000129	XP_006408194.2	Cg007G2357000
OG0000129	XP_024011911.1	Cg007G2393300, Cg007G2412500, Cg007G2396400
OG0000129	XP_024006771.1, XP_006394457.2, XP_024007354.1	Cg003G1010100, Cg003G1010200, Cg003G1010000, Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700, Cg003G0897000
OG0000132	XP_006403516.1	Cg002G0477500
OG0000134	XP_006399626.1	Cg008G2920900
OG0000136	XP_024006427.1	Cg003G0815400
OG0000137	XP_006401461.1	Cg003G0942200
OG0000137	XP_006401460.1	Cg003G0942300
OG0000137	XP_006401462.1	Cg003G0942100
OG0000137	XP_006401463.2	Cg003G0942000
OG0000137	XP_006401465.2	Cg003G0941900
OG0000137	XP_006395415.1	Cg003G0901200
OG0000138	XP_006402375.2	Cg007G2299800
OG0000138	XP_006402376.1, XP_006406628.2, XP_024015356.1	Cg002G0485200
OG0000140	XP_024009937.1	Cg003G0904200, Cg002G0686900, Cg006G2087500, Cg006G1824700, Cg003G0810900
OG0000142	XP_024006563.1	Cg005G1593500
OG0000143	XP_024004869.1, XP_024013112.1	Cg001G0285100
OG0000143	XP_024010602.1, XP_024010603.1, XP_024010269.1, XP_024010488.1, XP_024009587.1, XP_024014718.1, XP_024007269.1, XP_024014984.1, XP_024006558.1, XP_024015954.1, XP_024014871.1, XP_024011336.1, XP_024009448.1, XP_024009582.1, XP_024007272.1, XP_024007245.1, XP_024016353.1, XP_024013094.1, XP_024015124.1, XP_024011407.1, XP_024010424.1, XP_024007246.1, XP_024007303.1, XP_024009244.1, XP_024011363.1, XP_024013386.1, XP_024009423.1, XP_024005024.1, XP_024013120.1, XP_024013068.1, XP_024010915.1, XP_024010675.1	Cg002G0608200
OG0000151	XP_006403491.1	Cg002G0475200
OG0000151	XP_006403492.1	Cg002G0475300
OG0000151	XP_006411161.1	Cg005G1538800
OG0000151	XP_006403493.1	Cg002G0475400
OG0000151	XP_006403679.1	Cg002G0491600
OG0000151	XP_006410918.1	Cg005G1560100
OG0000151	XP_006399852.1	Cg008G2699500
OG0000153	XP_006409978.1	Cg005G1640700
OG0000154	XP_006393107.1	Cg006G1826100
OG0000154	XP_024005670.1	Cg001G0245400
OG0000154	XP_024006135.1	Cg006G1826000
OG0000155	XP_024016201.1	Cg009G2989400
OG0000158	XP_006397112.2	Cg005G1695800
OG0000159	XP_024007305.1	Cg007G2460000
OG0000159	XP_024009779.1	Cg003G0778900, Cg005G1705200
OG0000160	XP_006409094.1	Cg004G1426700
OG0000160	XP_024005341.1	Cg001G0100800
OG0000160	XP_024012572.1	Cg003G0963700
OG0000160	XP_006396088.1	Cg004G1353700
OG0000160	XP_006389820.1	Cg007G2573400
OG0000160	XP_006404985.2	Cg005G1742100
OG0000162	XP_006410456.1	Cg005G1601500
OG0000162	XP_024004125.1	Cg005G1601400
OG0000163	XP_024006579.1, XP_024016225.1, XP_024016199.1, XP_024016326.1, XP_024009314.1, XP_024011229.1	Cg007G2356000
OG0000163	XP_024004795.1, XP_024006469.1, XP_024015926.1, XP_024016668.1	Cg005G1702000
OG0000165	XP_006418673.2	Cg008G2927600
OG0000167	XP_024015423.1	Cg004G1301000
OG0000170	XP_024012911.1	Cg002G0419600
OG0000170	XP_024010825.1	Cg005G1474000
OG0000171	XP_006401722.1	Cg003G0916500
OG0000171	XP_006391653.1, XP_006405318.1	Cg007G2262400
OG0000171	XP_006409398.1	Cg004G1402700
OG0000171	XP_006401372.1	Cg003G0949800
OG0000171	XP_006407751.1	Cg004G1146700
OG0000171	XP_024005195.1	Cg001G0123300
OG0000173	XP_006411787.1	Cg008G2861400, Cg008G2846800
OG0000173	XP_006411932.1	Cg001G0073600
OG0000173	XP_006409103.1	Cg001G0022300, Cg001G0022400
OG0000174	XP_024013153.1	Cg003G0887300, Cg005G1647500
OG0000174	XP_024009910.1, XP_024010843.1, XP_024010311.1, XP_024004523.1	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200
OG0000175	XP_006416080.1, XP_024015929.1	Cg006G2031400, Cg007G2474600
OG0000175	XP_024012404.1	Cg008G2710700
OG0000177	XP_006416321.2	Cg006G2054600, Cg006G2054300, Cg006G2054100
OG0000177	XP_006416323.1	Cg006G2054700
OG0000178	XP_006396688.1	Cg003G0742900, Cg003G0743000
OG0000178	XP_006396683.2	Cg006G1925200, Cg006G1925100
OG0000178	XP_024010195.1	Cg003G0742300
OG0000182	XP_006418087.2	Cg002G0405500, Cg002G0498500
OG0000183	XP_006391396.1, XP_006405835.1	Cg001G0339800, Cg007G2426600
OG0000183	XP_006408585.1	Cg005G1681400
OG0000185	XP_024008728.1	Cg004G1189300
OG0000186	XP_024003658.1, XP_024003647.1	Cg005G1766900, Cg007G2287600
OG0000187	XP_006409848.1, XP_006413517.1, XP_006413085.1, XP_006401995.1, XP_006410218.1	Cg005G1772000
OG0000187	XP_024009084.1, XP_006396044.1	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500
OG0000188	XP_006408167.1	Cg004G1107000
OG0000189	XP_006412039.1	Cg001G0040600, Cg004G1414100
OG0000189	XP_006412162.1	Cg001G0051000
OG0000189	XP_006390262.1	Cg007G2529500
OG0000189	XP_006416436.1	Cg006G2064800
OG0000191	XP_006396068.2	Cg001G0299600
OG0000191	XP_024014023.1, XP_024006586.1	Cg005G1682000, Cg007G2302000, Cg006G1951500
OG0000191	XP_024004140.1	Cg007G2389300, Cg007G2329300
OG0000192	XP_006413192.2	Cg006G1993900
OG0000192	XP_024013225.1	Cg006G1994000
OG0000193	XP_006410830.1, XP_006415272.2	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400
OG0000193	XP_024007938.1	Cg006G1948300
OG0000196	XP_006405313.2	Cg001G0390600
OG0000196	XP_024014729.1	Cg001G0388000, Cg001G0388200
OG0000197	XP_024005579.1	Cg001G0339500
OG0000197	XP_006393695.2	Cg001G0205400
OG0000198	XP_006395886.1, XP_006395885.1	Cg002G0692800
OG0000198	XP_006413529.1	Cg006G2114000, Cg006G2113800, Cg006G2113700, Cg002G0664200
OG0000199	XP_006412791.2, XP_006413298.1	Cg014G3034400, Cg008G2903900, Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200
OG0000200	XP_006418015.2	Cg006G2210600
OG0000200	XP_006415505.2	Cg006G1857600
OG0000200	XP_006415507.2	Cg006G1857700
OG0000203	XP_024012757.1	Cg002G0442000
OG0000203	XP_006405456.2	Cg002G0441200
OG0000205	XP_024014711.1, XP_024015854.1, XP_024006545.1	Cg006G1892500
OG0000208	XP_006409293.2, XP_024011376.1, XP_024013235.1	Cg005G1738400, Cg007G2356100, Cg005G1738000
OG0000209	XP_024006207.1	Cg008G2968000
OG0000209	XP_024015726.1	Cg008G2670300, Cg008G2670600, Cg008G2677700
OG0000209	XP_006417013.1, XP_006417028.2	Cg008G2772200
OG0000210	XP_024010855.1, XP_024004704.1	Cg005G1646400, Cg005G1480200
OG0000210	XP_024012914.1	Cg002G0423700
OG0000210	XP_006395656.2	Cg005G1646200
OG0000215	XP_024006539.1	Cg005G1678900, Cg002G0563200
OG0000216	XP_024016821.1	Cg007G2323800
OG0000216	XP_024014433.1, XP_006389699.2, XP_006405717.2, XP_006408645.2	Cg001G0324000
OG0000216	XP_024010225.1	Cg001G0323300
OG0000219	XP_024009776.1, XP_006391273.1, XP_024005932.1, XP_024005928.1	Cg001G0279900, Cg006G1830800
OG0000221	XP_024003652.1	Cg002G0658400
OG0000222	XP_024016355.1	Cg004G1331800
OG0000225	XP_024011254.1	Cg007G2558500
OG0000227	XP_024014358.1	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200, Cg004G1376900
OG0000230	XP_024012973.1	Cg008G2846600, Cg008G2861200, Cg008G2861500
OG0000232	XP_024004085.1	Cg006G1824400, Cg004G1119800, Cg005G1715100, Cg005G1758600
OG0000233	XP_006399237.1	Cg008G2647600
OG0000233	XP_024012088.1, XP_006399240.2	Cg008G2647700, Cg008G2647900, Cg008G2647800
OG0000233	XP_024012161.1	Cg008G2647500
OG0000235	XP_006405376.2	Cg007G2571200, Cg007G2574000
OG0000236	XP_024014966.1	Cg001G0272600, Cg004G1311000, Cg004G1287200, Cg004G1333500
OG0000236	XP_024014734.1	Cg003G0795800
OG0000237	XP_024014985.1	Cg001G0099500, Cg004G1282100
OG0000238	XP_006390832.1	Cg007G2478500
OG0000238	XP_024007098.1	Cg007G2478600
OG0000239	XP_024010605.1	Cg003G0837600
OG0000241	XP_006413726.1	Cg001G0185400
OG0000241	XP_006413727.1	Cg001G0185500
OG0000241	XP_006396665.1	Cg003G0857500, Cg003G0740200
OG0000242	XP_006394900.1	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800
OG0000244	XP_006396522.2	Cg003G0728100, Cg003G0869700
OG0000245	XP_024009403.1, XP_024007449.1, XP_024007965.1	Cg006G1889200
OG0000246	XP_006410852.1	Cg005G1566300
OG0000248	XP_006390930.2	Cg007G2470700, Cg007G2470600, Cg007G2471500
OG0000249	XP_024011318.1, XP_024004901.1	Cg006G1934400, Cg004G1366500, Cg002G0640600
OG0000250	XP_006393349.1	Cg003G0735700
OG0000251	XP_006395570.1	Cg002G0664000
OG0000251	XP_006395568.2	Cg002G0663800
OG0000251	XP_006401223.1	Cg003G0962700
OG0000252	XP_006412567.1	Cg001G0086600
OG0000252	XP_024015991.1	Cg007G2272200
OG0000252	XP_006390080.1	Cg007G2546100
OG0000253	XP_006407676.1	Cg004G1154100
OG0000253	XP_006398709.1	Cg008G2596600
OG0000256	XP_006403304.1	Cg004G1240300
OG0000256	XP_006414663.1, XP_006414661.2	Cg004G1236700
OG0000257	XP_006405181.1	Cg007G2529400
OG0000258	XP_024013657.1, XP_024016182.1, XP_024015882.1, XP_024007310.1, XP_024010920.1, XP_024010435.1, XP_024011322.1, XP_024016335.1, XP_024006198.1, XP_024004992.1	Cg002G0627900
OG0000258	XP_024014252.1	Cg007G2370800, Cg001G0290400
OG0000262	XP_024013586.1, XP_024011074.1	Cg007G2264500, Cg007G2264400, Cg007G2264300, Cg007G2293500
OG0000268	XP_024005307.1	Cg006G1966300, Cg006G1965600, Cg008G2873000
OG0000269	XP_006400925.1	Cg003G0987700
OG0000269	XP_006418933.1, XP_006418941.1	Cg002G0567300
OG0000269	XP_024003799.1	Cg005G1638700
OG0000275	XP_024006885.1, XP_006395689.1	Cg003G1065200
OG0000275	XP_024006417.1	Cg008G2833500
OG0000276	XP_024005459.1	Cg005G1682300
OG0000276	XP_024016360.1, XP_024016375.1, XP_024014012.1, XP_024009234.1	Cg002G0614200
OG0000278	XP_006408609.2	Cg001G0332400, Cg001G0336600
OG0000282	XP_024004517.1, XP_024004516.1	Cg001G0182100
