Orthogroup	Eutrema_salsugineum	Cardamine_hirsuta
OG0000107	XP_024015177.1	CARHR095660
OG0000108	XP_006400969.1, XP_006418890.1	CARHR285740
OG0000108	XP_006407369.1	CARHR086670
OG0000108	XP_006399464.1	CARHR203590
OG0000108	XP_006406564.1	CARHR094190
OG0000111	XP_006391257.1, XP_006409739.1, XP_006409738.2, XP_006409778.1	CARHR148290
OG0000114	XP_024014535.1	CARHR258830, CARHR283860
OG0000114	XP_024009390.1, XP_024014516.1, XP_024009469.1, XP_024011379.1, XP_024006494.1, XP_024006892.1, XP_024013367.1	CARHR150440, CARHR283870, CARHR035130, CARHR286300, CARHR148220, CARHR118270, CARHR287300
OG0000116	XP_024004957.1	CARHR217650
OG0000117	XP_024008857.1	CARHR023940
OG0000117	XP_024008035.1	CARHR023950
OG0000117	XP_024008246.1	CARHR024100
OG0000118	XP_006416096.1	CARHR101240, CARHR101220, CARHR133050, CARHR115930, CARHR115940, CARHR115970, CARHR133070, CARHR133060
OG0000118	XP_006408206.1	CARHR099660, CARHR133040, CARHR180020
OG0000119	XP_024009951.1	CARHR118700, CARHR273840
OG0000119	XP_006419033.2	CARHR059580, CARHR150110
OG0000122	XP_024012240.1	CARHR269760
OG0000122	XP_024012533.1	CARHR036540, CARHR031780
OG0000122	XP_024011179.1	CARHR036560, CARHR031790, CARHR031760, CARHR036530
OG0000122	XP_024012350.1	CARHR269730
OG0000122	XP_006401333.2	CARHR269930
OG0000123	XP_024006376.1, XP_024016087.1	CARHR181480, CARHR181490
OG0000124	XP_024014203.1	CARHR261370
OG0000124	XP_024011275.1, XP_024009428.1, XP_024006620.1, XP_024007267.1, XP_024015892.1, XP_024009781.1, XP_024013977.1, XP_024010413.1, XP_024005584.1, XP_024010662.1, XP_024011095.1, XP_024010391.1, XP_006409642.2, XP_024007266.1, XP_024011274.1, XP_024016583.1	CARHR153360, CARHR119160, CARHR259840
OG0000125	XP_024003754.1	CARHR122190
OG0000125	XP_024006051.1	CARHR039100
OG0000125	XP_006392987.1	CARHR041970, CARHR041980
OG0000125	XP_006406282.1	CARHR097260
OG0000125	XP_024006009.1	CARHR258870
OG0000126	XP_024016126.1	CARHR103200
OG0000126	XP_024004101.1, XP_024010268.1	CARHR184750
OG0000126	XP_024009117.1, XP_024009113.1	CARHR128520, CARHR293480, CARHR256860, CARHR252010, CARHR117440, CARHR098000, CARHR034340, CARHR116070, CARHR178380, CARHR257270
OG0000127	XP_006400797.1	CARHR190650
OG0000127	XP_006403666.1	CARHR163570
OG0000127	XP_006400898.1	CARHR273520
OG0000127	XP_006409905.1	CARHR121850
OG0000128	XP_024012970.1	CARHR061850
OG0000128	XP_024012967.1	CARHR061840
OG0000128	XP_006402712.2	CARHR169580
OG0000128	XP_006402710.1	CARHR169600
OG0000128	XP_006402715.1	CARHR169570
OG0000129	XP_006408194.2	CARHR038520, CARHR038560
OG0000129	XP_024011911.1	CARHR056680, CARHR056760, CARHR056690
OG0000129	XP_024006771.1, XP_006394457.2, XP_024007354.1	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730
OG0000130	XP_024006636.1	CARHR158410, CARHR153220, CARHR117340, CARHR057000
OG0000130	XP_024004501.1, XP_024004928.1	CARHR182430
OG0000132	XP_006403516.1	CARHR164880
OG0000132	XP_006405758.2, XP_024014449.1	CARHR256230
OG0000132	XP_006396648.1, XP_006391408.1, XP_006391409.1	CARHR277270, CARHR277260
OG0000132	XP_006393001.2, XP_024014405.1, XP_024014786.1, XP_006405613.2, XP_006405755.2, XP_006405611.2, XP_024014617.1, XP_024014705.1	CARHR214020
OG0000134	XP_006399626.1	CARHR202050
OG0000136	XP_024015179.1	CARHR186370
OG0000137	XP_006401461.1	CARHR268710
OG0000137	XP_006401460.1	CARHR268720
OG0000137	XP_006401462.1	CARHR268700
OG0000137	XP_006401463.2	CARHR268690
OG0000137	XP_006401465.2	CARHR268680
OG0000138	XP_006402375.2	CARHR052000
OG0000138	XP_024012920.1	CARHR169320
OG0000140	XP_024009937.1	CARHR116590, CARHR146770
OG0000141	XP_024008234.1	CARHR012600
OG0000141	XP_024016652.1	CARHR220960, CARHR049620, CARHR049360, CARHR049300
OG0000141	XP_024004548.1, XP_006391848.1	CARHR048210, CARHR049580, CARHR049710, CARHR049690, CARHR049380, CARHR049330, CARHR049720, CARHR049640, CARHR049340, CARHR049700, CARHR048830, CARHR049260
OG0000143	XP_024004869.1, XP_024013112.1	CARHR287550
OG0000143	XP_024010602.1, XP_024010603.1, XP_024010269.1, XP_024010488.1, XP_024009587.1, XP_024014718.1, XP_024007269.1, XP_024014984.1, XP_024006558.1, XP_024015954.1, XP_024014871.1, XP_024011336.1, XP_024009448.1, XP_024009582.1, XP_024007272.1, XP_024007245.1, XP_024016353.1, XP_024013094.1, XP_024015124.1, XP_024011407.1, XP_024010424.1, XP_024007246.1, XP_024007303.1, XP_024009244.1, XP_024011363.1, XP_024013386.1, XP_024009423.1, XP_024005024.1, XP_024013120.1, XP_024013068.1, XP_024010915.1, XP_024010675.1	CARHR181670, CARHR183500
OG0000148	XP_024006468.1, XP_024006465.1, XP_024006281.1	CARHR037410
OG0000148	XP_024004911.1	CARHR040920
OG0000148	XP_024006236.1, XP_006393101.1, XP_006393087.2	CARHR037710, CARHR037720, CARHR037850
OG0000151	XP_006403491.1	CARHR165130
OG0000151	XP_006403492.1	CARHR165120
OG0000151	XP_006411161.1	CARHR134140
OG0000151	XP_006403493.1	CARHR165110
OG0000151	XP_006403679.1	CARHR163410
OG0000151	XP_006410918.1	CARHR132240
OG0000151	XP_006399852.1	CARHR199860
OG0000153	XP_024003801.1, XP_006409980.1	CARHR122540
OG0000153	XP_024008215.1	CARHR007190
OG0000153	XP_006409978.1	CARHR122550
OG0000154	XP_006393107.1	CARHR040870, CARHR121480
OG0000154	XP_024005670.1	CARHR290670
OG0000154	XP_024006135.1	CARHR040880, CARHR041470
OG0000157	XP_006418682.2, XP_024008597.1	CARHR029970
OG0000157	XP_024016536.1	CARHR253630, CARHR047620
OG0000158	XP_006391162.2	CARHR113640
OG0000158	XP_006402964.2	CARHR245230
OG0000159	XP_024009779.1	CARHR184120
OG0000160	XP_006409094.1	CARHR109500
OG0000160	XP_024005341.1	CARHR238090
OG0000160	XP_024012572.1	CARHR271150
OG0000160	XP_006396088.1	CARHR104060
OG0000160	XP_006419170.1	CARHR153650
OG0000160	XP_006389820.1	CARHR073860
OG0000160	XP_006404985.2	CARHR117520
OG0000161	XP_024013360.1	CARHR059960, CARHR284490
OG0000162	XP_024004125.1	CARHR127190
OG0000163	XP_024010313.1	CARHR259710, CARHR057870, CARHR288340
OG0000163	XP_024013090.1, XP_024013108.1	CARHR058120, CARHR218430
OG0000165	XP_006418673.2	CARHR180400
OG0000166	XP_024013957.1	CARHR183950
OG0000167	XP_024014991.1, XP_024006548.1	CARHR097030
OG0000167	XP_024015693.1	CARHR108190, CARHR108200, CARHR150060
OG0000167	XP_024015423.1	CARHR099220
OG0000169	XP_024006540.1, XP_024006299.1, XP_024006462.1	CARHR219990
OG0000170	XP_024010761.1	CARHR140750
OG0000170	XP_024010825.1	CARHR186310, CARHR140760
OG0000170	XP_006410182.1	CARHR140780, CARHR140790, CARHR140740
OG0000170	XP_024010808.1	CARHR140730
OG0000171	XP_006401722.1	CARHR266340
OG0000171	XP_006391653.1, XP_006405318.1	CARHR046700
OG0000171	XP_006409398.1	CARHR107000
OG0000171	XP_006401372.1	CARHR269520
OG0000171	XP_006407751.1	CARHR083000, CARHR082990
OG0000171	XP_024005195.1	CARHR235660
OG0000173	XP_006411787.1	CARHR246590
OG0000173	XP_006411932.1	CARHR132630
OG0000173	XP_006412595.2	CARHR100900
OG0000173	XP_024006800.1	CARHR246290
OG0000174	XP_024009910.1, XP_024010843.1, XP_024010311.1, XP_024004523.1	CARHR292260, CARHR102990
OG0000174	XP_024013619.1, XP_024011132.1, XP_024009468.1, XP_024006493.1, XP_024004480.1, XP_024014964.1, XP_024007918.1, XP_024011208.1, XP_024006536.1, XP_024009367.1	CARHR115250
OG0000175	XP_006416080.1, XP_024015929.1	CARHR023910
OG0000175	XP_024012404.1	CARHR198650
OG0000175	XP_006417443.1	CARHR052550
OG0000176	XP_006405511.2	CARHR118040
OG0000176	XP_024014641.1	CARHR291350, CARHR291370
OG0000177	XP_006416321.2	CARHR256500, CARHR181980, CARHR021660, CARHR054130, CARHR287770
OG0000178	XP_006396688.1	CARHR253020
OG0000178	XP_006396683.2	CARHR250370, CARHR250360
OG0000178	XP_024010195.1	CARHR259510
OG0000178	XP_024009811.1	CARHR252970, CARHR263930
OG0000178	XP_024010194.1, XP_006396684.1	CARHR252960
OG0000179	XP_024004887.1, XP_006392295.2	CARHR123300
OG0000179	XP_006392266.1	CARHR053290, CARHR283710, CARHR053930
OG0000182	XP_006418087.2	CARHR167770
OG0000183	XP_006391396.1, XP_006405835.1	CARHR215030, CARHR058380
OG0000183	XP_006408585.1	CARHR119300
OG0000185	XP_024008728.1	CARHR087540, CARHR087530
OG0000186	XP_006402068.1	CARHR269100, CARHR147550, CARHR269160
OG0000186	XP_024006671.1	CARHR145130, CARHR145120
OG0000186	XP_024003658.1, XP_024003647.1	CARHR113370, CARHR050630
OG0000187	XP_006409848.1, XP_006413517.1, XP_006413085.1, XP_006401995.1, XP_006410218.1	CARHR112670, CARHR112680
OG0000188	XP_006403294.1, XP_006413270.2	CARHR201470
OG0000188	XP_006408167.1	CARHR078860, CARHR078880, CARHR078870
OG0000189	XP_006412039.1	CARHR244350, CARHR108220
OG0000189	XP_006412162.1	CARHR243300
OG0000189	XP_006390262.1	CARHR069390
OG0000189	XP_006416436.1	CARHR020570
OG0000191	XP_006396068.2, XP_024014023.1, XP_024006586.1, XP_024004140.1	CARHR150970
OG0000192	XP_006413192.2	CARHR233830
OG0000192	XP_006399077.1	CARHR014040
OG0000192	XP_006399078.1	CARHR014030
OG0000192	XP_024013225.1	CARHR014050, CARHR014060
OG0000192	XP_006408668.1, XP_006391843.2, XP_006391844.1, XP_006416391.1, XP_006416395.1, XP_006391838.1	CARHR049240
OG0000193	XP_006410830.1, XP_006415272.2	CARHR036380, CARHR036970
OG0000193	XP_024007938.1	CARHR031880, CARHR091810, CARHR031310
OG0000196	XP_006405313.2	CARHR272920
OG0000196	XP_006405333.1	CARHR272910
OG0000196	XP_024014729.1	CARHR288390, CARHR291930, CARHR212850, CARHR212830, CARHR285160, CARHR291950, CARHR288120, CARHR287580, CARHR213590
OG0000197	XP_006413958.1	CARHR215070, CARHR051370
OG0000197	XP_024005579.1	CARHR215060, CARHR215050, CARHR215370
OG0000197	XP_006393616.1	CARHR226280, CARHR226370
OG0000198	XP_006395886.1, XP_006395885.1	CARHR144080
OG0000198	XP_006413529.1	CARHR015470, CARHR015480, CARHR147290, CARHR231070
OG0000199	XP_006412791.2, XP_006413298.1	CARHR251110, CARHR215270
OG0000200	XP_006415505.2	CARHR028750, CARHR037140
OG0000200	XP_006415507.2	CARHR037150
OG0000203	XP_024012757.1	CARHR168640
OG0000203	XP_006405456.2	CARHR168590, CARHR259860
OG0000205	XP_024014711.1, XP_024015854.1, XP_024006545.1	CARHR105060, CARHR218440
OG0000208	XP_024013235.1	CARHR057780, CARHR183230
OG0000209	XP_024006207.1	CARHR014740, CARHR010320
OG0000209	XP_024015726.1	CARHR202500
OG0000210	XP_024010855.1, XP_024004704.1	CARHR121990, CARHR140170
OG0000210	XP_024012462.1	CARHR057970
OG0000210	XP_024012914.1	CARHR170840
OG0000210	XP_006395656.2	CARHR069160, CARHR059610
OG0000215	XP_024014265.1, XP_006408133.1, XP_006411039.1, XP_006419058.2	CARHR033990
OG0000216	XP_024016821.1	CARHR054340
OG0000216	XP_024010225.1	CARHR216300
OG0000219	XP_024009776.1, XP_006391273.1, XP_024005932.1, XP_024005928.1	CARHR065380, CARHR037370, CARHR272960, CARHR219370, CARHR253110, CARHR037380, CARHR123890
OG0000225	XP_024009484.1	CARHR072270, CARHR141370
OG0000225	XP_024011254.1	CARHR201930, CARHR072280
OG0000227	XP_024014358.1	CARHR105540, CARHR105520, CARHR105480
OG0000229	XP_024007588.1, XP_006407514.1, XP_024005057.1, XP_024010219.1, XP_006396981.1	CARHR004570
OG0000230	XP_006402736.1	CARHR169340
OG0000230	XP_024012973.1	CARHR217340, CARHR186450, CARHR286030
OG0000230	XP_024012843.1	CARHR169400
OG0000232	XP_024004085.1	CARHR180870, CARHR049200, CARHR122740, CARHR110940
OG0000232	XP_024014219.1	CARHR174010, CARHR102280
OG0000233	XP_006399237.1	CARHR205610
OG0000233	XP_024012088.1, XP_006399240.2	CARHR205600, CARHR205590, CARHR205580
OG0000235	XP_006394180.1, XP_006394175.1	CARHR168030
OG0000235	XP_006405376.2	CARHR073970
OG0000236	XP_024011487.1	CARHR062590, CARHR062610, CARHR102640
OG0000236	XP_024014966.1	CARHR000080, CARHR100230, CARHR102630
OG0000236	XP_024014734.1	CARHR260580
OG0000237	XP_006406140.1	CARHR098530
OG0000237	XP_024014985.1	CARHR238210, CARHR097380
OG0000238	XP_006390832.1	CARHR064100, CARHR064090
OG0000238	XP_024007098.1	CARHR064110
OG0000239	XP_024010605.1	CARHR184570, CARHR118460, CARHR285080, CARHR125790
OG0000241	XP_006413726.1	CARHR228610
OG0000241	XP_006396665.1	CARHR252730
OG0000241	XP_024010083.1	CARHR107520
OG0000242	XP_024015704.1, XP_006392079.1, XP_006392157.1	CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520
OG0000242	XP_006391312.1, XP_006396188.1, XP_006391455.1, XP_006419174.1, XP_006391378.1, XP_006391379.1, XP_006391380.1, XP_006391456.1, XP_024009775.1, XP_024009395.1, XP_006418995.1, XP_006391433.1	CARHR183240
OG0000242	XP_006394900.1	CARHR175670
OG0000243	XP_006415575.2	CARHR028760
OG0000243	XP_024008323.1, XP_006415570.1	CARHR028800, CARHR028770, CARHR028900, CARHR028820, CARHR028850
OG0000243	XP_006415569.1	CARHR028830
OG0000244	XP_006396522.2	CARHR251330, CARHR251340
OG0000246	XP_006410852.1	CARHR131170, CARHR131180
OG0000246	XP_006410850.1	CARHR131110
OG0000248	XP_006390930.2	CARHR063140, CARHR063150, CARHR063130, CARHR215600, CARHR263070, CARHR263080
OG0000251	XP_006395570.1	CARHR147300
OG0000251	XP_006395568.2	CARHR147330
OG0000251	XP_006395567.1	CARHR147340
OG0000251	XP_006401223.1	CARHR271060
OG0000252	XP_006412567.1	CARHR230420
OG0000252	XP_024015991.1	CARHR048360, CARHR048350, CARHR048370
OG0000252	XP_006390080.1	CARHR071040
OG0000253	XP_006407676.1	CARHR083850
OG0000253	XP_006398709.1	CARHR210880
OG0000254	XP_024005335.1, XP_006414471.1	CARHR290080
OG0000256	XP_024014914.1, XP_006406014.2	CARHR092830, CARHR151680
OG0000256	XP_006418788.1, XP_006412628.2, XP_024009328.1, XP_006402133.2	CARHR024770
OG0000257	XP_006405181.1	CARHR069280, CARHR069310, CARHR284300, CARHR069260
OG0000259	XP_024004170.1	CARHR093450
OG0000260	XP_006405740.1, XP_006405739.1	CARHR149040
OG0000260	XP_006405350.1, XP_024014684.1	CARHR181000
OG0000262	XP_024013586.1, XP_024011074.1	CARHR051080, CARHR046940
OG0000266	XP_024011221.1, XP_006401683.1	CARHR257990
OG0000266	XP_006409554.2	CARHR266730, CARHR253160
OG0000268	XP_024005307.1	CARHR157490, CARHR181110, CARHR154180
OG0000269	XP_006400925.1	CARHR273300
OG0000269	XP_024003799.1	CARHR122830
OG0000270	XP_024014551.1	CARHR055290, CARHR048540, CARHR048090
OG0000273	XP_024011934.1	CARHR266740
OG0000275	XP_024006885.1, XP_006395689.1	CARHR175770
OG0000275	XP_024006417.1	CARHR185060, CARHR185040
