Orthogroup	Eutrema_salsugineum	Cochlearia_excelsa
OG0000003	XP_024004813.1, XP_024004020.1	g18621
OG0000003	XP_024013151.1	g24632
OG0000003	XP_024011850.1	g42621
OG0000003	XP_024014297.1	g14202
OG0000003	XP_024011300.1	g42622
OG0000003	XP_024007996.1	g12346, g2655, g14239, g52812
OG0000003	XP_024015937.1, XP_024013347.1, XP_024009969.1	g46643, g3725, g24106
OG0000004	XP_024010229.1	g1377
OG0000004	XP_024013103.1, XP_024009926.1	g15065
OG0000004	XP_024007302.1	g14971, g14523, g43269, g39211, g30373, g22546, g21442, g8934, g32795, g48064, g43024, g2952, g33829, g26443, g15796, g33257, g35407, g3622, g34365, g34421, g15173, g26116, g26033, g3560, g9299, g26158, g25877, g32785, g42245, g35241, g24983, g9295, g30003, g30362, g42602, g43335, g4315, g14833, g30007, g4104, g35887, g3478, g2775, g34021, g35112, g21533, g40027, g42389, g15495, g33193, g3782, g9018, g37863, g33293, g42450, g48264, g21448, g23935, g33771, g48661, g33568, g18221, g8678, g51092, g10991, g52741, g52421, g21073, g42791, g34845, g30252, g9059, g9287, g52509, g9224, g36650, g21099, g52367, g20888, g21409, g43220, g38581, g14594, g39193, g3480, g3485, g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889, g36307, g14311, g22564, g16722, g52330, g15795, g30550, g30376, g43381, g43271, g52452, g41990, g52465, g34225, g45199, g9313, g34234, g34239, g9300, g43277, g33824, g48660, g3805, g12233, g8324, g33593, g33825, g30503, g3496, g27039, g30161, g9209, g42645, g48261, g41664, g49210, g26280, g14798, g33617, g33194, g33196, g49131, g52631, g33159, g33162, g8795, g8799, g8814, g42851, g54402, g42876, g54422, g42880, g6413, g42788, g42838, g52873, g38593, g48815, g20696, g44996, g15614, g48195, g24604, g13930, g3519, g50316, g42490, g54130, g36924, g20637, g15496, g19970, g21983, g42984, g20893, g26400, g20569, g25307, g35496, g22187, g30034, g35136, g53148, g26496, g23263, g19433, g53231, g5034, g16879, g34609, g30041, g8348, g18470, g43270, g20927, g21387, g53257, g32762, g25182, g53206, g53402, g42012, g49243, g19888, g15221, g48834, g14943, g8471, g3588, g40872, g15611, g20848, g42568, g33231, g52412, g35580, g35834, g15847, g15509, g42990, g32807, g49050, g3533, g43274, g49066, g15473, g48262, g4602, g48198, g44460, g26367, g33388, g52326, g8598, g21125, g22323, g9185, g43736, g38628, g52657, g22577, g35938, g20554, g3532, g21616, g16001, g22041, g9161, g14835, g32831, g30173, g16047, g9043, g44884, g54140, g1368, g34921, g5669, g14984, g15061, g20703, g35818, g33600, g26147, g15064, g38611, g51042, g35409, g35603, g3515, g25767, g15746, g47598, g30366, g30371, g48085, g4721, g53669, g21500, g25180, g52738, g21847
OG0000004	XP_024009381.1, XP_024016564.1, XP_024011370.1	g33631, g43176, g15592, g4171, g14802, g15021, g34561, g26667, g14313, g33258, g43654, g42520, g29885, g4102, g33569, g9309, g43377, g43378, g35386, g48663, g21402, g9399, g21492, g48652, g53446, g48258, g26620, g4470, g34565, g14368, g32653, g50172, g19951, g16396, g30119, g33584, g8542, g34135, g42650, g49072, g24928, g8860, g21489, g4436, g9343, g33583, g3511, g48666, g48519, g42149, g52504
OG0000004	XP_024009341.1	g26364, g35195, g3554, g33447, g33443, g52439
OG0000004	XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024014224.1, XP_024009247.1	g30683, g11402, g42267, g4097, g35533, g26378, g25248, g4110, g26383, g33093, g52754
OG0000005	XP_024003648.1	g14824, g15574, g43589, g4576, g20561, g20558
OG0000005	XP_006404995.2	g3007
OG0000005	XP_024013358.1	g52866, g10483, g26067, g34544, g15875, g33596, g14065, g35068, g53526, g19913, g53525, g15922, g34539, g43208, g6103, g1720
OG0000005	XP_024016125.1	g25223
OG0000005	XP_024013775.1	g41973
OG0000005	XP_024010447.1	g34343, g34347, g42612
OG0000005	XP_024016833.1	g21085, g8878, g21778, g22562, g21750, g53237, g33681, g48434, g38758, g15439, g48097, g30184, g21769, g38943, g38685, g15405, g21658, g21626, g15483, g9357, g8861, g22053, g42458, g42535, g48454, g20472, g21554, g16181, g20634, g3529
OG0000005	XP_024005029.1, XP_024009243.1	g49196
OG0000005	XP_024013377.1, XP_024015852.1	g21883
OG0000005	XP_024009771.1, XP_024007306.1	g22475, g21100, g15220
OG0000005	XP_024009493.1	g8684, g42471, g30075, g8186
OG0000005	XP_024016342.1, XP_024010922.1, XP_024006399.1, XP_024014499.1, XP_024014528.1, XP_024009400.1, XP_024011296.1, XP_024014507.1	g34553, g33523, g19890, g30141
OG0000005	XP_024013060.1	g42351, g9075
OG0000005	XP_024004015.1, XP_024010544.1	g33923, g37457, g8422, g20735
OG0000005	XP_024010472.1	g42313
OG0000005	XP_024014001.1	g16442
OG0000005	XP_024015858.1	g21798, g21724
OG0000005	XP_024015023.1	g15105
OG0000005	XP_024010905.1	g42483
OG0000005	XP_024015845.1	g38606
OG0000007	XP_024006790.1	g23854
OG0000007	XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1, XP_024011309.1	g4635
OG0000007	XP_024006428.1	g6208, g14489
OG0000007	XP_024004804.1, XP_024006809.1, XP_024010444.1, XP_024014464.1, XP_024016297.1, XP_024010253.1, XP_024009329.1, XP_024006490.1	g40547, g4032, g24749, g15595
OG0000007	XP_024007931.1	g42739
OG0000007	XP_024016514.1, XP_024014672.1	g41913
OG0000007	XP_024006492.1, XP_024006841.1	g1504, g5172, g25855
OG0000007	XP_024014636.1, XP_024004080.1, XP_024013187.1	g9677
OG0000007	XP_024010848.1	g40914
OG0000007	XP_024014172.1	g43721
OG0000007	XP_024004788.1	g5266
OG0000007	XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004856.1, XP_024004074.1, XP_024014006.1, XP_024012322.1, XP_024012910.1	g16483
OG0000007	XP_024004051.1	g4033
OG0000007	XP_024006097.1, XP_024011350.1, XP_024004963.1, XP_024013926.1, XP_024004117.1, XP_024013935.1, XP_024016848.1, XP_024013889.1, XP_024007769.1	g47006, g45886, g50470
OG0000007	XP_024016122.1	g596, g49751
OG0000007	XP_006397474.2, XP_024004398.1, XP_024011387.1, XP_024013912.1, XP_024004241.1, XP_024005863.1, XP_024004112.1	g47000, g11663, g32442, g35394, g34804
OG0000007	XP_024007214.1, XP_024006883.1	g40353, g47960
OG0000008	XP_024004796.1, XP_024004794.1, XP_024014490.1	g36794
OG0000008	XP_024009261.1	g49591
OG0000008	XP_024015912.1	g5353, g35020, g27856, g27175, g1942
OG0000008	XP_024004048.1	g52586
OG0000008	XP_024013171.1, XP_024010288.1, XP_024007970.1	g26783
OG0000008	XP_024014429.1, XP_024004767.1, XP_024016281.1, XP_024015907.1, XP_024010446.1, XP_024004910.1, XP_024006484.1, XP_024007711.1, XP_024006634.1, XP_024014150.1, XP_024011400.1, XP_024010291.1, XP_024006405.1	g36094, g12608, g25554, g19408
OG0000008	XP_024007971.1	g27995
OG0000008	XP_024010217.1, XP_024010377.1	g39484, g13991
OG0000009	XP_024014484.1, XP_024013044.1, XP_024009292.1	g36085, g14872, g26760
OG0000009	XP_024009307.1	g32059, g53845
OG0000009	XP_024013918.1, XP_024007904.1	g42166, g38135, g4, g54233, g32288, g9848, g3832, g54192, g31394, g30358, g44061, g36068, g44251
OG0000009	XP_024009751.1	g5873, g10931, g10935, g19664, g30922, g53629, g19587
OG0000009	XP_024011403.1, XP_024016212.1	g23979, g28647, g29131, g1512
OG0000011	XP_024003642.1, XP_024003759.1, XP_024004876.1, XP_024016548.1	g18071, g2721, g42559, g4725, g47538
OG0000011	XP_024013228.1	g24975
OG0000011	XP_024016750.1	g2713, g18942
OG0000011	XP_024006275.1	g2720, g19256
OG0000012	XP_024010329.1	g24724
OG0000012	XP_024011250.1, XP_024011270.1, XP_024013668.1, XP_024016101.1, XP_024013382.1, XP_024010432.1, XP_024006682.1, XP_024016577.1, XP_024004056.1, XP_024005228.1, XP_024015282.1, XP_024013555.1, XP_024014250.1, XP_024006510.1, XP_024004043.1, XP_024016298.1, XP_024008037.1, XP_024013925.1	g3436
OG0000012	XP_024009191.1	g1458, g24832, g50752
OG0000012	XP_024010196.1	g26075
OG0000014	XP_024006535.1	g21528, g48055, g34423, g3243
OG0000014	XP_024013115.1, XP_024014009.1, XP_024005602.1, XP_024005000.1, XP_024015955.1	g45670
OG0000014	XP_006408809.2	g2094
OG0000014	XP_024013164.1	g30067
OG0000014	XP_024015893.1, XP_024007899.1, XP_024010463.1	g17636, g4255
OG0000014	XP_024006470.1	g35163, g51018
OG0000014	XP_024013196.1, XP_024005930.1, XP_024011382.1, XP_024011409.1	g48054
OG0000015	XP_024006143.1	g35711
OG0000015	XP_024014590.1, XP_024006904.1	g39566, g3152, g14756, g32935
OG0000015	XP_024012449.1	g53814, g952, g32985, g12170, g24863, g14880
OG0000015	XP_024013064.1	g43580, g47633, g11559, g47481, g16302
OG0000015	XP_024007917.1	g16377
OG0000016	XP_024010588.1	g20467, g34722, g30434, g30429, g21277, g25157
OG0000016	XP_024013310.1	g43401, g3658, g38750, g11415
OG0000016	XP_024016295.1	g4181, g6384, g33081, g33074
OG0000016	XP_024010546.1	g26416, g24990
OG0000018	XP_024010601.1	g4429, g25015, g53118, g3760, g25775, g17839
OG0000020	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1	g32689, g14805
OG0000020	XP_024005003.1	g4190, g3679, g33003
OG0000020	XP_024016132.1	g3669
OG0000020	XP_024014258.1, XP_024010776.1, XP_024011342.1, XP_024014221.1	g4186
OG0000021	XP_024008232.1	g33125, g14567, g25750
OG0000022	XP_006413138.1	g17118
OG0000022	XP_006400202.2	g5030
OG0000022	XP_006391807.1	g40881, g40949, g40951, g40859, g40857, g6403, g40794
OG0000022	XP_006391833.2	g40889
OG0000022	XP_006391829.2	g40888
OG0000022	XP_006391605.2	g40752
OG0000022	XP_024014798.1, XP_024015415.1	g13269
OG0000023	XP_024013410.1, XP_024013199.1	g14801, g15067
OG0000023	XP_024004018.1, XP_024010417.1	g42233, g26587
OG0000023	XP_024009473.1	g52731
OG0000023	XP_024011315.1	g15121
OG0000023	XP_024009936.1, XP_024006513.1	g44912, g15122
OG0000023	XP_024016167.1	g6328, g34729
OG0000024	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2	g43450
OG0000024	XP_006415394.1, XP_024007951.1, XP_006415341.2	g40788
OG0000024	XP_024004275.1, XP_006402766.1	g2269
OG0000025	XP_024007336.1, XP_024013062.1	g17280, g46637, g25246, g50791
OG0000025	XP_024013403.1, XP_024013306.1, XP_024009983.1, XP_024006433.1, XP_024014732.1, XP_024014743.1, XP_024007900.1, XP_024013980.1, XP_024010438.1, XP_024010204.1, XP_024015304.1, XP_024009430.1, XP_024010439.1	g14806, g32688
OG0000027	XP_024009838.1, XP_006396897.2	g43193, g48946
OG0000027	XP_006396896.1	g25723
OG0000027	XP_024010236.1	g25717, g25713, g48941, g48949
OG0000027	XP_006413557.1	g23897
OG0000027	XP_006396890.1	g40374
OG0000027	XP_006396908.2	g25720
OG0000030	XP_024008003.1	g38367, g38376, g38372, g38380
OG0000030	XP_024016186.1	g13799, g13797
OG0000030	XP_024010547.1, XP_024015244.1	g13193, g13194
OG0000031	XP_024016318.1	g42618
OG0000031	XP_024016250.1	g43456
OG0000031	XP_024011171.1, XP_024007913.1, XP_024013167.1, XP_024016245.1, XP_024012481.1, XP_024014868.1, XP_024010652.1, XP_024013936.1, XP_024010348.1, XP_024013381.1, XP_024010913.1, XP_024006569.1, XP_024009588.1, XP_024010453.1, XP_024006101.1, XP_024007284.1, XP_024008024.1, XP_024014349.1, XP_024006862.1, XP_024006618.1, XP_024016129.1, XP_024011268.1, XP_024008010.1, XP_024009300.1, XP_024006120.1, XP_024010326.1, XP_024007258.1, XP_024016215.1, XP_024004984.1, XP_024016257.1, XP_024006593.1, XP_024011224.1	g39351, g7244, g17718, g41293
OG0000032	XP_024009309.1	g25263, g35283, g34310
OG0000032	XP_024007954.1	g15953, g5354
OG0000032	XP_024004841.1, XP_024010402.1	g4129, g3254, g35284
OG0000032	XP_024009276.1, XP_024004049.1	g4751, g15963, g26227, g35298, g34338, g27173, g8228, g4384, g32773, g27855, g31991, g16029, g32780, g16316, g32772, g4383, g14852, g3939, g41695, g1941, g27176, g14853, g35021, g16600, g4006
OG0000034	XP_024010975.1	g23911
OG0000034	XP_024005104.1	g24014
OG0000034	XP_006413576.1	g23912
OG0000035	XP_006393440.2	g42054
OG0000038	XP_024013061.1	g45065
OG0000038	XP_024006448.1	g14210, g42047, g25209, g47747, g6734, g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434, g14573, g41376, g31882, g40136, g45253, g37419, g28612, g6446, g6725, g47748, g41947, g41005, g50686, g35996, g4260, g4263, g41786, g23625, g41377, g32262, g25866
OG0000038	XP_024011196.1	g23926, g16819, g41305
OG0000039	XP_024006661.1	g9223, g15181, g22026, g34002, g33956, g21740, g33876, g20120, g34152, g33727, g33838, g34031, g38975, g39098, g38955, g38688, g33899, g33968, g21746, g49214, g9168, g8928, g33853, g21580, g21835, g33794, g34108, g48467, g9412, g21180, g20963, g29864, g34128, g42509, g20355, g20323, g33964, g8497, g34589, g9477, g21185, g20350, g34603, g48204, g15023, g26485, g26483, g26490, g42473, g21581, g42500, g33728, g21834, g21908, g30648, g9167, g30662, g34030, g33969, g33880, g33754, g20336, g42479, g16186, g20806, g20799, g20600, g33875, g33942, g9567, g9467, g20562, g30106, g20969, g48132, g8937, g14739, g15252, g15616, g38605, g48353, g38935, g20566, g34601, g9410, g9534, g15154, g8442, g26561, g33734, g30591, g9307, g48220, g16204, g15893, g15843, g15896, g16200, g21102, g9330, g9097, g48186, g48133, g8399, g42629, g26556, g39032, g35389, g34862, g8902, g20398, g15147, g49183, g20264, g15163, g20939, g15263, g21171, g20808, g30058, g19679, g3538, g30024, g34069, g15290, g33828, g33832, g48859, g33774, g26506, g34577, g38840, g15451, g8891, g35369, g30672, g20400, g20339, g8985, g8963, g9150, g33805, g8966, g21244, g20504, g33808, g15372, g33840, g8969, g49250, g21044, g9535, g21091, g42907, g30644, g34888, g35388, g48113, g34154, g9222, g21215, g9264, g52758, g49246, g8843, g9556, g20444, g34039, g34131, g21540, g15466, g38559, g9194, g34045, g8458, g21870, g34113, g8981, g20527, g34004, g21752, g9254, g21611, g39030, g34126, g9248, g22003, g33850, g22025, g30631, g22027, g34181, g21699, g33966, g21680, g33992, g9199, g9408, g21877, g20657, g30626, g8288, g15136, g34194, g20574, g8449, g48415, g8953, g38980, g39170, g39173, g48500, g33991, g21539, g34037, g33722, g43382, g8379, g26569, g20644, g42305, g15284, g48417
OG0000040	XP_024006069.1	g49152
OG0000040	XP_024004874.1, XP_024006081.1, XP_024004163.1	g17325, g27760, g45782, g40051, g35119, g45600, g54029, g3973, g3980
OG0000040	XP_024009299.1	g52948, g41631, g41632, g25133, g49021
OG0000040	XP_024007589.1	g28310, g1466, g41711, g22786
OG0000041	XP_024004893.1	g49411, g40677, g12224
OG0000041	XP_024011200.1	g46623, g23029, g39982, g37529, g2399, g11002, g36193, g23611, g45305, g17752, g35246, g25631, g52028, g44112, g376, g47861, g12095, g19466, g36505, g6602, g22934, g32343, g7174, g919, g27324, g24163, g3137, g46399, g49352, g50524, g46729, g28511, g1087, g47181, g54100, g829, g18721, g29231, g45388, g14428, g28413, g13757, g46775, g3861, g44857, g32168, g43896, g24458, g6376, g12068, g19448, g4749, g6871, g36846, g47037, g23483, g11656, g27986, g5166, g12226, g50226, g46640, g41551, g45877, g11828, g41708, g839, g6204, g4882, g54105, g19084, g12227
OG0000041	XP_024004768.1	g51517, g45168, g27877
OG0000041	XP_024011348.1	g45435, g46801
OG0000041	XP_024013542.1	g7668, g53419, g39804, g44227
OG0000042	XP_024009659.1	g41465, g35926
OG0000042	XP_024009944.1	g6307, g53556
OG0000042	XP_024016200.1	g27960, g26692, g47920, g599, g13492, g35927, g43602, g51339
OG0000042	XP_024006466.1	g40104, g13786, g31186, g8826, g30544
OG0000043	XP_024014240.1	g38500, g21290, g3846, g20451, g31368, g1398, g32975, g7022, g9694, g49667, g7846, g12262, g36270, g25656, g34289, g52680, g50195, g34809, g16434
OG0000044	XP_024009991.1	g10944
OG0000044	XP_006398345.1	g18482
OG0000044	XP_024005671.1, XP_024009767.1	g28154
OG0000046	XP_024015030.1	g14749, g15027, g17910, g17917, g16165, g31981, g5572, g43446, g4490, g3382, g2931
OG0000046	XP_024009726.1, XP_024010419.1	g33267
OG0000047	XP_024014421.1	g20823, g3147
OG0000047	XP_024011365.1	g53822, g39938, g46293, g3737, g32568, g29256, g19401, g44942, g26771
OG0000048	XP_024005913.1	g51285
OG0000048	XP_006407903.2	g29294, g52069, g52073, g52064
OG0000049	XP_024006537.1	g24879, g26707, g4073, g28165, g5623, g29089, g25298, g2374, g7125, g42059, g19431, g24864, g39276, g51171, g7126, g6551, g27201, g20917, g29939, g20308, g28559, g25198, g14254, g2520
OG0000049	XP_024009363.1	g10090
OG0000050	XP_024011305.1, XP_006403065.1, XP_006396164.1, XP_024016108.1, XP_024010449.1, XP_006414856.2	g44060, g31395
OG0000050	XP_024004962.1, XP_024006598.1	g30921, g53630, g4397, g10583
OG0000050	XP_024015913.1, XP_024007981.1	g182
OG0000051	XP_024004184.1	g37450
OG0000052	XP_024007553.1	g10535
OG0000052	XP_024008507.1	g2410
OG0000054	XP_024010734.1, XP_024013111.1	g14843
OG0000054	XP_024010408.1, XP_024009470.1, XP_024013312.1, XP_024016521.1, XP_024013525.1, XP_024015866.1, XP_024010276.1	g47268, g19674, g3543
OG0000054	XP_024013449.1	g33040
OG0000054	XP_024009399.1	g14337, g24011
OG0000054	XP_024014412.1	g30442, g52428
OG0000054	XP_024016309.1	g32562, g48023, g2616, g35754, g20877, g16232, g25038, g8779, g34409, g14810, g30055
OG0000054	XP_024009765.1, XP_024010410.1	g34238
OG0000054	XP_024006543.1	g13738, g11527
OG0000054	XP_024010469.1	g14381, g4607, g48037, g52357, g16667
OG0000054	XP_024006482.1	g32961
OG0000054	XP_024013069.1	g53889, g53885, g42037
OG0000054	XP_024009580.1, XP_024007298.1, XP_024007316.1	g49166, g4254
OG0000054	XP_024010349.1	g30404
OG0000055	XP_006398121.1, XP_006406735.1	g700
OG0000056	XP_006405761.2	g44206
OG0000058	XP_024013600.1	g3196
OG0000058	XP_024009371.1, XP_024012609.1	g49100
OG0000060	XP_006417762.1, XP_006418920.1, XP_006400894.1, XP_006410944.1, XP_006403660.1, XP_006400928.1, XP_006418982.1, XP_006409907.1	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	XP_006400395.1	g41322
OG0000061	XP_006413201.2, XP_006413190.1	g13471
OG0000062	XP_024010366.1, XP_024011367.1, XP_024010144.1, XP_024010551.1, XP_024009344.1, XP_024010927.1, XP_024007910.1	g44326, g2819, g44187
OG0000063	XP_024009242.1	g19357
OG0000065	XP_006391458.1	g18042
OG0000065	XP_024014419.1	g46717
OG0000066	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1	g31166, g49660, g5416, g9719, g156, g29501, g45535
OG0000066	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1	g5393
OG0000067	XP_024014292.1	g12885, g12881, g7910, g3384, g17624, g3851
OG0000067	XP_024011136.1	g3852, g51126, g3385, g51838
OG0000068	XP_024014925.1, XP_024012324.1, XP_006413393.1, XP_006406656.1, XP_006399102.2	g27956, g25385, g25390, g46783
OG0000069	XP_006402374.1, XP_006404944.1	g13531
OG0000070	XP_006395735.1	g10675
OG0000070	XP_006416426.1	g50123
OG0000070	XP_006390250.1	g46242
OG0000074	XP_024016530.1	g25623, g25627, g44201, g37854
OG0000074	XP_024004866.1	g43483
OG0000074	XP_024016279.1, XP_024013158.1	g14513, g14502, g14522
OG0000074	XP_024016228.1	g48940
OG0000074	XP_024007928.1, XP_024006149.1	g1489, g14333
OG0000074	XP_024013371.1	g35046
OG0000074	XP_024004022.1, XP_024009402.1	g17909, g17916, g44092, g34969
OG0000074	XP_024006397.1	g2403
OG0000074	XP_024013961.1, XP_024006432.1	g51639, g51642, g52234
OG0000075	XP_024009720.1, XP_024009721.1	g1450
OG0000076	XP_024004083.1, XP_024004092.1, XP_006410127.1, XP_024010259.1, XP_024010258.1, XP_006397052.1, XP_024010257.1, XP_024010383.1, XP_006410067.1, XP_024004059.1, XP_024004093.1, XP_024004091.1, XP_006410069.1, XP_006410074.2, XP_006410076.1, XP_006410126.2, XP_024004081.1, XP_006410042.2, XP_006410043.2, XP_006410041.1	g32307, g51190
OG0000077	XP_024004738.1	g18473
OG0000077	XP_006398175.2	g18408
OG0000077	XP_006395717.2, XP_006395727.1, XP_006395720.2	g1538, g1535
OG0000077	XP_006392390.2	g44008, g44007, g44009
OG0000078	XP_006408252.2, XP_006408254.2, XP_006408256.1, XP_024014979.1, XP_006408255.1	g4945
OG0000078	XP_006400345.1	g4944
OG0000078	XP_006400352.1, XP_006400344.1	g29028, g29029
OG0000081	XP_024014389.1, XP_024004223.1	g45295, g49162, g32135, g50796, g11094, g25177, g51097, g11499, g17431, g25472, g32592, g28656, g13832, g15781, g11373, g584, g48347
OG0000081	XP_024014942.1, XP_024013908.1	g33350, g4665
OG0000082	XP_024013185.1	g33411, g33412, g25297, g33414, g33413
OG0000083	XP_024004878.1	g53464, g40253, g35242, g42933, g26028, g6325, g52570
OG0000083	XP_024016110.1	g26019
OG0000083	XP_024003644.1	g25832
OG0000083	XP_024004864.1	g23574, g1440, g18218, g29209, g189, g44333, g12699, g45077, g7891, g50678, g45076, g29210, g46332, g12698, g17314, g37985, g4867, g188, g44332
OG0000083	XP_024004079.1	g26018, g35239, g42930, g6323
OG0000083	XP_024009339.1, XP_024014050.1	g26027, g52571, g17747, g25833, g42932, g6324
OG0000083	XP_024009186.1	g25834
OG0000083	XP_024004889.1	g36784, g49746, g18538, g35187, g6495, g14111, g41347, g2636
OG0000086	XP_024014367.1	g14687
OG0000086	XP_006405821.2	g25067, g25040
OG0000086	XP_024014475.1, XP_006405815.1	g46770, g46768, g46769, g43995
OG0000089	XP_006404194.1, XP_006394642.1	g9991
OG0000089	XP_006399740.1	g5316
OG0000089	XP_006403108.1	g11055, g40485
OG0000089	XP_006413842.1	g24042
OG0000089	XP_006390273.1	g46232
OG0000090	XP_024004922.1, XP_024014456.1	g43843
OG0000091	XP_024011698.1	g46886
OG0000091	XP_006404361.1	g19510
OG0000091	XP_006398110.2, XP_006398111.1	g11030, g40516
OG0000091	XP_024011446.1	g28934, g28933
OG0000092	XP_006397382.1	g2110
OG0000092	XP_024004806.1, XP_024010671.1, XP_024010073.1	g4808
OG0000095	XP_006405024.2, XP_006405025.1, XP_006405019.2, XP_006405020.2, XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1	g51024
OG0000096	XP_024009294.1, XP_006418661.2, XP_006418628.2	g6393
OG0000096	XP_024004907.1, XP_024007223.1	g49764
OG0000098	XP_024009712.1, XP_006403292.2	g11756
OG0000101	XP_024007307.1	g8998, g29945, g30548, g38806, g8608, g26310, g9084, g48831, g29967, g8634, g9122, g30668, g30701, g13421, g43704, g4261, g4265, g27334, g26222, g26225
OG0000101	XP_024013940.1	g12208, g35531
OG0000101	XP_024010678.1, XP_024008063.1	g31822, g37851
OG0000102	XP_006403998.2	g25521, g25536, g25522
OG0000102	XP_006417793.2	g45186
OG0000102	XP_006396591.1	g45182
OG0000103	XP_024006500.1	g30244, g22182
OG0000103	XP_024005026.1	g22183, g30246, g16455, g52963, g35453, g14262, g16606, g16453, g32833, g4421, g43835, g41891, g52967, g36311, g43664, g53386, g35584, g22946, g16547, g16540, g16523, g16532, g33382, g26138, g34261, g35243, g18813, g36312, g4975, g16267, g34417, g46725, g4503, g4417, g50768, g34515, g41866, g678, g41676, g26277, g16548, g16533, g16524, g33383, g41867, g53593, g52562, g35800, g53323, g52897, g4352, g4416, g52637, g679, g41675, g36864, g4976, g18814, g11793, g34529, g34527, g34536, g6183, g17356
OG0000103	XP_024013314.1, XP_024014414.1, XP_024014220.1, XP_024009962.1, XP_024013198.1, XP_024006852.1	g52966, g15793, g16603, g34418, g34813
OG0000105	XP_024011529.1	g11211
OG0000105	XP_024014375.1	g53975
OG0000106	XP_024009972.1, XP_024010849.1	g36881, g4591, g47125, g36375, g27012
OG0000107	XP_024015177.1	g6757
