Orthogroup	Eutrema_salsugineum	Arabidopsis_arenosa
OG0000020	XP_024013930.1, XP_024006617.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024013948.1, XP_024013964.1, XP_024013965.1, XP_006405034.2, XP_024010782.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013043.1, XP_024013056.1, XP_024010319.1, XP_024014443.1, XP_024006547.1, XP_024014425.1, XP_024007259.1, XP_024009794.1, XP_024011333.1, XP_024006565.1, XP_024013063.1, XP_024010757.1, XP_024016106.1, XP_024014812.1, XP_024015878.1, XP_024010923.1, XP_024016723.1, XP_024004986.1, XP_024015902.1	jg6965
OG0000020	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1	jg21095, jg27354
OG0000020	XP_024016132.1	jg11846
OG0000020	XP_024015881.1	jg11431
OG0000020	XP_024014745.1	jg27353
OG0000020	XP_024014258.1, XP_024010776.1, XP_024011342.1, XP_024014221.1	jg27355, jg11845
OG0000021	XP_024013384.1	jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287
OG0000021	XP_024008232.1	jg25715
OG0000022	XP_006413138.1	jg9770
OG0000022	XP_006400202.2	jg5495
OG0000022	XP_006391833.2	jg645, jg586, jg583, jg572, jg642
OG0000022	XP_006391829.2	jg29675, jg638
OG0000022	XP_006406159.2, XP_006418847.2	jg26478
OG0000022	XP_006417237.2	jg29724, jg29708, jg29704, jg29712
OG0000022	XP_006417199.1, XP_006417205.1, XP_006417216.1	jg29722, jg29734, jg29678, jg29676, jg29711
OG0000022	XP_024014798.1	jg12744
OG0000022	XP_024015415.1	jg25741
OG0000023	XP_024016167.1	jg1757, jg31920, jg12454
OG0000024	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2	jg17071
OG0000024	XP_024006555.1	jg31857
OG0000024	XP_024004275.1	jg15695, jg15696, jg15770, jg15771
OG0000024	XP_006402766.1	jg14278
OG0000025	XP_024014962.1, XP_024010657.1, XP_024004987.1, XP_024006404.1, XP_024015864.1, XP_024007297.1, XP_024014500.1, XP_024012918.1	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257
OG0000025	XP_024013403.1, XP_024013306.1, XP_024009983.1, XP_024006433.1, XP_024014732.1, XP_024014743.1, XP_024007900.1, XP_024013980.1, XP_024010438.1, XP_024010204.1, XP_024015304.1, XP_024009430.1, XP_024010439.1	jg27352
OG0000027	XP_024009838.1, XP_006396897.2	jg7517, jg7516
OG0000027	XP_006396896.1	jg7521
OG0000027	XP_024010236.1	jg7523
OG0000027	XP_006413565.1	jg10174
OG0000027	XP_024009837.1	jg7515
OG0000027	XP_006413569.1	jg10191
OG0000027	XP_006396890.1	jg7537, jg7533, jg7530
OG0000027	XP_006396908.2	jg7526
OG0000027	XP_024004623.1	jg10192
OG0000027	XP_006413573.1	jg10199
OG0000028	XP_006411607.2	jg8748
OG0000029	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1	jg33138, jg30060, jg20837, jg1780, jg13951, jg6737, jg11997, jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965
OG0000029	XP_024013922.1	jg21311
OG0000029	XP_024013800.1	jg32932
OG0000030	XP_006391637.1	jg26153, jg26152
OG0000030	XP_024008003.1	jg30787, jg31203, jg31202, jg25536
OG0000030	XP_024009293.1	jg25377, jg1071
OG0000030	XP_024016186.1	jg1537, jg14799, jg17824, jg14802, jg14804
OG0000030	XP_024010547.1, XP_024015244.1	jg2112
OG0000031	XP_024014022.1	jg21124
OG0000031	XP_024010455.1, XP_024016318.1, XP_024006123.1, XP_024006531.1, XP_024015844.1, XP_024010635.1, XP_024009411.1, XP_024011373.1, XP_024016250.1	jg21055
OG0000034	XP_006413571.1, XP_024010975.1	jg10193, jg10203, jg10197
OG0000034	XP_006413574.2	jg10200
OG0000034	XP_024005104.1	jg10426, jg10425
OG0000034	XP_006413567.2	jg10175, jg10176
OG0000034	XP_024004626.1	jg10198
OG0000034	XP_006413576.1	jg10202, jg10195
OG0000035	XP_024010425.1, XP_024007977.1	jg32621, jg13872
OG0000035	XP_024007976.1, XP_024016141.1	jg32484, jg7027, jg13873
OG0000035	XP_006393440.2	jg6998, jg7008, jg32675, jg6987
OG0000038	XP_024013061.1	jg17779
OG0000040	XP_024014479.1, XP_024004874.1, XP_024006081.1, XP_024004163.1, XP_024009299.1	jg17939
OG0000041	XP_024011200.1	jg28661, jg10344
OG0000042	XP_024009659.1	jg33373
OG0000042	XP_024009944.1	jg6977
OG0000042	XP_024006466.1	jg33374, jg32294, jg32380
OG0000044	XP_024004579.1	jg21834
OG0000044	XP_024013343.1	jg20443, jg20442, jg20416
OG0000044	XP_006398345.1	jg20412, jg20415
OG0000044	XP_024009767.1	jg21833
OG0000046	XP_024015030.1	jg12140, jg13501, jg20886
OG0000046	XP_024009472.1, XP_024009471.1	jg1572
OG0000046	XP_024009726.1, XP_024010419.1	jg1555, jg21339
OG0000048	XP_024005913.1	jg20748, jg20747
OG0000048	XP_006410338.1	jg18309, jg18271
OG0000048	XP_006406533.1	jg33607
OG0000048	XP_006407903.2	jg740
OG0000050	XP_024011305.1, XP_006403065.1, XP_006396164.1, XP_024016108.1, XP_024010449.1, XP_006414856.2	jg19949, jg4268
OG0000050	XP_024015913.1, XP_024007981.1	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079
OG0000051	XP_006418389.2, XP_024008111.1	jg29349
OG0000051	XP_006411503.1	jg19557
OG0000051	XP_006392148.1, XP_024013725.1, XP_024013699.1	jg497, jg24823
OG0000051	XP_024004184.1	jg19560
OG0000052	XP_024007553.1	jg1458, jg1459, jg1457, jg13394, jg13392, jg13393
OG0000052	XP_024008507.1	jg15039
OG0000052	XP_006404188.1, XP_024010967.1	jg14729
OG0000055	XP_024012536.1	jg26196, jg26181
OG0000055	XP_006398121.1, XP_006406735.1	jg26019, jg12073
OG0000055	XP_024016535.1	jg27919
OG0000056	XP_006405761.2	jg14491
OG0000058	XP_024013600.1	jg16618
OG0000058	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852
OG0000059	XP_024010626.1, XP_024006533.1, XP_024013675.1, XP_024009487.1, XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024006276.1	jg27640, jg13837
OG0000061	XP_024006504.1, XP_024006267.1	jg5088
OG0000062	XP_024009412.1	jg21178
OG0000062	XP_024011371.1, XP_024013346.1	jg32622
OG0000062	XP_024010366.1, XP_024011367.1, XP_024010144.1, XP_024010551.1, XP_024009344.1, XP_024010927.1, XP_024007910.1	jg13871, jg7029
OG0000064	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276, jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979
OG0000065	XP_024014567.1	jg2189
OG0000065	XP_006391458.1	jg2209, jg2212, jg2195
OG0000065	XP_024014561.1	jg12337
OG0000065	XP_024014419.1	jg12464, jg12463
OG0000066	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1	jg1404, jg13471, jg4871, jg4870, jg29279
OG0000066	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1	jg4927
OG0000067	XP_024013907.1	jg14038
OG0000067	XP_024014292.1	jg14037
OG0000068	XP_024014925.1	jg4186, jg4261, jg4260, jg24839, jg24838
OG0000068	XP_006406656.1	jg4679
OG0000069	XP_006404944.1	jg16351
OG0000070	XP_006395735.1	jg28225, jg28226, jg13116, jg13115
OG0000070	XP_006416426.1	jg16631, jg30544, jg4483
OG0000070	XP_006390250.1	jg3251
OG0000072	XP_024009686.1	jg12110
OG0000072	XP_024004060.1, XP_024006592.1	jg7100, jg12084, jg27349, jg7332, jg11849
OG0000072	XP_024014710.1	jg20178
OG0000073	XP_024006136.1	jg7033
OG0000073	XP_024009769.1, XP_024016097.1	jg11572, jg10937, jg20466
OG0000073	XP_024007936.1	jg13828
OG0000075	XP_024009720.1, XP_024009721.1	jg21647
OG0000075	XP_006396818.1, XP_006396813.1	jg26472, jg32685, jg32682, jg32692, jg8427
OG0000076	XP_006411683.1	jg8362
OG0000076	XP_006410525.1	jg18482
OG0000077	XP_024004738.1	jg20644
OG0000077	XP_006395717.2, XP_006395727.1	jg13131
OG0000077	XP_006395720.2	jg13128
OG0000077	XP_006392390.2	jg902, jg1249
OG0000078	XP_024014979.1	jg24239
OG0000078	XP_006400347.1, XP_006400352.1, XP_006400344.1	jg5644, jg5634
OG0000079	XP_006405230.2, XP_024010130.1	jg7377
OG0000081	XP_024014389.1, XP_024004223.1	jg17678, jg24928, jg28032, jg1125, jg20814, jg32127, jg1799
OG0000081	XP_024014942.1, XP_024013908.1	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463
OG0000086	XP_006405821.2	jg12259
OG0000086	XP_024014475.1, XP_006405815.1	jg12281
OG0000086	XP_006390991.1	jg2128, jg2129
OG0000089	XP_006394642.1	jg6235
OG0000089	XP_006410012.1	jg17972
OG0000089	XP_006399740.1	jg5068
OG0000089	XP_006403108.1	jg20749
OG0000089	XP_006413842.1	jg10485
OG0000089	XP_006410628.1	jg18593
OG0000089	XP_006390273.1	jg3235
OG0000090	XP_024004922.1, XP_024014456.1	jg20882, jg6910
OG0000091	XP_024011698.1	jg14545, jg14558
OG0000091	XP_006404361.1, XP_006398110.2, XP_006398111.1	jg17633
OG0000091	XP_024011446.1	jg5910
OG0000095	XP_006405019.2	jg17289
OG0000095	XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1	jg17005, jg20640
OG0000096	XP_024009294.1, XP_006418661.2, XP_006418628.2	jg26888, jg26886
OG0000096	XP_006408882.1, XP_024014982.1	jg25957
OG0000096	XP_024004907.1, XP_024007223.1	jg6740, jg25958
OG0000097	XP_024005015.1	jg13803
OG0000097	XP_024011316.1	jg17571
OG0000098	XP_024009712.1, XP_006403292.2	jg27107
OG0000098	XP_006395726.1	jg2306
OG0000098	XP_006404383.1, XP_006394690.1, XP_006414046.1	jg17595, jg31284, jg16872
OG0000100	XP_024014529.1	jg1396
OG0000100	XP_006404831.1	jg1380, jg1381
OG0000100	XP_024014029.1, XP_024004369.1	jg471
OG0000101	XP_024007307.1, XP_024013940.1, XP_024010678.1, XP_024008063.1, XP_024004951.1	jg27510
OG0000102	XP_006405546.1	jg21543, jg7817
OG0000102	XP_006396592.1	jg7818, jg11552
OG0000102	XP_006417793.2	jg7810
OG0000105	XP_024011529.1	jg14191, jg14194
OG0000105	XP_006414517.2	jg12094
OG0000106	XP_024004087.1	jg15329
OG0000106	XP_024013941.1, XP_024004736.1, XP_024012932.1, XP_024005999.1	jg17558, jg25723
OG0000107	XP_024015177.1	jg26161
OG0000108	XP_006410952.1, XP_006403657.1	jg15311
OG0000108	XP_006400969.1, XP_006418890.1	jg14433, jg22870
OG0000108	XP_006399464.1	jg4799
OG0000108	XP_006405819.1	jg19509, jg19508
OG0000109	XP_024009711.1, XP_024010384.1, XP_024009792.1, XP_024009380.1, XP_024010244.1, XP_024014026.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009348.1, XP_024013914.1, XP_024009952.1, XP_024006596.1	jg17478, jg27454, jg27058, jg17336, jg17450, jg13895, jg1859, jg2002, jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945
OG0000110	XP_024004909.1, XP_024011414.1, XP_024009421.1, XP_024007906.1, XP_024004952.1, XP_024010478.1, XP_024006501.1, XP_024010281.1, XP_024010375.1, XP_024006421.1	jg25795, jg13800, jg13799, jg25794
OG0000111	XP_006405203.2, XP_006405200.2	jg7195, jg7197, jg7196, jg7198
OG0000111	XP_006391257.1, XP_006409739.1, XP_006409738.2, XP_006409778.1	jg3144
OG0000114	XP_024013163.1, XP_024014535.1	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973
OG0000114	XP_024009390.1, XP_024014516.1, XP_024009469.1, XP_024011379.1, XP_024006494.1, XP_024006892.1, XP_024013367.1	jg6733
OG0000116	XP_006404698.2, XP_006415357.2	jg6813, jg6561
OG0000117	XP_024008618.1	jg30922
OG0000117	XP_024008035.1	jg30923, jg30924
OG0000117	XP_024008031.1	jg30934
OG0000117	XP_024008246.1	jg30938
OG0000117	XP_024008029.1, XP_024008030.1, XP_006416071.1, XP_006416064.2	jg30929
OG0000118	XP_006416096.1	jg19019, jg19043, jg19023, jg19021, jg19020, jg12773
OG0000118	XP_024010220.1, XP_024009977.1, XP_006410257.2	jg24182, jg26523
OG0000118	XP_006408206.1	jg24305, jg26630, jg26627, jg26631, jg26628, jg7233
OG0000119	XP_024009951.1	jg22962
OG0000119	XP_006419033.2	jg14325
OG0000120	XP_024016282.1	jg32086, jg21202, jg10180, jg12955, jg6735, jg10767
OG0000122	XP_024012533.1	jg31888
OG0000122	XP_024014583.1, XP_024014445.1	jg21685
OG0000122	XP_024012350.1	jg22486
OG0000122	XP_006401333.2	jg22508
OG0000123	XP_024012107.1	jg21770
OG0000124	XP_024014203.1	jg12674
OG0000124	XP_024011275.1, XP_024009428.1, XP_024006620.1, XP_024007267.1, XP_024015892.1, XP_024009781.1, XP_024013977.1, XP_024010413.1, XP_024005584.1, XP_024010662.1, XP_024011095.1, XP_024010391.1, XP_006409642.2, XP_024007266.1, XP_024011274.1, XP_024016583.1	jg27681, jg17603
OG0000125	XP_024003754.1	jg17890, jg17891, jg17887
OG0000125	XP_024006051.1	jg33004
OG0000125	XP_006392987.1	jg33352, jg33355, jg33354
OG0000125	XP_024006272.1	jg33347
OG0000125	XP_006406282.1	jg26323
OG0000125	XP_024006009.1	jg33349
OG0000126	XP_024016126.1	jg17588
OG0000126	XP_024009117.1, XP_024009113.1	jg1403, jg17368
OG0000127	XP_006400797.1	jg6123
OG0000127	XP_006403666.1	jg15301
OG0000127	XP_006400898.1	jg22931
OG0000127	XP_006409905.1	jg17851
OG0000128	XP_024012970.1	jg15969
OG0000128	XP_024012967.1	jg15965
OG0000128	XP_006412145.2	jg13485
OG0000128	XP_006402712.2	jg15959
OG0000128	XP_006402710.1	jg15960
OG0000128	XP_006402715.1	jg1161, jg11381
OG0000129	XP_006408194.2	jg1820
OG0000129	XP_024011911.1	jg1832
OG0000129	XP_024006771.1, XP_006394457.2, XP_024007354.1	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823
OG0000132	XP_006403516.1	jg15428
OG0000132	XP_006405758.2, XP_024014449.1	jg7387, jg7388
OG0000132	XP_006396648.1, XP_006391408.1, XP_006391409.1	jg23313, jg23312
OG0000132	XP_006393001.2, XP_024014405.1, XP_024014786.1, XP_006405613.2, XP_006405755.2, XP_006405611.2, XP_024014617.1, XP_024014705.1	jg12398, jg12389, jg12393, jg12394, jg12395
OG0000134	XP_024011055.1	jg20706
OG0000134	XP_006399626.1	jg20992, jg20995, jg20998, jg20997, jg20999, jg4953, jg20994
OG0000137	XP_006401466.1	jg22361
OG0000137	XP_006401462.1	jg22366, jg22365
OG0000137	XP_006401463.2	jg22364
OG0000137	XP_006401465.2	jg22363
OG0000137	XP_006395415.1	jg21872
OG0000138	XP_006402375.2	jg16317
OG0000138	XP_024012920.1	jg15926
OG0000138	XP_024016620.1	jg15939, jg15937
OG0000138	XP_006402376.1, XP_006406628.2, XP_024015356.1	jg15356
OG0000140	XP_024010233.1, XP_024016314.1	jg6686
OG0000140	XP_024009937.1	jg12153, jg832, jg13730, jg32189, jg11305, jg33822, jg13897, jg21116, jg17372, jg8836, jg14078, jg1761, jg1441
OG0000140	XP_024014271.1, XP_024011288.1	jg14412, jg13729
OG0000141	XP_006417248.1	jg29677
OG0000141	XP_024008234.1	jg29672
OG0000141	XP_024009431.1	jg32280
OG0000141	XP_024004548.1, XP_006391848.1	jg650, jg654, jg658, jg651, jg653
OG0000142	XP_024006458.1, XP_024014815.1, XP_024008002.1, XP_024009941.1, XP_024013979.1, XP_024013304.1, XP_024013309.1, XP_024011242.1, XP_024014409.1, XP_024004086.1, XP_024010557.1, XP_024013929.1, XP_024013647.1, XP_024009747.1, XP_024009366.1, XP_024011259.1, XP_024009279.1, XP_024004932.1, XP_024006563.1, XP_024010230.1, XP_024014041.1, XP_024011248.1, XP_024014159.1, XP_024007750.1, XP_024013628.1, XP_024011100.1, XP_024009927.1, XP_024004122.1, XP_024013974.1, XP_024009749.1, XP_024012580.1, XP_024014391.1, XP_024014044.1, XP_024015910.1, XP_024007985.1	jg14912
OG0000143	XP_024010471.1	jg11978
OG0000148	XP_006393424.2	jg32820, jg24959
OG0000148	XP_024004911.1	jg461
OG0000148	XP_024006236.1, XP_006393101.1, XP_006393087.2	jg32882, jg32881, jg32883, jg33223
OG0000148	XP_006415686.2, XP_024008000.1, XP_006415657.1	jg5636
OG0000151	XP_006403491.1	jg15449
OG0000151	XP_006403492.1	jg15448
OG0000151	XP_006411161.1	jg19118
OG0000151	XP_006403493.1	jg15447
OG0000151	XP_006403679.1	jg15282
OG0000151	XP_006410918.1	jg18884
OG0000151	XP_006399852.1	jg5170
OG0000153	XP_006409977.2, XP_024003718.1, XP_024003707.1, XP_024003713.1, XP_024003669.1	jg17932
OG0000153	XP_024003801.1, XP_006409980.1	jg17933
OG0000153	XP_024008215.1	jg29098
OG0000154	XP_006393107.1	jg33217, jg33218, jg5696, jg5697
OG0000154	XP_024005670.1	jg11063
OG0000154	XP_024006135.1	jg33219, jg33312
OG0000157	XP_006418682.2, XP_024008597.1	jg12097
OG0000157	XP_006415425.1	jg31640
OG0000158	XP_006402964.2	jg8653
OG0000158	XP_006397112.2	jg16699, jg28264, jg5270, jg28263, jg7562, jg7551
OG0000158	XP_006390521.2, XP_024007853.1	jg11407
OG0000160	XP_006409094.1	jg28078
OG0000160	XP_024005341.1	jg9392
OG0000160	XP_024012572.1	jg22635
OG0000160	XP_006396088.1	jg27288
OG0000160	XP_006419170.1	jg13954
OG0000160	XP_006389820.1	jg3697
OG0000160	XP_006404985.2	jg16942
OG0000161	XP_024013360.1	jg6881, jg12949, jg10772, jg12951
OG0000162	XP_006410456.1	jg18405, jg20943
OG0000162	XP_024004125.1	jg18412, jg18409, jg18408
OG0000163	XP_024013090.1, XP_024013108.1	jg1575
OG0000164	XP_024015078.1, XP_024013971.1, XP_024006436.1	jg6848, jg11792, jg7487, jg11793
OG0000164	XP_024004032.1	jg6850
OG0000167	XP_024014991.1, XP_024006548.1	jg26298, jg26296, jg26297
OG0000167	XP_024015693.1	jg26289, jg14328, jg14329, jg26290, jg26288
OG0000167	XP_024015423.1	jg26576, jg26577
OG0000169	XP_024006540.1, XP_024006299.1, XP_024006462.1	jg32767, jg32768, jg32765
OG0000170	XP_024012911.1	jg16151
OG0000170	XP_024010825.1	jg19951
OG0000170	XP_006410182.1	jg19948
OG0000171	XP_006401722.1	jg22050
OG0000171	XP_006405318.1	jg12793
OG0000171	XP_006409398.1	jg27769
OG0000171	XP_006401372.1	jg22463
OG0000171	XP_006407751.1	jg24782
OG0000173	XP_006411787.1	jg8491
OG0000173	XP_006411932.1	jg8629
OG0000173	XP_024006800.1	jg8611
OG0000173	XP_006409103.1	jg8547
OG0000174	XP_024009910.1, XP_024010843.1, XP_024010311.1, XP_024004523.1	jg21576, jg27974, jg7024, jg9836, jg1719, jg13725
OG0000174	XP_024009367.1	jg20878
OG0000175	XP_024012404.1	jg5289
OG0000176	XP_006405511.2	jg16885
OG0000176	XP_024009012.1	jg32422
OG0000176	XP_024011615.1	jg2769
OG0000177	XP_006416321.2	jg30666, jg30667, jg30662, jg30668, jg30670, jg30665, jg26900, jg30833
OG0000178	XP_006396688.1	jg7702
OG0000178	XP_006396683.2	jg7704, jg7703
OG0000178	XP_024009811.1	jg7707
OG0000178	XP_024010194.1, XP_006396684.1	jg7705
OG0000179	XP_006392266.1	jg1022
OG0000182	XP_006402522.1, XP_006405778.1	jg31826, jg16158, jg16157
OG0000182	XP_006418087.2	jg15782, jg15779, jg32711, jg15778, jg16268, jg15781
OG0000182	XP_006390108.2	jg15586, jg15562
OG0000183	XP_006391396.1, XP_006405835.1	jg2098, jg12245
OG0000183	XP_006408585.1	jg5984, jg17567
OG0000184	XP_024014969.1	jg26412, jg26410, jg26411
OG0000184	XP_006406221.2, XP_006406220.1	jg26422
OG0000184	XP_006391352.1	jg26417, jg26418
OG0000185	XP_024008728.1	jg30960
OG0000186	XP_006402068.1	jg22416, jg22415, jg22417, jg22418
OG0000186	XP_006404845.1	jg22413
OG0000186	XP_024006671.1	jg13067, jg13066
OG0000186	XP_024003658.1, XP_024003647.1	jg19241
OG0000187	XP_006409848.1, XP_006413517.1, XP_006413085.1, XP_006401995.1, XP_006410218.1	jg16584
OG0000187	XP_024009084.1, XP_006396044.1	jg18001, jg17979, jg17999, jg17980, jg18002, jg17981, jg17978
OG0000188	XP_006403294.1, XP_006413270.2	jg5008, jg5007, jg5020, jg5022, jg5021, jg24303
OG0000188	XP_006408167.1	jg24346, jg24347
OG0000188	XP_006408168.2	jg24349, jg24348
OG0000189	XP_006409399.1	jg8854
OG0000189	XP_006390262.1	jg3242
OG0000189	XP_006416436.1	jg30537
OG0000192	XP_006413192.2	jg647
OG0000192	XP_006417123.1	jg29805
OG0000192	XP_024013225.1	jg29806
OG0000193	XP_006410830.1, XP_006415272.2	jg32770
OG0000193	XP_024007938.1	jg31894, jg31896
OG0000195	XP_006408884.1	jg12215
OG0000196	XP_006391246.2	jg12711
OG0000196	XP_006405333.1	jg12812, jg12806, jg12803, jg12809, jg12800, jg12817, jg12816, jg17734, jg12804, jg12810, jg12779
OG0000196	XP_024014729.1	jg12778
OG0000197	XP_006413958.1	jg10625, jg12243
OG0000197	XP_006393616.1	jg10623
OG0000197	XP_024004741.1, XP_006413960.1	jg12242
OG0000197	XP_006393695.2	jg10624
OG0000198	XP_006395886.1, XP_006395885.1	jg12942
OG0000198	XP_006395887.1	jg11388
OG0000198	XP_006413529.1	jg29982, jg31686, jg29979, jg29981, jg13337
OG0000199	XP_006412791.2, XP_006413298.1	jg9442, jg5645, jg5642, jg9443, jg9444
OG0000200	XP_006415606.2	jg31430
OG0000200	XP_006418015.2	jg28891
OG0000200	XP_006415505.2	jg31559
OG0000200	XP_006415507.2	jg31560, jg31558
OG0000201	XP_024009278.1	jg32554
OG0000201	XP_024010263.1, XP_024010264.1	jg1346, jg24835
OG0000202	XP_024009918.1	jg7999
OG0000202	XP_006398075.1	jg2493
OG0000203	XP_024012757.1	jg15851
OG0000203	XP_006405456.2	jg15863
OG0000208	XP_024013235.1	jg16962, jg32361, jg11759
OG0000209	XP_024006207.1	jg14429
OG0000209	XP_024015726.1	jg4863, jg4865
OG0000210	XP_024010855.1, XP_024004704.1	jg19859
OG0000210	XP_024012462.1	jg2036
OG0000210	XP_006395656.2	jg19860
OG0000211	XP_024009238.1, XP_024015927.1, XP_024011253.1, XP_024009718.1, XP_024009445.1, XP_024011236.1, XP_024010337.1, XP_024010096.1, XP_024009305.1	jg23304
OG0000216	XP_024016821.1	jg1267
OG0000219	XP_024009776.1, XP_006391273.1, XP_024005932.1, XP_024005928.1	jg12176, jg12633, jg12636, jg14708, jg15293, jg14696, jg17925, jg12743, jg12179, jg12792, jg11871, jg11778, jg12608, jg12682, jg28098
OG0000221	XP_024014198.1	jg11581
OG0000221	XP_024003652.1	jg11559
