Orthogroup	Eutrema_salsugineum	Arabidopsis_lyrata_NCBI
OG0000009	XP_024014484.1, XP_024013044.1, XP_024009292.1	XP_020889795.1
OG0000009	XP_006404467.1, XP_024014738.1, XP_024010667.1, XP_024015832.1, XP_024006416.1	XP_020876464.1
OG0000009	XP_024007257.1, XP_024009950.1	XP_020881689.1
OG0000009	XP_024011403.1, XP_024016212.1	XP_020867197.1
OG0000011	XP_024003642.1, XP_024003759.1, XP_024004876.1, XP_024016548.1	XP_020873638.1
OG0000011	XP_024014025.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1	XP_020872379.1, XP_020877201.1, XP_020879405.1, XP_020871455.1
OG0000011	XP_024004159.1, XP_024015297.1, XP_024014196.1	XP_020885819.1, XP_020866216.1
OG0000011	XP_024004160.1	XP_020885594.1, XP_020870692.1
OG0000011	XP_024013228.1	XP_020875848.1
OG0000011	XP_024016750.1	XP_020881813.1, XP_020866193.1, XP_020870462.1
OG0000011	XP_024012731.1, XP_024004844.1, XP_024004832.1	XP_020875471.1, XP_020876980.1, XP_002888416.2
OG0000012	XP_024010254.1, XP_024009382.1, XP_024009379.1, XP_024004817.1, XP_024016208.1, XP_024013308.1, XP_024006882.1, XP_024015930.1, XP_024014989.1, XP_024006092.1, XP_024013538.1, XP_024013984.1, XP_024013319.1, XP_024007927.1, XP_024006840.1, XP_024006606.1, XP_024009011.1, XP_024010250.1, XP_024014667.1, XP_024007778.1, XP_024013297.1, XP_024004787.1, XP_024009476.1, XP_024014518.1, XP_024009301.1, XP_024004077.1, XP_024011119.1, XP_024009973.1, XP_024016528.1, XP_024010312.1, XP_024006271.1, XP_024011218.1, XP_024016237.1, XP_024016855.1, XP_024007215.1, XP_024011231.1	XP_020871500.1
OG0000012	XP_024006310.1, XP_024010246.1, XP_024010847.1, XP_024006789.1, XP_024013645.1	XP_020889836.1
OG0000015	XP_024006143.1	XP_020865814.1
OG0000020	XP_024013930.1, XP_024006617.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024013948.1, XP_024013964.1, XP_024013965.1, XP_006405034.2, XP_024010782.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013043.1, XP_024013056.1, XP_024010319.1, XP_024014443.1, XP_024006547.1, XP_024014425.1, XP_024007259.1, XP_024009794.1, XP_024011333.1, XP_024006565.1, XP_024013063.1, XP_024010757.1, XP_024016106.1, XP_024014812.1, XP_024015878.1, XP_024010923.1, XP_024016723.1, XP_024004986.1, XP_024015902.1	XP_020887777.1
OG0000020	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1	XP_002862745.2, XP_020874187.1
OG0000020	XP_024014258.1, XP_024010776.1, XP_024011342.1, XP_024014221.1	XP_020873825.1, XP_020878844.1
OG0000021	XP_024008232.1	XP_020879723.1
OG0000022	XP_006413138.1	XP_020873422.1
OG0000022	XP_006400202.2	XP_020878202.1
OG0000022	XP_006391833.2	XP_020889844.1, XP_002886462.1
OG0000022	XP_006391829.2	XP_020890773.1
OG0000022	XP_006406159.2, XP_006418847.2	XP_002885504.2
OG0000022	XP_006417237.2	XP_020869509.1, XP_020868327.1, XP_020870640.1, XP_020868325.1
OG0000022	XP_006417199.1, XP_006417205.1, XP_006417216.1	XP_020869508.1, XP_020870927.1
OG0000022	XP_024008093.1	XP_020869233.1
OG0000022	XP_006391605.2	XP_020890021.1
OG0000022	XP_024014798.1	XP_002868609.1
OG0000022	XP_024015415.1	XP_002883021.2
OG0000023	XP_024013410.1, XP_024013199.1	XP_020870611.1
OG0000023	XP_024009473.1	XP_020871051.1
OG0000023	XP_024016113.1	XP_020874097.1
OG0000023	XP_024007959.1	XP_020876901.1
OG0000023	XP_024005009.1	XP_020872176.1
OG0000023	XP_024011315.1	XP_020881510.1, XP_020874804.1, XP_020872198.1
OG0000023	XP_024015863.1, XP_024015862.1, XP_024013159.1, XP_024010078.1, XP_024016374.1	XP_020865779.1
OG0000024	XP_006415351.1	XP_002891475.2
OG0000024	XP_024006555.1	XP_002893706.2
OG0000024	XP_024004275.1	XP_020881113.1, XP_020879759.1, XP_020879758.1
OG0000024	XP_006402766.1	XP_002875716.2
OG0000025	XP_024007336.1	XP_020877486.1
OG0000025	XP_024013062.1	XP_020889652.1
OG0000025	XP_024013403.1, XP_024013306.1, XP_024009983.1, XP_024006433.1, XP_024014732.1, XP_024014743.1, XP_024007900.1, XP_024013980.1, XP_024010438.1, XP_024010204.1, XP_024015304.1, XP_024009430.1, XP_024010439.1	XP_020876192.1
OG0000027	XP_024009838.1, XP_006396897.2	XP_020878445.1
OG0000027	XP_006396896.1	XP_002872592.1
OG0000027	XP_024010236.1	XP_002872595.1
OG0000027	XP_024009837.1	XP_020878447.1, XP_020878438.1
OG0000027	XP_024013896.1	XP_020873341.1
OG0000027	XP_006413569.1	XP_020873352.1
OG0000027	XP_006396890.1	XP_020867640.1
OG0000027	XP_024004623.1	XP_002867727.1
OG0000029	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1	XP_020869142.1, XP_020881896.1, XP_020874317.1, XP_020879925.1, XP_020871888.1
OG0000029	XP_024004858.1	XP_020888389.1
OG0000029	XP_024013922.1, XP_024009259.1, XP_024004045.1, XP_024013800.1	XP_020874443.1
OG0000030	XP_006391637.1	XP_020871692.1, XP_020871677.1, XP_020888510.1
OG0000030	XP_024008003.1	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1
OG0000030	XP_024016186.1	XP_020879678.1, XP_020881930.1, XP_020880910.1
OG0000030	XP_024010547.1, XP_024015244.1	XP_020889857.1
OG0000031	XP_024013167.1, XP_024016245.1, XP_024012481.1	XP_020872075.1
OG0000031	XP_024010652.1, XP_024013936.1, XP_024010348.1, XP_024013381.1, XP_024010913.1, XP_024006569.1	XP_020890956.1, XP_020882438.1
OG0000031	XP_024008024.1, XP_024014349.1, XP_024006862.1, XP_024006618.1, XP_024016129.1	XP_020870253.1
OG0000034	XP_006413571.1, XP_024010975.1	XP_002869784.2
OG0000034	XP_024005104.1	XP_020873360.1, XP_002867849.1
OG0000034	XP_006413576.1	XP_020873356.1
OG0000035	XP_024010425.1, XP_024007977.1	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1
OG0000035	XP_024007976.1, XP_024016141.1	XP_020883624.1, XP_020882782.1, XP_020891219.1, XP_020872062.1, XP_020889582.1
OG0000035	XP_024016804.1	XP_020870265.1, XP_020886028.1
OG0000038	XP_024006448.1	XP_020876468.1
OG0000038	XP_024011196.1	XP_020880729.1
OG0000040	XP_024004874.1, XP_024006081.1, XP_024004163.1	XP_020888726.1
OG0000040	XP_024007589.1	XP_020870158.1
OG0000044	XP_024004579.1	XP_020868157.1
OG0000044	XP_006398339.2	XP_002865185.1
OG0000044	XP_024013343.1	XP_020878609.1, XP_002865186.1
OG0000044	XP_024009991.1	XP_020886914.1
OG0000044	XP_006398345.1	XP_020880043.1, XP_020867167.1
OG0000046	XP_024015030.1	XP_020871374.1, XP_020877131.1, XP_020885942.1
OG0000047	XP_024014421.1	XP_020883415.1
OG0000048	XP_006410338.1	XP_002881223.2, XP_002879361.2
OG0000048	XP_006406533.1	XP_002894465.2
OG0000048	XP_006407903.2	XP_002886496.1, XP_002886498.2
OG0000051	XP_006418389.2, XP_024008111.1	XP_020868191.1
OG0000051	XP_006411503.1	XP_020885498.1
OG0000051	XP_006392148.1, XP_024013725.1, XP_024013699.1	XP_002886390.1, XP_002882601.1
OG0000051	XP_024004184.1	XP_020883307.1
OG0000052	XP_024007553.1	XP_002894621.2, XP_020881195.1, XP_020881409.1
OG0000052	XP_024008507.1	XP_020880077.1
OG0000052	XP_006404188.1, XP_024010967.1	XP_020876149.1, XP_020879879.1
OG0000055	XP_024012536.1	XP_020886775.1, XP_020888382.1, XP_020888884.1
OG0000055	XP_006398121.1, XP_006406735.1	XP_002885221.2, XP_020889148.1, XP_002862289.1
OG0000055	XP_024016535.1	XP_020886512.1
OG0000056	XP_006405761.2	XP_020880767.1
OG0000058	XP_024013600.1	XP_020868066.1
OG0000058	XP_024009371.1, XP_024012609.1	XP_020883504.1
OG0000059	XP_024010626.1, XP_024006533.1, XP_024013675.1, XP_024009487.1, XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024006276.1	XP_020875483.1, XP_020876486.1
OG0000060	XP_006417762.1	XP_020884530.1
OG0000060	XP_006400894.1	XP_002862282.2
OG0000060	XP_006403660.1	XP_020868710.1
OG0000061	XP_024006504.1, XP_024006267.1	XP_002871528.2
OG0000061	XP_006413201.2, XP_006413190.1	XP_020873461.1
OG0000061	XP_006405882.1	XP_020877006.1
OG0000062	XP_024009412.1	XP_020871212.1, XP_020876453.1
OG0000062	XP_024013032.1	XP_020871528.1
OG0000062	XP_024011371.1, XP_024013346.1	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1
OG0000064	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_002862361.1, XP_002886746.1, XP_002886752.2, XP_002886744.1, XP_020891241.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1
OG0000065	XP_006391458.1	XP_020865823.1, XP_020865819.1
OG0000065	XP_024014561.1	XP_020873883.1
OG0000065	XP_024014419.1	XP_020872917.1, XP_020872918.1
OG0000066	XP_006396911.1	XP_002877046.2
OG0000066	XP_024012002.1	XP_002894648.1
OG0000066	XP_006399597.1, XP_006390289.1	XP_020875248.1
OG0000067	XP_024014292.1	XP_020886169.1, XP_020865924.1
OG0000068	XP_024014925.1	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1
OG0000068	XP_006406656.1	XP_002871317.2
OG0000069	XP_006404944.1	XP_020880445.1
OG0000069	XP_024016442.1, XP_006390571.2	XP_020887402.1
OG0000070	XP_006395735.1	XP_002883942.1, XP_002875195.1, XP_002875194.1
OG0000070	XP_006416426.1	XP_020885789.1, XP_002890373.1, XP_002887052.2
OG0000070	XP_006390250.1	XP_020891141.1
OG0000072	XP_024004060.1, XP_024006592.1	XP_020876164.1, XP_020889278.1
OG0000072	XP_024014710.1	XP_020891624.1
OG0000074	XP_024016228.1	XP_020874556.1
OG0000075	XP_006396818.1, XP_006396813.1	XP_002891313.1, XP_002891316.2, XP_020875509.1
OG0000076	XP_006411683.1	XP_020872718.1
OG0000076	XP_006410525.1	XP_020884728.1
OG0000076	XP_006397224.1, XP_006397217.1, XP_024010292.1, XP_006397043.1	XP_002886268.1
OG0000077	XP_006398175.2	XP_020869035.1
OG0000077	XP_006395717.2, XP_006395727.1	XP_020880678.1
OG0000077	XP_006395720.2	XP_020881582.1, XP_020881188.1
OG0000077	XP_006392390.2	XP_020890121.1
OG0000078	XP_006408254.2, XP_006408256.1	XP_002884413.1
OG0000078	XP_006400347.1, XP_006400352.1, XP_006400344.1	XP_020877805.1, XP_020877807.1
OG0000079	XP_006405230.2, XP_024010130.1	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1
OG0000081	XP_024014389.1, XP_024004223.1	XP_020870247.1
OG0000081	XP_024014942.1, XP_024013908.1	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1
OG0000082	XP_024013185.1	XP_020875863.1, XP_020875624.1, XP_020887797.1
OG0000086	XP_024014367.1	XP_002868825.1
OG0000086	XP_006390991.1	XP_020889890.1, XP_020889891.1
OG0000089	XP_006394642.1	XP_020879374.1
OG0000089	XP_006404433.1, XP_006404432.1	XP_020880680.1
OG0000089	XP_006410012.1	XP_020883550.1
OG0000089	XP_006399740.1	XP_002873559.1
OG0000089	XP_006403108.1	XP_002863588.1
OG0000089	XP_006413842.1	XP_020872103.1
OG0000089	XP_006410628.1	XP_002881356.1
OG0000089	XP_006390273.1	XP_020890671.1
OG0000091	XP_024011698.1	XP_002875847.2
OG0000091	XP_024013782.1	XP_002875849.2
OG0000091	XP_006404361.1, XP_006398110.2, XP_006398111.1	XP_002880903.1
OG0000091	XP_024011446.1	XP_020878730.1
OG0000091	XP_006404412.1	XP_020880184.1
OG0000095	XP_006405019.2	XP_020884025.1
OG0000096	XP_024009294.1, XP_006418661.2, XP_006418628.2	XP_020866895.1, XP_002885709.2, XP_020888916.1, XP_002885705.1, XP_002885707.1
OG0000096	XP_006408882.1, XP_024014982.1	XP_020889406.1
OG0000096	XP_024004907.1, XP_024007223.1	XP_020888942.1
OG0000097	XP_024011316.1	XP_020866184.1
OG0000098	XP_024009712.1, XP_006403292.2	XP_020889445.1
OG0000098	XP_006395726.1	XP_020865728.1
OG0000098	XP_006404383.1, XP_006394690.1, XP_006414046.1	XP_002893476.1, XP_020869068.1, XP_020885549.1
OG0000100	XP_024014529.1	XP_020867631.1
OG0000100	XP_006404831.1	XP_020867629.1
OG0000100	XP_024014029.1, XP_024004369.1	XP_002886379.1
OG0000102	XP_006405546.1	XP_002863972.2, XP_002874850.1
OG0000102	XP_006396592.1	XP_020876795.1, XP_002865915.2
OG0000102	XP_006417793.2	XP_002874842.1
OG0000105	XP_024011529.1	XP_020875322.1, XP_020870827.1, XP_020886025.1, XP_020868736.1
OG0000106	XP_024013941.1, XP_024004736.1, XP_024012932.1, XP_024005999.1	XP_020871478.1, XP_020889746.1
OG0000107	XP_024015177.1	XP_020887921.1
OG0000107	XP_006406420.1	XP_002870246.2
OG0000108	XP_006403657.1	XP_020880453.1
OG0000108	XP_006418890.1	XP_020882238.1, XP_020871933.1
OG0000108	XP_006407369.1	XP_020888275.1
OG0000108	XP_006399464.1	XP_020876820.1
OG0000108	XP_006406564.1	XP_020867828.1, XP_002883150.1
OG0000108	XP_006405819.1	XP_002879968.1, XP_002879967.1
OG0000109	XP_024016626.1, XP_006414991.2	XP_020882760.1
OG0000109	XP_024009711.1, XP_024010384.1, XP_024009792.1, XP_024009380.1, XP_024010244.1, XP_024014026.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009348.1, XP_024013914.1, XP_024009952.1, XP_024006596.1	XP_020890904.1, XP_020877271.1, XP_020882612.1, XP_020875736.1, XP_020885842.1, XP_020884945.1, XP_020877184.1, XP_020882660.1, XP_020866785.1, XP_020888645.1, XP_020871279.1, XP_020885342.1, XP_020881978.1, XP_020865755.1, XP_002877246.2, XP_020872649.1
OG0000110	XP_024004909.1, XP_024011414.1, XP_024009421.1, XP_024007906.1, XP_024004952.1, XP_024010478.1, XP_024006501.1, XP_024010281.1, XP_024010375.1, XP_024006421.1	XP_002879052.1, XP_002886934.1, XP_020866137.1, XP_002872380.1, XP_020876048.1, XP_002876861.2, XP_002886930.1, XP_002886812.1, XP_002894139.1, XP_002865673.1, XP_002866863.2
OG0000111	XP_006405203.2, XP_006405200.2	XP_002874511.1, XP_002874510.1, XP_002862417.1, XP_002874973.1, XP_002874975.1, XP_002862418.1
OG0000111	XP_006391257.1, XP_006409739.1, XP_006409738.2, XP_006409778.1	XP_020865753.1
OG0000114	XP_024013163.1, XP_024014535.1	XP_020885335.1, XP_020881794.1, XP_020882022.1
OG0000114	XP_024009390.1, XP_024014516.1, XP_024009469.1, XP_024011379.1, XP_024006494.1, XP_024006892.1, XP_024013367.1	XP_020878269.1, XP_020886207.1
OG0000116	XP_006404698.2, XP_006415357.2	XP_002893409.1
OG0000117	XP_024008618.1	XP_020870031.1
OG0000117	XP_024008035.1	XP_020869256.1
OG0000117	XP_024008031.1	XP_002893298.1
OG0000117	XP_024008246.1	XP_002893302.1
OG0000117	XP_024008029.1, XP_024008030.1, XP_006416071.1, XP_006416064.2	XP_002893290.1, XP_002893291.1
OG0000118	XP_006416096.1	XP_020869283.1, XP_002881592.1, XP_020882923.1, XP_020882845.1, XP_020882847.1, XP_020885096.1, XP_020875172.1
OG0000118	XP_024010220.1, XP_024009977.1, XP_006410257.2	XP_020888665.1, XP_002885502.1, XP_020886930.1
OG0000118	XP_006408206.1	XP_020886515.1, XP_002885586.1, XP_020888654.1, XP_020887711.1
OG0000119	XP_006419033.2	XP_020881724.1
OG0000120	XP_024013368.1	XP_020871150.1
OG0000122	XP_006401335.1	XP_020881529.1
OG0000122	XP_024012350.1	XP_020871241.1
OG0000122	XP_006401333.2	XP_020865748.1
OG0000123	XP_024012107.1	XP_002864096.1
OG0000124	XP_024014203.1	XP_020875630.1
OG0000125	XP_024003754.1	XP_020885247.1
OG0000125	XP_024006051.1	XP_020866497.1
OG0000125	XP_006392987.1	XP_020870264.1, XP_020870260.1, XP_020870269.1
OG0000125	XP_024006272.1	XP_020870262.1
OG0000125	XP_006406282.1	XP_020886058.1
OG0000125	XP_024006009.1	XP_020870266.1
OG0000126	XP_024016126.1	XP_020885553.1
OG0000126	XP_024009117.1, XP_024009113.1	XP_020889780.1, XP_020866699.1, XP_020866698.1
OG0000126	XP_024011103.1	XP_020871413.1
OG0000127	XP_006400797.1	XP_002874101.1
OG0000127	XP_006410934.1	XP_020885803.1
OG0000127	XP_006400898.1	XP_020872447.1, XP_002864658.2
OG0000127	XP_006409905.1	XP_002879182.1
OG0000128	XP_024012970.1	XP_020879745.1
OG0000128	XP_024012967.1	XP_020879607.1
OG0000128	XP_006412145.2	XP_020882191.1
OG0000128	XP_006402712.2	XP_020880511.1
OG0000128	XP_006402710.1	XP_020880525.1
OG0000128	XP_006402715.1	XP_020891638.1, XP_002870336.2, XP_020880503.1
OG0000129	XP_006408194.2	XP_020890882.1
OG0000129	XP_024006771.1, XP_006394457.2, XP_024007354.1	XP_020867988.1, XP_002864761.1, XP_020871006.1, XP_020885823.1, XP_002879145.1, XP_020884859.1, XP_020889363.1
OG0000132	XP_006403516.1	XP_020880888.1
OG0000132	XP_006405758.2, XP_024014449.1	XP_020878937.1, XP_020877053.1
OG0000132	XP_006396648.1, XP_006391408.1, XP_006391409.1	XP_020882481.1, XP_020882467.1, XP_020871481.1, XP_020883459.1
OG0000132	XP_006393001.2, XP_024014405.1, XP_024014786.1, XP_006405613.2, XP_006405755.2, XP_006405611.2, XP_024014617.1, XP_024014705.1	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1
OG0000134	XP_024011055.1	XP_020882189.1
OG0000134	XP_006399626.1	XP_020879464.1, XP_020879441.1, XP_002863119.2, XP_020875295.1, XP_020875315.1, XP_002873501.1
OG0000137	XP_006401460.1	XP_002866093.1
OG0000137	XP_006401466.1	XP_020872432.1, XP_020871893.1
OG0000137	XP_006401462.1	XP_020870474.1
OG0000137	XP_006401463.2	XP_002866092.1
OG0000137	XP_006401465.2	XP_020872008.1
OG0000137	XP_006395415.1	XP_020871354.1
OG0000138	XP_006402375.2	XP_020880953.1, XP_020865702.1
OG0000138	XP_024012920.1	XP_020880529.1
OG0000138	XP_024016620.1	XP_020880592.1, XP_020880551.1
OG0000138	XP_006402376.1, XP_006406628.2, XP_024015356.1	XP_020889594.1, XP_020880950.1, XP_002876243.1
OG0000140	XP_024009937.1	XP_020883678.1, XP_020890722.1
OG0000140	XP_024014271.1, XP_024011288.1	XP_020890690.1
OG0000141	XP_024008234.1	XP_020869968.1
OG0000141	XP_024004548.1, XP_006391848.1	XP_020891049.1, XP_020891221.1
OG0000148	XP_006393424.2	XP_020886427.1
OG0000148	XP_024006147.1	XP_002891599.2
OG0000148	XP_024004911.1	XP_020889929.1
OG0000148	XP_024006236.1, XP_006393101.1, XP_006393087.2	XP_020868378.1, XP_020868376.1
OG0000148	XP_006416297.2, XP_024006818.1, XP_006412742.1	XP_020888855.1
OG0000148	XP_006415686.2, XP_024008000.1, XP_006415657.1	XP_020877791.1
OG0000150	XP_024009728.1, XP_024007466.1	XP_020877517.1
OG0000150	XP_024007678.1, XP_024010609.1, XP_024013121.1, XP_024006658.1, XP_024005870.1, XP_024010683.1, XP_024005929.1, XP_024010684.1, XP_024013241.1, XP_024006209.1, XP_024010554.1, XP_024009768.1, XP_024009783.1, XP_024016589.1, XP_024009761.1, XP_024005604.1, XP_024009216.1, XP_024006662.1, XP_024009215.1, XP_024009760.1, XP_024006659.1, XP_024016658.1, XP_024009218.1, XP_024009220.1	XP_020891702.1, XP_020886307.1, XP_020875426.1, XP_020875346.1, XP_020878841.1, XP_020875419.1, XP_020875390.1, XP_020875395.1, XP_020875381.1, XP_020875326.1, XP_020875372.1, XP_020885392.1
OG0000151	XP_006403491.1	XP_020881605.1
OG0000151	XP_006403492.1	XP_002878017.1
OG0000151	XP_006411161.1	XP_002881649.1
OG0000151	XP_006403493.1	XP_002878016.1
OG0000151	XP_006403679.1	XP_020880621.1
OG0000151	XP_006410918.1	XP_020884903.1
OG0000151	XP_006399852.1	XP_002871574.1
OG0000153	XP_024003718.1, XP_024003707.1, XP_024003713.1, XP_024003669.1	XP_020885362.1
OG0000153	XP_024008215.1	XP_020866558.1
OG0000154	XP_006393107.1	XP_020866593.1, XP_020879595.1, XP_020877958.1
OG0000154	XP_024005670.1	XP_020874310.1
OG0000154	XP_024006135.1	XP_020866511.1, XP_020869438.1
OG0000157	XP_006418682.2, XP_024008597.1	XP_020889806.1
OG0000158	XP_006402964.2	XP_002869017.2
OG0000158	XP_006397112.2	XP_020883421.1, XP_020877947.1
OG0000158	XP_006390521.2, XP_024007853.1	XP_002894673.1, XP_002868325.2
OG0000160	XP_006409094.1	XP_020888881.1
OG0000160	XP_024005341.1	XP_020872380.1
OG0000160	XP_024012572.1	XP_020870964.1
OG0000160	XP_006396088.1	XP_020889051.1
OG0000160	XP_006419170.1	XP_020882578.1
OG0000160	XP_006389820.1	XP_020890865.1
OG0000160	XP_006404985.2	XP_020885195.1
OG0000161	XP_024013360.1	XP_002892325.1
OG0000162	XP_006410456.1	XP_002879436.2, XP_002863691.1
OG0000162	XP_024004125.1	XP_002879439.1, XP_002879438.1
OG0000164	XP_024015172.1	XP_020875554.1
OG0000167	XP_024014991.1, XP_024006548.1	XP_020888465.1, XP_020886358.1, XP_020886753.1
OG0000167	XP_024015693.1	XP_020886949.1, XP_020886948.1
OG0000167	XP_024015423.1	XP_020889511.1
OG0000169	XP_024006540.1, XP_024006299.1, XP_024006462.1	XP_020868436.1, XP_002894040.2
OG0000170	XP_024012911.1	XP_002878356.2
OG0000170	XP_024010825.1	XP_002882021.1
OG0000170	XP_006410182.1	XP_002882020.2
OG0000171	XP_006401722.1	XP_002865968.1
OG0000171	XP_006405318.1	XP_020874812.1
OG0000171	XP_006409398.1	XP_020888018.1
OG0000171	XP_006401372.1	XP_020891046.1
OG0000171	XP_006407751.1	XP_020888570.1
OG0000171	XP_024005195.1	XP_002867477.1
OG0000172	XP_024016223.1	XP_020874182.1
OG0000172	XP_024006572.1	XP_020881656.1, XP_020876232.1
OG0000173	XP_006411787.1	XP_002868934.1
OG0000173	XP_006395058.1, XP_024006800.1	XP_002866926.1
OG0000173	XP_006409103.1	XP_020872385.1, XP_020874945.1
OG0000174	XP_024009910.1, XP_024010843.1, XP_024010311.1, XP_024004523.1	XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1, XP_020866195.1
OG0000175	XP_024015929.1	XP_020870037.1, XP_020890687.1
OG0000175	XP_024012404.1	XP_002871626.1
OG0000175	XP_006402389.1	XP_020865876.1
OG0000176	XP_006405511.2	XP_020883055.1, XP_020882682.1, XP_020882656.1
OG0000176	XP_006414114.1, XP_024005467.1, XP_024005332.1, XP_006414117.2	XP_020888110.1
OG0000176	XP_024009012.1	XP_020866346.1
OG0000176	XP_024011615.1	XP_020891687.1
OG0000177	XP_006416321.2	XP_020869470.1, XP_020869469.1, XP_020869472.1, XP_020869364.1, XP_002890432.1, XP_020869474.1, XP_020889073.1
OG0000178	XP_006396688.1	XP_002874799.1
OG0000178	XP_006396683.2	XP_002872696.1, XP_020877648.1
OG0000178	XP_024009811.1	XP_020877653.1
OG0000178	XP_024010194.1, XP_006396684.1	XP_002872697.1
OG0000179	XP_024013955.1	XP_020890287.1, XP_020890285.1
OG0000182	XP_006402522.1, XP_006405778.1	XP_020880330.1, XP_020880329.1
OG0000182	XP_006418087.2	XP_020882675.1, XP_020881705.1, XP_020881706.1, XP_020880843.1, XP_020881703.1
OG0000182	XP_006390108.2	XP_020880890.1
OG0000183	XP_006391396.1	XP_002888498.1
OG0000183	XP_006405835.1	XP_002870564.1
