Orthogroup	Aethionema_saxatile	Alyssum_gmelinii
OG0000089	As011G250900	Ag005G453100
OG0000089	As006G146590, As012G277570	Ag002G172950, Ag001G073120
OG0000089	As010G224530, As005G115200	Ag008G712440, Ag008G708620
OG0000090	As003G065330	Ag003G223190
OG0000090	As012G273080	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930, Ag002G185460
OG0000093	As012G284680, As012G284700, As012G284660	Ag001G087540, Ag001G087660, Ag001G087680, Ag001G087560, Ag001G087510, Ag001G087500, Ag001G087060, Ag020G743300, Ag001G087470, Ag001G087410, Ag001G087190, Ag001G087160, Ag001G087050, Ag001G087110, Ag001G087130, Ag020G743230, Ag001G087290, Ag001G087200, Ag020G743290, Ag001G087240
OG0000096	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360	Ag002G102560
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	Ag002G130220, Ag002G132530, Ag002G129480
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	Ag004G315550, Ag004G315560, Ag006G506280, Ag004G316800, Ag004G315620
OG0000102	As002G042100	Ag008G662610, Ag004G328280, Ag007G647210, Ag003G274160
OG0000104	As006G129180, As006G129160	Ag007G594810
OG0000104	As012G271240, As012G271230	Ag001G010240
OG0000104	As012G271220	Ag001G010200
OG0000104	As012G271190, As012G271200	Ag001G010180, Ag001G010190
OG0000106	As002G041170, As002G041390, As002G041440	Ag005G417510, Ag001G017220, Ag005G455010, Ag005G454930, Ag005G475370, Ag005G455060, Ag005G455020, Ag005G454940, Ag005G455220, Ag005G455230, Ag005G455260, Ag005G455240, Ag002G143260, Ag005G455000
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220	Ag005G446720
OG0000107	As011G252340	Ag005G446740, Ag005G446750, Ag003G213880, Ag005G446670, Ag005G446680
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	Ag008G718910, Ag008G718920, Ag008G722210, Ag008G722220, Ag005G459590, Ag008G727840, Ag003G269110, Ag003G269200, Ag005G414040, Ag008G722170, Ag007G609500, Ag002G145390
OG0000112	As011G262130, As011G262140, As009G217680, As009G217690	Ag007G615010, Ag007G615020, Ag007G615160, Ag007G615060, Ag007G615030, Ag007G615150, Ag007G615070, Ag007G615040, Ag007G615080, Ag007G615050, Ag005G405660, Ag007G615240, Ag007G615260, Ag007G615250, Ag007G615270, Ag007G615290, Ag007G615280, Ag006G515440, Ag006G515420, Ag006G515430, Ag006G515410, Ag007G615230, Ag007G617630, Ag006G567340, Ag006G542160, Ag006G567310, Ag006G567380, Ag006G567290, Ag006G545290, Ag007G615000
OG0000114	As006G137050, As006G137080	Ag005G486540, Ag005G485930, Ag006G573480, Ag003G220520, Ag005G486530, Ag007G607050, Ag007G607020, Ag003G284630, Ag006G555860
OG0000117	As002G041560	Ag006G549560
OG0000123	As008G183730, As008G183740	Ag004G318570
OG0000123	As008G183720	Ag004G318540, Ag006G573850, Ag006G564520, Ag002G117150, Ag004G318510, Ag004G318080
OG0000125	As006G146230	Ag002G172470, Ag001G072990
OG0000125	As005G107620	Ag005G477020
OG0000125	As005G113770	Ag008G713670
OG0000125	As006G129500	Ag007G595180
OG0000127	As008G186430, As008G186390, As008G185640	Ag004G313220, Ag004G313200, Ag004G313180, Ag004G313170, Ag007G620490, Ag004G313150, Ag004G313210, Ag004G313190, Ag004G313250, Ag004G313260, Ag002G187590
OG0000130	As005G110830	Ag003G260700
OG0000133	As010G227760, As002G038290	Ag001G074650
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	Ag004G387440
OG0000135	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440	Ag007G610770
OG0000136	As001G028730	Ag008G691470, Ag005G487080, Ag004G358500
OG0000138	As001G027950, As001G027940, As007G161530	Ag004G345080, Ag004G381060, Ag004G345060
OG0000139	As001G010560	Ag002G105400
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	Ag001G060940, Ag001G070480, Ag001G071460, Ag007G624420, Ag008G704320, Ag008G707840, Ag006G566230, Ag008G707860, Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830, Ag008G707960, Ag001G080460, Ag008G707780
OG0000145	As004G091580	Ag004G383900
OG0000145	As003G069750	Ag004G392330, Ag001G060050, Ag007G610290, Ag004G392340
OG0000146	As002G047180	Ag008G714590, Ag008G695350, Ag002G188250
OG0000146	As002G047190	Ag008G695470, Ag008G695460, Ag008G695380
OG0000147	As011G265720	Ag005G408700
OG0000147	As001G002190	Ag003G261030
OG0000147	As002G049060	Ag008G702420
OG0000147	As010G243490	Ag003G209560
OG0000147	As011G259420	Ag001G041550
OG0000149	As010G224590	Ag006G570510, Ag006G570440, Ag006G570460
OG0000149	As010G224610	Ag008G709300, Ag008G709340, Ag008G709360, Ag008G709420, Ag008G709260, Ag008G709330
OG0000150	As010G225180, As010G225220, As010G225210	Ag006G518460, Ag007G625710, Ag001G092600, Ag004G332580
OG0000151	As007G166070	Ag003G253050
OG0000151	As006G141980, As006G133740	Ag005G478640
OG0000151	As011G263600	Ag005G417580
OG0000151	As002G047900	Ag008G698280
OG0000151	As001G030700	Ag004G398050
OG0000154	As007G152520	Ag004G324480
OG0000154	As009G210670	Ag005G471090
OG0000154	As002G034300	Ag005G477170
OG0000154	As005G107550	Ag006G493360
OG0000155	As003G059350	Ag002G204050, Ag006G564870, Ag006G564750
OG0000156	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580	Ag002G201900
OG0000156	As001G028010	Ag001G093780
OG0000161	As001G013550, As001G029600, As001G029610	Ag008G725260, Ag007G588370, Ag007G588360
OG0000162	As012G286460	Ag001G075290
OG0000162	As012G286440	Ag001G092940
OG0000162	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570	Ag001G093040, Ag001G092990, Ag001G093000, Ag001G093010, Ag001G092980, Ag001G092570
OG0000162	As005G102210	Ag002G200850, Ag002G200800, Ag002G200670
OG0000162	As005G102220	Ag002G200700, Ag002G200830, Ag002G200780, Ag002G200840, Ag002G200790
OG0000165	As001G011340, As001G010810, As001G010990, As012G282150	Ag001G093340, Ag003G208890
OG0000167	As003G057890	Ag006G570230
OG0000169	As010G239290	Ag003G231880
OG0000171	As005G099780	Ag008G670170
OG0000171	As012G288230	Ag001G096960
OG0000171	As001G020870	Ag004G371850
OG0000171	As009G200410	Ag007G614710
OG0000175	As010G220360	Ag001G067410
OG0000178	As001G013240	Ag006G510570
OG0000184	As004G089570	Ag001G075930, Ag006G520200
OG0000187	As001G003940	Ag003G270350, Ag003G270310, Ag003G282640, Ag003G270250, Ag002G167770
OG0000187	As001G003960	Ag003G270560
OG0000189	As003G074800	Ag003G296450
OG0000190	As004G085680	Ag002G140140, Ag002G128880, Ag002G128820, Ag002G140040, Ag002G139950
OG0000191	As007G152760	Ag004G324780, Ag007G605570, Ag007G605580, Ag005G460420
OG0000192	As007G157190	Ag008G727670
OG0000195	As005G112850	Ag008G716390
OG0000195	As001G028840	Ag007G646090
OG0000202	As002G042690, As002G042710, As011G249620	Ag005G454480
OG0000203	As006G136770	Ag005G485200, Ag004G387230, Ag004G392530, Ag005G485880
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	Ag005G437650
OG0000207	As003G061070	Ag001G022870, Ag001G022610, Ag002G183650, Ag003G219800, Ag003G215860, Ag003G215900, Ag007G645960, Ag003G212870, Ag003G212790, Ag001G022600, Ag001G022560, Ag008G734590, Ag003G212990
OG0000208	As003G075160	Ag003G294600, Ag003G294590, Ag003G275170, Ag003G294530, Ag003G294570, Ag003G294700, Ag003G294540
OG0000213	As002G038840	Ag003G288980
OG0000218	As001G022650	Ag004G322150, Ag004G322240, Ag004G322160, Ag004G322180, Ag004G322280, Ag004G322290, Ag004G318250, Ag006G542090, Ag006G547060, Ag005G439660, Ag008G718790, Ag008G689600, Ag002G177290
OG0000219	As001G028500, As001G028480	Ag004G357760
OG0000219	As003G064990	Ag006G565670
OG0000220	As010G225590, As010G227890	Ag001G093870
OG0000221	As002G040520	Ag004G396450
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	Ag003G217190, Ag003G217140, Ag003G217540, Ag003G217240, Ag003G217560, Ag003G217550, Ag001G013260, Ag003G217250, Ag003G217260, Ag003G217440, Ag003G217450
OG0000224	As001G031540	Ag003G270550, Ag004G383650
OG0000225	As003G069680, As003G070050	Ag007G582050, Ag007G581990
OG0000225	As003G070030	Ag007G582040
OG0000228	As007G159250	Ag004G341460
OG0000228	As010G233780, As010G233750	Ag004G379170
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	Ag004G344170, Ag004G344160, Ag004G344130
OG0000231	As004G077900	Ag001G058920
OG0000232	As002G036540, As006G139020	Ag001G011980, Ag001G025350, Ag005G473990, Ag005G474010, Ag005G474060, Ag006G511920, Ag005G474020, Ag005G473970, Ag001G083150, Ag005G474030
OG0000233	As007G163840	Ag003G243370
OG0000234	As012G281460	Ag001G076940
OG0000234	As006G143800	Ag001G076930
OG0000234	As009G210340	Ag007G612020
OG0000238	As008G190870	Ag005G407390
OG0000242	As008G183340, As008G183330	Ag005G419410, Ag004G319220, Ag004G319260, Ag004G319640, Ag004G319270
OG0000244	As003G059930	Ag006G567480
OG0000244	As004G085820	Ag002G138420, Ag002G137630
OG0000244	As004G085870	Ag006G567410, Ag002G138400, Ag002G137710
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	Ag006G567460, Ag006G567470
OG0000244	As004G085860, As004G085850	Ag002G137640, Ag002G138410
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	Ag004G367480
OG0000249	As006G145310	Ag002G168370
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	Ag002G168420, Ag002G179380
OG0000256	As006G142420	Ag002G186790
OG0000257	As002G035710, As012G268510	Ag003G293310, Ag003G293320, Ag005G475480, Ag005G476080, Ag005G425180, Ag005G475490, Ag005G476060, Ag005G476070, Ag005G475200
OG0000258	As002G048970	Ag008G702170
OG0000264	As004G086270, As010G229170	Ag002G129660
OG0000268	As001G023230	Ag008G659990
OG0000268	As008G182800	Ag004G321080, Ag004G321070, Ag004G321060, Ag007G616940
OG0000268	As001G023220, As001G023200	Ag007G590690
OG0000268	As001G023210	Ag007G590680, Ag007G590670
OG0000268	As001G023190	Ag004G378440
OG0000268	As005G106920	Ag006G492050
OG0000268	As012G278370	Ag001G074460
OG0000270	As003G075960	Ag003G282610
OG0000270	As010G237880	Ag003G225130
OG0000270	As007G156110	Ag004G333220
OG0000271	As002G034810, As005G108140	Ag006G495010
OG0000273	As012G273500, As012G273510, As012G273490, As005G107410, As004G078260	Ag004G312170
OG0000274	As005G114920	Ag001G037550, Ag008G709540, Ag008G709790
OG0000274	As006G128840, As006G128830	Ag007G593920, Ag007G593930, Ag007G593900
OG0000276	As011G256110	Ag006G560370, Ag006G560510, Ag006G560400
OG0000276	As007G163350, As007G163430	Ag006G560660
OG0000276	As003G058440, As003G058430	Ag003G267540, Ag006G550870, Ag006G559970, Ag006G560640
OG0000277	As004G096710	Ag001G032920
OG0000282	As002G055220	Ag007G599660
OG0000283	As006G125110	Ag007G587950
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	Ag007G588000, Ag007G587960, Ag007G587970, Ag007G587990
OG0000284	As006G139300	Ag001G030880, Ag001G029500, Ag007G629010
OG0000293	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280	Ag005G454520, Ag002G114590, Ag007G619660, Ag003G284910, Ag001G083740
OG0000294	As011G249490	Ag005G458030
OG0000294	As006G145420	Ag002G169270
OG0000294	As005G099900	Ag002G204660
OG0000294	As006G122700	Ag006G513280
OG0000294	As008G198060	Ag004G299490, Ag004G299500
OG0000295	As011G246810	Ag005G465340, Ag005G465350, Ag005G465370
OG0000297	As008G198730	Ag003G261170, Ag003G289210, Ag002G173860, Ag002G174020, Ag003G288940, Ag007G595310
OG0000297	As005G114280	Ag008G711840, Ag008G711790, Ag001G072030, Ag007G611180, Ag003G272910, Ag005G402300, Ag005G402290, Ag008G711950, Ag004G378870, Ag008G711910, Ag008G711870, Ag008G711810, Ag008G711970, Ag005G448670
OG0000299	As010G241870, As010G241880	Ag006G499870, Ag006G499900, Ag006G499860
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	Ag003G213780, Ag003G220100, Ag003G213850, Ag003G213810, Ag003G212830, Ag003G213770, Ag003G220090
OG0000299	As010G241860, As009G207860	Ag006G499850
OG0000300	As008G194750	Ag003G259820
OG0000303	As003G069740	Ag003G271760, Ag006G557400, Ag002G122840, Ag006G557420, Ag007G639160, Ag006G535310, Ag006G537950, Ag004G348720, Ag001G067100
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	Ag004G327780, Ag004G327900, Ag003G238370, Ag004G327720, Ag004G327700, Ag004G327790
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	Ag008G709240
OG0000311	As009G202530	Ag007G622820
OG0000311	As012G273730	Ag001G024940
OG0000311	As011G249880	Ag005G457020
OG0000313	As003G058420	Ag006G560490, Ag006G560390
OG0000313	As007G163450, As007G163440	Ag006G560670, Ag006G560940, Ag006G560690
OG0000313	As003G064930	Ag002G171170
OG0000314	As008G195840	Ag004G302930
OG0000314	As006G125760	Ag004G302940, Ag007G589110
OG0000314	As006G125450	Ag007G588560
OG0000315	As006G137990, As006G137760	Ag006G566290
OG0000316	As008G187440, As008G187910	Ag006G542900, Ag002G187300
OG0000319	As006G129730, As005G114310, As008G191530	Ag008G711750
OG0000321	As001G010170	Ag002G166480, Ag002G166840, Ag006G571830
OG0000322	As009G214030	Ag003G214240, Ag005G440770, Ag003G214260
OG0000322	As007G153590	Ag006G548230, Ag006G548240, Ag006G546460, Ag002G179620
OG0000323	As005G112480	Ag004G374940, Ag004G374900
OG0000327	As001G019790, As001G019810, As001G019800, As008G195090, As008G195100, As011G263130, As001G012630, As001G012670, As001G012690, As005G104980, As005G104970, As005G104990	Ag001G075570, Ag001G075560
OG0000328	As001G029880	Ag001G036310
OG0000328	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070	Ag003G276770, Ag003G276860, Ag003G276790, Ag003G276850, Ag003G276800, Ag003G276810
OG0000329	As007G180560	Ag001G078090, Ag002G200020, Ag002G199980, Ag001G008470, Ag002G200000, Ag002G199990, Ag001G077310, Ag001G078150
OG0000332	As002G033230	Ag008G719120, Ag008G719130
OG0000334	As012G277630	Ag001G073280
OG0000334	As006G146780	Ag002G173720, Ag006G510580, Ag006G510710, Ag006G510520, Ag003G284660
OG0000338	As008G188190, As008G188080, As001G019490, As001G019290	Ag004G367200, Ag004G310510, Ag004G310410
OG0000339	As008G198990, As003G061400	Ag006G548660, Ag006G545860
OG0000339	As005G101130, As012G287430	Ag002G202770, Ag001G094740
OG0000340	As005G103820	Ag002G197210
OG0000340	As005G103800, As005G103810	Ag002G197250, Ag002G197230
OG0000347	As002G037650	Ag008G704910, Ag008G704900, Ag008G704890, Ag008G704940, Ag008G704920, Ag008G704930, Ag008G704970, Ag008G704820, Ag008G704810, Ag008G704960, Ag008G704870, Ag008G704860, Ag008G704950, Ag008G704880, Ag008G704650, Ag008G704740, Ag008G704690, Ag005G472160, Ag005G472170
OG0000348	As002G041810	Ag007G649350
OG0000348	As002G040050	Ag009G735950, Ag003G227730, Ag008G695200
OG0000350	As003G070220, As003G070200	Ag001G069780
OG0000351	As011G246700, As011G246690	Ag005G465630
OG0000351	As011G246600	Ag008G726010, Ag008G725990
OG0000351	As009G207810, As011G246650	Ag008G726000
OG0000352	As007G153380	Ag004G325890
OG0000358	As006G124930, As008G196330	Ag007G587570, Ag004G302250
OG0000358	As008G196390	Ag007G587560, Ag007G587550
OG0000359	As012G275420	Ag003G211770
OG0000360	As005G119730	Ag008G734820, Ag007G625370, Ag001G073420, Ag001G076320, Ag008G734800
OG0000362	As009G205230	Ag004G395330
OG0000362	As006G134970	Ag004G303110
OG0000362	As007G152630	Ag004G324550, Ag004G324540
OG0000363	As009G209420	Ag002G184600
OG0000368	As003G073560, As003G073580	Ag003G291040, Ag003G291010, Ag003G290970
OG0000368	As003G073600, As003G073590	Ag003G291060
OG0000369	As006G145250, As010G224820, As006G129520	Ag008G710170
OG0000370	As007G153440	Ag004G326160, Ag004G326130, Ag004G326140, Ag004G326120, Ag007G583890
OG0000371	As005G099710, As005G099720	Ag007G648580, Ag005G446940, Ag002G205020, Ag005G477210, Ag002G204950, Ag002G203170, Ag002G204960, Ag002G203160, Ag007G611950, Ag003G209200, Ag002G107130, Ag008G670390, Ag002G204970, Ag002G205030
OG0000374	As012G273470, As012G273550	Ag001G012930
OG0000377	As001G021090	Ag004G312650
OG0000378	As003G067400	Ag003G280940, Ag005G438980, Ag003G207240, Ag007G654760, Ag001G058140, Ag002G187490
OG0000382	As006G122900	Ag006G512540, Ag004G299580
OG0000382	As008G188710	Ag004G309460
OG0000383	As003G069230	Ag007G582890, Ag007G582900, Ag007G582910, Ag007G582920
OG0000383	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380	Ag007G582950, Ag007G582970, Ag007G582940, Ag007G582930
OG0000384	As011G247740	Ag002G181340, Ag002G181390, Ag005G463340, Ag001G007560, Ag001G007570, Ag001G007540
OG0000389	As001G003830	Ag001G073460, Ag001G087520
OG0000390	As001G012620	Ag008G723890
OG0000390	As011G251840	Ag005G448950, Ag005G448970, Ag005G448460, Ag005G448900, Ag005G457610
OG0000391	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360	Ag003G277260
OG0000392	As010G221200, As010G221190, As010G221180	Ag007G602140, Ag001G060790
OG0000396	As001G026970	Ag005G437820
OG0000396	As001G026990, As001G027000, As001G027010	Ag005G414520
OG0000402	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350	Ag006G561480
OG0000404	As012G276100, As006G144680, As002G037330	Ag002G166070, Ag006G502990, Ag001G069190, Ag005G472870
OG0000406	As006G136090	Ag007G624170, Ag001G091560, Ag001G037190, Ag005G488120
OG0000407	As009G201130, As009G201860	Ag004G386540, Ag004G386500, Ag004G386590, Ag004G386580, Ag004G386610, Ag007G610010, Ag007G616520, Ag007G587290, Ag003G279820, Ag003G279880, Ag001G088480
OG0000410	As001G021670, As001G021680	Ag004G376100, Ag004G376130, Ag004G375870, Ag004G375330
OG0000411	As001G022090	Ag004G378270
OG0000411	As004G085710	Ag002G139790
OG0000411	As003G060010	Ag006G555710
OG0000412	As002G046400	Ag008G693370
OG0000413	As011G245460	Ag005G469030
OG0000413	As002G048240	Ag008G699570
OG0000414	As003G058750, As003G058770, As003G058760	Ag003G245470, Ag006G561850, Ag006G561890, Ag006G561750, Ag006G561840, Ag006G561820, Ag006G561670
OG0000415	As005G104640	Ag007G617980, Ag007G617850, Ag007G617950, Ag007G636980, Ag004G373490, Ag004G372040, Ag002G194720
OG0000416	As006G125710	Ag007G590790
OG0000417	As007G163710, As008G186410	Ag003G269090, Ag004G323540, Ag005G431120
OG0000420	As010G222670	Ag002G185870
OG0000420	As001G015280	Ag006G501890
OG0000421	As004G078160, As004G078150	Ag002G119830, Ag002G119330, Ag006G539650, Ag001G005030, Ag001G005040, Ag006G537180, Ag007G634570, Ag003G213010
OG0000422	As008G188280, As008G188290, As008G188300	Ag004G310220, Ag004G310190, Ag004G310240, Ag002G188330, Ag004G310230, Ag004G310250, Ag004G310270, Ag004G310180
OG0000423	As010G241040	Ag003G238920
OG0000423	As012G269020	Ag001G003430
OG0000429	As009G215310	Ag008G720860
OG0000429	As002G052030	Ag007G606940
OG0000429	As001G004910	Ag003G279370
OG0000430	As011G263500	Ag005G417810
OG0000430	As001G014590, As003G076100, As007G181940	Ag003G296480
OG0000431	As001G019780	Ag004G368850
OG0000431	As008G187750	Ag004G311040, Ag004G311050, Ag004G311020
OG0000432	As002G044400	Ag007G617940, Ag008G701150, Ag001G060280, Ag008G701800, Ag008G683530
OG0000432	As002G047750	Ag008G697030, Ag008G697000
OG0000435	As001G004050, As006G138290	Ag006G519810
OG0000435	As011G260090, As011G260040	Ag004G330810, Ag004G330850, Ag004G330710
OG0000436	As011G266430, As002G048360	Ag008G699920, Ag003G261400, Ag003G257820, Ag005G405190
OG0000437	As003G062850	Ag006G537060, Ag006G539630
OG0000438	As004G085300	Ag006G552460
OG0000439	As008G194170	Ag004G305090
OG0000439	As012G285510	Ag001G090720
OG0000439	As006G127290	Ag007G591220
OG0000440	As006G136440	Ag006G496750, Ag007G625540, Ag005G487680, Ag005G487710, Ag004G392020
OG0000441	As011G248660	Ag005G461190
OG0000441	As011G248650	Ag005G461230
OG0000446	As009G219000	Ag008G727860
OG0000446	As008G183010	Ag004G320600
OG0000447	As011G247170	Ag005G464520
OG0000447	As003G069220	Ag007G583000
OG0000448	As004G089550	Ag002G115820, Ag002G120630, Ag002G120530, Ag002G115810, Ag002G120640
OG0000449	As005G114720	Ag007G656240
OG0000449	As010G224870, As005G114730	Ag008G710230
