Orthogroup	Aethionema_saxatile	Eutrema_salsugineum
OG0000010	As010G230410	XP_024011382.1, XP_024005930.1, XP_024013196.1
OG0000010	As002G038660, As004G091490, As006G148670, As002G039770, As010G231130, As011G259140, As002G039560, As002G039570	XP_024011402.1, XP_024006535.1
OG0000010	As010G229600	XP_024013115.1, XP_024005000.1
OG0000011	As006G147240	XP_024013517.1
OG0000011	As007G165830	XP_024009191.1
OG0000011	As002G041210	XP_024014215.1
OG0000011	As012G276770, As007G163680, As002G041220, As004G093340	XP_024010246.1, XP_024010847.1, XP_024006310.1, XP_024014087.1, XP_024006789.1, XP_024013645.1
OG0000013	As010G228550, As010G230420, As010G230620, As001G011830, As003G066230, As001G010630, As007G166800, As001G010860, As002G040060, As006G147900, As012G279880, As010G230200	XP_024006579.1, XP_024009314.1, XP_024016326.1, XP_024016199.1, XP_024016225.1, XP_024011229.1
OG0000013	As007G165870	XP_024016353.1, XP_024011407.1, XP_024007303.1, XP_024015124.1, XP_024010424.1, XP_024007246.1
OG0000013	As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120	XP_024009217.1, XP_024010471.1, XP_024016668.1, XP_024004795.1, XP_024015926.1, XP_024006469.1, XP_024007909.1, XP_024006481.1, XP_024010423.1, XP_024016274.1
OG0000014	As007G177950	XP_024004866.1
OG0000014	As010G230580, As010G232150, As007G177430, As008G192770, As009G206390	XP_024013371.1, XP_024016228.1
OG0000015	As007G163280, As004G091800, As011G257210, As008G195330, As004G086610	XP_024012449.1
OG0000015	As010G225860	XP_024006904.1, XP_024009420.1
OG0000015	As011G262280	XP_024007917.1
OG0000017	As003G068220	XP_024005003.1
OG0000017	As006G147350	XP_024016132.1, XP_024014258.1
OG0000017	As011G261070, As010G227380	XP_024010776.1, XP_024011342.1, XP_024013985.1, XP_024014689.1, XP_024014221.1
OG0000019	As007G166240, As001G007060, As009G208970, As002G040710, As009G203070, As004G091650	XP_024003642.1
OG0000020	As001G015310, As011G260550, As007G165150, As001G010310, As001G015320	XP_024005014.1
OG0000020	As009G211210, As012G277620, As011G260540, As001G015300	XP_024007954.1
OG0000020	As002G039920, As009G211220	XP_024004841.1
OG0000021	As005G111040	XP_024004423.1
OG0000021	As011G259540, As001G012170, As001G005040	XP_024006452.1
OG0000021	As003G071480, As010G232120	XP_024009969.1, XP_024013347.1, XP_024015937.1
OG0000023	As003G061360	XP_006413565.1
OG0000023	As004G084560, As004G084580, As004G084570	XP_006396908.2, XP_006396890.1
OG0000023	As003G061270	XP_024004623.1
OG0000026	As001G006500, As007G166710	XP_024009325.1, XP_024006530.1, XP_024013992.1, XP_024011284.1
OG0000026	As008G188870	XP_024007296.1, XP_024013049.1
OG0000029	As001G005440	XP_024007307.1
OG0000029	As004G091740, As005G109110	XP_024013940.1
OG0000029	As008G192170	XP_024005553.1
OG0000030	As011G260570, As011G260600, As010G228030, As011G258250	XP_024009659.1
OG0000030	As001G013020	XP_024009944.1
OG0000030	As001G013350	XP_024009281.1
OG0000031	As001G032000	XP_006391833.2
OG0000031	As009G202600	XP_006400202.2
OG0000031	As006G134510	XP_024014798.1, XP_024015415.1, XP_006413138.1
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	XP_024010975.1, XP_006413571.1
OG0000033	As003G059410, As003G059430, As003G059400	XP_024005104.1
OG0000033	As003G061210, As003G061160	XP_006413566.2, XP_006413567.2, XP_024004626.1, XP_006413576.1
OG0000035	As005G105710, As005G106260, As012G269410	XP_006406533.1
OG0000036	As010G230940, As008G183620, As012G280180, As011G261090	XP_024009179.1, XP_024009592.1
OG0000036	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900	XP_024012609.1, XP_024009371.1
OG0000036	As008G192160	XP_024016265.1
OG0000038	As007G157540	XP_024011241.1, XP_024014404.1
OG0000043	As002G039460	XP_024013119.1, XP_024013114.1, XP_024010734.1, XP_024014875.1, XP_024013111.1
OG0000043	As011G260020	XP_024010437.1, XP_024007262.1, XP_024009578.1, XP_024013932.1, XP_024010157.1, XP_024006559.1
OG0000043	As001G006710	XP_024006543.1
OG0000043	As009G208780	XP_024010469.1
OG0000043	As010G230440, As005G110900	XP_024013069.1
OG0000044	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110	XP_024015030.1
OG0000047	As006G136700	XP_024010589.1
OG0000048	As006G137090, As006G137040, As006G137120, As006G137000	XP_006408252.2
OG0000048	As006G136970	XP_006408254.2, XP_006408256.1
OG0000048	As006G137110, As006G137010, As006G136980	XP_024014979.1
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	XP_006400347.1, XP_006400352.1, XP_006400344.1, XP_006400348.1, XP_006400345.1
OG0000049	As002G044530	XP_024011200.1
OG0000053	As011G257960, As001G007050, As012G281440, As010G228180, As008G190210, As007G176800, As001G006000, As005G110970, As002G037180, As008G190350, As001G001110, As002G040700, As007G164190, As007G164220, As007G179360, As008G193110	XP_024016529.1, XP_024007942.1, XP_024010231.1, XP_024005865.1
OG0000054	As007G163390, As001G010300	XP_006397270.2
OG0000054	As004G090600	XP_024009310.1, XP_024005013.1
OG0000056	As001G013030, As001G006540, As004G092960, As003G066320	XP_024014312.1, XP_024012933.1
OG0000059	As001G005030	XP_024004071.1
OG0000059	As006G146480	XP_024013223.1
OG0000065	As012G279540, As012G279660, As012G279640, As006G149050, As012G279570, As002G040810, As012G279710, As011G259230, As001G009860, As007G166350, As007G166440, As012G279700, As012G279680, As012G279690, As012G279630, As012G279670, As006G149040, As012G279650, As012G279560	XP_024006661.1
OG0000066	As002G052230	XP_024005720.1, XP_006399597.1, XP_006390289.1, XP_024005718.1
OG0000066	As005G118450	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1
OG0000067	As011G256070, As011G256050	XP_024014925.1
OG0000067	As011G256020	XP_006406656.1
OG0000073	As006G137430	XP_024005671.1, XP_024004579.1, XP_024009767.1
OG0000079	As012G285110	XP_024012746.1, XP_006396702.1, XP_024015302.1, XP_024012843.1, XP_024012921.1, XP_024012973.1, XP_006402736.1
OG0000083	As006G138550	XP_006414117.2, XP_024005332.1, XP_006414114.1, XP_024005467.1, XP_024011615.1, XP_024014641.1, XP_006406083.1, XP_024009012.1, XP_006405511.2
OG0000086	As009G216030, As009G216300, As009G216040	XP_006408761.1, XP_006408760.1, XP_006408781.1, XP_006408766.1, XP_024016075.1, XP_006408779.2, XP_006408769.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408759.1, XP_006408777.1, XP_006408780.1, XP_006408778.1, XP_006408763.1, XP_006408768.1, XP_006408765.1, XP_024015891.1, XP_006408757.1, XP_006408758.1
OG0000087	As010G222260	XP_006394642.1
OG0000087	As006G128780	XP_006410012.1
OG0000087	As010G224130	XP_006404432.1, XP_006404433.1
OG0000087	As002G051000	XP_006399740.1
OG0000087	As012G274980	XP_006410628.1
OG0000087	As004G086530	XP_006403108.1
OG0000087	As003G058850	XP_006413842.1
OG0000087	As010G237710	XP_006390273.1
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	XP_006404361.1, XP_006398111.1, XP_006398110.2, XP_006404364.1, XP_024011698.1, XP_024013782.1
OG0000088	As010G223910	XP_006404412.1
OG0000089	As002G053510	XP_006399464.1
OG0000089	As010G224530, As005G115200	XP_006400969.1, XP_006418890.1
OG0000090	As003G065330	XP_006390250.1
OG0000090	As012G273080	XP_006402629.2, XP_006395735.1
OG0000093	As012G284680, As012G284700, As012G284660	XP_006393541.2, XP_006393537.1, XP_024014492.1, XP_024006522.1, XP_024006521.1
OG0000096	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360	XP_024004738.1
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	XP_006417793.2
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	XP_024016652.1, XP_006417248.1, XP_024008234.1, XP_024009431.1
OG0000104	As006G129210	XP_024003754.1
OG0000104	As012G271240, As012G271230	XP_024006009.1
OG0000104	As012G271190, As012G271200	XP_006392988.1, XP_024006272.1, XP_006392987.1
OG0000104	As006G129190	XP_024003673.1, XP_024003751.1, XP_006409933.2
OG0000106	As002G041170, As002G041390, As002G041440	XP_024014982.1, XP_006408882.1
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220	XP_024015177.1
OG0000107	As011G252340	XP_006406420.1
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	XP_006394690.1, XP_006404383.1, XP_006414046.1, XP_006403292.2, XP_024009712.1, XP_006395726.1
OG0000111	As002G048150	XP_024010064.1
OG0000114	As006G137050, As006G137080	XP_024006571.1, XP_006399626.1, XP_024004563.1, XP_024004566.1, XP_024011055.1
OG0000123	As008G183790, As008G183770	XP_006399078.1
OG0000123	As008G183760	XP_006399077.1
OG0000123	As008G183750	XP_006413192.2
OG0000123	As008G183720	XP_006417123.1
OG0000125	As006G146230	XP_006403666.1
OG0000125	As012G277440	XP_006410934.1
OG0000125	As005G113770	XP_006400797.1
OG0000125	As005G114700, As010G224880	XP_006400898.1
OG0000125	As006G129500	XP_006409905.1
OG0000130	As010G226930	XP_024009756.1
OG0000130	As002G040800	XP_024009728.1
OG0000130	As008G191120	XP_024007466.1
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	XP_024007305.1, XP_024009779.1
OG0000135	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440	XP_024006572.1
OG0000136	As001G028730	XP_006391405.1, XP_006390991.1
OG0000136	As005G116580, As005G116570	XP_006405815.1, XP_024014475.1
OG0000138	As001G027950, As001G027940, As007G161530	XP_006390880.1, XP_006395267.1
OG0000139	As006G149220, As004G090290	XP_024009753.1, XP_024007232.1
OG0000140	As005G115230	XP_006400988.1
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	XP_024011857.1, XP_024011989.1, XP_024011966.1, XP_024012425.1, XP_024012145.1, XP_006400992.1
OG0000146	As002G047180	XP_006401465.2, XP_006395415.1
OG0000146	As002G047190	XP_006401462.1, XP_006401463.2
OG0000147	As011G265720	XP_006409094.1
OG0000147	As001G002190	XP_024005341.1
OG0000147	As002G049060	XP_024012572.1
OG0000147	As010G243490	XP_006389820.1
OG0000147	As010G227330	XP_006419170.1
OG0000147	As011G259420	XP_006396088.1
OG0000149	As010G224590	XP_024009527.1
OG0000149	As010G224610	XP_024011597.1, XP_024011821.1, XP_006400931.1, XP_024011593.1, XP_024009365.1
OG0000150	As010G225180, As010G225220, As010G225210	XP_006419033.2
OG0000151	As007G166070	XP_024005195.1
OG0000151	As006G141980	XP_006407751.1
OG0000151	As011G263600	XP_006409398.1
OG0000151	As002G047900	XP_006401372.1
OG0000151	As001G030700	XP_006391653.1, XP_006405318.1
OG0000154	As007G152520	XP_006416851.1
OG0000154	As009G210670	XP_006407319.1
OG0000154	As002G034300	XP_006407676.1
OG0000154	As005G107550	XP_006398709.1
OG0000155	As003G059350	XP_006413094.1, XP_024009917.1, XP_006391517.1, XP_024007950.1, XP_006391515.2, XP_024005112.1
OG0000156	As012G287040, As012G287050	XP_024012911.1
OG0000156	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580	XP_006410182.1
OG0000161	As001G013550, As001G029600, As001G029610	XP_024007354.1, XP_006394457.2, XP_024006771.1, XP_024011911.1
OG0000162	As012G286440	XP_006395656.2
OG0000162	As005G102210	XP_024004704.1, XP_024010855.1
OG0000166	As010G228020	XP_024014255.1
OG0000166	As004G081580, As001G006820, As003G064800, As010G230400, As010G226530, As002G041150, As009G205490, As001G005350, As008G194830, As002G036330, As008G185730, As010G227240, As009G213530, As001G028210, As006G147470, As012G278710, As009G209860, As012G278700, As009G212490	XP_024010327.1
OG0000166	As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080	XP_024013972.1
OG0000167	As003G057890	XP_006401739.1, XP_006413956.2
OG0000171	As001G020870	XP_006417443.1
OG0000171	As009G200410	XP_024012404.1
OG0000175	As010G220360	XP_006409243.1
OG0000175	As007G156270	XP_006416436.1
OG0000175	As011G263590	XP_006412162.1
OG0000184	As004G089570	XP_024013227.1, XP_024014585.1, XP_024007751.1, XP_024004883.1, XP_024013177.1, XP_024005307.1, XP_024009490.1, XP_024014410.1
OG0000187	As001G003940	XP_024004605.1
OG0000187	As001G003960	XP_024004600.1
OG0000190	As004G085680	XP_006396688.1, XP_006396683.2, XP_024010195.1, XP_024009811.1, XP_024010194.1, XP_006396684.1
OG0000195	As001G028840	XP_006405835.1, XP_006391396.1
OG0000203	As006G136770	XP_006403294.1, XP_006413270.2
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	XP_006406140.1
OG0000207	As003G061070	XP_024009484.1, XP_024011254.1, XP_024007691.1, XP_024009108.1
OG0000208	As003G075200, As003G075180, As003G075210, As003G060140	XP_006404465.1
OG0000208	As003G075160	XP_006405739.1, XP_006405740.1
OG0000213	As002G038840	XP_024014309.1, XP_024013862.1
OG0000215	As011G258310	XP_024016358.1
OG0000217	As001G019850	XP_024004887.1, XP_006392295.2
OG0000218	As001G022650	XP_006413529.1, XP_006395887.1, XP_006395885.1, XP_006395886.1
OG0000219	As001G028510, As001G028520, As001G028500, As001G028480	XP_006391444.1
OG0000219	As003G064990	XP_006394298.1
OG0000220	As010G225590, As010G227890	XP_024003647.1, XP_024003658.1
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	XP_006390080.1
OG0000224	As001G031540	XP_006412567.1, XP_024015991.1
OG0000225	As003G069680, As003G070050	XP_006415575.2, XP_006415569.1
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	XP_006390832.1, XP_024007098.1
OG0000231	As004G077900	XP_006402171.2, XP_006405728.2
OG0000231	As001G028220	XP_006391509.1
OG0000232	As002G036540, As006G139020	XP_024009766.1, XP_024014081.1, XP_006404797.1, XP_024014076.1, XP_024009764.1, XP_006404843.1, XP_024014358.1, XP_006404844.1
OG0000234	As012G281460	XP_006403492.1
OG0000234	As006G143800	XP_006403493.1, XP_006411161.1
OG0000234	As009G210340	XP_006399852.1
OG0000237	As010G229740	XP_024011339.1
OG0000237	As011G257810	XP_024015085.1, XP_024016305.1
OG0000242	As008G183340, As008G183330	XP_006409559.1, XP_006417058.1, XP_006417059.2, XP_006417060.1, XP_024008283.1, XP_024008759.1, XP_006417061.1
OG0000244	As003G059930	XP_006413726.1
OG0000244	As004G085820	XP_006396665.1
OG0000244	As004G085870	XP_006396664.1
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	XP_006413727.1
OG0000244	As004G085860, As004G085850	XP_024010083.1
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	XP_024016821.1
OG0000249	As006G145310	XP_006410850.1
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	XP_006410852.1
OG0000256	As006G142420	XP_006393540.1
OG0000258	As002G048970	XP_006401223.1
OG0000268	As001G023230	XP_006395818.1
OG0000268	As001G023220, As001G023200	XP_024016059.1
OG0000268	As005G106920	XP_006398647.1
OG0000268	As012G278370	XP_006403613.1
OG0000271	As004G086280	XP_006393349.1
OG0000272	As003G064910	XP_024006427.1
OG0000272	As006G146450	XP_024007995.1
OG0000273	As012G273480	XP_006393515.2, XP_006392846.1
OG0000274	As005G114920	XP_006400925.1
OG0000274	As010G224670, As010G224890	XP_006418933.1, XP_006418941.1
OG0000274	As006G128840, As006G128830	XP_024003799.1
OG0000276	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920	XP_024004976.1
OG0000276	As011G256110	XP_006414647.1
OG0000277	As004G096720	XP_006414471.1, XP_024005335.1
OG0000279	As001G004840, As010G237280	XP_024009984.1
OG0000282	As002G055220	XP_006399237.1, XP_006399238.1
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	XP_024013277.1, XP_006403248.1, XP_006403249.1, XP_006403251.1, XP_006403252.1, XP_006403255.1
OG0000284	As006G139300	XP_006394900.1
OG0000284	As006G139290	XP_006391378.1, XP_006391379.1, XP_006391380.1, XP_006396188.1, XP_006391455.1, XP_006419174.1, XP_006391456.1, XP_024009775.1, XP_006391433.1, XP_024009395.1, XP_006418995.1, XP_006391312.1, XP_024015704.1, XP_006392079.1, XP_006392157.1
OG0000291	As008G188960	XP_024006122.1, XP_024009591.1, XP_024011281.1, XP_024004953.1, XP_024006584.1, XP_006414722.2, XP_024009389.1
OG0000294	As011G249490	XP_006406736.1
OG0000294	As006G145420	XP_006410860.1
OG0000294	As005G099900	XP_006397900.1
OG0000294	As006G122700	XP_006396376.1
OG0000294	As008G198060	XP_006418333.1
OG0000295	As011G246810	XP_006407057.2
OG0000297	As008G198730	XP_006411985.1, XP_006405949.1, XP_006409893.2
OG0000297	As005G114280	XP_024013316.1, XP_024013315.1, XP_006400849.1, XP_006406472.1
OG0000299	As010G241870, As010G241880	XP_024013752.1
OG0000299	As010G241860, As009G207860	XP_006395553.1
OG0000300	As008G194750	XP_024009522.1
OG0000303	As003G069740	XP_024005320.1, XP_024014626.1
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	XP_024012512.1, XP_024012532.1, XP_006400936.1
OG0000311	As009G202530	XP_006400196.1
OG0000311	As012G273730	XP_006393403.1
OG0000311	As011G249880	XP_006406687.1
OG0000311	As004G077290	XP_006405853.1
OG0000311	As001G029000	XP_006391364.1
OG0000313	As003G058420	XP_024005371.1
OG0000313	As007G163450, As007G163440, As003G064930	XP_024010224.1
OG0000314	As008G195840	XP_006418097.1
OG0000314	As006G125760	XP_024003717.1, XP_024008616.1
OG0000315	As006G137990, As006G137760	XP_024010215.1
OG0000316	As008G187440, As008G187910	XP_006396845.1, XP_006396574.1
OG0000319	As006G129730, As005G114310, As008G191530	XP_006417745.1, XP_006417749.1, XP_006400853.1, XP_006417751.1
OG0000321	As001G010170	XP_006410508.1, XP_024004898.1, XP_006408609.2, XP_006405851.1, XP_006405893.1, XP_024004897.1
OG0000322	As009G214030	XP_006389987.1
OG0000322	As001G014750	XP_024008917.1
OG0000322	As007G153590	XP_006413912.1, XP_006411287.1
OG0000323	As002G045490	XP_024012357.1
OG0000323	As005G112480	XP_006413047.1
OG0000328	As001G029880	XP_006414672.1
OG0000328	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070	XP_006405675.1, XP_006405676.1, XP_006405677.2, XP_006405680.1, XP_006405679.2, XP_006405678.2, XP_006405681.2
OG0000329	As007G180560	XP_024006006.1, XP_024014229.1, XP_024014235.1, XP_006404678.1, XP_006402565.2
OG0000332	As002G033230	XP_006400538.1, XP_006400540.1
OG0000332	As011G251780, As012G272450	XP_006406473.1, XP_006393188.1
OG0000334	As012G277630	XP_006403652.1
OG0000334	As006G146780	XP_006410963.1, XP_006396450.1
OG0000338	As008G188190, As008G188080, As001G019490, As001G019290	XP_006392360.1, XP_006392391.1
OG0000339	As003G061400	XP_006413559.1
OG0000339	As005G101130, As012G287430	XP_006397781.1
OG0000340	As005G103820	XP_024010704.1, XP_006397521.2
OG0000348	As002G040050	XP_024007235.1
OG0000350	As003G070220, As003G070200	XP_024008636.1
OG0000351	As011G246700, As011G246690	XP_024012331.1
OG0000351	As011G246600	XP_006394502.2
OG0000352	As007G153380	XP_006398470.1
OG0000358	As006G124930, As008G196330	XP_006418147.1, XP_006399431.1
OG0000358	As008G196390	XP_024013255.1, XP_006399430.1, XP_006399428.2
OG0000360	As005G119730	XP_006406006.1, XP_024006781.1, XP_024007632.1, XP_024007630.1
OG0000362	As009G205230	XP_024010631.1
OG0000368	As003G073560, As003G073580	XP_006411900.1, XP_006411901.1, XP_006393642.1
OG0000368	As003G073600, As003G073590	XP_024004487.1, XP_006411898.1
OG0000370	As007G153440	XP_006416751.1, XP_006413319.1
OG0000371	As005G099710, As005G099720	XP_006397915.1, XP_024015422.1, XP_024004900.1, XP_006397916.1
OG0000374	As012G273470, As012G273550	XP_024006233.1, XP_006393112.2
OG0000377	As001G021080	XP_006392125.1
OG0000382	As006G122900	XP_006402369.1, XP_006396407.1, XP_006418323.1
OG0000382	As008G188710	XP_006417597.1
OG0000383	As003G069230	XP_024008673.1
OG0000383	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380	XP_024008361.1
OG0000384	As011G247740	XP_006392866.1
OG0000386	As001G025230, As001G025220, As011G256850	XP_006395576.1, XP_006395577.1
OG0000386	As012G276900, As012G276880	XP_006403706.1, XP_024013545.1
OG0000390	As011G251840	XP_006406481.1, XP_006406482.1, XP_024016650.1
OG0000392	As010G221170	XP_006404045.1
OG0000392	As010G221200, As010G221190, As010G221180	XP_006405800.2
OG0000396	As001G026970	XP_024005952.1, XP_006395369.1
OG0000396	As001G026990, As001G027000, As001G027010	XP_024007562.1
OG0000397	As003G066740	XP_024004818.1, XP_024007253.1, XP_024016329.1
OG0000402	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350	XP_024014254.1
OG0000402	As012G280420, As002G041500, As005G111440, As003G064340, As009G208200, As006G147590, As012G277690, As002G040180, As005G110940, As001G013700, As002G040780, As003G065620	XP_024014284.1
OG0000403	As001G020780, As001G020790	XP_006392175.1
OG0000404	As012G276100, As006G144680, As002G037330	XP_006403789.1, XP_006410788.1, XP_006407441.1, XP_006399080.1
OG0000406	As006G136090	XP_006400239.1, XP_006402646.2, XP_006408345.1
OG0000407	As009G201130, As009G201860	XP_024010155.1, XP_006400088.2, XP_024012273.1
OG0000410	As001G021670, As001G021680	XP_006391998.1
OG0000411	As001G022090	XP_006391930.1
OG0000411	As004G085710	XP_006396679.1
OG0000411	As003G060010	XP_006413700.1
OG0000412	As002G046400	XP_006401550.1
OG0000412	As006G132500	XP_006413100.1
OG0000412	As012G271680	XP_006393086.1
OG0000413	As011G245460	XP_024015449.1
OG0000413	As002G048240	XP_006413205.2, XP_024012323.1
OG0000414	As003G058750, As003G058770, As003G058760	XP_006415920.1, XP_006415921.1, XP_006413854.1, XP_006413856.1, XP_006411088.1, XP_006413857.1
OG0000415	As005G104640	XP_006399726.2, XP_006401986.1, XP_024010536.1, XP_024006594.1, XP_006404926.1, XP_006414753.1, XP_006393688.1, XP_006393690.1, XP_024006365.1
OG0000416	As006G127220, As008G194210	XP_024008095.1
OG0000417	As007G163710, As008G186410	XP_024013818.1, XP_024009974.1
OG0000421	As004G078160, As004G078150	XP_024014651.1, XP_006405658.1, XP_006405663.1, XP_006414433.1
OG0000422	As008G188280, As008G188290, As008G188300	XP_006417567.1, XP_006391084.1, XP_006417568.1
OG0000423	As010G241040	XP_006390626.1
OG0000423	As012G269020	XP_006392695.1
OG0000429	As009G215310	XP_006394790.1
OG0000429	As002G052030	XP_006399622.1
OG0000429	As001G004910	XP_006412480.1, XP_006405188.1
OG0000430	As011G263500	XP_006409418.1
OG0000430	As001G014590	XP_024005120.1
OG0000430	As007G181940	XP_006404551.1
OG0000431	As001G019780	XP_006392303.1
OG0000431	As008G187750	XP_006417504.1, XP_006417505.1
OG0000432	As002G044400	XP_006401798.1
OG0000432	As006G134280	XP_006413591.1, XP_006413166.1
OG0000432	As002G047750	XP_006401391.1
OG0000433	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400	XP_006392374.1, XP_006392376.1
OG0000435	As001G004050, As006G138290, As011G260090, As011G260040	XP_006404136.1, XP_006416568.1
OG0000436	As011G266430, As002G048360	XP_006413212.1, XP_006401294.1, XP_006412845.1, XP_006408890.2
OG0000437	As003G062850	XP_006415076.2
OG0000438	As004G085300	XP_006396746.1
OG0000439	As008G194170	XP_006417964.2
OG0000439	As012G285510	XP_006402684.1
OG0000439	As006G127290	XP_006410273.1
OG0000440	As006G136440	XP_006418718.1, XP_006398844.1, XP_006408308.2
OG0000441	As011G248660	XP_006406833.1
OG0000441	As011G248650	XP_024014827.1
OG0000446	As009G219000	XP_006394381.1
OG0000446	As001G023650	XP_006395760.1
OG0000446	As008G183010	XP_006417014.1
OG0000447	As011G247170	XP_024015143.1
OG0000447	As004G081330	XP_006410540.1
OG0000447	As003G069220	XP_006415639.1
OG0000448	As004G089550	XP_006398391.1, XP_006398388.1, XP_006398389.1
