Orthogroup	Aethionema_saxatile	Cochlearia_excelsa
OG0000027	As003G071460	g22601
OG0000029	As001G005440	g29817
OG0000029	As004G091740, As005G109110	g4927, g46312, g4324, g3304, g41853, g35534, g53490, g11876, g35797, g48266, g6083, g35531, g12208, g41968
OG0000029	As009G211080	g31822, g37851
OG0000029	As004G091750, As003G064310	g95
OG0000029	As008G192170	g1672
OG0000030	As011G260570, As011G260600, As010G228030, As011G258250	g6306, g40103, g6175, g48553, g8527, g41465, g35926
OG0000030	As001G013020	g6307, g53556
OG0000031	As001G032000	g40889
OG0000031	As009G202600	g5030
OG0000031	As006G134510	g13269, g17118
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	g23911
OG0000033	As003G059410, As003G059430, As003G059400	g50699, g24014
OG0000033	As003G061210, As003G061160	g23905, g23912
OG0000033	As004G086230	g40468
OG0000034	As011G258840	g15120
OG0000036	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900	g23185, g33000
OG0000037	As009G206430	g1250, g13609
OG0000043	As010G232350	g36350
OG0000043	As011G260020	g48023, g20877, g16667, g2616
OG0000043	As001G006710	g12079, g11527, g13738, g8754, g48037, g48014, g42036
OG0000043	As010G230440, As005G110900	g53889, g53885, g42037
OG0000044	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110	g36166, g25959
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	g4946, g4940, g29028, g29029, g4944, g4945
OG0000049	As007G177650, As001G000050	g46801
OG0000049	As002G044530	g22934, g376, g47861, g44112, g6602, g36505, g12095, g19466, g919, g7174, g3137, g27324, g24163, g1087, g46399, g46729, g50524, g28511, g54100, g47181, g829, g46775, g28413, g14428, g45388, g13757, g29231, g6871, g32168, g24458, g6376, g43896, g4749, g12068, g44857, g3861, g36846, g23483, g47037, g18721, g11656, g27986, g5166, g50226, g12226, g46640, g41551, g45877, g11828, g49352, g32343
OG0000054	As007G163400	g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130
OG0000059	As001G005030	g6571
OG0000059	As006G146480	g43343
OG0000065	As012G279710, As011G259230, As001G009860, As007G166350, As007G166440, As012G279700, As012G279680, As012G279690, As012G279630, As012G279670, As006G149040, As012G279650, As012G279560	g43174, g26242, g26207
OG0000066	As010G237910, As002G052230, As003G074640, As003G074650	g5393
OG0000066	As002G052910	g45536, g49660, g31166, g45535, g29501, g9719, g5416
OG0000066	As005G118450	g156
OG0000067	As011G256020	g25385, g25390, g25381, g27956, g9895, g5011
OG0000070	As011G259870	g33102, g43981, g14572
OG0000070	As004G090970, As006G149230, As011G259300	g15856, g15924, g26036
OG0000070	As010G229730	g3657
OG0000070	As004G090980, As011G257970	g26415
OG0000078	As004G095030	g46791, g24881
OG0000079	As012G285110	g2000, g18915
OG0000082	As012G278670	g54167, g10536, g16647
OG0000082	As011G260840	g17872, g19303
OG0000083	As006G138550	g46885, g12860, g7705
OG0000085	As001G000080	g50685, g15804
OG0000087	As010G222260	g9991
OG0000087	As002G051000	g5316
OG0000087	As004G086530	g40485, g11055
OG0000087	As003G058850	g17371, g24042
OG0000087	As010G237710	g46232
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	g11453, g19510, g40516, g11030, g46886
OG0000089	As002G053510	g5448, g29544
OG0000089	As011G250900	g13323, g11989
OG0000090	As003G065330	g46242, g44417
OG0000090	As012G273080	g10675
OG0000093	As012G284680, As012G284700, As012G284660	g2360
OG0000096	As002G036580, As001G019400, As001G019410, As001G019450	g1538, g1535
OG0000096	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360	g18473
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	g45186, g45201
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	g49817
OG0000102	As010G228120	g2701, g43502, g42120, g25862
OG0000102	As002G042100	g36431, g4524, g53004, g12636, g24835, g4478, g40702, g34414
OG0000104	As012G271240, As012G271230	g54236
OG0000104	As012G271190, As012G271200	g18497, g54244, g54237, g54238
OG0000104	As006G129190	g37858, g51117, g51119
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220	g6757
OG0000107	As011G252340	g13346, g17783, g17676, g17802, g13363, g6693
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	g11756, g41770, g25316, g5925, g50857, g50863, g5924
OG0000114	As006G137050, As006G137080	g17433, g4924, g18420
OG0000117	As002G041560	g4175, g24845
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	g14347, g14348, g14394, g45220, g45247
OG0000123	As008G183750	g17137
OG0000123	As008G183720	g25909, g25905, g25906, g25904, g25912
OG0000125	As005G113770	g41348
OG0000125	As005G114700, As010G224880, As010G224830	g2919, g1294, g28781
OG0000125	As006G129500	g39998
OG0000127	As008G186430, As008G186390, As008G185640	g49766
OG0000130	As005G110830	g34628
OG0000130	As002G040800	g26208, g43583
OG0000133	As004G090110	g19947
OG0000133	As010G227760, As002G038290	g43640, g35382, g42719
OG0000133	As007G165020	g43495
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132, g35623, g52434
OG0000136	As005G116580, As005G116570	g43995, g46769, g46768, g46770
OG0000138	As004G077560, As004G078140	g47540, g51162
OG0000138	As004G084820, As010G224060	g46708
OG0000138	As001G027950, As001G027940, As007G161530	g10340
OG0000139	As001G010560	g15900, g14666, g15914
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	g1248, g28714, g1225, g1252, g28702, g28701
OG0000143	As007G177750	g43612, g53735, g1831
OG0000145	As004G091580	g27099, g45420, g46953
OG0000145	As004G089820	g1501
OG0000145	As003G069750	g45298
OG0000147	As011G265720	g5985, g13932
OG0000147	As001G002190	g23426
OG0000147	As002G049060	g1105
OG0000147	As010G243490	g46563
OG0000147	As010G227330	g11547
OG0000147	As011G259420	g17885, g6339
OG0000149	As010G224590	g2887
OG0000149	As010G224610	g1676, g28755, g28754, g1282, g54232, g17375, g1278, g2888
OG0000150	As010G225180, As010G225220, As010G225210	g11441, g11440
OG0000151	As007G166070	g17072
OG0000151	As006G141980	g7540
OG0000151	As011G263600	g14078
OG0000151	As002G047900	g28546
OG0000154	As007G152520	g27332
OG0000154	As009G210670	g12277
OG0000154	As002G034300	g7492
OG0000154	As005G107550	g54073, g45315, g5784
OG0000155	As003G059350	g23645, g17338, g42046, g47372, g45159
OG0000161	As001G013550, As001G029600, As001G029610	g392, g9880, g24551, g24552, g24222, g24219, g45103, g45101
OG0000162	As012G286440	g1914
OG0000164	As011G264140, As011G262780	g23474
OG0000165	As011G245360	g11180, g53396, g31934, g52929, g53395, g43054, g10670, g12347
OG0000165	As001G011340, As001G010810, As001G010990, As012G282150	g43341, g44494, g3418, g37113, g36035, g37408, g41606, g13909
OG0000166	As010G228020	g32988, g18507, g12785, g438, g473, g49225, g30202, g30203, g20814
OG0000167	As003G057890	g17407, g24121
OG0000168	As008G194570	g43389
OG0000168	As010G230090	g43053, g25582, g6463
OG0000171	As007G159620, As001G020870	g5177
OG0000171	As004G097180	g50297, g32098, g27548
OG0000171	As003G073770	g44698
OG0000171	As009G200410	g29297
OG0000178	As001G013240	g54041, g13306, g2114, g43527, g43534, g43530, g38190
OG0000184	As004G089570	g35558, g35553, g3065, g43650, g15959, g53597, g36626, g53120, g22863, g17905, g44091, g17915, g2401, g5948, g51641, g10990, g27914, g52236, g53121, g53878, g53859, g35463, g48936, g32701, g50735, g44198, g25628, g25240, g11530, g35054, g44991
OG0000187	As001G003940	g35037
OG0000190	As004G085680	g40442, g45169, g45158, g45173
OG0000192	As007G157190	g50732, g27488
OG0000195	As005G112850	g28899, g761
OG0000195	As001G028840	g18117
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	g11805
OG0000206	As003G068620	g27139, g38106, g44429
OG0000206	As001G006580	g37022
OG0000207	As003G061070	g4045, g4046
OG0000208	As003G075200, As003G075180, As003G075210, As003G060140	g19610
OG0000208	As003G075160	g1632
OG0000213	As002G038840	g28220, g50932, g50935, g50928, g50931, g38464
OG0000215	As011G258310	g16651, g46380, g31873, g44183, g31839
OG0000217	As001G019850	g31539, g1718, g44052
OG0000218	As001G022650	g31564, g49926, g25893, g10793
OG0000219	As001G028500, As001G028480	g13335, g45479, g28368
OG0000219	As003G064990	g311
OG0000221	As002G040520	g52806
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	g46370
OG0000224	As001G031540	g40852
OG0000225	As003G069680, As003G070050	g27682
OG0000228	As007G159250	g32057
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	g44676, g44668, g44669, g44677
OG0000231	As004G077900	g46733
OG0000231	As001G028220	g18039
OG0000233	As005G111800	g53703
OG0000233	As005G111810	g53710
OG0000234	As012G281460	g19128
OG0000234	As006G143800	g2235, g51765
OG0000234	As009G210340	g29346
OG0000237	As010G229740	g33179, g33208
OG0000237	As008G190240, As008G190220, As008G190230, As003G067900, As006G149240	g26037
OG0000237	As011G257810	g52606, g16443
OG0000238	As008G190870	g48923, g31881
OG0000242	As008G183340, As008G183330	g14258, g14272, g6162, g31494, g27257, g49902, g31496, g31497, g31498, g31499
OG0000244	As003G059930, As004G085820, As004G085870, As003G059920, As003G059880, As003G059910, As003G059890, As003G059900, As004G085860, As004G085850	g17320
OG0000246	As012G280010	g6324
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	g41086, g41090, g41083
OG0000249	As012G276740	g43114
OG0000249	As006G145310	g51603
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	g37185, g43113, g43105, g51605
OG0000253	As003G066460	g15865, g14571, g24991, g33178
OG0000256	As006G142420	g50554
OG0000256	As006G142430	g50556
OG0000257	As002G035710, As012G268510	g22762, g48005
OG0000258	As002G048970	g39309
OG0000264	As004G086270, As010G229170	g25493
OG0000268	As001G023230	g1514
OG0000268	As005G106920	g45297
OG0000268	As012G278370	g19165
OG0000270	As003G075960	g23060, g18216, g18323
OG0000271	As004G086280	g25541
OG0000272	As003G064910	g6807
OG0000272	As006G146450	g54012, g11179
OG0000274	As005G114920	g28758
OG0000274	As006G128840, As006G128830	g39974
OG0000276	As011G256110	g17712, g53651
OG0000276	As007G163350, As007G163430	g17631
OG0000277	As004G096710	g47115
OG0000277	As004G096720	g47117
OG0000279	As001G004840, As010G237280	g53522
OG0000279	As007G165600	g53521
OG0000279	As007G178830	g52217, g11045, g757, g47019, g545, g29414, g50555, g22903, g26848, g30825, g17765, g50710
OG0000280	As004G093300	g35653, g17706, g14479, g49085
OG0000280	As002G035770	g6911, g3091, g34941, g53473, g49339, g12351, g14062, g11985
OG0000282	As002G055220	g45483
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	g11114, g11113, g39732
OG0000284	As006G139300	g10112
OG0000284	As006G139290	g12521
OG0000291	As008G188960	g34805, g52646, g35477, g52325, g16568, g3759, g25120, g34564, g54048, g7965, g35842, g42625, g43848, g39202, g11597, g52455, g53119, g43960, g15668, g42588, g45080, g15851, g48989, g21527, g25305, g52933, g22068, g42482, g3695, g21935, g49081, g35278, g6425, g43604, g16043, g43632, g43447, g15497, g42794, g22549, g43019, g33226, g42496, g49090, g34886, g25980, g20769, g22618, g34538, g8938, g48008, g43302, g26502, g30154, g48997, g8012, g33661, g9169, g26368, g25961, g48062, g33098, g43399, g42918, g16754, g44245
OG0000294	As011G249490	g6947
OG0000294	As006G122700	g39522, g25429
OG0000294	As008G198060	g26892
OG0000295	As011G246810	g12173, g12193, g12167, g12172
OG0000297	As005G114280	g41326
OG0000299	As010G241870, As010G241880	g53411, g29745
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	g6206, g50959, g27806
OG0000299	As010G241860, As009G207860	g29744, g53412
OG0000300	As008G194750	g13574, g6349
OG0000303	As003G069740	g14940, g20406, g21339, g26299
OG0000307	As010G227530	g21465, g35885, g35379, g15458
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	g44591
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	g19547, g28753
OG0000311	As009G202530	g45737
OG0000311	As012G273730	g36325
OG0000311	As011G249880	g6918, g13293
OG0000311	As004G077290	g46788
OG0000311	As001G029000	g45009
OG0000312	As002G039610	g11348, g13763, g25651, g13342, g5819, g24623, g26314, g5671, g53558, g42177, g3059, g53788, g6280, g11346, g26744, g3332, g4910, g27925, g10009, g53557, g13693, g36821, g40534, g641, g43795, g43779, g1912, g52173, g18350, g4001, g3947, g42789, g46412, g19088, g12441, g11349, g5820, g46271, g13762, g25589, g1910, g24624, g17498, g39373, g16274, g53559, g43778, g42139, g25650, g40665, g640, g18533, g16422, g27342, g28654, g3060, g32480, g40533, g18532, g1911, g25641, g13692, g36424, g10008, g16770, g5672, g27926, g26743, g39996, g13341, g19089, g12440, g46445, g22876, g10749, g27038, g53377, g35855, g10616, g10691, g16713, g27037, g27216, g46411, g44013, g3944, g35900, g7197, g23887, g24954, g24755, g17641, g46410, g41520, g42751, g16209, g47924, g39870, g12807, g10854, g23886, g41519, g23232, g27041, g49023, g6474, g1096, g17860, g23869, g47922, g46907, g14374, g51767, g36589, g17158, g17876, g6303, g25718, g51864, g17580, g36426, g5673, g27343, g26782, g16777, g42750, g25027, g44222, g39654, g18519, g38119, g6343, g24708, g53450, g17211, g35898
OG0000313	As003G058420	g24067
OG0000313	As007G163450, As007G163440	g17626
OG0000314	As008G195840	g26947, g49462
OG0000314	As006G125760	g51309, g30904
OG0000315	As006G137990, As006G137760	g16098
OG0000316	As008G187440, As008G187910	g37360, g37362, g37913, g17870
OG0000319	As006G129730, As005G114310, As008G191530	g28817, g849, g41323, g31094, g49601, g27017
OG0000321	As001G010170	g32189, g14307, g38273, g38276, g46827, g46812, g46809
OG0000322	As009G214030	g46450
OG0000322	As001G014750	g32324
OG0000322	As007G153590	g50458, g51878, g53520
OG0000328	As001G029880	g24521, g24516, g24520
OG0000328	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070	g53328, g37787, g37784, g53311, g53348, g53326, g53330, g46723
OG0000332	As002G033230	g28972, g41419, g666
OG0000332	As011G251780, As012G272450	g54159
OG0000334	As012G277630	g2329
OG0000334	As006G146780	g37230, g16596, g44023
OG0000338	As008G188190, As008G188080, As001G019490, As001G019290	g31209, g27091, g31190, g27095
OG0000339	As005G101130, As012G287430	g52289
OG0000340	As005G103820	g38215
OG0000347	As002G037650	g36126
OG0000348	As002G040050	g18434, g24671, g43329, g4284, g43830, g53724
OG0000350	As003G070220, As003G070200	g32411
OG0000351	As011G246600	g45239
OG0000351	As009G207810, As011G246650	g45238
OG0000352	As007G153380	g31677
OG0000358	As006G124930, As008G196330	g49447, g30863, g26927
OG0000358	As008G196390	g29557, g39719, g45514
OG0000360	As005G119730	g9657, g9656, g9658
OG0000362	As009G205230	g43847
OG0000362	As007G152630	g27336
OG0000368	As003G073560, As003G073580	g22842, g16342
OG0000368	As003G073600, As003G073590	g47982, g47983
OG0000370	As007G153440	g23768, g47536
OG0000371	As005G099710, As005G099720	g7650, g11474, g36060, g3821
OG0000374	As012G273470, As012G273550	g36851, g36855, g36853, g36852, g36854, g54187
OG0000378	As003G067400	g35564, g48279, g42661, g26000, g26728, g3460, g53194, g14340, g35740, g25090, g26814, g49158, g24703, g25124, g34269, g53637, g42660, g42669, g24668, g35251, g4719, g26729, g25031, g48278, g22260, g42670, g42662, g24704, g25123, g34270, g11473, g26727, g19614, g22259, g4718, g35252, g25030, g24614, g4053
OG0000382	As006G122900	g25452, g39537, g49381
OG0000382	As008G188710	g31165
OG0000383	As003G069230	g32362, g32361, g27666
OG0000383	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380	g50490
OG0000386	As001G025230, As001G025220, As011G256850	g10579
OG0000389	As001G003830	g1975
OG0000390	As011G251840	g6787, g13288
OG0000392	As010G221170	g2587
OG0000392	As010G221200, As010G221190, As010G221180	g11310, g11364
OG0000396	As001G026970	g10425
OG0000396	As001G026990, As001G027000, As001G027010	g4323
OG0000397	As003G066740	g20590, g34124, g21030, g9234, g19833, g34190, g21321, g33688, g50770, g21973, g9391, g19874, g39138, g20712, g30574, g26401, g38577, g42624, g20281, g30127, g42694, g26524, g10758, g20952, g22037, g25154, g34098, g38601, g39198, g42403, g34049, g20710, g34058, g33922, g34076, g37456, g5164, g34189, g38912, g8298, g49265, g33592, g8006, g52667, g2229, g47146, g9390, g20268, g16006, g21974, g8836, g20779, g8409, g8534, g30564, g5163, g42428, g21936, g20641, g38849, g20778, g20547, g8327, g38740, g22060, g21946, g9188, g34016, g8291, g34026, g34151, g34055, g22122, g20764, g34089, g20744, g20624, g49007, g20736, g30077, g21031, g39207, g21728, g33972, g21886, g33869, g21932, g22071, g38882, g34075, g37455, g27384, g34048
OG0000398	As012G268810	g27985, g54333
OG0000402	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350	g478, g43406, g12782, g14418
OG0000402	As010G227030, As011G257290	g477
OG0000403	As001G020780, As001G020790	g44123
OG0000404	As012G276100	g51571
OG0000405	As002G037720	g46887, g32218, g47022, g36151, g40695, g39186, g52351, g46888
OG0000405	As004G089460	g13499
OG0000405	As004G093310, As004G097610	g7156, g4021
OG0000406	As006G136090	g5012, g5008, g12661
OG0000409	As001G002920	g23783
OG0000410	As001G021670, As001G021680	g1733, g24568, g44176
OG0000411	As011G261620	g13575
OG0000411	As003G060010	g23976, g17311
OG0000412	As002G046400	g28489
OG0000412	As006G132500	g47623
OG0000412	As012G271680	g36484
OG0000413	As002G048240	g12238
OG0000414	As003G058750, As003G058770, As003G058760	g27592, g50367, g24049, g47348
OG0000415	As005G104640	g4813, g4802
OG0000416	As006G125710	g37911
OG0000416	As006G127220, As008G194210	g49506, g50636
OG0000417	As007G163710, As008G186410	g6467
OG0000420	As010G222670	g23784
OG0000420	As001G015280	g13846
OG0000421	As004G078160, As004G078150	g46706, g53730, g46707
OG0000422	As008G188280, As008G188290, As008G188300	g49629, g49628, g27082, g27081
OG0000423	As010G241040	g12212
OG0000423	As012G269020, As011G245910	g27989, g54339
OG0000429	As009G215310	g598
OG0000429	As002G052030	g45564, g29450
OG0000429	As001G004910	g23276, g47815
OG0000430	As011G263500	g6127
OG0000431	As001G019780	g41054, g44045
OG0000431	As008G187750	g27100, g31232
OG0000432	As002G044400	g39358
OG0000432	As006G134280	g47588, g17129, g23688
OG0000433	As003G075340	g16614
OG0000433	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400	g44024, g44018
OG0000435	As001G004050, As006G138290	g46992, g26157, g46989
OG0000436	As011G266430, As002G048360	g39339, g1080, g28563
OG0000437	As003G062850	g32687
OG0000438	As004G085300	g40411
OG0000439	As008G194170	g49529
OG0000439	As012G285510	g2023
OG0000439	As006G127290	g51246
OG0000440	As006G136440	g12773
OG0000441	As011G248660	g12084, g12086, g12087, g12083
OG0000446	As009G219000	g353, g9852
OG0000446	As008G183010	g27266
OG0000447	As011G247170	g12153, g7121, g13231
OG0000447	As003G069220	g50489, g32357
OG0000448	As004G089550	g10910, g40670, g10911
OG0000449	As010G224860	g19571
OG0000449	As005G114720	g1293, g28780, g41309
OG0000449	As010G224870	g19572
OG0000449	As005G114730	g41304
OG0000452	As001G002300, As001G002310	g47740
OG0000453	As002G033360	g54231, g33385
OG0000454	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520	g890
OG0000457	As008G198890, As008G198870, As008G198860	g28417, g28418
OG0000459	As003G058960	g24037, g24036, g47359
OG0000461	As008G199680	g30720, g1438
OG0000462	As009G214710	g36218, g36226, g36221, g6231
OG0000463	As010G224360, As010G224370	g11422, g2833, g11421
OG0000466	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670	g12390
OG0000468	As012G280020	g19139, g11288
OG0000468	As006G144160	g37303
OG0000471	As003G069540, As003G069550	g27672, g50496, g32378
OG0000472	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050	g46683, g46681
OG0000472	As004G097020	g18100
OG0000481	As001G021880	g40945
OG0000483	As002G047220	g39375
OG0000484	As009G203850	g29022
OG0000487	As006G137570, As008G196100, As006G129680, As006G125350	g12606, g30872, g12810, g7774, g7765
OG0000497	As009G210870, As009G211010	g11659, g23500
OG0000497	As010G233080, As007G164590, As007G163820, As007G164600	g35860, g43698
OG0000497	As002G040610	g53738
OG0000498	As002G045150	g28420, g918
OG0000499	As003G056720	g24192
OG0000499	As011G246530	g13215, g12179
OG0000501	As010G232220	g27874, g32899
OG0000504	As006G143860	g37317
OG0000504	As002G037010, As002G034340	g13045, g12397, g7487
OG0000505	As009G215510	g10041, g580, g10042
OG0000506	As010G234690	g29695, g13576
OG0000509	As001G017890	g24334, g24335
OG0000510	As001G020890, As001G020900	g44132, g41019, g41018, g44133
OG0000511	As001G032060	g40900
OG0000512	As003G061390	g17267, g23904, g24586, g23899, g23901, g23902
OG0000513	As006G146210	g19186
OG0000513	As005G114770	g2921
OG0000514	As011G252640, As011G252630	g6742
OG0000515	As012G267810	g54384
OG0000520	As002G050660, As002G050220, As012G287100	g52272
OG0000521	As003G063570	g32883, g27873
OG0000521	As004G080410	g40242
OG0000521	As010G235150	g46440
OG0000522	As004G083810	g50671, g32646, g50679, g40318
OG0000523	As012G287730	g1820, g1822
OG0000524	As006G141600, As006G141560, As006G141590	g12430
OG0000525	As010G241940	g46461
OG0000525	As007G153430	g27359
OG0000525	As012G269710	g36635
OG0000526	As010G223400	g2744
OG0000526	As010G223440	g19502
OG0000530	As009G203010, As009G203020, As009G203100, As009G203060, As009G202740	g29147, g29150, g29148
OG0000535	As001G023320	g40981
OG0000535	As001G023310	g1517
OG0000536	As010G228630, As004G090520	g3462
OG0000537	As006G124070	g45190
OG0000537	As004G093070	g26286, g46950
OG0000537	As006G141200	g7589, g12972
OG0000538	As005G103710, As005G103700	g37511, g52123, g51516
OG0000539	As005G120910	g8
