Orthogroup	Aethionema_saxatile	Brassica_oleracea
OG0000013	As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120	XP_013617899.1, XP_013607980.1, XP_013632794.1, XP_013601234.1, XP_013614771.1, XP_013601158.1, XP_013617635.1, XP_013639688.1, XP_013589021.1, XP_013601393.1, XP_013594422.1, XP_013624521.1, XP_013624704.1, XP_013601173.1, XP_013617542.1, XP_013601236.1, XP_013607981.1, XP_013608045.1, XP_013589309.1, XP_013589158.1, XP_013607890.1, XP_013588879.1, XP_013632947.1, XP_013608133.1, XP_013626749.1, XP_013617567.1, XP_013594663.1, XP_013617570.1, XP_013632726.1, XP_013624548.1, XP_013624518.1, XP_013617541.1, XP_013594840.1, XP_013607976.1, XP_013617554.1, XP_013624555.1, XP_013624648.1
OG0000013	As001G006220, As010G228600, As001G010900, As002G042370	XP_013613871.1, XP_013607809.1, XP_013594429.1, XP_013601100.1, XP_013617214.1, XP_013617732.1, XP_013632739.1, XP_013594506.1, XP_013594504.1, XP_013607872.1, XP_013629509.1, XP_013624576.1, XP_013617489.1, XP_013613441.1, XP_013617503.1, XP_013608039.1, XP_013628280.1, XP_013607682.1, XP_013617253.1, XP_013589175.1, XP_013631180.1, XP_013624190.1, XP_013639492.1, XP_013617502.1, XP_013594560.1, XP_013617770.1
OG0000014	As007G177950	XP_013633013.1
OG0000014	As009G206390	XP_013608398.1
OG0000015	As011G257220	XP_013624517.1, XP_013617189.1, XP_013615586.1, XP_013603434.1
OG0000015	As010G225860	XP_013614071.1, XP_013614992.1, XP_013617706.1, XP_013617083.1, XP_013615209.1, XP_013639551.1, XP_013617384.1, XP_013632591.1, XP_013601204.1, XP_013613391.1, XP_013614315.1, XP_013615211.1, XP_013594601.1, XP_013615204.1, XP_013634793.1, XP_013615599.1
OG0000017	As006G147350	XP_013607958.1, XP_013594902.1, XP_013601171.1
OG0000017	As011G261070, As010G227380	XP_013632836.1, XP_013585421.1
OG0000017	As003G065780	XP_013601147.1
OG0000019	As012G281430, As001G013530	XP_013607552.1, XP_013607541.1, XP_013596669.1
OG0000021	As003G071480, As010G232120	XP_013624393.1, XP_013617068.1, XP_013624738.1, XP_013589283.1, XP_013608037.1, XP_013624679.1, XP_013589306.1, XP_013639486.1, XP_013624949.1, XP_013617230.1, XP_013601547.1, XP_013588986.1, XP_013595068.1, XP_013608302.1, XP_013617855.1, XP_013589622.1, XP_013608127.1, XP_013589269.1, XP_013608157.1, XP_013639673.1, XP_013595077.1
OG0000023	As003G061360	XP_013598807.1, XP_013598729.1, XP_013598703.1, XP_013598794.1, XP_013595256.1
OG0000023	As003G061290	XP_013598658.1, XP_013595247.1
OG0000023	As004G084560, As004G084580, As004G084570	XP_013608656.1, XP_013617506.1
OG0000023	As003G061280	XP_013595103.1
OG0000023	As003G061270	XP_013623158.1, XP_013599965.1, XP_013599945.1, XP_013588839.1, XP_013595104.1
OG0000026	As007G165250	XP_013594300.1
OG0000029	As001G005440	XP_013632493.1
OG0000029	As004G091740, As005G109110	XP_013632592.1, XP_013624851.1, XP_013600437.1, XP_013601673.1, XP_013593417.1, XP_013585256.1, XP_013625516.1, XP_013624823.1, XP_013613615.1, XP_013624184.1, XP_013617674.1, XP_013624641.1, XP_013594545.1
OG0000030	As011G260570, As011G260600, As010G228030, As011G258250	XP_013639621.1
OG0000031	As001G032000	XP_013606456.1
OG0000031	As009G202600	XP_013611057.1
OG0000031	As006G134510	XP_013635968.1, XP_013609571.1, XP_013590021.1
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	XP_013603110.1, XP_013598717.1, XP_013595252.1, XP_013595253.1
OG0000033	As003G059410, As003G059430, As003G059400	XP_013594180.1, XP_013598071.1
OG0000033	As003G061210, As003G061160	XP_013598971.1, XP_013598676.1, XP_013598684.1, XP_013595245.1, XP_013593131.1, XP_013626222.1, XP_013624956.1
OG0000033	As004G086230	XP_013607897.1
OG0000036	As010G230940, As008G183620, As012G280180, As011G261090	XP_013639282.1
OG0000037	As004G089890	XP_013632843.1
OG0000038	As007G157540	XP_013633414.1
OG0000043	As002G039460	XP_013615172.1, XP_013639561.1
OG0000043	As001G006710	XP_013632655.1, XP_013589170.1, XP_013617215.1, XP_013608043.1, XP_013632937.1
OG0000043	As009G208780	XP_013614144.1, XP_013615283.1
OG0000043	As009G209940	XP_013614408.1
OG0000044	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110	XP_013623958.1, XP_013589222.1, XP_013632674.1, XP_013639308.1
OG0000047	As006G136700	XP_013617274.1, XP_013628824.1
OG0000048	As006G136970	XP_013595132.1
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	XP_013626494.1, XP_013621464.1, XP_013616580.1, XP_013608597.1, XP_013608598.1, XP_013609522.1, XP_013621005.1, XP_013626189.1, XP_013618244.1, XP_013621004.1, XP_013621006.1, XP_013621465.1, XP_013609634.1, XP_013627003.1, XP_013621468.1, XP_013621008.1, XP_013616647.1, XP_013626763.1
OG0000053	As011G257960, As001G007050, As012G281440, As010G228180, As008G190210, As007G176800, As001G006000, As005G110970, As002G037180, As008G190350, As001G001110, As002G040700, As007G164190, As007G164220, As007G179360, As008G193110	XP_013583425.1, XP_013619334.1, XP_013615788.1, XP_013601480.1, XP_013608198.1
OG0000054	As007G163390, As001G010300	XP_013615014.1
OG0000054	As004G090600	XP_013595519.1, XP_013611049.1, XP_013601286.1, XP_013624334.1, XP_013639439.1, XP_013614791.1, XP_013632822.1, XP_013594394.1, XP_013616991.1, XP_013633023.1, XP_013624734.1, XP_013607784.1, XP_013615049.1, XP_013583362.1, XP_013601872.1, XP_013617699.1, XP_013624222.1, XP_013617275.1, XP_013630519.1, XP_013594611.1
OG0000055	As001G022050	XP_013628196.1
OG0000056	As007G178620	XP_013639732.1, XP_013626954.1, XP_013638947.1, XP_013617766.1, XP_013627136.1, XP_013632954.1, XP_013629486.1, XP_013601558.1, XP_013607606.1, XP_013607741.1, XP_013633059.1, XP_013632733.1, XP_013623893.1, XP_013617628.1, XP_013607578.1, XP_013589124.1
OG0000065	As012G279540, As012G279660	XP_013617482.1, XP_013617341.1
OG0000065	As002G040810	XP_013617922.1, XP_013607898.1
OG0000066	As002G052230	XP_013587978.1, XP_013612488.1, XP_013607869.1, XP_013612748.1, XP_013629194.1
OG0000066	As005G118450	XP_013599938.1, XP_013618388.1, XP_013621521.1, XP_013606481.1, XP_013631332.1, XP_013627996.1, XP_013637372.1, XP_013609086.1
OG0000067	As011G256070, As011G256050	XP_013623793.1, XP_013626885.1, XP_013606907.1, XP_013611652.1, XP_013610551.1
OG0000070	As011G259870	XP_013589181.1
OG0000073	As006G137430	XP_013599363.1, XP_013616640.1, XP_013620201.1
OG0000073	As002G034500, As002G034570, As002G034640	XP_013608422.1
OG0000078	As004G095030	XP_013621386.1, XP_013617746.1, XP_013632635.1, XP_013632608.1, XP_013594937.1, XP_013624880.1, XP_013591282.1, XP_013615431.1, XP_013632718.1, XP_013617720.1, XP_013629722.1, XP_013624329.1
OG0000079	As012G285110	XP_013632057.1, XP_013622466.1, XP_013604174.1, XP_013634926.1, XP_013604627.1, XP_013604629.1, XP_013603731.1, XP_013614702.1, XP_013614700.1
OG0000082	As009G206420	XP_013598864.1
OG0000083	As006G138550	XP_013627621.1, XP_013639459.1, XP_013588052.1, XP_013588051.1, XP_013626917.1, XP_013619769.1, XP_013590800.1, XP_013590659.1, XP_013589651.1, XP_013612566.1, XP_013626417.1, XP_013593181.1
OG0000085	As001G000080	XP_013608254.1, XP_013617372.1, XP_013607891.1, XP_013601144.1, YP_004927454.1
OG0000086	As009G216030, As009G216300, As009G216040	XP_013610622.1, XP_013610543.1, XP_013610576.1, XP_013610675.1, XP_013610335.1, XP_013607248.1, XP_013607956.1, XP_013607251.1, XP_013607249.1, XP_013610623.1, XP_013607250.1, XP_013610669.1
OG0000087	As010G222260	XP_013598457.1
OG0000087	As006G128780	XP_013637001.1, XP_013636732.1
OG0000087	As002G051000	XP_013611442.1
OG0000087	As012G274980	XP_013636563.1
OG0000087	As004G086530	XP_013612217.1, XP_013620476.1, XP_013598244.1
OG0000087	As003G058850	XP_013598013.1, XP_013621920.1, XP_013598364.1
OG0000087	As010G237710	XP_013592047.1
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	XP_013603553.1, XP_013630830.1, XP_013634451.1, XP_013629613.1, XP_013613460.1, XP_013612884.1, XP_013626980.1, XP_013626981.1, XP_013626984.1, XP_013610320.1, XP_013626983.1, XP_013626986.1, XP_013630073.1, XP_013593337.1, XP_013612192.1
OG0000088	As010G223910	XP_013629254.1
OG0000089	As002G053510	XP_013629368.1, XP_013611822.1, XP_013620685.1
OG0000089	As010G224530, As005G115200	XP_013616445.1, XP_013621124.1, XP_013623319.1, XP_013623141.1, XP_013607279.1, XP_013622031.1
OG0000090	As003G065330	XP_013591920.1, XP_013588434.1, XP_013616229.1
OG0000090	As012G273080	XP_013610618.1, XP_013620477.1
OG0000093	As012G284680, As012G284700, As012G284660	XP_013632132.1, XP_013632130.1, XP_013591322.1, XP_013590451.1, XP_013590745.1, XP_013589366.1, XP_013615611.1, XP_013589367.1, XP_013589365.1
OG0000096	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360	XP_013613462.1
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	XP_013599827.1, XP_013584794.1
OG0000098	As001G018420, As001G018430, As001G018440	XP_013608625.1
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	XP_013638907.1, XP_013600689.1, XP_013592465.1, XP_013604385.1, XP_013600631.1
OG0000102	As010G228120	XP_013632829.1
OG0000102	As002G042100	XP_013639313.1, XP_013634771.1, XP_013594591.1, XP_013594553.1, XP_013624680.1, XP_013639776.1, XP_013612628.1, XP_013589440.1
OG0000104	As012G271190, As012G271200	XP_013592676.1, XP_013605120.1, XP_013589967.1
OG0000104	As006G129190	XP_013634622.1, XP_013634487.1
OG0000107	As011G252340	XP_013602900.1, XP_013639727.1, XP_013583762.1, XP_013615032.1
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	XP_013617934.1, XP_013614188.1, XP_013615334.1
OG0000114	As006G137050, As006G137080	XP_013612354.1, XP_013622761.1, XP_013628701.1, XP_013586604.1, XP_013629019.1
OG0000116	As011G261080, As012G277730, As011G256700, As005G108990, As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410	XP_013614000.1, XP_013633764.1, XP_013586376.1, XP_013632656.1
OG0000117	As002G041560	XP_013607493.1
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	XP_013597065.1, XP_013591106.1, XP_013610702.1, XP_013585759.1, XP_013624096.1, XP_013603466.1
OG0000123	As008G183750	XP_013597957.1, XP_013589486.1
OG0000123	As008G183720	XP_013590873.1, XP_013602583.1, XP_013590640.1, XP_013590229.1
OG0000125	As006G146230	XP_013605053.1, XP_013636203.1
OG0000125	As012G277440	XP_013589314.1
OG0000125	As005G113770	XP_013625682.1, XP_013606602.1
OG0000125	As005G114700, As010G224880	XP_013606787.1
OG0000125	As006G129500	XP_013631988.1, XP_013622502.1, XP_013631825.1
OG0000127	As008G186430, As008G186390, As008G185640	XP_013595164.1, XP_013639264.1
OG0000130	As010G226930, As002G040800, As008G191120	XP_013594458.1, XP_013607835.1, XP_013601231.1, XP_013632727.1, XP_013614604.1, XP_013615741.1, XP_013613827.1, XP_013632902.1, XP_013614901.1, XP_013624434.1, XP_013614818.1, XP_013601916.1, XP_013624332.1, XP_013617259.1, XP_013608391.1, XP_013639256.1, XP_013612776.1, XP_013632644.1, XP_013594563.1, XP_013613452.1
OG0000133	As007G165020	XP_013590718.1
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	XP_013626943.1, XP_013601903.1, XP_013639346.1, XP_013608115.1, XP_013601604.1, XP_013583259.1, XP_013594660.1, XP_013589370.1, XP_013591167.1, XP_013617109.1, XP_013589335.1, XP_013601241.1, XP_013608144.1, XP_013635354.1, XP_013627323.1, XP_013589606.1, XP_013631036.1, XP_013624677.1, XP_013633354.1
OG0000136	As001G028730	XP_013590467.1, XP_013588679.1
OG0000138	As004G077560, As004G078140	XP_013624215.1, XP_013613720.1
OG0000138	As001G027950, As001G027940, As007G161530	XP_013590166.1, XP_013616591.1, XP_013592198.1, XP_013590454.1, XP_013615083.1
OG0000139	As006G149220, As004G090290	XP_013614236.1, XP_013625012.1, XP_013615149.1, XP_013614363.1
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	XP_013618771.1, XP_013626670.1, XP_013620395.1, XP_013620391.1, XP_013618644.1, XP_013620392.1, XP_013620394.1, XP_013608277.1, XP_013609630.1
OG0000146	As002G047180	XP_013608191.1
OG0000146	As002G047190	XP_013618766.1, XP_013610172.1, XP_013610274.1, XP_013626781.1
OG0000147	As011G265720	XP_013597841.1, XP_013611416.1, XP_013623586.1
OG0000147	As002G049060	XP_013620594.1
OG0000147	As010G243490	XP_013588689.1
OG0000147	As010G227330	XP_013622891.1
OG0000147	As011G259420	XP_013623185.1
OG0000149	As010G224610	XP_013620732.1, XP_013623837.1, XP_013628381.1, XP_013620734.1, XP_013628384.1, XP_013628382.1, XP_013618276.1, XP_013615353.1, XP_013618860.1
OG0000150	As010G225180, As010G225220, As010G225210	XP_013617735.1
OG0000151	As007G166070	XP_013639325.1, XP_013600456.1
OG0000151	As006G141980, As006G133740	XP_013622635.1, XP_013617767.1, XP_013638468.1
OG0000151	As011G263600	XP_013625767.1, XP_013599341.1
OG0000151	As002G047900	XP_013621604.1, XP_013606619.1, XP_013622226.1
OG0000151	As001G030700	XP_013608966.1, XP_013606344.1
OG0000154	As007G152520	XP_013603183.1, XP_013586550.1
OG0000154	As009G210670	XP_013611399.1, XP_013628965.1
OG0000154	As002G034300	XP_013616125.1
OG0000154	As005G107550	XP_013586681.1, XP_013628594.1
OG0000155	As003G059350	XP_013604992.1, XP_013598493.1, XP_013583450.1, XP_013633420.1, XP_013595378.1, XP_013631137.1, XP_013629080.1, XP_013591327.1, XP_013591329.1, XP_013598049.1, XP_013591187.1
OG0000156	As012G287040, As012G287050	XP_013634565.1
OG0000161	As001G013550, As001G029600, As001G029610	XP_013618060.1, XP_013620235.1, XP_013617087.1, XP_013616586.1
OG0000162	As012G286440	XP_013603186.1
OG0000162	As005G102210	XP_013632427.1
OG0000162	As005G102220	XP_013632426.1
OG0000164	As011G264140, As011G262780	XP_013596962.1
OG0000165	As011G245360	XP_013632583.1
OG0000165	As001G011340, As001G010810, As001G010990, As012G282150	XP_013624270.1, XP_013633228.1
OG0000166	As011G260470, As002G040840	XP_013624665.1
OG0000166	As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080	XP_013583472.1, XP_013624660.1
OG0000167	As003G057890	XP_013597471.1
OG0000168	As008G194570	XP_013594768.1, XP_013615239.1, XP_013633133.1, XP_013601581.1
OG0000171	As003G073770	XP_013590286.1
OG0000171	As009G200410	XP_013606531.1
OG0000175	As010G237650	XP_013589817.1
OG0000175	As011G263590	XP_013611367.1
OG0000184	As004G089570	XP_013632768.1, XP_013589203.1, XP_013615555.1, XP_013607625.1, XP_013616898.1, XP_013607725.1, XP_013624805.1, XP_013639742.1, XP_013632191.1, XP_013607908.1, XP_013601719.1, XP_013632975.1, XP_013615595.1, XP_013594324.1, XP_013624323.1, XP_013624678.1, XP_013589313.1, XP_013617472.1, XP_013633123.1, XP_013601633.1, XP_013624833.1, XP_013594715.1, XP_013594528.1, XP_013616892.1
OG0000187	As001G003960	XP_013598969.1, XP_013623119.1
OG0000190	As004G085680	XP_013606260.1, XP_013606263.1, XP_013626923.1, XP_013624075.1, XP_013627503.1, XP_013618562.1, XP_013610612.1, XP_013610263.1
OG0000192	As007G157190	XP_013594710.1
OG0000200	As008G194290	XP_013639107.1
OG0000203	As006G136770	XP_013610704.1
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	XP_013627485.1
OG0000207	As003G061070	XP_013589445.1, XP_013589713.1, XP_013589712.1, XP_013614963.1, XP_013614962.1, XP_013601687.1, XP_013589714.1, XP_013617344.1, XP_013602994.1
OG0000208	As003G075220	XP_013628177.1, XP_013627709.1, XP_013635771.1
OG0000208	As003G075160	XP_013639488.1
OG0000213	As002G038840	XP_013634984.1, XP_013637045.1, XP_013604409.1, XP_013630249.1
OG0000217	As001G019850	XP_013585069.1, XP_013606916.1
OG0000218	As001G022650	XP_013601824.1, XP_013596521.1, XP_013626916.1, XP_013637949.1, XP_013584621.1, XP_013609824.1, XP_013593772.1, XP_013616568.1
OG0000219	As001G028510, As001G028520, As001G028500, As001G028480	XP_013624366.1
OG0000219	As003G064990	XP_013627992.1
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	XP_013618014.1, XP_013615523.1, XP_013590551.1, XP_013616477.1, XP_013618016.1, XP_013593879.1, XP_013593877.1
OG0000224	As001G031540	XP_013610505.1, XP_013609066.1, XP_013613905.1
OG0000225	As003G069680, As003G070050	XP_013587120.1
OG0000228	As007G159250	XP_013603021.1
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	XP_013620214.1, XP_013590268.1, XP_013620218.1
OG0000231	As004G077900	XP_013629410.1, XP_013589249.1, XP_013614382.1, XP_013613717.1
OG0000231	As001G028220	XP_013618673.1, XP_013589939.1
OG0000232	As002G036540, As006G139020	XP_013622924.1, XP_013626403.1, XP_013628173.1, XP_013627330.1, XP_013632738.1, XP_013635901.1, XP_013623209.1, XP_013622779.1
OG0000234	As012G281460	XP_013635814.1
OG0000234	As006G143800	XP_013635718.1, XP_013636124.1
OG0000234	As009G210340	XP_013611475.1
OG0000237	As010G229740	XP_013594372.1, XP_013613872.1, XP_013588940.1
OG0000237	As011G257810	XP_013624683.1, XP_013594728.1, XP_013633112.1, XP_013633483.1, XP_013624613.1, XP_013614867.1, XP_013608463.1
OG0000242	As008G183340, As008G183330	XP_013610262.1, XP_013596468.1, XP_013584929.1, XP_013600895.1, XP_013603142.1, XP_013602247.1, XP_013638672.1, XP_013603225.1, XP_013601473.1, XP_013603505.1, XP_013584474.1
OG0000244	As003G059930	XP_013593118.1, XP_013611429.1
OG0000244	As004G085820	XP_013607002.1
OG0000244	As004G085860, As004G085850	XP_013626139.1
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	XP_013620094.1
OG0000249	As006G145310	XP_013631294.1, XP_013631718.1
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	XP_013636148.1, XP_013636145.1, XP_013623426.1
OG0000256	As006G142410	XP_013633331.1
OG0000257	As002G035710, As012G268510	XP_013607543.1
OG0000258	As002G048970	XP_013627194.1
OG0000259	As011G261730	XP_013624089.1, XP_013608126.1, XP_013624638.1, XP_013617317.1, XP_013589228.1, XP_013610052.1, XP_013607991.1, XP_013639749.1, XP_013607761.1, XP_013601268.1, XP_013608308.1, XP_013614002.1, XP_013617677.1, XP_013624845.1, XP_013639735.1
OG0000264	As004G086270, As010G229170	XP_013610658.1
OG0000268	As001G023230	XP_013597635.1, XP_013607868.1
OG0000268	As008G182800	XP_013601825.1, XP_013584341.1
OG0000268	As005G106920	XP_013609173.1
OG0000268	As012G278370	XP_013603280.1, XP_013637011.1
OG0000271	As004G086280	XP_013628057.1
OG0000272	As006G146450	XP_013615529.1
OG0000273	As007G156970	XP_013596331.1
OG0000273	As012G273500, As012G273510, As012G273490, As005G107410, As004G078260	XP_013603699.1, XP_013603489.1
OG0000273	As012G273480	XP_013590838.1
OG0000274	As005G114920	XP_013619398.1, XP_013625891.1
OG0000274	As006G128840, As006G128830	XP_013634861.1, XP_013637340.1, XP_013637342.1
OG0000276	As011G256110	XP_013595085.1, XP_013621481.1, XP_013619332.1, XP_013599132.1
OG0000276	As007G163350, As007G163430	XP_013586113.1
OG0000277	As004G096720	XP_013596367.1, XP_013615005.1
OG0000279	As001G004840, As010G237280	XP_013624318.1
OG0000279	As007G165600, As007G178830	XP_013639768.1
OG0000282	As002G055220	XP_013610418.1
OG0000283	As006G125110	XP_013619016.1, XP_013595257.1
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	XP_013609896.1, XP_013609877.1, XP_013607782.1, XP_013594787.1, XP_013595949.1, XP_013617606.1, XP_013619444.1
OG0000284	As006G139300	XP_013619903.1, XP_013597142.1
OG0000284	As006G139290	XP_013619870.1, XP_013584995.1, XP_013610078.1
OG0000291	As008G188960	XP_013594325.1, XP_013632436.1, XP_013608431.1, XP_013633292.1, XP_013601298.1, XP_013616958.1, XP_013624437.1, XP_013617883.1, XP_013624120.1, XP_013619575.1, XP_013589343.1, XP_013590974.1, XP_013635278.1, XP_013624810.1, XP_013624236.1
OG0000293	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280	XP_013624011.1, XP_013601537.1, XP_013589372.1, XP_013632657.1
OG0000294	As011G249490	XP_013613847.1, XP_013629139.1
OG0000294	As006G145420	XP_013630077.1, XP_013637355.1, XP_013636480.1
OG0000294	As005G099900	XP_013637320.1
OG0000294	As006G122700	XP_013629475.1, XP_013611648.1
OG0000297	As008G198730	XP_013635683.1, XP_013635570.1
OG0000297	As005G114280	XP_013619937.1, XP_013619932.1, XP_013621272.1, XP_013610714.1, XP_013639809.1, XP_013632661.1
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	XP_013603401.1
OG0000299	As010G241860, As009G207860	XP_013623753.1
OG0000300	As008G194750	XP_013630824.1
OG0000303	As003G069740	XP_013599498.1, XP_013624541.1, XP_013624766.1, XP_013589525.1, XP_013624765.1, XP_013589131.1, XP_013615779.1, XP_013608332.1, XP_013605239.1, XP_013590107.1, XP_013613648.1, XP_013624891.1, XP_013608371.1, XP_013634294.1, XP_013627540.1, XP_013629810.1, XP_013584864.1, XP_013620046.1, XP_013601856.1, XP_013608439.1, XP_013617656.1, XP_013608065.1, XP_013595186.1, XP_013601790.1, XP_013615712.1, XP_013584767.1, XP_013610588.1, XP_013630833.1, XP_013600495.1, XP_013609342.1
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	XP_013601504.1, XP_013601503.1, XP_013605611.1, XP_013592591.1, XP_013589504.1, XP_013633152.1, XP_013600888.1, XP_013615568.1, XP_013600024.1, XP_013588752.1, XP_013587884.1
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	XP_013610573.1, XP_013616636.1, XP_013612483.1
OG0000311	As009G202530	XP_013606449.1, XP_013614286.1
OG0000311	As012G273730	XP_013590383.1
OG0000311	As011G249880	XP_013636878.1, XP_013587377.1, XP_013622724.1
OG0000311	As004G077290	XP_013637496.1
OG0000311	As001G029000	XP_013621636.1
OG0000312	As002G039610	XP_013633534.1, XP_013614156.1
OG0000313	As003G058420	XP_013597168.1
OG0000314	As008G195840	XP_013638562.1, XP_013605539.1, XP_013603309.1
OG0000314	As006G125760	XP_013634837.1, XP_013627258.1, XP_013634788.1
OG0000315	As006G137990, As006G137760	XP_013624737.1, XP_013608103.1, XP_013601227.1, XP_013617988.1, XP_013632479.1, XP_013632988.1, XP_013594597.1, XP_013590914.1, XP_013589350.1
OG0000316	As008G187440, As008G187910	XP_013617644.1, XP_013613593.1, XP_013613595.1, XP_013632686.1
OG0000319	As006G129730, As005G114310, As008G191530	XP_013604074.1, XP_013586115.1, XP_013636551.1, XP_013628786.1, XP_013620255.1, XP_013620256.1, XP_013611417.1
OG0000321	As001G010170	XP_013624691.1, XP_013631768.1, XP_013628027.1
OG0000322	As009G214030	XP_013591147.1
OG0000322	As007G153590	XP_013633430.1, XP_013627590.1, XP_013591032.1, XP_013627611.1, XP_013627424.1
OG0000323	As002G045490	XP_013614781.1, XP_013619112.1
OG0000323	As005G112480	XP_013596321.1, XP_013602977.1
OG0000327	As001G019790	XP_013600654.1
OG0000328	As001G029880	XP_013605281.1, XP_013605279.1
OG0000328	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070	XP_013635077.1, XP_013635170.1, XP_013610362.1, XP_013610358.1
OG0000329	As007G180560	XP_013603566.1, XP_013602649.1, XP_013602650.1, XP_013635214.1, XP_013635448.1, XP_013610690.1, XP_013592257.1
OG0000332	As002G033230	XP_013628524.1, XP_013621196.1
OG0000332	As011G251780, As012G272450	XP_013591750.1, XP_013628373.1
OG0000334	As012G277630	XP_013599508.1
OG0000334	As006G146780	XP_013630416.1, XP_013636573.1, XP_013620044.1, XP_013610941.1, XP_013619489.1, XP_013627154.1
