Orthogroup	Aethionema_saxatile	Arabidopsis_lyrata_Rawat
OG0000026	As007G165250	AL1G18480, AL4G42270, AL5G11540
OG0000030	As011G260570, As011G260600, As010G228030, As011G258250	AL1G54660
OG0000031	As001G032000	AL2G13280, AL2G11830, AL2G12470, AL2G13120
OG0000031	As009G202600	AL6G27650
OG0000031	As006G134510	AL7G48260, AL3G29640
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	AL7G30290
OG0000033	As003G059410, As003G059430, As003G059400	AL7G32680, AL7G32670
OG0000033	As003G061210, As003G061160	AL7G30350, AL7G30310, AL5G24540
OG0000033	As004G086230	AL6G48800
OG0000035	As005G105710, As005G106260, As012G269410	AL1G62520
OG0000036	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900	AL4G17610, AL6G45120
OG0000036	As008G192160	AL2G27390
OG0000037	As004G089890	AL7G49500, AL1G54600, AL2G19430
OG0000038	As009G211050, As009G210990, As009G210820	AL2G12050
OG0000038	As007G157540	AL1G38680
OG0000048	As006G136970	AL3G13680
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	AL4G10310, AL6G29210, AL6G29240, AL6G29190, AL6G29180, AL6G29270, AL6G29120, AL6G29220
OG0000049	As002G044530	AL2G16540, AL6G28140, AL6G37950
OG0000054	As004G090600, As007G163400, As011G258570, As001G015330, As001G010290, As001G006440	nbis-gene-807
OG0000055	As001G022050	AL5G26170
OG0000063	As006G129470	AL5G25220
OG0000063	As005G114950	AL1G17860, AL5G24600
OG0000063	As012G277450	AL4G23280, AL8G36210
OG0000065	As002G040810	AL7G38070
OG0000066	As002G052230	AL2G35580, AL3G43470, AL6G41640, AL2G35590
OG0000066	As007G156090	AL1G32620
OG0000066	As002G052910	AL6G20900
OG0000066	As005G118450	AL6G20890, AL1G19680, AL5G16700
OG0000067	As011G256070, As011G256050	AL6G14890, AL6G15310
OG0000073	As006G137430	AL7G37760
OG0000073	As002G034500, As002G034570, As002G034640	AL8G18470, AL3G20910, AL2G19370
OG0000079	As012G285110	AL3G12550, AL3G12540, AL5G40790, AL5G40730, AL5G40740, AL4G18900, AL4G18910, AL5G40750, AL5G40710, AL7G52220, AL5G40830, AL7G52200, AL7G52210, AL7G52190, AL5G40610, AL5G40780
OG0000083	As006G138550	AL57U10030, AL2G31040, AL2G31050, AL158U10020, AL2G31060, AL158U10030, AL4G14280, AL57U10020, AL3G37440, AL3G37430, AL3G37570, AL3G37560, AL3G43940, AL1G47960, AL3G15890, AL3G15860
OG0000085	As001G000080	AL7G52690
OG0000086	As009G216030, As009G216300, As009G216040	nbis-gene-346, nbis-gene-441, nbis-gene-345, nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419, nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023
OG0000087	As010G222260	AL6G35120
OG0000087	As006G128780	AL4G24260
OG0000087	As002G051000	AL6G23060
OG0000087	As012G274980	AL4G30750
OG0000087	As004G086530	AL8G15560
OG0000087	As003G058850	AL7G33260
OG0000087	As010G237710	AL2G35770
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	AL5G23250, AL5G26870, AL3G46650, AL5G26810, AL5G26350, AL5G26360
OG0000088	As010G225370	AL5G26330, AL5G26340
OG0000088	As010G223910	AL5G26370
OG0000089	As002G053510	AL6G20220
OG0000089	As011G250900	AL3G32160, AL1G56110
OG0000089	As006G146590	AL5G34730
OG0000089	As012G277570	AL4G34130, AL4G34190
OG0000089	As010G224530, As005G115200	AL5G25390, AL8G35810
OG0000090	As004G082910	AL8G19640
OG0000090	As003G065330	AL2G35960
OG0000090	As012G273080	AL5G42190, AL7G16760, AL5G12830, AL3G47920, AL5G12840, AL1G20940
OG0000093	As012G284680, As012G284700, As012G284660	AL5G40110, AL5G40140, AL3G42890, AL5G40100, AL5G39960, AL3G42900, AL3G42870, AL3G42880
OG0000096	As002G036580, As001G019400, As001G019410, As001G019450	AL2G18750
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	AL6G49050
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	nbis-gene-1028, AL1G23600, AL1G23590, AL7G41510, AL1G23500, AL1G23480
OG0000102	As010G228120	AL7G22190
OG0000102	As002G042100	AL1G67270, AL8G13680, AL1G44840
OG0000104	As012G271190, As012G271200	AL1G59870, AL1G59850
OG0000104	As006G129190	nbis-gene-14, AL4G23520
OG0000106	As002G041170, As002G041390, As002G041440	AL3G31580, AL3G31600, AL3G31620, AL3G31610, AL3G32310, AL3G32820, AL3G50560, AL3G22030, AL3G32300, AL439U10010
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220	AL3G33810
OG0000107	As011G252340	AL3G33800, AL3G33790, AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	nbis-gene-844, AL4G14150, AL6G37130, AL6G37020, AL6G44880, AL1G41020, AL1G41010, AL1G41000, AL1G40990, AL4G14170, nbis-gene-805, AL3G44060, AL3G44020, AL3G44030, AL3G43980, AL2G26330
OG0000112	As011G262130, As011G262140, As009G217680, As009G217690	nbis-gene-1017, AL8G37620, nbis-gene-2004, nbis-gene-1178, nbis-gene-2005, nbis-gene-1177, AL4G19230
OG0000114	As006G137050, As006G137080	AL8G17970, AL8G17980, AL20U10050, AL20U10060, AL20U10040, AL20U10020, AL6G21880, AL3G14170, AL4G22780, AL8G15310, AL1G67230, AL1G67210, AL1G67280, AL3G42680, AL1G52710, AL5G19550, AL2G23230, AL686U10020, AL7G52290, AL7G52440, AL7G52360, AL7G52380, AL7G52310, AL7G52410
OG0000116	As011G261080, As012G277730, As011G256700, As005G108990, As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410	AL4G42280
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	AL5G18800
OG0000123	As008G183750	AL7G26670
OG0000123	As008G183720	AL1G25180, AL1G25190, AL2G13220
OG0000125	As005G107620	AL3G20660, AL6G11840
OG0000125	As005G113770	AL6G34020
OG0000125	As005G114700, As010G224880	AL189U10030, AL8G36480
OG0000125	As006G129500	AL4G23250
OG0000127	As008G186430, As008G186390, As008G185640	AL1G22150, AL1G22140, AL1G22160, AL1G17320, AL638U10010
OG0000130	As005G110830	AL4G15810, AL4G25960
OG0000130	As010G226930, As002G040800, As008G191120	AL667U10020
OG0000133	As004G090110, As010G227760, As002G038290, As007G165020, As007G167120, As007G166850, As004G092840, As011G261830	AL8G19570, AL25U10030
OG0000136	As001G028730	AL2G24590, AL2G24600, AL2G24580
OG0000138	As001G027950, As001G027940, As007G161530	AL5G19700, AL5G19780
OG0000140	As005G115230	AL8G35600
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	AL48U10040, AL8G35560, nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178, nbis-gene-2175, nbis-gene-2181, AL48U10010, nbis-gene-2180
OG0000146	As002G047180	AL8G30890
OG0000146	As002G047190	AL8G30920, AL8G30900
OG0000147	As011G265720	AL3G52950
OG0000147	As001G002190	AL7G22000
OG0000147	As002G049060	AL8G33330
OG0000147	As010G243490	AL2G40780
OG0000147	As010G227330	AL5G20850
OG0000147	As011G259420	AL3G44180
OG0000149	As010G224590	AL5G25250
OG0000149	As010G224610	AL8G36140, AL8G36180, AL8G36200, AL8G36170, AL8G36160, AL5G25230
OG0000150	As010G225180, As010G225220, As010G225210	AL5G21720, AL5G21730, AL6G15230, AL5G24190, AL4G18370, AL4G18360, AL4G18340, AL5G24110
OG0000151	As007G166070	AL7G24680
OG0000151	As006G141980, As006G133740	AL3G19690
OG0000151	As011G263600	AL3G49460
OG0000151	As002G047900	AL8G31780
OG0000151	As001G030700	AL2G10770, AL7G47650
OG0000154	As007G152520	AL1G28200
OG0000154	As009G210670	AL3G24230
OG0000154	As002G034300	AL3G20620
OG0000154	As005G107550	AL6G11740
OG0000155	As003G059350	AL7G25530, AL113U10010, AL113U10030, AL5G31320, AL7G32730, AL2G23090, AL2G23080, AL7G32710
OG0000155	As003G059230, As003G059200	AL6G37570, AL4G46600
OG0000156	As012G287040, As012G287050	AL5G43250
OG0000156	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580	AL4G44730
OG0000161	As001G013550, As001G029600, As001G029610	AL8G38700, AL8G38710, AL1G60690, AL8G25830, AL4G22760, AL4G22720, AL2G20180, AL2G20130
OG0000162	As005G102210	AL4G44040, AL4G23070
OG0000164	As011G264140, As011G262780	AL7G23040
OG0000166	As011G260470, As002G040840	AL2G32690
OG0000167	As003G057890	AL7G34470
OG0000171	As005G099780	AL2G23510
OG0000171	As007G159620	AL1G21480
OG0000171	As004G097180	AL2G16210
OG0000171	As009G200410	AL6G25440
OG0000175	As010G220360	AL5G31720
OG0000175	As007G156270	AL1G32900
OG0000175	As011G263590	AL7G16200
OG0000175	As011G264780, As003G072250	AL3G50830
OG0000184	As004G089570	AL3G43630, AL5G24090
OG0000187	As001G003940	nbis-gene-1736, nbis-gene-1735, AL22U10010, nbis-gene-1954, AL7G51970
OG0000187	As001G003960	AL7G20320
OG0000190	As004G085680	AL6G47960, AL6G47980, AL6G47970, AL6G48020, AL6G47990, AL1G49990
OG0000191	As007G152760	AL3G29510
OG0000192	As007G157190	AL1G34280
OG0000195	As001G028840	AL7G46650, AL2G24200
OG0000195	As002G033300	AL5G21780
OG0000200	As008G194290	AL5G29460, AL8G22470
OG0000202	As002G042690, As002G042710, As011G249620	nbis-gene-126
OG0000203	As006G136770	AL3G14200, AL6G22600, AL6G22480, AL6G22490
OG0000207	As003G061070	AL2G39130, AL2G28790, AL2G39150, AL4G20460, AL2G39120
OG0000208	As003G075160	AL7G51580, AL7G11510, AL8G26210, AL311U10010
OG0000213	As002G038840	AL4G12610, AL4G12630, AL4G12560, AL4G12620, AL4G12650, AL4G12640, AL4G12670
OG0000215	As011G258310	AL5G34210
OG0000217	As001G019850	AL2G17650, AL2G17830, AL2G17810, AL1G65670
OG0000217	As007G177020	AL7G46780, AL2G17080, AL2G17100
OG0000218	As001G022650	AL1G26980, AL1G27000, AL1G27010, AL1G27020, AL5G15240, AL7G42370, AL5G10550, AL5G13150, AL5G10520
OG0000219	As001G028500, As001G028480	AL2G25070, AL2G25100
OG0000219	As003G064990	AL835U10030
OG0000220	As010G225590, As010G227890	nbis-gene-390
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	AL2G37740, AL2G37720
OG0000224	As001G031540	AL7G20350, AL2G12370, AL2G12360
OG0000225	As003G069680, As003G070050	AL1G43260, AL1G43240, AL1G43270
OG0000228	As007G159250	AL6G40330, AL6G40180
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	AL2G30290, AL173U10020
OG0000231	As004G077900	AL7G51760
OG0000231	As001G028220	AL2G26510, AL7G43870, AL2G25780, AL2G25790
OG0000232	As002G036540, As006G139020	AL3G16300, AL3G16310, AL3G22620, AL3G46870
OG0000233	As007G163840	AL3G36230
OG0000233	As005G111800	AL8G34590
OG0000233	As005G111810	AL3G52190
OG0000234	As012G281460	AL5G36220
OG0000234	As006G143800	AL5G36210, AL4G36690
OG0000234	As009G210340	AL6G24190
OG0000237	As010G229740	AL1G54290
OG0000238	As009G206400, As008G190870, As006G143840	AL2G18390
OG0000242	As008G183340, As008G183330	AL3G47120, AL3G47130, AL1G25950, nbis-gene-83, AL1G25930
OG0000244	As003G059930	AL7G32050
OG0000244	As004G085820	AL6G48290
OG0000244	As004G085870	AL6G48330
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	AL7G32080, AL7G32090, AL7G32070, AL7G32060
OG0000244	As004G085860, As004G085850	AL6G48300, AL6G48310
OG0000246	As012G280010	AL6G45940, AL1G47930
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	AL2G18850
OG0000249	As006G145310	AL4G32970
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	AL4G32990
OG0000257	As002G035710, As012G268510	AL3G21820
OG0000258	As002G048970	AL8G33230
OG0000264	As004G086270, As010G229170	AL6G48830
OG0000268	As001G023230	AL5G11250
OG0000268	As001G023220, As001G023200	AL2G13720
OG0000268	As005G106920	AL6G11010
OG0000268	As012G278370	AL5G35180
OG0000270	As003G075960	AL7G10820, AL3G49100
OG0000271	As002G034810, As005G108140	AL7G44880
OG0000271	As004G086280	AL6G48930
OG0000273	As012G273480	AL1G55350
OG0000274	As005G114920	AL8G36240
OG0000274	As010G224670, As010G224890	AL4G17310
OG0000274	As006G128840, As006G128830	AL4G24200
OG0000276	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920	AL9U10390
OG0000277	As004G096710	AL7G39730, AL7G39740
OG0000277	As004G096720	AL7G39720
OG0000279	As001G004840, As010G237280	AL6G47730, AL1G53900
OG0000279	As007G165600	AL4G12490, AL4G12510, AL4G12760, AL7G43800, AL5G22580, AL1G58300, AL9U11340, AL5G23870, AL9U11700, AL6G30690, AL1G40130, AL1G58550, AL1G29700, AL1G46490
OG0000279	As007G178830	AL6G48470
OG0000280	As004G093300	AL4G22740
OG0000280	As002G035770	AL5G38160
OG0000282	As002G055220	AL6G17860
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	AL8G17000, AL8G17010, AL178U10040, AL117U10040
OG0000284	As006G139290	AL3G16620
OG0000290	As009G210470, As005G114050	nbis-gene-1903
OG0000293	As008G188650, As004G094780, As002G042500, As003G064050	nbis-gene-1361
OG0000294	As011G249490	AL3G30460
OG0000294	As006G145420	AL4G33090
OG0000294	As006G122700	AL6G51460
OG0000294	As008G198060	AL1G11840
OG0000297	As008G198730	AL7G14480
OG0000297	As005G114280	AL8G37040, AL3G33140
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	nbis-gene-617, AL122U10010
OG0000299	As010G241860, As009G207860	nbis-gene-314, nbis-gene-311, nbis-gene-312
OG0000299	As012G267900	AL1G64190
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	AL7G42450, AL2G32570, AL7G49910, AL1G29920, AL2G32530
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	AL8G35710
OG0000311	As009G202530	AL6G27540
OG0000311	As012G273730	AL1G55110
OG0000311	As011G249880	AL3G30980
OG0000311	As004G077290	AL7G46360
OG0000311	As001G029000	AL2G23890
OG0000314	As008G195840	AL1G14460
OG0000314	As006G125760	AL1G14470
OG0000314	As006G125440	AL4G28090
OG0000315	As006G137990, As006G137760	AL6G36390, AL5G15440
OG0000316	As008G187440, As008G187910	AL3G14810
OG0000319	As006G129730, As005G114310, As008G191530	AL8G37000, AL1G18210, AL1G18230, AL1G18260
OG0000321	As001G010170	AL7G46030, AL7G46410, AL7G46130, AL7G38390, AL7G38360, AL7G46040, AL7G46050, AL7G46160, AL7G46150
OG0000322	As009G214030	AL2G38770
OG0000322	As007G153590	AL4G38060, AL4G38120, AL6G43180, AL1G51540
OG0000323	As002G045490	AL8G29280
OG0000323	As005G112480	AL7G25060
OG0000327	As008G195090, As008G195100, As011G263130	AL1G37470
OG0000328	As001G029880	AL7G41460
OG0000329	As007G180560	AL4G43730, AL5G42900
OG0000332	As001G030000	nbis-gene-443
OG0000332	As002G033230	AL6G31300, AL6G31290
OG0000332	As011G251780	AL8G15650
OG0000334	As012G277630	AL5G34800
OG0000334	As006G146780	AL4G34640, AL6G50670, AL6G50680, AL6G50700
OG0000339	As003G061400	AL7G30060
OG0000339	As006G121550	AL6G53040
OG0000339	As005G101130, As012G287430	AL4G45180, AL5G43730
OG0000340	As005G103820	AL2G24960, AL4G42300
OG0000340	As005G103800, As005G103810	nbis-gene-2101, AL4G42320
OG0000344	As009G215190, As009G215530	AL6G37980
OG0000351	As009G207810, As011G246650	AL3G26860
OG0000352	As007G153380	AL1G29120
OG0000358	As006G124930, As008G196330	AL1G13870, AL6G19910
OG0000358	As008G196390	AL390U10020, AL6G19900, AL6G19890
OG0000359	As012G275420	AL4G30400
OG0000360	As005G119730	AL8G44510, AL8G44500
OG0000362	As006G134970	nbis-gene-906
OG0000363	As009G209420	AL2G12490
OG0000368	As003G073560, As003G073580	AL7G13510, AL7G13520
OG0000368	As003G073600, As003G073590	AL2G24410, AL2G24540, nbis-gene-1705
OG0000369	As006G129520	AL8G36410
OG0000370	As007G153440	AL1G29180, AL7G27830, AL7G27840
OG0000371	As005G099710, As005G099720	AL1G39190, AL4G46780, AL1G12810, AL1G22510
OG0000372	As006G132540, As006G132550	AL7G25660, AL7G25650, AL7G25640
OG0000377	As001G021090	AL1G21740
OG0000378	As003G067400	AL7G43380, AL3G37650, AL1G50470
OG0000382	As006G122900	AL5G45310, AL1G11940, AL6G51150
OG0000382	As008G188710	nbis-gene-54
OG0000383	As003G069230	AL1G42230, AL1G42250, AL1G49520, AL4G21310
OG0000383	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380	AL1G42200, AL1G42220
OG0000386	As001G025230, As001G025220, As011G256850	AL5G14950, AL5G14940
OG0000386	As012G276900, As012G276880	AL5G34200
OG0000390	As001G012620	AL6G34750
OG0000390	As011G251840	AL3G42690, AL3G30610
OG0000391	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360	AL1G35790
OG0000392	As010G221200, As010G221190, As010G221180	AL7G52760, AL7G52750, nbis-gene-1341
OG0000396	As001G026970	AL5G17950
OG0000396	As001G026990, As001G027000, As001G027010	AL5G17990, AL5G18010, AL5G18000
OG0000398	As012G268810	AL1G63260
OG0000403	As001G020780, As001G020790	AL2G16410
OG0000404	As012G276100	AL4G32260, AL3G23060, AL5G33360
OG0000404	As006G144680, As002G037330	AL6G16080
OG0000406	As006G136090	AL6G27980, AL6G27990, AL6G28000, AL7G53000
OG0000407	As009G201130, As009G201860	nbis-gene-1522, AL1G39220, AL1G39230, AL1G54210, AL6G25720
OG0000409	As001G002920	AL4G38000, AL4G38030
OG0000410	As001G021670, As001G021680	AL2G14740, AL2G14750, AL2G14800, AL2G14760, nbis-gene-402, nbis-gene-401, nbis-gene-400, AL2G14930, AL2G14910, AL2G14860, AL2G14890
OG0000411	As001G022090	AL2G13870
OG0000411	As011G261620	AL3G43130
OG0000411	As004G085710	AL6G48090
OG0000411	As003G060010	AL7G31720
OG0000412	As002G046400	AL8G30090
OG0000413	As011G245460	AL3G25430
OG0000413	As002G048240	AL7G26630, AL8G32300
OG0000413	As012G268650	AL1G63380
OG0000414	As003G058750, As003G058770, As003G058760	AL1G39370, AL1G39340, AL1G39380, AL1G39360, AL1G39330, AL7G33350
OG0000415	As005G104640	AL6G39500, AL4G41100
OG0000416	As006G125710	AL4G26970, AL4G27140
OG0000416	As006G127220, As008G194210	AL1G15520, AL4G15340
OG0000417	As007G163710, As008G186410	AL3G39540, AL3G39570, AL3G39550, AL1G27780, AL6G47130, AL6G48160, AL6G48200, AL6G43490
OG0000420	As010G222670	AL4G37990, AL4G38020
OG0000420	As001G015280	nbis-gene-910
OG0000421	As004G078160, As004G078150	AL7G51350, AL7G51330, AL7G51310, AL7G51320, AL7G51340, nbis-gene-1951, AL7G51280
OG0000422	As008G188280, As008G188290, As008G188300	AL1G20020, AL1G20030, nbis-gene-56
OG0000423	As010G241040	AL2G32410
OG0000423	As012G269020	AL1G63030
OG0000429	As009G215310	AL6G37110
OG0000429	As002G052030	AL6G21860
OG0000429	As001G004910	AL7G19450, AL4G16950
OG0000430	As011G263500	AL3G49230
OG0000430	As001G014590	AL7G16340
OG0000430	As007G181940	AL4G10220
OG0000431	As001G019780	AL2G17860
OG0000431	As008G187750	AL1G20710, AL1G20700
OG0000432	As002G044400	AL8G27110
OG0000432	As006G134280	AL7G26330
OG0000432	As002G047750	AL8G31590, AL8G31580
OG0000433	As003G075340	AL2G21170, AL2G21190, AL2G21150
OG0000433	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400	AL1G67500
OG0000435	As001G004050, As006G138290	nbis-gene-139
OG0000436	As011G266430, As002G048360	AL7G26730, AL8G32540, AL3G48500
OG0000437	As003G062850	AL1G47970
OG0000439	As008G194170	AL1G15970, AL1G15980
OG0000439	As012G285510	AL5G41390
OG0000439	As006G127290	AL4G26640
OG0000440	As006G136440	AL4G32280, AL6G28550, AL3G13070
OG0000441	As011G248660	AL3G29280
OG0000441	As011G248650	AL3G29270, AL3G29260
OG0000446	As009G219000	AL8G39430
OG0000446	As001G023650	AL5G11960
OG0000446	As008G183010	AL1G26290
OG0000447	As011G247170	AL3G27410
OG0000447	As004G081330	AL4G29700
OG0000448	As004G089550	AL8G11320, AL8G11330, AL8G11340, AL8G11310
OG0000449	As005G114720	AL8G36460
OG0000449	As010G224870	AL5G24720
OG0000449	As005G114730	AL8G36450
OG0000452	As001G002300, As001G002310	AL8G20400
OG0000453	As002G033360	AL8G41530
OG0000454	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520	AL8G27180, AL8G27190, AL8G27200
OG0000455	As007G178440	nbis-gene-127, nbis-gene-136, nbis-gene-130, nbis-gene-134, nbis-gene-128, nbis-gene-135, nbis-gene-129, nbis-gene-427, nbis-gene-426, nbis-gene-320, nbis-gene-428
OG0000459	As003G058960	AL7G33050, AL7G33120, AL7G33100
OG0000460	As005G099100	nbis-gene-413, nbis-gene-414
OG0000461	As008G199680	AL1G10010
OG0000462	As009G214710	nbis-gene-216, nbis-gene-954, nbis-gene-953, AL7G52140, nbis-gene-883, AL6G26180
OG0000463	As010G224360, As010G224370	AL5G25690, AL5G25670, AL5G25660, AL5G25650, AL5G25640, AL5G25590, AL5G25550, AL5G25630
OG0000465	As001G010580, As004G090240	AL3G43600
OG0000466	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670	AL6G13690, AL6G12720, AL9U10960, AL2G28010
OG0000468	As012G280020	AL5G35780
OG0000468	As006G125920	AL4G28330
OG0000468	As006G144160	AL4G36250
OG0000471	As003G069540, As003G069550	AL1G42800, AL1G42830
OG0000472	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050	AL7G49750
OG0000472	As004G097020	AL7G49760
OG0000473	As012G288330, As005G099530	AL213U10010
OG0000474	As009G216860, As011G261780, As010G222300	AL5G28440, AL7G21330, AL4G14210
OG0000477	As003G057970	AL8G34610
OG0000477	As004G084280, As009G211280	AL6G17270
OG0000481	As001G021880	AL2G14390
OG0000482	As004G077750, As001G028390	AL2G25460
OG0000483	As002G047220	AL8G30960
OG0000484	As009G203850	AL7G14900, AL8G14320, AL8G14230, AL8G14370, AL8G13580, AL8G13620, AL8G13740, AL6G28990
OG0000486	As001G013270, As001G013060	AL3G32470
OG0000487	As006G137570, As008G196100	AL4G29020
OG0000495	As001G001610, As001G001580, As001G001640, As001G001650	AL4G16330
OG0000495	As007G179430, As007G177930	AL7G22530, AL4G13490
OG0000496	As002G041620, As001G004760, As001G012100, As004G090800	AL3G47380
OG0000496	As007G177440	AL8G19140
OG0000498	As002G045150	AL8G28110
OG0000499	As003G056720	AL7G36030
OG0000499	As011G246530	AL3G26790
OG0000499	As012G269540	AL3G26800
OG0000500	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480	AL65U10050, AL8G14290, AL65U10030
OG0000500	As004G087470	AL8G14270, AL8G14220
OG0000501	As010G232220	AL1G49900
OG0000504	As006G143860	AL6G11890, AL4G36740
OG0000504	As002G037010, As002G034340	AL3G20680
OG0000505	As009G215510	AL6G36840, AL6G36790, AL6G36770
OG0000506	As010G234690	AL3G46310, AL2G24380, AL6G16140, AL2G31500, AL106U10010
OG0000510	As001G020890, As001G020900	AL2G16170, AL2G16180, AL2G16160, AL2G16110, AL2G16130
OG0000511	As001G032060	AL3G36330, AL2G13380
OG0000512	As003G061390	AL3G47940, nbis-gene-1788, nbis-gene-1789
OG0000513	As006G146210	AL5G34560
OG0000513	As005G114770	AL5G24770, AL8G36390
OG0000514	As011G252640, As011G252630	AL3G34080
OG0000515	As012G267810	AL1G64420, AL1G64410
OG0000521	As003G063570	AL1G49870
OG0000521	As004G080410	AL6G41520
OG0000521	As007G158420	AL2G38650
OG0000522	As004G083810	AL1G47250, AL1G47260, AL1G47270, AL6G44590, AL6G44560, AL6G44600
OG0000523	As012G287730	AL5G44260, AL5G44250
OG0000524	As006G141600, As006G141560, As006G141590	AL3G19190, AL8G20800
OG0000525	As010G241940	AL2G38970
OG0000525	As011G246900	AL3G27100
OG0000525	As012G269710	AL1G62050
OG0000526	As010G223400	AL5G27060
OG0000526	As010G223440	AL5G27010
OG0000529	As005G113510, As005G113490, As005G113470	AL6G33590, AL6G33560
OG0000530	As009G203010, As009G203020, As009G203100, As009G203060, As009G202740	AL6G28150, AL6G28110, AL6G28160, AL6G28190
OG0000533	As007G180830	AL4G10780
