Orthogroup	Aethionema_saxatile	Arabis_alpina
OG0000146	As002G047190	Aa_G643460.h1.t1, Aa_G732190.h1.t1
OG0000147	As011G265720	Aa_G190130.h1.t1
OG0000147	As001G002190	Aa_G620370.h1.t1
OG0000147	As002G049060	Aa_G307400.h1.t1
OG0000147	As010G243490	Aa_G21590.h1.t1
OG0000147	As010G227330	Aa_G157270.h1.t1, Aa_G490420.h1.t1
OG0000147	As011G259420	Aa_G241680.h1.t1, Aa_G194510.h1.t1
OG0000149	As010G224610	Aa_G28300.h1.t1, Aa_G482950.h1.t1, Aa_G550820.h1.t1, Aa_G550810.h1.t1, Aa_G550830.h1.t1, Aa_G550790.h1.t1, Aa_G550840.h1.t1, Aa_G28290.h1.t1, Aa_G482910.h1.t1, Aa_G28310.h1.t1
OG0000150	As010G225180, As010G225220, As010G225210	Aa_G251660.h1.t1
OG0000151	As007G166070	Aa_G2000.h1.t1
OG0000151	As006G141980, As006G133740	Aa_G24370.h1.t1
OG0000151	As011G263600	Aa_G70150.h1.t1
OG0000151	As002G047900	Aa_G580840.h1.t1
OG0000151	As001G030700	Aa_G688860.h1.t1, Aa_G135580.h1.t1
OG0000154	As007G152520, As009G210670, As009G210600, As007G163150, As009G210630	Aa_G162640.h1.t1, Aa_G280540.h1.t1
OG0000154	As002G034300	Aa_G403550.h1.t1
OG0000154	As005G107550	Aa_G85370.h1.t1
OG0000155	As003G059350	Aa_G438370.h1.t1, Aa_G58940.h1.t1, Aa_G58970.h1.t1, Aa_G321560.h1.t1, Aa_G301510.h1.t1
OG0000156	As012G287040, As012G287050	Aa_G48820.h1.t1, Aa_G978220.h1.t1
OG0000156	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1
OG0000161	As001G013550, As001G029600, As001G029610	Aa_G61530.h1.t1, Aa_G716440.h1.t1, Aa_G61470.h1.t1, Aa_G61460.h1.t1, Aa_G302470.h1.t1, Aa_G260740.h1.t1
OG0000162	As012G286460	Aa_G208990.h1.t1
OG0000162	As012G286440	Aa_G77240.h1.t1
OG0000162	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570	Aa_G208950.h1.t1, Aa_G573270.h1.t1
OG0000162	As005G102210	Aa_G175290.h1.t1, Aa_G175310.h1.t1
OG0000162	As005G102220	Aa_G175300.h1.t1
OG0000165	As011G245360	Aa_G50920.h1.t1
OG0000166	As004G081580, As001G006820, As003G064800, As010G230400, As010G226530, As002G041150, As009G205490, As001G005350, As008G194830, As002G036330, As008G185730, As010G227240, As009G213530, As001G028210, As006G147470, As012G278710, As009G209860, As012G278700, As009G212490, As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080	Aa_G209590.h1.t1
OG0000167	As003G057890	Aa_G148400.h1.t1
OG0000171	As001G020870	Aa_G193050.h1.t1
OG0000171	As004G097180	Aa_G473510.h2.t1, Aa_G473510.h1.t1
OG0000175	As011G263590	Aa_G180380.h1.t1
OG0000184	As004G089570	Aa_G88170.h1.t1
OG0000187	As001G003940	Aa_G145090.h1.t1, Aa_G145050.h1.t1, Aa_G145080.h1.t1
OG0000187	As001G003960	Aa_G74610.h1.t1, Aa_G662460.h1.t1
OG0000190	As004G085680	Aa_G320630.h1.t1, Aa_G320670.h1.t1
OG0000195	As006G130540	Aa_G337660.h1.t1
OG0000195	As004G077390, As001G028840	Aa_G505900.h1.t1
OG0000200	As008G194290	Aa_G462040.h1.t1
OG0000203	As006G136770	Aa_G606990.h1.t1
OG0000207	As003G061070	Aa_G5960.h1.t1, Aa_G335450.h1.t1, Aa_G458000.h1.t1, Aa_G109260.h1.t1, Aa_G335440.h1.t1, Aa_G335460.h1.t1
OG0000208	As003G075160	Aa_G374910.h1.t1
OG0000213	As002G038840	Aa_G317530.h1.t1, Aa_G278650.h1.t1
OG0000217	As001G019850	Aa_G323330.h1.t1
OG0000218	As001G022650	Aa_G328840.h1.t1, Aa_G272200.h1.t1, Aa_G238450.h1.t1, Aa_G222140.h1.t1, Aa_G222160.h1.t1, Aa_G222160.h2.t1, Aa_G222150.h1.t1, Aa_G278170.h1.t1, Aa_G509930.h1.t1, Aa_G509920.h1.t1
OG0000221	As002G040520	Aa_G261700.h1.t1
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	Aa_G129400.h1.t1, Aa_G129390.h1.t1
OG0000224	As001G031540	Aa_G145140.h1.t1, Aa_G74580.h1.t1, Aa_G95380.h1.t1
OG0000225	As003G069680, As003G070050	Aa_G465030.h1.t1, Aa_G778410.h1.t1, Aa_G465020.h1.t1, Aa_G22120.h1.t1, Aa_G465070.h1.t1, Aa_G465010.h1.t1, Aa_G223820.h1.t1, Aa_G22140.h1.t1
OG0000228	As007G159250	Aa_G367290.h1.t1, Aa_G367300.h1.t1
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	Aa_G417160.h1.t1, Aa_G412940.h1.t1, Aa_G271400.h1.t1, Aa_G412920.h1.t1
OG0000231	As004G077900	Aa_G682460.h2.t1, Aa_G682460.h1.t1, Aa_G109980.h1.t1
OG0000232	As002G036540, As006G139020	Aa_G51090.h1.t1, Aa_G216090.h1.t1, Aa_G333250.h1.t1
OG0000234	As012G281460	Aa_G729400.h1.t1
OG0000234	As006G143800	Aa_G351750.h1.t1, Aa_G351740.h1.t1, Aa_G351730.h1.t1, Aa_G351720.h1.t1
OG0000234	As009G210340	Aa_G388320.h1.t1
OG0000242	As008G183340, As008G183330	Aa_G405220.h1.t1, Aa_G246740.h1.t1, Aa_G458140.h1.t1, Aa_G458130.h1.t1
OG0000244	As003G059930	Aa_G213370.h1.t1
OG0000244	As004G085870	Aa_G257170.h1.t1
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	Aa_G213290.h1.t1, Aa_G213300.h1.t1, Aa_G213310.h1.t1, Aa_G213330.h1.t1, Aa_G213320.h1.t1, Aa_G213340.h1.t1, Aa_G213350.h1.t1
OG0000244	As004G085860, As004G085850	Aa_G257190.h1.t1
OG0000246	As011G246640, As012G280010	Aa_G8110.h1.t1
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	Aa_G57040.h1.t1
OG0000249	As006G145310	Aa_G25260.h1.t1
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	Aa_G25290.h1.t1
OG0000257	As002G035710, As012G268510	Aa_G486280.h1.t1
OG0000258	As002G048970	Aa_G69130.h1.t1
OG0000259	As011G261730	Aa_G283920.h1.t1
OG0000268	As001G023230	Aa_G186470.h1.t1
OG0000268	As008G182800	Aa_G135880.h1.t1
OG0000268	As001G023190	Aa_G222610.h1.t1
OG0000268	As005G106920	Aa_G443020.h1.t1
OG0000268	As012G278370	Aa_G348540.h1.t1
OG0000270	As010G237880, As007G156110	Aa_G696850.h4.t1, Aa_G137830.h4.t1, Aa_G637510.h1.t1, Aa_G238260.h4.t1
OG0000273	As007G156970	Aa_G33370.h1.t1
OG0000274	As005G114920	Aa_G620130.h1.t1, Aa_G550740.h1.t1, Aa_G550750.h1.t1
OG0000274	As010G224670, As010G224890	Aa_G318690.h1.t1, Aa_G318700.h1.t1
OG0000274	As006G128840, As006G128830	Aa_G199710.h1.t1
OG0000276	As011G256110	Aa_G455040.h1.t1
OG0000276	As003G058440, As003G058430	Aa_G623040.h1.t1
OG0000277	As004G096710	Aa_G355590.h1.t1, Aa_G355560.h1.t1
OG0000282	As002G055220	Aa_G471610.h1.t1
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	Aa_G1018150.h2.t1, Aa_G1018150.h1.t1, Aa_G219520.h1.t1, Aa_G219510.h1.t1, Aa_G520320.h1.t1, Aa_G520310.h1.t1
OG0000284	As006G139300	Aa_G40840.h1.t1
OG0000284	As006G139290	Aa_G129870.h1.t1, Aa_G129860.h1.t1, Aa_G269360.h1.t1
OG0000293	As011G259530	Aa_G486820.h1.t1, Aa_G306760.h1.t1
OG0000293	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280	Aa_G547460.h1.t1, Aa_G121630.h1.t1, Aa_G72180.h1.t1, Aa_G479570.h1.t1, Aa_G354250.h1.t1, Aa_G206550.h1.t1, Aa_G128470.h1.t1, Aa_G533740.h1.t1, Aa_G348100.h1.t1, Aa_G706510.h1.t1, Aa_G494590.h1.t1
OG0000294	As011G249490	Aa_G53610.h1.t1
OG0000294	As006G145420	Aa_G159770.h1.t1
OG0000294	As005G099900	Aa_G593400.h1.t1
OG0000294	As006G122700	Aa_G46660.h1.t1
OG0000295	As011G246810	Aa_G340170.h1.t1
OG0000297	As005G114280	Aa_G338300.h1.t1
OG0000299	As010G241870, As010G241880	Aa_G634170.h1.t1
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	Aa_G105070.h1.t1
OG0000299	As012G267900	Aa_G108960.h1.t1
OG0000300	As008G194750	Aa_G136630.h1.t1
OG0000303	As003G069740	Aa_G372300.h1.t1, Aa_G438940.h1.t1
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	Aa_G278440.h1.t1, Aa_G10240.h1.t1, Aa_G10250.h1.t1, Aa_G750500.h1.t1, Aa_G278510.h1.t1, Aa_G366540.h1.t1
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	Aa_G345550.h1.t1, Aa_G739110.h1.t1, Aa_G28270.h1.t1, Aa_G234660.h1.t1
OG0000311	As009G202530	Aa_G158100.h1.t1
OG0000311	As012G273730	Aa_G110720.h1.t1
OG0000311	As011G249880	Aa_G310220.h1.t1
OG0000311	As004G077290	Aa_G350120.h1.t1
OG0000311	As001G029000	Aa_G201270.h1.t1
OG0000313	As007G163450, As007G163440	Aa_G37700.h1.t1, Aa_G59060.h1.t1
OG0000313	As003G064930	Aa_G139210.h1.t1, Aa_G751420.h2.t1, Aa_G751420.h1.t1, Aa_G58510.h1.t1, Aa_G895020.h2.t1, Aa_G895020.h1.t1
OG0000314	As008G195840	Aa_G477760.h1.t1
OG0000314	As006G125760	Aa_G477770.h1.t1, Aa_G700850.h1.t1
OG0000314	As006G125450	Aa_G183680.h1.t1
OG0000316	As008G187440, As008G187910	Aa_G705690.h1.t1
OG0000319	As006G129730, As005G114310, As008G191530	Aa_G362130.h2.t1, Aa_G362130.h1.t1, Aa_G461520.h3.t1, Aa_G6660.h2.t1, Aa_G461520.h1.t1, Aa_G362130.h3.t1, Aa_G461520.h4.t1, Aa_G6660.h4.t1, Aa_G345330.h3.t1, Aa_G6660.h1.t1, Aa_G345330.h4.t1, Aa_G6660.h3.t1, Aa_G461520.h2.t1, Aa_G345330.h1.t1, Aa_G362130.h4.t1, Aa_G345330.h2.t1
OG0000321	As001G010170	Aa_G456690.h1.t1, Aa_G41040.h1.t1, Aa_G320580.h1.t1, Aa_G149910.h1.t1
OG0000321	As010G230550	Aa_G213080.h1.t1
OG0000322	As001G014750	Aa_G431220.h1.t1
OG0000323	As002G045490	Aa_G88090.h1.t1
OG0000327	As008G195090, As008G195100, As011G263130	Aa_G349980.h1.t1
OG0000328	As001G029880	Aa_G408720.h1.t1
OG0000328	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070	Aa_G365270.h1.t1, Aa_G365280.h1.t1
OG0000329	As007G180560	Aa_G553550.h1.t1
OG0000332	As002G033230	Aa_G478070.h2.t1, Aa_G478060.h2.t1, Aa_G478060.h1.t1, Aa_G478070.h1.t1
OG0000332	As011G251780, As012G272450	Aa_G164530.h1.t1, Aa_G180990.h2.t1, Aa_G180990.h1.t1, Aa_G164530.h2.t1
OG0000334	As012G277630	Aa_G297410.h1.t1
OG0000334	As006G146780	Aa_G272430.h1.t1, Aa_G99620.h1.t1, Aa_G99630.h1.t1
OG0000338	As008G188190, As008G188080, As001G019490, As001G019290	Aa_G151440.h1.t1
OG0000339	As003G061400	Aa_G439790.h1.t1
OG0000339	As005G101130, As012G287430	Aa_G17010.h1.t1
OG0000340	As005G103820	Aa_G581270.h1.t1, Aa_G581260.h1.t1, Aa_G761680.h1.t1, Aa_G761680.h2.t1
OG0000340	As005G103800, As005G103810	Aa_G125250.h1.t1, Aa_G125240.h1.t1, Aa_G284420.h1.t1, Aa_G10190.h1.t1, Aa_G761690.h1.t1
OG0000344	As005G110100	Aa_G31240.h1.t1
OG0000348	As002G041810	Aa_G654900.h1.t1
OG0000351	As009G207800	Aa_G191190.h1.t1
OG0000351	As011G246700, As011G246690	Aa_G317650.h1.t1
OG0000351	As009G207810, As011G246650	Aa_G791070.h1.t1
OG0000351	As007G177900	Aa_G317670.h1.t1
OG0000352	As007G153380	Aa_G647850.h1.t1
OG0000358	As006G124930, As008G196330	Aa_G341210.h1.t1
OG0000358	As008G196390	Aa_G359940.h1.t1, Aa_G359930.h1.t1
OG0000359	As012G275420	Aa_G336950.h1.t1, Aa_G12110.h1.t1
OG0000360	As005G119730	Aa_G180800.h1.t1
OG0000362	As009G205230	Aa_G21490.h1.t1, Aa_G30130.h1.t1
OG0000362	As007G152630	Aa_G278340.h1.t1
OG0000368	As003G073560, As003G073580	Aa_G767750.h1.t1, Aa_G728130.h1.t1
OG0000368	As003G073600, As003G073590	Aa_G767760.h1.t1
OG0000370	As007G153440	Aa_G274920.h1.t1, Aa_G377760.h1.t1, Aa_G417850.h1.t1
OG0000371	As005G099710, As005G099720	Aa_G493010.h1.t1, Aa_G249900.h1.t1, Aa_G734680.h1.t1, Aa_G41660.h1.t1, Aa_G249890.h1.t1
OG0000374	As012G273470, As012G273550	Aa_G370080.h1.t1
OG0000377	As001G021080	Aa_G296490.h1.t1
OG0000377	As001G021090	Aa_G291290.h1.t1
OG0000382	As006G122900	Aa_G191340.h1.t1
OG0000382	As009G207590	Aa_G619030.h1.t1
OG0000383	As003G069230	Aa_G204960.h1.t1
OG0000384	As011G247740	Aa_G173540.h1.t1, Aa_G173550.h1.t1
OG0000386	As012G276900, As012G276880	Aa_G14220.h1.t1
OG0000389	As001G003830	Aa_G737250.h1.t1
OG0000391	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360	Aa_G292720.h1.t1, Aa_G292700.h1.t1
OG0000392	As010G221200, As010G221190, As010G221180	Aa_G682470.h2.t1, Aa_G682470.h1.t1, Aa_G379460.h1.t1, Aa_G320960.h1.t1
OG0000396	As001G026970	Aa_G303210.h1.t1
OG0000396	As001G026990, As001G027000, As001G027010	Aa_G734010.h1.t1, Aa_G626840.h1.t1, Aa_G303250.h1.t1, Aa_G303240.h1.t1
OG0000398	As012G268810	Aa_G375510.h1.t1, Aa_G375500.h1.t1
OG0000404	As012G276100, As006G144680, As002G037330	Aa_G307560.h1.t1, Aa_G313390.h2.t1, Aa_G313390.h1.t1
OG0000405	As002G037730	Aa_G95680.h1.t1, Aa_G639850.h1.t1, Aa_G412930.h1.t1
