Orthogroup	Aethionema_saxatile	Brassica_rapa
OG0000010	As002G038660, As004G091490, As006G148670, As002G039770	XP_033136253.1
OG0000012	As007G176710	XP_033134299.1
OG0000013	As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120	XP_033138760.1, XP_009124167.1, XP_033134220.1, XP_033148484.1, XP_033131813.1, XP_009123338.2, XP_033131808.1, XP_033133991.1, XP_033131108.1, XP_033129945.1, XP_033143385.1, XP_033139571.1, XP_033143261.1, XP_033139051.1, XP_033134223.1, XP_033146993.1, XP_033147620.1, XP_009123559.2, XP_033129441.1
OG0000014	As010G230580	XP_033133218.1
OG0000015	As011G257220	XP_033146964.1
OG0000015	As010G225860	XP_033136397.1, XP_033137014.1, XP_033138269.1, XP_009113103.2, XP_033146229.1, XP_033139829.1, XP_033143581.1, XP_018509525.1, XP_033143451.1
OG0000015	As011G262280	XP_009145186.1
OG0000015	As011G260400	XP_033148829.1, XP_033148475.1
OG0000017	As006G147350	XP_033132853.1, XP_033139109.1
OG0000019	As009G203070	XP_033144010.1
OG0000019	As012G281430, As001G013530	XP_033139375.1, XP_033135200.1
OG0000019	As010G228190	XP_033131994.1, XP_033139088.1
OG0000020	As007G165150, As001G010310, As001G015320	XP_033134461.1
OG0000021	As003G071480, As010G232120	XP_009119509.1, XP_009113517.1, XP_033146211.1, XP_033131873.1, XP_033142170.1, XP_033143214.1, XP_033146253.1
OG0000023	As003G061360	XP_009136778.1, XP_009136797.2, XP_033143898.1, XP_009137329.1
OG0000023	As003G061290	XP_009136911.1, XP_033143991.1
OG0000023	As004G084560, As004G084580, As004G084570	XP_009108162.1, XP_009108168.1
OG0000023	As003G061280	XP_009137325.1
OG0000023	As003G061270	XP_009108593.2, XP_033132924.1, XP_033143803.1, XP_009136374.2, XP_009114807.1, XP_009137330.1
OG0000029	As004G091740, As005G109110	XP_009123725.2, XP_033145957.1, XP_033143361.1, XP_033133927.1
OG0000029	As004G091750, As003G064310	XP_033145454.1
OG0000031	As001G032000	XP_009112698.1
OG0000031	As009G202600	XP_009121467.1
OG0000031	As006G134510	XP_009140073.1, XP_009114567.1, XP_009142868.1
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	XP_009108047.1, XP_009109092.2, XP_009136929.1, XP_009137321.1
OG0000033	As003G059410, As003G059430, As003G059400	XP_009137188.1, XP_009134716.1
OG0000033	As003G061210, As003G061160	XP_033137152.1, XP_033143973.1, XP_033143795.1, XP_033143970.1, XP_009137317.1, XP_009108599.1
OG0000033	As004G086230	XP_033136442.1
OG0000037	As009G206430	XP_033139739.1
OG0000044	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110	XP_033141811.1, XP_033147696.1, XP_009145895.1
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	XP_009131641.1, XP_009121020.1, XP_009121024.1, XP_009121026.2, XP_009121021.2, XP_009131628.1, XP_009126232.1, XP_009126237.2, XP_009126228.2, XP_009126235.1, XP_009126238.1, XP_009121028.1, XP_009121031.2, XP_009126231.2, XP_009131627.1, XP_009126229.1, XP_009121025.2, XP_009131630.2, XP_009131624.1
OG0000049	As007G177650, As001G000050	XP_033147559.1
OG0000049	As002G044530	XP_009120440.2, XP_033138682.1
OG0000053	As011G257960, As001G007050, As012G281440, As010G228180, As008G190210, As007G176800, As001G006000, As005G110970, As002G037180, As008G190350, As001G001110, As002G040700, As007G164190, As007G164220, As007G179360, As008G193110	XP_009145037.2, XP_009111372.1, XP_009117179.1, XP_009103786.3
OG0000054	As004G090600	XP_033142357.1, XP_018510166.2, XP_033133480.1, XP_033147005.1, XP_033139689.1, XP_033136013.1, XP_033134954.1, XP_033139139.1, XP_033133474.1, XP_033146466.1, XP_009142118.2, XP_033146227.1, XP_033142442.1, XP_033147250.1, XP_009146086.3, XP_033133008.1, XP_033145348.1, XP_033133733.1, XP_009116216.2, XP_033134663.1, XP_033142529.1, XP_033131432.1, XP_009113835.2, XP_033144022.1, XP_033129213.1, XP_033128634.1
OG0000054	As011G258570, As001G015330, As001G010290, As001G006440	XP_033135782.1, XP_009130102.2
OG0000055	As001G022050	XP_009149950.1
OG0000056	As007G178620	XP_033148496.1, XP_033129519.1, XP_033128162.1, XP_033146737.1, XP_009145557.2, XP_033134361.1, XP_033128616.1, XP_009122875.1, XP_009115922.2, XP_033141779.1
OG0000066	As002G052230	XP_009104699.1, XP_009131189.1, XP_009130061.1, XP_009125263.1, XP_018511751.1
OG0000066	As005G118450	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1
OG0000067	As011G256070, As011G256050	XP_033144949.1, XP_033144954.1, XP_009122279.3, XP_033137765.1
OG0000073	As006G137430	XP_009136811.1, XP_018513381.1, XP_033140521.1
OG0000073	As002G034500, As002G034570, As002G034640	XP_009123255.2
OG0000078	As004G095030	XP_033148565.1, XP_033138831.1, XP_033140785.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_018512940.2, XP_033147279.1, XP_033143194.1, XP_033143619.1, XP_033148618.1, XP_033148616.1, XP_009119775.3
OG0000079	As012G285110	XP_018510392.1, XP_009132838.1, XP_009117247.1, XP_009116567.1, XP_009116566.1, XP_018509949.2, XP_033130624.1, XP_009104177.1
OG0000083	As006G138550	XP_033133290.1, XP_033133266.1, XP_009108377.1, XP_009105094.1, XP_009104915.1, XP_009104914.1, XP_009127868.1, XP_009106478.1, XP_009105808.2, XP_018515224.2, XP_009107240.1, XP_009124082.1
OG0000085	As001G000080	XP_033148503.1
OG0000086	As009G216030, As009G216300, As009G216040	XP_033135741.1, XP_033136271.1, XP_033135743.1, XP_009124087.2, XP_009124650.2, XP_033135477.1, XP_033135744.1, XP_033135687.1, XP_033136269.1, XP_009124058.2, XP_033135742.1, XP_033136268.1, XP_033136272.1, XP_033135685.1, XP_033135749.1, XP_033135747.1, XP_033135746.1, XP_033136270.1, XP_033135748.1, XP_033134284.1, XP_033134283.1, XP_033135684.1, XP_033135688.1, XP_033135686.1, XP_033134282.1
OG0000087	As010G222260	XP_009150907.1
OG0000087	As006G128780	XP_009141007.2, XP_009144365.1
OG0000087	As002G051000	XP_009121863.1
OG0000087	As012G274980	XP_018514901.1
OG0000087	As004G086530	XP_009123590.1, XP_009113926.1, XP_009101721.2
OG0000087	As003G058850	XP_009134084.2, XP_009108485.1, XP_009137158.2
OG0000087	As010G237710	XP_009106234.1
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	XP_009140910.1, XP_009140909.1, XP_009144708.1, XP_018509698.1, XP_033132378.1, XP_009145790.1, XP_009149894.1, XP_009113892.3, XP_009131995.2, XP_009116363.1, XP_033142283.1, XP_009119422.1
OG0000088	As010G223910	XP_018508112.1
OG0000089	As002G053510	XP_009131124.2, XP_033138402.1, XP_009125344.2
OG0000089	As010G224530, As005G115200	XP_033139189.1, XP_009150339.2, XP_009150245.1, XP_009120445.1, XP_009149973.1, XP_009131999.1
OG0000090	As003G065330	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000090	As012G273080	XP_033136464.1, XP_009123589.1
OG0000093	As012G284680, As012G284700, As012G284660	XP_009138966.1, XP_009138965.1, XP_009104130.1, XP_009104131.1
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	XP_009110937.1, XP_033135887.1
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	XP_033133736.1, XP_009148793.2, XP_033135443.1, XP_009118104.3, XP_018510403.1, XP_018510931.2, XP_009110666.1, XP_033134902.1, XP_009118092.2
OG0000102	As002G042100	XP_033134130.1
OG0000104	As006G129210, As006G129180, As006G129160	XP_033145187.1, XP_033131572.1
OG0000104	As012G271190, As012G271200	XP_009147730.1, XP_009144873.1
OG0000104	As006G129190	XP_009140956.1
OG0000106	As002G041170, As002G041390, As002G041440	XP_033146796.1
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220	XP_018514730.2
OG0000107	As011G252340	XP_009107347.1, XP_009117328.1, XP_009111243.1, XP_009145675.1, XP_009136238.1
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	XP_009150964.1, XP_009130073.1, XP_033144223.1, XP_009137095.2, XP_033143042.1, XP_009120753.1, XP_033141220.1
OG0000111	As002G048150	XP_033136550.1
OG0000114	As006G137050, As006G137080	XP_033142504.1, XP_033142547.1, XP_033142785.1, XP_009113973.2, XP_033130500.1, XP_018508210.2
OG0000116	As011G261080, As012G277730, As011G256700, As005G108990, As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410	XP_033143155.1, XP_033140094.1, XP_033144252.1, XP_033142122.1, XP_033128680.1, XP_033134536.1, XP_018509424.1, XP_033143756.1, XP_033139777.1, XP_033134845.1
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1
OG0000123	As008G183790, As008G183770	XP_033137383.1
OG0000123	As008G183750	XP_009124814.1, XP_009142142.1
OG0000123	As008G183720	XP_009105059.1, XP_009110577.1, XP_009105445.1
OG0000125	As006G146230	XP_009139383.1, XP_009116061.1
OG0000125	As012G277440	XP_009103877.2
OG0000125	As005G113770	XP_009131894.1, XP_009120626.1
OG0000125	As005G114700, As010G224880	XP_009120513.1
OG0000125	As006G129500	XP_009133865.1, XP_009103710.2, XP_009140934.1
OG0000130	As005G110830	XP_033138885.1
OG0000130	As010G226930, As002G040800, As008G191120	XP_033139204.1, XP_033139206.1, XP_033130109.1, XP_033139257.1, XP_033139384.1, XP_033139288.1, XP_033139213.1, XP_033139243.1, XP_033139062.1, XP_033148890.1, XP_033139506.1, XP_033139372.1, XP_033139097.1, XP_033139064.1, XP_033143333.1, XP_033139363.1, XP_033138947.1, XP_033139543.1, XP_033139216.1, XP_033139341.1, XP_033139011.1, XP_033139146.1, XP_033139032.1, XP_033139381.1, XP_033138861.1, XP_033141145.1, XP_033131597.1, XP_033132016.1, XP_033139170.1, XP_033138937.1, XP_033138886.1, XP_033139214.1, XP_033141929.1, XP_033146982.1, XP_033130754.1
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	XP_033139533.1, XP_033130755.1, XP_033128569.1, XP_033147093.1, XP_009115089.3, XP_033137203.1, XP_033129350.1, XP_033134137.1, XP_033133914.1, XP_009144918.2, XP_033131816.1, XP_033136624.1, XP_033148101.1
OG0000136	As001G028730	XP_033130821.1, XP_009132807.1
OG0000136	As005G116580, As005G116570	XP_033147599.1
OG0000138	As004G077560, As004G078140	XP_033131017.1
OG0000138	As001G027950, As001G027940, As007G161530	XP_009104951.1, XP_009105716.1, XP_009105715.2, XP_009105714.1, XP_009151767.2
OG0000139	As006G149220, As004G090290	XP_033139417.1, XP_033139151.1, XP_033139496.1, XP_009123582.1, XP_033139112.1, XP_033139560.1, XP_033138953.1, XP_033138866.1, XP_033139320.1
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	XP_033141238.1, XP_033142717.1, XP_009126729.2, XP_033141242.1, XP_009126731.2, XP_009145270.2, XP_033141241.1, XP_033141237.1, XP_033142716.1, XP_009120430.1
OG0000142	As003G060670	XP_033145172.1
OG0000143	As007G177750	XP_033139202.1, XP_033144231.1, XP_033143521.1, XP_033139540.1, XP_033141445.1, XP_033137454.1, XP_033128921.1
OG0000146	As002G047180	XP_009120051.1, XP_009132642.1
OG0000146	As002G047190	XP_033138715.1, XP_009132393.1
OG0000147	As011G265720	XP_009102205.2, XP_009112568.1, XP_009150710.2
OG0000147	As001G002190	XP_009109000.1
OG0000147	As002G049060	XP_033141904.1, XP_009120261.2
OG0000147	As010G243490	XP_009106729.2, XP_018508569.2
OG0000147	As010G227330	XP_009128205.1
OG0000147	As011G259420	XP_018513014.1
OG0000149	As010G224610	XP_018510745.1, XP_009126677.2, XP_009131982.1, XP_009126681.1, XP_033140133.1, XP_009126683.1, XP_009150292.1
OG0000150	As010G225180, As010G225220, As010G225210	XP_033139673.1
OG0000151	As007G166070	XP_009144093.1, XP_009109116.1
OG0000151	As006G141980, As006G133740	XP_009135093.1, XP_009146989.1, XP_009123804.1
OG0000151	As011G263600	XP_009136334.1, XP_009121200.1
OG0000151	As002G047900	XP_018510771.1, XP_018512593.2
OG0000151	As001G030700	XP_009112816.1, XP_009112891.1
OG0000154	As007G152520	XP_009110463.1, XP_009149047.1
OG0000154	As009G210670	XP_009120551.1, XP_009135236.2
OG0000154	As005G107550	XP_009115390.1, XP_033143098.1, XP_033134270.1
OG0000155	As003G059350	XP_009143289.2, XP_009137650.1, XP_009105220.1, XP_009124785.2, XP_009133539.2, XP_018508817.2, XP_033130819.1, XP_033130815.1, XP_033137245.1, XP_009134691.2
OG0000156	As012G287040, As012G287050	XP_009138804.1, XP_009138803.1, XP_033146706.1
OG0000156	As001G028010	XP_009116769.1
OG0000161	As001G013550, As001G029600, As001G029610	XP_009130179.2, XP_009130183.1, XP_033145048.1, XP_009127389.1
OG0000162	As012G286440	XP_033134420.1
OG0000162	As005G102210	XP_009143082.1
OG0000164	As011G264140, As011G262780	XP_018513023.1
OG0000165	As001G011340, As001G010810, As001G010990, As012G282150	XP_033137724.1, XP_018515086.1
OG0000166	As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080	XP_009121367.1
OG0000167	As003G057890	XP_009132947.2
OG0000168	As008G194570	XP_033129330.1
OG0000169	As010G239290	XP_033128100.1, XP_033128105.1
OG0000171	As003G073770	XP_009104952.1
OG0000171	As009G200410	XP_033137829.1
OG0000175	As007G156270	XP_009110241.1
OG0000175	As010G237650	XP_009104695.1
OG0000175	As011G263590	XP_009107160.1
OG0000184	As004G089570	XP_033131052.1, XP_033143411.1, XP_018509904.2, XP_018511330.2, XP_018513830.1, XP_033145096.1, XP_033141113.1
OG0000187	As001G003940	XP_033141740.1
OG0000187	As001G003960	XP_009138031.1, XP_009108912.2
OG0000190	As004G085680	XP_033136390.1, XP_009134310.1, XP_009134313.1, XP_009114564.1, XP_009134304.1, XP_009114346.2, XP_033142043.1, XP_009134308.2, XP_033136829.1, XP_033142131.1, XP_033141427.1, XP_009144510.1, XP_009114566.2, XP_009144506.1, XP_009144502.1
OG0000195	As001G028840	XP_009105204.1
OG0000200	As008G194290	XP_009119459.1
OG0000203	As006G136770	XP_033136263.1, XP_033135940.1
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	XP_009135819.1
OG0000207	As003G061070	XP_009106592.3, XP_033132165.1, XP_033128821.1, XP_033129810.1, XP_009151530.2, XP_033129411.1, XP_033128822.1, XP_009106589.1, XP_033136142.1
OG0000208	As003G075220	XP_033133007.1, XP_009109464.2, XP_009109462.1, XP_033133165.1, XP_033145563.1, XP_009109465.1, XP_033139004.1
OG0000208	As003G075160	XP_009123569.1, XP_009151941.1
OG0000213	As002G038840	XP_033145539.1, XP_009140442.1, XP_033136677.1, XP_033130301.1, XP_009133997.1
OG0000218	As001G022650	XP_009117861.2, XP_009148880.1, XP_009109296.1, XP_009123066.1, XP_009114232.1, XP_009101339.1, XP_009129226.1
OG0000219	As001G028510, As001G028520, As001G028500, As001G028480	XP_033129569.1
OG0000219	As003G064990	XP_009150384.1
OG0000221	As002G040520	XP_033130945.1, XP_033145218.1, XP_033139360.1
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	XP_009128235.1, XP_009104620.1, XP_009128234.1, XP_009101726.1
OG0000224	As001G031540	XP_009126727.1, XP_009108914.1, XP_033130758.1, XP_033130761.1, XP_033143449.1, XP_009112729.1
OG0000225	As003G069680, As003G070050	XP_009115238.1
OG0000228	As007G159250	XP_009110123.1
OG0000228	As010G233780, As010G233750	XP_009115561.1
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	XP_009127828.1, XP_009105750.1, XP_009127830.1, XP_033130552.1, XP_033141574.1, XP_009127833.1
OG0000231	As004G077900	XP_033137004.1, XP_033137966.1, XP_033131398.1, XP_033131015.1
OG0000231	As001G028220	XP_009127540.1, XP_009105266.1
OG0000232	As002G036540, As006G139020	XP_009134056.1, XP_033145018.1, XP_018508728.1, XP_009122402.1, XP_009135147.2, XP_009140710.1, XP_009136266.2, XP_033138822.1
OG0000234	As012G281460	XP_009139199.2
OG0000234	As006G143800	XP_009139200.1, XP_033148760.1
OG0000234	As009G210340	XP_009121752.1, XP_033134394.1
OG0000237	As010G229740	XP_033138965.1, XP_033139265.1, XP_033139531.1, XP_033138898.1, XP_033139125.1, XP_033139379.1, XP_033139165.1, XP_033139278.1, XP_033139030.1
OG0000237	As011G257810	XP_033140973.1, XP_033131806.1, XP_033145196.1, XP_033140618.1
OG0000242	As008G183340, As008G183330	XP_009123234.1, XP_009119414.1, XP_009117938.1, XP_009110562.1, XP_009118142.1, XP_009110559.1, XP_009110560.1, XP_009117939.2, XP_009148687.1
OG0000244	As003G059930	XP_009137217.1, XP_009135314.1
OG0000244	As004G085820	XP_009114544.1
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	XP_009108531.1
OG0000244	As004G085860, As004G085850	XP_009134322.1
OG0000246	As011G246640, As012G280010	XP_033145473.1, XP_033144422.1
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	XP_009102525.1
OG0000249	As006G145310	XP_009141608.1, XP_009114411.2
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	XP_009143556.1, XP_009143557.1, XP_009133099.1
OG0000253	As003G066460	XP_033143947.1
OG0000258	As002G048970	XP_009132141.2
OG0000259	As011G261730	XP_033141749.1, XP_033138746.1, XP_033129406.1, XP_033141192.1, XP_033143256.1, XP_033131611.1, XP_033132848.1, XP_033131443.1, XP_033148492.1, XP_033145269.1, XP_033136504.1, XP_033131251.1, XP_033134190.1, XP_033134388.1, XP_033131516.1, XP_033138794.1, XP_033140119.1, XP_033145204.1, XP_033143019.1, XP_033134197.1, XP_033131811.1, XP_033136127.1, XP_033136495.1, XP_033128999.1, XP_033138372.1, XP_033148234.1, XP_033130779.1, XP_033143293.1, XP_033148607.1, XP_033129369.1, XP_033148678.1, XP_033134260.1, XP_033145901.1, XP_033138371.1, XP_033147927.1
OG0000264	As004G086270, As010G229170	XP_009111248.1
OG0000268	As001G023230	XP_009101283.1, XP_009114212.1
OG0000268	As008G182800	XP_009117889.1, XP_009148842.1
OG0000268	As005G106920	XP_033137560.1
OG0000268	As012G278370	XP_009116102.1, XP_018514158.2
OG0000272	As006G146450	XP_009152176.2
OG0000273	As007G156970	XP_018513554.2, XP_009138197.2
OG0000273	As012G273500, As012G273510, As012G273490, As005G107410, As004G078260	XP_009148392.1, XP_033129881.1, XP_009148391.1, XP_009118248.1, XP_009118244.2, XP_009118246.1
OG0000273	As012G273480	XP_009124897.1
OG0000274	As005G114920	XP_009126672.1, XP_009131977.2, XP_009120488.1
OG0000274	As006G128840, As006G128830	XP_009118237.2, XP_009144371.1
OG0000276	As011G256110	XP_009137137.2, XP_009148250.1, XP_009130004.1
OG0000276	As007G163350, As007G163430	XP_033145088.1, XP_009133566.2
OG0000277	As004G096720	XP_009146804.1
OG0000279	As001G004840, As010G237280	XP_033144959.1
OG0000279	As007G165600	XP_033134301.1, XP_033134300.1, XP_033141155.1, XP_033140527.1, XP_033147239.1, XP_009151548.2
OG0000279	As007G178830	XP_033129405.1
OG0000280	As004G093300	XP_033131934.1
OG0000280	As002G035770	XP_033129583.1
OG0000282	As002G055220	XP_009122326.1, XP_033144505.1
OG0000283	As006G125110	XP_009123895.1, XP_009101789.1
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	XP_009113997.2, XP_009123889.1, XP_009101790.1, XP_033136159.1, XP_009101973.1, XP_009123893.1, XP_009123946.2, XP_033136273.1, XP_033136503.1, XP_033136506.1, XP_033136557.1
OG0000284	As006G139300	XP_033140482.1, XP_009151152.2
OG0000284	As006G139290	XP_033147938.1, XP_009144622.1, XP_009114607.1
OG0000291	As008G188960	XP_033143778.1, XP_033141122.1, XP_009147870.1, XP_009123350.2, XP_033147043.1, XP_033146415.1, XP_033140712.1, XP_033141568.1
OG0000293	As008G188650, As004G094780, As002G042500, As003G064050	XP_033138767.1
OG0000293	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280	XP_033145275.1, XP_009107815.1
OG0000294	As011G249490	XP_009114068.1, XP_009135526.2
OG0000294	As006G145420	XP_009133101.1, XP_009141614.1, XP_033146981.1
OG0000294	As005G099900	XP_009124482.1
OG0000294	As006G122700	XP_009134472.1, XP_009111338.2
OG0000295	As011G246810	XP_009116708.1
OG0000297	As008G198730	XP_009140925.1
OG0000297	As005G114280	XP_009126602.1, XP_033140106.1, XP_033140107.1, XP_009120577.1, XP_033147125.1
OG0000299	As010G241870, As010G241880	XP_009125591.2, XP_009130868.1
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	XP_009140448.1, XP_009140449.1, XP_009117327.1
OG0000300	As008G194750	XP_009136172.2
OG0000303	As003G069740	XP_033141982.1, XP_009119510.2, XP_033131037.1, XP_033131296.1, XP_033137062.1, XP_033130584.1, XP_033137932.1, XP_033133221.1
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	XP_033134008.1, XP_033133188.1, XP_009117653.2, XP_009127955.1, XP_033137191.1, XP_033131924.1
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	XP_009121314.2, XP_009126684.1, XP_009121239.3
OG0000311	As009G202530	XP_009121474.1, XP_009126124.1
OG0000311	As012G273730	XP_009147968.1
OG0000311	As011G249880	XP_009113719.2, XP_009145973.2, XP_009135551.1
OG0000311	As004G077290	XP_009139734.1
OG0000311	As001G029000	XP_009127474.2
OG0000313	As003G058420	XP_009108429.1, XP_033142746.1
OG0000313	As007G163450, As007G163440	XP_009137041.2
OG0000313	As003G064930	XP_009108474.1, XP_018510982.1
OG0000314	As008G195840	XP_009119258.1, XP_009118621.1, XP_009111083.2
OG0000314	As006G125760	XP_018514131.2, XP_033145296.1, XP_009132860.1, XP_009143949.1
OG0000315	As006G137990, As006G137760	XP_033134376.1, XP_033134357.1, XP_009136048.2, XP_033139276.1, XP_033141070.1, XP_033139810.1, XP_033130946.1, XP_033134328.1, XP_009129529.2
OG0000316	As008G187440, As008G187910	XP_009123612.3, XP_009101647.1, XP_009113904.3, XP_009114073.1
OG0000319	As006G129730, As005G114310, As008G191530	XP_009110915.1, XP_009131916.2, XP_033135868.1, XP_009144204.2, XP_009126609.2, XP_009126611.2, XP_009148045.1, XP_009120571.1, XP_033135867.1
OG0000321	As001G010170	XP_033133683.1, XP_009139716.1, XP_009126866.1, XP_033145882.1
OG0000322	As009G214030	XP_009106547.1
OG0000322	As007G153590	XP_009141884.1, XP_018513450.2, XP_009139173.1, XP_009105613.2, XP_009133429.2, XP_009134090.2
OG0000323	As002G045490	XP_033137968.1, XP_009127112.1
OG0000323	As005G112480	XP_009137679.1, XP_009109130.1
OG0000327	As001G019790	XP_033132527.1
OG0000327	As008G195090, As008G195100, As011G263130	XP_033136218.1
OG0000328	As001G029880	XP_009107789.1
OG0000328	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070	XP_009140172.1, XP_009113441.1
OG0000329	As007G180560	XP_009117672.2, XP_009117388.2, XP_009117355.1, XP_009140683.1, XP_009140859.2, XP_033132454.1, XP_018513864.2, XP_009111443.1, XP_033131536.1
OG0000332	As002G033230	XP_009120857.1, XP_009126388.2, XP_033141348.1
OG0000332	As011G251780, As012G272450	XP_009147859.2
OG0000334	As012G277630	XP_009116078.1
OG0000334	As006G146780	XP_009133202.2, XP_009143456.1, XP_009123695.1, XP_009134432.1, XP_009144569.1, XP_009134433.1
