Orthogroup	Aethionema_saxatile	Arabidopsis_thaliana
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	AT3G22650.2
OG0000207	As003G061070	AT1G78740.1, AT1G69630.1, AT1G78750.1, AT1G78760.1, AT1G66300.1, AT1G66310.1, AT1G66290.1, AT1G66320.1, AT1G66640.1, AT4G13985.1, AT1G78730.1, AT1G16940.1
OG0000208	As003G075160	AT5G02900.1, AT4G39510.1
OG0000213	As002G038840	AT2G22980.4, AT2G22970.3, AT2G22920.2, AT2G23000.1, AT2G22990.3, AT2G23010.1, AT3G12203.1
OG0000217	As001G019850	AT1G58400.2, AT1G58410.1, AT1G58848.1, AT1G59218.1, AT1G58807.1, AT1G59124.2, AT1G58602.1, AT1G58390.1
OG0000217	As007G177020	AT1G59780.1
OG0000218	As001G022650	AT1G14930.1, AT1G14940.1, AT1G14950.1, AT1G14960.1, AT3G26450.1, AT3G26460.1, AT4G14060.1, AT2G01530.1, AT2G01520.1
OG0000219	As001G028500, As001G028480	AT1G66870.2, AT1G66852.1, AT4G16165.1, AT1G66855.1
OG0000219	As003G064990	AT5G63230.1, AT5G63225.1
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	AT1G77530.1, AT1G77520.1
OG0000224	As001G031540	AT5G37170.1, AT1G63140.4
OG0000225	As003G069680, As003G070050	AT1G29510.1, AT1G29440.1, AT5G27780.1, AT1G29430.1, AT1G29420.2, AT1G29460.2, AT1G29500.1
OG0000228	As007G159250	AT5G28010.1, AT5G28000.1
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	AT1G70890.1, AT1G70840.1
OG0000231	As004G077900	AT5G38690.1
OG0000231	As001G028220	AT1G67780.1, AT1G67270.1
OG0000232	As002G036540, As006G139020	AT3G05650.1, AT3G05660.1, AT3G11080.1, AT5G27060.2, AT3G11010.2, AT2G15080.1, AT5G25910.1, AT2G15042.1, AT3G28890.1
OG0000234	As012G281460	AT3G55100.1
OG0000234	As006G143800	AT3G55090.1, AT2G39350.1
OG0000234	As009G210340	AT5G13580.1
OG0000237	As010G229740, As008G190240, As008G190220, As008G190230, As003G067900, As006G149240, As011G257810	AT1G42190.1
OG0000242	As008G183340, As008G183330	AT2G15350.1, AT2G15370.1, AT2G15360.1, AT2G15390.2, AT1G14080.1, AT1G14100.1, AT1G14110.1
OG0000244	As003G059930	AT4G21860.1
OG0000244	As004G085820	AT4G04800.1
OG0000244	As004G085870	AT4G04840.1
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	AT4G21840.1, AT4G21830.1, AT4G21850.1
OG0000244	As004G085860, As004G085850	AT4G04810.1, AT4G04830.1
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	AT1G57790.1
OG0000249	As006G145310	AT2G36750.1
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	AT2G36790.1, AT2G36800.1
OG0000253	As003G066460	AT2G12880.1
OG0000256	As006G142430	AT2G40440.1, AT3G29740.1
OG0000257	As002G035710, As012G268510	AT3G10455.1
OG0000258	As002G048970	AT5G57260.1
OG0000264	As004G086270, As010G229170	AT4G05230.1
OG0000268	As001G023230	AT2G02040.1
OG0000268	As001G023220, As001G023200	AT1G62200.3
OG0000268	As005G106920	AT5G01180.1
OG0000268	As012G278370	AT3G54140.1
OG0000270	As010G237880	AT1G75630.2
OG0000271	As004G086280	AT4G05320.2
OG0000273	As007G156970	AT5G51470.1
OG0000273	As012G273480	AT1G48660.2, AT1G48670.1
OG0000274	As005G114920	AT5G59720.1
OG0000274	As006G128840, As006G128830	AT2G29500.1
OG0000276	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920	AT4G13310.1, AT4G13290.1
OG0000276	As011G256110	AT5G42590.1
OG0000276	As007G163350, As007G163430	AT4G20235.1
OG0000277	As004G096710	AT4G15700.1, AT4G15690.1
OG0000282	As002G055220	AT5G07550.1
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	AT5G43360.1, AT5G43370.1, AT5G43350.1
OG0000284	As006G139300	AT5G26630.1
OG0000284	As006G139290	AT5G27810.1, AT5G48670.1
OG0000293	As008G188650, As004G094780, As002G042500, As003G064050	AT5G32613.1
OG0000294	As011G249490	AT3G17390.1
OG0000294	As006G145420	AT2G36880.1
OG0000294	As006G122700	AT4G01850.1
OG0000294	As008G198060	AT1G02500.1
OG0000297	As008G198730	AT4G36590.1
OG0000297	As005G114280	AT5G60440.1
OG0000299	As010G241870, As010G241880	AT3G44970.1
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	AT1G78490.1
OG0000299	As012G267900	AT1G55940.2
OG0000303	As003G069740	AT2G19365.1, AT2G20625.2
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	AT5G48770.1, AT1G72860.2, AT4G09360.1, AT5G40100.1, AT1G17600.1, AT1G72840.2, AT4G09430.1
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	AT1G21620.1, AT1G35850.1, AT5G59280.1
OG0000311	As009G202530	AT5G16570.1
OG0000311	As012G273730	AT1G48470.1
OG0000311	As011G249880	AT3G17820.1
OG0000311	As004G077290	AT5G37600.1
OG0000311	As001G029000	AT1G66200.3
OG0000313	As003G058420	AT3G29190.1, AT4G20200.1, AT4G20230.2, AT1G66020.1
OG0000314	As008G195840	AT1G04750.1
OG0000314	As006G125760	AT1G04760.1
OG0000314	As006G125440	AT2G32670.1
OG0000319	As006G129730, As005G114310, As008G191530	AT1G07940.1, AT1G07920.1, AT1G07930.1, AT5G60390.1
OG0000321	As001G010170	AT5G37400.2, AT5G37650.1, AT4G09440.1, AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1, AT5G37470.2, AT5G37460.1
OG0000321	As010G230550	AT2G03010.1
OG0000322	As009G214030	AT1G78400.1
OG0000322	As007G153590	AT2G26620.1, AT2G15470.1, AT2G15450.1, AT2G15460.1, AT4G13760.1, AT2G40310.1, AT1G43100.1, AT1G43090.1, AT1G43080.1
OG0000323	As002G045490	AT5G54145.1
OG0000323	As005G112480	AT4G27652.1
OG0000327	As008G195090, As008G195100, As011G263130	AT1G23720.2
OG0000328	As001G029880	AT4G14630.1
OG0000329	As007G180560	AT2G44700.1, AT2G44630.1, AT4G02310.1
OG0000332	As001G030000	AT1G64740.1
OG0000332	As002G033230	AT5G19770.1, AT5G19780.1
OG0000332	As011G251780, As012G272450	AT4G14960.2, AT1G04820.1, AT1G50010.1
OG0000334	As012G277630	AT3G53810.1
OG0000334	As006G146780	AT2G37710.1, AT4G02420.1, AT4G02410.1
OG0000339	As003G061400	AT4G23400.1
OG0000339	As006G121550	AT4G00430.1
OG0000339	As005G101130, As012G287430	AT3G61430.1
OG0000340	As005G103820	AT2G43510.1
OG0000340	As005G103800, As005G103810	AT2G43535.1
OG0000349	As003G071960	AT1G65735.1
OG0000350	As003G070220, As003G070200	AT1G29740.1
OG0000351	As011G246700, As011G246690	AT3G29410.1
OG0000351	As007G177900	AT1G31950.3, AT3G14520.1, AT3G14540.1
OG0000352	As007G153380	AT1G16930.1
OG0000358	As006G124930, As008G196330	AT1G04270.1, AT5G09510.1
OG0000358	As008G196390	AT5G43640.1, AT5G09500.1, AT1G33850.1, AT5G09490.1
OG0000359	As012G275420	AT2G34430.1
OG0000360	As005G119730	AT5G66890.1, AT5G66900.2
OG0000368	As003G073560, As003G073580	AT4G37330.1, AT4G37320.1
OG0000368	As003G073600, As003G073590	AT1G66540.1, AT4G37340.1, AT4G37360.1, AT4G37370.1
OG0000370	As007G153440	AT1G17020.1, AT1G17010.1, AT4G25310.1, AT4G25300.1
OG0000371	As005G099710, As005G099720	AT1G26540.1, AT2G47230.2, AT1G03300.1, AT1G11420.1, AT2G47220.1
OG0000372	As006G132540, As006G132550	AT4G27170.1, AT4G27140.1, AT4G27160.1, AT4G27150.1
OG0000377	As001G021080	AT1G60750.1
OG0000377	As001G021090	AT1G10810.1
OG0000382	As006G122900	AT3G62560.1, AT4G02080.1
OG0000382	As008G188710	AT1G09180.1
OG0000383	As003G069230	AT1G28590.1, AT1G28610.2, AT1G28600.1, AT1G31550.2, AT2G27360.1
OG0000383	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380	AT1G28570.1, AT1G28580.1
OG0000384	As011G247740	AT1G52810.1
OG0000386	As001G025230, As001G025220, As011G256850	AT3G26200.1, AT3G26190.1
OG0000386	As012G276900, As012G276880	AT3G53290.1, AT3G53305.1, AT3G53300.1, AT5G35715.1
OG0000390	As001G012620	AT2G02290.1, AT5G23470.1
OG0000390	As011G251840	AT2G04930.1, AT3G19595.1, AT3G17550.1
OG0000391	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360	AT1G22340.1
OG0000392	As010G221170	AT3G50290.1
OG0000392	As010G221200, As010G221190, As010G221180	AT5G38130.1, AT3G50300.1
OG0000396	As001G026970	AT3G28345.1
OG0000396	As001G026990, As001G027000, As001G027010	AT3G28415.2, AT3G28380.1, AT3G28390.1, AT3G28360.1
OG0000398	As012G268810	AT1G55210.1
OG0000403	As001G020780, As001G020790	AT1G60240.1
OG0000404	As012G276100	AT3G11510.1, AT2G36160.1, AT3G52580.1
OG0000405	As002G037720, As002G037730, As004G089460, As004G093310, As004G097610	AT4G20220.1
OG0000406	As006G136090	AT5G16970.1, AT5G16980.2, AT5G16990.1, AT5G17000.1, AT3G59845.1, AT5G38000.1, AT5G37940.1, AT5G37980.1, AT3G03080.1
OG0000407	As009G201130, As009G201860	AT1G31000.1, AT4G11590.1, AT5G15670.1, AT5G15660.1, AT1G26515.1, AT1G26510.1, AT1G47800.1, AT1G47810.1
OG0000410	As001G021670, As001G021680	AT1G61550.1, AT1G61500.3, AT1G61480.1, AT1G61490.1, AT1G61430.1, AT1G61400.2, AT1G61440.2, AT1G61420.2, AT1G61460.1
OG0000411	As001G022090	AT1G62040.1
OG0000411	As004G085710	AT4G04620.1
OG0000411	As003G060010	AT4G21980.2
OG0000412	As002G046400	AT5G54640.1
OG0000412	As006G132500	AT4G27230.1
OG0000413	As011G245460	AT3G13520.1
OG0000413	As002G048240	AT4G26320.1, AT5G56540.1
OG0000413	As012G268650	AT1G55330.1
OG0000414	As003G058750, As003G058770, As003G058760	AT1G26390.1, AT1G26410.1, AT1G26380.1, AT1G26400.1, AT1G26420.1, AT4G20800.1
OG0000415	As005G104640	AT5G12090.1, AT5G27510.1, AT2G42550.1
OG0000416	As006G125710	AT2G31862.1, AT2G31720.1, AT2G18810.1
OG0000416	As006G127220, As008G194210	AT1G05615.1, AT2G24670.1
OG0000417	As007G163710, As008G186410	AT3G23950.1, AT3G23970.1, AT1G15680.1
OG0000420	As001G015280	AT2G20620.1
OG0000421	As004G078160, As004G078150	AT5G39150.1, AT5G39180.1, AT5G39120.1, AT5G39110.1, AT5G39100.1, AT5G39160.1, AT5G39190.1, AT5G39130.1
OG0000422	As008G188280, As008G188290, As008G188300	AT1G09500.1, AT1G09510.1, AT1G09480.1, AT1G09490.1
OG0000423	As010G241040	AT1G72730.1
OG0000423	As012G269020	AT1G54270.1
OG0000429	As009G215310	AT5G25400.1
OG0000429	As002G052030	AT5G11230.1
OG0000429	As001G004910	AT4G32390.1, AT2G25520.1
OG0000430	As011G263500	AT2G16600.1
OG0000430	As001G014590	AT4G34870.1
OG0000430	As007G181940	AT2G21130.1
OG0000431	As001G019780	AT1G58360.1
OG0000431	As008G187750	AT1G10010.2
OG0000432	As002G044400	AT5G52640.1
OG0000432	As002G047750	AT5G56030.2, AT5G56010.1, AT5G56000.1
OG0000433	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400	AT1G57750.1
OG0000435	As001G004050, As006G138290	AT1G18770.1
OG0000436	As011G266430, As002G048360	AT4G26230.1, AT5G56710.1, AT2G19740.1
OG0000437	As003G062850	AT1G33590.2
OG0000439	As008G194170	AT1G06020.1, AT1G06030.1
OG0000439	As012G285510	AT3G59480.1
OG0000439	As006G127290	AT2G31390.1
OG0000440	As006G136440	AT2G36180.1, AT5G17470.1, AT3G03400.1
OG0000441	As011G248660	AT3G16460.1
OG0000441	As011G248650	AT3G16450.1, AT3G16440.2
OG0000446	As009G219000	AT5G62540.1
OG0000446	As001G023650	AT2G02760.1
OG0000446	As008G183010	AT1G14400.1
OG0000447	As011G247170	AT3G15060.1
OG0000447	As004G081330	AT2G33870.1
OG0000447	As003G069220	AT1G28550.1
OG0000448	As004G089550	AT5G46960.1, AT5G46950.1, AT5G46940.1, AT5G46930.1, AT5G46970.1
OG0000449	As010G224860	AT3G46010.2
OG0000449	As005G114720	AT5G59890.1
OG0000449	As010G224870	AT3G46000.2
OG0000449	As005G114730	AT5G59880.1
OG0000452	As001G002300, As001G002310	AT5G48070.1
OG0000454	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520	AT5G52750.1, AT5G52760.1, AT5G52770.1
OG0000455	As007G178440	AT1G34795.1, AT1G34830.1, AT1G34815.1, AT1G34840.1, AT1G34850.1, AT1G34810.1, AT1G34820.1, AT1G34800.1, AT1G34805.1, AT1G34825.1, AT1G34792.1, AT1G34860.1, AT1G34930.1, AT1G35035.1, AT1G21835.1, AT1G21925.1, AT1G21928.1, AT1G21866.1, AT1G21864.1, AT5G38378.1, AT5G36805.1, AT5G36720.1, AT3G24465.1, AT1G54775.1, AT1G58242.1, AT5G34828.1, AT1G58245.1, AT1G58248.1
OG0000459	As003G058960	AT4G21080.1, AT4G21040.1, AT4G21030.1, AT4G21050.1
OG0000460	As005G099100	AT1G60090.1, AT1G60270.1, AT1G60260.1
OG0000461	As008G199680	AT1G02205.3
OG0000462	As009G214710	AT2G23142.1, AT2G23148.1, AT5G38435.1, AT5G38440.1
OG0000463	As010G224360, As010G224370	AT3G46720.1, AT3G46700.1, AT3G46690.1, AT3G46650.1, AT3G46680.1
OG0000466	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670	AT5G03390.1, AT1G68960.1
OG0000467	As004G088230, As012G284990	AT4G18730.1, AT5G45775.2, AT3G58700.1
OG0000468	As012G280020	AT3G54700.1
OG0000468	As006G125920	AT2G32830.1
OG0000468	As006G144160	AT2G38940.1
OG0000471	As003G069540, As003G069550	AT1G29080.1, AT1G29110.1
OG0000472	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050	AT5G40240.2
OG0000472	As004G097020	AT5G40230.1
OG0000474	As009G216860, As011G261780, As010G222300	AT3G48930.1, AT4G30800.1
OG0000477	As003G057970	AT5G58420.1
OG0000477	As004G084280, As009G211280	AT5G07090.1, AT2G17360.1
OG0000481	As001G021880	AT1G61730.1, AT4G00390.1
OG0000482	As004G077750, As001G028390	AT1G67090.1
OG0000483	As002G047220	AT5G55410.2
OG0000484	As009G203850	AT4G36140.1, AT5G45050.1, AT5G45260.1, AT5G17890.1
OG0000487	As006G137570, As008G196100, As006G129680, As006G125350	AT3G04400.1
OG0000495	As001G001610, As001G001580, As001G001640, As001G001650	AT2G25150.1
OG0000495	As007G179430, As007G177930	AT2G23510.1
OG0000496	As002G041620, As001G004760	AT2G10975.1
OG0000496	As001G012100, As004G090800	AT3G29645.1
OG0000496	As001G012090	AT3G29637.2, AT1G36675.1
OG0000497	As010G233090	AT4G08267.1
OG0000498	As002G045150	AT5G53400.1
OG0000499	As003G056720	AT4G18360.1
OG0000499	As011G246530	AT3G14415.2
OG0000499	As012G269540	AT3G14420.1
OG0000500	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480	AT5G45080.1
OG0000501	As010G232220	AT1G35190.1
OG0000504	As006G143860	AT5G02610.2, AT2G39390.1
OG0000504	As002G037010, As002G034340	AT3G09500.1
OG0000505	As009G215510	AT5G25180.1, AT5G25130.1, AT5G25120.1, AT5G25140.1
OG0000506	As010G234690	AT5G43610.1, AT2G14670.1, AT1G66570.1, AT5G06170.1, AT1G71890.1
OG0000510	As001G020890, As001G020900	AT1G60500.1, AT1G60530.1
OG0000511	As011G254140	AT3G22120.2
OG0000511	As001G032060	AT1G62500.1
OG0000512	As003G061390	AT4G23350.1, AT4G23355.1, AT4G23360.1, AT4G23365.1, AT4G23370.1, AT4G23373.1, AT2G20170.1, AT4G23390.1, AT4G23380.1
OG0000513	As006G146210	AT3G53610.1
OG0000513	As005G114770	AT3G46060.1, AT5G59840.1
OG0000514	As011G252640, As011G252630	AT3G20360.1
OG0000515	As012G267810	AT1G56140.1, AT1G56130.2
OG0000521	As003G063570	AT1G35160.2
OG0000521	As004G080410	AT4G09000.2
OG0000521	As007G158420	AT1G78300.1
OG0000522	As004G083810	AT1G32940.1, AT1G32950.1, AT1G32960.1, AT4G10540.1, AT4G10510.3, AT4G10550.3
OG0000523	As005G100530	AT2G46495.1
OG0000523	As012G287730	AT5G36001.1, AT2G25410.1
OG0000524	As006G141600, As006G141560, As006G141590	AT3G07820.1, AT5G48140.1
OG0000525	As010G241940	AT1G78570.1
OG0000525	As011G246900	AT3G14790.2
OG0000525	As012G269710	AT1G53500.1
OG0000526	As010G223400	AT3G47780.1
