Orthogroup	Aethionema_saxatile	Odontarrhena_muralis
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	Om003G119630
OG0000089	As002G053510	Om007G292110, Om004G166350
OG0000089	As011G250900	Om002G065930
OG0000089	As012G277570	Om006G254270, Om008G335280
OG0000089	As010G224530, As005G115200	Om006G246310, Om006G246300
OG0000090	As003G065330	Om004G136810
OG0000090	As012G273080	Om002G055690, Om003G124430, Om006G274160
OG0000093	As012G284680, As012G284700, As012G284660	Om003G122050, Om003G122030, Om001G033140, Om003G122020, Om003G122010, Om003G121870
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	Om008G355550, Om008G355560
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	Om005G191670, Om008G342380, Om005G191560, Om005G191920, Om005G192380
OG0000104	As006G129180, As006G129160	Om007G283030
OG0000104	As012G271240, As012G271230	Om003G095400
OG0000104	As012G271220	Om003G095360
OG0000104	As012G271190, As012G271200	Om003G095350
OG0000104	As006G129190	Om007G283060, Om007G283040
OG0000106	As002G041170, As002G041390, As002G041440	Om002G065280, Om002G066780, Om002G065290
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220	Om002G067740
OG0000107	As011G252340	Om004G133090, Om001G020080, Om002G067770
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	Om006G239250, Om003G100270, Om003G100260, Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810, Om006G273840, Om006G273820, Om006G273810
OG0000111	As002G048150	Om006G259270
OG0000112	As011G262130, As011G262140, As009G217680, As009G217690	Om006G237220, Om006G237210, Om001G003630, Om008G359070, Om008G359090, Om008G359060
OG0000114	As006G137050, As006G137080	Om001G037840, Om002G045910, Om002G045900, Om004G135370, Om004G133350, Om003G106720, Om003G106700, Om004G133370, Om004G136120, Om001G008300
OG0000117	As002G041560	Om002G088690
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	Om008G333780
OG0000122	As002G036520	Om003G118900, Om003G118890
OG0000123	As008G183730, As008G183740	Om005G193640
OG0000123	As008G183720	Om005G193560, Om005G193450, Om005G193620, Om005G193610, Om005G193590, Om005G193280, Om005G193230, Om005G193260, Om005G193530
OG0000125	As006G146230	Om006G254380
OG0000125	As005G107620	Om002G052080
OG0000125	As005G113770	Om006G244360
OG0000125	As005G114700, As010G224880	Om006G245540
OG0000125	As006G129500	Om007G283300
OG0000127	As008G186430, As008G186390, As008G185640	Om005G189950, Om005G189960
OG0000130	As012G279550	Om007G309920
OG0000130	As005G110830	Om006G267480, Om004G149990, Om007G304660
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	Om008G358290, Om008G345600, Om001G024110, Om007G315880
OG0000136	As001G028730	Om002G045120
OG0000138	As001G027950, As001G027940, As007G161530	Om005G207670, Om005G207700, Om001G026370
OG0000140	As005G115230	Om006G246590
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	Om006G258900, Om006G244250, Om001G032190, Om006G246600, Om006G247230, Om006G247200, Om006G246640
OG0000143	As007G177750	Om003G106950
OG0000145	As003G069750	Om005G215130
OG0000146	As002G047180	Om003G117350, Om003G097230
OG0000146	As002G047190	Om003G117400, Om003G117360
OG0000147	As011G265720	Om002G086500
OG0000147	As001G002190	Om001G025660
OG0000147	As002G049060	Om007G285990, Om006G249440
OG0000147	As010G243490	Om004G130850
OG0000147	As010G227330	Om006G268290
OG0000147	As011G259420	Om003G106450, Om002G078960
OG0000149	As010G224610	Om006G245860, Om006G245850, Om006G245840, Om007G317470, Om006G256850
OG0000150	As010G225230	Om004G164020
OG0000150	As010G225180, As010G225220, As010G225210	Om007G296930, Om001G010460, Om005G201710, Om003G096700
OG0000151	As007G166070	Om001G021860
OG0000151	As006G141980, As006G133740	Om002G051120
OG0000151	As011G263600	Om002G082850
OG0000151	As002G047900	Om003G118410
OG0000151	As001G030700	Om005G227900
OG0000154	As007G152520	Om005G196960
OG0000154	As009G210670	Om002G056330
OG0000154	As005G107550	Om004G175620
OG0000155	As003G059350	Om001G020030, Om001G007090, Om001G007100
OG0000155	As003G059230, As003G059200	Om005G221310
OG0000156	As012G287040, As012G287050	Om006G244600
OG0000156	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580	Om008G321950, Om008G321940
OG0000161	As001G013550, As001G029600, As001G029610	Om006G236100, Om006G236170, Om004G175180, Om007G278440
OG0000162	As012G286460	Om003G125400, Om003G125370
OG0000162	As012G286440	Om003G125390
OG0000162	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570	Om003G125450, Om003G125240, Om003G125350, Om003G125220, Om003G125200, Om003G125180, Om003G125210
OG0000162	As005G102210	Om008G322780, Om008G322790
OG0000162	As005G102220	Om008G322800, Om005G207480
OG0000164	As011G264140, As011G262780	Om001G024320
OG0000165	As001G011340, As001G010810, As001G010990, As012G282150	Om006G266420
OG0000166	As011G260470, As002G040840	Om002G081230
OG0000166	As004G081580, As001G006820, As003G064800, As010G230400, As010G226530, As002G041150, As009G205490, As001G005350, As008G194830, As002G036330, As008G185730, As010G227240, As009G213530, As001G028210, As006G147470, As012G278710, As009G209860, As012G278700, As009G212490, As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080	Om001G033710
OG0000167	As003G057890	Om001G004410
OG0000171	As005G099780	Om003G127920
OG0000171	As007G159620, As001G020870	Om005G220880
OG0000171	As009G200410	Om007G301020
OG0000175	As010G220360	Om006G257450
OG0000175	As011G263590	Om002G082840
OG0000184	As004G089570	Om006G270790
OG0000187	As001G003940	Om001G028150, Om001G030060, Om001G033230, Om001G030100, Om008G336940, Om001G028140, Om004G145860, Om004G145950
OG0000187	As001G003960	Om001G028260, Om001G028280
OG0000190	As004G085680	Om008G353940, Om008G355670, Om008G353960
OG0000191	As007G152760	Om005G197150
OG0000192	As007G157190	Om005G203440
OG0000195	As005G112850	Om006G243060
OG0000195	As004G077390, As001G028840, As002G033300	Om007G285150
OG0000200	As008G194290	Om005G182720
OG0000203	As006G136770	Om002G046450, Om002G046460
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	Om002G070990
OG0000207	As003G061070	Om008G331300, Om004G136280, Om003G098840, Om003G098830, Om004G132790, Om005G197960, Om005G197970, Om004G132740, Om004G132730
OG0000208	As003G075160	Om001G040250
OG0000213	As002G038840	Om001G036460, Om001G036440, Om001G036450
OG0000217	As001G019850	Om001G001730
OG0000217	As007G177020	Om001G001710, Om001G001540, Om001G001620, Om001G001600
OG0000218	As001G022650	Om005G195550, Om005G195570, Om005G195580, Om001G010890, Om001G010900, Om001G010920, Om004G138180, Om006G241660
OG0000219	As001G028500, As001G028480	Om005G213260
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	Om004G134610, Om004G134620, Om004G134640, Om004G134630
OG0000224	As001G031540	Om005G225780
OG0000225	As003G069680, As003G070050	Om007G289790, Om007G289810, Om007G289780, Om007G289840, Om007G289820, Om007G289860, Om007G289850
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	Om005G207070, Om005G207040
OG0000231	As004G077900	Om006G259610
OG0000232	As002G036540, As006G139020	Om004G153390, Om018G374050, Om002G054380
OG0000233	As007G163840	Om001G036910
OG0000234	As012G281460	Om006G252400
OG0000234	As006G143800	Om006G252410, Om008G332130
OG0000234	As009G210340	Om004G161230
OG0000237	As010G229740	Om008G343820, Om007G307970
OG0000237	As011G257810	Om005G218340
OG0000242	As008G183340, As008G183330	Om002G081640, Om005G193910, Om005G194120, Om005G193920, Om005G193930
OG0000244	As003G059930	Om001G008070
OG0000244	As004G085820	Om008G354340
OG0000244	As004G085870	Om008G354370
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	Om001G008060
OG0000244	As004G085860, As004G085850	Om008G354350, Om003G110630
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	Om011G365210, Om020G374470
OG0000249	As006G145310	Om008G336610
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	Om008G336590, Om008G336600
OG0000257	As002G035710, As012G268510	Om001G039600, Om002G053540
OG0000259	As011G261730	Om002G075030, Om002G075040
OG0000264	As004G086270, As010G229170	Om008G355250
OG0000268	As001G023230	Om006G274870
OG0000268	As008G182800	Om005G194850
OG0000268	As001G023220, As001G023200	Om008G334210
OG0000268	As001G023210	Om008G334200
OG0000268	As005G106920	Om004G176390
OG0000268	As012G278370	Om006G253920
OG0000270	As003G075960	Om001G041100
OG0000270	As001G014420	Om001G033200
OG0000270	As007G156110	Om004G138430
OG0000271	As002G034810, As005G108140	Om004G174610
OG0000272	As006G146450, As006G146460	Om007G315350
OG0000274	As005G114920	Om006G245790
OG0000274	As010G224670, As010G224890	Om008G354900
OG0000274	As006G128840, As006G128830	Om007G282440
OG0000276	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920	Om008G337850
OG0000276	As011G256110	Om001G005630
OG0000276	As007G163350, As007G163430	Om001G005730
OG0000276	As003G058440, As003G058430	Om001G027190, Om001G005720
OG0000277	As004G096710	Om003G101240
OG0000279	As001G004840, As010G237280	Om008G348600
OG0000279	As007G165600	Om004G152920, Om004G168610
OG0000279	As007G178830	Om003G109450
OG0000280	As002G035770	Om006G246420
OG0000282	As002G055220	Om004G168690
OG0000283	As006G125110	Om007G278090
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	Om007G278120, Om007G278110, Om007G278160, Om007G278100, Om007G278130
OG0000284	As006G139300	Om007G294370, Om002G074370, Om003G113380
OG0000284	As006G139290	Om008G355920, Om008G362090, Om006G261130, Om008G355220, Om008G362100
OG0000293	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280	Om007G315620, Om001G037250, Om002G054920
OG0000294	As011G249490	Om002G064000
OG0000294	As006G145420	Om008G336510
OG0000294	As005G099900	Om008G319990
OG0000294	As006G122700	Om004G159000
OG0000294	As008G198060	Om005G179320
OG0000297	As008G198730	Om005G212040, Om001G036360, Om001G036390
OG0000297	As005G114280	Om006G242900, Om006G244950, Om002G067110
OG0000299	As010G241870, As010G241880	Om018G373800, Om004G171990, Om004G172000
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	Om001G011700
OG0000300	As008G194750	Om001G025290
OG0000303	As003G069740	Om002G086700, Om007G284150
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	Om007G306690, Om008G350290, Om007G302390, Om005G198900, Om002G085330, Om002G085350
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	Om006G246480, Om006G245880
OG0000311	As009G202530	Om007G298120
OG0000311	As012G273730	Om003G099520
OG0000311	As011G249880	Om002G064550
OG0000311	As001G029000	Om005G213850
OG0000312	As002G039610	Om004G144160
OG0000313	As003G058420	Om001G005460
OG0000313	As007G163450, As007G163440	Om001G005740
OG0000314	As008G195840	Om005G181880
OG0000314	As006G125760	Om005G181890, Om007G279120
OG0000314	As006G125450	Om007G278660
OG0000315	As006G137990, As006G137760	Om001G014100
OG0000316	As008G187440, As008G187910	Om008G355740, Om008G329420, Om008G329500
OG0000319	As006G129730, As005G114310, As008G191530	Om005G185820, Om006G245010
OG0000321	As001G010170	Om003G119980, Om008G337250, Om004G152510, Om004G166140, Om008G337290, Om008G337300, Om008G337280, Om008G337270
OG0000322	As009G214030	Om004G133260
OG0000322	As001G014750	Om008G329570
OG0000322	As007G153590	Om008G333060, Om008G330110, Om008G330430
OG0000323	As002G045490	Om003G115780
OG0000328	As001G029880	Om003G102580
OG0000328	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070	Om001G030480, Om005G213750, Om001G030460, Om001G030490
OG0000329	As007G180560	Om008G342480, Om008G342550, Om008G323100
OG0000332	As002G033230	Om006G241390, Om006G241400
OG0000334	As012G277630	Om006G254200
OG0000334	As006G146780	Om008G335090
OG0000338	As008G188190, As008G188080, As001G019490, As001G019290	Om005G187760, Om005G187950
OG0000339	As008G198990, As003G061400	Om001G010480
OG0000339	As005G101130, As012G287430	Om008G321390, Om003G126510
OG0000340	As005G103820	Om008G325090, Om008G325100
OG0000340	As005G103800, As005G103810	Om008G325080, Om008G325070
OG0000344	As005G110100, As009G215190, As009G215530	Om006G240680
OG0000347	As002G037650	Om006G248330, Om006G248350, Om002G055420
OG0000348	As002G041810, As002G040050	Om007G315920, Om004G149150
OG0000350	As003G070220, As003G070200	Om007G290180
OG0000351	As011G246630, As009G207800, As011G246680	Om002G059530
OG0000351	As011G246700, As011G246690	Om002G059500
OG0000351	As009G207810, As011G246650	Om002G059520
OG0000352	As007G153380	Om005G197930, Om008G334130
OG0000358	As006G124930, As008G196330	Om005G181310, Om007G277860
OG0000358	As008G196390	Om007G277850
OG0000359	As003G070350, As003G070340, As003G070360, As012G275420	Om007G290360, Om007G290370
OG0000360	As005G119730	Om006G230190, Om008G362290, Om006G230130, Om006G230150, Om006G230170
OG0000362	As009G205230	Om004G145620, Om004G145610
OG0000362	As006G134970	Om004G136210
OG0000363	As009G209420	Om002G082440
OG0000368	As003G073560, As003G073580	Om001G038080, Om001G038070, Om001G038000, Om001G005480, Om001G037990
OG0000368	As003G073600, As003G073590	Om001G038090, Om001G038110
OG0000369	As006G145250, As010G224820, As006G129520	Om005G185620
OG0000369	As008G192050	Om006G245630
OG0000370	As007G153440	Om005G198190, Om005G198070
OG0000371	As005G099710, As005G099720	Om008G319770, Om008G319760
OG0000373	As006G149560	Om012G366320, Om012G366380, Om012G366350, Om013G368470, Om012G367460, Om012G368390, Om012G366180, Om012G366420, Om012G366280, Om007G310230, Om012G366210, Om012G366240, Om007G310270, Om012G366500, Om007G310370, Om012G366450, Om012G366520, Om007G310340, Om012G366580, Om012G366620, Om012G366700, Om007G310250, Om012G366560, Om007G310210, Om012G366540, Om012G366150, Om007G310310, Om007G310430, Om012G366470, Om012G366670, Om015G372170, Om012G367700, Om015G372020, Om012G367420, Om012G367040, Om015G372320, Om012G367620, Om012G367320, Om012G368100, Om012G367070, Om012G368020, Om015G371830, Om012G366980, Om012G367260, Om015G373070, Om012G367530, Om012G367550, Om015G372100, Om012G367910, Om014G371050, Om012G367210, Om012G366940, Om012G367570, Om015G371760, Om015G371870, Om012G367960, Om012G368430, Om015G372260, Om012G366880, Om012G368310, Om015G372290, Om015G371780, Om012G367780, Om012G368410, Om012G368150, Om012G367820, Om015G372120, Om012G367300, Om015G371970, Om012G366910, Om015G372070, Om012G367180, Om015G371930, Om012G367150, Om012G367660, Om015G372210, Om015G372150, Om012G367390, Om012G368350, Om012G368230, Om012G366780, Om014G371030, Om015G372270, Om015G373050, Om012G367600, Om015G371800, Om012G368330, Om012G368270, Om012G367120, Om012G367490, Om012G367990, Om014G370990, Om015G371890, Om012G368370, Om015G373100, Om012G367350, Om012G368250, Om012G368180, Om015G372190, Om012G368210, Om012G367750, Om012G367870, Om012G368050, Om012G368290, Om015G372240, Om015G372250, Om015G372050
OG0000374	As012G273470, As012G273550	Om003G096590, Om003G096580
OG0000377	As001G021080	Om005G221520
OG0000378	As003G067400	Om003G106910, Om003G106900, Om003G112050
OG0000382	As006G122900	Om004G159310, Om005G179390
OG0000382	As008G188710	Om005G187240
OG0000383	As003G069230	Om007G289040, Om007G289010, Om007G289000
OG0000383	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380	Om007G288980, Om007G288960, Om007G288970, Om007G288950
OG0000384	As011G247740	Om008G331990, Om002G061040, Om003G093990, Om003G093980, Om003G093940, Om003G093930
OG0000386	As012G276900, As012G276880	Om006G254880
OG0000389	As001G003830	Om003G121990
OG0000390	As001G012620	Om006G238000, Om001G007860
OG0000390	As011G251840	Om002G066980, Om002G064160, Om004G151070
OG0000391	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360	Om005G199920
OG0000392	As010G221170	Om006G258990
OG0000392	As010G221200, As010G221190, As010G221180	Om004G166970
OG0000396	As001G026970	Om006G270400
OG0000396	As001G026990, As001G027000, As001G027010	Om002G084480
OG0000402	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350	Om007G317090, Om006G237690, Om005G212470, Om002G081210, Om008G352430, Om008G344500, Om005G206050
OG0000404	As012G276100, As006G144680, As002G037330	Om006G255780, Om008G337600, Om004G170670, Om002G054990
OG0000405	As002G037730	Om005G214510
OG0000406	As006G136090	Om007G297520, Om007G297510, Om003G124180, Om002G044530
OG0000407	As009G201130, As009G201860	Om005G226340, Om005G225250, Om007G300530, Om001G027690, Om007G277650, Om007G299400
OG0000409	As001G002920	Om002G081160
OG0000410	As001G021670, As001G021680	Om005G222940, Om005G222950
OG0000411	As001G022090	Om005G224040
OG0000411	As004G085710	Om008G354000
OG0000411	As003G060010	Om001G008360
OG0000412	As002G046400	Om003G116310
OG0000413	As011G245460	Om002G057770
OG0000413	As002G048240	Om003G119170
OG0000413	As012G268650	Om003G090580
OG0000414	As003G058750, As003G058770, As003G058760	Om001G006250
OG0000415	As005G104640	Om004G162740, Om008G326430
OG0000416	As006G125710	Om005G227300, Om004G176330, Om007G280020, Om007G280180
OG0000416	As006G127220, As008G194210	Om005G182990
OG0000417	As007G163710, As008G186410	Om002G073380, Om002G073370, Om002G084920
OG0000420	As010G222670	Om003G125710
OG0000421	As004G078160, As004G078150	Om001G026550, Om001G026540, Om007G294470, Om001G013810
OG0000422	As008G188280, As008G188290, As008G188300	Om005G187620, Om005G187610, Om005G187630, Om008G329040, Om005G187640, Om004G162770, Om005G187650, Om005G187660, Om005G187600, Om005G187590
OG0000423	As010G241040	Om004G142290
OG0000423	As012G269020	Om003G091160
OG0000429	As009G215310	Om006G240130
OG0000429	As002G052030	Om004G164170
OG0000429	As001G004910	Om001G029270
OG0000430	As011G263500	Om002G082610, Om002G066320
OG0000430	As001G014590, As003G076100, As007G181940	Om001G041290
OG0000431	As001G019780	Om005G219170
OG0000431	As008G187750	Om007G295500, Om005G188460, Om005G188470, Om005G188450
OG0000432	As002G044400	Om003G113900
OG0000432	As002G047750	Om003G118170, Om005G204990
OG0000435	As001G004050, As006G138290	Om004G163840
OG0000435	As011G260090, As011G260040	Om004G152070, Om005G200650, Om006G242990, Om005G200600
OG0000436	As011G266430, As002G048360	Om006G250310, Om001G024370, Om002G087440
OG0000437	As003G062850	Om001G012410
OG0000439	As008G194170	Om005G183450
OG0000439	As012G285510	Om003G123740
OG0000439	As006G127290	Om007G280530
OG0000440	As006G136440	Om004G173680, Om007G297020
OG0000441	As011G248660	Om002G062560, Om002G062550
OG0000441	As011G248650	Om002G062460
OG0000446	As009G219000	Om006G235370
OG0000446	As001G023650	Om006G274450
OG0000446	As008G183010	Om005G194520
OG0000447	As011G247170	Om002G060230
OG0000447	As003G069220	Om007G288920
OG0000448	As004G089550	Om008G361730, Om008G361700, Om008G361720
OG0000449	As010G224860	Om006G267260
OG0000449	As005G114720	Om006G245560
OG0000449	As010G224870	Om006G267270
OG0000449	As005G114730	Om006G245570
OG0000452	As001G002300, As001G002310	Om001G025830, Om001G025870, Om004G163540, Om001G025930, Om001G025860, Om001G025910
OG0000454	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520	Om003G113950, Om003G113940, Om003G113960
OG0000457	As002G045110, As002G045120, As002G041830, As002G045100, As002G045130	Om003G114840
OG0000459	As003G058960	Om001G013470, Om001G006630
OG0000461	As008G199680	Om005G177540
OG0000461	As006G146770	Om008G335120, Om008G335130
OG0000463	As010G224360, As010G224370	Om008G355320, Om001G005850
OG0000465	As001G010580, As004G090240	Om004G158510
OG0000466	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670	Om004G174390, Om005G209820
OG0000467	As004G088230, As012G284990	Om003G122490, Om001G002790, Om008G358800
OG0000468	As012G280020	Om006G252980
OG0000468	As006G125920	Om007G278880
OG0000468	As006G144160	Om008G332830
OG0000471	As003G069540, As003G069550	Om007G289330, Om007G289290
OG0000472	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050	Om003G097580, Om003G097570, Om007G316650, Om007G316670
OG0000472	As004G097020	Om007G316690, Om003G102350, Om007G316680, Om007G316660
OG0000474	As009G216860	Om006G261160, Om006G238310
OG0000477	As003G057970	Om004G169410, Om002G083900, Om006G247780, Om008G334030
OG0000481	As001G021880	Om005G223420, Om002G062340
OG0000483	As002G047220	Om003G117450
OG0000484	As009G203850	Om001G035850, Om007G296400
OG0000486	As001G013050, As001G013370	Om007G293910
OG0000486	As001G013380, As001G013070, As001G013260	Om007G315930, Om007G316020, Om002G055740, Om002G055140, Om002G077700
OG0000487	As006G137570, As008G196100	Om007G278330
OG0000495	As001G001610, As001G001580, As001G001640, As001G001650	Om006G264600
OG0000495	As007G179430, As007G177930	Om006G264590, Om006G264500
OG0000497	As009G210870, As009G211010	Om004G146680
OG0000497	As010G233080, As007G164590, As007G163820, As007G164600	Om008G341800
OG0000498	As002G045150	Om003G114860
OG0000499	As003G056720	Om001G002040, Om002G075590
