Orthogroup	Aethionema_saxatile	Erysimum_linariifolium
OG0000089	As011G250900	El002G133200
OG0000089	As012G277570	El001G024400
OG0000089	As010G224530, As005G115200	El007G331780, El001G015710
OG0000090	As004G082910	El007G355500
OG0000090	As003G065330	El004G228750
OG0000090	As012G273080	El001G031660, El003G147970, El001G038160, El001G038170, El001G049400, El001G038180, El002G093200
OG0000093	As012G284680, As012G284700, As012G284660	El002G128830, El005G270280, El001G029880, El004G202240, El004G202270, El005G270290, El005G270300, El005G270240, El004G214760, El005G270230
OG0000096	As004G087370, As004G087300, As004G087270	El007G361830
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	El001G004470
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	El002G095770
OG0000102	As002G042100	El006G302470
OG0000104	As012G271190, As012G271200	El002G136420, El002G136360
OG0000106	As002G041170, As002G041390, As002G041440	El005G259530, El001G010720, El005G256190, El005G255570, El005G256210, El005G255560
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220	El005G257840
OG0000107	As011G252340	El005G257830, El005G257820, El003G184930, El003G187830, El007G362890, El001G039680, El005G258940, El005G270120
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	El001G053220, El001G053160, El001G053150, El001G053080, El001G053060, El001G053120, El001G053110, El001G053070, El001G053140, El001G047240, El007G364310, El007G323300, El001G009690, El006G281400, El006G309530, El006G297420, El006G297320, El006G297490, El006G297230, El002G139550
OG0000112	As011G262130, As011G262140, As009G217680, As009G217690	El007G329910
OG0000114	As006G137050, As006G137080	El004G213600, El001G070430, El004G206200, El004G206180, El004G205940, El004G206220, El002G128610, El003G187140
OG0000116	As011G261080, As012G277730, As011G256700, As005G108990	El006G309080
OG0000116	As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410	El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	El001G001700, El001G001530
OG0000123	As008G183720	El001G013920, El003G177660
OG0000125	As012G277440	El006G292880
OG0000125	As005G107620	El005G244660, El001G080460
OG0000125	As005G113770	El001G057350
OG0000125	As005G114700, As010G224880	El007G331030
OG0000125	As006G129500	El006G304720
OG0000127	As008G186430, As008G186390, As008G185640, As008G186440	El001G001730
OG0000130	As005G110830	El002G120060
OG0000133	As004G090110, As010G227760, As002G038290, As007G165020	El005G265050
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	El001G044680, El003G179460, El003G179450
OG0000135	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440	El007G346110
OG0000135	As001G005020	El004G202160
OG0000136	As001G028730	El004G215950, El004G215940
OG0000136	As005G116580, As005G116570	El004G209050, El004G209110
OG0000138	As004G077560, As004G078140	El004G229780
OG0000138	As010G224060	El006G314590
OG0000138	As001G027950, As001G027940, As007G161530	El001G045810, El001G045830
OG0000140	As005G115230	El007G331970
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	El007G332020, El007G332560, El007G332570, El007G332540, El007G332580, El007G332590, El007G332010, El007G332000
OG0000145	As003G069750	El001G032500
OG0000146	As002G047180	El007G336850
OG0000146	As002G047190	El007G336810, El007G336820
OG0000147	As011G265720	El005G277400
OG0000147	As001G002190	El003G152940
OG0000147	As002G049060	El007G334350
OG0000147	As010G243490	El004G233720
OG0000147	As010G227330	El001G047010
OG0000147	As011G259420	El005G271430
OG0000149	As010G224590	El001G015560
OG0000149	As010G224610	El006G308870, El007G331430
OG0000150	As010G225230	El006G312860
OG0000150	As010G225180, As010G225220, As010G225210	El006G312870, El001G014430, El006G312840, El006G312880, El006G312950, El006G312930, El001G011280
OG0000151	As007G166070	El003G156070
OG0000151	As006G141980, As006G133740	El005G243780
OG0000151	As011G263600	El005G273960
OG0000151	As002G047900	El007G336000
OG0000151	As001G030700	El004G194600, El003G193180
OG0000154	As002G034300	El005G244620
OG0000155	As003G059350	El001G002450, El001G002560, El001G002510, El001G002610, El004G214530, El004G213730, El004G214590, El003G164690
OG0000155	As003G059230, As003G059200	El001G050480, El005G272960
OG0000156	As012G287040, As012G287050	El001G032910
OG0000156	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580	El006G282860
OG0000156	As001G028010	El001G032920
OG0000162	As012G286460	El003G183220
OG0000162	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570	El002G134880, El001G032190
OG0000162	As005G102210	El006G283560, El006G283550
OG0000164	As011G264140, As011G262780	El003G154310, El003G154300
OG0000166	As011G260470, As002G040840	El003G188790, El003G188850
OG0000166	As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080	El004G197940
OG0000167	As003G057890	El003G166330
OG0000168	As008G194570	El007G366060, El007G366100
OG0000168	As010G230090	El006G293350, El004G205010
OG0000169	As010G239290	El006G316110
OG0000171	As005G099780	El006G280730, El002G093670
OG0000171	As001G020870	El004G201030
OG0000171	As009G200410	El001G066810
OG0000175	As010G220360	El001G021550
OG0000175	As007G156270	El002G104420
OG0000175	As011G263590	El003G147420
OG0000178	As001G013240	El001G013310
OG0000184	As004G089570	El002G135760
OG0000187	As001G003940	El003G151270
OG0000187	As001G003960	El003G151220
OG0000190	As004G085680	El001G005540, El001G005520, El001G005530, El001G005460, El001G005500, El001G005510, El005G265350
OG0000192	As007G157190	El002G105660
OG0000195	As001G028840	El003G186220, El004G215670
OG0000195	As002G033300	El001G012120
OG0000200	As008G194290	El004G202190
OG0000203	As006G136770	El005G238860
OG0000204	As011G253820	El007G342080
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	El005G261570
OG0000207	As003G061070	El004G232160, El002G100990
OG0000208	As003G075200, As003G075180, As003G075210, As003G060140	El003G142990
OG0000208	As003G075160	El003G143000, El007G341810
OG0000213	As002G038840	El006G319110, El006G319120, El006G319100, El006G319080
OG0000217	As001G019850	El004G203150, El004G202950, El004G203070
OG0000218	As001G022650	El002G099000, El002G099030, El002G099010, El002G099020, El001G040840, El001G040850, El001G036390
OG0000219	As001G028500, As001G028480	El004G216370
OG0000219	As003G064990	El007G327350
OG0000220	As010G227890	El008G369090
OG0000221	As002G040520	El008G369870
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	El004G230600, El004G230590
OG0000224	As001G031540	El005G267900, El004G196560, El004G196620, El004G196600
OG0000225	As003G069680, As003G070050	El002G115460, El002G115540, El002G115490, El002G115450, El002G115470, El002G115510, El002G115440
OG0000225	As003G070030	El002G115500
OG0000228	As007G159250	El001G048740, El001G048760
OG0000228	As010G233780, As010G233750	El002G108430
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	El005G273580, El004G222520, El004G222650, El004G222500
OG0000231	As004G077900	El003G188200
OG0000232	As002G036540, As006G139020	El002G128560, El005G261940, El005G261950, El005G261880, El005G261890, El005G272620
OG0000234	As012G281460	El001G025990
OG0000234	As006G143800	El001G025980, El006G290620
OG0000234	As009G210340	El001G068080
OG0000237	As010G229740	El005G266480, El003G180350
OG0000237	As011G257810	El001G043200, El002G125730, El006G311120
OG0000242	As008G183340, As008G183330	El005G272850, El002G097950, El002G097960, El002G097970, El002G097940
OG0000244	As003G059930	El003G163990
OG0000244	As004G085820	El001G005180
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	El003G164310, El003G164000
OG0000244	As004G085860, As004G085850	El001G005170, El001G005160
OG0000246	As011G246640, As012G280010	El007G366210
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	El004G205450
OG0000249	As012G276740	El001G008040
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	El001G010190, El001G010200
OG0000257	As002G035710, As012G268510	El003G190500, El006G318270, El001G009800
OG0000258	As002G048970	El007G334450
OG0000264	As004G086270, As010G229170	El001G003610
OG0000268	As001G023230	El001G037050
OG0000268	As001G023220, As001G023200	El004G198500
OG0000268	As001G023210, As001G023190	El001G037010
OG0000268	As005G106920	El001G081300
OG0000268	As012G278370	El001G024850
OG0000270	As003G075960	El005G273730
OG0000270	As001G014420	El003G142380
OG0000270	As010G237880	El002G104230
OG0000270	As007G156110	El004G228250
OG0000271	As004G086280	El001G004610, El001G004620
OG0000273	As007G156970	El002G105290
OG0000273	As012G273480	El002G132430
OG0000274	As005G114920	El007G331270
OG0000274	As006G128840, As006G128830	El006G303380, El006G303400
OG0000276	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920	El003G177930
OG0000276	As007G163350, As007G163430	El003G165590
OG0000277	As004G096710	El003G172500, El003G172490
OG0000279	As001G004840, As010G237280	El006G309180
OG0000279	As007G165600	El001G046110, El001G046100
OG0000280	As002G035770	El006G320040
OG0000282	As002G055220	El001G074210
OG0000283	As006G125110	El007G358960
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	El007G358950, El007G358900, El007G358940, El007G358910
OG0000284	As006G139300	El001G051110
OG0000284	As006G139290	El001G010020, El005G240890, El007G347650
OG0000293	As011G259530	El001G045760
OG0000293	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280	El007G348670
OG0000294	As011G249490	El005G254320
OG0000294	As012G273960	El002G131540
OG0000294	As006G145420	El006G293670
OG0000294	As005G099900	El006G280820
OG0000294	As006G122700	El001G002070
OG0000294	As008G198060	El002G084190
OG0000295	As011G246810	El004G213700, El004G213760
OG0000297	As008G198730	El003G145640, El006G304920
OG0000297	As005G114280	El007G330520, El005G257220
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	El004G215990
OG0000299	As012G267900	El002G141100
OG0000300	As008G194750	El005G270370
OG0000303	As003G069740	El004G204690, El001G012020, El001G039690, El005G277320, El002G128090
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	El002G101740, El004G224970, El006G308510, El006G308560, El003G190640, El002G101720
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	El002G106070, El007G331450
OG0000311	As009G202530	El001G064420
OG0000311	As012G273730	El002G132070
OG0000311	As011G249880	El005G254740
OG0000311	As001G029000	El004G215340
OG0000313	As003G058420	El003G165610
OG0000313	As007G163450, As007G163440	El003G165600
OG0000313	As003G064930	El003G178140
OG0000314	As008G195840	El002G086800
OG0000314	As006G125760	El006G299440, El002G086810
OG0000316	As008G187440, As008G187910	El006G313460, El006G313430, El006G288940, El006G288750, El006G313470
OG0000319	As006G129730, As005G114310, As008G191530	El002G090600, El002G090610, El007G330560
OG0000321	As001G010170	El003G185760, El003G185810, El003G185430, El003G181320
OG0000322	As009G214030	El004G231760
OG0000322	As007G153590	El002G129460, El006G289270, El006G309790, El006G309860, El002G125390
OG0000323	As005G112480	El003G156480
OG0000327	As008G195090, As008G195100, As011G263130	El002G109100, El002G109110
OG0000328	As001G029880	El003G174750
OG0000328	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070	El003G188550
OG0000329	As007G180560	El006G284470, El003G174280, El006G313370
OG0000332	As002G033230	El001G060380, El001G060390
OG0000334	As012G277630	El001G024470
OG0000334	As006G146780	El006G292570, El027G373440, El004G212490, El001G002940
OG0000338	As008G188190, As008G188080, As001G019490, As001G019290	El002G092400, El002G092490
OG0000339	As003G061400	El003G161790
OG0000339	As006G121550	El001G000520
OG0000339	As005G101130, As012G287430	El006G282150, El001G033440
OG0000340	As005G103820	El006G285360
OG0000340	As005G103800, As005G103810	El006G285340
OG0000344	As009G215190, As009G215530	El001G051930
OG0000348	As002G041810	El004G225860, El007G346220, El004G225870
OG0000348	As002G040050	El006G318050, El007G363860, El003G159600, El003G182960
OG0000350	As003G070220, As003G070200	El002G115770
OG0000351	As011G246630, As009G207800, As011G246680	El002G121580
OG0000351	As011G246600	El007G329340
OG0000351	As009G207810, As011G246650	El002G121570
OG0000351	As007G177900	El005G250820
OG0000352	As007G153380	El006G309450
OG0000358	As006G124930, As008G196330	El002G086200, El001G072530
OG0000358	As008G196390	El007G359240, El001G072540, El001G072550
OG0000359	As012G275420	El006G296860
OG0000360	As005G119730	El007G323130, El007G323140
OG0000362	As009G205230	El004G212950
OG0000362	As006G134970	El004G212880
OG0000363	As009G209420	El002G126200, El002G126220, El007G351340
OG0000368	As003G073560, As003G073580	El003G144810, El003G144790
OG0000368	As003G073600, As003G073590	El004G215830, El003G144770, El003G144760, El003G144750
OG0000369	As006G145250, As010G224820, As006G129520, As008G192050	El002G090430
OG0000370	As007G153440	El003G185270, El002G101090, El002G101100, El002G101070, El001G014550, El003G159300, El003G159280
OG0000371	As005G099710, As005G099720	El002G111190, El006G280660, El002G085130, El006G280670, El006G280650
OG0000372	As006G132540, As006G132550	El003G157140, El003G173700, El003G157160, El003G157170, El003G173780
OG0000373	As006G149560	El007G354680, El042G374880, El011G372030, El008G370960, El008G371140, El008G368190, El008G367050, El008G367680, El030G373760
OG0000377	As001G021080	El004G200530
OG0000382	As006G122900	El002G084270, El001G002380
OG0000382	As008G188710	El002G091920
OG0000383	As003G069230	El002G114440, El002G119180
OG0000383	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380	El002G114400, El002G114390, El002G114430
OG0000384	As011G247740	El002G137770, El002G137730, El002G137740, El002G137760
OG0000386	As001G025230, As001G025220, As011G256850	El001G040470, El001G040480
OG0000386	As012G276900, As012G276880	El001G023910
OG0000390	As001G012620	El001G056560
OG0000390	As011G251840	El005G257120
OG0000391	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360	El002G107410, El002G107390
OG0000392	As010G221170	El003G176130
OG0000392	As010G221200, As010G221190, As010G221180	El003G176120, El003G176430
OG0000396	As001G026970	El001G043390
OG0000396	As001G026990, As001G027000, As001G027010	El001G043470, El001G043530, El001G043540, El001G043570, El001G043490, El001G043520
OG0000398	As012G268810	El002G140190
OG0000402	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350	El004G203740, El006G281800
OG0000403	As001G020780, As001G020790	El004G201290
OG0000404	As012G276100	El001G023000, El006G294700, El005G247060
OG0000406	As006G136090	El001G063970, El001G031450, El003G186520, El005G237360
OG0000407	As009G201130, As009G201860	El001G007400, El001G065720, El001G078960, El001G078950
OG0000411	As001G022090	El004G198670
OG0000411	As011G261620	El005G270540
OG0000411	As004G085710	El001G005390
OG0000411	As003G060010	El003G163700
OG0000412	As002G046400	El007G337740
OG0000412	As012G271680	El002G135360
OG0000413	As011G245460	El005G249460
OG0000413	As002G048240	El003G158150, El007G335400
OG0000414	As003G058750, As003G058770, As003G058760	El002G110530
OG0000415	As005G104640	El001G069430, El001G049570, El001G049550, El001G049580, El001G049150, El006G286470
OG0000416	As006G125710	El006G300650, El006G300480
OG0000416	As006G127220, As008G194210	El006G316630
OG0000417	As007G163710, As008G186410	El005G267220, El005G267230, El007G344240, El005G267240, El001G006910, El001G009680
OG0000420	As010G222670	El006G289320
OG0000420	As001G015280	El003G191940, El003G191980, El003G184480, El003G193530
OG0000421	As004G078160, As004G078150	El003G188860, El003G188830, El003G188770, El003G188820, El003G188810, El003G185740, El003G185800, El003G178490, El003G188880, El003G188870
OG0000422	As008G188280, As008G188290, As008G188300	El002G092300, El002G092310, El002G092290, El002G127460
OG0000423	As010G241040	El004G224830
OG0000429	As009G215310	El001G052920
OG0000429	As002G052030	El001G070450
OG0000429	As001G004910	El003G150450, El006G314410
OG0000430	As011G263500	El005G273810
OG0000430	As001G014590	El003G147560
OG0000431	As001G019780	El004G203320
OG0000431	As008G187750	El002G092990, El002G092980
OG0000432	As002G044400	El007G340870
OG0000432	As006G134280	El003G157860
OG0000432	As002G047750	El007G336140
OG0000433	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400	El004G205710, El004G205510, El004G205720, El001G047980
OG0000436	As011G266430, As002G048360	El003G158230, El007G335250, El005G278170
OG0000437	As003G062850	El002G121440
OG0000438	As004G085300	El001G006030
OG0000439	As008G194170	El002G088370
OG0000439	As012G285510	El001G031050
OG0000439	As006G127290	El006G301030
OG0000440	As006G136440	El005G237720, El006G294680, El001G063480, El005G237700
OG0000441	As011G248660	El005G253210
OG0000441	As011G248650	El005G253200, El005G253190
OG0000446	As009G219000	El007G328120
OG0000446	As001G023650	El001G037830
OG0000446	As008G183010	El002G098330
OG0000447	As011G247170	El005G251460
OG0000447	As004G081330	El006G297870
OG0000447	As003G069220	El002G114360
OG0000448	As004G089550	El007G365940, El007G365930, El007G365950
OG0000449	As010G224860	El001G015080
OG0000449	As005G114720	El007G331050
OG0000449	As010G224870	El001G015070
OG0000449	As005G114730	El007G331060
OG0000452	As001G002300, As001G002310	El007G350560
OG0000453	As008G192590	El006G308850
OG0000454	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520	El007G357850, El007G340800, El007G340780
OG0000458	As002G043040	El007G327050
OG0000459	As003G058960	El003G185370, El003G179210, El003G164990, El001G048170, El001G047570
OG0000460	As005G099100	El002G120170
OG0000461	As008G199680	El002G082400
OG0000462	As009G214710	El003G187410, El003G187420, El001G066140
OG0000463	As010G224360, As010G224370	El001G015990, El001G015960
OG0000465	As001G010580, As004G090240	El004G212890
OG0000466	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670	El002G133690, El002G133670, El001G079410, El004G219990
OG0000468	As012G280020	El001G025490
OG0000468	As006G125920	El006G299240
OG0000468	As006G144160	El006G291120
OG0000471	As003G069540, As003G069550	El002G114900, El002G114910, El002G114950, El002G114940
OG0000472	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050	El003G190770
OG0000472	As004G097020	El003G190760
OG0000473	As012G288330, As005G099530	El001G034670
OG0000474	As009G216860, As011G261780, As010G222300	El001G018580, El001G056310, El006G317600
OG0000477	As003G057970	El006G291920, El005G274770, El007G333070, El001G074740
OG0000483	As002G047220	El007G336760
OG0000487	As006G137570, As008G196100	El006G298580
OG0000495	As001G001610, As001G001580, As001G001640, As001G001650	El003G181150, El006G311560, El003G181140, El003G181130, El006G311570, El003G184390, El007G338650
OG0000495	As007G179430, As007G177930	El006G318410, El005G260350, El006G318420
OG0000496	As002G041620, As001G004760	El004G209190
OG0000496	As001G012100, As004G090800	El002G127540
OG0000496	As002G041610	El007G352050
OG0000497	As009G210870, As009G211010	El001G051880
OG0000498	As002G045150	El007G339720
OG0000499	As003G056720	El003G168300
OG0000499	As012G269540	El005G250740
OG0000500	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480	El007G362300
OG0000500	As004G087470	El007G362180, El007G362380
OG0000501	As010G232220	El002G124350
OG0000504	As006G143860	El001G080270, El006G290560
OG0000504	As002G037010, As002G034340	El005G244670
OG0000505	As009G215510	El001G053560, El001G053720, El001G053900
OG0000506	As010G234690	El001G076020, El004G223710
OG0000510	As001G020890, As001G020900	El004G201010, El004G200990, El004G200980, El004G201000, El004G200950, El004G200930, El004G200920
OG0000511	As011G254140	El005G260930
OG0000511	As001G032060	El004G198000
OG0000512	As003G061390	El003G161870, El003G161830, El005G278610, El005G278600, El003G161800, El003G161820
OG0000513	As006G146210	El001G024240
OG0000513	As005G114770	El001G015200, El007G331120
OG0000514	As011G252640, As011G252630	El005G258100
OG0000515	As012G267810	El002G141390
OG0000521	As003G063570	El002G124400
OG0000521	As004G080410	El001G010450
OG0000521	As007G158420	El004G231650
OG0000522	As004G083810	El002G120450, El002G120470, El002G120480, El002G120460, El001G008630, El001G008720
OG0000523	As005G100530	El006G281490, El006G281500
OG0000523	As012G287730	El001G033890
OG0000524	As006G141600, As006G141560, As006G141590	El005G243280, El007G349900
OG0000525	As010G241940	El004G231940
OG0000525	As011G246900	El005G251140
OG0000525	As012G269710	El002G138890
OG0000526	As010G223400	El001G017270, El001G017260
OG0000526	As010G223440	El001G017250
OG0000529	As005G113510, As005G113490, As005G113470	El001G057870, El001G057980, El001G057930, El001G057910
OG0000530	As009G203010, As009G203020, As009G203100, As009G203060, As009G202740	El001G063850
OG0000533	As007G180830	El006G320740
OG0000534	As007G167300, As001G022180, As001G022190, As001G022170, As001G016060	El001G009890, El004G198430, El004G198470, El004G198440, El004G198450, El005G262070
OG0000535	As001G023310	El001G037170, El001G037140
OG0000537	As006G124070	El001G004010
OG0000537	As004G093070	El003G179510, El003G179620
OG0000537	As006G141200	El005G242790
OG0000538	As005G103710, As005G103700	El006G285250, El006G285280, El002G122690, El006G285260
OG0000539	As005G120910	El007G321890
OG0000540	As006G128870, As006G128860, As006G128850	El006G303390, El006G303410, El006G303420, El006G303430
OG0000542	As009G202020	El001G065210
OG0000542	As012G273170	El002G132600
OG0000543	As007G177800	El006G316900, El004G207440
OG0000544	As008G195060	El004G214840
OG0000545	As010G238530	El004G227580
OG0000546	As011G264020, As011G264080, As011G264050, As011G264010, As011G264090, As011G264000, As011G264100, As011G263960, As011G264110, As011G263990, As011G264030, As011G264060, As011G263920, As011G264120, As011G263950, As011G263980	El005G274410, El005G274380, El005G274350, El005G274360, El005G274370
OG0000550	As002G037320	El001G023010
OG0000550	As006G144690	El006G294690, El002G139510
OG0000551	As005G117770	El007G325660
OG0000551	As003G075520	El003G142820
OG0000551	As002G053470	El001G072190
OG0000552	As007G159560, As003G061630	El002G108750
OG0000553	As003G063020, As003G063040	El002G122120
OG0000553	As003G063070, As003G063050	El002G121840, El002G121870, El006G320810, El006G320920, El002G121880, El002G122090
OG0000554	As007G157590	El004G199370
OG0000555	As003G067180	El001G006440, El001G006420, El001G006400, El002G132040, El001G006430, El001G006410, El002G093260
OG0000556	As006G140800	El007G347100
OG0000557	As012G286190	El001G031980, El001G031990
