Orthogroup	Aethionema_saxatile	Euclidium_syriacum
OG0000017	As006G147350	ESY1_g7308_DN3_SP0_c0.t1, ESY18_g63484_DN3_SP0_c0.t1, ESY5_g765_DN2_SP0_c0.t1, ESY15_g65202_DN2_SP0_c0.t1, ESY4_g24554_DN3_SP0_c31.t1, ESY7_g16670_DN3_SP0_c0.t1, ESY4_g22336_DN1_SP0_c100.t1, ESY6_g46671_DN2_SP0_c83.t1, ESY23_g73_DN3_SP0_c0.t1, ESY1_g8955_DN2_SP0_c0.t1, ESY14_g20322_DN1_SP0_c0.t1, ESY13_g57019_DN3_SP0_c0.t1, ESY6_g47831_DN2_SP0_c0.t1, ESY4_g22920_DN3_SP0_c0.t1
OG0000017	As006G144790, As012G280790	ESY1_g7621_DN3_SP0_c100.t1, ESY6_g46672_DN3_SP0_c94.t1
OG0000017	As001G010690	ESY15_g65461_DN2_SP0_c0.t1
OG0000017	As011G261070, As010G227380	ESY5_g674_DN3_SP0_c68.t1
OG0000017	As003G065780	ESY11_g52417_DN3_SP0_c0.t1, ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1
OG0000019	As009G203070	ESY6_g48254_DN3_SP0_c48.t1, ESY8_g60783_DN3_SP0_c0.t1
OG0000019	As010G228470, As001G007070	ESY9_g42816_DN3_SP0_c48.t1, ESY8_g60782_DN3_SP0_c0.t1
OG0000019	As012G281430, As001G013530	ESY1_g6718_DN1_SP0_c0.t1, ESY4_g23292_DN2_SP0_c93.t1, ESY6_g49770_DN3_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1
OG0000021	As005G111040	ESY7_g19226_DN2_SP0_c46.t1
OG0000021	As001G005040	ESY4_g24688_DN1_SP0_c0.t1
OG0000021	As003G071480, As010G232120	ESY9_g43535_DN3_SP0_c0.t1, ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1
OG0000026	As001G006500, As007G166710, As007G165250, As008G188870	ESY1_g10661_DN2_SP0_c99.t1
OG0000027	As003G071460	ESY4_g26389_DN2_SP0_c0.t1
OG0000029	As004G091760, As005G112730, As001G005440, As001G005430, As004G091740, As005G109110, As009G211080, As004G091750, As003G064310, As008G192170	ESY13_g57677_DN1_SP0_c0.t1
OG0000030	As011G260570, As011G260600, As010G228030, As011G258250	ESY3_g28214_DN2_SP0_c7.t1, ESY4_g21739_DN1_SP0_c0.t1, ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1
OG0000030	As001G013350	ESY17_g39786_DN2_SP0_c77.t1
OG0000036	As008G192160	ESY13_g56710_DN1_SP0_c0.t1
OG0000037	As007G161900, As004G089890, As009G206430, As011G257090	ESY21_g55396_DN1_SP0_c0.t1
OG0000038	As009G211050, As009G210990, As009G210820	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1
OG0000041	As012G279020, As011G257710, As007G164480, As006G148790	ESY1_g8855_DN3_SP0_c0.t1
OG0000041	As002G037900	ESY8_g58625_DN1_SP0_c0.t1
OG0000047	As006G136700	ESY3_g28898_DN3_SP0_c0.t1
OG0000054	As007G163390, As001G010300	ESY5_g2306_DN3_SP0_c0.t1
OG0000054	As004G090600, As007G163400, As011G258570, As001G015330, As001G010290, As001G006440	ESY18_g63621_DN3_SP0_c0.t1
OG0000055	As001G022060	ESY2_g33671_DN2_SP0_c0.t1
OG0000059	As001G005030	ESY6_g46614_DN1_SP0_c0.t1, ESY7_g19118_DN1_SP0_c62.t1
OG0000063	As010G224630	ESY9_g44877_DN3_SP0_c0.t1
OG0000063	As006G129470	ESY6_g48808_DN3_SP0_c0.t1
OG0000063	As006G129480, As005G114650	ESY5_g4491_DN3_SP0_c0.t1
OG0000063	As010G224620	ESY5_g4464_DN2_SP0_c0.t1
OG0000063	As005G114950	ESY6_g48811_DN3_SP0_c0.t1
OG0000063	As012G277450	ESY8_g58878_DN3_SP0_c0.t1
OG0000065	As012G279540, As012G279660, As012G279640, As006G149050, As012G279570, As002G040810, As012G279710, As011G259230, As001G009860, As007G166350, As007G166440, As012G279700, As012G279680, As012G279690, As012G279630, As012G279670, As006G149040, As012G279650, As012G279560	ESY17_g39007_DN1_SP0_c0.t1
OG0000066	As002G052230	ESY2_g34934_DN2_SP0_c58.t1
OG0000066	As007G156090	ESY18_g62954_DN3_SP0_c77.t1
OG0000066	As002G052910	ESY23_g163_DN2_SP0_c0.t1, ESY11_g54349_DN3_SP0_c0.t1, ESY7_g18023_DN3_SP0_c0.t1
OG0000066	As005G118450	ESY7_g18022_DN3_SP0_c0.t1
OG0000067	As011G256020	ESY2_g35389_DN2_SP0_c0.t1
OG0000070	As004G090980, As011G257970	ESY1_g8220_DN1_SP0_c0.t1
OG0000078	As004G095030	ESY9_g43985_DN3_SP0_c0.t1
OG0000082	As012G278670	ESY15_g65451_DN1_SP0_c66.t1
OG0000082	As011G260840	ESY11_g54439_DN1_SP0_c0.t1
OG0000085	As001G000080	ESY3_g29295_DN1_SP0_c68.t1
OG0000086	As009G216030, As009G216300, As009G216040	ESY16_g62560_DN2_SP0_c0.t1
OG0000087	As010G222260	ESY6_g50131_DN3_SP8_c0.t1
OG0000087	As006G128780	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000087	As002G051000	ESY7_g18326_DN3_SP8_c0.t1
OG0000087	As004G086530	ESY7_g16559_DN3_SP8_c0.t1
OG0000087	As003G058850	ESY9_g43361_DN3_SP8_c0.t1
OG0000087	As010G237710	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	As012G273080	ESY1_g11932_DN3_SP0_c0.t1, ESY1_g11987_DN2_SP0_c87.t1, ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1, ESY3_g32095_DN2_SP0_c41.t1, ESY10_g14297_DN3_SP0_c35.t1
OG0000093	As012G284680, As012G284700, As012G284660	ESY1_g11462_DN3_SP0_c0.t1, ESY1_g11487_DN3_SP0_c0.t1, ESY1_g11510_DN3_SP0_c0.t1, ESY1_g11505_DN3_SP0_c21.t1, ESY1_g11460_DN3_SP0_c0.t1, ESY1_g11453_DN3_SP0_c0.t1, ESY1_g11451_DN3_SP0_c19.t1, ESY1_g11458_DN3_SP0_c0.t1, ESY1_g11494_DN3_SP0_c0.t1, ESY1_g10742_DN3_SP0_c0.t1, ESY1_g11463_DN3_SP0_c0.t1
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	ESY7_g16525_DN2_SP0_c0.t1
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	ESY5_g3820_DN1_SP0_c0.t1, ESY5_g3778_DN2_SP0_c0.t1, ESY5_g3779_DN2_SP0_c0.t1, ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1
OG0000102	As010G228120, As002G042100	ESY17_g40075_DN1_SP0_c10.t1
OG0000104	As006G129180, As006G129160	ESY8_g58838_DN3_SP0_c18.t1
OG0000104	As012G271250	ESY2_g37201_DN3_SP0_c14.t1
OG0000106	As002G041170, As002G041390, As002G041440	ESY6_g49250_DN3_SP0_c0.t1, ESY6_g49252_DN1_SP0_c0.t1, ESY5_g3423_DN1_SP0_c0.t1, ESY3_g30215_DN2_SP0_c0.t1, ESY3_g29685_DN2_SP0_c0.t1
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220, As011G252340	ESY4_g23035_DN3_SP0_c29.t1
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	ESY11_g53833_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY6_g47227_DN3_SP0_c0.t1, ESY16_g62256_DN3_SP0_c0.t1, ESY8_g58377_DN1_SP0_c0.t1, ESY8_g58376_DN2_SP0_c0.t1, ESY8_g58375_DN1_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY11_g53834_DN2_SP0_c0.t1, ESY7_g18472_DN3_SP0_c0.t1, ESY11_g54688_DN1_SP0_c0.t1
OG0000111	As002G048150	ESY20_g12773_DN2_SP0_c0.t1
OG0000112	As011G262130, As011G262140, As009G217680, As009G217690	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000116	As011G261080, As012G277730, As011G256700, As005G108990, As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410	ESY8_g58450_DN2_SP0_c0.t1, ESY6_g48234_DN3_SP0_c0.t1, ESY2_g37688_DN2_SP0_c0.t1
OG0000122	As002G036520	ESY18_g63392_DN1_SP0_c0.t1, ESY4_g25959_DN3_SP0_c0.t1, ESY6_g48231_DN2_SP0_c0.t1
OG0000123	As008G183720	ESY5_g2687_DN3_SP0_c0.t1, ESY7_g19049_DN2_SP0_c0.t1, ESY7_g19051_DN3_SP0_c0.t1, ESY5_g3215_DN2_SP0_c2.t1
OG0000125	As006G146230	ESY1_g11076_DN3_SP0_c0.t1, ESY3_g30943_DN3_SP0_c0.t1
OG0000125	As012G277440	ESY3_g30941_DN1_SP0_c0.t1
OG0000125	As005G113770	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1
OG0000125	As005G114700, As010G224880	ESY6_g48851_DN3_SP0_c0.t1
OG0000125	As006G129500	ESY8_g58880_DN2_SP0_c0.t1
OG0000127	As008G186430, As008G186390, As008G185640	ESY5_g3603_DN3_SP0_c0.t1, ESY5_g3611_DN3_SP0_c0.t1, ESY5_g3610_DN3_SP0_c0.t1
OG0000130	As012G279550, As005G110830, As010G226930, As002G040800, As008G191120, As002G040790, As008G191110, As010G226920	ESY3_g27873_DN2_SP0_c0.t1
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	ESY1_g10377_DN3_SP0_c0.t1, ESY5_g2337_DN3_SP0_c0.t1
OG0000135	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440	ESY8_g59370_DN1_SP0_c0.t1, ESY3_g30908_DN2_SP0_c0.t1
OG0000135	As001G004200	ESY5_g3352_DN1_SP0_c0.t1
OG0000135	As004G090030	ESY28_g55049_DN2_SP0_c0.t1
OG0000136	As001G028730	ESY2_g35232_DN2_SP0_c0.t1
OG0000136	As005G116580, As005G116570	ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19367_DN1_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1
OG0000138	As010G224060	ESY6_g49113_DN1_SP0_c0.t1
OG0000138	As001G027950, As001G027940, As007G161530	ESY2_g35115_DN3_SP0_c0.t1, ESY2_g35563_DN3_SP0_c0.t1, ESY2_g35565_DN3_SP0_c0.t1
OG0000139	As001G010560, As008G191170	ESY22_g41120_DN1_SP0_c0.t1
OG0000139	As006G149220, As004G090290	ESY16_g61859_DN1_SP0_c0.t1, ESY4_g22572_DN3_SP0_c0.t1, ESY6_g45791_DN1_SP0_c0.t1
OG0000140	As010G224190, As010G224200, As005G115230, As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	ESY1_g8242_DN3_SP0_c10.t1
OG0000142	As003G060670	ESY18_g63267_DN3_SP0_c0.t1
OG0000143	As007G177750	ESY1_g8270_DN3_SP0_c0.t1
OG0000147	As011G265720	ESY11_g54431_DN3_SP8_c0.t1
OG0000147	As001G002190	ESY4_g24538_DN3_SP0_c0.t1
OG0000147	As002G049060	ESY6_g48428_DN3_SP8_c0.t1
OG0000147	As010G243490	ESY2_g36615_DN3_SP8_c6.t1
OG0000147	As010G227330	ESY8_g60510_DN3_SP0_c0.t1, ESY19_g42179_DN3_SP8_c0.t1
OG0000147	As011G259420	ESY17_g39881_DN3_SP8_c0.t1
OG0000149	As010G224590	ESY2_g37243_DN3_SP0_c7.t1
OG0000149	As010G224610	ESY6_g48779_DN3_SP0_c27.t1, ESY6_g48804_DN1_SP0_c0.t1, ESY6_g48760_DN3_SP0_c14.t1, ESY6_g48773_DN3_SP0_c16.t1, ESY6_g48790_DN3_SP0_c15.t1, ESY6_g48798_DN3_SP0_c9.t1, ESY1_g12339_DN3_SP0_c5.t1, ESY8_g58840_DN3_SP0_c0.t1
OG0000150	As010G225230	ESY6_g48890_DN2_SP0_c0.t1
OG0000151	As007G166070	ESY4_g23864_DN3_SP6_c0.t1
OG0000151	As006G141980	ESY3_g30785_DN3_SP8_c0.t1
OG0000151	As006G133740	ESY3_g30787_DN3_SP0_c0.t1
OG0000151	As011G263600	ESY11_g53876_DN3_SP8_c0.t1
OG0000151	As002G047900	ESY6_g48165_DN3_SP8_c0.t1
OG0000151	As001G030700	ESY2_g33324_DN3_SP8_c0.t1, ESY8_g60049_DN3_SP6_c0.t1
OG0000155	As003G059350	ESY16_g62270_DN3_SP0_c0.t1
OG0000155	As003G059230, As003G059200	ESY9_g43517_DN2_SP0_c81.t1
OG0000156	As005G101540, As012G287040, As012G287050, As005G101590, As008G189910, As005G101570, As005G101560, As005G101580, As001G028010	ESY7_g16345_DN2_SP0_c0.t1
OG0000161	As001G013550, As001G029600, As001G029610	ESY6_g49428_DN3_SP0_c0.t1, ESY7_g19438_DN2_SP0_c0.t1, ESY7_g19441_DN3_SP0_c0.t1, ESY2_g34369_DN3_SP0_c0.t1
OG0000162	As012G286460	ESY1_g12170_DN3_SP0_c0.t1, ESY1_g12160_DN3_SP0_c0.t1, ESY1_g12161_DN3_SP0_c0.t1, ESY1_g12165_DN3_SP0_c0.t1, ESY1_g12162_DN3_SP0_c0.t1, ESY1_g12166_DN3_SP0_c0.t1
OG0000162	As012G286440	ESY1_g12088_DN2_SP0_c6.t1, ESY1_g12083_DN3_SP0_c23.t1, ESY1_g12081_DN2_SP0_c0.t1, ESY1_g12076_DN1_SP0_c0.t1
OG0000162	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570	ESY1_g12080_DN3_SP0_c20.t1
OG0000165	As011G245360	ESY11_g53905_DN3_SP0_c0.t1
OG0000165	As001G011340, As001G010810, As001G010990, As012G282150	ESY2_g37015_DN1_SP0_c0.t1
OG0000166	As011G260470, As002G040840	ESY4_g26280_DN2_SP0_c0.t1
OG0000166	As010G228020	ESY2_g38440_DN2_SP0_c0.t1
OG0000166	As004G081580, As001G006820, As003G064800, As010G230400, As010G226530, As002G041150, As009G205490, As001G005350, As008G194830, As002G036330, As008G185730, As010G227240, As009G213530, As001G028210, As006G147470, As012G278710, As009G209860, As012G278700, As009G212490, As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080	ESY9_g45514_DN1_SP0_c0.t1, ESY15_g64431_DN2_SP0_c0.t1
OG0000167	As003G057890	ESY9_g43020_DN3_SP0_c14.t1
OG0000168	As008G194570, As010G230090	ESY6_g48209_DN3_SP0_c0.t1
OG0000175	As007G156270	ESY5_g3986_DN3_SP8_c0.t1
OG0000175	As011G263590	ESY4_g25500_DN3_SP8_c0.t1
OG0000178	As001G013240	ESY4_g23863_DN2_SP0_c100.t1
OG0000187	As001G003940	ESY4_g24964_DN3_SP0_c0.t1
OG0000191	As007G152760	ESY7_g17124_DN1_SP0_c0.t1
OG0000192	As007G157190	ESY8_g59786_DN2_SP0_c0.t1
OG0000195	As005G112850	ESY6_g49123_DN3_SP5_c0.t1
OG0000195	As001G028840	ESY2_g35240_DN3_SP8_c46.t1
OG0000195	As002G033300	ESY8_g59101_DN3_SP5_c0.t1
OG0000200	As008G194290	ESY11_g52422_DN2_SP0_c0.t1, ESY5_g4830_DN3_SP0_c0.t1, ESY5_g4829_DN3_SP0_c0.t1, ESY5_g2141_DN2_SP0_c0.t1, ESY5_g4744_DN3_SP0_c0.t1, ESY5_g2142_DN2_SP0_c0.t1, ESY5_g4743_DN3_SP0_c0.t1, ESY3_g30089_DN2_SP0_c0.t1, ESY11_g54658_DN3_SP0_c0.t1, ESY12_g51573_DN3_SP0_c0.t1, ESY8_g58357_DN2_SP0_c44.t1
OG0000203	As006G136770	ESY3_g31967_DN2_SP0_c0.t1, ESY3_g31964_DN2_SP0_c0.t1
OG0000204	As011G253820	ESY10_g14368_DN2_SP0_c0.t1
OG0000204	As011G254650	ESY3_g28814_DN3_SP0_c0.t1
OG0000207	As003G061070	ESY2_g36146_DN3_SP0_c12.t1, ESY2_g36116_DN3_SP0_c10.t1, ESY10_g15866_DN3_SP0_c0.t1, ESY7_g18882_DN2_SP0_c0.t1, ESY2_g35546_DN3_SP0_c9.t1, ESY5_g3707_DN3_SP0_c12.t1, ESY5_g3706_DN3_SP0_c14.t1, ESY1_g11118_DN3_SP0_c46.t1, ESY1_g10980_DN2_SP0_c12.t1, ESY4_g25084_DN3_SP0_c12.t1, ESY7_g17384_DN2_SP0_c0.t1
OG0000208	As003G075230	ESY4_g26756_DN3_SP0_c0.t1
OG0000208	As003G075200, As003G075180, As003G075210, As003G060140	ESY4_g26760_DN2_SP0_c0.t1, ESY4_g26757_DN3_SP0_c0.t1
OG0000208	As003G075160	ESY4_g26753_DN3_SP0_c0.t1, ESY4_g26754_DN3_SP0_c0.t1, ESY1_g8953_DN3_SP0_c0.t1
OG0000215	As011G258310	ESY6_g47580_DN2_SP0_c0.t1
OG0000217	As001G019850	ESY2_g34089_DN3_SP0_c0.t1, ESY2_g34090_DN2_SP0_c0.t1
OG0000217	As001G018860	ESY2_g34048_DN3_SP0_c0.t1
OG0000218	As001G022650	ESY7_g18208_DN3_SP0_c0.t1, ESY7_g18205_DN3_SP0_c0.t1, ESY5_g5309_DN3_SP0_c0.t1, ESY10_g14610_DN3_SP8_c0.t1
OG0000219	As001G028510, As001G028520	ESY2_g35211_DN1_SP0_c0.t1, ESY2_g35210_DN1_SP0_c0.t1
OG0000219	As001G028500, As001G028480	ESY3_g31957_DN3_SP0_c0.t1
OG0000219	As003G064990	ESY6_g49711_DN1_SP0_c0.t1
OG0000220	As010G221990, As010G221980, As010G221950, As010G221930, As010G222000, As010G222030, As010G222010, As010G222040	ESY3_g32370_DN2_SP0_c0.t1, ESY3_g32365_DN1_SP0_c79.t1
OG0000221	As002G040520	ESY4_g25962_DN1_SP0_c27.t1, ESY15_g65094_DN1_SP0_c0.t1, ESY3_g29249_DN1_SP0_c0.t1
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	ESY2_g34607_DN3_SP0_c0.t1, ESY2_g34606_DN3_SP0_c0.t1
OG0000224	As001G031540	ESY4_g24972_DN3_SP0_c33.t1, ESY4_g24982_DN3_SP0_c27.t1, ESY2_g33558_DN3_SP0_c0.t1, ESY2_g33557_DN3_SP0_c0.t1
OG0000225	As003G069680, As003G070050, As003G070030	ESY3_g29916_DN2_SP0_c0.t1, ESY3_g29914_DN2_SP0_c0.t1
OG0000228	As007G159250	ESY11_g54171_DN1_SP0_c9.t1, ESY2_g38077_DN3_SP0_c0.t1
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	ESY10_g14421_DN3_SP0_c31.t1, ESY2_g35612_DN2_SP0_c0.t1, ESY2_g35613_DN1_SP0_c0.t1, ESY2_g35611_DN2_SP0_c39.t1
OG0000231	As004G077900	ESY14_g21093_DN2_SP0_c0.t1, ESY8_g60999_DN3_SP0_c0.t1, ESY3_g29895_DN3_SP0_c0.t1, ESY8_g61000_DN3_SP0_c0.t1
OG0000231	As001G028220	ESY10_g14245_DN3_SP0_c0.t1
OG0000234	As012G281470, As012G281460, As006G143800, As009G210340	ESY1_g10786_DN3_SP0_c0.t1, ESY1_g10749_DN1_SP0_c6.t1
OG0000242	As008G183340, As008G183330	ESY33_g12623_DN3_SP0_c0.t1, ESY4_g25388_DN3_SP0_c0.t1, ESY5_g2745_DN3_SP0_c0.t1, ESY5_g2746_DN3_SP0_c0.t1, ESY5_g2748_DN3_SP0_c0.t1, ESY5_g2744_DN3_SP0_c0.t1
OG0000244	As003G059930	ESY9_g43553_DN3_SP0_c0.t1
OG0000244	As004G085820	ESY7_g16354_DN3_SP5_c0.t1
OG0000244	As004G085870	ESY7_g16356_DN3_SP0_c0.t1
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	ESY9_g43563_DN3_SP0_c0.t1, ESY9_g43568_DN3_SP0_c0.t1
OG0000244	As004G085860, As004G085850	ESY7_g16355_DN3_SP3_c0.t1
OG0000246	As011G246640, As012G280010	ESY7_g16249_DN2_SP0_c100.t1
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	ESY5_g2595_DN2_SP0_c6.t1
OG0000249	As012G276740, As006G145310, As006G145330, As008G193990, As006G145350, As006G145320	ESY10_g15197_DN1_SP0_c67.t1
OG0000253	As003G066460	ESY4_g22351_DN2_SP0_c0.t1
OG0000256	As006G142420	ESY12_g50901_DN1_SP0_c88.t1
OG0000257	As002G035710, As012G268510	ESY3_g32555_DN1_SP0_c0.t1, ESY3_g32550_DN1_SP0_c0.t1
OG0000258	As002G048970, As001G025260	ESY11_g54020_DN2_SP0_c65.t1
OG0000259	As011G261730	ESY13_g56166_DN2_SP0_c0.t1
OG0000264	As004G086270, As010G229170	ESY7_g16510_DN3_SP0_c56.t1, ESY7_g16503_DN3_SP0_c20.t1
OG0000270	As003G075960	ESY11_g53846_DN3_SP8_c0.t1
OG0000270	As001G014420	ESY4_g25561_DN3_SP8_c0.t1
OG0000270	As007G156110	ESY2_g36074_DN3_SP8_c0.t1
OG0000271	As004G086280	ESY20_g12697_DN2_SP0_c0.t1
OG0000272	As003G064910, As006G146450, As006G146460	ESY7_g17164_DN1_SP0_c0.t1
OG0000273	As007G156970, As012G273500, As012G273510, As012G273490, As005G107410, As004G078260, As012G273480	ESY1_g10436_DN3_SP0_c58.t1
OG0000276	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920	ESY2_g37679_DN3_SP0_c17.t1
OG0000276	As011G256110	ESY9_g43261_DN3_SP0_c17.t1
OG0000277	As004G096720	ESY2_g38710_DN3_SP0_c0.t1, ESY2_g38730_DN1_SP0_c0.t1, ESY2_g38708_DN3_SP0_c0.t1, ESY2_g38699_DN3_SP0_c0.t1
OG0000280	As004G093300, As002G035770	ESY1_g6464_DN1_SP0_c52.t1
OG0000282	As002G055220	ESY7_g18557_DN2_SP0_c0.t1
OG0000283	As006G125110	ESY20_g12865_DN2_SP3_c0.t1
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	ESY20_g12864_DN3_SP1_c0.t1, ESY20_g12860_DN3_SP1_c0.t1, ESY20_g12861_DN3_SP3_c0.t1, ESY20_g12863_DN3_SP7_c0.t1, ESY20_g12859_DN3_SP1_c0.t1
OG0000284	As006G139300	ESY10_g15359_DN3_SP0_c0.t1, ESY15_g64561_DN3_SP0_c0.t1
OG0000284	As006G139290	ESY2_g37535_DN2_SP0_c0.t1, ESY2_g37380_DN2_SP0_c0.t1, ESY16_g62159_DN3_SP0_c31.t1, ESY1_g10190_DN2_SP0_c0.t1, ESY19_g41982_DN3_SP0_c33.t1, ESY19_g41981_DN2_SP0_c45.t1
OG0000293	As008G189890	ESY10_g13999_DN2_SP0_c0.t1
OG0000293	As008G188650, As004G094780, As002G042500, As003G064050	ESY4_g22426_DN2_SP0_c0.t1
OG0000293	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280	ESY10_g14000_DN2_SP0_c0.t1, ESY10_g13827_DN3_SP0_c0.t1, ESY7_g19224_DN2_SP0_c0.t1
OG0000294	As011G249490	ESY3_g29804_DN3_SP0_c0.t1
OG0000294	As006G145420	ESY9_g44587_DN1_SP0_c0.t1
OG0000294	As005G099900	ESY12_g51392_DN3_SP0_c0.t1
OG0000294	As006G122700	ESY20_g13155_DN3_SP0_c0.t1
OG0000295	As011G246810	ESY11_g54015_DN1_SP0_c100.t1
OG0000297	As008G198730	ESY21_g55414_DN2_SP0_c0.t1, ESY4_g26254_DN1_SP0_c0.t1
OG0000297	As005G114280	ESY6_g48934_DN2_SP0_c0.t1, ESY6_g48920_DN2_SP0_c0.t1, ESY6_g48921_DN2_SP0_c0.t1, ESY6_g48677_DN2_SP0_c0.t1, ESY13_g56623_DN2_SP0_c0.t1
OG0000299	As010G241870, As010G241880	ESY7_g18962_DN3_SP0_c0.t1, ESY7_g18964_DN3_SP0_c0.t1
OG0000299	As010G241860, As009G207860	ESY7_g18963_DN3_SP0_c0.t1
OG0000299	As012G267900	ESY2_g36388_DN3_SP0_c0.t1
OG0000300	As008G194750	ESY11_g52574_DN3_SP0_c0.t1
OG0000303	As003G069740	ESY3_g28366_DN3_SP0_c100.t1, ESY2_g37548_DN3_SP0_c0.t1
OG0000307	As010G227530	ESY11_g53699_DN1_SP0_c63.t1
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	ESY2_g35863_DN3_SP0_c20.t1, ESY5_g4303_DN3_SP0_c13.t1, ESY1_g12097_DN3_SP0_c13.t1
