Orthogroup	Aethionema_saxatile	Arabidopsis_arenosa
OG0000041	As012G279020, As011G257710, As007G164480, As006G148790, As002G037900, As011G259690, As007G166880, As011G257530, As009G209010, As012G277460, As012G278530, As011G256620, As001G005400, As001G012680, As002G037890	jg6878
OG0000044	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110	jg12140
OG0000048	As006G137110, As006G137010, As006G136980	jg24239
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	jg16525, jg5643, jg5639, jg5648, jg5641, jg5640, jg5634, jg5644
OG0000049	As002G044530	jg28661
OG0000055	As001G022050	jg14491
OG0000056	As007G178620	jg25787
OG0000063	As006G129480, As005G114650	jg14371
OG0000066	As002G052230	jg27126, jg7203, jg3219, jg3220
OG0000066	As007G156090	jg30515
OG0000066	As002G052910	jg4871, jg4870, jg29279, jg13471
OG0000066	As005G118450	jg1404
OG0000067	As011G256070, As011G256050	jg4261, jg4260, jg4298
OG0000067	As011G256020	jg12213
OG0000073	As006G137430	jg10924, jg21833
OG0000073	As002G034500, As002G034570, As002G034640	jg21037, jg1752, jg6091
OG0000078	As004G095030	jg9173
OG0000079	As012G285110	jg24132, jg24131, jg15929, jg15924, jg15925, jg17321, jg17317, jg17322, jg15921, jg15922, jg15934, jg12362, jg12361, jg12363, jg12370, jg12367, jg12366, jg11406, jg12369, jg12364, jg15911, jg15928
OG0000083	As006G138550	jg32007, jg27544, jg27541, jg2769, jg2770, jg2771, jg2773, jg26539, jg26554, jg26543, jg26553, jg27213, jg32422, jg24440, jg16886, jg16884, jg2772, jg16885
OG0000086	As009G216030, As009G216300, As009G216040	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973
OG0000087	As010G222260	jg6235
OG0000087	As006G128780	jg17972
OG0000087	As002G051000	jg5068
OG0000087	As012G274980	jg18593
OG0000087	As004G086530	jg20749
OG0000087	As003G058850	jg10485
OG0000087	As010G237710	jg3235
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	jg14230, jg14231, jg17633, jg14563, jg27525, jg14545, jg14558, jg14559, jg14561, jg14507
OG0000089	As002G053510	jg4799
OG0000089	As011G250900	jg26012, jg33022
OG0000089	As012G277570	jg18920, jg15311
OG0000089	As010G224530, As005G115200	jg22870, jg14433
OG0000090	As004G082910	jg21183
OG0000090	As003G065330	jg3251
OG0000090	As012G273080	jg16054, jg15233, jg8905, jg13115, jg28225, jg28226, jg13116, jg29403
OG0000093	As012G284680, As012G284700, As012G284660	jg15862, jg15865, jg15861, jg15848, jg15846, jg27054, jg27053, jg27051, jg27052
OG0000096	As002G036580, As001G019400, As001G019410, As001G019450	jg1261
OG0000096	As004G087370, As004G087300, As004G087270	jg20644
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	jg7810
OG0000098	As001G018420, As001G018430, As001G018440	jg649
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	jg29677, jg29672, jg32280, jg29671, jg11302, jg29664, jg32282, jg12025
OG0000104	As006G129210	jg17890, jg17887, jg17891
OG0000104	As012G271240, As012G271230	jg33349, jg33354
OG0000104	As012G271190, As012G271200	jg33355, jg33352, jg33347
OG0000104	As006G129190	jg17893, jg17886, jg17879, jg17889, jg17885, jg17878
OG0000106	As002G041170, As002G041390, As002G041440	jg25957, jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891, jg27435, jg14860, jg25967, jg25964, jg12059, jg25966
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220	jg26161
OG0000107	As011G252340	jg26163, jg26160
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	jg27471, jg27452, jg27460, jg27464, jg27222, jg27246, jg27226, jg17593, jg16875, jg6402, jg6418, jg6403, jg6404, jg7433, jg17595, jg31284, jg16872, jg27107, jg27264, jg27221, jg27229, jg27223, jg2306, jg27465, jg27461, jg1132, jg6405, jg11987, jg17594, jg31283, jg16874
OG0000111	As002G048150	jg11228
OG0000112	As011G262130, As011G262140, As009G217680, As009G217690	jg16607, jg17599, jg27950, jg23041, jg20712
OG0000114	As006G137050, As006G137080	jg20994, jg24299, jg27419, jg2542, jg20995, jg20998, jg20997, jg20999, jg20992, jg4953, jg7114, jg1323, jg17682, jg20706, jg1189, jg1324, jg1320, jg1319, jg1317, jg1326, jg1329, jg1330, jg27021, jg27601, jg1248, jg2013, jg12353, jg12354
OG0000116	As011G261080, As012G277730, As011G256700, As005G108990, As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410	jg1481, jg15996, jg6981, jg14689, jg7083, jg1902
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	jg13696, jg13697, jg13695
OG0000123	As008G183730, As008G183740	jg14270
OG0000123	As008G183750	jg9826
OG0000123	As008G183720	jg29805, jg647
OG0000125	As005G107620	jg24874, jg3993
OG0000125	As005G113770	jg6123
OG0000125	As005G114700, As010G224880	jg22931
OG0000125	As006G129500	jg17851
OG0000127	As008G186430, As008G186390, As008G185640	jg29525, jg29526, jg29071
OG0000133	As004G090110, As010G227760, As002G038290, As007G165020	jg7039
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	jg6891, jg17431
OG0000135	As001G005020	jg27483
OG0000135	As008G186340	jg27127
OG0000136	As001G028730	jg2128, jg2129, jg2126, jg2127
OG0000136	As005G116580, As005G116570	jg12281
OG0000138	As010G224060	jg13824
OG0000138	As001G027950, As001G027940, As007G161530	jg13817, jg13821
OG0000139	As001G010560	jg27251, jg26448
OG0000140	As005G115230	jg22850
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	jg22845, jg22800, jg21885, jg22801, jg22798, jg22799, jg22848, jg22851, jg22847
OG0000145	As003G069750	jg17724
OG0000146	As002G047180	jg22363, jg21872
OG0000146	As002G047190	jg22365, jg22366, jg22364
OG0000147	As011G265720	jg28078
OG0000147	As001G002190	jg9392
OG0000147	As002G049060	jg22635
OG0000147	As010G243490	jg3697
OG0000147	As010G227330	jg13954
OG0000147	As011G259420	jg27288
OG0000149	As010G224590	jg14423
OG0000149	As010G224610	jg22898, jg22904, jg22901, jg22900, jg14420
OG0000150	As010G225230	jg22960
OG0000150	As010G225180, As010G225220, As010G225210	jg14055, jg4290, jg14331, jg17260, jg17259, jg17257, jg14325
OG0000151	As006G141980, As006G133740	jg24782
OG0000151	As011G263600	jg27769
OG0000151	As002G047900	jg22463
OG0000151	As001G030700	jg12793
OG0000154	As007G152520	jg30094
OG0000154	As009G210670	jg25213
OG0000154	As002G034300	jg24871
OG0000154	As005G107550	jg3985
OG0000155	As003G059350	jg9725, jg14971, jg12562, jg12564, jg12983, jg10429, jg2004, jg10428
OG0000156	As012G287040, As012G287050	jg16151
OG0000156	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580	jg19948
OG0000156	As001G028010	jg16152
OG0000161	As001G013550, As001G029600, As001G029610	jg23140, jg23141, jg33435, jg33436, jg21823, jg17685, jg17683, jg17687, jg31502, jg1832, jg31503, jg1847
OG0000162	As012G286460	jg15299
OG0000162	As012G286440	jg19860
OG0000162	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570	jg16104
OG0000162	As005G102210	jg19859
OG0000164	As011G264140, As011G262780	jg9497, jg31608
OG0000166	As011G260470, As002G040840	jg11859
OG0000166	As010G228020	jg10075, jg17325
OG0000166	As004G081580, As001G006820, As003G064800, As010G230400, As010G226530, As002G041150, As009G205490, As001G005350, As008G194830, As002G036330, As008G185730, As010G227240, As009G213530, As001G028210, As006G147470, As012G278710, As009G209860, As012G278700, As009G212490, As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080	jg27846
OG0000168	As010G230090	jg19451
OG0000169	As010G239290	jg3074
OG0000171	As004G097180	jg29462, jg955, jg30921
OG0000171	As009G200410	jg5289
OG0000175	As010G220360	jg15013
OG0000175	As007G156270	jg30537
OG0000175	As011G263590	jg8854
OG0000187	As001G003940	jg16968, jg9234, jg9235
OG0000187	As001G003960	jg9230
OG0000190	As004G085680	jg7702, jg7704, jg7703, jg7707, jg7705, jg32186
OG0000191	As007G152760	jg25728
OG0000192	As007G157190	jg3362
OG0000192	As007G157180, As007G157200, As007G157210	jg30663
OG0000195	As001G028840	jg2098, jg12245
OG0000195	As002G033300	jg14060
OG0000200	As008G194290	jg14818
OG0000203	As006G136770	jg24303, jg5021, jg5008, jg5007, jg5020, jg5022
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	jg26496
OG0000206	As003G068620, As001G006580	jg33290
OG0000207	As003G061070	jg2551, jg3555, jg3556, jg2081, jg1979, jg2083, jg12504, jg2076, jg17554, jg2082, jg2084, jg11400, jg3554, jg16693, jg30217
OG0000208	As003G075160	jg8418, jg21871
OG0000213	As002G038840	jg16737, jg16738, jg16741, jg16740
OG0000217	As001G019850	jg1353, jg1150, jg1143, jg1140, jg1148, jg1145, jg7386, jg1031
OG0000217	As007G177020	jg1027, jg1032, jg1047, jg7385
OG0000218	As001G022650	jg29979, jg29981, jg29982, jg13337, jg11388, jg12942
OG0000219	As001G028500, As001G028480	jg2178, jg2182, jg2180, jg2179
OG0000219	As003G064990	jg23294, jg23293
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	jg3422, jg3420
OG0000224	As001G031540	jg9231, jg571, jg570
OG0000225	As003G069680, As003G070050	jg31470, jg31479, jg31471, jg31469, jg31473, jg31478, jg31472, jg31468
OG0000228	As007G159250	jg6720, jg6718
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	jg2708, jg2698
OG0000231	As004G077900	jg12412
OG0000231	As001G028220	jg2322, jg11881, jg2248
OG0000232	As002G036540, As006G139020	jg24479, jg24480, jg25056, jg27540, jg27543, jg6484, jg6481, jg25050
OG0000233	As007G163840	jg1869
OG0000233	As005G111800	jg32629
OG0000234	As012G281460	jg15448
OG0000234	As006G143800	jg15447, jg19118
OG0000234	As009G210340	jg5170
OG0000237	As010G229740	jg12894
OG0000237	As011G257810	jg1321
OG0000242	As008G183340, As008G183330	jg27565, jg27567, jg29880, jg29882, jg29883, jg29879
OG0000244	As003G059930	jg10370
OG0000244	As004G085870	jg7736
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	jg10373, jg10374, jg10376, jg10372, jg10371
OG0000244	As004G085860, As004G085850	jg7734, jg7735
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	jg1267
OG0000249	As006G145310	jg18816
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	jg18819
OG0000257	As002G035710, As012G268510	jg24983, jg8499
OG0000258	As002G048970	jg22623
OG0000264	As004G086270, As010G229170	jg7787
OG0000268	As001G023230	jg13018
OG0000268	As001G023220, As001G023200	jg716
OG0000268	As005G106920	jg3910
OG0000268	As012G278370	jg15354
OG0000270	As003G075960	jg8879, jg27707
OG0000270	As001G014420	jg8360
OG0000270	As007G156110	jg3222
OG0000271	As004G086280	jg7876
OG0000272	As006G146460	jg13269
OG0000273	As012G273480	jg32948, jg32949
OG0000274	As005G114920	jg22908
OG0000274	As006G128840, As006G128830	jg17967
OG0000276	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920	jg11537, jg11540
OG0000276	As007G163350, As007G163430	jg10545
OG0000277	As004G096710	jg11133, jg11132
OG0000279	As001G004840, As010G237280	jg14913, jg32174
OG0000279	As007G165600	jg32173
OG0000282	As002G055220	jg4598
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	jg20896, jg20889, jg20890, jg20895, jg20892, jg20894
OG0000284	As006G139300	jg6565
OG0000284	As006G139290	jg24512, jg11645, jg21432
OG0000293	As003G062500	jg13739, jg17397
OG0000293	As011G259530	jg17741
OG0000293	As008G188650, As004G094780, As002G042500, As003G064050	jg16745
OG0000293	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280	jg2108, jg17742, jg16229, jg17720, jg33715, jg13084, jg2107, jg12203, jg8476, jg7941, jg7460
OG0000294	As011G249490	jg25844
OG0000294	As006G145420	jg18827
OG0000294	As008G198060	jg28558, jg8055
OG0000297	As008G198730	jg8679
OG0000297	As005G114280	jg22984, jg21254, jg21265, jg26115
OG0000299	As010G241870, As010G241880	jg11188
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	jg3528, jg3526
OG0000299	As010G241860, As009G207860	jg574
OG0000299	As012G267900	jg33778
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	jg20698, jg1474, jg2927, jg2926, jg12613, jg12614, jg30285, jg2110, jg2919
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	jg22857, jg22859, jg30710
OG0000311	As009G202530	jg5485
OG0000311	As011G249880	jg25896
OG0000311	As004G077290	jg12214
OG0000311	As001G029000	jg2061
OG0000313	As003G058420	jg10548
OG0000313	As007G163450, As007G163440	jg10546
OG0000313	As003G064930	jg16779, jg11100
OG0000314	As008G195840	jg28796
OG0000314	As006G125760	jg28797
OG0000314	As006G125440	jg18340
OG0000316	As008G187440, As008G187910	jg24355
OG0000319	As006G129730, As005G114310, As008G191530	jg29154, jg29153, jg22981
OG0000321	As001G010170	jg12172, jg12224, jg10987, jg10984, jg12178, jg12174, jg12175, jg12188, jg12186
OG0000321	As010G230550	jg12173
OG0000322	As009G214030	jg3516
OG0000322	As007G153590	jg19279, jg7268, jg32496, jg19283
OG0000323	As005G112480	jg9679
OG0000327	As008G195090, As008G195100, As011G263130	jg30941
OG0000328	As001G029880	jg11299
OG0000329	As007G180560	jg19826, jg16118
OG0000332	As001G030000	jg1712
OG0000332	As002G033230	jg5839, jg5838
OG0000332	As011G251780	jg33133
OG0000334	As012G277630	jg15317
OG0000334	As006G146780	jg18934, jg7974, jg7975, jg7976
OG0000339	As003G061400	jg10163
OG0000339	As006G121550	jg8201
OG0000339	As005G101130, As012G287430	jg19995, jg16199
OG0000340	As005G103820	jg2171, jg19687
OG0000340	As005G103800, As005G103810	jg19689
OG0000348	As002G041810	jg6911, jg20347
OG0000348	As002G040050	jg7177, jg27094
OG0000350	As003G070220, As003G070200	jg31515
OG0000351	As009G207800	jg32030, jg32031, jg32032, jg25465, jg25470
OG0000351	As011G246680	jg25466, jg23092
OG0000351	As011G246700, As011G246690	jg25469, jg25468
OG0000351	As009G207810, As011G246650	jg23093, jg25467
OG0000351	As007G177900	jg25462
OG0000352	As007G153380	jg30216
OG0000358	As006G124930, As008G196330	jg28744, jg4767
OG0000358	As008G196390	jg20849, jg4766, jg4765
OG0000359	As012G275420	jg18545
OG0000360	As005G119730	jg23699, jg23698
OG0000362	As006G134970	jg27678
OG0000368	As003G073560, As003G073580	jg8600, jg8601
OG0000368	As003G073600, As003G073590	jg2119, jg8599, jg8598
OG0000370	As007G153440	jg30223, jg30222, jg9938, jg9939
OG0000371	As005G099710, As005G099720	jg31101, jg20131, jg28645, jg29567
OG0000372	As006G132540, As006G132550	jg9737, jg9736, jg9735
OG0000374	As012G273470, As012G273550	jg10334
OG0000378	As003G067400	jg12392, jg6729, jg7062
OG0000382	As006G122900	jg16322, jg28568, jg8018
OG0000382	As008G188710	jg29276
OG0000383	As003G069230	jg31387, jg31388, jg31780, jg17641
OG0000383	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380	jg31386
OG0000384	As011G247740	jg33477, jg33475, jg33476
OG0000386	As001G025230, As001G025220, As011G256850	jg13305, jg13304
OG0000386	As012G276900, As012G276880	jg15261, jg15262
OG0000390	As001G012620	jg6196
OG0000390	As011G251840	jg27023, jg26105, jg26106, jg25857
OG0000391	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360	jg30797, jg30796
OG0000392	As010G221200, As010G221190, As010G221180	jg12312, jg12313, jg14893
OG0000396	As001G026970	jg13602
OG0000396	As001G026990, As001G027000, As001G027010	jg13605, jg13608, jg13604, jg13609
OG0000398	As012G268810	jg33681
OG0000402	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350	jg17326
OG0000403	As001G020780, As001G020790	jg978
OG0000404	As012G276100	jg18747, jg25103, jg15180
OG0000406	As006G136090	jg5527, jg5528, jg5529, jg16033, jg12288, jg12293, jg12284, jg24137
OG0000407	As009G201130, As009G201860	jg7548, jg7545, jg5391, jg5390, jg31104, jg31105, jg31107, jg5315
OG0000410	As001G021670, As001G021680	jg806, jg814, jg805, jg807, jg816, jg815, jg820, jg826, jg821, jg823, jg818, jg817
OG0000411	As001G022090	jg731
OG0000411	As011G261620	jg27082
OG0000411	As003G060010	jg10342
OG0000412	As002G046400	jg22288
OG0000413	As011G245460	jg25335
OG0000413	As002G048240	jg22533
OG0000414	As003G058750, As003G058770, As003G058760	jg31120, jg31118, jg31122, jg31119, jg31117, jg10496, jg10495
OG0000415	As005G104640	jg5048, jg6651, jg19571
OG0000416	As006G125710	jg18234, jg18250
OG0000416	As006G127220, As008G194210	jg28902, jg16969
OG0000417	As007G163710, As008G186410	jg26720, jg26719, jg26718, jg30053, jg7721, jg7722, jg7726, jg7304
OG0000420	As001G015280	jg28285
OG0000421	As004G078160, As004G078150	jg12475, jg12477, jg12476, jg12332, jg12479, jg12478
OG0000422	As008G188280, As008G188290, As008G188300	jg29314, jg29316
OG0000423	As010G241040	jg2908
OG0000429	As009G215310	jg6415
OG0000429	As001G004910	jg9154, jg17131
OG0000430	As011G263500	jg27751
OG0000430	As007G181940	jg16516
OG0000431	As001G019780	jg1153
OG0000431	As008G187750	jg29378, jg29377
OG0000432	As002G044400	jg21967
OG0000432	As006G134280	jg9794
OG0000432	As002G047750	jg22448, jg22447
OG0000433	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400	jg1283
OG0000436	As011G266430, As002G048360	jg9831, jg22554, jg28169
OG0000437	As003G062850	jg32008
OG0000439	As008G194170	jg28950
OG0000439	As012G285510	jg15993
OG0000439	As006G127290	jg18200
OG0000440	As006G136440	jg32381, jg18749, jg5580, jg24181
OG0000441	As011G248660	jg25701
OG0000441	As011G248650	jg25700, jg25699
OG0000446	As009G219000	jg23206
OG0000446	As001G023650	jg13074
OG0000447	As011G247170	jg25527
OG0000447	As004G081330	jg18497
OG0000447	As003G069220	jg31384
OG0000448	As004G089550	jg20366, jg20367, jg20368, jg20365
OG0000449	As010G224860	jg14381
OG0000449	As005G114720	jg22929
OG0000449	As010G224870	jg14380
OG0000449	As005G114730	jg22927, jg22928
OG0000452	As001G002300, As001G002310	jg21310
OG0000453	As002G033360	jg33353
OG0000454	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520	jg21978, jg21979, jg21980
OG0000455	As007G178440	jg17607
OG0000459	As003G058960	jg10462, jg10471, jg26914, jg10468
OG0000460	As005G099100	jg990, jg976
OG0000461	As008G199680	jg28395
OG0000462	As009G214710	jg19077, jg12377, jg32516
OG0000463	As010G224360, As010G224370	jg14457, jg14450, jg14453
OG0000466	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670	jg4077, jg2479
OG0000468	As012G280020	jg15405
OG0000468	As006G125920	jg18363
OG0000468	As006G144160	jg19076
OG0000471	As003G069540, As003G069550	jg31418, jg31424
OG0000472	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050	jg12627
OG0000472	As004G097020	jg12626
OG0000474	As009G216860, As011G261780, As010G222300	jg14718, jg9330, jg16878
OG0000477	As003G057970	jg22754
OG0000477	As004G084280, As009G211280	jg4536, jg27864
OG0000480	As001G013010	jg17441
OG0000481	As001G021880	jg775
OG0000482	As004G077750, As001G028390	jg2227
OG0000483	As002G047220	jg22371
OG0000484	As009G203850	jg8715, jg20575
OG0000486	As001G013050, As001G013370	jg28823, jg28822
OG0000486	As001G013380, As001G013070, As001G013260	jg28821
OG0000486	As001G013270, As001G013060	jg26047
OG0000487	As006G137570, As008G196100	jg28766
OG0000495	As001G001610, As001G001580, As001G001640, As001G001650	jg17057, jg17059
OG0000495	As007G179430, As007G177930	jg9446, jg16811
OG0000496	As002G041620, As001G004760, As001G012100, As004G090800	jg11876
OG0000496	As002G041610	jg17937
OG0000498	As002G045150	jg22061
OG0000499	As003G056720	jg10760
OG0000500	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480	jg20612
OG0000501	As010G232220	jg32175
OG0000504	As006G143860	jg3998, jg19114
OG0000504	As002G037010, As002G034340	jg24877
OG0000505	As009G215510	jg6390, jg6386, jg6385
OG0000506	As010G234690	jg27491, jg2122, jg2123, jg4379, jg2817
OG0000510	As001G020890, As001G020900	jg948, jg949, jg945, jg947, jg944
OG0000511	As011G254140	jg26431
OG0000511	As001G032060	jg26433, jg673
OG0000512	As003G061390	jg10170, jg10168, jg10169, jg10167, jg10166, jg28227, jg10164, jg12984, jg10165
OG0000513	As006G146210	jg15295
OG0000513	As005G114770	jg14385, jg22921
OG0000514	As011G252640, As011G252630	jg26191
OG0000515	As012G267810	jg33807, jg33806
OG0000521	As003G063570	jg32168
OG0000521	As004G080410	jg7215
OG0000521	As007G158420	jg3506
OG0000522	As004G083810	jg31946, jg31949, jg31947, jg7403, jg7401, jg7404
OG0000523	As005G100530	jg20055
OG0000523	As012G287730	jg16235
OG0000524	As006G141600, As006G141560, As006G141590	jg24739, jg21346
OG0000525	As011G246900	jg25495
OG0000525	As012G269710	jg33557
OG0000526	As010G223400	jg14581
OG0000526	As010G223440	jg14578
OG0000529	As005G113510, As005G113490, As005G113470	jg6072, jg6070, jg6067
OG0000530	As009G203010, As009G203020, As009G203100, As009G203060, As009G202740	jg5539, jg5540, jg5538
OG0000533	As007G180830	jg16575
OG0000534	As007G167300, As001G022180, As001G022190, As001G022170, As001G016060	jg708, jg713, jg712, jg742, jg710, jg741, jg709
OG0000535	As001G023320	jg868
OG0000535	As001G023310	jg13028
OG0000536	As010G228630, As004G090520	jg7064, jg12390, jg32655
OG0000537	As006G124070	jg7925
OG0000537	As004G093070	jg11657
OG0000537	As006G141200	jg24704
OG0000538	As005G103710, As005G103700	jg19699, jg19696, jg19698
OG0000539	As005G120910	jg23802
OG0000540	As006G128870, As006G128860, As006G128850	jg17964, jg17962, jg17961
OG0000542	As012G273170	jg32967
OG0000543	As007G177800	jg16929, jg16931, jg17291, jg17003, jg16987, jg17292, jg16935, jg20923, jg16934
OG0000544	As008G195020, As008G195030, As008G195070, As008G195140, As008G195120	jg28859, jg28860
OG0000545	As010G238530	jg3158
OG0000546	As011G264020, As011G264080, As011G264050, As011G264010, As011G264090, As011G264000, As011G264100, As011G263960, As011G264110, As011G263990, As011G264030, As011G264060, As011G263920, As011G264120, As011G263950, As011G263980	jg27825, jg27824, jg27811, jg27820, jg27810, jg27823
OG0000550	As006G144690	jg15181, jg18748, jg33622
OG0000551	As005G117770	jg23481
OG0000551	As003G075520	jg8404
OG0000551	As007G180690	jg16592
OG0000551	As002G053470	jg4806
OG0000552	As012G288190, As005G099880, As007G159560, As003G061630	jg30914, jg32005
OG0000553	As003G063020, As003G063040	jg32059, jg32066
OG0000553	As003G063070, As003G063050	jg32050, jg32429, jg32427, jg32045, jg32424, jg32049, jg32060, jg32058, jg32057, jg32051, jg32065
OG0000554	As007G157590	jg1218
OG0000555	As003G067180	jg7626, jg7624, jg1372, jg1387, jg1382, jg1384, jg1385, jg1383, jg1386, jg7625, jg29414
OG0000556	As004G093660	jg11579
OG0000556	As006G140800	jg21449, jg21453
OG0000557	As012G286190	jg16084, jg16085
OG0000559	As005G107810	jg4024, jg4025, jg4012
OG0000560	As005G115530	jg22886, jg22887
OG0000560	As008G196260, As008G196230	jg28751
OG0000561	As005G118160	jg3374, jg23514, jg23512, jg23516, jg23515
OG0000562	As006G139230	jg24508
OG0000562	As009G200380	jg5286
OG0000562	As009G205610	jg6572
OG0000563	As007G152350	jg30082
OG0000564	As007G177180	jg16981
OG0000565	As010G233040	jg30995, jg2333
OG0000566	As011G250840	jg5898, jg5899, jg31971
