Orthogroup	Aethionema_saxatile	Noccaea_praecox
OG0000029	As008G192170	Np003G172510
OG0000030	As011G260570, As011G260600, As010G228030, As011G258250	Np004G229860
OG0000030	As001G013020	Np003G173700
OG0000031	As006G134510	Np005G318980
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	Np005G284050, Np005G284060
OG0000033	As003G061210, As003G061160	Np005G283820, Np005G284140, Np005G284150, Np005G284160
OG0000035	As005G105710, As005G106260, As012G269410	Np005G313520
OG0000036	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900	Np006G350450
OG0000037	As009G206430	Np002G110300, Np005G302190
OG0000038	As009G211050, As009G210990, As009G210820	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020
OG0000038	As007G157540	Np003G165810, Np005G318000
OG0000041	As002G037900	Np003G171490, Np002G100930
OG0000043	As010G230440, As005G110900	Np008G426930
OG0000044	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000048	As006G137110, As006G137010, As006G136980	Np007G421470
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	Np003G145430, Np003G145400, Np003G145550, Np003G145440, Np003G145490, Np003G145410
OG0000049	As002G044530	Np002G120530
OG0000053	As011G257960, As001G007050, As012G281440, As010G228180, As008G190210, As007G176800, As001G006000, As005G110970, As002G037180, As008G190350, As001G001110, As002G040700, As007G164190, As007G164220, As007G179360, As008G193110	Np002G100500, Np004G233450, Np007G396260
OG0000054	As007G163390, As001G010300	Np004G255790
OG0000055	As001G022050	Np001G046730
OG0000056	As007G178620	Np005G282430
OG0000056	As001G013030, As001G006540, As004G092960, As003G066320	Np003G173160, Np006G358710, Np006G344700, Np009G432740, Np001G036840, Np007G404120
OG0000059	As006G146480	Np008G426920, Np008G426800
OG0000063	As006G129480, As005G114650	Np006G337020
OG0000063	As010G224620	Np003G152670, Np004G251810
OG0000065	As012G279540, As012G279660	Np008G425980, Np003G168940
OG0000066	As010G237910	Np003G137390
OG0000066	As002G052230, As003G074640	Np005G262320
OG0000066	As003G074650	Np002G077780
OG0000066	As002G052910	Np001G003150, Np003G136700
OG0000066	As005G118450	Np004G250000, Np004G250510, Np003G136710
OG0000067	As011G256020	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140
OG0000070	As006G149230, As011G259300	Np002G100330
OG0000070	As004G090980, As011G257970	Np002G099060
OG0000078	As004G095030	Np002G086990, Np002G097240, Np002G092810
OG0000079	As012G285110	Np001G064190, Np007G422670, Np007G389360, Np001G064220, Np001G064140
OG0000082	As009G206420	Np005G299120, Np006G332300
OG0000082	As011G260840	Np005G302180
OG0000083	As006G138550	Np002G090350, Np006G365410, Np002G083710, Np002G083730, Np007G418940
OG0000087	As010G222260	Np001G010980
OG0000087	As006G128780	Np006G350150, Np008G428160
OG0000087	As010G224130	Np001G007020
OG0000087	As002G051000	Np003G139100
OG0000087	As004G086530	Np001G039930
OG0000087	As003G058850	Np005G287110
OG0000087	As010G237710	Np002G077440
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	Np001G038910, Np001G038970
OG0000089	As002G053510	Np003G136030
OG0000089	As011G250900	Np007G395030
OG0000089	As006G146590	Np001G056580
OG0000089	As012G277570	Np006G336940
OG0000089	As010G224530, As005G115200	Np001G046210, Np003G153120
OG0000090	As003G065330	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	As012G273080	Np007G385680, Np001G065320, Np001G065030, Np007G389920
OG0000093	As012G284680, As012G284700, As012G284660	Np001G063230, Np001G005730, Np001G063180, Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400
OG0000096	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360	Np001G038620
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	Np003G184970, Np003G184990
OG0000102	As010G228120	Np006G343540
OG0000102	As002G042100	Np006G343550, Np005G313300, Np007G377750
OG0000104	As006G129210	Np006G360060
OG0000104	As012G271190, As012G271200	Np004G195150, Np004G195140
OG0000104	As006G129190	Np006G360090, Np006G360080
OG0000106	As002G041170, As002G041390, As002G041440	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330, Np007G372640, Np007G394220
OG0000107	As011G252340	Np007G380680
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	Np002G099090, Np002G099030, Np002G099040, Np001G012770, Np001G011650, Np001G011550, Np007G379350, Np007G389900, Np004G259470, Np005G305310, Np001G011560
OG0000111	As002G048150	Np001G006010
OG0000112	As011G262130, As011G262140, As009G217680, As009G217690	Np003G184320
OG0000114	As006G137050, As006G137080	Np003G137830
OG0000116	As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	Np005G315460
OG0000122	As002G036520	Np001G056320
OG0000123	As008G183790, As008G183770	Np003G131420
OG0000123	As008G183730, As008G183740	Np004G243210
OG0000123	As008G183750	Np005G279480
OG0000123	As008G183720	Np003G131130
OG0000125	As012G277440	Np006G337140
OG0000125	As005G107620	Np003G126800
OG0000125	As005G113770	Np003G151060
OG0000125	As005G114700, As010G224880	Np003G152340
OG0000125	As010G224830	Np001G045730
OG0000125	As006G129500	Np006G359820
OG0000127	As008G186430, As008G186390, As008G185640	Np002G096200
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	Np002G099680, Np008G425630
OG0000135	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440	Np003G164400, Np004G199120, Np004G190020, Np006G371220
OG0000136	As001G028730	Np002G086710
OG0000136	As005G116580, As005G116570	Np005G312700
OG0000138	As010G224060	Np002G085260
OG0000138	As001G027950, As001G027940, As007G161530	Np002G085290, Np002G085240, Np002G085270, Np002G085250
OG0000139	As001G010560	Np003G170780, Np004G225070, Np001G033760, Np002G105790
OG0000139	As006G149220, As004G090290	Np006G357120, Np005G298550
OG0000140	As005G115230	Np003G153340
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	Np006G370470, Np006G370770, Np003G153440, Np003G153920, Np003G153420, Np006G362070, Np003G153430, Np007G424390, Np003G153390
OG0000145	As003G069750	Np005G299660
OG0000146	As002G047180	Np003G160230
OG0000146	As002G047190	Np003G160060, Np003G160140, Np003G160190, Np003G160200, Np003G159670
OG0000147	As011G265720	Np007G373950
OG0000147	As001G002190	Np005G273990
OG0000147	As002G049060	Np003G156060
OG0000147	As010G243490	Np002G071170
OG0000147	As010G227330	Np001G043050
OG0000147	As011G259420	Np007G389960
OG0000149	As010G224590	Np001G046040
OG0000149	As010G224610	Np003G152730, Np003G152750, Np003G152700, Np003G152680, Np001G046030
OG0000150	As010G225180, As010G225220, As010G225210	Np001G049320
OG0000151	As007G166070	Np005G277020
OG0000151	As011G263600	Np007G376880
OG0000151	As002G047900	Np003G158280
OG0000151	As001G030700	Np002G123910
OG0000154	As007G152520	Np004G240190
OG0000154	As009G210670	Np007G408850
OG0000154	As002G034300	Np007G413420
OG0000154	As005G107550	Np003G126710
OG0000155	As003G059350	Np004G218540, Np005G287960
OG0000156	As012G287040, As012G287050	Np001G066040, Np001G066790
OG0000161	As001G013550, As001G029600, As001G029610	Np001G008600, Np001G006330, Np001G006400, Np005G311810
OG0000162	As005G102210	Np006G324990
OG0000164	As011G264140, As011G262780	Np005G275210
OG0000166	As011G260470, As002G040840	Np001G026760
OG0000166	As010G228020	Np005G320040, Np003G142830
OG0000167	As003G057890	Np005G289630, Np005G289610
OG0000168	As010G230090	Np007G402480
OG0000171	As005G099780	Np006G321770, Np001G068570
OG0000171	As001G020870	Np002G116080, Np004G248080
OG0000171	As009G200410	Np003G141590
OG0000175	As007G156270	Np004G235400
OG0000184	As004G089570	Np006G360300, Np002G106510, Np011G435860, Np005G276430
OG0000187	As001G003940	Np005G271570, Np005G271520
OG0000187	As001G003960	Np005G271420
OG0000190	As004G085680	Np003G183360, Np003G183500, Np003G183510, Np003G183520, Np003G183410, Np003G183480
OG0000191	As007G152760	Np007G391150, Np007G391080
OG0000192	As007G157190	Np002G086820, Np007G389770, Np002G076020
OG0000195	As005G112850	Np001G043630
OG0000195	As001G028840	Np005G312480
OG0000200	As008G194290	Np004G254580
OG0000203	As006G136770	Np007G420850
OG0000204	As011G254650	Np007G383490
OG0000206	As001G006580	Np004G216740
OG0000207	As003G061070	Np002G073040, Np002G073080, Np002G073110, Np002G073100
OG0000208	As003G075200, As003G075180, As003G075210, As003G060140	Np001G040580
OG0000213	As002G038840	Np006G368010, Np006G368000
OG0000215	As011G258310	Np003G161640
OG0000218	As001G022650	Np004G241490, Np004G241460, Np006G363350, Np003G174250, Np005G283350, Np001G027320, Np001G027310
OG0000219	As003G064990	Np003G187720, Np001G006210, Np001G006190, Np001G008170
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	Np002G074890, Np002G074880, Np002G074860
OG0000224	As001G031540	Np002G096650, Np002G121630, Np002G121680, Np002G121650, Np002G121690
OG0000225	As003G069680, As003G070050	Np004G212520, Np004G212510
OG0000225	As003G070030	Np004G212610
OG0000228	As007G159250	Np004G230940
OG0000228	As010G233780, As010G233750	Np004G230880
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	Np002G084540, Np002G084530
OG0000231	As004G077900	Np003G174440
OG0000231	As001G028220	Np004G203320
OG0000232	As002G036540, As006G139020	Np006G352410, Np006G352420
OG0000234	As012G281460	Np001G058680
OG0000234	As006G143800	Np001G058670, Np006G333910
OG0000234	As009G210340	Np003G140390
OG0000237	As011G257810	Np007G404060, Np011G435600, Np006G353300, Np009G431940, Np002G099080, Np003G175580, Np002G097080, Np006G342880, Np006G359350, Np008G429030, Np007G401030, Np005G294080, Np004G224840, Np005G294060, Np007G399830, Np003G170910, Np007G400600, Np006G349720, Np002G102550
OG0000242	As008G183340, As008G183330	Np004G242740, Np004G242760
OG0000244	As003G059930	Np005G286400
OG0000244	As004G085860, As004G085850	Np003G183740
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	Np002G112170
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	Np003G177600, Np006G338400
OG0000256	As006G142420	Np003G183110
OG0000257	As002G035710, As012G268510	Np007G377760
OG0000258	As002G048970	Np003G156210
OG0000259	As011G261730	Np006G352720, Np001G046070, Np003G171180, Np007G395670, Np002G108230, Np001G034910, Np001G020540, Np001G046060
OG0000264	As004G086270, As010G229170	Np003G185830
OG0000268	As001G023230	Np001G026200
OG0000268	As005G106920	Np003G125800
OG0000268	As012G278370	Np001G057220
OG0000270	As003G075960	Np005G260870, Np005G265330
OG0000270	As001G014420	Np007G377200
OG0000270	As010G237880, As007G156110	Np004G235580
OG0000271	As002G034810, As005G108140	Np007G395360
OG0000273	As007G156970	Np005G262870
OG0000274	As005G114920	Np003G152640
OG0000276	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920	Np005G308640
OG0000276	As011G256110	Np005G309120
OG0000276	As007G163350, As007G163430	Np001G039310
OG0000276	As003G058440, As003G058430	Np005G288560
OG0000277	As004G096720	Np005G302420
OG0000279	As007G165600	Np004G200390
OG0000282	As002G055220	Np003G133510, Np003G133520
OG0000283	As006G125110	Np001G041370
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	Np001G041380, Np001G041420, Np001G041390, Np001G041410
OG0000284	As006G139300	Np001G014190
OG0000284	As006G139290	Np007G375910, Np007G417960
OG0000293	As010G230080, As008G189890, As003G062500, As011G259530	Np002G120030
OG0000293	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280	Np004G190010, Np002G085880, Np002G076910, Np005G279570, Np005G316960, Np005G306070, Np006G342490, Np001G016080, Np001G018530, Np004G229290, Np002G120040, Np002G091530, Np004G249640, Np001G044040, Np002G109460, Np006G325310, Np005G313800, Np002G083290
OG0000294	As011G249490	Np007G392540
OG0000294	As006G145420	Np006G338230
OG0000294	As006G122700	Np003G187470
OG0000297	As008G198730	Np004G201930
OG0000297	As005G114280	Np003G151840, Np007G397060
OG0000299	As010G241870, As010G241880	Np003G129930, Np002G107890
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	Np006G367710, Np004G208320
OG0000299	As012G267900	Np004G190450
OG0000300	As008G194750	Np007G389100
OG0000303	As003G069740	Np002G108940, Np005G299670
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	Np004G238420, Np003G180510, Np005G316710
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	Np003G153250, Np003G152770
OG0000311	As009G202530	Np003G143670
OG0000311	As012G273730	Np004G199430
OG0000311	As011G249880	Np007G393150
OG0000311	As004G077290	Np005G312280
OG0000311	As001G029000	Np002G095870
OG0000313	As007G163450, As007G163440, As003G064930	Np005G309150
OG0000314	As008G195840	Np004G255460
OG0000314	As006G125760	Np006G357070, Np004G255440
OG0000315	As006G137990, As006G137760	Np006G328650
OG0000316	As008G187440, As008G187910	Np002G115140, Np006G331480, Np006G331350, Np006G331360, Np006G358410, Np004G208610
OG0000319	As006G129730, As005G114310, As008G191530	Np003G151880, Np005G304320, Np004G196850, Np005G304300
OG0000321	As001G010170	Np004G208960, Np005G311650, Np005G311700
OG0000321	As010G230550	Np005G311720
OG0000322	As009G214030	Np002G073460
OG0000322	As007G153590	Np004G211110, Np006G331820, Np002G082860
OG0000323	As002G045490	Np003G162270
OG0000323	As005G112480	Np005G277420, Np005G277440
OG0000327	As001G019790	Np004G229850
OG0000327	As001G019810, As001G019800, As008G195090, As008G195100, As011G263130	Np006G364610, Np006G364600
OG0000328	As001G029880	Np005G304570
OG0000328	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070	Np004G232390, Np005G314470, Np005G314440
OG0000329	As007G180560	Np001G065660, Np006G369220, Np006G365770, Np001G066400
OG0000332	As002G033230	Np003G147850, Np003G147860
OG0000334	As012G277630	Np001G056660
OG0000334	As006G146780	Np006G336790, Np003G186670
OG0000338	As008G188190, As008G188080, As001G019490, As001G019290	Np002G112620, Np002G111810, Np004G249560, Np004G249390
OG0000339	As003G061400	Np005G283750
OG0000339	As005G101130, As012G287430	Np006G323420, Np001G067270
OG0000340	As005G103820	Np006G326900
OG0000340	As005G103800, As005G103810	Np006G326810
OG0000348	As002G041810	Np006G350410
OG0000348	As002G040050	Np003G172280, Np005G296790
OG0000350	As003G070220, As003G070200	Np004G212930
OG0000351	As009G207800	Np007G388910
OG0000351	As011G246680	Np001G008310
OG0000351	As011G246700, As011G246690	Np002G084610
OG0000351	As011G246600	Np001G009150
OG0000352	As007G153380	Np004G239260
OG0000358	As006G124930, As008G196330	Np004G256010
OG0000358	As008G196390	Np003G135730, Np001G041050, Np003G135720
OG0000360	As005G119730	Np001G001460, Np001G001470
OG0000362	As006G134970	Np002G098770
OG0000362	As007G152630	Np004G240140
OG0000363	As009G209420	Np004G216110
OG0000368	As003G073560, As003G073580	Np005G269260, Np005G269240
OG0000368	As003G073600, As003G073590	Np005G269270, Np005G269280
OG0000369	As006G145250, As010G224820, As006G129520	Np001G045740
OG0000370	As007G153440	Np004G239190, Np004G239200, Np004G239180, Np005G280980, Np005G280970, Np005G280960, Np005G280940, Np005G280920
OG0000371	As005G099710, As005G099720	Np006G321660, Np003G162330, Np005G306140, Np006G321270, Np006G321650
OG0000374	As012G273470, As012G273550	Np006G361320
OG0000377	As001G021080	Np002G116540
OG0000377	As001G021090	Np002G116470, Np002G090780
OG0000378	As003G067400	Np005G299340, Np003G160810
OG0000382	As006G122900	Np004G257810, Np003G187110
OG0000382	As001G018980	Np004G250010
OG0000383	As003G069230	Np004G211580
OG0000383	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380	Np004G211550
OG0000384	As011G247740	Np004G194020
OG0000386	As001G025230, As001G025220, As011G256850	Np001G022850, Np001G022830, Np001G022820
OG0000386	As012G276900, As012G276880	Np004G197570, Np001G056100
OG0000389	As001G003830	Np004G204920
OG0000390	As001G012620	Np001G010580
OG0000390	As011G251840	Np007G396900, Np007G396890, Np007G392350, Np007G392370, Np007G392400, Np007G378210
OG0000396	As001G026970	Np001G019970
OG0000396	As001G026990, As001G027000, As001G027010	Np001G019930, Np001G019950, Np001G019940, Np002G108160
OG0000402	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350	Np003G142810, Np002G111680, Np005G263270, Np004G225720, Np007G386530, Np001G020580, Np001G051050, Np002G110350, Np006G355770, Np001G026750
OG0000402	As010G227030, As011G257290	Np004G247170, Np006G355760
OG0000403	As001G020780, As001G020790	Np002G115780
OG0000404	As012G276100, As006G144680, As002G037330	Np006G339530, Np001G054740, Np003G131430, Np007G410290
OG0000405	As002G037720	Np005G295230
OG0000406	As006G136090	Np003G144160, Np002G105970, Np002G112240, Np005G307540, Np005G312730, Np007G422620
OG0000407	As009G201130, As009G201860	Np007G393170, Np002G094740, Np002G077750
OG0000410	As001G021670, As001G021680	Np002G118080
OG0000411	As001G022090	Np002G119350
OG0000411	As011G261620	Np007G389260
OG0000411	As004G085710	Np003G183560
OG0000411	As003G060010	Np005G286200
OG0000412	As002G046400	Np003G163330
OG0000412	As006G132500	Np005G278350
OG0000412	As012G271680	Np004G196050
OG0000413	As011G245460	Np007G407430
OG0000413	As002G048240	Np005G279440
OG0000414	As003G058750, As003G058770, As003G058760	Np004G225620
OG0000415	As005G104640	Np004G202110, Np007G378170
OG0000416	As006G125710	Np006G355480, Np006G355650, Np006G355470, Np006G355660
OG0000417	As007G163710, As008G186410	Np007G388160, Np007G419850, Np007G419700, Np007G419930, Np007G421830, Np007G421890, Np007G421780
OG0000420	As010G222670	Np006G331960, Np006G336360, Np006G336370
OG0000421	As004G078160, As004G078150	Np005G314770, Np005G314820, Np005G314810, Np005G314850, Np005G314860, Np005G314760
OG0000422	As008G188280, As008G188290, As008G188300	Np004G249670, Np001G044100
OG0000423	As010G241040	Np002G082000
OG0000423	As012G269020	Np004G191630
OG0000429	As009G215310	Np001G012860
OG0000429	As002G052030	Np003G137770
OG0000429	As001G004910	Np005G270340, Np006G363880
OG0000430	As011G263500	Np007G377070
OG0000430	As001G014590	Np005G265490
OG0000430	As003G076100	Np005G260590
OG0000430	As007G181940	Np006G371120
OG0000431	As001G019780	Np002G113550
OG0000431	As008G187750	Np004G248890, Np004G248900
OG0000432	As002G044400	Np003G165250
OG0000432	As002G047750	Np003G149220, Np007G376900, Np003G159570, Np003G158520
OG0000433	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400	Np002G112440
OG0000435	As001G004050, As006G138290, As011G260090, As011G260040	Np004G236930
OG0000436	As011G266430, As002G048360	Np005G279590, Np003G157260, Np007G372950
OG0000437	As003G062850	Np004G206660, Np004G206670, Np001G036170
OG0000438	As004G085300	Np003G182660
OG0000439	As008G194170	Np004G253720
OG0000439	As012G285510	Np001G064720
OG0000439	As006G127290	Np006G355120
OG0000440	As006G136440	Np003G128340, Np003G128320, Np003G144800, Np007G422200
OG0000441	As011G248660	Np007G390830
OG0000446	As009G219000	Np001G007230
OG0000446	As001G023650	Np001G025190
OG0000446	As008G183010	Np004G242300
OG0000447	As011G247170	Np007G404710
OG0000447	As004G081330	Np006G343160
OG0000447	As003G069220	Np004G211530
OG0000448	As004G089550	Np006G360200, Np006G360170, Np001G009660, Np001G033730
OG0000449	As010G224860	Np001G045710
OG0000449	As005G114720	Np003G152360
OG0000449	As010G224870	Np001G045700
OG0000449	As005G114730	Np003G152370
OG0000452	As001G002300, As001G002310	Np005G273490
OG0000453	As008G192270	Np002G119500
OG0000454	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520	Np003G165150
OG0000455	As007G178440	Np004G233010
OG0000459	As003G058960	Np005G287320, Np005G287280, Np005G287330, Np005G287340
OG0000461	As008G199680	Np004G259940
OG0000461	As006G146770	Np006G336810, Np006G336820, Np006G336800
OG0000462	As009G214710	Np007G374660
OG0000463	As010G224360, As010G224370	Np001G046500, Np001G046440, Np001G046450, Np001G046420
OG0000466	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670	Np006G324970, Np003G127910, Np003G127830, Np003G127870, Np003G127860, Np003G127900, Np006G324960
OG0000467	As004G088230, As012G284990	Np001G063650, Np001G036770, Np005G291060
OG0000468	As012G280020	Np001G057840
OG0000468	As006G125920	Np006G357390
OG0000468	As006G144160	Np006G334580
OG0000471	As003G069540, As003G069550	Np005G306540, Np001G015170, Np004G216590, Np004G211860, Np002G114330, Np004G211880
OG0000472	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050	Np005G317070, Np005G317120, Np005G317110, Np005G317080, Np005G317060
OG0000472	As004G097020	Np005G317040, Np005G316840
OG0000473	As012G288330, As005G099530	Np001G068690
OG0000474	As011G261780, As010G222300	Np006G366370
OG0000477	As004G084280, As009G211280	Np003G154550, Np003G132840, Np006G335660
OG0000480	As001G013010	Np002G103440
OG0000481	As001G021880	Np002G118670
OG0000482	As004G077750, As001G028390	Np002G093240, Np005G313460
OG0000483	As002G047220	Np003G159730, Np003G159870
OG0000484	As009G203850	Np005G267760, Np005G267780
OG0000486	As001G013050, As001G013370	Np001G066700, Np001G066070, Np001G068030, Np001G065890, Np001G065930
OG0000486	As001G013380, As001G013070, As001G013260	Np001G065990, Np001G065910, Np001G065960
OG0000487	As006G137570, As008G196100	Np006G346030
OG0000487	As006G129680	Np007G420570
OG0000495	As001G001610, As001G001580, As001G001640, As001G001650	Np005G308300, Np005G274750
OG0000495	As007G179430, As007G177930	Np003G177080, Np003G177180
OG0000496	As002G041610	Np008G426990
OG0000497	As009G210870, As009G211010	Np007G381080
OG0000497	As010G233080, As007G164590, As007G163820, As007G164600	Np003G142090
OG0000497	As002G040610	Np007G399200
OG0000498	As002G045150	Np003G163900
OG0000499	As003G056720	Np005G291890
OG0000499	As012G269540	Np007G405570
OG0000500	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480	Np001G038410
OG0000501	As010G232220	Np004G203910
OG0000504	As006G143860	Np003G126850
OG0000504	As002G037010, As002G034340	Np007G413350
OG0000505	As009G215510	Np001G012450, Np003G174160, Np003G174150, Np001G012530
OG0000506	As010G234690	Np003G131500
OG0000509	As001G017890	Np005G299470
OG0000510	As001G020890, As001G020900	Np002G116120
OG0000511	As011G254140	Np007G382620
OG0000511	As001G032060	Np002G120210
OG0000512	As003G061390	Np005G283790
OG0000513	As006G146210	Np001G056460
OG0000513	As005G114770	Np001G045750, Np003G152500
OG0000515	As012G267810	Np004G190200
OG0000520	As002G050660, As002G050220, As012G287100	Np006G323880, Np001G018160, Np001G066860
OG0000521	As003G063570	Np004G204100
OG0000521	As004G080410	Np003G176230
OG0000521	As007G158420	Np004G232310, Np002G073540
OG0000522	As004G083810	Np004G205820, Np003G178580, Np003G178570, Np003G178600
OG0000523	As005G100530	Np006G322790
OG0000523	As012G287730	Np001G067730, Np001G067720
OG0000524	As006G141600, As006G141560, As006G141590	Np007G414910, Np007G414950, Np001G018020
OG0000525	As010G241940	Np002G073270
OG0000525	As007G153430	Np004G239210
OG0000525	As012G269710	Np004G192850
OG0000526	As010G223400	Np001G047600
OG0000530	As009G203010, As009G203020, As009G203100, As009G203060, As009G202740	Np004G249530, Np004G249410, Np003G144290, Np007G422370, Np007G422270
OG0000534	As007G167300, As001G022180, As001G022190, As001G022170, As001G016060	Np002G119620
OG0000535	As001G023320	Np002G087460, Np001G026080, Np001G026060, Np001G026090, Np002G117340
OG0000535	As001G023310	Np001G026100
OG0000537	As006G124070	Np003G185370
OG0000537	As004G093070	Np005G307590
OG0000538	As005G103710, As005G103700	Np006G326720, Np006G340650, Np006G326730, Np003G153770
OG0000539	As005G120910	Np001G000020
OG0000540	As006G128870, As006G128860, As006G128850	Np006G360630
OG0000541	As006G128960, As006G128940	Np007G414370
OG0000542	As009G202020	Np003G143150
