Orthogroup	Aethionema_saxatile	Capsella_rubella
OG0000043	As002G039460	XP_023640334.1
OG0000043	As010G230440, As005G110900	XP_023634647.1
OG0000048	As006G137100, As006G137070, As006G137030	XP_006298876.1
OG0000048	As006G136970	XP_006300074.1
OG0000048	As006G137110, As006G137010, As006G136980	XP_006296650.2
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	XP_006286648.1, XP_006289998.1, XP_006289391.1, XP_006290038.2, XP_023636207.1, XP_006289130.1, XP_006286674.1, XP_006289917.1
OG0000055	As001G022050	XP_006292456.1
OG0000066	As002G052230	XP_006284727.1, XP_006302978.1, XP_006284722.1, XP_006288773.2
OG0000066	As007G156090	XP_006304375.1
OG0000066	As005G118450	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000067	As011G256070, As011G256050	XP_006289556.2, XP_023637280.1
OG0000070	As010G229730	XP_023634145.1
OG0000073	As006G137430	XP_023635630.1, XP_006282434.2, XP_006296267.1, XP_023636310.1
OG0000073	As002G034500, As002G034570, As002G034640	XP_023634969.1, XP_023636248.1
OG0000078	As004G095030	XP_023634352.1
OG0000079	As012G285110	XP_006297834.2, XP_006297586.1, XP_006293285.1, XP_006290714.1, XP_023639082.1, XP_006291126.2, XP_006290346.1, XP_006285033.2, XP_006285578.1, XP_006286115.1, XP_023635365.1, XP_006285901.1, XP_006285558.1, XP_006283699.2, XP_023634418.1, XP_006292365.1
OG0000082	As011G260840	XP_023639594.1
OG0000083	As006G138550	XP_023643800.1, XP_006290619.2, XP_023644310.1, XP_006299320.2, XP_006299852.1, XP_023639559.1, XP_006293700.1, XP_006293701.1, XP_006295969.1, XP_006299638.1
OG0000086	As009G216030, As009G216300, As009G216040	XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301176.1, XP_006301855.1, XP_006306169.1, XP_006301107.1, XP_006301675.1, XP_006301967.1, XP_006301373.1, XP_006279222.1, XP_006279224.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301177.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006281741.1
OG0000087	As010G222260	XP_006287738.1
OG0000087	As006G128780	XP_006294210.1
OG0000087	As010G224130	XP_006292748.1, XP_006291122.1
OG0000087	As002G051000	XP_006289933.1
OG0000087	As004G086530	XP_006281513.1
OG0000087	As003G058850	XP_006283733.1
OG0000087	As010G237710	XP_006302256.1
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	XP_023640385.1, XP_006296540.2, XP_023639002.1, XP_023637739.1, XP_023639072.1
OG0000089	As002G053510	XP_006287952.1
OG0000089	As011G250900	XP_006297920.1
OG0000089	As010G224530, As005G115200	XP_006282193.1, XP_006291307.1
OG0000090	As004G082910	XP_023637791.1
OG0000090	As003G065330	XP_006302938.1
OG0000090	As012G273080	XP_023637735.1, XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1, XP_006295429.1, XP_023638023.1, XP_006291940.1, XP_006292249.1, XP_006292823.1, XP_006292597.1, XP_006291986.1, XP_006292951.2, XP_006292400.1, XP_006290298.1, XP_006292236.1, XP_006305612.2
OG0000093	As012G284680, As012G284700, As012G284660	XP_006292664.2, XP_023638587.1, XP_006300210.2, XP_006299293.1, XP_006299888.1, XP_023642620.1, XP_006300054.1
OG0000096	As004G087370, As004G087300, As004G087270	XP_006281971.1
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	XP_006288252.1
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	XP_006301979.2, XP_023644396.1, XP_006306386.2
OG0000104	As006G129180, As006G129160	XP_006296547.2
OG0000104	As012G271190, As012G271200	XP_006306741.1, XP_023645225.1
OG0000104	As006G129190	XP_023640019.1, XP_006293405.1
OG0000106	As002G041170, As002G041390, As002G041440	XP_023638935.1, XP_006297929.1, XP_006299978.1, XP_006297893.1
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220	XP_006299861.1
OG0000107	As011G252340	XP_023642039.1, XP_006299064.2, XP_006290930.1, XP_006289895.1, XP_006297460.1
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	XP_006289986.1, XP_006289767.1, XP_023635773.1, XP_006305026.1, XP_006300240.1, XP_023641898.1, XP_006297881.1, XP_006292655.1
OG0000112	As011G262130, As011G262140, As009G217680, As009G217690	XP_006281753.1
OG0000114	As006G137050, As006G137080	XP_006286802.2, XP_023643586.1, XP_023644300.1, XP_023642837.1, XP_023643772.1, XP_006282379.2, XP_023640588.1, XP_023640573.1, XP_006279879.2, XP_023640358.1, XP_023643420.1, XP_023643303.1, XP_023643595.1, XP_023641389.1, XP_023638531.1, XP_023634080.1, XP_023634084.1, XP_023634083.1
OG0000116	As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410	XP_023643610.1, XP_023632899.1, XP_023642575.1, XP_023637419.1
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000123	As008G183790, As008G183770	XP_006303793.1
OG0000123	As008G183730, As008G183740	XP_006292772.1
OG0000123	As008G183720	XP_006306407.1, XP_006285014.1, XP_023634253.1
OG0000125	As006G146230, As012G277440	XP_006292034.1
OG0000125	As005G107620	XP_006298831.2, XP_006286660.1
OG0000125	As005G113770	XP_006289049.1
OG0000125	As005G114700, As010G224880	XP_006281264.1
OG0000127	As008G186430, As008G186390, As008G185640	XP_023646069.1
OG0000136	As001G028730	XP_006302616.1, XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302255.2
OG0000138	As010G224060	XP_023638093.1
OG0000138	As001G027950, As001G027940, As007G161530	XP_006291108.1, XP_023639277.1, XP_023638690.1
OG0000140	As005G115230	XP_006279478.2
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	XP_023641991.1, XP_023640932.1, XP_023642636.1, XP_023640928.1, XP_006280067.1, XP_006280069.1
OG0000143	As007G177750	XP_023644612.1
OG0000145	As004G091580	XP_023634435.1
OG0000146	As002G047180	XP_006281729.1, XP_006280772.1
OG0000146	As002G047190	XP_023637930.1, XP_006281726.2, XP_006281991.1
OG0000147	As011G265720	XP_006296920.1
OG0000147	As001G002190	XP_006282542.1
OG0000147	As002G049060	XP_006282289.1
OG0000147	As010G243490	XP_023643729.1
OG0000147	As010G227330	XP_006279360.1
OG0000147	As011G259420	XP_006279406.1
OG0000149	As010G224610	XP_023639042.1, XP_023633454.1, XP_023638653.1, XP_023638620.1, XP_006292697.1
OG0000150	As010G225180, As010G225220, As010G225210	XP_023638877.1, XP_006292836.2, XP_006292499.2, XP_006291315.2, XP_006296419.2, XP_006295986.2, XP_023638901.1
OG0000151	As007G166070	XP_006284700.1
OG0000151	As006G141980, As006G133740	XP_006298742.1
OG0000151	As011G263600	XP_006298751.1
OG0000151	As002G047900	XP_006281239.2
OG0000151	As001G030700	XP_006302865.2, XP_006284706.1
OG0000154	As007G152520	XP_006306285.1
OG0000154	As009G210670	XP_006297173.1
OG0000154	As002G034300	XP_006297174.1
OG0000154	As005G107550	XP_006287234.1
OG0000155	As003G059350	XP_006286160.1, XP_006289794.2, XP_023643783.1, XP_023634855.1
OG0000155	As003G059230, As003G059200	XP_023640442.1
OG0000156	As012G287040, As012G287050	XP_006292819.2
OG0000156	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580	XP_023639945.1
OG0000156	As001G028010	XP_006293280.2
OG0000161	As001G013550, As001G029600, As001G029610	XP_023635333.1, XP_023645120.1, XP_023640860.1, XP_023640089.1, XP_023644195.1, XP_023637621.1, XP_023644191.1
OG0000162	As012G286460	XP_006292318.1
OG0000162	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570	XP_006293088.1
OG0000162	As005G102210	XP_006294103.1
OG0000164	As011G264140, As011G262780	XP_006285583.1, XP_006303757.2
OG0000167	As003G057890	XP_023634123.1
OG0000171	As007G159620, As001G020870	XP_006305640.2
OG0000171	As003G073770	XP_006302886.1
OG0000171	As009G200410	XP_023635842.1
OG0000175	As010G220360	XP_006293293.1
OG0000175	As007G156270	XP_006305647.1
OG0000175	As011G263590	XP_006282726.1
OG0000175	As011G264780, As003G072250	XP_006296623.1
OG0000184	As004G089570	XP_023640341.1
OG0000187	As001G003940	XP_023634987.1
OG0000187	As001G003960	XP_006283864.1
OG0000190	As004G085680	XP_006289433.1, XP_006286464.1, XP_006286371.1, XP_006289092.1, XP_023635846.1, XP_006289348.1, XP_006287233.1, XP_023635847.1, XP_006289234.1, XP_006286467.1, XP_006286468.1
OG0000191	As007G152760	XP_006299132.1
OG0000195	As001G028840	XP_006302967.1, XP_006284698.1
OG0000195	As002G033300	XP_006286601.1, XP_023639142.1
OG0000200	As008G194290	XP_006279047.1
OG0000203	As006G136770	XP_006289243.1, XP_006289137.1, XP_006286705.1
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	XP_006296746.1
OG0000206	As003G068620, As001G006580	XP_023634705.1
OG0000207	As003G061070	XP_006300476.1, XP_023643999.1, XP_006279053.2, XP_006303104.2, XP_006301337.1, XP_006300995.1, XP_006301845.1, XP_023633659.1
OG0000208	As003G075160	XP_006285226.1, XP_006283573.1, XP_006279822.1, XP_006287519.1, XP_006282055.1, XP_006280314.1, XP_023633561.1
OG0000213	As002G038840	XP_006296372.1, XP_023640523.1, XP_006296383.1, XP_023640521.1, XP_023640517.1, XP_006295774.1, XP_006294243.1, XP_006294239.1
OG0000217	As001G019850	XP_006300342.1, XP_006300602.2, XP_006301589.1, XP_023643817.1, XP_023643476.1, XP_006300712.1
OG0000217	As007G177020	XP_006301247.2, XP_023644098.1, XP_023643741.1
OG0000218	As001G022650	XP_006305966.2, XP_006306087.1, XP_023638990.1, XP_006291999.1, XP_023638678.1, XP_006291997.1, XP_006291995.1
OG0000219	As001G028500, As001G028480	XP_006300988.1, XP_006300969.1, XP_006300929.1, XP_006301393.1
OG0000219	As003G064990	XP_023633471.1
OG0000220	As010G225590, As010G227890	XP_023632799.1
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	XP_006301754.1, XP_006302386.1
OG0000224	As001G031540	XP_006299068.1, XP_006291286.1, XP_006300513.1, XP_006301062.1, XP_006301004.1
OG0000225	As003G069680, As003G070050	XP_006305710.2, XP_006304552.1, XP_023632576.1, XP_006305771.1, XP_006304293.1, XP_006305764.1, XP_006304484.1
OG0000228	As007G159250	XP_006289231.1
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	XP_023644384.1
OG0000231	As004G077900	XP_006283372.1
OG0000231	As001G028220	XP_006301976.1, XP_023645946.1, XP_023643170.1, XP_023643807.1
OG0000232	As002G036540, As006G139020	XP_006296962.1, XP_006296911.1, XP_023632678.1, XP_006296942.1, XP_006296914.1, XP_006286443.2
OG0000234	As012G281460	XP_006292545.1
OG0000234	As006G143800	XP_006292248.1, XP_006295608.1
OG0000234	As009G210340	XP_006287124.2
OG0000237	As011G257810	XP_023634310.1
OG0000242	As008G183340, As008G183330	XP_006300202.1, XP_006297317.1, XP_023645571.1, XP_023645989.1, XP_006307291.2, XP_006307178.2
OG0000244	As003G059930	XP_006284545.1
OG0000244	As004G085820	XP_006289916.1
OG0000244	As004G085870	XP_006289300.1
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	XP_006279099.1, XP_023635292.1, XP_006279100.1, XP_006285919.1, XP_006279101.1
OG0000244	As004G085860, As004G085850	XP_006289616.1, XP_006289215.1
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	XP_006302421.1
OG0000249	As006G145310	XP_006296366.1
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	XP_006294087.1, XP_006294083.1
OG0000257	As002G035710, As012G268510	XP_023642301.1
OG0000258	As002G048970	XP_006282010.1
OG0000264	As004G086270, As010G229170	XP_006290182.1
OG0000268	As001G023230	XP_006292510.2
OG0000268	As001G023220, As001G023200	XP_023643441.1
OG0000268	As005G106920	XP_006287367.1
OG0000268	As012G278370	XP_006292488.1
OG0000271	As004G086280	XP_006289516.1
OG0000273	As007G156970	XP_006281771.1
OG0000273	As012G273480	XP_006307122.1, XP_006304613.1, XP_006304877.1
OG0000274	As005G114920	XP_006281238.1
OG0000274	As006G128840, As006G128830	XP_006295138.1
OG0000276	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920	XP_006285657.1
OG0000276	As011G256110	XP_006289633.1, XP_006290193.1
OG0000276	As007G163350, As007G163430	XP_006286226.1
OG0000277	As004G096710	XP_006286199.1, XP_006284824.1, XP_006284826.1, XP_006284827.1, XP_006284817.1
OG0000279	As001G004840, As010G237280	XP_023635807.1, XP_023639599.1, XP_023641906.1
OG0000282	As002G055220	XP_006290020.1
OG0000283	As006G125110	XP_006282331.1
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	XP_006282074.1, XP_006282173.1, XP_006281683.1
OG0000284	As006G139300	XP_006286819.1, XP_006279117.1, XP_006286567.1
OG0000284	As006G139290	XP_006298183.1
OG0000293	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280	XP_023644238.1, XP_023634606.1, XP_023638025.1, XP_023637692.1
OG0000294	As011G249490	XP_006297742.2
OG0000294	As006G145420	XP_006294372.1
OG0000294	As005G099900	XP_006294369.1
OG0000294	As006G122700	XP_006287904.1
OG0000294	As008G198060	XP_006305011.1
OG0000295	As011G246810	XP_006300449.1
OG0000297	As008G198730	XP_006286101.1
OG0000297	As005G114280	XP_006282294.1
OG0000299	As010G241870, As010G241880	XP_006290340.1, XP_006292669.1
OG0000299	As012G267900	XP_023645495.1
OG0000303	As003G069740	XP_023639308.1, XP_023634711.1
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	XP_006282439.1, XP_023635159.1
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	XP_006282038.1
OG0000311	As009G202530	XP_023636500.1
OG0000311	As012G273730	XP_006306121.1
OG0000311	As011G249880	XP_006298020.1
OG0000311	As004G077290	XP_006284008.1
OG0000311	As001G029000	XP_006300523.1
OG0000313	As003G058420	XP_006285692.2
OG0000313	As007G163450, As007G163440	XP_006286118.1
OG0000314	As008G195840	XP_006304190.1
OG0000314	As006G125760	XP_006293513.1, XP_006306317.1
OG0000315	As006G137990, As006G137760	XP_023638680.1, XP_023640099.1, XP_023633445.1
OG0000316	As008G187440, As008G187910	XP_023634679.1, XP_006300905.2
OG0000319	As006G129730, As005G114310, As008G191530	XP_006307728.2, XP_006280459.1
OG0000321	As001G010170	XP_006285871.1, XP_023634323.1, XP_006285685.1, XP_006282490.1, XP_006283651.2, XP_006282573.1, XP_006286231.1
OG0000322	As009G214030	XP_006301427.1
OG0000322	As007G153590	XP_006295765.1, XP_006301907.1
OG0000323	As002G045490	XP_023635692.1
OG0000323	As005G112480	XP_006284880.1
OG0000327	As008G195090, As008G195100, As011G263130	XP_023633034.1
OG0000329	As007G180560	XP_006296449.1, XP_006292850.2, XP_023640002.1, XP_006293050.1, XP_006290449.1, XP_006293245.1, XP_023637513.1
OG0000332	As001G030000	XP_006301274.1
OG0000332	As002G033230	XP_006286664.1, XP_006286795.1
OG0000332	As011G251780, As012G272450	XP_006307493.1, XP_006279139.1
OG0000334	As012G277630	XP_023639259.1
OG0000334	As006G146780	XP_006295761.1, XP_006287213.1
OG0000339	As003G061400	XP_006284249.1
OG0000339	As006G121550	XP_006288376.1
OG0000339	As005G101130, As012G287430	XP_006294736.1, XP_023639059.1
OG0000340	As005G103820	XP_006295770.1
OG0000340	As005G103800, As005G103810	XP_006295306.1, XP_006303050.1, XP_023640952.1
OG0000348	As002G041810	XP_023633819.1
OG0000348	As002G040050	XP_006279286.2
OG0000349	As003G071960	XP_023644259.1
OG0000350	As003G070220, As003G070200	XP_023633107.1
OG0000351	As011G246700, As011G246690	XP_006299223.1
OG0000351	As007G177900	XP_006304904.2, XP_006300014.1
OG0000352	As007G153380	XP_023645432.1
OG0000358	As006G124930, As008G196330	XP_006288844.1, XP_006303184.2
OG0000358	As008G196390	XP_006281260.2, XP_006289613.1, XP_006289891.1
OG0000359	As012G275420	XP_006293384.1
OG0000360	As005G119730	XP_023644261.1, XP_006281815.1
OG0000362	As006G134970	XP_006304551.1
OG0000368	As003G073560, As003G073580	XP_006283601.1, XP_023634749.1
OG0000368	As003G073600, As003G073590	XP_023643598.1, XP_006302152.1, XP_006283582.1, XP_006283585.1
OG0000370	As007G153440	XP_006305429.2, XP_006305827.1, XP_006284329.1, XP_006302461.1
OG0000371	As005G099710, As005G099720	XP_006304409.1, XP_023640112.1, XP_006303834.1
OG0000372	As006G132540, As006G132550	XP_006285843.1, XP_006282347.1, XP_006286272.1, XP_006285601.1, XP_006284992.1
OG0000374	As012G273470, As012G273550	XP_023634983.1, XP_023634596.1
OG0000377	As001G021080	XP_006302482.1
OG0000378	As003G067400	XP_023633308.1, XP_023644476.1
OG0000382	As006G122900	XP_006292743.1, XP_006305654.1, XP_006288715.1
OG0000382	As008G188710, As001G018980	XP_023645205.1
OG0000383	As003G069230	XP_023644905.1, XP_023645696.1, XP_023646002.1, XP_023637173.1, XP_023632684.1, XP_023640959.1
OG0000383	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380	XP_023644902.1, XP_023644904.1
OG0000384	As011G247740	XP_006304019.1, XP_023644983.1
OG0000386	As012G276900, As012G276880	XP_023638827.1, XP_006292223.1
OG0000389	As001G003830	XP_006290300.2
OG0000390	As011G251840	XP_006299181.1
OG0000391	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360	XP_006307682.2
OG0000392	As010G221200, As010G221190, As010G221180	XP_023638913.1, XP_006293141.1
OG0000396	As001G026970	XP_006290512.1
OG0000396	As001G026990, As001G027000, As001G027010	XP_006292607.1, XP_006292374.1, XP_023638714.1, XP_023638075.1
OG0000398	As012G268810	XP_006306130.1
OG0000402	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350	XP_023637155.1
OG0000403	As001G020780, As001G020790	XP_006301572.1
OG0000404	As012G276100	XP_006295174.1, XP_006298737.1, XP_006292003.1, XP_006299325.2
OG0000406	As006G136090	XP_023637148.1, XP_006289583.1, XP_023637147.1, XP_006291357.2, XP_006300073.1
OG0000407	As009G201130, As009G201860	XP_023637686.1, XP_006289140.2, XP_023637593.1, XP_006289675.1, XP_023637647.1, XP_023644520.1, XP_023637726.1
OG0000410	As001G021670, As001G021680	XP_023642947.1, XP_023643047.1, XP_006300306.1, XP_023644075.1, XP_023643050.1, XP_023643049.1
OG0000411	As001G022090	XP_006300332.1
OG0000411	As011G261620	XP_006298837.1
OG0000411	As004G085710	XP_006288911.1
OG0000411	As003G060010	XP_023633999.1
OG0000412	As002G046400	XP_006281244.2
OG0000412	As006G132500	XP_006284751.1
OG0000412	As012G271680	XP_006303412.1
OG0000413	As011G245460	XP_006300251.2
OG0000413	As002G048240	XP_023635326.1, XP_006279506.2
OG0000413	As012G268650	XP_023645893.1
OG0000414	As003G058750, As003G058770, As003G058760	XP_006307227.1, XP_006307169.1, XP_023632699.1, XP_023632865.1, XP_006303963.1, XP_006285161.1, XP_006285030.1
OG0000415	As005G104640	XP_023637706.1, XP_006289424.1, XP_006296273.1
OG0000416	As006G125710	XP_023640386.1
OG0000416	As006G127220, As008G194210	XP_023645769.1, XP_006295764.1
OG0000417	As007G163710, As008G186410	XP_006299592.1, XP_006297713.1, XP_023636129.1, XP_006289254.1
OG0000420	As010G222670	XP_023640666.1
OG0000420	As001G015280	XP_023633408.1
OG0000421	As004G078160, As004G078150	XP_006282503.1, XP_006285342.2, XP_006286228.2, XP_006286150.1
OG0000422	As008G188280, As008G188290, As008G188300	XP_006305357.1, XP_006304701.1, XP_006305369.1
OG0000423	As010G241040	XP_006302320.1
OG0000423	As011G245910	XP_006307670.1
OG0000429	As009G215310	XP_006289091.1
OG0000429	As002G052030	XP_006289984.1
OG0000429	As001G004910	XP_006296156.2
OG0000430	As011G263500	XP_006298687.1
OG0000430	As001G014590	XP_006286099.1
OG0000430	As007G181940	XP_006295960.1
OG0000431	As001G019780	XP_006302194.1
OG0000431	As008G187750	XP_006306441.1, XP_006307429.1
OG0000432	As002G044400	XP_006280097.1
OG0000432	As002G047750	XP_006287183.1, XP_006280101.1, XP_006280103.1
OG0000433	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400	XP_023643825.1, XP_006301857.1, XP_006301880.2
OG0000436	As011G266430, As002G048360	XP_023640362.1, XP_006285100.1, XP_006284780.1, XP_006298740.2
OG0000438	As004G085300	XP_006289684.1, XP_006289723.1
OG0000439	As008G194170	XP_006304792.1
OG0000439	As012G285510	XP_006292538.1
OG0000439	As006G127290	XP_006294594.1
OG0000440	As006G136440	XP_006295520.1, XP_006295974.1, XP_006289912.1
OG0000441	As011G248660	XP_006297709.1
OG0000441	As011G248650	XP_023641538.1, XP_006296757.1
OG0000446	As009G219000	XP_006281265.1
OG0000446	As001G023650	XP_006291992.1
OG0000446	As008G183010	XP_006303395.1
OG0000447	As011G247170	XP_023641550.1
OG0000447	As004G081330	XP_006295560.1
OG0000447	As003G069220	XP_006306466.1
OG0000448	As004G089550	XP_006281442.1, XP_006281981.1, XP_006281516.1, XP_006281658.1
OG0000449	As010G224860	XP_006292022.1
OG0000449	As005G114720	XP_006281292.1
OG0000449	As010G224870	XP_006292028.1
OG0000449	As005G114730	XP_006281290.1
OG0000452	As001G002300, As001G002310	XP_006281550.1
OG0000454	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520	XP_023644524.1, XP_006281315.1, XP_006281300.1, XP_006281568.2, XP_006281328.1
OG0000455	As007G178440	XP_006303658.2, XP_006293092.1, XP_023633217.1, XP_006303688.1, XP_006301304.1
OG0000458	As002G043040	XP_006282237.1
OG0000459	As003G058960	XP_006293054.1, XP_006282900.1, XP_006282805.1
OG0000460	As005G099100	XP_023644131.1
OG0000461	As008G199680	XP_023633292.1
OG0000462	As009G214710	XP_006303689.1, XP_006304775.1, XP_006295549.1, XP_006285966.1, XP_006285952.1, XP_006285494.1, XP_006282881.1, XP_006292281.1
OG0000463	As010G224360, As010G224370	XP_006291138.1, XP_006291127.1, XP_006292340.1, XP_023639149.1, XP_023638349.1, XP_023638317.1
OG0000466	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670	XP_006301651.2, XP_006299219.1
OG0000468	As012G280020	XP_006292723.1
OG0000468	As006G125920	XP_023639637.1
OG0000468	As006G144160	XP_023640971.1
OG0000471	As003G069540, As003G069550	XP_006306115.1, XP_006306520.1, XP_006281547.1
OG0000472	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050	XP_006283966.1
OG0000472	As004G097020	XP_006286126.1
OG0000474	As009G216860, As011G261780, As010G222300	XP_006291971.1, XP_006284663.1, XP_006296532.1
OG0000477	As003G057970	XP_006280972.1, XP_006288484.1
OG0000477	As004G084280, As009G211280	XP_006298349.1
OG0000480	As001G013010	XP_023644207.1
OG0000481	As001G021880	XP_006302389.1
OG0000482	As004G077750	XP_006302885.1
OG0000483	As002G047220	XP_006281715.2
OG0000484	As009G203850	XP_023633912.1, XP_006279896.1, XP_006279894.1
OG0000486	As001G013050, As001G013370	XP_006305621.1
OG0000487	As006G137570, As008G196100, As006G129680, As006G125350	XP_006304841.1
OG0000495	As007G179430, As007G177930	XP_006294189.1, XP_006294197.1, XP_006294227.2
OG0000496	As011G256460, As011G256470, As002G041620, As001G004760, As001G012100, As004G090800, As001G012090, As007G177440	XP_023636009.1
OG0000497	As009G210870, As009G211010	XP_006305364.1
OG0000498	As002G045150	XP_006280881.1
OG0000499	As003G056720	XP_006283965.1
OG0000499	As011G246530	XP_006297960.1
OG0000499	As012G269540	XP_006297957.1
OG0000500	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480	XP_006282208.1
OG0000501	As010G232220	XP_006305314.1
OG0000504	As006G143860	XP_006288904.1, XP_006295241.1
OG0000504	As002G037010, As002G034340	XP_006298823.1
