Orthogroup	Aethionema_saxatile	Raphanus_sativus
OG0000012	As007G176710	XP_018458669.1, XP_018458672.1
OG0000013	As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120	XP_018467319.1, XP_018453656.1, XP_018458136.1, XP_018458135.1, XP_018458664.1, XP_018459125.1, XP_018453657.1, XP_018458096.1, XP_018476282.1, XP_018459495.1, XP_018476229.1, XP_018464964.1, XP_018476861.1, XP_018464106.1, XP_018436081.1
OG0000015	As011G257220	XP_018448688.1, XP_018443665.1, XP_018458093.1, XP_018463612.1
OG0000015	As010G225860	XP_018467773.1
OG0000017	As003G065780	XP_018463663.1, XP_018481037.1
OG0000019	As007G166240, As001G007060, As009G208970, As002G040710, As009G203070, As004G091650	XP_018475002.1
OG0000020	As007G165150, As001G010310, As001G015320	XP_018459344.1
OG0000020	As002G039920, As009G211220	XP_018487698.1
OG0000021	As005G111040	XP_018479089.1
OG0000021	As003G071480, As010G232120	XP_018443605.1, XP_018443313.1, XP_018443314.1, XP_018435962.1, XP_018436465.1, XP_018473666.1, XP_018448333.1, XP_018448335.1
OG0000023	As003G061360	XP_018468520.1, XP_018468522.1, XP_018468512.1, XP_018468509.1, XP_018468514.1
OG0000023	As004G084560, As004G084580, As004G084570	XP_018454316.1, XP_018454312.1, XP_018453781.1, XP_018455630.1
OG0000023	As003G061280	XP_018468502.1
OG0000023	As003G061270	XP_018448920.1, XP_018448918.1, XP_018448956.1, XP_018445500.1, XP_018445519.1, XP_018439285.1
OG0000026	As007G165250	XP_018487713.1, XP_018488093.1, XP_018464148.1
OG0000027	As003G071460, As003G071520, As009G213600, As009G213690, As003G069630, As008G195350, As003G071510, As003G071530, As003G071500, As003G071450, As007G154190, As004G087790, As010G224770, As010G236950, As010G241770, As010G241150, As009G213720, As009G213770, As009G213640, As009G213620, As009G216140, As003G071490, As007G178010, As004G090610	XP_018467451.1, XP_018458976.1
OG0000029	As001G005440	XP_018476055.1
OG0000029	As004G091740, As005G109110	XP_018454579.1, XP_018443522.1, XP_018491564.1, XP_018432805.1, XP_018484396.1, XP_018484394.1, XP_018459100.1, XP_018448389.1, XP_018465075.1
OG0000029	As009G211080	XP_018456076.1
OG0000031	As001G032000	XP_018452507.1
OG0000031	As009G202600	XP_018446660.1
OG0000031	As006G134510	XP_018478989.1, XP_018437843.1, XP_018467852.1
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	XP_018468503.1, XP_018483350.1
OG0000033	As003G059410, As003G059430, As003G059400	XP_018484118.1, XP_018484117.1
OG0000033	As003G061210, As003G061160	XP_018463090.1, XP_018463089.1, XP_018468501.1, XP_018468505.1, XP_018467312.1, XP_018483344.1, XP_018448031.1, XP_018448921.1, XP_018467730.1, XP_018464878.1
OG0000033	As004G086230	XP_018455051.1, XP_018454979.1
OG0000037	As007G161900	XP_018466999.1
OG0000037	As004G089890	XP_018473828.1
OG0000037	As011G257090	XP_018461383.1
OG0000038	As009G211050, As009G210990, As009G210820	XP_018459725.1
OG0000038	As007G157540	XP_018479936.1, XP_018479937.1
OG0000043	As002G039460	XP_018460999.1
OG0000043	As011G260020, As001G006710	XP_018487700.1
OG0000043	As009G208780	XP_018453724.1
OG0000044	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110	XP_018461269.1
OG0000047	As006G136700	XP_018473775.1
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	XP_018474944.1, XP_018444134.1, XP_018446926.1, XP_018468734.1, XP_018464361.1, XP_018467999.1, XP_018444189.1, XP_018437871.1, XP_018444230.1, XP_018467998.1, XP_018437175.1, XP_018464360.1, XP_018468001.1, XP_018471676.1, XP_018468781.1, XP_018468850.1, XP_018474996.1, XP_018475059.1, XP_018467409.1, XP_018475741.1, XP_018475082.1, XP_018475088.1, XP_018474955.1
OG0000053	As011G257960, As001G007050, As012G281440, As010G228180, As008G190210, As007G176800, As001G006000, As005G110970, As002G037180, As008G190350, As001G001110, As002G040700, As007G164190, As007G164220, As007G179360, As008G193110	XP_018448672.1, XP_018465516.1, XP_018492198.1, XP_018443523.1, XP_018480052.1, XP_018479349.1
OG0000054	As007G163390, As001G010300	XP_018459334.1, XP_018477522.1, XP_018473923.1
OG0000054	As004G090600	XP_018477437.1, XP_018491477.1, XP_018444419.1
OG0000055	As001G022050	XP_018435121.1
OG0000056	As007G178620	XP_018460221.1, XP_018436002.1, XP_018448501.1, XP_018465335.1, XP_018458942.1, XP_018462168.1, XP_018464358.1, XP_018461103.1, XP_018461001.1, XP_018460591.1, XP_018471856.1
OG0000059	As001G005030	XP_018466457.1
OG0000065	As012G279540, As012G279660	XP_018459982.1
OG0000066	As002G052230	XP_018474475.1, XP_018443026.1, XP_018468121.1, XP_018450392.1, XP_018447173.1, XP_018468122.1, XP_018442730.1, XP_018474474.1
OG0000066	As005G118450	XP_018448990.1, XP_018470662.1, XP_018433979.1, XP_018439713.1, XP_018448989.1, XP_018470661.1, XP_018456938.1, XP_018445234.1, XP_018456939.1
OG0000067	As011G256070, As011G256050	XP_018465626.1, XP_018474335.1, XP_018472777.1, XP_018446006.1, XP_018442366.1, XP_018444607.1, XP_018443375.1, XP_018442371.1, XP_018442368.1
OG0000070	As011G259870	XP_018467500.1
OG0000073	As006G137430	XP_018449081.1, XP_018449076.1, XP_018460032.1, XP_018439625.1
OG0000073	As002G034500, As002G034570, As002G034640	XP_018444272.1
OG0000078	As004G095030	XP_018462224.1, XP_018463013.1, XP_018464185.1, XP_018438837.1, XP_018462373.1, XP_018459132.1, XP_018482546.1, XP_018459131.1, XP_018482527.1, XP_018438608.1, XP_018462371.1, XP_018459049.1, XP_018461378.1, XP_018461038.1, XP_018450716.1, XP_018466255.1, XP_018459043.1, XP_018461034.1, XP_018437386.1, XP_018446222.1, XP_018443582.1, XP_018450345.1, XP_018490507.1, XP_018487390.1, XP_018448613.1, XP_018435333.1, XP_018443586.1, XP_018479536.1, XP_018479534.1, XP_018461540.1
OG0000079	As012G285110	XP_018436791.1, XP_018440487.1, XP_018434498.1, XP_018440703.1, XP_018490673.1, XP_018485958.1, XP_018462102.1, XP_018439443.1, XP_018443618.1, XP_018442766.1, XP_018442962.1, XP_018443617.1, XP_018460416.1, XP_018442910.1, XP_018458706.1
OG0000082	As012G278670	XP_018479358.1
OG0000083	As006G138550	XP_018483205.1, XP_018448995.1, XP_018450446.1, XP_018450443.1, XP_018462245.1, XP_018460689.1, XP_018444588.1, XP_018443484.1, XP_018492295.1, XP_018470628.1, XP_018464981.1, XP_018460185.1, XP_018456089.1, XP_018456090.1, XP_018460719.1, XP_018462965.1, XP_018485392.1, XP_018445068.1, XP_018473059.1, XP_018475077.1, XP_018473072.1, XP_018444444.1, XP_018444905.1, XP_018432899.1, XP_018443181.1, XP_018479692.1, XP_018461554.1, XP_018435298.1, XP_018440112.1
OG0000086	As009G216030, As009G216300, As009G216040	XP_018459460.1, XP_018459458.1, XP_018459461.1, XP_018459459.1, XP_018458874.1, XP_018458876.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1
OG0000087	As010G222260	XP_018477697.1, XP_018484582.1
OG0000087	As006G128780	XP_018440871.1
OG0000087	As002G051000	XP_018446020.1
OG0000087	As012G274980	XP_018434101.1
OG0000087	As004G086530	XP_018439894.1, XP_018457306.1, XP_018456689.1, XP_018483831.1
OG0000087	As003G058850	XP_018451489.1, XP_018470360.1, XP_018484782.1
OG0000087	As010G237710	XP_018463490.1, XP_018446239.1
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	XP_018483277.1, XP_018482085.1, XP_018441615.1, XP_018436160.1, XP_018443675.1, XP_018475641.1, XP_018476975.1, XP_018442302.1, XP_018442307.1, XP_018460254.1, XP_018434208.1, XP_018439296.1
OG0000088	As010G223910	XP_018440736.1
OG0000089	As002G053510	XP_018476330.1, XP_018445204.1, XP_018471220.1
OG0000089	As010G224530, As005G115200	XP_018457747.1, XP_018467889.1, XP_018465906.1, XP_018473557.1, XP_018491443.1, XP_018442005.1
OG0000090	As003G065330	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000090	As012G273080	XP_018455246.1, XP_018439895.1
OG0000093	As012G284680, As012G284700, As012G284660	XP_018484517.1, XP_018484516.1, XP_018460880.1, XP_018444673.1, XP_018444347.1, XP_018444560.1, XP_018444372.1, XP_018444331.1, XP_018464228.1, XP_018461594.1, XP_018460536.1, XP_018449905.1, XP_018446270.1, XP_018444360.1, XP_018444506.1
OG0000096	As004G087380, As004G087360	XP_018455183.1
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	XP_018451515.1, XP_018489433.1, XP_018486669.1, XP_018486652.1, XP_018474049.1
OG0000098	As001G018420, As001G018430, As001G018440	XP_018450352.1
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	XP_018489511.1, XP_018485467.1, XP_018492203.1, XP_018440872.1, XP_018489435.1
OG0000102	As002G042100	XP_018487874.1
OG0000104	As006G129210, As006G129180, As006G129160	XP_018478791.1, XP_018437245.1, XP_018462942.1
OG0000104	As012G271190, As012G271200	XP_018456007.1, XP_018476295.1, XP_018486058.1
OG0000106	As002G041170, As002G041390, As002G041440	XP_018435460.1, XP_018466022.1
OG0000107	As011G252340	XP_018437231.1, XP_018440339.1, XP_018435080.1, XP_018436775.1, XP_018489514.1, XP_018466393.1, XP_018487289.1
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	XP_018482705.1, XP_018477065.1, XP_018443647.1, XP_018461538.1, XP_018467732.1, XP_018443267.1
OG0000114	As006G137050, As006G137080	XP_018476352.1, XP_018459201.1, XP_018445311.1, XP_018445292.1, XP_018438960.1, XP_018438956.1, XP_018438959.1
OG0000116	As011G261080, As012G277730, As011G256700, As005G108990, As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410	XP_018452688.1
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	XP_018470802.1
OG0000123	As008G183790, As008G183770	XP_018445122.1, XP_018462042.1
OG0000123	As008G183760	XP_018447017.1
OG0000123	As008G183750	XP_018465848.1, XP_018467255.1, XP_018479088.1, XP_018469074.1, XP_018468699.1
OG0000123	As008G183720	XP_018444265.1, XP_018449623.1, XP_018460559.1, XP_018460555.1, XP_018482095.1, XP_018462530.1, XP_018481885.1
OG0000125	As006G146230	XP_018485557.1, XP_018478149.1
OG0000125	As005G113770	XP_018464380.1, XP_018463483.1, XP_018442304.1
OG0000125	As010G224830	XP_018462477.1, XP_018467984.1
OG0000125	As006G129500	XP_018441606.1, XP_018478084.1, XP_018472875.1
OG0000127	As008G186430, As008G186390, As008G185640	XP_018473001.1
OG0000130	As010G226930, As002G040800, As008G191120	XP_018459979.1, XP_018465443.1, XP_018464356.1, XP_018463846.1, XP_018461248.1, XP_018467159.1, XP_018462471.1, XP_018462355.1, XP_018463578.1, XP_018459972.1, XP_018463369.1, XP_018462354.1, XP_018462353.1, XP_018464631.1, XP_018473997.1, XP_018453674.1, XP_018463372.1, XP_018490387.1, XP_018461308.1
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	XP_018452405.1, XP_018477160.1, XP_018477168.1, XP_018450983.1, XP_018460947.1, XP_018462880.1, XP_018459742.1
OG0000136	As001G028730	XP_018445028.1, XP_018459504.1, XP_018475756.1, XP_018456777.1, XP_018456775.1
OG0000138	As001G027950, As001G027940, As007G161530	XP_018470004.1, XP_018452986.1, XP_018453265.1, XP_018482690.1
OG0000139	As006G149220, As004G090290	XP_018466800.1, XP_018458616.1, XP_018473921.1, XP_018463540.1
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	XP_018468399.1, XP_018474233.1, XP_018464951.1, XP_018465933.1, XP_018469119.1, XP_018455338.1
OG0000142	As003G060670	XP_018477489.1
OG0000143	As007G177750	XP_018460264.1
OG0000146	As002G047180	XP_018454803.1
OG0000146	As002G047190	XP_018469497.1, XP_018452341.1, XP_018454603.1
OG0000147	As011G265720	XP_018439896.1, XP_018456672.1, XP_018489076.1
OG0000147	As001G002190	XP_018447191.1, XP_018447677.1
OG0000147	As002G049060	XP_018470730.1, XP_018456230.1
OG0000147	As010G243490	XP_018453169.1, XP_018442966.1
OG0000147	As010G227330	XP_018440073.1
OG0000147	As011G259420	XP_018489772.1
OG0000149	As010G224610	XP_018452389.1, XP_018477972.1, XP_018454260.1, XP_018482816.1, XP_018468367.1, XP_018461511.1, XP_018473562.1, XP_018473413.1, XP_018468249.1, XP_018461508.1, XP_018487951.1
OG0000150	As010G225180, As010G225220, As010G225210	XP_018435717.1
OG0000151	As007G166070	XP_018445231.1, XP_018461966.1, XP_018447674.1
OG0000151	As006G141980, As006G133740	XP_018492109.1, XP_018440453.1, XP_018486328.1, XP_018491228.1
OG0000151	As011G263600	XP_018487201.1, XP_018435045.1
OG0000151	As002G047900	XP_018468491.1, XP_018455854.1, XP_018476067.1
OG0000151	As001G030700	XP_018453176.1
OG0000154	As007G152520	XP_018451125.1, XP_018487475.1
OG0000154	As009G210670	XP_018439758.1, XP_018432698.1
OG0000154	As009G210600, As007G163150, As009G210630	XP_018465313.1
OG0000154	As005G107550	XP_018445474.1, XP_018492171.1, XP_018492160.1, XP_018452385.1, XP_018451023.1, XP_018465909.1, XP_018491687.1, XP_018439788.1
OG0000155	As003G059350	XP_018471751.1, XP_018449860.1, XP_018461810.1, XP_018461800.1, XP_018460840.1, XP_018443883.1, XP_018440226.1, XP_018460363.1, XP_018447282.1, XP_018484465.1, XP_018476478.1, XP_018442317.1, XP_018442968.1, XP_018471642.1, XP_018447182.1, XP_018468263.1, XP_018458830.1
OG0000155	As003G059230, As003G059200	XP_018460811.1
OG0000156	As012G287040, As012G287050	XP_018477945.1, XP_018480331.1, XP_018482760.1, XP_018480183.1, XP_018480175.1
OG0000161	As001G013550, As001G029600, As001G029610	XP_018438997.1, XP_018439597.1, XP_018435583.1, XP_018435186.1, XP_018439599.1, XP_018461987.1, XP_018459019.1
OG0000162	As012G286440	XP_018490254.1
OG0000162	As005G102210	XP_018463531.1
OG0000162	As005G102220	XP_018436402.1
OG0000164	As011G264140, As011G262780	XP_018460082.1
OG0000165	As011G245360	XP_018448858.1
OG0000166	As011G260470, As002G040840	XP_018435800.1, XP_018458694.1
OG0000166	As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080	XP_018435864.1, XP_018479705.1, XP_018487806.1
OG0000167	As003G057890	XP_018456032.1, XP_018470205.1
OG0000168	As008G194570	XP_018436409.1, XP_018473762.1, XP_018479683.1, XP_018453583.1
OG0000169	As010G239290	XP_018463769.1, XP_018460684.1, XP_018443534.1
OG0000171	As007G159620, As001G020870	XP_018461928.1, XP_018466967.1
OG0000171	As003G073770	XP_018459179.1, XP_018444188.1
OG0000171	As009G200410	XP_018446341.1
OG0000175	As010G237650	XP_018461237.1, XP_018443007.1
OG0000175	As011G263590	XP_018464957.1
OG0000184	As004G089570	XP_018448562.1, XP_018436057.1, XP_018443690.1, XP_018459854.1, XP_018448716.1, XP_018448714.1, XP_018466332.1, XP_018487833.1, XP_018435495.1, XP_018436010.1, XP_018464848.1
OG0000187	As001G003940	XP_018436591.1, XP_018489775.1
OG0000187	As001G003960	XP_018450650.1, XP_018450647.1
OG0000190	As004G085680	XP_018462163.1, XP_018456012.1, XP_018466494.1, XP_018466592.1, XP_018466816.1, XP_018474729.1, XP_018455936.1, XP_018464334.1, XP_018455875.1, XP_018456225.1, XP_018454748.1, XP_018455839.1, XP_018459474.1, XP_018453800.1, XP_018474859.1, XP_018462335.1, XP_018475013.1, XP_018473242.1, XP_018473243.1, XP_018475619.1, XP_018467299.1, XP_018437778.1, XP_018469510.1, XP_018455030.1, XP_018435705.1, XP_018438238.1
OG0000195	As006G130540	XP_018444119.1
OG0000195	As001G028840	XP_018483199.1
OG0000200	As008G194290	XP_018471263.1
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	XP_018490370.1
OG0000206	As001G006580	XP_018463410.1
OG0000207	As003G061070	XP_018455101.1, XP_018456709.1, XP_018455692.1, XP_018453413.1
OG0000208	As003G075220	XP_018450034.1, XP_018450013.1
OG0000208	As003G075200, As003G075180, As003G075210, As003G060140	XP_018450025.1, XP_018450035.1, XP_018447610.1
OG0000208	As003G075160	XP_018471018.1, XP_018481742.1, XP_018470117.1
OG0000213	As002G038840	XP_018483745.1, XP_018439158.1, XP_018441306.1, XP_018438696.1
OG0000217	As001G019850	XP_018435599.1
OG0000218	As001G022650	XP_018491057.1, XP_018491068.1, XP_018460375.1, XP_018479160.1, XP_018449491.1, XP_018464683.1, XP_018453067.1, XP_018478930.1, XP_018461684.1, XP_018434683.1
OG0000219	As003G064990	XP_018490373.1
OG0000220	As010G225590, As010G227890	XP_018439274.1
OG0000221	As002G040520	XP_018462032.1, XP_018487789.1
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	XP_018468894.1, XP_018443098.1, XP_018465306.1, XP_018468896.1, XP_018474587.1, XP_018468895.1, XP_018480389.1
OG0000224	As001G031540	XP_018449522.1, XP_018450661.1, XP_018450660.1, XP_018455342.1, XP_018460485.1, XP_018453989.1
OG0000225	As003G069680, As003G070050	XP_018487000.1, XP_018461751.1
OG0000228	As007G159250	XP_018447728.1
OG0000228	As010G233780, As010G233750	XP_018479305.1, XP_018479312.1
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	XP_018472034.1, XP_018461690.1, XP_018442250.1
OG0000231	As004G077900	XP_018453642.1
OG0000231	As001G028220	XP_018462399.1, XP_018442803.1
OG0000232	As002G036540, As006G139020	XP_018466385.1, XP_018473817.1, XP_018436575.1, XP_018436570.1, XP_018493356.1, XP_018485954.1, XP_018485901.1, XP_018462620.1, XP_018479761.1
OG0000233	As007G163840	XP_018436088.1
OG0000234	As012G281460	XP_018483151.1
OG0000234	As006G143800	XP_018481215.1, XP_018439853.1
OG0000234	As009G210340	XP_018445846.1
OG0000237	As010G229740	XP_018453696.1, XP_018479625.1
OG0000237	As011G257810	XP_018463373.1, XP_018473931.1, XP_018443702.1
OG0000242	As008G183340, As008G183330	XP_018437185.1, XP_018481469.1, XP_018436585.1, XP_018451077.1, XP_018485374.1, XP_018451807.1, XP_018451078.1, XP_018472324.1
OG0000244	As003G059930	XP_018480650.1, XP_018462384.1, XP_018471212.1
OG0000244	As004G085820	XP_018454306.1
OG0000244	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900	XP_018447604.1, XP_018461916.1, XP_018439136.1, XP_018437127.1
OG0000244	As004G085860, As004G085850	XP_018474567.1
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	XP_018465408.1, XP_018467341.1
OG0000249	As006G145310	XP_018483506.1, XP_018439075.1
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	XP_018433126.1, XP_018435056.1, XP_018475104.1, XP_018472849.1
OG0000256	As006G142420	XP_018443732.1, XP_018443731.1
OG0000259	As011G261730	XP_018460368.1, XP_018448499.1, XP_018435941.1, XP_018463920.1, XP_018448780.1, XP_018479510.1, XP_018487597.1, XP_018480090.1, XP_018487821.1, XP_018462643.1, XP_018475107.1, XP_018456285.1, XP_018433777.1, XP_018458371.1, XP_018440445.1, XP_018462689.1, XP_018458044.1, XP_018463237.1, XP_018487563.1, XP_018463649.1, XP_018473653.1, XP_018467404.1, XP_018487975.1, XP_018487976.1, XP_018448492.1, XP_018465470.1
OG0000264	As004G086270, As010G229170	XP_018455640.1
OG0000268	As001G023230	XP_018484938.1, XP_018484933.1, XP_018457428.1
OG0000268	As008G182800	XP_018463455.1
OG0000268	As005G106920	XP_018446447.1
OG0000268	As012G278370	XP_018462799.1, XP_018477742.1
OG0000271	As004G086280	XP_018455634.1
OG0000272	As003G064910	XP_018453484.1, XP_018453486.1, XP_018453613.1
OG0000272	As006G146460	XP_018487521.1, XP_018463182.1
OG0000273	As007G156970	XP_018480269.1
OG0000273	As012G273500, As012G273510, As012G273490, As005G107410, As004G078260	XP_018450920.1, XP_018487508.1, XP_018490023.1
OG0000274	As005G114920	XP_018471694.1, XP_018476648.1, XP_018455000.1
OG0000274	As006G128840, As006G128830	XP_018460786.1, XP_018480724.1, XP_018434290.1, XP_018434856.1
OG0000276	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920	XP_018444672.1
OG0000276	As011G256110	XP_018481552.1, XP_018481798.1
OG0000276	As007G163350, As007G163430	XP_018459435.1, XP_018453810.1, XP_018450692.1
OG0000277	As004G096720	XP_018481128.1, XP_018468570.1
OG0000279	As001G004840, As010G237280	XP_018465659.1
OG0000279	As007G165600, As007G178830	XP_018487538.1
OG0000282	As002G055220	XP_018444381.1, XP_018464192.1
OG0000283	As006G125110	XP_018437787.1, XP_018478840.1
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	XP_018456176.1, XP_018437114.1, XP_018452776.1, XP_018479556.1, XP_018455216.1, XP_018455324.1
OG0000284	As006G139300	XP_018437451.1, XP_018479318.1
OG0000284	As006G139290	XP_018469477.1, XP_018469474.1, XP_018454705.1
OG0000291	As008G188960	XP_018458801.1, XP_018475735.1, XP_018467441.1, XP_018463748.1, XP_018475846.1, XP_018465135.1, XP_018453415.1, XP_018437938.1, XP_018479934.1, XP_018487883.1, XP_018487701.1, XP_018487832.1, XP_018463939.1, XP_018448893.1, XP_018448676.1, XP_018466741.1
OG0000293	As008G188650, As004G094780, As002G042500, As003G064050	XP_018448456.1
OG0000293	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280	XP_018460509.1, XP_018454218.1, XP_018473814.1, XP_018488016.1, XP_018464194.1, XP_018464288.1, XP_018465355.1, XP_018443236.1, XP_018479918.1
OG0000294	As011G249490	XP_018441923.1, XP_018436581.1, XP_018491505.1
OG0000294	As006G145420	XP_018476822.1, XP_018439279.1, XP_018484668.1
OG0000294	As005G099900	XP_018439366.1
OG0000294	As006G122700	XP_018457024.1, XP_018474438.1
OG0000295	As011G246810	XP_018441644.1
OG0000297	As008G198730	XP_018444943.1, XP_018445778.1, XP_018438942.1, XP_018482616.1
OG0000297	As005G114280	XP_018470141.1, XP_018465981.1, XP_018466119.1, XP_018444968.1, XP_018444969.1, XP_018464969.1, XP_018435462.1
OG0000299	As010G241870, As010G241880	XP_018467175.1, XP_018474938.1
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	XP_018485026.1, XP_018485017.1, XP_018465267.1, XP_018438523.1
OG0000300	As008G194750	XP_018486804.1, XP_018490651.1
OG0000303	As003G069740	XP_018444432.1, XP_018453815.1, XP_018462393.1, XP_018434702.1, XP_018459426.1, XP_018484496.1, XP_018438156.1, XP_018450389.1, XP_018464014.1, XP_018461877.1, XP_018441672.1, XP_018488295.1, XP_018450717.1, XP_018480246.1, XP_018465380.1, XP_018480823.1
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	XP_018461058.1, XP_018448245.1, XP_018445610.1, XP_018458608.1, XP_018458610.1, XP_018443512.1, XP_018470152.1, XP_018484186.1, XP_018465926.1
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	XP_018454938.1, XP_018452468.1
OG0000311	As009G202530	XP_018442546.1, XP_018471150.1, XP_018471152.1
OG0000311	As012G273730	XP_018480728.1
OG0000311	As011G249880	XP_018467144.1, XP_018432705.1, XP_018485900.1
OG0000311	As004G077290	XP_018484027.1
OG0000311	As001G029000	XP_018472217.1
OG0000313	As003G058420	XP_018450368.1, XP_018451250.1, XP_018458556.1, XP_018448508.1, XP_018448500.1
OG0000313	As007G163450, As007G163440	XP_018467703.1
OG0000314	As008G195840	XP_018486715.1, XP_018490803.1, XP_018447493.1
OG0000314	As006G125760	XP_018481595.1, XP_018437810.1, XP_018437490.1
OG0000315	As006G137990, As006G137760	XP_018473655.1, XP_018443773.1, XP_018448905.1, XP_018448909.1, XP_018448856.1, XP_018477039.1, XP_018477038.1, XP_018446420.1, XP_018460746.1, XP_018460320.1, XP_018476157.1, XP_018460760.1, XP_018479724.1, XP_018461977.1, XP_018474539.1, XP_018463543.1, XP_018459224.1, XP_018478799.1, XP_018436470.1, XP_018458839.1, XP_018473802.1, XP_018473803.1, XP_018465263.1, XP_018459704.1, XP_018458061.1
OG0000316	As008G187440, As008G187910	XP_018435750.1, XP_018435748.1, XP_018479490.1, XP_018467564.1, XP_018454150.1, XP_018435749.1
OG0000319	As006G129730, As005G114310, As008G191530	XP_018476175.1, XP_018464995.1, XP_018440480.1, XP_018450795.1, XP_018491537.1, XP_018490348.1, XP_018450794.1, XP_018467162.1
OG0000321	As001G010170	XP_018449943.1, XP_018465644.1, XP_018466314.1, XP_018481531.1, XP_018465182.1
OG0000322	As009G214030	XP_018455349.1
