Orthogroup	Aethionema_saxatile	Brassica_napus
OG0000006	As010G228090	XP_022552029.1, XP_048613774.1, XP_048622367.1, XP_048631659.1, XP_048603250.1, XP_048637106.1, XP_048598904.1, XP_013695575.2, XP_048610916.1, XP_048620445.1, XP_048610124.1, XP_048632505.1, XP_048623319.1, XP_048600356.1, XP_048625945.1, XP_013723589.1, XP_022570193.2, XP_048618736.1, XP_048602106.1, XP_048607511.1, XP_048632021.1, XP_048597905.1, XP_048636872.1, XP_048591253.1, XP_048615872.1, XP_048606696.1, XP_048617198.1, XP_048623373.1, XP_022564863.1, XP_048624591.1, XP_048624595.1, XP_048602119.1, XP_048615643.1, XP_013699761.3, XP_013747307.1, XP_048606681.1, XP_048603704.1, XP_048596481.1, XP_048611470.1, XP_048604740.1, XP_013704285.1, XP_022553496.1, XP_048591653.1, XP_048610451.1, XP_048612141.1, XP_048624568.1, XP_022549981.2, XP_022552001.1, XP_048601748.1, XP_048606946.1, XP_048609380.1, XP_048610801.1, XP_013694123.2, XP_048595263.1, XP_048596256.1, XP_048600198.1, XP_048632513.1, XP_022548161.2, XP_048607705.1, XP_048600483.1, XP_048605783.1, XP_048608223.1, XP_048610731.1, XP_048608167.1, XP_048633194.1, XP_048595740.1, XP_048608477.1, XP_048634500.1, XP_048595950.1, XP_048591706.1, XP_048599362.1, XP_048599195.1, XP_048633886.1, XP_048633566.1, XP_022550583.2, XP_048623214.1, XP_048623269.1, XP_022561816.2, XP_048599680.1, XP_048596122.1, XP_048611876.1, XP_048604684.1, XP_048598045.1, XP_048599957.1, XP_048634673.1, XP_048627686.1, XP_048596592.1, XP_048598128.1, XP_048599668.1, XP_048623622.1, XP_048623620.1, XP_048604456.1, XP_048596576.1, XP_048593931.1, XP_048592647.1, XP_022545293.2, XP_048598665.1, XP_048637663.1, XP_022542942.2, XP_022546681.1, XP_048608453.1, XP_048635919.1, XP_048633777.1, XP_022553853.1, XP_048618793.1, XP_048615634.1, XP_048636544.1, XP_048618843.1, XP_048595865.1, XP_048606283.1, XP_048591073.1, XP_048605393.1, XP_022545844.2, XP_048635111.1, XP_013720746.1, XP_048596555.1, XP_048605381.1, XP_048605321.1, XP_048602103.1, XP_048613007.1, XP_048602202.1, XP_048617000.1, XP_013670433.2, XP_048638605.1, XP_048637581.1, XP_048612088.1, XP_048594681.1, XP_048611448.1, XP_048606830.1, XP_048614443.1, XP_048618668.1, XP_048620440.1, XP_048609298.1, XP_048599813.1, XP_013750505.1, XP_048602265.1, XP_048601378.1, XP_048620827.1, XP_048608711.1, XP_048624937.1, XP_048600452.1, XP_048624466.1, XP_048610413.1, XP_048602951.1, XP_048606056.1, XP_048595700.1, XP_048635061.1, XP_048623828.1, XP_048610917.1, XP_048601765.1, XP_048618116.1, XP_048617042.1, XP_048616274.1, XP_048620254.1, XP_048637522.1, XP_048610064.1, XP_048613014.1, XP_048615096.1, XP_048603562.1, XP_048600215.1, XP_022576063.2, XP_048633966.1, XP_048593388.1, XP_048609348.1, XP_048609347.1, XP_013665085.2, XP_048613183.1, XP_048631151.1, XP_048621605.1, XP_048621349.1, XP_048612104.1, XP_048602935.1, XP_048607098.1, XP_048602894.1, XP_022557024.2, XP_048631548.1, XP_013739847.3, XP_048597124.1, XP_048632399.1, XP_048629681.1, XP_048593351.1, XP_048633298.1, XP_048623979.1, XP_048612781.1, XP_048613045.1, XP_048606909.1, XP_048625987.1, XP_048606381.1
OG0000008	As002G040830, As009G213820	XP_013709535.2
OG0000008	As007G166140	XP_048596271.1
OG0000010	As012G279130	XP_048605625.1
OG0000010	As012G280540, As003G067340	XP_048602259.1
OG0000010	As005G110910	XP_048604663.1
OG0000010	As010G231140	XP_048622602.1, XP_048605413.1
OG0000010	As010G230410	XP_013745801.1, XP_048615585.1, XP_022567036.1, XP_048605091.1
OG0000011	As007G165830	XP_048590890.1
OG0000012	As007G176710	XP_013695049.2, XP_048623277.1
OG0000013	As010G228550, As010G230420, As010G230620, As001G011830, As003G066230, As001G010630, As007G166800, As001G010860, As002G040060, As006G147900, As012G279880, As010G230200	XP_013673830.1
OG0000013	As008G191430	XP_048636982.1
OG0000013	As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120	XP_048605773.1, XP_013669126.1, XP_013657861.1, XP_013680128.1, XP_048623792.1, XP_048627540.1, XP_048627019.1, XP_013654293.1, XP_013719470.1, XP_048628567.1, XP_013673938.1, XP_048599702.1, XP_048623790.1, XP_013657845.1, XP_013674358.1, XP_048611696.1, XP_013731674.1, XP_048620209.1, XP_048622591.1, XP_048613189.1, XP_013680096.1, XP_048599805.1, XP_048590782.1, XP_013695068.1, XP_048611913.1, XP_013709233.2, XP_013700181.2, XP_013715874.2, XP_048623780.1, XP_048622700.1, XP_048611935.1, XP_048604998.1, XP_048604852.1, XP_048611575.1, XP_048626950.1, XP_013745730.1, XP_013689885.1, XP_013709546.1, XP_048623897.1, XP_013658724.1, XP_048599858.1, XP_048626494.1, XP_048637553.1, XP_048613190.1, XP_048595147.1, XP_048611591.1, XP_013695057.1, XP_048622786.1, XP_048605855.1, XP_048596261.1, XP_048619839.1, XP_048599844.1, XP_048605676.1, XP_013705952.3, XP_048599685.1, XP_048605016.1, XP_048613311.1, XP_048605019.1, XP_048608870.1, XP_013689149.2, XP_048604885.1, XP_048599929.1, XP_048613405.1, XP_013721758.1, XP_048611835.1, XP_013689890.1, XP_048627565.1, XP_048598108.1, XP_013720996.1, XP_013654288.1, XP_013688904.1, XP_048611534.1, XP_048599780.1, XP_013700321.1
OG0000013	As001G006220, As010G228600, As001G010900, As002G042370	XP_013651348.2, XP_013694077.1, XP_022575826.1, XP_013689893.1, XP_048613103.1, XP_013669278.1, XP_013728369.1, XP_048619878.1, XP_048605061.1, XP_013730694.1, XP_048622616.1, XP_022570400.1, XP_048599566.1, XP_013699867.2, XP_013665415.1, XP_048599565.1, XP_013704069.1, XP_013650512.1
OG0000014	As007G177950	XP_048611805.1
OG0000014	As010G230580, As010G232150, As007G177430, As008G192770, As009G206390	XP_013654467.2
OG0000015	As007G166610	XP_048614634.1
OG0000015	As007G163280, As004G091800, As011G257210, As008G195330, As004G086610	XP_048622603.1
OG0000015	As011G257220	XP_022553445.1, XP_048611374.1
OG0000015	As010G225860	XP_048627782.1, XP_048595751.1, XP_048607541.1, XP_048613565.1, XP_048634846.1, XP_048611773.1, XP_048616950.1, XP_048602698.1, XP_048622170.1, XP_048623927.1, XP_013645200.2, XP_048611390.1, XP_048606234.1
OG0000015	As011G262280	XP_048616951.1, XP_013751521.1
OG0000017	As006G147350	XP_048592801.1, XP_048620235.1, XP_048599118.1, XP_048594622.1, XP_022546269.2, XP_013715010.1
OG0000017	As011G261070, As010G227380	XP_048615612.1, XP_048610757.1, XP_022559532.2
OG0000017	As003G065780	XP_048603682.1
OG0000019	As001G014580	XP_022552294.1
OG0000019	As010G228190	XP_048627764.1, XP_048606410.1, XP_048610367.1, XP_048618308.1, XP_048605574.1, XP_022547754.2, XP_013739682.2
OG0000020	As007G165150, As001G010310, As001G015320	XP_048615648.1
OG0000021	As011G259540, As001G012170, As001G005040	XP_048622704.1
OG0000021	As003G071480, As010G232120	XP_013713376.1, XP_013661539.2, XP_013727601.1, XP_048620920.1, XP_048615710.1, XP_013708382.1, XP_013700007.2, XP_048604811.1, XP_048611847.1, XP_048620273.1, XP_013658199.2, XP_048604627.1, XP_048611960.1, XP_048604719.1, XP_048622881.1, XP_013704354.2, XP_013700069.1, XP_013700070.1, XP_013720866.1, XP_022557494.1, XP_022574317.2, XP_013717736.1, XP_013713632.1, XP_013745275.1
OG0000023	As003G061360	XP_013697411.2, XP_013738434.2, XP_013738445.2, XP_022570725.1, XP_048601630.1, XP_048597054.1, XP_048601629.1, XP_013737521.2, XP_048601631.1, XP_013694303.1
OG0000023	As003G061290	XP_013661254.1, XP_013737516.2, XP_048619015.1
OG0000023	As004G084560, As004G084580, As004G084570	XP_013718560.2, XP_013718638.2
OG0000023	As003G061270	XP_013663876.1, XP_013701916.1, XP_013663877.2, XP_013737896.1, XP_048601610.1, XP_022549279.2, XP_022550415.1, XP_013737922.2, XP_013737872.2, XP_013710801.1, XP_013717353.1, XP_013694329.2
OG0000023	As003G061350	XP_048605876.1
OG0000026	As007G165250	XP_048604834.1
OG0000029	As001G005440	XP_013655251.2, XP_013679244.2
OG0000029	As001G005430	XP_048634081.1
OG0000029	As004G091740, As005G109110	XP_013708649.1, XP_048636014.1, XP_022552362.2, XP_048610765.1, XP_048624916.1, XP_048604271.1, XP_048630615.1, XP_048615843.1, XP_048637599.1, XP_048593648.1, XP_048607162.1, XP_048623050.1
OG0000029	As009G211080	XP_048613259.1, XP_048627705.1, XP_048634162.1, XP_048637574.1, XP_048591545.1, XP_013689748.1, XP_013719196.1
OG0000029	As008G192170	XP_048593383.1
OG0000030	As011G260570, As011G260600, As010G228030, As011G258250, As001G013020	XP_013673703.1
OG0000031	As001G032000	XP_013733295.2, XP_013664368.1
OG0000031	As009G202600	XP_013728454.1, XP_013667568.2
OG0000031	As006G134510	XP_013731595.1, XP_013743363.2, XP_048602151.1, XP_048594826.1, XP_013742432.1, XP_013741893.2
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	XP_013714969.1, XP_013737559.2, XP_022555869.1, XP_013694313.2, XP_013737653.2, XP_013694321.1
OG0000033	As003G059410, As003G059430, As003G059400	XP_013717260.1, XP_013737259.1
OG0000033	As003G061210, As003G061160	XP_048591452.1, XP_048597020.1, XP_013738358.2, XP_022570722.1, XP_022573444.1, XP_048597043.1, XP_048601628.1, XP_048597076.1, XP_013737646.2, XP_013737574.2, XP_013737581.2, XP_048608846.1, XP_013663884.1
OG0000033	As004G086230	XP_048596713.1, XP_013644429.1
OG0000034	As011G258840	XP_048612319.1, XP_048602271.1
OG0000036	As010G230940, As008G183620, As012G280180, As011G261090	XP_013694559.1
OG0000037	As007G161900	XP_048611515.1
OG0000037	As004G089890	XP_013729534.2
OG0000037	As009G206430	XP_048618200.1
OG0000037	As011G257090	XP_022568279.2
OG0000038	As009G211050, As009G210990, As009G210820	XP_013674918.2
OG0000043	As002G039460	XP_013708975.1, XP_048611687.1
OG0000043	As001G006710	XP_013689090.1, XP_013695067.2, XP_048599941.1
OG0000043	As009G208780	XP_013678800.1, XP_048599765.1
OG0000044	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110	XP_022547672.2, XP_013669672.2, XP_048623948.1, XP_048598164.1, XP_048613213.1, XP_048615669.1, XP_013642234.3, XP_013669592.2, XP_048608518.1, XP_013736305.1
OG0000047	As006G136700	XP_013726474.1, XP_048621881.1
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	XP_013680531.1, XP_013740217.1, XP_048605148.1, XP_013728790.2, XP_013680693.1, XP_013722306.3, XP_048625026.1, XP_048599157.1, XP_013722311.1, XP_048599156.1, XP_013676070.2, XP_013740214.1, XP_048607994.1, XP_022555256.1, XP_013676061.1, XP_022555254.1, XP_013728782.2, XP_013728785.2, XP_048605292.1, XP_013676068.2, XP_013722307.2, XP_048599158.1, XP_013680689.2, XP_013680685.2, XP_013740213.1, XP_013676073.2, XP_048605320.1, XP_048605170.1, XP_013676062.2, XP_048605326.1, XP_013740216.1, XP_013722312.1, XP_013680690.2, XP_013680530.1, XP_013729914.1
OG0000053	As011G257960, As001G007050, As012G281440, As010G228180, As008G190210, As007G176800, As001G006000, As005G110970, As002G037180, As008G190350, As001G001110, As002G040700, As007G164190, As007G164220, As007G179360, As008G193110	XP_022561273.1, XP_048591460.1, XP_013724193.2, XP_013717316.2, XP_013739400.3, XP_013732982.2, XP_013708966.1, XP_013660144.1, XP_013660140.1, XP_013658530.1
OG0000054	As007G163390, As001G010300	XP_048623542.1
OG0000054	As004G090600	XP_022553428.2, XP_013737743.2, XP_048623720.1, XP_022553704.2, XP_048634735.1, XP_048610596.1, XP_048602294.1, XP_022574445.2, XP_048635553.1, XP_048618573.1, XP_048622748.1, XP_013713188.2, XP_048619894.1, XP_048611783.1, XP_048613170.1, XP_048615234.1, XP_048637818.1, XP_048637045.1, XP_048596138.1, XP_048612574.1, XP_048634954.1, XP_048609051.1, XP_022574301.2, XP_048633225.1, XP_022574506.1, XP_013704260.2, XP_022562802.1, XP_048620993.1, XP_048599089.1, XP_048592551.1, XP_048621337.1, XP_022551131.2, XP_048597720.1, XP_048606142.1, XP_048619790.1, XP_048621209.1, XP_048622552.1, XP_048629346.1, XP_048633888.1, XP_048598954.1, XP_022549978.2, XP_048605107.1, XP_013705438.2, XP_048615650.1, XP_048602917.1, XP_048628816.1, XP_048605478.1, XP_022574390.2, XP_048622671.1, XP_048599304.1, XP_048610747.1, XP_048596260.1, XP_013695048.2, XP_013654745.2, XP_048601641.1, XP_048608968.1
OG0000054	As007G163400	XP_048609577.1
OG0000054	As011G258570, As001G015330, As001G010290, As001G006440	XP_048592841.1, XP_048613136.1, XP_048634116.1, XP_048628169.1, XP_048592471.1
OG0000055	As001G022050	XP_013647831.2, XP_013642588.2
OG0000056	As007G178620	XP_048634929.1, XP_013645844.2, XP_048593471.1, XP_013688936.2, XP_048609321.1, XP_013688795.2, XP_048635087.1, XP_013694675.1, XP_013645882.2, XP_048611631.1, XP_013694324.1, XP_013690206.1, XP_048596449.1, XP_013645336.1, XP_013689842.1, XP_048626013.1, XP_048622740.1, XP_048607413.1, XP_013709826.3, XP_013665443.2, XP_013709534.2, XP_048623820.1, XP_048611849.1, XP_048633213.1, XP_048594492.1
OG0000059	As001G005030	XP_048605596.1
OG0000060	As009G209930, As010G227950, As004G090090, As010G230600, As010G228570, As005G110370, As003G065870, As001G010980	XP_048622453.1
OG0000066	As002G052230	XP_013648759.1, XP_013678984.1, XP_013693331.1, XP_013729633.1, XP_013736360.1, XP_013731924.1, XP_022554306.1, XP_013726329.1, XP_013686983.1
OG0000066	As005G118450	XP_013750874.1, XP_013686753.1, XP_013709910.2, XP_022552886.1, XP_013678750.1, XP_013657686.1, XP_013726586.1, XP_013686743.2, XP_013731494.1, XP_013698649.1, XP_013712760.1, XP_048627501.1, XP_048626247.1, XP_048627503.1, XP_048626251.1, XP_048630526.1, XP_048601368.1, XP_013738537.1, XP_013718218.1, XP_013686742.1
OG0000067	As011G256070, As011G256050	XP_013715412.1, XP_013670850.1, XP_048623178.1, XP_022548777.1, XP_048598519.1, XP_013668584.1
OG0000070	As011G259870	XP_048626931.1, XP_048611541.1
OG0000070	As006G149230, As011G259300	XP_048609984.1
OG0000070	As004G090980, As011G257970	XP_022567896.1
OG0000073	As006G137430	XP_048619030.1, XP_048618998.1, XP_048618855.1, XP_048609421.1, XP_013699603.2, XP_048602979.1, XP_013672745.1
OG0000073	As002G034500, As002G034570, As002G034640	XP_022570605.2, XP_013724112.2
OG0000078	As004G095030	XP_013700526.1, XP_013650905.1, XP_013745380.1, XP_048637495.1, XP_013700179.1, XP_048605892.1, XP_048623590.1, XP_048611607.1, XP_013665097.1, XP_048622699.1, XP_022549656.1, XP_048609005.1, XP_048599720.1, XP_013739428.1, XP_048596368.1, XP_048623987.1, XP_048613524.1, XP_048620033.1, XP_022546375.1, XP_048628043.1, XP_048615664.1, XP_022576097.1, XP_048628042.1, XP_048603585.1, XP_048630261.1, XP_048634207.1, XP_048609229.1, XP_048591498.1, XP_048591499.1, XP_013654184.1, XP_048623523.1, XP_013681787.1, XP_048634099.1, XP_048611376.1, XP_022551141.2, XP_048617967.1, XP_048634792.1, XP_048592898.1, XP_013728224.3
OG0000079	As012G285110	XP_013729190.1, XP_048595764.1, XP_048612278.1, XP_013734091.1, XP_013683381.1, XP_048596518.1, XP_048597432.1, XP_048620983.1, XP_048612276.1, XP_013663684.1, XP_013686218.2, XP_013686220.2, XP_022563621.2, XP_013648987.2, XP_048593056.1, XP_048615760.1, XP_022573359.2, XP_013724447.1, XP_048593057.1, XP_013724445.1
OG0000082	As012G278670	XP_048621527.1
OG0000083	As006G138550	XP_048607240.1, XP_048594694.1, XP_048594704.1, XP_013693846.2, XP_048607238.1, XP_022561232.2, XP_013694863.1, XP_013678470.2, XP_013674778.2, XP_022544744.2, XP_048591797.1, XP_013750052.1, XP_022551365.2, XP_013700969.1, XP_048617308.1, XP_013649474.1, XP_048595388.1, XP_048614188.1, XP_048637466.1, XP_048638382.1, XP_048638383.1, XP_048613145.1, XP_022542962.2, XP_013735845.1, XP_048606473.1, XP_048612392.1, XP_013732405.3, XP_013732131.3
OG0000085	As001G000080	XP_013673820.1, XP_013650723.1, XP_048596508.1
OG0000086	As009G216030, As009G216300, As009G216040	XP_048596830.1, XP_013654149.2, XP_048596828.1, XP_048596826.1, XP_048596831.1, XP_048596838.1, XP_048596825.1, XP_013670270.2, XP_048625411.1, XP_048625797.1, XP_048624818.1, XP_048624742.1, XP_048623032.1, XP_048624743.1, XP_048625421.1, XP_013670272.1, XP_048625417.1, XP_048596836.1, XP_048596827.1, XP_048596835.1, XP_013654809.1, XP_048596829.1, XP_048596834.1, XP_048596833.1, XP_048596839.1, XP_013654148.2, XP_048596832.1, XP_048596823.1, XP_013654807.2, XP_048596837.1, XP_013654814.2, XP_048596824.1
OG0000087	As010G222260	XP_022562884.1
OG0000087	As006G128780	XP_013744215.1, XP_048609898.1, XP_013748897.2, XP_048630422.1, XP_013748912.1
OG0000087	As002G051000	XP_013727135.1, XP_013668012.1
OG0000087	As012G274980	XP_048636624.1, XP_022571399.1, XP_013692248.1
OG0000087	As004G086530	XP_048623521.1, XP_013730319.2, XP_048615524.1, XP_048595999.1, XP_013685704.1, XP_013723718.1, XP_048637415.1
OG0000087	As003G058850	XP_013735145.1, XP_013671115.1, XP_013717468.1, XP_013737534.1
OG0000087	As010G237710	XP_013702315.1, XP_013717905.1
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	XP_013744164.1, XP_048633769.1, XP_013662951.2, XP_013684409.1, XP_013738446.1, XP_013655528.2, XP_013724542.3, XP_013691478.1, XP_013642657.2, XP_013696082.2, XP_048604148.1, XP_048596586.1, XP_013640522.2, XP_013682377.2, XP_013732525.1, XP_048600910.1, XP_013663313.2, XP_013682378.2, XP_022570880.1, XP_013681867.2, XP_013686818.1
OG0000088	As010G223910	XP_013666868.1, XP_013647817.1
OG0000089	As002G053510	XP_013738692.2, XP_013680302.1, XP_013715593.1, XP_022570770.1, XP_048603560.1, XP_013678548.1
OG0000089	As010G224530, As005G115200	XP_013710228.1, XP_048604587.1, XP_013657096.2, XP_013670085.1, XP_022568928.1, XP_013716687.1, XP_013703107.1, XP_013642751.1, XP_048608166.1, XP_013642558.1, XP_013704295.1
OG0000090	As003G065330	XP_013648765.1, XP_013721160.1, XP_013702919.2, XP_013717976.1, XP_013693443.1, XP_022551927.1
OG0000090	As012G273080	XP_013713419.1, XP_013691588.1, XP_013685705.1, XP_022560926.1, XP_048630146.1, XP_013730312.2
OG0000093	As012G284680, As012G284700, As012G284660	XP_048634291.1, XP_013691599.1, XP_013728903.1, XP_013691684.1, XP_048615753.1, XP_013652010.2, XP_048593043.1, XP_013652011.2, XP_048593044.1
OG0000096	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360	XP_048603802.1
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	XP_013657561.2, XP_048621400.1, XP_022547315.1
OG0000098	As001G018420, As001G018430, As001G018440	XP_048625900.1
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	XP_048594192.1, XP_048613985.1, XP_013671755.2, XP_048621297.1, XP_048597756.1, XP_048597763.1, XP_022546758.2, XP_013657483.2, XP_048622325.1, XP_048597623.1, XP_048597733.1, XP_013694439.2, XP_013708508.2, XP_048638194.1
OG0000104	As006G129210, As006G129180, As006G129160	XP_048592849.1
OG0000104	As012G271190, As012G271200	XP_048637750.1, XP_013717076.1, XP_013749139.1, XP_048616605.1, XP_048627500.1, XP_048636910.1
OG0000104	As006G129190	XP_013747135.1, XP_048611967.1
OG0000106	As002G041170, As002G041390, As002G041440	XP_022549816.1, XP_013724543.2, XP_048630737.1, XP_013732001.1
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220	XP_048626537.1
OG0000107	As011G252340	XP_013654654.2, XP_013710374.1, XP_013665759.2, XP_048614606.1, XP_013741179.1, XP_048607094.1
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	XP_013647147.2, XP_013721821.1, XP_022552989.2, XP_048591517.1, XP_013738590.1, XP_013654138.2, XP_048597131.1, XP_013679734.2, XP_013665891.1, XP_013711330.1
OG0000111	As002G048150	XP_022562617.1, XP_048595446.1
OG0000114	As006G137050, As006G137080	XP_048620720.1, XP_048605864.1, XP_048607881.1, XP_013716522.2, XP_022566896.2, XP_022566891.2, XP_048595956.1, XP_048608177.1, XP_048607382.1, XP_013649086.2, XP_048635127.1, XP_013742280.2, XP_048601725.1, XP_013750066.1, XP_048602540.1, XP_013742273.2, XP_048591888.1
OG0000116	As011G261080, As012G277730, As011G256700, As005G108990, As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410	XP_022544167.1, XP_048608432.1, XP_048638188.1, XP_013716376.1, XP_022550104.1, XP_022556923.1, XP_048593732.1, XP_022556736.1, XP_022549872.2, XP_022575985.1, XP_048625853.1, XP_048617918.1, XP_048606284.1, XP_048622376.1, XP_048630379.1, XP_048635896.1, XP_048615261.1, XP_048593658.1, XP_048592752.1
OG0000117	As002G041560	XP_013724345.2
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	XP_013721571.1, XP_013653227.2, XP_022559841.1, XP_048593021.1, XP_048625105.1, XP_048598243.1, XP_048599293.1, XP_013696139.2, XP_013665018.2, XP_048620842.1, XP_013658816.2
OG0000123	As008G183790, As008G183770	XP_048598539.1
OG0000123	As008G183750	XP_013741543.2, XP_013705830.2, XP_013696173.1, XP_013741231.1
OG0000123	As008G183720	XP_022545315.2, XP_013655236.1, XP_013675212.2, XP_013655239.2, XP_013655240.1, XP_048615718.1
OG0000125	As006G146230	XP_013678311.1, XP_013661166.1, XP_013742587.1, XP_013737891.1
OG0000125	As012G277440	XP_013651899.1
OG0000125	As005G113770	XP_013724039.1, XP_048628026.1, XP_013680559.2, XP_013667165.1
OG0000125	As005G114700, As010G224880	XP_013714507.1, XP_013712083.2
OG0000125	As006G129500	XP_048610082.1, XP_013733819.1, XP_013647688.1, XP_013702707.1, XP_048633779.1
OG0000127	As008G186430, As008G186390, As008G185640	XP_022558142.1
OG0000130	As005G110830	XP_048598133.1
OG0000130	As010G226930, As002G040800, As008G191120	XP_048631499.1, XP_048628581.1, XP_048628582.1, XP_048631476.1, XP_048627746.1, XP_048627967.1, XP_048627968.1, XP_048611550.1, XP_048604950.1, XP_048629103.1, XP_048628150.1, XP_048631316.1, XP_048621905.1, XP_048623603.1, XP_048599843.1, XP_048604262.1, XP_048622059.1, XP_048611404.1, XP_022552326.1, XP_022552089.1, XP_048605542.1, XP_048627568.1, XP_048617047.1, XP_048614025.1, XP_048628611.1, XP_022557135.2, XP_048606240.1
OG0000133	As004G090110	XP_022561458.1, XP_048624232.1, XP_048617376.1
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	XP_048620020.1, XP_048605371.1, XP_013725686.2, XP_013719899.1, XP_048600424.1, XP_048608067.1, XP_048620019.1, XP_048612226.1, XP_048606196.1, XP_013700850.2, XP_048606577.1, XP_048593307.1, XP_048638477.1, XP_048636877.1, XP_048623900.1, XP_048625819.1, XP_013694505.2, XP_048601493.1, XP_048601605.1, XP_048633105.1, XP_048610426.1, XP_048606779.1, XP_048595013.1, XP_048616767.1, XP_048630751.1, XP_048611440.1, XP_048637518.1, XP_013725733.2, XP_022558112.2, XP_022549598.1, XP_013705736.1, XP_048615754.1, XP_013679739.1, XP_013642601.2, XP_048615616.1, XP_022553480.1, XP_048611892.1, XP_048599828.1, XP_048606740.1, XP_022557385.2, XP_048605021.1, XP_048601774.1, XP_022556311.2
OG0000135	As001G004200, As001G005020, As004G090030, As008G186340	XP_013722991.2
OG0000136	As001G028730	XP_048591378.1, XP_013645964.1, XP_013734124.1, XP_013667628.2, XP_013699285.2
OG0000136	As005G116580, As005G116570	XP_022575046.2
OG0000138	As004G077560, As004G078140	XP_048609073.1, XP_013651841.2, XP_048616562.1
OG0000138	As010G224060	XP_048615898.1
OG0000138	As001G027950, As001G027940, As007G161530	XP_013649049.1, XP_013690601.2, XP_013699211.2, XP_048617267.1, XP_048592076.1, XP_013714052.2, XP_048615899.1, XP_022569961.1, XP_013644477.2, XP_013703822.2
OG0000139	As006G149220, As004G090290	XP_048627494.1, XP_048628464.1, XP_048627285.1, XP_048627662.1, XP_048627660.1, XP_048608776.1, XP_048629572.1, XP_048627230.1, XP_048629903.1, XP_048629569.1, XP_048622676.1, XP_048629418.1, XP_048627546.1, XP_048627659.1, XP_048629977.1, XP_048611712.1
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	XP_013713651.2, XP_013740286.2, XP_013681326.3, XP_048608044.1, XP_048630919.1, XP_048606408.1, XP_013713879.2, XP_048604485.1, XP_048606386.1, XP_013674904.1, XP_013733786.2, XP_048604591.1, XP_022556278.2, XP_013743782.2, XP_013729602.1, XP_022549051.2
OG0000142	As003G060670	XP_013744244.1
OG0000143	As007G177750	XP_048635221.1, XP_048633217.1, XP_048618506.1, XP_048597070.1
OG0000145	As004G091580	XP_048591580.1, XP_048613494.1
OG0000146	As002G047180	XP_013705645.2, XP_013665791.2, XP_048629397.1
OG0000146	As002G047190	XP_013683699.1, XP_013665789.1, XP_013665790.1, XP_013651101.2, XP_013646341.2, XP_022573245.1
OG0000147	As011G265720	XP_013652767.1, XP_013652756.1, XP_048625859.1, XP_013738909.2, XP_048590962.1, XP_048606560.1
OG0000147	As001G002190	XP_013656312.2
OG0000147	As002G049060	XP_048606815.1, XP_048603056.1, XP_048624774.1, XP_048598891.1
OG0000147	As010G243490	XP_013726987.1, XP_013650334.2, XP_013648576.1
OG0000147	As010G227330	XP_013701019.2
OG0000147	As011G259420	XP_013681235.2, XP_048632582.1
