Orthogroup	Cardamine_hirsuta	Camelina_sativa
OG0000009	CARHR114650	XP_010506896.1, XP_010507310.1, XP_019093287.1, XP_010495420.1, XP_010456726.1
OG0000009	CARHR153540	XP_019089031.1
OG0000012	CARHR032720	XP_010420789.1
OG0000012	CARHR032710	XP_010464671.1, XP_010500083.1, XP_010517357.1, XP_010446274.1, XP_010474320.1, XP_010418947.1, XP_010451621.1, XP_010436204.1, XP_010445208.1, XP_010463434.1
OG0000014	CARHR287490	XP_019091121.1, XP_019086291.1
OG0000015	CARHR258200, CARHR258330	XP_010480818.1, XP_010497195.1, XP_010456599.1, XP_010420917.1, XP_019089071.1, XP_010462823.1, XP_019101915.1, XP_010490066.1, XP_010472228.1, XP_010490468.1, XP_010445504.1, XP_010481162.1
OG0000015	CARHR110600	XP_010427798.1, XP_010450099.1, XP_010445653.1, XP_019101582.1, XP_010517126.1, XP_010488852.1, XP_019089569.1, XP_010412816.1, XP_010470614.1, XP_010474544.1, XP_010484774.1
OG0000020	CARHR113350, CARHR034150, CARHR049310	XP_010513440.1, XP_019085424.1, XP_019094593.1, XP_019085440.1, XP_010495727.1, XP_019085626.1, XP_019101996.1, XP_019086627.1
OG0000020	CARHR213120	XP_019082585.1
OG0000021	CARHR146600	XP_010436809.1, XP_010424537.1, XP_010506965.1
OG0000022	CARHR234420	XP_010438694.1, XP_010448208.1, XP_010433436.1
OG0000022	CARHR196550	XP_010453827.1, XP_019084725.1, XP_010492576.1
OG0000022	CARHR051050, CARHR048810	XP_019082759.1, XP_019087557.1
OG0000022	CARHR049170	XP_010473491.1, XP_010418269.1, XP_010430336.1
OG0000022	CARHR048480, CARHR048800	XP_010419464.1
OG0000022	CARHR048840	XP_019085675.1
OG0000022	CARHR048440, CARHR047970	XP_019082755.1, XP_019087757.1, XP_010419472.1, XP_010430432.1
OG0000022	CARHR045470, CARHR051030	XP_019093419.1
OG0000022	CARHR048220	XP_010462675.2
OG0000022	CARHR049120	XP_010474584.1, XP_019085228.1, XP_010419465.1
OG0000022	CARHR013000	XP_010458700.1
OG0000022	CARHR046360	XP_010418533.1, XP_019085324.1
OG0000022	CARHR046370	XP_010418529.1, XP_010430597.1
OG0000022	CARHR213210	XP_010447152.1, XP_010436064.1
OG0000022	CARHR091960	XP_019096254.1, XP_010504570.1, XP_010465692.1
OG0000024	CARHR030400	XP_019082533.1
OG0000024	CARHR031230, CARHR030890	XP_010480482.1, XP_010480750.1
OG0000024	CARHR126510, CARHR030870	XP_019091876.1, XP_010501690.1, XP_010478534.1
OG0000024	CARHR116780	XP_019094488.1
OG0000024	CARHR174240	XP_010478551.1
OG0000024	CARHR113190	XP_010480848.1, XP_010478732.1, XP_010463094.1
OG0000024	CARHR112760	XP_010463028.1, XP_019094489.1
OG0000025	CARHR288360	XP_010438543.1, XP_010496538.1, XP_010424792.1
OG0000027	CARHR255070	XP_010434897.1, XP_010455557.1, XP_010455558.1
OG0000027	CARHR255040	XP_019089721.1
OG0000027	CARHR057450	XP_010439188.2, XP_010433919.1
OG0000027	CARHR230630	XP_010445177.2
OG0000027	CARHR230470, CARHR230480	XP_019087868.1, XP_019089322.1
OG0000027	CARHR230510	XP_019089325.1, XP_010433927.1
OG0000027	CARHR230500	XP_019086460.1
OG0000027	CARHR230410	XP_010427119.1, XP_010514748.1, XP_010503063.1
OG0000027	CARHR254910, CARHR254920	XP_019090217.1, XP_019084079.1
OG0000027	CARHR254880	XP_010422102.1
OG0000027	CARHR230560	XP_010445185.2
OG0000027	CARHR230300	XP_010439208.1, XP_010433929.1, XP_010448752.1
OG0000027	CARHR055330	XP_019087878.1
OG0000027	CARHR230350	XP_019089062.1, XP_010448746.1, XP_010439203.1
OG0000027	CARHR230440	XP_010451236.1
OG0000027	CARHR230330, CARHR230640	XP_019088139.1
OG0000028	CARHR285330	XP_019087714.1, XP_010436629.2, XP_010451562.1, XP_019089771.1
OG0000028	CARHR220000, CARHR100780	XP_019095667.1
OG0000028	CARHR030090	XP_010478410.1, XP_010480737.1, XP_019094483.1, XP_019094842.1
OG0000028	CARHR289310	XP_010456475.1
OG0000028	CARHR269250	XP_010450245.1
OG0000028	CARHR268630	XP_010449339.1, XP_010450257.1, XP_010450330.1, XP_010485150.2
OG0000028	CARHR267520	XP_010485121.1, XP_010446111.1, XP_019086647.1, XP_010482860.1, XP_010485122.1, XP_010485123.1
OG0000028	CARHR242050	XP_010446868.1
OG0000028	CARHR267840	XP_010446182.1
OG0000028	CARHR267700	XP_019088072.1, XP_010475515.1, XP_010475493.1, XP_010446106.1, XP_019095829.1, XP_010446107.1, XP_010475504.1, XP_010448142.1, XP_010446108.1
OG0000030	CARHR060010, CARHR059990	XP_010419044.1
OG0000030	CARHR134370	XP_019100742.1
OG0000030	CARHR162370	XP_010462898.1
OG0000030	CARHR260760, CARHR260790	XP_010506941.1, XP_010481243.1
OG0000030	CARHR158520, CARHR158510, CARHR158530	XP_019099946.1, XP_019099931.1, XP_010431180.1
OG0000030	CARHR088850	XP_019096643.1
OG0000030	CARHR088860, CARHR095910, CARHR026350	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1
OG0000032	CARHR158150, CARHR057520, CARHR108030, CARHR217640	XP_010419309.1
OG0000032	CARHR289940	XP_010446026.1
OG0000032	CARHR284240	XP_010457003.2, XP_010412532.1, XP_010451598.1, XP_010494552.1
OG0000032	CARHR287680, CARHR287700, CARHR266450	XP_019100224.1
OG0000032	CARHR266460	XP_010418918.1, XP_010436558.1
OG0000034	CARHR230270, CARHR230290	XP_010433941.1, XP_010439209.1, XP_010448753.1
OG0000034	CARHR055320	XP_010439226.1, XP_010439227.1
OG0000034	CARHR228000	XP_019086474.1
OG0000034	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070	XP_019089519.1, XP_010434185.1
OG0000034	CARHR289950	XP_019088150.1, XP_019089518.1
OG0000034	CARHR106160	XP_010467326.1
OG0000034	CARHR230360	XP_019087869.1
OG0000034	CARHR230320	XP_010439201.1, XP_019089065.1, XP_010448744.1
OG0000034	CARHR230230, CARHR230200	XP_010433930.1, XP_019087874.1, XP_010448768.1
OG0000038	CARHR187570	XP_019087577.1, XP_019095590.1, XP_019093290.1, XP_019087432.1, XP_019084251.1, XP_019098425.1
OG0000038	CARHR259820	XP_019090156.1, XP_019096519.1
OG0000039	CARHR117850	XP_019100868.1, XP_019082678.1
OG0000042	CARHR258550	XP_010412443.1
OG0000042	CARHR154720	XP_010424173.1
OG0000042	CARHR260310	XP_010513423.1, XP_010473769.1, XP_010513486.1
OG0000042	CARHR181500	XP_010463124.1
OG0000043	CARHR288090	XP_010471448.1
OG0000043	CARHR216370	XP_019097453.1
OG0000043	CARHR121910	XP_010474216.1
OG0000044	CARHR223510	XP_019089124.1
OG0000044	CARHR175840, CARHR175230	XP_019090872.1
OG0000044	CARHR175060	XP_010494828.1
OG0000044	CARHR174840	XP_010496021.1
OG0000044	CARHR116350	XP_019095933.1
OG0000044	CARHR223530	XP_019086125.1
OG0000044	CARHR222470	XP_010434750.1, XP_010440077.1, XP_010440087.1
OG0000046	CARHR104690, CARHR258020	XP_019091484.1
OG0000046	CARHR159290	XP_010461751.1, XP_010502950.1, XP_010518653.2, XP_010412583.2, XP_010474317.1, XP_010490459.2, XP_010412458.2, XP_010495393.2, XP_019094411.1, XP_010507554.1, XP_010507003.1, XP_010451886.2, XP_019086303.1, XP_019097866.1, XP_019089513.1, XP_010435128.1, XP_019096471.1
OG0000046	CARHR273180, CARHR286710, CARHR217190	XP_019094579.1, XP_010458616.1, XP_010495787.1, XP_019087961.1
OG0000046	CARHR117470	XP_010502335.1
OG0000047	CARHR257880	XP_010462614.1, XP_010430681.1, XP_010489839.1, XP_010424166.1, XP_010424066.1, XP_010445555.1, XP_010445888.1, XP_010490400.1, XP_010474460.1, XP_010513510.1, XP_010513511.1, XP_010474540.1, XP_010430682.1, XP_010468710.1
OG0000048	CARHR054750	XP_010480341.1
OG0000048	CARHR261660	XP_019087514.1
OG0000048	CARHR125110	XP_010513158.1, XP_019082540.1, XP_010414120.1, XP_019098434.1
OG0000048	CARHR126110	XP_010431681.1, XP_019082751.1, XP_010431684.1, XP_010431683.1, XP_010419453.1
OG0000049	CARHR220930	XP_019085550.1, XP_019095478.1
OG0000050	CARHR154060	XP_010495728.1, XP_019097515.1
OG0000051	CARHR002800	XP_010475218.1, XP_019098849.1, XP_019094361.1, XP_019094954.1, XP_010457379.1
OG0000051	CARHR137510	XP_010508568.1, XP_019101977.1, XP_010506074.1
OG0000051	CARHR127280	XP_010508571.1, XP_019099792.1, XP_019099930.1, XP_019102077.1, XP_010489918.2, XP_019092650.1, XP_019101975.1, XP_019101079.1
OG0000051	CARHR137550, CARHR137540	XP_019100718.1, XP_019102056.1
OG0000051	CARHR260850	XP_019100713.1, XP_019099798.1, XP_019099883.1, XP_019101012.1, XP_010413016.2, XP_010413017.1
OG0000052	CARHR148030	XP_010425425.1, XP_019100094.1
OG0000052	CARHR065210, CARHR065340	XP_019100897.1, XP_010418932.1, XP_010418929.2
OG0000052	CARHR278910, CARHR148040	XP_010507020.2
OG0000052	CARHR150860	XP_010502644.1, XP_019101817.1, XP_010425426.1, XP_010502642.1, XP_010514366.1, XP_010430778.1, XP_010440300.1, XP_019085462.1, XP_019085408.1
OG0000052	CARHR162490	XP_019099853.1, XP_010431292.1
OG0000052	CARHR162550	XP_019085576.1, XP_010431289.1, XP_019100300.1
OG0000052	CARHR162560	XP_010431290.2, XP_019082473.1, XP_019085577.1, XP_010431293.1
OG0000052	CARHR162540	XP_019085579.1
OG0000052	CARHR162510	XP_019085912.1
OG0000052	CARHR157840	XP_010515239.1, XP_010503551.1, XP_010426408.1
OG0000052	CARHR148050, CARHR278920, CARHR148010, CARHR065350	XP_010418931.1
OG0000054	CARHR218450	XP_019087483.1, XP_010419074.1, XP_019087585.1, XP_019091106.1, XP_010513461.1, XP_010474092.1, XP_019098333.1, XP_019085464.1, XP_010501846.1
OG0000054	CARHR218070, CARHR104410, CARHR182000, CARHR219040, CARHR221160, CARHR284340, CARHR057830, CARHR034710	XP_019085386.1
OG0000054	CARHR153240	XP_010468617.1, XP_019100879.1, XP_019086339.1, XP_010507141.1, XP_010496997.1, XP_010451813.1, XP_019098254.1, XP_010473115.1, XP_019089207.1, XP_019085558.1, XP_010473939.1, XP_010468547.1, XP_010451735.1
OG0000054	CARHR105040, CARHR056220	XP_010496446.1, XP_010480724.1
OG0000054	CARHR149820	XP_019089204.1
OG0000054	CARHR288230	XP_019093255.1
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	XP_019092356.1
OG0000055	CARHR100840	XP_019092293.1
OG0000055	CARHR222490, CARHR100820	XP_019092631.1
OG0000055	CARHR096180, CARHR096160	XP_010468422.1
OG0000055	CARHR092560, CARHR092720	XP_019092636.1
OG0000055	CARHR094260, CARHR107830, CARHR149830, CARHR108270	XP_010456592.1
OG0000055	CARHR111010	XP_010489359.1, XP_010515149.1
OG0000055	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370	XP_019092372.1, XP_019089014.1, XP_019092647.1, XP_010490397.2, XP_010449648.2
OG0000055	CARHR092630, CARHR092620, CARHR213520	XP_010468236.2, XP_010489892.2
OG0000056	CARHR050320	XP_010473413.1, XP_019085277.1
OG0000056	CARHR049970	XP_010473426.1, XP_010430251.1
OG0000056	CARHR049990, CARHR050000	XP_010430227.1, XP_010418186.1, XP_010473423.1, XP_010418174.1
OG0000056	CARHR050280, CARHR049980, CARHR050290	XP_019082750.1, XP_010430231.1, XP_010473416.1
OG0000056	CARHR050160	XP_010418173.1, XP_010430224.1, XP_010473415.1
OG0000056	CARHR155600	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1
OG0000059	CARHR044830	XP_010415481.1
OG0000059	CARHR293330, CARHR148640, CARHR151940, CARHR118340	XP_010445837.1, XP_010495452.1
OG0000059	CARHR104020	XP_010451490.1, XP_010506938.1
OG0000059	CARHR286550, CARHR102470, CARHR152130	XP_019082768.1, XP_010424297.1, XP_010492076.1, XP_010480864.1, XP_010480807.1, XP_010421928.1, XP_019086245.1, XP_010454794.1, XP_010474415.1, XP_019093613.1, XP_019087039.1, XP_010445534.1, XP_019093612.1, XP_010483128.1, XP_010495455.1, XP_010467664.1, XP_019094598.1, XP_010513527.1, XP_010513525.1, XP_010436683.1, XP_010501879.1, XP_010444952.1, XP_010419243.1, XP_010445432.1, XP_010451388.1, XP_010451387.1, XP_010480860.1, XP_010418226.1, XP_010507751.1, XP_010418870.1, XP_010424397.1, XP_010485261.1, XP_010507491.1, XP_010501675.1, XP_010436657.1, XP_010474557.1, XP_010412778.1, XP_010501678.1, XP_010457038.1
OG0000060	CARHR273610	XP_010414487.1, XP_010414486.1
OG0000061	CARHR228580	XP_010479194.1, XP_019090915.1, XP_010479193.1, XP_010479197.1, XP_010479195.1, XP_010479119.1
OG0000061	CARHR270010	XP_010434141.1, XP_010481076.1, XP_010495296.1, XP_010448996.1, XP_010451304.1
OG0000061	CARHR039590	XP_019101969.1, XP_019083787.1
OG0000061	CARHR215660	XP_010436712.1
OG0000061	CARHR123140	XP_010480591.2, XP_019100817.1, XP_010491240.1
OG0000061	CARHR123070, CARHR123150	XP_010510427.1
OG0000061	CARHR151510, CARHR219570	XP_010430593.1, XP_010441286.1, XP_010436072.1
OG0000065	CARHR059260, CARHR059160	XP_010470574.1
OG0000065	CARHR059130, CARHR059070, CARHR059140	XP_010470573.1, XP_010511598.1, XP_019083199.1, XP_019100931.1
OG0000065	CARHR059270, CARHR059250	XP_019100936.1, XP_019083220.1
OG0000065	CARHR059080	XP_010470571.1, XP_010415233.1
OG0000065	CARHR059200	XP_010496110.1
OG0000065	CARHR214430	XP_010440921.1
OG0000065	CARHR214400	XP_010440922.2, XP_010450949.1
OG0000065	CARHR214340, CARHR214350	XP_019088287.1
OG0000065	CARHR263400	XP_010441031.1, XP_019089248.1, XP_010435808.1
OG0000066	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160	XP_010489841.1, XP_010475747.1, XP_010484375.1, XP_010514443.1, XP_010502711.1, XP_010444536.1, XP_010425488.1, XP_010458200.1, XP_010463183.1
OG0000066	CARHR068990	XP_010428586.1, XP_010466628.1, XP_010447175.1, XP_010488359.1, XP_010471674.1, XP_010480248.1
OG0000066	CARHR202310	XP_010419651.1, XP_010491788.1, XP_010431986.1, XP_010453132.1, XP_010437129.1, XP_010431988.1
OG0000068	CARHR210960	XP_010423843.1, XP_019090686.1, XP_010423328.1, XP_010423367.1, XP_010452589.1, XP_019097301.1
OG0000068	CARHR210190	XP_010423706.1, XP_010490829.1, XP_010423608.1, XP_010490827.1
OG0000068	CARHR064230	XP_019084672.1, XP_010491460.1
OG0000069	CARHR264470	XP_019100969.1
OG0000069	CARHR264460	XP_019087685.1, XP_010478135.1, XP_010444227.1, XP_010444236.1, XP_010484077.1, XP_019093841.1, XP_019093843.1, XP_010460670.1, XP_010444261.1, XP_019095680.1
OG0000070	CARHR010350	XP_010458359.1, XP_010475885.1, XP_010490823.1
OG0000070	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	XP_010425101.1, XP_010502325.1, XP_010514084.1, XP_010425103.1, XP_010506934.1, XP_010502326.1, XP_010514085.1
OG0000070	CARHR020650	XP_010459699.1, XP_010477249.1, XP_010448526.1, XP_010438976.1, XP_010433736.1
OG0000070	CARHR284690	XP_010494151.1
OG0000070	CARHR052170, CARHR288810	XP_010450797.1, XP_010441003.1, XP_010435879.1, XP_010441072.1, XP_010437611.1, XP_010432410.1, XP_010447075.1, XP_010447073.1
OG0000072	CARHR049910, CARHR219260, CARHR119870, CARHR260200	XP_010446292.1
OG0000075	CARHR247180	XP_010431928.1, XP_010446504.1
OG0000075	CARHR247140	XP_010437077.1, XP_019086095.1, XP_010446510.1
OG0000075	CARHR247160	XP_019086927.1
OG0000075	CARHR286190, CARHR286200, CARHR286160	XP_010471669.1, XP_010442351.1, XP_010439941.1, XP_010482185.1, XP_019088263.1, XP_010471717.1, XP_010439953.1
OG0000075	CARHR105240	XP_010507443.1, XP_010431362.2, XP_010431361.1, XP_010516012.1, XP_010427182.1
OG0000076	CARHR247830	XP_019086777.1, XP_019088762.1, XP_010446406.1
OG0000076	CARHR127180	XP_010413809.1, XP_019093848.1
OG0000077	CARHR176910, CARHR176920, CARHR177280, CARHR112190	XP_010481626.1
OG0000077	CARHR112200	XP_019097508.1, XP_010417196.1
OG0000077	CARHR288740	XP_019099582.1, XP_010430699.1, XP_010518589.1
OG0000077	CARHR145640	XP_010514095.1, XP_019099908.1
OG0000078	CARHR077950	XP_010514749.1, XP_010485737.1, XP_010463845.1
OG0000078	CARHR077940	XP_010485744.1, XP_010463847.1, XP_010514943.1
OG0000078	CARHR194990, CARHR195030, CARHR195060, CARHR195010	XP_019090250.1, XP_019090249.1, XP_019083862.1, XP_019097999.1, XP_019098000.1, XP_019089956.1, XP_019083864.1, XP_019089955.1, XP_019083868.1, XP_019089957.1, XP_019090652.1, XP_019083867.1, XP_019083863.1, XP_019090034.1, XP_019098001.1, XP_019090033.1, XP_019097860.1, XP_019098095.1, XP_010420540.1, XP_019098087.1, XP_019098096.1, XP_019098094.1, XP_019090301.1, XP_019083860.1
OG0000079	CARHR254750	XP_010495654.1
OG0000079	CARHR151670, CARHR119610	XP_010512724.1, XP_019100739.1, XP_019085561.1, XP_019099825.1, XP_019082800.1, XP_010455272.1, XP_010441029.1, XP_019092609.1, XP_010494915.2, XP_010495453.2, XP_010511426.1, XP_010494414.1
OG0000081	CARHR217030	XP_010462790.1, XP_010480815.1, XP_019089329.1, XP_010456870.1, XP_010436473.1, XP_019092479.1, XP_019096239.1, XP_019091169.1, XP_019095788.1, XP_010501907.1, XP_019087541.1, XP_019091550.1, XP_019099635.1, XP_019086243.1, XP_019095567.1, XP_010495603.1, XP_019101952.1, XP_010436697.1, XP_019097457.1, XP_010474285.1, XP_010436886.1, XP_010474078.1, XP_019092366.1, XP_019086241.1
OG0000081	CARHR117010	XP_010440978.1
OG0000081	CARHR264280	XP_019082651.1, XP_019085368.1, XP_019086362.1, XP_010424661.1, XP_019091072.1, XP_019084275.1, XP_019096344.1, XP_019096335.1, XP_019082519.1, XP_019098295.1, XP_019099672.1, XP_019082727.1
OG0000082	CARHR184640	XP_010510051.1, XP_010441532.1
OG0000086	CARHR214810	XP_010450967.1, XP_010440900.1
OG0000086	CARHR276580	XP_010444133.1, XP_010485290.1, XP_019095679.1, XP_019086987.1, XP_010459144.1
OG0000086	CARHR272990	XP_010436165.1, XP_019086484.1
OG0000086	CARHR214830	XP_010451724.1, XP_010445575.1, XP_010454972.1, XP_010456725.1, XP_010493885.1, XP_010424345.1, XP_010454973.2
OG0000086	CARHR214840	XP_010445578.1
OG0000086	CARHR214790, CARHR214760	XP_010445581.1, XP_010451914.1
OG0000086	CARHR058600	XP_010513640.1, XP_010470534.1, XP_019100921.1
OG0000086	CARHR058660, CARHR058640	XP_019093672.1
OG0000086	CARHR058680	XP_019095324.1
OG0000089	CARHR189700	XP_010421190.1, XP_010454670.1
OG0000089	CARHR155480	XP_010503303.1
OG0000089	CARHR122890	XP_010469941.1, XP_010414372.1, XP_010510475.1
OG0000089	CARHR200860	XP_010419814.1, XP_010491982.1, XP_010453291.1
OG0000089	CARHR178800	XP_010494444.1
OG0000089	CARHR227450	XP_010434259.1, XP_010439552.1, XP_010449142.1
OG0000089	CARHR128920	XP_010516638.1, XP_010504960.1, XP_010509706.1
OG0000089	CARHR020480	XP_010459680.1, XP_010498429.1, XP_010477226.1
OG0000089	CARHR069200	XP_010416482.1, XP_010471708.1
OG0000091	CARHR156270	XP_019085518.1
OG0000091	CARHR155710, CARHR155700	XP_010515061.1
OG0000091	CARHR156220	XP_010503358.1
OG0000091	CARHR156240	XP_010515035.1
OG0000091	CARHR155720	XP_019082456.1
OG0000091	CARHR192340, CARHR192330	XP_010454350.1, XP_010493153.1, XP_010493149.1, XP_010420883.1
OG0000091	CARHR262970	XP_010441974.1, XP_010482344.1
OG0000092	CARHR216170	XP_019086317.1
OG0000092	CARHR180960, CARHR036310	XP_019089257.1, XP_010431167.1
OG0000092	CARHR225740	XP_019097706.1
OG0000092	CARHR292670, CARHR261170, CARHR286110	XP_010463305.1
OG0000092	CARHR150900	XP_019087365.1
OG0000092	CARHR257050	XP_019087433.1
OG0000092	CARHR216160	XP_019101840.1
OG0000092	CARHR225750	XP_010431369.1, XP_019092338.1
OG0000092	CARHR035160	XP_019085803.1
OG0000092	CARHR286120	XP_019097489.1, XP_010495672.1
OG0000092	CARHR152920, CARHR180590, CARHR261190	XP_019089181.1, XP_019094589.1, XP_010468080.1
OG0000092	CARHR293270	XP_019093410.1
OG0000095	CARHR116960, CARHR117230, CARHR116990	XP_010472489.1
OG0000095	CARHR116870	XP_010417235.1, XP_019092450.1, XP_010431604.1, XP_010429470.1, XP_019093874.1
OG0000095	CARHR117860	XP_010417173.1, XP_019098401.1, XP_010429391.1, XP_010429395.1, XP_010429390.1, XP_010431591.1
OG0000096	CARHR266870	XP_019100837.1, XP_010513303.1
OG0000096	CARHR084920	XP_019092478.1
OG0000096	CARHR248580	XP_019093414.1, XP_010431687.1
OG0000096	CARHR093690	XP_010465923.1, XP_019092874.1, XP_019082383.1, XP_010467954.2, XP_019096848.1, XP_010468288.1, XP_010419966.1, XP_010489939.1
OG0000096	CARHR159080	XP_019099139.1
OG0000098	CARHR103960	XP_010499627.1, XP_010499629.1, XP_010501676.1, XP_010478514.2, XP_010480772.1, XP_010497135.2
OG0000098	CARHR046250	XP_010431735.1
OG0000098	CARHR174970	XP_010460514.1, XP_010478092.1, XP_019091057.1, XP_010499238.1
OG0000098	CARHR253270	XP_010499626.1, XP_010499628.1
OG0000100	CARHR047460, CARHR047540	XP_019082762.1
OG0000100	CARHR055030	XP_010511292.1, XP_010480259.1
OG0000100	CARHR047580, CARHR047440, CARHR261260, CARHR047450	XP_010430481.1
OG0000100	CARHR048000, CARHR048030, CARHR048060, CARHR048070, CARHR048510	XP_010418223.1
OG0000100	CARHR047100	XP_010430284.1
OG0000100	CARHR047140	XP_010473633.2
OG0000101	CARHR154270	XP_010435359.1
OG0000101	CARHR287350	XP_010513534.1
OG0000101	CARHR183060	XP_010513568.1, XP_010484883.1, XP_019092299.1, XP_019096514.1
OG0000101	CARHR099970, CARHR036950	XP_019087592.1, XP_010496858.1, XP_010425229.1
OG0000102	CARHR252050	XP_010451732.1
OG0000102	CARHR252060	XP_010431256.1, XP_010422442.1
OG0000102	CARHR252130	XP_019084229.1, XP_019090199.1, XP_019090267.1
OG0000105	CARHR181190, CARHR228760	XP_019089588.1
OG0000105	CARHR175310, CARHR289490	XP_019090875.1
OG0000105	CARHR222460	XP_010434743.1
OG0000105	CARHR288500	XP_010441345.1
OG0000105	CARHR215710	XP_010414997.1
OG0000105	CARHR153990	XP_010484861.1
OG0000106	CARHR055550	XP_019083108.1, XP_010450226.1, XP_010426617.1, XP_019087671.1, XP_019086014.1, XP_010514363.1, XP_010499810.1
OG0000107	CARHR119260, CARHR119250	XP_019093535.1, XP_010417843.1, XP_010473089.1
OG0000107	CARHR095660	XP_010508531.1, XP_010466194.1
OG0000107	CARHR095650	XP_010468313.1, XP_019096413.1, XP_010487979.1, XP_010508519.1, XP_010466192.1
OG0000107	CARHR095640	XP_010487974.1, XP_010466183.1, XP_010508469.1
OG0000107	CARHR095620, CARHR055760	XP_010468312.1
OG0000107	CARHR096820, CARHR096830	XP_010466304.1
OG0000107	CARHR095690, CARHR095670	XP_010422712.1, XP_010456149.1
OG0000108	CARHR285740	XP_010514974.1, XP_010503262.1, XP_010483556.1, XP_010426084.1, XP_010483559.1, XP_010483560.1
OG0000108	CARHR155270	XP_010454923.1
OG0000108	CARHR086670	XP_010464961.1, XP_010498525.1, XP_010486900.1
OG0000108	CARHR203590	XP_010422938.1, XP_010491624.1, XP_010452982.1
OG0000108	CARHR094190	NP_001289901.1, XP_010507140.1, NP_001289904.1
OG0000110	CARHR151660	XP_019089268.1, XP_010484962.1, XP_019093274.1, XP_019098180.1, XP_019098181.1, XP_010424382.1, XP_010490057.1, XP_019084293.1, XP_019096534.1, XP_019094551.1, XP_010430690.1, XP_010451255.1, XP_010436550.1, XP_019085480.1, XP_019086281.1, XP_010431092.1, XP_019084311.1, XP_010463167.1
