Orthogroup	Cardamine_hirsuta	Conringia_planisiliqua
OG0000026	CARHR104160	CP12_g31706_DN3_SP0_c.t1, CP27_g41746_DN2_SP0_c.t1, CP15_g35764_DN3_SP0_c.t1, CP14_g23308_DN2_SP0_c.t1, CP13_g20783_DN2_SP0_c.t1, CP6_g7635_DN2_SP0_c.t1, CP21_g11026_DN3_SP0_c.t1, CP18_g12028_DN2_SP0_c.t1, CP2_g50380_DN1_SP0_c.t1, CP2_g49544_DN1_SP0_c.t1, CP13_g20787_DN2_SP0_c.t1, CP6_g9659_DN1_SP0_c.t1, CP1_g41239_DN2_SP0_c.t1, CP47_g21234_DN3_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP2_g50449_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1, CP18_g12000_DN1_SP0_c.t1, CP2_g50743_DN2_SP0_c.t1, CP17_g5983_DN2_SP0_c.t1, CP6_g8924_DN2_SP0_c.t1, CP23_g21572_DN1_SP0_c.t1, CP17_g5297_DN2_SP0_c.t1, CP6_g7636_DN2_SP0_c.t1, CP14_g23306_DN1_SP0_c.t1, CP14_g23437_DN2_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1, CP17_g5495_DN1_SP0_c.t1, CP9_g28010_DN1_SP0_c.t1, CP31_g46691_DN1_SP0_c.t1, CP1_g39140_DN2_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP23_g21573_DN1_SP0_c.t1, CP12_g31427_DN1_SP0_c.t1, CP24_g46950_DN2_SP0_c.t1, CP21_g11164_DN3_SP0_c.t1, CP53_g22291_DN3_SP0_c.t1, CP17_g5113_DN3_SP0_c.t1, CP13_g20400_DN2_SP0_c.t1, CP9_g27941_DN3_SP0_c.t1, CP12_g31563_DN2_SP0_c.t1, CP14_g23216_DN3_SP0_c.t1, CP4_g26168_DN3_SP0_c.t1, CP5_g3241_DN1_SP0_c.t1, CP61_g51970_DN1_SP0_c.t1, CP102_g10411_DN1_SP0_c.t1, CP6_g8923_DN1_SP0_c.t1, CP44_g20924_DN3_SP0_c.t1, CP5_g3239_DN2_SP0_c.t1, CP14_g23884_DN3_SP0_c.t1, CP1_g41098_DN3_SP0_c.t1, CP16_g55626_DN3_SP0_c.t1, CP6_g9300_DN3_SP0_c.t1, CP14_g22692_DN3_SP0_c.t1, CP1_g39991_DN2_SP0_c.t1, CP4_g26709_DN3_SP0_c.t1, CP9_g27630_DN3_SP0_c.t1, CP6_g8603_DN3_SP0_c.t1, CP6_g8921_DN2_SP0_c.t1, CP7_g44321_DN2_SP0_c.t1, CP53_g22321_DN1_SP0_c.t1, CP8_g53077_DN2_SP0_c.t1, CP24_g46949_DN1_SP0_c.t1, CP1_g41096_DN1_SP0_c.t1, CP34_g51562_DN2_SP0_c.t1, CP25_g55865_DN2_SP0_c.t1, CP15_g35112_DN3_SP0_c.t1, CP17_g5412_DN3_SP0_c.t1, CP2_g50379_DN3_SP0_c.t1, CP1_g40174_DN3_SP0_c.t1, CP44_g20923_DN3_SP0_c.t1, CP6_g8922_DN3_SP0_c.t1, CP25_g55864_DN3_SP0_c.t1, CP20_g3852_DN2_SP0_c.t1, CP23_g21578_DN3_SP0_c.t1, CP9_g27450_DN3_SP0_c.t1, CP18_g12027_DN1_SP0_c.t1, CP17_g5411_DN1_SP0_c.t1, CP13_g20495_DN3_SP0_c.t1, CP2_g50758_DN3_SP0_c.t1, CP3_g16523_DN3_SP0_c.t1, CP6_g9660_DN3_SP0_c.t1, CP98_g41598_DN3_SP0_c.t1, CP53_g22290_DN3_SP0_c.t1, CP102_g10410_DN2_SP0_c.t1, CP34_g51560_DN3_SP0_c.t1, CP103_g21016_DN3_SP0_c.t1, CP65_g4494_DN3_SP0_c.t1, CP1_g41248_DN3_SP0_c.t1, CP2_g50744_DN3_SP0_c.t1, CP14_g23307_DN2_SP0_c.t1, CP18_g12001_DN3_SP0_c.t1, CP9_g27467_DN3_SP0_c.t1, CP63_g12744_DN3_SP0_c.t1, CP14_g23665_DN3_SP0_c.t1, CP14_g23438_DN3_SP0_c.t1, CP148_g19022_DN3_SP0_c.t1, CP53_g22323_DN3_SP0_c.t1, CP12_g31519_DN3_SP0_c.t1, CP1_g38906_DN2_SP0_c.t1, CP2_g50457_DN1_SP0_c.t1, CP4_g26253_DN3_SP0_c.t1, CP17_g5296_DN3_SP0_c.t1, CP17_g5855_DN3_SP0_c.t1, CP6_g7634_DN2_SP0_c.t1, CP1_g40151_DN3_SP0_c.t1, CP28_g33946_DN3_SP0_c.t1, CP17_g5982_DN2_SP0_c.t1, CP4_g26449_DN3_SP0_c.t1, CP3_g15302_DN3_SP0_c.t1, CP31_g46692_DN3_SP0_c.t1, CP2_g49628_DN3_SP0_c.t1, CP8_g52461_DN3_SP0_c.t1, CP14_g23460_DN3_SP0_c.t1, CP7_g44312_DN3_SP0_c.t1, CP1_g38420_DN3_SP0_c.t1, CP6_g7776_DN3_SP0_c.t1, CP56_g20968_DN3_SP0_c.t1, CP12_g31174_DN3_SP0_c.t1, CP12_g31078_DN3_SP0_c.t1, CP15_g36069_DN3_SP0_c.t1, CP9_g28011_DN3_SP0_c.t1, CP31_g46752_DN3_SP0_c.t1, CP22_g17081_DN3_SP0_c.t1, CP17_g5494_DN3_SP0_c.t1, CP17_g5594_DN3_SP0_c.t1, CP1_g38838_DN2_SP0_c.t1, CP25_g55851_DN3_SP0_c.t1, CP7_g44313_DN1_SP0_c.t1, CP3_g16125_DN3_SP0_c.t1, CP5_g2173_DN3_SP0_c.t1, CP3_g16522_DN1_SP0_c.t1, CP29_g22006_DN3_SP0_c.t1, CP2_g50448_DN3_SP0_c.t1, CP30_g10046_DN3_SP0_c.t1, CP20_g3927_DN3_SP0_c.t1, CP6_g9299_DN2_SP0_c.t1, CP5_g2196_DN3_SP0_c.t1, CP6_g8835_DN3_SP0_c.t1, CP6_g9051_DN3_SP0_c.t1, CP17_g5114_DN3_SP0_c.t1, CP1_g39992_DN3_SP0_c.t1, CP2_g49594_DN3_SP0_c.t1, CP3_g16557_DN3_SP0_c.t1, CP5_g2207_DN3_SP0_c.t1, CP1_g38784_DN3_SP0_c.t1, CP2_g50600_DN3_SP0_c.t1, CP5_g2182_DN3_SP0_c.t1, CP12_g31226_DN3_SP0_c.t1, CP12_g31426_DN3_SP0_c.t1, CP13_g20684_DN3_SP0_c.t1, CP25_g55795_DN3_SP0_c.t1, CP17_g6260_DN3_SP0_c.t1, CP28_g34000_DN3_SP0_c.t1, CP1_g40282_DN3_SP0_c.t1, CP13_g20399_DN2_SP0_c.t1, CP12_g31564_DN1_SP0_c.t1, CP34_g51561_DN2_SP0_c.t1, CP9_g27944_DN3_SP0_c.t1, CP9_g27991_DN3_SP0_c.t1, CP13_g20694_DN3_SP0_c.t1, CP1_g41097_DN3_SP0_c.t1, CP53_g22289_DN2_SP0_c.t1, CP53_g22322_DN1_SP0_c.t1, CP65_g4495_DN2_SP0_c.t1, CP2_g50506_DN3_SP0_c.t1, CP47_g21235_DN3_SP0_c.t1, CP1_g41348_DN1_SP0_c.t1, CP3_g15052_DN3_SP0_c.t1, CP14_g22693_DN3_SP0_c.t1, CP6_g8602_DN3_SP0_c.t1, CP18_g12002_DN1_SP0_c.t1, CP12_g31565_DN1_SP0_c.t1, CP4_g26167_DN1_SP0_c.t1, CP1_g38907_DN1_SP0_c.t1, CP14_g23450_DN2_SP0_c.t1, CP9_g27992_DN1_SP0_c.t1, CP15_g35167_DN2_SP0_c.t1, CP8_g52460_DN2_SP0_c.t1, CP9_g27945_DN1_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40152_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1, CP17_g5856_DN1_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1
OG0000027	CARHR230410	CP16_g55470_DN3_SP0_c.t1
OG0000028	CARHR028780, CARHR203520	CP10_g43844_DN3_SP0_c.t1
OG0000029	CARHR056480, CARHR153130	CP4_g26313_DN1_SP0_c.t1, CP6_g8507_DN1_SP0_c.t1, CP15_g35521_DN1_SP0_c.t1, CP3_g15880_DN1_SP0_c.t1
OG0000029	CARHR116610, CARHR153140	CP15_g35523_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1
OG0000030	CARHR025790, CARHR162370, CARHR260760, CARHR260790	CP11_g31940_DN3_SP0_c.t1
OG0000030	CARHR158520, CARHR158510, CARHR158530	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1
OG0000030	CARHR223790	CP13_g19590_DN2_SP0_c.t1
OG0000032	CARHR158150, CARHR057520, CARHR108030, CARHR217640	CP3_g16163_DN2_SP0_c.t1, CP56_g20987_DN1_SP0_c.t1, CP25_g55997_DN1_SP0_c.t1, CP9_g27772_DN1_SP0_c.t1, CP27_g41695_DN1_SP0_c.t1, CP44_g20906_DN3_SP0_c.t1, CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1, CP14_g23530_DN1_SP0_c.t1
OG0000032	CARHR284240	CP64_g21089_DN1_SP0_c.t1, CP5_g3357_DN2_SP0_c.t1, CP18_g12571_DN2_SP0_c.t1, CP14_g23529_DN3_SP0_c.t1
OG0000032	CARHR159350	CP18_g12572_DN2_SP0_c.t1
OG0000032	CARHR287680, CARHR287700	CP15_g35839_DN1_SP0_c.t1
OG0000032	CARHR266450	CP5_g2289_DN2_SP0_c.t1
OG0000035	CARHR034500, CARHR120350, CARHR104490	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1
OG0000035	CARHR216710	CP1_g40960_DN1_SP0_c.t1
OG0000038	CARHR187570	CP6_g7770_DN1_SP0_c.t1, CP28_g33935_DN3_SP0_c.t1
OG0000038	CARHR259820	CP15_g35533_DN1_SP0_c.t1
OG0000039	CARHR184170, CARHR117850	CP24_g47137_DN2_SP0_c.t1
OG0000042	CARHR116060	CP26_g51211_DN3_SP0_c.t1
OG0000043	CARHR220690	CP15_g35837_DN2_SP0_c.t1
OG0000043	CARHR118730	CP1_g41084_DN2_SP0_c.t1
OG0000043	CARHR216370	CP5_g1995_DN2_SP0_c.t1, CP14_g22990_DN1_SP0_c.t1
OG0000044	CARHR116340	CP13_g19860_DN2_SP0_c.t1
OG0000044	CARHR223510	CP13_g20691_DN1_SP0_c.t1
OG0000044	CARHR102310	CP16_g55519_DN1_SP0_c.t1
OG0000046	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330	CP15_g34716_DN3_SP0_c.t1
OG0000046	CARHR273180, CARHR286710, CARHR217190	CP8_g52809_DN3_SP0_c.t1
OG0000048	CARHR261660	CP3_g14428_DN3_SP0_c.t1
OG0000048	CARHR042940	CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1
OG0000048	CARHR125110	CP4_g25641_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP13_g20135_DN3_SP0_c.t1
OG0000048	CARHR126110	CP9_g29505_DN2_SP0_c.t1
OG0000049	CARHR220930	CP3_g16790_DN1_SP0_c.t1, CP1_g41262_DN3_SP0_c.t1
OG0000050	CARHR154060	CP5_g3336_DN1_SP0_c.t1
OG0000050	CARHR071180, CARHR153550	CP5_g3335_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP21_g11182_DN2_SP0_c.t1
OG0000051	CARHR109310	CP2_g49248_DN2_SP0_c.t1
OG0000051	CARHR137550	CP9_g28198_DN3_SP0_c.t1
OG0000051	CARHR137540	CP4_g24479_DN3_SP0_c.t1
OG0000052	CARHR148030, CARHR148020, CARHR148060, CARHR065210, CARHR065340, CARHR278910, CARHR148040, CARHR150860	CP13_g19766_DN3_SP0_c.t1
OG0000052	CARHR162490, CARHR162550	CP3_g14092_DN3_SP0_c.t1
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	CP12_g30730_DN2_SP0_c.t1
OG0000055	CARHR098050, CARHR100840, CARHR222490, CARHR100820	CP10_g42649_DN3_SP0_c.t1
OG0000055	CARHR149840	CP10_g42516_DN3_SP0_c.t1
OG0000055	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370	CP10_g43729_DN2_SP0_c.t1
OG0000056	CARHR050280, CARHR049980, CARHR050290, CARHR050160	CP2_g49067_DN3_SP0_c.t1
OG0000056	CARHR155600	CP2_g49031_DN3_SP0_c.t1
OG0000059	CARHR104020	CP12_g31611_DN2_SP0_c.t1
OG0000059	CARHR286550	CP1_g38971_DN3_SP0_c.t1, CP20_g3949_DN2_SP0_c.t1
OG0000060	CARHR007630	CP1_g37049_DN3_SP0_c.t1
OG0000060	CARHR121870	CP1_g37064_DN3_SP0_c.t1
OG0000064	CARHR050760, CARHR273290, CARHR054420, CARHR289730, CARHR289690	CP18_g12051_DN1_SP0_c.t1
OG0000065	CARHR257300, CARHR257310, CARHR263400, CARHR263410	CP5_g1580_DN2_SP0_c.t1
OG0000066	CARHR202910, CARHR279310	CP4_g25642_DN3_SP0_c.t1
OG0000066	CARHR279320, CARHR202900, CARHR009160	CP2_g49425_DN3_SP0_c.t1
OG0000068	CARHR210960	CP12_g31237_DN3_SP0_c.t1
OG0000069	CARHR264460	CP2_g48010_DN3_SP0_c.t1
OG0000070	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	CP17_g5790_DN3_SP0_c.t1
OG0000070	CARHR020650	CP7_g45746_DN3_SP0_c.t1
OG0000073	CARHR119500	CP8_g52621_DN2_SP0_c.t1
OG0000075	CARHR247180	CP8_g52237_DN3_SP0_c.t1
OG0000076	CARHR247830	CP5_g77_DN1_SP0_c.t1
OG0000076	CARHR127180	CP4_g25364_DN3_SP0_c.t1
OG0000076	CARHR260300	CP5_g2147_DN1_SP0_c.t1, CP4_g25752_DN2_SP0_c.t1
OG0000077	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080	CP13_g20036_DN3_SP0_c.t1, CP13_g20034_DN3_SP0_c.t1
OG0000077	CARHR145650, CARHR145640	CP13_g19516_DN3_SP0_c.t1
OG0000078	CARHR077930	CP10_g42378_DN2_SP0_c.t1
OG0000078	CARHR077940	CP10_g42381_DN3_SP0_c.t1
OG0000081	CARHR264280	CP1_g40914_DN2_SP0_c.t1
OG0000082	CARHR184640	CP5_g1772_DN1_SP0_c.t1, CP8_g52192_DN2_SP0_c.t1, CP16_g55573_DN1_SP0_c.t1, CP20_g3822_DN2_SP0_c.t1
OG0000086	CARHR214860	CP271_g11211_DN3_SP0_c.t1, CP45_g22371_DN3_SP0_c.t1, CP20_g3814_DN1_SP0_c.t1, CP45_g22369_DN3_SP0_c.t1, CP5_g1838_DN3_SP0_c.t1
OG0000086	CARHR214870	CP29_g21947_DN3_SP0_c.t1
OG0000086	CARHR058690, CARHR058660, CARHR058640, CARHR058680	CP9_g28199_DN3_SP0_c.t1
OG0000089	CARHR189700	CP2_g48308_DN3_SP8_c.t1
OG0000089	CARHR155480	CP3_g14713_DN3_SP4_c.t1
OG0000089	CARHR122890	CP4_g25793_DN3_SP8_c.t1
OG0000089	CARHR200860	CP11_g32707_DN3_SP8_c.t1
OG0000089	CARHR178800	CP13_g20168_DN3_SP8_c.t1
OG0000089	CARHR227450	CP6_g6768_DN3_SP8_c.t1
OG0000089	CARHR128920	CP4_g25265_DN3_SP6_c.t1
OG0000089	CARHR069200	CP9_g29223_DN3_SP8_c.t1
OG0000090	CARHR259920	CP6_g8583_DN3_SP0_c.t1
OG0000091	CARHR156220	CP8_g52786_DN3_SP0_c.t1
OG0000095	CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940	CP16_g55090_DN3_SP0_c.t1, CP16_g55089_DN3_SP0_c.t1
OG0000095	CARHR117220	CP16_g55163_DN2_SP0_c.t1
OG0000096	CARHR084920	CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1, CP12_g30930_DN3_SP0_c.t1
OG0000098	CARHR253270	CP2_g48438_DN1_SP0_c.t1
OG0000100	CARHR050870	CP2_g48895_DN3_SP0_c.t1
OG0000100	CARHR047470, CARHR047430, CARHR047580, CARHR047440, CARHR261260, CARHR047450, CARHR047060	CP2_g48891_DN3_SP0_c.t1
OG0000100	CARHR047090, CARHR047300, CARHR047120	CP2_g48894_DN3_SP0_c.t1
OG0000101	CARHR154270, CARHR176810, CARHR287350, CARHR006250, CARHR183060, CARHR099970, CARHR036950	CP22_g17341_DN3_SP0_c.t1
OG0000105	CARHR077960, CARHR181190, CARHR228760, CARHR106060, CARHR104310	CP12_g31635_DN1_SP0_c.t1
OG0000105	CARHR175310, CARHR289490	CP20_g4043_DN3_SP0_c.t1
OG0000105	CARHR047550	CP20_g4448_DN2_SP0_c.t1
OG0000107	CARHR119260, CARHR119250	CP7_g44362_DN3_SP0_c.t1, CP7_g44349_DN3_SP0_c.t1
OG0000111	CARHR155540, CARHR161910, CARHR161710, CARHR161740, CARHR161700, CARHR161720	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1
OG0000111	CARHR148290	CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1
OG0000114	CARHR283860	CP3_g15173_DN3_SP0_c.t1
OG0000114	CARHR283870, CARHR035130	CP7_g44106_DN2_SP0_c.t1, CP3_g15174_DN1_SP0_c.t1
OG0000114	CARHR286300, CARHR148220	CP2_g49797_DN1_SP0_c.t1
OG0000115	CARHR155450	CP25_g55879_DN1_SP0_c.t1, CP29_g22137_DN2_SP0_c.t1
OG0000116	CARHR217650	CP25_g55998_DN3_SP0_c.t1
OG0000116	CARHR101930	CP20_g3900_DN1_SP0_c.t1, CP2_g49406_DN2_SP0_c.t1
OG0000117	CARHR023940	CP7_g45428_DN3_SP0_c.t1
OG0000117	CARHR023950	CP7_g45431_DN3_SP0_c.t1
OG0000117	CARHR024100	CP7_g45419_DN3_SP0_c.t1
OG0000121	CARHR054680, CARHR054690, CARHR181920	CP12_g31136_DN1_SP0_c.t1
OG0000121	CARHR054110, CARHR100990	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1
OG0000122	CARHR269740	CP8_g53628_DN3_SP0_c.t1
OG0000122	CARHR269760	CP8_g53619_DN3_SP0_c.t1
OG0000122	CARHR269930	CP8_g53627_DN3_SP0_c.t1
OG0000124	CARHR259840	CP92_g51792_DN1_SP0_c.t1
OG0000125	CARHR122140	CP4_g25846_DN3_SP0_c.t1
OG0000126	CARHR103200	CP4_g26270_DN2_SP0_c.t1
OG0000126	CARHR293480	CP4_g26271_DN2_SP0_c.t1
OG0000127	CARHR190650	CP8_g54114_DN3_SP0_c.t1
OG0000127	CARHR163570	CP3_g13990_DN2_SP0_c.t1
OG0000127	CARHR273520	CP8_g54018_DN3_SP0_c.t1
OG0000127	CARHR154340, CARHR154390	CP3_g14833_DN3_SP0_c.t1
OG0000127	CARHR121850	CP4_g25869_DN3_SP0_c.t1
OG0000128	CARHR169600	CP3_g13458_DN3_SP0_c.t1
OG0000129	CARHR038520, CARHR038560	CP10_g42426_DN3_SP0_c.t1
OG0000129	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730	CP2_g48114_DN3_SP0_c.t1
OG0000130	CARHR158410, CARHR153220, CARHR117340, CARHR057000, CARHR036720	CP24_g47153_DN1_SP0_c.t1
OG0000130	CARHR287060, CARHR146840	CP6_g8046_DN2_SP0_c.t1
OG0000130	CARHR038370, CARHR217450	CP13_g20268_DN3_SP0_c.t1, CP2_g50524_DN2_SP0_c.t1, CP22_g17175_DN1_SP0_c.t1, CP8_g54204_DN2_SP0_c.t1
OG0000130	CARHR056860	CP1_g39867_DN1_SP0_c.t1
