Orthogroup	Cardamine_hirsuta	Noccaea_praecox
OG0000028	CARHR242050, CARHR244240	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700
OG0000028	CARHR028780, CARHR203520	Np003G1832500
OG0000028	CARHR281120	Np007G3822800, Np007G3818000, Np007G3823400
OG0000028	CARHR267840, CARHR267700	Np003G1604900
OG0000029	CARHR056480, CARHR153130	Np003G1680700, Np003G1751100
OG0000030	CARHR223790, CARHR088850	Np004G2249500, Np004G2249800
OG0000032	CARHR158150, CARHR057520, CARHR108030, CARHR217640	Np004G2267500
OG0000032	CARHR289940	Np008G4283700
OG0000032	CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550	Np002G1024100
OG0000032	CARHR108040, CARHR035020, CARHR158140	Np004G2267600
OG0000034	CARHR230270, CARHR230290	Np005G2840700, Np005G2840600
OG0000034	CARHR055320, CARHR230240	Np005G2839700, Np005G2840900
OG0000034	CARHR230230, CARHR230200	Np005G2841700
OG0000035	CARHR034500, CARHR120350, CARHR104490	Np004G2088100, Np005G3165600
OG0000035	CARHR216710	Np005G2830800, Np002G1134400, Np004G2299800
OG0000038	CARHR187570, CARHR259820	Np007G3978400
OG0000039	CARHR184170	Np003G1689500
OG0000042	CARHR116060	Np004G2161100, Np002G0961400
OG0000042	CARHR181500	Np006G3478400
OG0000043	CARHR216370	Np002G1248100
OG0000046	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330, CARHR116100, CARHR183570, CARHR057390, CARHR107370, CARHR152970	Np004G2388700, Np001G0160700
OG0000046	CARHR159290, CARHR150320, CARHR273180, CARHR286710, CARHR217190, CARHR117470	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400
OG0000047	CARHR257880	Np002G1005500
OG0000048	CARHR207670	Np006G3644800, Np002G0926400
OG0000049	CARHR220930	Np002G1103100
OG0000050	CARHR154060	Np005G2948800, Np006G3520600, Np001G0383900
OG0000050	CARHR071180, CARHR153550	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300, Np001G0374100, Np006G3597400
OG0000051	CARHR002800	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300
OG0000051	CARHR109310	Np002G1168200
OG0000051	CARHR127280	Np006G3285800, Np006G3285900, Np006G3286000
OG0000051	CARHR137540	Np003G1730300
OG0000051	CARHR260850	Np006G3284800, Np006G3284200, Np006G3284000
OG0000052	CARHR148060	Np001G0218600
OG0000052	CARHR148050, CARHR278920, CARHR148010, CARHR065350	Np007G4239500
OG0000054	CARHR153240	Np005G2924500
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	Np006G3336100, Np006G3338700, Np003G1875300
OG0000055	CARHR092560, CARHR092720, CARHR094260, CARHR107830, CARHR149830, CARHR108270	Np007G3923100, Np007G3922500
OG0000055	CARHR149840	Np007G4191600, Np007G4191200, Np005G2851900
OG0000055	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370	Np007G3753300
OG0000056	CARHR050310	Np002G1194100, Np002G0830700
OG0000056	CARHR050280, CARHR049980, CARHR050290, CARHR050160	Np002G1191800, Np002G1192300, Np002G1195300
OG0000056	CARHR155600	Np005G3136000, Np001G0467300
OG0000059	CARHR044830	Np001G0402100, Np005G3113000, Np006G3274400
OG0000059	CARHR286550, CARHR102470, CARHR152130	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500
OG0000060	CARHR273610	Np003G1523200
OG0000061	CARHR039590	Np003G1795500
OG0000061	CARHR215660	Np006G3342300
OG0000061	CARHR123140	Np004G2405700, Np006G3280900
OG0000061	CARHR123070	Np005G3181500, Np005G3181600, Np002G1245500
OG0000061	CARHR151510, CARHR219570	Np002G1245100, Np002G1245200
OG0000065	CARHR059200	Np002G0937300
OG0000065	CARHR263400, CARHR263410	Np005G3146600
OG0000066	CARHR279320, CARHR202900	Np004G2500100, Np003G1367200
OG0000066	CARHR202310	Np007G3771600
OG0000066	CARHR246640	Np002G0777800
OG0000068	CARHR210960	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600
OG0000068	CARHR064230	Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800
OG0000069	CARHR264460	Np006G3679100, Np006G3678800, Np004G1971900
OG0000070	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	Np007G3899300, Np001G0248800
OG0000070	CARHR020650	Np004G2353400
OG0000070	CARHR069500	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400
OG0000072	CARHR049910, CARHR219260, CARHR119870, CARHR260200	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700
OG0000075	CARHR247180	Np005G2617200, Np006G3607400, Np003G1743500, Np003G1743600, Np003G1743200
OG0000075	CARHR247150, CARHR221070, CARHR247140	Np005G2617300
OG0000075	CARHR164670, CARHR164660, CARHR174400	Np004G2247300
OG0000076	CARHR247830	Np005G2608900
OG0000076	CARHR260300	Np001G0369900
OG0000077	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080	Np001G0381300
OG0000077	CARHR112200	Np001G0348700
OG0000077	CARHR054510	Np002G1125900
OG0000077	CARHR288740, CARHR145630	Np001G0247700
OG0000078	CARHR077940	Np007G4214700
OG0000079	CARHR151670, CARHR119610	Np004G2152100, Np004G2296400
OG0000079	CARHR256350	Np004G2253600
OG0000081	CARHR217030	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300
OG0000081	CARHR264280	Np005G2602400
OG0000086	CARHR214810	Np005G3126500
OG0000086	CARHR272990	Np002G0950000
OG0000086	CARHR214860	Np005G3022400
OG0000086	CARHR214830	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000
OG0000086	CARHR214790, CARHR214760	Np005G3127100
OG0000089	CARHR189700	Np001G0109800
OG0000089	CARHR155480	Np001G0070200
OG0000089	CARHR122890	Np006G3501600, Np008G4281600
OG0000089	CARHR200860	Np003G1391100
OG0000089	CARHR178800	Np001G0399300
OG0000089	CARHR227450	Np005G2871200
OG0000089	CARHR069200	Np002G0774400
OG0000090	CARHR116840	Np004G2304300
OG0000091	CARHR192340, CARHR192330	Np003G1487100
OG0000091	CARHR262970	Np001G0528700
OG0000095	CARHR117030, CARHR118620	Np006G3650500, Np006G3650700
OG0000095	CARHR117020	Np006G3649600
OG0000095	CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940	Np006G3660300
OG0000095	CARHR117880, CARHR117220	Np006G3650300
OG0000095	CARHR117860	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600
OG0000096	CARHR094810, CARHR094850, CARHR094860, CARHR094840	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300
OG0000096	CARHR101790	Np007G3726500
OG0000098	CARHR103960	Np005G3053200, Np001G0115600
OG0000098	CARHR046250	Np004G2594800
OG0000098	CARHR174970	Np001G0116500, Np001G0115500
OG0000098	CARHR253270	Np002G0990300, Np002G0990900, Np002G0990400
OG0000100	CARHR047460, CARHR047540	Np002G1237300
OG0000100	CARHR047470, CARHR047430, CARHR047580, CARHR047440, CARHR261260, CARHR047450, CARHR047060	Np002G1231900
OG0000100	CARHR047090, CARHR047300, CARHR047120	Np002G1113500
OG0000101	CARHR154270	Np002G0868700
OG0000101	CARHR287350	Np001G0306500
OG0000101	CARHR006250	Np004G2254300, Np001G0349600
OG0000101	CARHR183060	Np001G0589500, Np003G1682200, Np003G1683300
OG0000102	CARHR252070	Np003G1850400
OG0000102	CARHR252110, CARHR252090, CARHR252060	Np003G1850200
OG0000105	CARHR151550	Np005G3160900
OG0000105	CARHR175830, CARHR174830, CARHR175790	Np002G0893000
OG0000105	CARHR175310, CARHR289490, CARHR175270	Np002G0893200
OG0000105	CARHR047220	Np002G1232000
OG0000105	CARHR047590, CARHR048050, CARHR288100, CARHR047560, CARHR047570	Np002G1229900
OG0000106	CARHR082570	Np001G0132900
OG0000106	CARHR183910	Np005G2719900
OG0000106	CARHR055550	Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100, Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600
OG0000107	CARHR119260, CARHR119250	Np007G3984500
OG0000107	CARHR095650, CARHR095640, CARHR095620, CARHR055760	Np007G3984300
OG0000108	CARHR131960	Np006G3369500
OG0000108	CARHR285740	Np001G0462100
OG0000108	CARHR086670	Np007G4093400
OG0000108	CARHR203590	Np003G1360400
OG0000108	CARHR094190	Np007G3950400
OG0000111	CARHR148290	Np005G3154700, Np005G3138900, Np001G0444800
OG0000114	CARHR258830, CARHR283860	Np002G1018000
OG0000116	CARHR217650	Np003G1460300, Np005G3103800
OG0000116	CARHR101930	Np001G0237100
OG0000117	CARHR024100	Np004G2300300
OG0000118	CARHR133040, CARHR180020	Np007G4221800, Np007G4221900
OG0000119	CARHR118700, CARHR273840	Np003G1836400
OG0000119	CARHR150140, CARHR143200, CARHR207890	Np001G0493200
OG0000121	CARHR114800	Np005G2954700, Np011G4358600, Np004G2590300, Np002G0965100, Np006G3634700
OG0000121	CARHR054680, CARHR054690, CARHR181920	Np002G0833400
OG0000121	CARHR054110, CARHR100990	Np004G2331000, Np003G1581500
OG0000122	CARHR269740	Np001G0563200
OG0000122	CARHR036540, CARHR031780	Np003G1578000
OG0000122	CARHR033520, CARHR033430	Np003G1578400, Np003G1577700
OG0000122	CARHR269930	Np003G1578500
OG0000124	CARHR261370	Np005G3180200
OG0000124	CARHR259840	Np005G2989500, Np003G1311000, Np002G1109100
OG0000125	CARHR122240	Np006G3601100
OG0000125	CARHR007350	Np004G2519400
OG0000125	CARHR039100	Np004G1951700
OG0000125	CARHR041970, CARHR041980	Np004G1951500
OG0000125	CARHR097260	Np007G3813400
OG0000126	CARHR103200	Np006G3613200
OG0000126	CARHR289900, CARHR149350, CARHR290850, CARHR034350, CARHR144860	Np002G1171100
OG0000126	CARHR217430, CARHR184740	Np001G0233600
OG0000126	CARHR252010	Np001G0262900
OG0000126	CARHR098000, CARHR034340	Np005G2929200
OG0000127	CARHR190650	Np003G1510700
OG0000127	CARHR163570	Np001G0565000
OG0000127	CARHR273520	Np003G1523500
OG0000127	CARHR121850	Np006G3598300
OG0000128	CARHR169580	Np001G0644700
OG0000128	CARHR169600	Np001G0644900
OG0000128	CARHR169570	Np001G0644500
OG0000129	CARHR038520, CARHR038560, CARHR056630	Np002G0866100
OG0000129	CARHR275730	Np001G0064000, Np001G0063300
OG0000132	CARHR164880	Np001G0583700
OG0000132	CARHR277260	Np001G0060300
OG0000132	CARHR214020	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400
OG0000132	CARHR213990, CARHR214010	Np001G0060100
OG0000134	CARHR202050	Np003G1378400
OG0000137	CARHR268710	Np003G1600600
OG0000137	CARHR268720	Np003G1600500
OG0000137	CARHR268700	Np003G1602000, Np003G1601500, Np003G1600700
OG0000137	CARHR268690	Np003G1602100
OG0000137	CARHR268680	Np003G1602400
OG0000140	CARHR146770	Np001G0509300, Np001G0524900
OG0000141	CARHR048210, CARHR049580, CARHR049710, CARHR049690, CARHR049380, CARHR049330, CARHR049720, CARHR049640, CARHR049340, CARHR049700, CARHR048830, CARHR049260	Np002G1165900
OG0000143	CARHR181670, CARHR183500	Np004G2289300
OG0000148	CARHR037710, CARHR037720, CARHR037850	Np004G1960900, Np004G1960800
OG0000150	CARHR217380, CARHR294480	Np002G1102100, Np006G3465100, Np005G2952600
OG0000151	CARHR165120	Np001G0586800
OG0000151	CARHR134140	Np006G3339200
OG0000151	CARHR165110	Np001G0586700
OG0000151	CARHR163410	Np001G0563500
OG0000151	CARHR132240	Np006G3374700
OG0000151	CARHR199860	Np003G1404000
OG0000153	CARHR007210, CARHR007190	Np004G2521100
OG0000154	CARHR121480	Np004G1998200
OG0000154	CARHR041490, CARHR040850	Np004G1963300, Np004G1963200
OG0000157	CARHR029970	Np006G3350500, Np003G1450700
OG0000158	CARHR113640	Np002G0811900
OG0000158	CARHR245230	Np001G0700500
OG0000158	CARHR210870	Np003G1292700
OG0000158	CARHR104280	Np002G0811700
OG0000158	CARHR150520	Np002G0909800, Np002G0811800
OG0000159	CARHR059430	Np005G3080900
OG0000160	CARHR109500	Np007G3739600
OG0000160	CARHR238090	Np005G2740000
OG0000160	CARHR271150	Np003G1560700
OG0000160	CARHR104060	Np007G3899700
OG0000160	CARHR153650	Np001G0430500
OG0000160	CARHR073860	Np002G0711700
OG0000162	CARHR162850	Np004G2052000
OG0000162	CARHR102790, CARHR102800, CARHR102820	Np007G3727700
OG0000162	CARHR145920	Np001G0244500
OG0000162	CARHR102810, CARHR103310	Np001G0244800
OG0000162	CARHR127190	Np006G3578300
OG0000163	CARHR259710, CARHR057870, CARHR288340	Np006G3651700, Np002G0952300, Np002G0879200, Np007G3786700, Np007G3787500, Np002G1203300, Np001G0333500, Np003G1621000, Np001G0558600, Np007G3939100
OG0000165	CARHR085710, CARHR085700, CARHR085180	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200
OG0000166	CARHR067330	Np004G1974000, Np001G0560100
OG0000166	CARHR115420	Np007G3748700
OG0000167	CARHR097030	Np007G3808900
OG0000167	CARHR108190, CARHR108200, CARHR150060	Np007G3810100, Np007G3810500
OG0000169	CARHR219990	Np004G2006300, Np004G2270200, Np001G0564500
OG0000170	CARHR171330	Np001G0660400
OG0000170	CARHR140750	Np006G3241500
OG0000171	CARHR266340	Np003G1641800
OG0000171	CARHR046700	Np002G1239200
OG0000171	CARHR107000	Np007G3768900
OG0000171	CARHR269520	Np003G1582900
OG0000171	CARHR235660	Np005G2770300
OG0000173	CARHR246590	Np005G2621400
OG0000173	CARHR246290, CARHR146050	Np001G0199900
OG0000174	CARHR292260, CARHR102990	Np002G1029900
OG0000174	CARHR115250	Np004G2082700, Np004G2374700, Np004G2142500, Np007G4219300, Np005G2804000
OG0000175	CARHR198650	Np003G1416000
OG0000175	CARHR052550	Np004G2480900, Np002G1160900
OG0000175	CARHR142560	Np001G0685700
OG0000176	CARHR118040	Np007G4189400
OG0000176	CARHR291360, CARHR291330, CARHR121440	Np006G3654200
OG0000177	CARHR021670, CARHR181970	Np002G0868200, Np007G3897800, Np002G0760200
OG0000178	CARHR253020	Np003G1833700
OG0000178	CARHR250370	Np003G1835100
OG0000178	CARHR250360	Np003G1835200
OG0000178	CARHR252960	Np003G1834900, Np003G1834200
OG0000183	CARHR215030	Np005G3124900
OG0000183	CARHR119300	Np006G3615500
OG0000185	CARHR279920	Np001G0026600, Np001G0030000, Np001G0688200
OG0000188	CARHR078890	Np007G4202700
OG0000188	CARHR078870	Np007G4202800, Np004G1955500
OG0000189	CARHR244350	Np005G2675300
OG0000189	CARHR069390	Np002G0772800
OG0000189	CARHR020570	Np004G2354100
OG0000191	CARHR150970	Np003G1529900, Np006G3490300, Np005G3031400, Np006G3490400, Np005G3031500, Np005G3157900, Np003G1298200, Np007G4044100, Np007G4035600
OG0000192	CARHR233830	Np003G1311400
OG0000192	CARHR014030	Np003G1314300
OG0000192	CARHR014050	Np004G2432400
OG0000193	CARHR031320, CARHR091800, CARHR036940	Np007G3913400
OG0000193	CARHR091810	Np004G2176400
OG0000196	CARHR272920	Np007G4161800
OG0000196	CARHR288130, CARHR291940, CARHR213880	Np005G3188800
OG0000197	CARHR215070, CARHR051370	Np004G2439300, Np002G1112700
OG0000197	CARHR226280, CARHR226370	Np005G2896400, Np001G0033100
OG0000198	CARHR015470	Np004G2415000
OG0000198	CARHR015480	Np004G2414700
OG0000198	CARHR147290	Np005G2833600
OG0000199	CARHR063270, CARHR063300, CARHR163030, CARHR063260, CARHR063690, CARHR063700, CARHR263650	Np007G3776000, Np007G3775100, Np006G3307800
OG0000199	CARHR251110, CARHR215270	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000
OG0000199	CARHR237670	Np005G3095000
OG0000200	CARHR005020	Np004G2120400
OG0000200	CARHR028750, CARHR037140	Np004G2143200, Np004G2141700, Np003G1654700
OG0000200	CARHR037150	Np004G2141600, Np004G2143500
OG0000202	CARHR250390, CARHR248840, CARHR250050, CARHR250400	Np007G3890500
OG0000203	CARHR168590, CARHR259860	Np005G3179800
OG0000203	CARHR168740	Np001G0632300
OG0000203	CARHR168690, CARHR168710	Np001G0631800
OG0000205	CARHR286250	Np009G4305400, Np002G1035400, Np010G4327900, Np004G2209100
OG0000205	CARHR105060, CARHR218440	Np007G3966500
OG0000209	CARHR202500	Np003G1366500
OG0000210	CARHR121990, CARHR140170	Np006G3250000
OG0000210	CARHR057970	Np002G1162900
OG0000210	CARHR170840	Np001G0662300
OG0000215	CARHR033990, CARHR055980, CARHR108830	Np007G4021500, Np002G1038000
OG0000216	CARHR054340	Np002G1121800
OG0000216	CARHR166590	Np001G0606300, Np001G0606400
OG0000219	CARHR123890	Np001G0161000
OG0000225	CARHR072290	Np002G0730800
OG0000225	CARHR072270, CARHR141370	Np002G0730400
OG0000226	CARHR209980	Np005G3168600
OG0000227	CARHR080100, CARHR085660, CARHR105470, CARHR039350, CARHR105510	Np006G3524200, Np006G3524300
OG0000229	CARHR004570	Np006G3473000, Np003G1876400, Np002G1043000
OG0000230	CARHR169400	Np001G0641400
OG0000232	CARHR174010, CARHR102280	Np004G2411800, Np006G3677000
OG0000233	CARHR205610	Np003G1335200
OG0000233	CARHR205600, CARHR205590, CARHR205580	Np003G1335400
OG0000234	CARHR139700	Np003G1792500
OG0000235	CARHR168030	Np003G1445200
OG0000235	CARHR133380	Np005G3142900
OG0000235	CARHR073970	Np006G3375200
OG0000236	CARHR062590, CARHR062610, CARHR102640	Np002G0865900, Np002G0866200, Np002G0866000
OG0000236	CARHR097950	Np007G3825300, Np007G3825800
OG0000236	CARHR000080, CARHR100230, CARHR102630	Np007G3825000
OG0000236	CARHR260580	Np003G1773300
OG0000237	CARHR043980, CARHR044120	Np006G3664800, Np005G3024700
OG0000237	CARHR098530	Np007G3835000
OG0000237	CARHR238210, CARHR097380	Np007G3814600
OG0000238	CARHR064100, CARHR064090	Np002G0845400
OG0000238	CARHR064110	Np002G0845300
OG0000238	CARHR292540	Np004G2308900
OG0000238	CARHR185670, CARHR023530, CARHR023500, CARHR023520, CARHR023510	Np004G2309500
OG0000239	CARHR218360	Np004G2128000, Np005G3094300, Np007G3909100, Np004G1948500, Np005G3117700, Np003G1657100, Np003G1411900, Np005G3036700, Np001G0216500, Np001G0293200, Np001G0630400, Np004G2156900, Np007G4040900, Np004G1948600, Np006G3651300, Np004G2333400, Np001G0292400
OG0000239	CARHR113140	Np003G1674300, Np001G0362700, Np001G0271800, Np003G1818900, Np002G0913500, Np007G4007300, Np001G0271700
OG0000241	CARHR228610	Np005G2864100
OG0000241	CARHR107520	Np003G1837500
OG0000242	CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520	Np007G4179600
OG0000242	CARHR175670	Np001G0141900
OG0000243	CARHR028800, CARHR028770, CARHR028900, CARHR028820, CARHR028850	Np004G2125700, Np004G2125900, Np004G2125000
OG0000243	CARHR028830	Np004G2125200
OG0000243	CARHR028880, CARHR028810	Np004G2125600
OG0000244	CARHR251320, CARHR252330, CARHR252290	Np003G1858400
OG0000244	CARHR251330, CARHR251340	Np003G1858200, Np003G1858100, Np003G1857800
OG0000246	CARHR131170, CARHR131180	Np006G3384100, Np003G1776100
OG0000246	CARHR131140, CARHR131130, CARHR131150, CARHR131160	Np005G3092400
OG0000247	CARHR291820, CARHR217360, CARHR263700	Np004G2545900
OG0000248	CARHR215600	Np005G2610500
OG0000248	CARHR263070, CARHR263080	Np002G0860000
OG0000249	CARHR219480	Np004G2146500
OG0000249	CARHR014080	Np007G4050900, Np005G2822000
OG0000250	CARHR252250	Np003G1647300
OG0000251	CARHR147300	Np001G0226900
OG0000251	CARHR147330	Np001G0491300, Np001G0226800, Np001G0226600
OG0000251	CARHR271060	Np003G1562200
OG0000252	CARHR048360, CARHR048350, CARHR048370	Np002G0966500, Np002G1217000, Np002G1216400, Np002G1216900, Np002G1216600
OG0000253	CARHR083800, CARHR083820, CARHR083810	Np003G1267100, Np003G1271600
OG0000253	CARHR210890	Np002G1120300
OG0000253	CARHR083850	Np007G4134200
OG0000253	CARHR229590	Np006G3304500
OG0000253	CARHR210880	Np003G1267200
OG0000254	CARHR290080	Np005G3024300
OG0000257	CARHR069370	Np002G0772900
OG0000259	CARHR135220, CARHR117790	Np001G0461900
OG0000259	CARHR093470, CARHR093450	Np007G3830200
OG0000262	CARHR046970	Np003G1635900
OG0000265	CARHR033470, CARHR263710, CARHR257150, CARHR159730, CARHR113850	Np005G3140200, Np007G4120400, Np002G0744800, Np002G0778500, Np003G1560300, Np004G1972500, Np006G3567500, Np004G2255600, Np001G0314500
OG0000268	CARHR181110	Np005G2764400
OG0000268	CARHR154180	Np002G1065200
OG0000269	CARHR273300	Np003G1526500
OG0000269	CARHR007130, CARHR007140, CARHR053220, CARHR122830	Np004G2521600
OG0000270	CARHR047950	Np005G2730100
OG0000270	CARHR046830	Np002G1237700
OG0000270	CARHR048540, CARHR048090	Np006G3619100
OG0000275	CARHR175770	Np001G0244400
OG0000275	CARHR041170, CARHR041160	Np005G2619800
OG0000275	CARHR185060, CARHR185040	Np004G1985300
OG0000277	CARHR243020, CARHR247840	Np007G3772100
OG0000277	CARHR106740	Np005G2653400
OG0000277	CARHR020400	Np002G0777200
OG0000278	CARHR215570, CARHR215560, CARHR215610, CARHR215640, CARHR215620, CARHR215650, CARHR215200	Np005G3117100
OG0000279	CARHR094510	Np002G1141200, Np003G1803300
OG0000279	CARHR031350, CARHR031360	Np005G3095700, Np001G0385400
OG0000282	CARHR229020, CARHR229730	Np006G3612000
OG0000282	CARHR229570	Np005G2741000
OG0000285	CARHR227980	Np005G2879700
OG0000286	CARHR178840, CARHR232240	Np003G1578100
OG0000286	CARHR175950, CARHR174900	Np005G2707100, Np005G2706600, Np005G2707500
OG0000294	CARHR058080, CARHR198380	Np002G1225100
OG0000295	CARHR035800	Np004G2036300
OG0000295	CARHR004430	Np004G2551000
OG0000295	CARHR223360	Np004G2108200
OG0000295	CARHR100860	Np004G2108300
OG0000296	CARHR285460, CARHR285480	Np003G1534000, Np007G4243900, Np003G1534400
OG0000296	CARHR272760, CARHR053670, CARHR272770	Np003G1539300
OG0000296	CARHR272750	Np003G1534300
OG0000298	CARHR033060	Np004G2067300
OG0000298	CARHR033100	Np004G2066900, Np004G2067000
OG0000298	CARHR033050	Np001G0361700, Np004G2066800, Np004G2066700
OG0000300	CARHR166000, CARHR264620, CARHR264630	Np004G1944000
OG0000301	CARHR139910, CARHR139920	Np001G0656600
OG0000301	CARHR096590	Np006G3657800, Np006G3692300
OG0000305	CARHR017730	Np004G2040900, Np004G2390100
OG0000307	CARHR220080, CARHR041320, CARHR219950, CARHR112870, CARHR216070, CARHR057800, CARHR216060, CARHR216110	Np007G3777700
OG0000308	CARHR180240	Np001G0413700
OG0000308	CARHR180280	Np001G0413900, Np001G0413800, Np001G0414200, Np001G0414100
OG0000309	CARHR274060	Np005G3043400
OG0000313	CARHR111260, CARHR135310, CARHR135320, CARHR111270	Np006G3319700
OG0000314	CARHR213600	Np003G1725200
OG0000314	CARHR006310	Np004G2096300, Np002G0900000, Np001G0544400
OG0000318	CARHR062760	Np004G2401400
OG0000321	CARHR040120	Np004G1971000
OG0000321	CARHR193110, CARHR193130	Np003G1478700
OG0000322	CARHR259720	Np008G4268900, Np009G4291900, Np006G3488400, Np003G1896200, Np003G1887600, Np005G2608200, Np005G2608600, Np005G2607900
OG0000323	CARHR018220	Np004G2384300
OG0000323	CARHR262010	Np005G3167200
OG0000325	CARHR004130	Np004G2554700
OG0000325	CARHR127110	Np006G3577000
OG0000325	CARHR004140	Np004G2554500
OG0000326	CARHR112590	Np006G3247600, Np004G2144700, Np005G3048100
OG0000326	CARHR112900	Np002G0761200, Np007G4109700
OG0000327	CARHR089970	Np005G3168200
OG0000329	CARHR220880	Np005G3045800
OG0000329	CARHR263560, CARHR263570	Np004G2324000, Np005G3144800, Np005G3144500
OG0000330	CARHR065890, CARHR065920, CARHR065910, CARHR065900	Np002G0817100, Np002G0817000
OG0000330	CARHR065880	Np002G0817200
OG0000331	CARHR249810	Np003G1874800
