Orthogroup	Cardamine_hirsuta	Arabidopsis_lyrata_Rawat
OG0000028	CARHR267700	AL8G29950
OG0000029	CARHR056480, CARHR153130	AL5G20350, AL3G41570
OG0000030	CARHR025790	AL1G39630
OG0000030	CARHR162370	AL1G35700
OG0000030	CARHR260760, CARHR260790	AL3G27510
OG0000030	CARHR158520, CARHR158510, CARHR158530	AL5G29320, AL5G29310, AL5G29340
OG0000030	CARHR088860, CARHR095910, CARHR026350	AL3G24770
OG0000030	CARHR154640	AL5G24990
OG0000032	CARHR266460	AL4G17980
OG0000034	CARHR230270, CARHR230290	AL7G30290
OG0000034	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070	AL7G32680
OG0000034	CARHR289950	AL7G32670
OG0000034	CARHR255000	AL6G46030
OG0000034	CARHR230230, CARHR230200	AL7G30310, AL7G30350
OG0000035	CARHR120350	AL3G42660, AL4G33750, AL7G46520, AL6G43970
OG0000035	CARHR034790	AL7G43840
OG0000038	CARHR259820	AL2G20150, AL1G38790, AL3G17400
OG0000042	CARHR260310	AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850
OG0000043	CARHR220690	AL4G22400
OG0000043	CARHR104870	AL3G52960
OG0000043	CARHR098760	AL1G50770
OG0000043	CARHR288090	AL1G48950, AL5G15500
OG0000043	CARHR181910, CARHR111550, CARHR213150	AL4G18980
OG0000043	CARHR118730	AL1G50370
OG0000043	CARHR216370	AL8G19930
OG0000044	CARHR289560, CARHR289640, CARHR175800, CARHR175810, CARHR175170, CARHR175250	AL8G11940
OG0000044	CARHR175060	AL8G11910
OG0000044	CARHR116350	AL8G18480
OG0000046	CARHR159300, CARHR215510, CARHR037550, CARHR118760	AL4G10770
OG0000046	CARHR116100, CARHR183570, CARHR057390, CARHR107370	AL5G16920, AL7G43910, AL3G42580
OG0000046	CARHR159290	AL6G43460, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL8G21960, AL3G43290, AL1G51180, AL4G17640
OG0000046	CARHR150320	AL1G53510
OG0000046	CARHR273180, CARHR286710, CARHR217190	AL4G20190, AL3G44690, AL6G40760
OG0000048	CARHR261660, CARHR042940	AL1G62520
OG0000048	CARHR126110	AL2G14000, AL2G14020
OG0000049	CARHR220930	AL1G47310
OG0000051	CARHR002800	AL1G20340
OG0000051	CARHR137510	AL4G40940
OG0000051	CARHR109310	nbis-gene-988
OG0000051	CARHR137530	AL4G40960
OG0000051	CARHR127280	AL4G40920, AL4G40910, AL2G15770, AL4G40930
OG0000051	CARHR260850	AL4G41020
OG0000052	CARHR065210, CARHR065340	AL1G65610
OG0000052	CARHR162500	AL8G17190
OG0000052	CARHR157840	AL5G28950
OG0000054	CARHR153240	AL5G20230, AL2G17290
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	nbis-gene-725, AL3G41130
OG0000055	CARHR092560, CARHR092720	AL3G30470
OG0000055	CARHR094260	AL3G38080
OG0000055	CARHR107830, CARHR149830, CARHR108270	AL769U10010
OG0000055	CARHR092150, CARHR092000	AL3G29670
OG0000055	CARHR149840	AL4G21820
OG0000055	CARHR111010	AL3G53160, AL3G53140
OG0000055	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370	AL3G50860
OG0000055	CARHR092630, CARHR092620, CARHR213520	AL3G30370
OG0000056	CARHR050320	AL2G14100
OG0000056	CARHR049970	AL2G13770
OG0000056	CARHR049990, CARHR050000	AL2G13820
OG0000056	CARHR050280, CARHR049980, CARHR050290	AL2G14070
OG0000056	CARHR050160	AL2G14080
OG0000056	CARHR155600	AL5G26170
OG0000059	CARHR286550, CARHR102470, CARHR152130	AL8G40920, AL7G34190, AL2G10380, AL1G59190
OG0000060	CARHR273260	AL5G34700
OG0000061	CARHR228580	AL1G55000, AL1G55020, AL1G54370, AL1G25040, AL1G25030
OG0000061	CARHR270010	AL1G54400
OG0000061	CARHR039590	nbis-gene-1510
OG0000061	CARHR123140	AL3G24690, AL1G35400, AL4G24650
OG0000064	CARHR054420, CARHR289730, CARHR289690	nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023
OG0000065	CARHR059270, CARHR059250	AL2G25320, AL2G25210
OG0000065	CARHR059080	AL2G25180, AL2G25200
OG0000065	CARHR263410	AL7G51420
OG0000066	CARHR202910, CARHR279310	AL6G20900
OG0000066	CARHR279320, CARHR202900, CARHR009160	AL6G20890
OG0000066	CARHR068990	AL2G35590, AL6G41640
OG0000066	CARHR058350, CARHR096450	AL3G43470
OG0000066	CARHR202310	AL6G21580
OG0000068	CARHR210190	AL6G12890, AL3G38420, AL6G12880, AL6G12910, AL6G12860, AL5G24850, AL6G12550
OG0000068	CARHR064230	AL6G18740
OG0000069	CARHR000960	AL1G16980
OG0000069	CARHR070150	AL8G26350
OG0000070	CARHR010350	AL1G20940
OG0000070	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	AL3G47920, AL5G12840, AL5G12830
OG0000070	CARHR020650	AL4G11370, AL1G32980, AL2G24470
OG0000070	CARHR069500	AL2G35960
OG0000070	CARHR284690	AL8G19640
OG0000070	CARHR052170, CARHR288810	AL7G16760
OG0000072	CARHR153090	AL8G19360, AL8G19010
OG0000072	CARHR049910, CARHR219260, CARHR119870, CARHR260200	AL3G47230
OG0000075	CARHR247180	AL7G11590, AL8G23920
OG0000075	CARHR247140	nbis-gene-1691
OG0000075	CARHR247160	AL7G11690
OG0000075	CARHR286190, CARHR286200, CARHR286160	AL34U10100, AL8G22340
OG0000075	CARHR285960	AL34U10110, AL34U10130, AL8G22350
OG0000076	CARHR247830	AL7G10840
OG0000076	CARHR127180	AL4G29500
OG0000077	CARHR177280, CARHR112190	AL8G13920
OG0000077	CARHR054510	AL1G67300
OG0000077	CARHR145640	AL5G12970, AL5G12940
OG0000077	CARHR009640	AL1G20220
OG0000078	CARHR077950	AL3G13680
OG0000078	CARHR194990, CARHR195030, CARHR195060, CARHR195010	AL6G29270, AL6G29210, AL6G29240, AL6G29180, AL6G29190
OG0000079	CARHR180710, CARHR151670, CARHR119610	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210
OG0000081	CARHR217030	AL2G21910
OG0000081	CARHR264280	AL1G31420, AL8G29100, AL8G26420, AL6G33330
OG0000086	CARHR214810	AL7G53090
OG0000086	CARHR276580	AL8G39760
OG0000086	CARHR272990	nbis-gene-1912
OG0000086	CARHR214830	AL7G46850, AL7G46860
OG0000086	CARHR214840	AL7G53100
OG0000086	CARHR214870	AL7G49470
OG0000086	CARHR058600	AL2G24580
OG0000089	CARHR189700	AL6G35120
OG0000089	CARHR155480	AL5G25960
OG0000089	CARHR122890	AL4G24260
OG0000089	CARHR200860	AL6G23060
OG0000089	CARHR178800	AL8G15560
OG0000089	CARHR227450	AL7G33260
OG0000089	CARHR128920	AL4G30750
OG0000089	CARHR020480	AL1G32740
OG0000089	CARHR069200	AL2G35770
OG0000091	CARHR156270	AL5G26820
OG0000091	CARHR156220, CARHR156240	AL5G26340, AL5G26330
OG0000091	CARHR192340, CARHR192330	AL6G32010
OG0000091	CARHR262970	AL8G24400
OG0000092	CARHR216160	AL3G43310
OG0000092	CARHR293270	AL8G24810
OG0000095	CARHR116960, CARHR117230, CARHR116990	AL4G15500, AL4G18540
OG0000095	CARHR117020	AL4G18550
OG0000095	CARHR116980, CARHR117870, CARHR117890	nbis-gene-1002
OG0000095	CARHR116940	AL4G15600
OG0000095	CARHR117220	AL4G15550
OG0000095	CARHR117860	AL4G14510, AL4G14520
OG0000096	CARHR266870	AL4G22640
OG0000096	CARHR084920	AL3G41350, AL3G41330, AL3G41320, AL3G41340
OG0000096	CARHR093690	AL3G31600, AL3G31620, AL3G31610, AL439U10010, AL3G32310, AL3G32820, AL3G50560
OG0000096	CARHR094810, CARHR094850, CARHR094860, CARHR094840	AL3G31580
OG0000096	CARHR092810	AL3G32300
OG0000096	CARHR159090, CARHR101800, CARHR101790, CARHR120380	AL3G22030
OG0000098	CARHR046250	AL2G26330
OG0000098	CARHR174970	AL1G41020, AL1G41000, AL1G41010, AL1G40990
OG0000100	CARHR047460, CARHR047540	AL2G11210
OG0000100	CARHR055030	AL1G66260
OG0000100	CARHR047580, CARHR047440, CARHR261260, CARHR047450	AL2G11380
OG0000100	CARHR047060	AL2G14410
OG0000100	CARHR047100	AL2G11200
OG0000101	CARHR176810, CARHR287350, CARHR006250, CARHR183060, CARHR099970, CARHR036950	AL26U10050, AL3G41030
OG0000102	CARHR252050, CARHR252070, CARHR252100	AL6G49090, AL320U10020
OG0000102	CARHR252110, CARHR252090	AL9U10550
OG0000106	CARHR183910, CARHR055550	AL6G40690
OG0000107	CARHR095660	AL3G33810
OG0000107	CARHR095650	AL3G33780
OG0000107	CARHR095640	AL3G33770
OG0000107	CARHR095610	AL3G33760
OG0000107	CARHR096820, CARHR096830	AL3G34900
OG0000107	CARHR097220, CARHR095680, CARHR095690, CARHR095670	AL3G33830, AL3G42780
OG0000108	CARHR131960	AL4G34130
OG0000108	CARHR285740	AL5G25390, AL8G35810
OG0000108	CARHR086670	AL3G23740
OG0000108	CARHR203590	AL6G20220
OG0000108	CARHR094190	AL1G56110
OG0000111	CARHR161700, CARHR161720	AL6G41670, AL6G41680
OG0000111	CARHR148290	AL5G32600, AL5G34240, AL3G50380, AL5G18800, AL2G34810
OG0000114	CARHR258830, CARHR283860	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940
OG0000114	CARHR118270	AL6G40550
OG0000115	CARHR155450	AL7G53080
OG0000116	CARHR101930	AL6G43140
OG0000117	CARHR023950	AL1G37280
OG0000117	CARHR024070	AL1G37410
OG0000117	CARHR024100	AL1G37440
OG0000118	CARHR133050	AL4G35680, AL4G35660, AL4G35650
OG0000118	CARHR133070, CARHR133060	AL7G47920
OG0000118	CARHR099660	AL3G38540, AL3G38550
OG0000119	CARHR150070, CARHR118170	AL5G25370
OG0000119	CARHR114860	AL4G18370, AL4G18360, AL4G18340
OG0000119	CARHR256190, CARHR263010	AL5G21720, AL5G21730
OG0000119	CARHR143200, CARHR207890	AL6G15230
OG0000119	CARHR150200	AL5G24100
OG0000122	CARHR269730	AL8G32110
OG0000122	CARHR129080, CARHR031770, CARHR269910, CARHR269890	AL8G31960
OG0000125	CARHR007350	AL1G17740
OG0000125	CARHR039100	AL1G55940
OG0000125	CARHR041970	AL1G59870
OG0000125	CARHR102140	AL3G41990
OG0000126	CARHR103200	AL4G20870
OG0000126	CARHR256860	nbis-gene-676, nbis-gene-264
OG0000127	CARHR007600	AL1G18070
OG0000127	CARHR190650	AL6G34020
OG0000127	CARHR210790	AL6G11840
OG0000127	CARHR273520	AL189U10030, AL8G36480
OG0000127	CARHR154390	AL5G24750
OG0000127	CARHR121850	AL4G23250
OG0000128	CARHR061850	AL5G41150
OG0000128	CARHR061820	AL8G16450
OG0000128	CARHR123020, CARHR061840	AL5G41130
OG0000128	CARHR169580	AL5G41080
OG0000128	CARHR169600	AL5G41090
OG0000128	CARHR169570	AL5G41050
OG0000129	CARHR038520, CARHR038560, CARHR056630	AL2G19870
OG0000129	CARHR056640	AL2G19970
OG0000129	CARHR275720, CARHR275710	AL1G60690, AL8G38710, AL8G38700
OG0000129	CARHR120250, CARHR120240, CARHR120610	AL4G22760, AL4G22720
OG0000129	CARHR038530, CARHR038540, CARHR056610	AL2G19840
OG0000130	CARHR158410, CARHR153220, CARHR117340, CARHR057000	AL6G41390, AL3G51120, AL7G52490
OG0000130	CARHR038370, CARHR217450	AL8G32360, AL1G41300, AL3G31830
OG0000130	CARHR056860	nbis-gene-1516
OG0000130	CARHR183650	nbis-gene-2009
OG0000130	CARHR183660	AL2G19800
OG0000132	CARHR164880	AL5G36020
OG0000132	CARHR256230	AL6G44370
OG0000132	CARHR277270	AL8G40480
OG0000132	CARHR214020	AL315U10010, AL7G51940, AL7G52020, AL7G52000
OG0000134	CARHR054550, CARHR054640, CARHR054580	AL1G67280, AL1G67230, AL1G67210
OG0000134	CARHR106050	AL2G23230
OG0000134	CARHR202010	AL1G52710
OG0000134	CARHR202050	AL8G17970, AL8G17980, AL20U10060, AL20U10050, AL20U10040, AL20U10020, AL6G21880
OG0000137	CARHR268720	AL8G30930
OG0000137	CARHR268700	AL8G30920
OG0000137	CARHR268690	AL8G30900
OG0000137	CARHR268680	AL8G30890
OG0000138	CARHR169360	AL5G40800
OG0000138	CARHR169320	AL5G40760
OG0000138	CARHR169390	AL5G40850
OG0000140	CARHR146770	AL6G10840
OG0000141	CARHR012600	AL1G23600
OG0000141	CARHR012590	AL1G23590
OG0000141	CARHR012520	AL1G23500
OG0000141	CARHR220850	AL7G41510
OG0000141	CARHR013070	AL1G23480
OG0000143	CARHR287550, CARHR116230, CARHR285000, CARHR181670, CARHR183500	AL3G54050
OG0000148	CARHR037410	nbis-gene-250
OG0000148	CARHR040900	nbis-gene-277
OG0000148	CARHR040920	AL2G11100
OG0000148	CARHR037710, CARHR037720, CARHR037850	AL1G54580, AL1G54620
OG0000150	CARHR217380, CARHR294480	AL4G25960, AL4G15810
OG0000151	CARHR165130	AL5G36230
OG0000151	CARHR165120	AL5G36220
OG0000151	CARHR134140	AL4G36690
OG0000151	CARHR165110	AL5G36210
OG0000151	CARHR163410	AL5G34430
OG0000151	CARHR132240	AL4G33730
OG0000151	CARHR199860	AL6G24190
OG0000153	CARHR124170, CARHR124160	AL4G25560
OG0000153	CARHR122600, CARHR122610	AL4G23900
OG0000153	CARHR122560	AL4G23860
OG0000153	CARHR007190	AL1G17600
OG0000154	CARHR040870	AL1G58520
OG0000154	CARHR121480	AL6G29770, AL6G29780
OG0000154	CARHR041490, CARHR040850	AL1G58510
OG0000154	CARHR040760, CARHR040790, CARHR041510	AL1G66290, AL1G58490
OG0000157	CARHR144020	AL1G44400
OG0000157	CARHR029970	AL8G27960, AL1G29270
OG0000158	CARHR113640	nbis-gene-1710, AL2G28170
OG0000158	CARHR210870	AL7G32560, AL7G30180, AL7G33450
OG0000160	CARHR109500	AL3G52950
OG0000160	CARHR238090	AL7G22000
OG0000160	CARHR271150	AL8G33330
OG0000160	CARHR104060	AL3G44180
OG0000160	CARHR153650	AL5G20850
OG0000160	CARHR073860	AL2G40780
OG0000160	CARHR117520	AL4G15040
OG0000161	CARHR059960, CARHR284490	AL1G16160
OG0000162	CARHR127170	nbis-gene-1071
OG0000162	CARHR145900	nbis-gene-1199
OG0000162	CARHR145910, CARHR145930	AL5G13350
OG0000162	CARHR102790, CARHR102800, CARHR102820	AL3G42410
OG0000162	CARHR102810, CARHR103310	AL3G42400, AL3G42420
OG0000162	CARHR127190	AL4G28810, AL4G28800
OG0000163	CARHR058120, CARHR218430	AL3G45620
OG0000165	CARHR085710, CARHR085700, CARHR085180	AL3G46810
OG0000167	CARHR096990	AL3G41660
OG0000167	CARHR097030	AL3G35160, AL3G35150
OG0000167	CARHR150060	AL5G24180
OG0000167	CARHR099220	nbis-gene-789
OG0000169	CARHR043210	AL3G52290
OG0000169	CARHR219990	AL1G53540, AL1G53520
OG0000170	CARHR140800	AL4G44750
OG0000170	CARHR186310, CARHR140760	AL4G44740
OG0000170	CARHR140780, CARHR140790, CARHR140740	AL4G44730
OG0000171	CARHR266340	AL8G28000
OG0000171	CARHR046700	AL7G47650, AL2G10770
OG0000171	CARHR107000	AL3G49460
OG0000171	CARHR269520	AL8G31780
OG0000171	CARHR082990	AL3G19690
OG0000171	CARHR235660	AL7G24680
OG0000173	CARHR246590	AL7G12140
OG0000173	CARHR246290, CARHR146050	AL7G12760
OG0000174	CARHR292260, CARHR102990	AL5G24470, AL6G38890, AL3G40990, AL6G49470, AL2G19320, AL4G18060, AL1G56990
OG0000174	CARHR115250	AL1G41050
OG0000175	CARHR023910	AL1G37260
OG0000175	CARHR063650	AL2G29860
OG0000175	CARHR010800	AL1G21480
OG0000175	CARHR198650	AL6G25440
OG0000175	CARHR142560	AL2G23510
OG0000176	CARHR291360, CARHR291330	AL57U10030
OG0000176	CARHR176300	AL2G31050
OG0000176	CARHR291350, CARHR291370	AL2G31060, AL158U10020, AL158U10030
OG0000177	CARHR021660	AL1G34300
OG0000177	CARHR181970	AL1G34280
OG0000177	CARHR059110	AL1G34360
OG0000178	CARHR253020	AL6G47960
OG0000178	CARHR250370	AL6G47980
OG0000178	CARHR250360	AL6G47970
OG0000178	CARHR252970, CARHR263930	AL6G48020
OG0000178	CARHR252960	AL6G47990
OG0000179	CARHR284060, CARHR284130, CARHR283910, CARHR284020, CARHR283760, CARHR284100, CARHR283900, CARHR053500, CARHR284050, CARHR284010	AL1G65670
OG0000179	CARHR284070	AL2G17810
OG0000179	CARHR283730	AL2G17250
OG0000179	CARHR053290, CARHR283710, CARHR053930	AL2G16980
OG0000182	CARHR167770	AL7G51710, AL5G39240, AL1G52920, AL5G39230
OG0000182	CARHR265190	nbis-gene-1319
OG0000182	CARHR166230	AL1G58420
OG0000183	CARHR215030	AL2G24200, AL7G46650
OG0000183	CARHR136200	AL5G38180
OG0000183	CARHR191680, CARHR114540	AL5G21780
OG0000183	CARHR119300	AL4G20560
OG0000184	CARHR097900	AL3G36220
OG0000185	CARHR279920	AL5G14060
OG0000185	CARHR087540, CARHR087530	AL1G37710, AL1G37720, AL1G37670
OG0000185	CARHR028040	AL1G42110, AL1G41350
OG0000186	CARHR147550, CARHR269160	AL8G31350
OG0000186	CARHR145130	AL5G11890
OG0000187	CARHR112670, CARHR112680	nbis-gene-932, AL4G10910
OG0000187	CARHR020040	AL1G32210
OG0000188	CARHR078890	AL7G22270
OG0000188	CARHR201470	AL6G22480, AL6G22490, AL6G22600
OG0000189	CARHR160880	AL5G31720
OG0000189	CARHR244350	AL7G15090
OG0000189	CARHR108220	AL3G50830
OG0000189	CARHR069390	AL2G35850
OG0000189	CARHR020570	AL1G32900
OG0000192	CARHR233830	AL2G13220
OG0000193	CARHR031320, CARHR091800, CARHR036940	AL3G29460
OG0000193	CARHR091790	AL3G46410, AL3G46450, AL8G22710, AL3G29470
OG0000193	CARHR036380, CARHR036970	AL1G53610
OG0000193	CARHR031880	AL1G46640, AL1G46660, AL1G46620
OG0000195	CARHR155390	AL3G48600
OG0000195	CARHR175700	AL3G48580
OG0000195	CARHR273570	AL8G36490
OG0000196	CARHR272910, CARHR213580, CARHR272900, CARHR287600, CARHR287570, CARHR212840, CARHR289150	AL7G47590, AL7G47570, AL7G47600, AL4G22240, AL7G47850
OG0000196	CARHR288390, CARHR291930, CARHR212850, CARHR212830, CARHR285160, CARHR291950, CARHR288120, CARHR287580, CARHR213590	AL7G47540
OG0000196	CARHR288130, CARHR291940, CARHR213880	AL7G47550
OG0000196	CARHR262360	AL7G47890
OG0000197	CARHR215070, CARHR051370	AL7G34550
OG0000197	CARHR226280, CARHR226370	AL7G34520
OG0000198	CARHR144080	AL5G13150, AL5G10520
OG0000198	CARHR015470	AL1G26980, AL1G27000
OG0000198	CARHR015480	AL1G27010
OG0000198	CARHR147290	AL5G15240
OG0000199	CARHR063270, CARHR063300, CARHR163030, CARHR063260, CARHR063690, CARHR063700, CARHR263650	AL1G59580, AL1G61110, AL1G54760
OG0000199	CARHR251110, CARHR215270	AL7G22480
OG0000200	CARHR203250	AL1G42930
OG0000200	CARHR028750, CARHR037140	AL1G44070
OG0000200	CARHR037150	AL1G44060
OG0000202	CARHR250390, CARHR248840, CARHR250050, CARHR250400	AL6G50950
OG0000203	CARHR168640	AL5G39980, AL5G40000
OG0000203	CARHR168590, CARHR259860	AL5G40120
OG0000203	CARHR168740	AL5G40110
OG0000203	CARHR168770	AL5G40140
OG0000203	CARHR168690	AL5G40100
OG0000205	CARHR286250	AL6G41080
OG0000208	CARHR183230	AL4G14050
OG0000209	CARHR014740, CARHR010320	AL5G25310
OG0000209	CARHR202500	AL6G20830
OG0000209	CARHR125670, CARHR125660, CARHR124000	AL4G30220
OG0000209	CARHR008650	AL1G43860
OG0000210	CARHR140170	AL4G44040
OG0000210	CARHR059620	AL2G25640
OG0000210	CARHR057970	AL2G23580
OG0000215	CARHR284710	AL22U10020, AL4G18700, AL6G38570, AL4G16420, AL2G18820
OG0000216	CARHR253820, CARHR253860, CARHR253850	AL6G47240
OG0000216	CARHR253870	AL6G47230
OG0000216	CARHR253840	AL6G44750
OG0000216	CARHR054340	AL2G18850
OG0000216	CARHR166590	AL5G37800
OG0000219	CARHR065380	AL7G46090, AL7G49700, AL7G49110, AL7G49680
OG0000219	CARHR123890	AL7G49130, AL7G46120
OG0000225	CARHR072290	AL2G39120
OG0000225	CARHR072270, CARHR141370	AL2G28790
OG0000225	CARHR201930, CARHR072280	AL2G39130
OG0000226	CARHR118070, CARHR209970	AL5G23490
OG0000226	CARHR256020	AL6G44610
OG0000227	CARHR080100	AL3G16300
OG0000227	CARHR039350	AL6G37850
OG0000227	CARHR105540	AL3G46870
OG0000229	CARHR062190	AL4G17660, AL4G17920, AL4G17900
OG0000229	CARHR004570	AL8G38260, AL1G56710, AL1G65810, AL5G20810
OG0000230	CARHR186450, CARHR286030	AL5G40610, AL5G40780
OG0000230	CARHR169400	AL5G40710
OG0000232	CARHR122740	AL3G48740
OG0000232	CARHR110940	AL1G53480
OG0000232	CARHR174010, CARHR102280	AL8G13400
OG0000233	CARHR205610	AL6G17860
OG0000233	CARHR205600, CARHR205590, CARHR205580	AL6G17870
OG0000234	CARHR095190	AL6G12270
OG0000234	CARHR100580, CARHR100650, CARHR100570	AL6G12280, AL6G12310, AL3G47640, AL1G59710, AL1G59720, AL6G12290
OG0000234	CARHR210300	AL6G12300
OG0000235	CARHR133380	AL4G35970, AL463U10040, AL4G36830
OG0000235	CARHR170750	AL7G47200
OG0000236	CARHR062600	AL2G28820
OG0000236	CARHR000080, CARHR100230, CARHR102630	AL2G23070
OG0000237	CARHR043980, CARHR044120	AL5G33670
OG0000237	CARHR238210, CARHR097380	AL3G35490
OG0000238	CARHR064140	AL2G30310
OG0000238	CARHR185670	AL6G40180
OG0000238	CARHR023530, CARHR023500, CARHR023520, CARHR023510	AL6G40330
OG0000238	CARHR064120	AL2G30370
OG0000241	CARHR228610	AL7G32050
OG0000241	CARHR252730	AL6G48290
OG0000241	CARHR107520	AL6G48310
OG0000242	CARHR102150, CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520, CARHR183240	AL3G16620
OG0000243	CARHR028880, CARHR028810	AL1G43260
OG0000244	CARHR252260, CARHR252270, CARHR252310, CARHR252320, CARHR252280	AL6G49330, AL6G48870
OG0000244	CARHR251320, CARHR252330, CARHR252290	AL6G48830
OG0000244	CARHR251330	AL6G49970, AL6G49560
OG0000246	CARHR131170, CARHR131180	AL4G32990
OG0000246	CARHR131110	AL4G32970
OG0000246	CARHR131140, CARHR131130, CARHR131150, CARHR131160	AL4G32980
OG0000247	CARHR291820	AL7G52080
OG0000247	CARHR217360	AL7G25460
OG0000247	CARHR263700	AL8G22470, AL5G29460
OG0000247	CARHR101580, CARHR101880, CARHR101530	AL3G40220, AL3G40940, AL3G40610
OG0000248	CARHR063140	AL2G29310
OG0000248	CARHR063150	AL2G29280
OG0000248	CARHR063130	AL5G35460
OG0000250	CARHR252250	AL6G48650
OG0000251	CARHR147300	AL5G15050, AL5G15060, AL5G15070
OG0000251	CARHR147330	AL5G15090
OG0000251	CARHR147340	AL5G15100
OG0000251	CARHR271060	AL8G33230
OG0000252	CARHR230420	AL7G20350
OG0000252	CARHR048360, CARHR048350, CARHR048370	AL2G12370, AL2G12360
OG0000252	CARHR071040	AL2G37720
OG0000252	CARHR071060, CARHR071050	AL2G37740
OG0000253	CARHR087080	AL3G24230
OG0000253	CARHR083850	AL3G20620
OG0000253	CARHR000060, CARHR229590	AL1G19520
OG0000253	CARHR210880	AL6G11740
OG0000254	CARHR290080	AL7G39720
OG0000254	CARHR290060, CARHR290070	AL7G39760
OG0000254	CARHR290100	AL7G39740
OG0000256	CARHR024770	AL3G42640
OG0000256	CARHR099690	AL3G37010, AL3G37000
OG0000257	CARHR069250, CARHR069290, CARHR069270	AL2G35830
OG0000260	CARHR247220	AL7G11510
OG0000260	CARHR260330	AL7G51580
OG0000260	CARHR264830	AL8G26210, AL311U10010
