Orthogroup	Cardamine_hirsuta	Rorippa_islandica
OG0000022	CARHR047980	Roisl.0010s0161.1.p
OG0000022	CARHR049170	Roisl.0010s0065.1.p
OG0000022	CARHR048480, CARHR048800	Roisl.0010s0092.1.p
OG0000022	CARHR048840	Roisl.0010s0088.1.p
OG0000022	CARHR048440, CARHR047970	Roisl.0008s0013.1.p
OG0000022	CARHR048820	Roisl.0008s0014.1.p
OG0000022	CARHR051020, CARHR048770	Roisl.0010s0121.1.p
OG0000022	CARHR048220	Roisl.0028s0598.1.p
OG0000022	CARHR049120	Roisl.0010s0069.1.p
OG0000022	CARHR013000	Roisl.0021s0361.1.p
OG0000022	CARHR012910	Roisl.0021s0350.1.p
OG0000022	CARHR046360	Roisl.0050s0030.1.p
OG0000022	CARHR046370	Roisl.0050s0031.1.p
OG0000022	CARHR213210	Roisl.0009s0109.1.p
OG0000022	CARHR091960	Roisl.0074s0275.1.p
OG0000024	CARHR113190	Roisl.0213s0506.1.p
OG0000024	CARHR112760	Roisl.0204s0165.1.p, Roisl.0204s0164.1.p
OG0000024	CARHR031540	Roisl.0213s0508.1.p, Roisl.0213s0507.1.p
OG0000024	CARHR062310	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p
OG0000024	CARHR168020	Roisl.0026s0117.1.p
OG0000024	CARHR167830	Roisl.0026s0135.1.p
OG0000024	CARHR148710	Roisl.0011s0535.1.p
OG0000024	CARHR030440	Roisl.0011s0534.1.p
OG0000024	CARHR030410, CARHR045190	Roisl.0006s0183.1.p
OG0000025	CARHR288360	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p
OG0000026	CARHR104160	Roisl.0213s0871.1.p
OG0000027	CARHR264010, CARHR255080	Roisl.0213s0580.1.p
OG0000027	CARHR255070	Roisl.0213s0582.1.p
OG0000027	CARHR255010	Roisl.0213s0590.1.p
OG0000027	CARHR254990	Roisl.0213s0588.1.p
OG0000027	CARHR057450	Roisl.0008s0130.1.p
OG0000027	CARHR230660	Roisl.0008s0132.1.p
OG0000027	CARHR230470, CARHR230480	Roisl.0184s0130.1.p
OG0000027	CARHR230460, CARHR230450	Roisl.0184s0131.1.p
OG0000027	CARHR230500	Roisl.0184s0126.1.p
OG0000027	CARHR230410	Roisl.0008s0080.1.p
OG0000027	CARHR230400, CARHR230390	Roisl.0008s0079.1.p
OG0000027	CARHR230300	Roisl.0008s0069.1.p
OG0000027	CARHR230280, CARHR230310	Roisl.0008s0070.1.p
OG0000027	CARHR055330	Roisl.0008s0076.1.p
OG0000028	CARHR285330	Roisl.0080s0376.1.p
OG0000028	CARHR220000	Roisl.0075s0121.1.p
OG0000028	CARHR289310	Roisl.0210s1185.1.p
OG0000028	CARHR242640, CARHR242590	Roisl.0001s0017.1.p, Roisl.0001s0010.1.p
OG0000028	CARHR269260	Roisl.0080s0746.1.p, Roisl.0080s0747.1.p
OG0000028	CARHR267690	Roisl.0052s0006.1.p, Roisl.0052s0007.1.p
OG0000028	CARHR242050	Roisl.0008s0342.1.p
OG0000028	CARHR242060	Roisl.0001s0209.1.p
OG0000028	CARHR281120	Roisl.0024s0660.1.p
OG0000029	CARHR056480, CARHR153130	Roisl.0046s0705.1.p
OG0000029	CARHR116610, CARHR153140	Roisl.0210s0592.1.p, Roisl.0046s0704.1.p
OG0000030	CARHR060010, CARHR059990	Roisl.0019s0830.1.p, Roisl.0019s0831.1.p
OG0000030	CARHR134370	Roisl.0115s0300.1.p
OG0000030	CARHR162370	Roisl.0046s0733.1.p
OG0000030	CARHR260760, CARHR260790	Roisl.0053s0027.1.p, Roisl.0060s0006.1.p
OG0000030	CARHR158520, CARHR158510, CARHR158530	Roisl.0046s0887.1.p
OG0000030	CARHR223800	Roisl.0091s0621.1.p
OG0000030	CARHR088860, CARHR095910, CARHR026350	Roisl.0046s0886.1.p
OG0000030	CARHR154640	Roisl.0209s0322.1.p, Roisl.0209s0320.1.p, Roisl.0209s0318.1.p
OG0000032	CARHR158150, CARHR057520, CARHR108030, CARHR217640	Roisl.0021s0539.1.p, Roisl.0184s0186.1.p
OG0000032	CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550	Roisl.0005s0192.1.p
OG0000034	CARHR230270, CARHR230290	Roisl.0008s0068.1.p
OG0000034	CARHR055320	Roisl.0008s0077.1.p
OG0000034	CARHR228050	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p
OG0000034	CARHR228010, CARHR228060, CARHR228080, CARHR228070	Roisl.0091s0191.1.p
OG0000034	CARHR289950	Roisl.0091s0190.1.p
OG0000034	CARHR106160	Roisl.0191s0566.1.p
OG0000034	CARHR255000	Roisl.0213s0592.1.p
OG0000034	CARHR230320	Roisl.0008s0074.1.p
OG0000034	CARHR230230, CARHR230200	Roisl.0214s0905.1.p
OG0000035	CARHR034500, CARHR120350, CARHR104490	Roisl.0213s0218.1.p
OG0000035	CARHR216710	Roisl.0038s0018.1.p
OG0000035	CARHR153260, CARHR182390	Roisl.0082s0037.1.p
OG0000038	CARHR187570	Roisl.0046s1474.1.p, Roisl.0055s0039.1.p
OG0000038	CARHR259820	Roisl.0024s0539.1.p
OG0000042	CARHR116060, CARHR260310	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p
OG0000043	CARHR181910, CARHR111550, CARHR213150	Roisl.0023s0085.1.p
OG0000044	CARHR289560, CARHR289640, CARHR175800, CARHR175810	Roisl.0005s0130.1.p
OG0000044	CARHR175170, CARHR175250	Roisl.0005s0269.1.p
OG0000044	CARHR175090	Roisl.0049s0007.1.p
OG0000044	CARHR292230	Roisl.0005s0161.1.p
OG0000044	CARHR175060	Roisl.0005s0268.1.p
OG0000044	CARHR175260	Roisl.0055s0047.1.p, Roisl.0055s0046.1.p, Roisl.0012s0357.1.p
OG0000044	CARHR174840	Roisl.0005s0126.1.p, Roisl.0005s0170.1.p, Roisl.0005s0128.1.p, Roisl.0005s0129.1.p
OG0000044	CARHR116330	Roisl.0023s0042.1.p, Roisl.0013s0028.1.p, Roisl.0023s0041.1.p, Roisl.0023s0044.1.p, Roisl.0023s0043.1.p
OG0000044	CARHR195110	Roisl.0210s1498.1.p
OG0000044	CARHR222980, CARHR290490	Roisl.0005s0218.1.p
OG0000044	CARHR223500	Roisl.0091s0682.1.p, Roisl.0091s0647.1.p
OG0000044	CARHR222470	Roisl.0002s0057.1.p
OG0000046	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330, CARHR116100, CARHR183570, CARHR057390, CARHR107370, CARHR152970	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p
OG0000046	CARHR159290	Roisl.0029s0014.1.p
OG0000046	CARHR286710	Roisl.0005s0329.1.p
OG0000046	CARHR217190	Roisl.0015s0173.1.p
OG0000047	CARHR257880	Roisl.0029s0050.1.p, Roisl.0066s0352.1.p, Roisl.0038s0004.1.p, Roisl.0214s0886.1.p
OG0000048	CARHR054750	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p
OG0000048	CARHR042940	Roisl.0006s0337.1.p
OG0000048	CARHR125110	Roisl.0017s0510.1.p
OG0000048	CARHR126110	Roisl.0028s0615.1.p
OG0000050	CARHR154060	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000050	CARHR071180, CARHR153550	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p
OG0000051	CARHR127280	Roisl.0028s0722.1.p
OG0000051	CARHR256260	Roisl.0020s0125.1.p, Roisl.0020s0130.1.p, Roisl.0020s0124.1.p
OG0000051	CARHR137550, CARHR137540	Roisl.0189s0079.1.p
OG0000052	CARHR148030	Roisl.0011s0477.1.p, Roisl.0209s0363.1.p
OG0000052	CARHR148020	Roisl.0011s0478.1.p
OG0000052	CARHR065210	Roisl.0019s0256.1.p
OG0000052	CARHR065340	Roisl.0019s0270.1.p
OG0000052	CARHR150860	Roisl.0011s0480.1.p
OG0000052	CARHR157840	Roisl.0046s0692.1.p
OG0000052	CARHR148050, CARHR278920, CARHR148010, CARHR065350	Roisl.0011s0479.1.p
OG0000054	CARHR218450	Roisl.0191s0715.1.p, Roisl.0058s0107.1.p
OG0000054	CARHR153240	Roisl.0189s0042.1.p, Roisl.0209s0109.1.p, Roisl.0046s0256.1.p
OG0000055	CARHR100810	Roisl.0053s0213.1.p
OG0000055	CARHR107470, CARHR177430	Roisl.0001s0543.1.p
OG0000055	CARHR192030	Roisl.0210s1750.1.p, Roisl.0210s1827.1.p
OG0000055	CARHR096180, CARHR096160	Roisl.0115s0560.1.p
OG0000055	CARHR092560, CARHR092720	Roisl.0074s0202.1.p
OG0000055	CARHR108270	Roisl.0053s0284.1.p
OG0000055	CARHR092150, CARHR092000	Roisl.0074s0270.1.p
OG0000055	CARHR108730	Roisl.0066s0141.1.p, Roisl.0066s0140.1.p
OG0000055	CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370	Roisl.0028s0608.1.p
OG0000055	CARHR092630, CARHR092620, CARHR213520	Roisl.0074s0210.1.p
OG0000056	CARHR050320	Roisl.0209s0766.1.p
OG0000056	CARHR050310	Roisl.0209s0767.1.p, Roisl.0209s0613.1.p, Roisl.0209s0764.1.p
OG0000056	CARHR050060	Roisl.0019s0009.1.p
OG0000056	CARHR050220	Roisl.0209s0621.1.p
OG0000056	CARHR049970	Roisl.0209s0593.1.p
OG0000056	CARHR049990, CARHR050000	Roisl.0209s0606.1.p, Roisl.0209s0600.1.p
OG0000056	CARHR050280, CARHR049980, CARHR050290	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p
OG0000056	CARHR155600	Roisl.0209s0402.1.p
OG0000059	CARHR044830	Roisl.0019s0251.1.p
OG0000059	CARHR286550	Roisl.0209s0123.1.p
OG0000059	CARHR102470, CARHR152130	Roisl.0214s0002.1.p
OG0000060	CARHR007630, CARHR121870	Roisl.0080s0272.1.p
OG0000060	CARHR154290	Roisl.0046s1351.1.p
OG0000060	CARHR163630	Roisl.0209s0295.1.p
OG0000060	CARHR154770	Roisl.0082s0647.1.p
OG0000061	CARHR228580	Roisl.0045s0092.1.p
OG0000061	CARHR252580	Roisl.0082s0253.1.p
OG0000061	CARHR215660	Roisl.0210s2205.1.p
OG0000061	CARHR123070	Roisl.0033s0063.1.p, Roisl.0033s0004.1.p
OG0000064	CARHR054420, CARHR289730, CARHR289690	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p
OG0000065	CARHR059090, CARHR059230, CARHR059320, CARHR124320	Roisl.0024s0085.1.p
OG0000065	CARHR059130	Roisl.0024s0067.1.p
OG0000065	CARHR059070	Roisl.0024s0060.1.p
OG0000065	CARHR059270, CARHR059250	Roisl.0024s0073.1.p
OG0000065	CARHR059080	Roisl.0024s0063.1.p
OG0000065	CARHR059360, CARHR263420	Roisl.0024s0076.1.p
OG0000065	CARHR059200	Roisl.0024s0070.1.p
OG0000065	CARHR214380	Roisl.0046s0031.1.p
OG0000065	CARHR214430	Roisl.0046s0037.1.p, Roisl.0046s0036.1.p
OG0000065	CARHR214400	Roisl.0046s0034.1.p
OG0000065	CARHR263400	Roisl.0213s0852.1.p
OG0000066	CARHR279310	Roisl.0210s0757.1.p
OG0000066	CARHR279320, CARHR202900	Roisl.0024s0428.1.p
OG0000066	CARHR058350, CARHR096450	Roisl.0214s0604.1.p, Roisl.0214s0606.1.p
OG0000066	CARHR069000	Roisl.0004s0335.1.p
OG0000066	CARHR202310	Roisl.0001s0457.1.p
OG0000068	CARHR210960	Roisl.0034s0163.1.p
OG0000068	CARHR210190	Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p
OG0000069	CARHR264470	Roisl.0035s0070.1.p, Roisl.0115s0262.1.p
OG0000069	CARHR179320, CARHR005970, CARHR007830	Roisl.0091s1149.1.p
OG0000069	CARHR070150	Roisl.0019s0342.1.p
OG0000070	CARHR010350	Roisl.0021s0078.1.p
OG0000070	CARHR145510	Roisl.0011s0203.1.p
OG0000070	CARHR145520	Roisl.0011s0205.1.p
OG0000070	CARHR020650	Roisl.0007s0115.1.p
OG0000070	CARHR069500	Roisl.0004s0297.1.p
OG0000070	CARHR284690	Roisl.0075s0011.1.p
OG0000075	CARHR247180	Roisl.0214s0076.1.p, Roisl.0001s0517.1.p
OG0000075	CARHR247150	Roisl.0001s0515.1.p
OG0000075	CARHR221070	Roisl.0002s0267.1.p, Roisl.0002s0266.1.p
OG0000075	CARHR247140	Roisl.0001s0513.1.p
OG0000075	CARHR247160	Roisl.0001s0516.1.p
OG0000075	CARHR286190, CARHR286200, CARHR286160, CARHR285960	Roisl.0006s0180.1.p
OG0000075	CARHR105240	Roisl.0046s1458.1.p
OG0000075	CARHR164670, CARHR164660, CARHR174400	Roisl.0046s0019.1.p
OG0000076	CARHR247830	Roisl.0115s0707.1.p
OG0000076	CARHR127180	Roisl.0028s0782.1.p
OG0000076	CARHR176370	Roisl.0005s0283.1.p, Roisl.0005s0282.1.p
OG0000077	CARHR177040	Roisl.0005s0349.1.p, Roisl.0012s0164.1.p
OG0000077	CARHR177280	Roisl.0005s0357.1.p
OG0000077	CARHR112190	Roisl.0005s0358.1.p, Roisl.0005s0330.1.p
OG0000077	CARHR254940	Roisl.0213s0591.1.p
OG0000077	CARHR177080	Roisl.0213s0589.1.p
OG0000077	CARHR054510	Roisl.0214s0841.1.p, Roisl.0214s0839.1.p
OG0000077	CARHR176420	Roisl.0005s0288.1.p
OG0000077	CARHR145630	Roisl.0011s0224.1.p
OG0000077	CARHR145650	Roisl.0011s0230.1.p
OG0000077	CARHR145640	Roisl.0214s0216.1.p, Roisl.0011s0228.1.p, Roisl.0011s0225.1.p, Roisl.0011s0220.1.p, Roisl.0011s0216.1.p
OG0000077	CARHR009640	Roisl.0021s0004.1.p
OG0000078	CARHR077930	Roisl.0016s0323.1.p
OG0000078	CARHR077950	Roisl.0016s0321.1.p
OG0000078	CARHR077940	Roisl.0016s0324.1.p
OG0000078	CARHR194990, CARHR195030, CARHR195060, CARHR195010	Roisl.0210s1509.1.p, Roisl.0210s1512.1.p, Roisl.0210s1510.1.p, Roisl.0210s1507.1.p, Roisl.0210s1503.1.p, Roisl.0210s1513.1.p
OG0000079	CARHR180710	Roisl.0115s0280.1.p, Roisl.0075s0090.1.p
OG0000079	CARHR151670, CARHR119610	Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p
OG0000079	CARHR256350	Roisl.0091s0481.1.p, Roisl.0058s0024.1.p
OG0000081	CARHR264280	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p
OG0000081	CARHR258030	Roisl.0184s0010.1.p, Roisl.0010s0050.1.p, Roisl.0003s0246.1.p, Roisl.0031s0106.1.p, Roisl.0001s0536.1.p, Roisl.0050s0003.1.p
OG0000086	CARHR214810	Roisl.0032s0023.1.p, Roisl.0032s0021.1.p, Roisl.0032s0018.1.p, Roisl.0032s0016.1.p
OG0000086	CARHR276580	Roisl.0024s0148.1.p
OG0000086	CARHR272990	Roisl.0032s0025.1.p
OG0000086	CARHR214830	Roisl.0214s0709.1.p
OG0000086	CARHR214840	Roisl.0032s0024.1.p
OG0000086	CARHR214790, CARHR214760	Roisl.0032s0015.1.p
OG0000086	CARHR058600	Roisl.0024s0029.1.p
OG0000086	CARHR058690	Roisl.0024s0030.1.p, Roisl.0209s0075.1.p
OG0000089	CARHR189700	Roisl.0210s2052.1.p
OG0000089	CARHR155480	Roisl.0209s0395.1.p
OG0000089	CARHR122890	Roisl.0082s0748.1.p
OG0000089	CARHR200860	Roisl.0210s0950.1.p
OG0000089	CARHR178800	Roisl.0012s0263.1.p
OG0000089	CARHR227450	Roisl.0091s0246.1.p
OG0000089	CARHR128920	Roisl.0028s0886.1.p
OG0000089	CARHR020480	Roisl.0007s0134.1.p
OG0000089	CARHR069200	Roisl.0004s0314.1.p
OG0000090	CARHR116840	Roisl.0053s0434.1.p, Roisl.0115s0613.1.p, Roisl.0013s0212.1.p, Roisl.0005s0146.1.p, Roisl.0213s0677.1.p, Roisl.0055s0040.1.p, Roisl.0184s0124.1.p, Roisl.0209s0078.1.p, Roisl.0188s0027.1.p, Roisl.0210s2141.1.p, Roisl.0189s0077.1.p, Roisl.0048s0025.1.p, Roisl.0214s0266.1.p, Roisl.0037s0059.1.p, Roisl.0189s0230.1.p, Roisl.0029s0078.1.p, Roisl.0209s0509.1.p, Roisl.0214s0183.1.p, Roisl.0045s0052.1.p
OG0000090	CARHR259920	Roisl.0214s0234.1.p, Roisl.0214s0277.1.p, Roisl.0209s0077.1.p
OG0000091	CARHR155740	Roisl.0209s0425.1.p
OG0000091	CARHR156270	Roisl.0209s0469.1.p
OG0000091	CARHR155710, CARHR155700	Roisl.0209s0420.1.p
OG0000091	CARHR156220, CARHR156240	Roisl.0209s0418.1.p
OG0000091	CARHR155720	Roisl.0209s0427.1.p
OG0000091	CARHR192340	Roisl.0210s1772.1.p
OG0000091	CARHR192330	Roisl.0210s1773.1.p
OG0000091	CARHR262970	Roisl.0214s0193.1.p
OG0000092	CARHR216170	Roisl.0023s0051.1.p, Roisl.0066s0339.1.p
OG0000092	CARHR225740	Roisl.0066s0386.1.p
OG0000092	CARHR292670, CARHR261170, CARHR286110	Roisl.0214s0403.1.p, Roisl.0195s0026.1.p, Roisl.0046s1255.1.p
OG0000092	CARHR150900	Roisl.0075s0014.1.p
OG0000092	CARHR257050	Roisl.0023s0050.1.p
OG0000092	CARHR035170	Roisl.0213s0052.1.p
OG0000092	CARHR035160	Roisl.0082s0460.1.p
OG0000092	CARHR150890	Roisl.0201s0004.1.p
OG0000092	CARHR286120	Roisl.0214s0045.1.p, Roisl.0012s0243.1.p
OG0000092	CARHR152920	Roisl.0066s0385.1.p, Roisl.0204s0106.1.p
OG0000092	CARHR293270	Roisl.0056s0047.1.p, Roisl.0056s0055.1.p, Roisl.0115s0570.1.p
OG0000095	CARHR117030	Roisl.0214s0044.1.p
OG0000095	CARHR118620	Roisl.0214s0043.1.p
OG0000095	CARHR117020	Roisl.0214s0042.1.p
OG0000095	CARHR116980, CARHR117870, CARHR117890	Roisl.0214s0031.1.p
OG0000095	CARHR116940	Roisl.0214s0037.1.p
OG0000095	CARHR117860	Roisl.0004s0005.1.p
OG0000096	CARHR120290	Roisl.0204s0041.1.p
OG0000096	CARHR120300	Roisl.0204s0039.1.p, Roisl.0204s0044.1.p
OG0000096	CARHR084920	Roisl.0001s0531.1.p, Roisl.0074s0979.1.p
OG0000096	CARHR248580	Roisl.0028s0613.1.p
OG0000096	CARHR093690	Roisl.0074s0096.1.p
OG0000096	CARHR094810, CARHR094850	Roisl.0028s0009.1.p
OG0000096	CARHR094860, CARHR094840	Roisl.0028s0010.1.p
OG0000096	CARHR101790	Roisl.0074s0977.1.p
OG0000096	CARHR159080	Roisl.0029s0028.1.p, Roisl.0046s0939.1.p, Roisl.0046s0941.1.p, Roisl.0046s0938.1.p, Roisl.0046s0937.1.p
OG0000098	CARHR103960	Roisl.0038s0014.1.p
OG0000098	CARHR046250	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p
OG0000098	CARHR174970	Roisl.0006s0130.1.p
OG0000098	CARHR253270	Roisl.0038s0015.1.p, Roisl.0038s0016.1.p
OG0000098	CARHR188180	Roisl.0082s0469.1.p
OG0000100	CARHR047180	Roisl.0050s0117.1.p
OG0000100	CARHR050870	Roisl.0209s0693.1.p
OG0000100	CARHR055030	Roisl.0008s0042.1.p, Roisl.0008s0041.1.p, Roisl.0008s0048.1.p
OG0000100	CARHR047580, CARHR047440, CARHR261260, CARHR047450	Roisl.0214s0220.1.p
OG0000100	CARHR051270, CARHR051280, CARHR051250	Roisl.0209s0720.1.p
OG0000100	CARHR047730	Roisl.0209s0070.1.p
OG0000100	CARHR047140	Roisl.0010s0201.1.p
OG0000100	CARHR047270, CARHR047210, CARHR149280, CARHR047170, CARHR047230	Roisl.0050s0114.1.p
OG0000102	CARHR252050	Roisl.0082s0311.1.p, Roisl.0082s0312.1.p
OG0000102	CARHR252110, CARHR252090	Roisl.0082s0310.1.p
OG0000105	CARHR077960	Roisl.0016s0342.1.p, Roisl.0214s0835.1.p
OG0000105	CARHR181190, CARHR228760	Roisl.0210s0842.1.p
OG0000105	CARHR106060	Roisl.0046s0013.1.p, Roisl.0045s0038.1.p
OG0000105	CARHR175270	Roisl.0005s0168.1.p
OG0000105	CARHR175110	Roisl.0005s0149.1.p
OG0000105	CARHR175150	Roisl.0005s0162.1.p
OG0000105	CARHR222460	Roisl.0005s0217.1.p
OG0000105	CARHR288500	Roisl.0009s0041.1.p
OG0000105	CARHR047220	Roisl.0050s0109.1.p
OG0000105	CARHR215710	Roisl.0008s0044.1.p, Roisl.0021s0632.1.p
OG0000105	CARHR149270, CARHR047160	Roisl.0008s0046.1.p
OG0000105	CARHR175180, CARHR153990, CARHR256480	Roisl.0009s0283.1.p
OG0000106	CARHR183910	Roisl.0021s0082.1.p, Roisl.0046s1283.1.p, Roisl.0082s0473.1.p
OG0000107	CARHR095660	Roisl.0115s0327.1.p
OG0000107	CARHR095640	Roisl.0115s0324.1.p
OG0000107	CARHR095620	Roisl.0115s0323.1.p
OG0000107	CARHR096820, CARHR096830	Roisl.0115s0429.1.p
OG0000108	CARHR131960	Roisl.0017s0109.1.p
OG0000108	CARHR285740	Roisl.0209s0353.1.p
OG0000108	CARHR155270	Roisl.0080s0345.1.p
OG0000108	CARHR086670	Roisl.0074s0792.1.p
OG0000108	CARHR203590	Roisl.0210s0691.1.p
OG0000108	CARHR094190	Roisl.0074s0053.1.p
OG0000110	CARHR151660	Roisl.0023s0016.1.p, Roisl.0184s0022.1.p
OG0000111	CARHR155540, CARHR161910, CARHR161710, CARHR161740	Roisl.0046s1166.1.p
OG0000111	CARHR161700, CARHR161720	Roisl.0091s0649.1.p
OG0000111	CARHR148290	Roisl.0009s0044.1.p, Roisl.0057s0030.1.p, Roisl.0057s0027.1.p, Roisl.0210s2207.1.p, Roisl.0013s0027.1.p
OG0000114	CARHR258830, CARHR283860	Roisl.0195s0034.1.p, Roisl.0082s0484.1.p
OG0000114	CARHR118270	Roisl.0024s0009.1.p
OG0000114	CARHR287300	Roisl.0179s0081.1.p
OG0000117	CARHR023940	Roisl.0191s0190.1.p
OG0000117	CARHR023950	Roisl.0191s0191.1.p
OG0000118	CARHR101240, CARHR101220	Roisl.0053s0176.1.p, Roisl.0053s0177.1.p, Roisl.0053s0178.1.p
OG0000118	CARHR133050	Roisl.0012s0130.1.p
OG0000118	CARHR115930, CARHR115940, CARHR115970	Roisl.0023s0087.1.p, Roisl.0023s0086.1.p
OG0000118	CARHR133070	Roisl.0017s0203.1.p
OG0000118	CARHR133060	Roisl.0017s0206.1.p
OG0000118	CARHR099660	Roisl.0053s0217.1.p, Roisl.0053s0316.1.p
OG0000118	CARHR078400	Roisl.0006s0120.1.p
OG0000118	CARHR189820	Roisl.0210s2038.1.p
OG0000118	CARHR102680	Roisl.0025s0059.1.p
