Orthogroup	Cardamine_hirsuta	Brassica_oleracea
OG0000022	CARHR234420	XP_013590021.1
OG0000022	CARHR196550	XP_013611057.1
OG0000022	CARHR049170	XP_013606456.1
OG0000022	CARHR045470, CARHR051030, CARHR048220, CARHR049120	XP_013606166.1
OG0000022	CARHR013000	XP_013601047.1
OG0000022	CARHR012910	XP_013604688.1
OG0000022	CARHR213210	XP_013635968.1
OG0000022	CARHR091960	XP_013609571.1
OG0000024	CARHR062310	XP_013632478.1
OG0000024	CARHR168020, CARHR167830	XP_013605203.1
OG0000024	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190	XP_013624897.1
OG0000025	CARHR288360	XP_013617956.1
OG0000026	CARHR104160	XP_013624845.1, XP_013617677.1, XP_013639735.1, XP_013614002.1, XP_013608308.1
OG0000027	CARHR255050	XP_013608009.1
OG0000027	CARHR255040	XP_013608654.1
OG0000027	CARHR255010, CARHR263990, CARHR255060, CARHR254990	XP_013624060.1
OG0000027	CARHR057450	XP_013598807.1
OG0000027	CARHR230660	XP_013598703.1, XP_013598794.1, XP_013598729.1
OG0000027	CARHR230630	XP_013595256.1
OG0000027	CARHR230460	XP_013595247.1
OG0000027	CARHR230450	XP_013598658.1
OG0000027	CARHR230510	XP_013626010.1
OG0000027	CARHR230500	XP_013626677.1
OG0000027	CARHR230400, CARHR230390	XP_013625142.1
OG0000027	CARHR254870	XP_013617506.1
OG0000027	CARHR230440	XP_013598637.1
OG0000027	CARHR230580	XP_013595104.1
OG0000028	CARHR220000, CARHR100780	XP_013597573.1, XP_013621193.1, XP_013608141.1, XP_013596721.1, XP_013597575.1
OG0000028	CARHR030090, CARHR289310	XP_013629713.1, XP_013626427.1, XP_013624984.1, XP_013624985.1, XP_013609443.1, XP_013625644.1, XP_013629798.1
OG0000028	CARHR267520, CARHR267660	XP_013619743.1, XP_013619793.1, XP_013617023.1, XP_013636546.1, XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013619638.1, XP_013620896.1, XP_013615558.1
OG0000028	CARHR242050	XP_013614694.1, XP_013624781.1, XP_013626875.1
OG0000028	CARHR244240	XP_013614695.1, XP_013624780.1, XP_013624779.1
OG0000028	CARHR267700	XP_013617015.1, XP_013617014.1
OG0000029	CARHR056480, CARHR153130	XP_013617135.1, XP_013615424.1
OG0000029	CARHR116610, CARHR153140	XP_013589171.1, XP_013614958.1, XP_013594720.1, XP_013615262.1, XP_013594302.1
OG0000030	CARHR134370	XP_013615042.1
OG0000030	CARHR025790, CARHR162370, CARHR260760, CARHR260790	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1
OG0000030	CARHR088860, CARHR095910, CARHR026350	XP_013634175.1, XP_013615698.1, XP_013593493.1
OG0000032	CARHR158150, CARHR057520, CARHR108030, CARHR217640	XP_013638158.1
OG0000032	CARHR289940	XP_013630351.1, XP_013601247.1, XP_013624230.1, XP_013632617.1, XP_013614355.1
OG0000032	CARHR284240	XP_013601246.1
OG0000034	CARHR230270, CARHR230290	XP_013595252.1, XP_013595253.1, XP_013598717.1
OG0000034	CARHR230240	XP_013595249.1
OG0000034	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070	XP_013594180.1
OG0000034	CARHR289950	XP_013598071.1
OG0000034	CARHR106160	XP_013611706.1
OG0000034	CARHR230230, CARHR230200	XP_013593131.1, XP_013626222.1
OG0000034	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650	XP_013598676.1
OG0000035	CARHR034500, CARHR120350, CARHR104490	XP_013636991.1, XP_013607885.1, XP_013618965.1
OG0000038	CARHR187570	XP_013601144.1, YP_004927454.1
OG0000038	CARHR259820	XP_013608254.1
OG0000039	CARHR184170	XP_013617482.1, XP_013617341.1
OG0000042	CARHR116060, CARHR260310	XP_013589127.1, XP_013624490.1
OG0000042	CARHR181500	XP_013598956.1
OG0000044	CARHR174840	XP_013628727.1
OG0000044	CARHR116350	XP_013624330.1
OG0000046	CARHR159290, CARHR150320, CARHR273180, CARHR286710, CARHR217190, CARHR117470	XP_013633177.1
OG0000047	CARHR257880	XP_013617583.1, XP_013594417.1, XP_013624590.1, XP_013594346.1, XP_013628856.1, XP_013614062.1, XP_013639583.1, XP_013617593.1, XP_013601233.1, XP_013639614.1, XP_013601190.1, XP_013632786.1, XP_013614080.1, XP_013594473.1, XP_013589247.1, XP_013632754.1, XP_013614636.1, XP_013617455.1, XP_013639658.1, XP_013608048.1, XP_013608046.1, XP_013639728.1, XP_013594618.1, XP_013608033.1, XP_013608211.1, XP_013607947.1, XP_013627916.1, XP_013624649.1, XP_013617457.1, XP_013594508.1, XP_013628886.1, XP_013594416.1, XP_013614878.1, XP_013613732.1, XP_013624624.1, XP_013594495.1, XP_013594509.1, XP_013628330.1, XP_013632748.1, XP_013613700.1, XP_013594348.1, XP_013594344.1, XP_013601121.1, XP_013639714.1, XP_013624583.1, XP_013624431.1, XP_013633404.1, XP_013588883.1, XP_013594571.1, XP_013632795.1, XP_013624586.1, XP_013613730.1, XP_013624575.1, XP_013613469.1, XP_013639543.1, XP_013608051.1, XP_013601262.1, XP_013594511.1, XP_013613572.1, XP_013628021.1, XP_013617532.1, XP_013594664.1, XP_013617638.1, XP_013608316.1, XP_013594347.1, XP_013624567.1, XP_013594342.1, XP_013608032.1, XP_013594569.1, XP_013614063.1, XP_013614003.1, XP_013601163.1, XP_013624577.1, XP_013639711.1, XP_013632837.1, XP_013594494.1, XP_013607922.1, XP_013594345.1, XP_013594469.1, XP_013624607.1, XP_013601293.1, XP_013624644.1, XP_013617456.1, XP_013624589.1
OG0000048	CARHR054750	XP_013634025.1
OG0000048	CARHR125110	XP_013610681.1, XP_013633506.1, XP_013633508.1, XP_013632602.1, XP_013634597.1, XP_013634026.1
OG0000049	CARHR220930	XP_013628097.1, XP_013589081.1, XP_013594357.1, XP_013633424.1, XP_013617620.1
OG0000050	CARHR071180, CARHR153550	XP_013624860.1, XP_013588991.1, XP_013615054.1, XP_013639112.1, XP_013608470.1, XP_013633275.1, XP_013607553.1, XP_013624461.1, XP_013633665.1, XP_013627137.1, XP_013617208.1, XP_013594936.1, XP_013601380.1, XP_013589499.1, XP_013615086.1, XP_013617130.1
OG0000051	CARHR002800	XP_013609148.1, XP_013623987.1, XP_013601904.1
OG0000051	CARHR109310	XP_013589464.1, XP_013610001.1
OG0000051	CARHR127280	XP_013623984.1
OG0000051	CARHR256260	XP_013635332.1, XP_013615889.1, XP_013635943.1, XP_013615847.1, XP_013635331.1
OG0000051	CARHR137540	XP_013610546.1
OG0000052	CARHR148060	XP_013594927.1, XP_013594267.1
OG0000052	CARHR065210, CARHR065340, CARHR278910, CARHR148040, CARHR150860	XP_013610604.1
OG0000052	CARHR162490, CARHR162550	XP_013615703.1, XP_013630964.1
OG0000052	CARHR162560, CARHR162540, CARHR162510, CARHR162500, CARHR162570	XP_013607524.1
OG0000054	CARHR218450	XP_013594475.1
OG0000054	CARHR218070, CARHR104410, CARHR182000, CARHR219040, CARHR221160, CARHR284340, CARHR057830, CARHR034710	XP_013615172.1
OG0000054	CARHR153240	XP_013632708.1, XP_013617215.1, XP_013589020.1, XP_013615283.1, XP_013614144.1
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	XP_013623695.1, XP_013623796.1, XP_013628424.1, XP_013606594.1, XP_013593729.1
OG0000055	CARHR222490, CARHR100820	XP_013589549.1
OG0000055	CARHR149840	XP_013627468.1
OG0000055	CARHR111010	XP_013609840.1
OG0000056	CARHR155600	XP_013615259.1, XP_013588767.1, XP_013611134.1, XP_013628196.1
OG0000059	CARHR293330, CARHR148640, CARHR151940, CARHR118340	XP_013617450.1, XP_013594582.1, XP_013632782.1, XP_013601567.1, XP_013639634.1, XP_013624930.1
OG0000059	CARHR286550, CARHR102470, CARHR152130	XP_013610732.1, XP_013627758.1, XP_013597073.1
OG0000061	CARHR270010	XP_013615973.1
OG0000061	CARHR039590	XP_013615702.1
OG0000061	CARHR098800, CARHR037540	XP_013614367.1
OG0000061	CARHR123140	XP_013633314.1
OG0000061	CARHR123070	XP_013635264.1
OG0000061	CARHR151510, CARHR219570	XP_013639701.1
OG0000064	CARHR050760, CARHR273290, CARHR054420, CARHR289730, CARHR289690	XP_013610623.1, XP_013607250.1, XP_013610669.1, XP_013607249.1, XP_013607956.1, XP_013607248.1, XP_013607251.1, XP_013610335.1, XP_013610576.1, XP_013610543.1, XP_013610675.1, XP_013610622.1
OG0000065	CARHR214320	XP_013632687.1
OG0000065	CARHR059230, CARHR059320, CARHR124320	XP_013603316.1
OG0000065	CARHR059260, CARHR059160	XP_013613925.1
OG0000065	CARHR059130, CARHR059070, CARHR059140	XP_013591997.1
OG0000065	CARHR059150	XP_013613911.1, XP_013615300.1, XP_013620953.1
OG0000065	CARHR059360, CARHR263420	XP_013617106.1
OG0000065	CARHR059200	XP_013620956.1
OG0000065	CARHR214430, CARHR214400	XP_013592178.1
OG0000065	CARHR263400, CARHR263410	XP_013635767.1
OG0000066	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160	XP_013606481.1, XP_013621521.1, XP_013609086.1, XP_013631332.1, XP_013599938.1, XP_013637372.1, XP_013618388.1
OG0000066	CARHR202310	XP_013587978.1, XP_013629194.1, XP_013612748.1, XP_013612488.1, XP_013607869.1
OG0000068	CARHR210960	XP_013610551.1, XP_013611652.1, XP_013606907.1, XP_013623793.1, XP_013626885.1
OG0000069	CARHR264470	XP_013629093.1, XP_013626856.1
OG0000069	CARHR264460	XP_013595072.1, XP_013595074.1, XP_013593308.1, XP_013595679.1, XP_013628142.1, XP_013616556.1, XP_013617153.1, XP_013616555.1, XP_013624438.1, XP_013599129.1
OG0000069	CARHR070150	XP_013594576.1
OG0000070	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	XP_013620477.1, XP_013596659.1, XP_013610618.1
OG0000070	CARHR020650	XP_013628560.1
OG0000070	CARHR069500	XP_013591920.1, XP_013588434.1, XP_013616229.1
OG0000072	CARHR049910, CARHR219260, CARHR119870, CARHR260200	XP_013596572.1, XP_013614874.1
OG0000072	CARHR292290	XP_013601558.1, XP_013632954.1, XP_013629486.1, XP_013638947.1, XP_013617766.1, XP_013627136.1, XP_013639732.1, XP_013626954.1, XP_013607741.1, XP_013633059.1, XP_013607606.1, XP_013632733.1, XP_013623893.1, XP_013617628.1
OG0000075	CARHR247180	XP_013602439.1, XP_013596173.1, XP_013602527.1, XP_013622394.1, XP_013618964.1, XP_013619645.1
OG0000075	CARHR247150, CARHR221070, CARHR247140	XP_013596175.1
OG0000076	CARHR247830	XP_013598018.1
OG0000076	CARHR260300	XP_013632642.1, XP_013635482.1, XP_013627588.1, XP_013635116.1, XP_013628026.1, XP_013632670.1, XP_013632671.1, XP_013602531.1, XP_013617119.1
OG0000077	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080	XP_013623925.1, XP_013617650.1
OG0000077	CARHR112200	XP_013624423.1
OG0000077	CARHR288740, CARHR145630	XP_013619910.1
OG0000077	CARHR145650, CARHR145640	XP_013594901.1
OG0000078	CARHR077950	XP_013595132.1
OG0000078	CARHR194990, CARHR195030, CARHR195060, CARHR195010	XP_013621006.1, XP_013626763.1, XP_013621468.1, XP_013621008.1, XP_013616647.1, XP_013627003.1
OG0000079	CARHR151670, CARHR119610	XP_013624775.1, XP_013594486.1
OG0000081	CARHR217030, CARHR117010	XP_013628529.1
OG0000081	CARHR264280	XP_013607575.1
OG0000081	CARHR258030	XP_013635812.1, XP_013585220.1, XP_013616683.1
OG0000082	CARHR184640	XP_013594797.1
OG0000086	CARHR214860	XP_013635533.1
OG0000086	CARHR214830	XP_013634315.1
OG0000086	CARHR058690, CARHR058660, CARHR058640, CARHR058680	XP_013590467.1
OG0000089	CARHR189700	XP_013598457.1
OG0000089	CARHR122890	XP_013637001.1, XP_013636732.1
OG0000089	CARHR200860	XP_013611442.1
OG0000089	CARHR178800	XP_013620476.1, XP_013612217.1, XP_013598244.1
OG0000089	CARHR128920	XP_013636563.1
OG0000089	CARHR069200	XP_013592047.1
OG0000091	CARHR155710, CARHR155700	XP_013593337.1
OG0000091	CARHR156220	XP_013612192.1
OG0000091	CARHR155720	XP_013624484.1, XP_013628392.1
OG0000091	CARHR192340, CARHR192330	XP_013627653.1, XP_013607358.1
OG0000091	CARHR262970	XP_013631070.1
OG0000092	CARHR180580	XP_013632624.1, XP_013632752.1
OG0000092	CARHR180960, CARHR036310	XP_013620056.1, XP_013608261.1
OG0000092	CARHR225750, CARHR035160, CARHR150890, CARHR286120, CARHR152920, CARHR180590, CARHR261190	XP_013594390.1
OG0000095	CARHR117030, CARHR118620	XP_013631674.1
OG0000095	CARHR117020	XP_013633256.1, XP_013635632.1, XP_013632293.1, XP_013633255.1
OG0000095	CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940	XP_013635569.1, XP_013637583.1
OG0000096	CARHR084920	XP_013627644.1
OG0000096	CARHR159080	XP_013631403.1
OG0000098	CARHR046250	XP_013614188.1, XP_013615334.1
OG0000098	CARHR174970	XP_013617934.1
OG0000100	CARHR047470, CARHR047430, CARHR047580, CARHR047440, CARHR261260, CARHR047450	XP_013611228.1, XP_013611226.1, XP_013608605.1
OG0000100	CARHR051270, CARHR051280, CARHR051250	XP_013608606.1, XP_013613878.1
OG0000100	CARHR047090, CARHR047300, CARHR047120	XP_013611728.1
OG0000101	CARHR154270	XP_013589176.1
OG0000101	CARHR287350	XP_013613615.1
OG0000101	CARHR183060	XP_013589292.1, XP_013604948.1
OG0000102	CARHR252130	XP_013619912.1
OG0000105	CARHR181190, CARHR228760	XP_013604666.1
OG0000105	CARHR104310	XP_013584232.1, XP_013624802.1
OG0000105	CARHR149270, CARHR047160	XP_013607642.1
OG0000106	CARHR183910	XP_013607538.1, XP_013623464.1, XP_013607453.1, XP_013639293.1, XP_013639189.1, XP_013638696.1, XP_013584692.1, XP_013639159.1, XP_013594829.1, XP_013601126.1, XP_013601850.1, XP_013626361.1, XP_013633356.1
OG0000106	CARHR055550	XP_013617293.1, XP_013623159.1, XP_013624755.1, XP_013624609.1
OG0000107	CARHR095650	XP_013635068.1, XP_013624257.1
OG0000107	CARHR095640, CARHR095620, CARHR055760	XP_013623726.1
OG0000107	CARHR095610	XP_013586700.1
OG0000107	CARHR096820, CARHR096830, CARHR097220, CARHR095680, CARHR095690, CARHR095670	XP_013639727.1
OG0000108	CARHR131960	XP_013617448.1, XP_013629514.1, XP_013636515.1, XP_013636180.1
OG0000108	CARHR285740	XP_013623319.1
OG0000108	CARHR086670	XP_013587485.1
OG0000108	CARHR203590	XP_013611822.1, XP_013629368.1, XP_013620685.1
OG0000108	CARHR094190	XP_013629201.1, XP_013608560.1, XP_013586823.1
OG0000110	CARHR151660	XP_013600964.1, XP_013609595.1, XP_013639169.1, XP_013617798.1, XP_013624429.1, XP_013594148.1, XP_013639536.1, XP_013589681.1, XP_013639703.1
OG0000111	CARHR148290	XP_013597065.1, XP_013591106.1, XP_013610702.1, XP_013624096.1, XP_013585759.1, XP_013603466.1, XP_013588950.1, XP_013594866.1, XP_013594868.1, XP_013594869.1, XP_013594861.1, XP_013594864.1, XP_013624024.1
OG0000114	CARHR258830, CARHR283860	XP_013594356.1
OG0000114	CARHR286300, CARHR148220	XP_013627948.1
OG0000115	CARHR155450	XP_013594843.1, XP_013623916.1
OG0000117	CARHR024100	XP_013596256.1
OG0000118	CARHR101240, CARHR101220, CARHR133050, CARHR115930, CARHR115940, CARHR115970, CARHR133070, CARHR133060	XP_013615575.1
OG0000119	CARHR118700, CARHR273840	XP_013617470.1, XP_013608315.1
OG0000119	CARHR059580, CARHR150110	XP_013617735.1
OG0000119	CARHR114860, CARHR256190, CARHR263010, CARHR150080, CARHR150140, CARHR143200, CARHR207890, CARHR150200	XP_013633270.1
OG0000119	CARHR114850	XP_013624025.1
OG0000121	CARHR101000	XP_013632402.1
OG0000121	CARHR114800	XP_013607749.1
OG0000122	CARHR269740	XP_013623477.1, XP_013616987.1
OG0000122	CARHR033520, CARHR033430	XP_013610314.1, XP_013623863.1
OG0000122	CARHR269930	XP_013620024.1
OG0000123	CARHR181480, CARHR181490	XP_013601093.1, XP_013601095.1, XP_013601096.1, XP_013601117.1, XP_013601094.1, XP_013601092.1, XP_013601091.1
OG0000124	CARHR261370	XP_013633165.1
OG0000124	CARHR259840	XP_013592971.1, XP_013639063.1, XP_013596613.1, XP_013639511.1
OG0000125	CARHR007350	XP_013605923.1
OG0000125	CARHR039100	XP_013590329.1
OG0000125	CARHR041970, CARHR041980	XP_013589967.1
OG0000125	CARHR097260	XP_013625710.1
OG0000126	CARHR128520, CARHR293480, CARHR256860, CARHR252010, CARHR117440, CARHR098000, CARHR034340, CARHR116070, CARHR178380, CARHR257270	XP_013614845.1
OG0000127	CARHR190650	XP_013606602.1, XP_013625682.1
OG0000127	CARHR163570	XP_013605053.1, XP_013636203.1
OG0000127	CARHR273520	XP_013606787.1
OG0000127	CARHR121850	XP_013631988.1, XP_013631825.1, XP_013622502.1
OG0000128	CARHR061850	XP_013589380.1
OG0000128	CARHR169580	XP_013590480.1
OG0000128	CARHR169600	XP_013592532.1
OG0000129	CARHR038520, CARHR038560	XP_013584094.1
OG0000129	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730	XP_013618060.1, XP_013620235.1
OG0000130	CARHR183650, CARHR123710, CARHR043800	XP_013624994.1, XP_013608101.1
OG0000132	CARHR164880	XP_013605673.1, XP_013602151.1, XP_013602872.1, XP_013605672.1, XP_013603171.1, XP_013603836.1, XP_013603745.1, XP_013603252.1
OG0000132	CARHR214020	XP_013592758.1, XP_013629621.1
OG0000134	CARHR054550, CARHR054640, CARHR054580, CARHR151520	XP_013629019.1, XP_013586604.1
OG0000134	CARHR202050	XP_013612354.1
OG0000137	CARHR268710	XP_013627427.1, XP_013619494.1
OG0000137	CARHR268720	XP_013606365.1, XP_013619272.1
OG0000137	CARHR268700	XP_013618766.1, XP_013610172.1, XP_013610274.1
OG0000137	CARHR268690	XP_013626781.1
OG0000137	CARHR268680	XP_013608191.1
OG0000138	CARHR169390	XP_013627674.1
OG0000140	CARHR116590	XP_013632059.1
OG0000141	CARHR220970, CARHR220990	XP_013613822.1
OG0000141	CARHR012600	XP_013600689.1
OG0000141	CARHR012590	XP_013592465.1
OG0000141	CARHR012520, CARHR220850	XP_013604385.1
OG0000141	CARHR013070	XP_013600631.1
OG0000141	CARHR048950, CARHR048730, CARHR048980, CARHR049220, CARHR049190, CARHR048930, CARHR049010, CARHR156260	XP_013608625.1
OG0000143	CARHR181670, CARHR183500	XP_013632910.1, XP_013589207.1, XP_013624703.1, XP_013632577.1, XP_013632712.1, XP_013624745.1, XP_013607795.1, XP_013639469.1, XP_013624288.1, XP_013633322.1, XP_013632491.1, XP_013614182.1, XP_013594402.1, XP_013614207.1, XP_013615522.1, XP_013615454.1, XP_013617043.1
OG0000148	CARHR037410	XP_013627689.1
OG0000150	CARHR217380, CARHR294480	XP_013613740.1
OG0000151	CARHR151000	XP_013634717.1
OG0000151	CARHR165130	XP_013604669.1, XP_013588671.1, XP_013634847.1
OG0000151	CARHR165120	XP_013635814.1
OG0000151	CARHR134140	XP_013636124.1
OG0000151	CARHR165110	XP_013635718.1
OG0000151	CARHR163410	XP_013602835.1
OG0000151	CARHR132240	XP_013630873.1
OG0000151	CARHR199860	XP_013611475.1
OG0000153	CARHR124170, CARHR124160, CARHR124140	XP_013634388.1, XP_013633705.1, XP_013632650.1, XP_013634362.1
OG0000153	CARHR122540	XP_013622088.1
OG0000153	CARHR007210	XP_013602954.1, XP_013600678.1
OG0000153	CARHR007190	XP_013599857.1
OG0000153	CARHR122550	XP_013632108.1, XP_013614184.1
OG0000154	CARHR040880, CARHR041470	XP_013590343.1
OG0000154	CARHR041490, CARHR040850	XP_013614710.1
OG0000154	CARHR040760, CARHR040790, CARHR041510	XP_013614709.1
OG0000157	CARHR029980	XP_013595924.1
OG0000157	CARHR029970	XP_013596266.1, XP_013616758.1, XP_013608393.1, XP_013622453.1, XP_013623924.1, XP_013637516.1, XP_013585230.1, XP_013587143.1, XP_013620927.1
OG0000158	CARHR113640	XP_013624637.1
OG0000158	CARHR150520	XP_013619699.1, XP_013619830.1
OG0000159	CARHR184120	XP_013601903.1, XP_013639346.1, XP_013601604.1, XP_013608115.1, XP_013583259.1
OG0000160	CARHR109500	XP_013611416.1, XP_013597841.1
OG0000160	CARHR238090	XP_013593694.1, XP_013594020.1, XP_013596307.1
OG0000160	CARHR271150	XP_013620594.1
OG0000160	CARHR104060	XP_013623185.1
OG0000160	CARHR153650	XP_013622891.1
OG0000160	CARHR073860	XP_013588689.1
OG0000160	CARHR117520	XP_013605622.1
OG0000162	CARHR127170	XP_013632580.1
OG0000163	CARHR259710, CARHR057870, CARHR288340	XP_013594459.1, XP_013617598.1, XP_013623904.1, XP_013608217.1, XP_013607647.1, XP_013623409.1, XP_013617535.1, XP_013617458.1, XP_013594639.1, XP_013639725.1, XP_013594911.1, XP_013629211.1, XP_013639825.1, XP_013613873.1, XP_013639384.1, XP_013614093.1, XP_013624350.1, XP_013624337.1, XP_013588988.1
OG0000166	CARHR067380	XP_013617261.1
OG0000167	CARHR096970	XP_013639807.1, XP_013639803.1, XP_013639804.1
OG0000167	CARHR097030	XP_013624265.1
OG0000167	CARHR099220	XP_013596046.1
OG0000169	CARHR148260, CARHR265180, CARHR265400, CARHR149520, CARHR149530, CARHR116790, CARHR043210, CARHR041580, CARHR040020, CARHR042890, CARHR042510, CARHR043190, CARHR260050, CARHR042900, CARHR041590, CARHR042520, CARHR043200, CARHR263740, CARHR037920	XP_013601108.1, XP_013588901.1
OG0000170	CARHR140750	XP_013635992.1
OG0000170	CARHR186310, CARHR140760	XP_013635993.1
OG0000170	CARHR140730	XP_013635050.1
OG0000170	CARHR140770, CARHR103320	XP_013635072.1
OG0000171	CARHR266340	XP_013613316.1
OG0000171	CARHR046700	XP_013606344.1
OG0000171	CARHR107000	XP_013599341.1
OG0000171	CARHR269520	XP_013622226.1, XP_013621604.1, XP_013606619.1
OG0000171	CARHR083000, CARHR082990	XP_013617767.1, XP_013622635.1, XP_013638468.1
OG0000171	CARHR235660	XP_013600456.1, XP_013639325.1
OG0000173	CARHR132630	XP_013639134.1, XP_013594296.1
OG0000173	CARHR100900	XP_013639180.1, XP_013585255.1
OG0000173	CARHR246290, CARHR146050	XP_013594067.1
OG0000174	CARHR292260, CARHR102990	XP_013612859.1
OG0000174	CARHR115250	XP_013617082.1, XP_013633329.1
OG0000175	CARHR023910	XP_013615623.1, XP_013598255.1, XP_013638007.1, XP_013591469.1
OG0000175	CARHR063650	XP_013599473.1
OG0000175	CARHR198650	XP_013606531.1
OG0000176	CARHR291360, CARHR291330	XP_013639459.1
OG0000177	CARHR021660, CARHR054130, CARHR287770	XP_013596163.1
OG0000177	CARHR146970, CARHR021690, CARHR021680, CARHR116570	XP_013587048.1, XP_013638009.1
OG0000177	CARHR181970	XP_013594710.1
OG0000178	CARHR253020	XP_013606260.1, XP_013606263.1
OG0000178	CARHR250370	XP_013626923.1
OG0000178	CARHR250360	XP_013624075.1
OG0000178	CARHR252970, CARHR263930	XP_013627503.1
OG0000178	CARHR252960	XP_013618562.1
OG0000179	CARHR053290, CARHR283710, CARHR053930	XP_013626388.1
OG0000182	CARHR167770	XP_013621200.1
OG0000182	CARHR265190	XP_013613963.1
OG0000183	CARHR215030, CARHR058380	XP_013591852.1
OG0000183	CARHR119300	XP_013631799.1
OG0000185	CARHR087540, CARHR087530	XP_013597874.1, XP_013597872.1
OG0000185	CARHR160040, CARHR160050	XP_013595927.1
OG0000188	CARHR201470	XP_013610704.1
OG0000188	CARHR078870	XP_013615621.1, XP_013639409.1, XP_013584998.1, XP_013592108.1, XP_013610533.1
OG0000189	CARHR108220	XP_013629002.1, XP_013604425.1, XP_013594142.1, XP_013584461.1, XP_013584411.1, XP_013598034.1
OG0000189	CARHR243300	XP_013611367.1
