Orthogroup	Cardamine_hirsuta	Arabis_alpina
OG0000095	CARHR116980, CARHR117870, CARHR117890, CARHR116700	Aa_G271110.h1.t1
OG0000096	CARHR093690, CARHR094810, CARHR094850, CARHR094860, CARHR094840, CARHR094390, CARHR099980, CARHR095220, CARHR092810, CARHR159090, CARHR101800, CARHR101790, CARHR120380	Aa_G32180.h1.t1
OG0000098	CARHR103960	Aa_G539290.h1.t1
OG0000098	CARHR253270, CARHR188180	Aa_G70590.h1.t1, Aa_G539300.h1.t1
OG0000100	CARHR050870	Aa_G65950.h1.t1
OG0000100	CARHR047470, CARHR047430	Aa_G65770.h1.t1
OG0000100	CARHR047580, CARHR047440, CARHR261260, CARHR047450	Aa_G65760.h1.t1
OG0000101	CARHR099970, CARHR036950	Aa_G160180.h1.t1
OG0000102	CARHR252050	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1
OG0000102	CARHR252110, CARHR252090	Aa_G132920.h1.t1
OG0000105	CARHR181190, CARHR228760	Aa_G117390.h1.t1
OG0000105	CARHR104310	Aa_G84880.h1.t1
OG0000105	CARHR175310, CARHR289490	Aa_G710830.h1.t1
OG0000105	CARHR222460	Aa_G792870.h1.t1
OG0000105	CARHR256490, CARHR256450	Aa_G165210.h1.t1
OG0000105	CARHR047220	Aa_G616120.h1.t1
OG0000105	CARHR215710	Aa_G65730.h1.t1
OG0000105	CARHR175180	Aa_G416120.h1.t1
OG0000105	CARHR153990	Aa_G224170.h1.t1, Aa_G217250.h1.t1
OG0000106	CARHR082570	Aa_G308060.h1.t1, Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1
OG0000106	CARHR055550	Aa_G456270.h1.t1, Aa_G32140.h1.t1, Aa_G1008250.h2.t1, Aa_G1008250.h1.t1
OG0000107	CARHR095610	Aa_G115060.h1.t1
OG0000107	CARHR096820, CARHR096830, CARHR097220, CARHR095680, CARHR095690, CARHR095670	Aa_G323960.h1.t1
OG0000108	CARHR285740	Aa_G99370.h1.t1
OG0000108	CARHR086670	Aa_G5290.h1.t1
OG0000108	CARHR203590	Aa_G152880.h1.t1
OG0000110	CARHR151660	Aa_G32020.h1.t1
OG0000114	CARHR283860	Aa_G122790.h1.t1
OG0000114	CARHR150440, CARHR283870, CARHR035130, CARHR286300, CARHR148220, CARHR118270, CARHR287300	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1
OG0000115	CARHR155450	Aa_G264010.h1.t1
OG0000116	CARHR217650	Aa_G358570.h1.t1
OG0000116	CARHR101930	Aa_G342720.h1.t1
OG0000117	CARHR023940, CARHR023950	Aa_G62330.h1.t1
OG0000119	CARHR059580, CARHR150110	Aa_G251660.h1.t1
OG0000121	CARHR054110, CARHR100990	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000122	CARHR269740	Aa_G551010.h1.t1, Aa_G550960.h1.t1
OG0000122	CARHR269760	Aa_G625760.h1.t1
OG0000122	CARHR269730	Aa_G592730.h1.t1
OG0000122	CARHR129080, CARHR031770, CARHR269910, CARHR269890	Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1
OG0000122	CARHR033520, CARHR033430	Aa_G379620.h1.t1, Aa_G5880.h1.t1
OG0000122	CARHR269930	Aa_G592740.h1.t1
OG0000125	CARHR007350	Aa_G257560.h1.t1
OG0000125	CARHR039100	Aa_G166390.h1.t1
OG0000127	CARHR190650	Aa_G552180.h1.t1
OG0000127	CARHR273520	Aa_G33880.h1.t1
OG0000127	CARHR121850	Aa_G69270.h1.t1
OG0000128	CARHR169590, CARHR104610	Aa_G112570.h1.t1
OG0000128	CARHR061820	Aa_G469550.h2.t1, Aa_G469550.h1.t1, Aa_G271280.h1.t1
OG0000128	CARHR169580	Aa_G784880.h1.t1
OG0000128	CARHR169600	Aa_G271260.h1.t1
OG0000128	CARHR169570	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000129	CARHR038520, CARHR038560	Aa_G323510.h1.t1
OG0000129	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1
OG0000130	CARHR183650, CARHR123710, CARHR043800	Aa_G198530.h1.t1
OG0000132	CARHR164880	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000132	CARHR277270	Aa_G75240.h1.t1
OG0000132	CARHR214020	Aa_G478490.h1.t1, Aa_G110070.h1.t1
OG0000132	CARHR213990, CARHR214010	Aa_G482020.h1.t1
OG0000134	CARHR054550, CARHR054640, CARHR054580	Aa_G146330.h1.t1
OG0000134	CARHR151520	Aa_G339770.h1.t1
OG0000134	CARHR202050	Aa_G84490.h1.t1, Aa_G360810.h1.t1, Aa_G753220.h1.t1
OG0000137	CARHR268720	Aa_G59090.h1.t1
OG0000137	CARHR268700	Aa_G732190.h1.t1, Aa_G643460.h1.t1
OG0000137	CARHR268680	Aa_G643480.h1.t1
OG0000138	CARHR169360	Aa_G154170.h1.t1
OG0000138	CARHR169320	Aa_G517130.h1.t1, Aa_G154110.h1.t1
OG0000138	CARHR169270	Aa_G175810.h1.t1, Aa_G175800.h1.t1
OG0000141	CARHR255820	Aa_G193730.h1.t1
OG0000141	CARHR012590	Aa_G124650.h1.t1, Aa_G366140.h1.t1
OG0000141	CARHR013070	Aa_G521440.h1.t1, Aa_G193720.h1.t1
OG0000141	CARHR048210	Aa_G329600.h1.t1, Aa_G391060.h2.t1, Aa_G391060.h1.t1
OG0000141	CARHR049580, CARHR049710, CARHR049690, CARHR049380, CARHR049330, CARHR049720, CARHR049640, CARHR049340, CARHR049700, CARHR048830, CARHR049260	Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1
OG0000141	CARHR048950, CARHR048730, CARHR048980, CARHR049220, CARHR049190, CARHR048930, CARHR049010, CARHR156260	Aa_G492220.h1.t1
OG0000150	CARHR217380, CARHR294480	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1
OG0000151	CARHR165130	Aa_G329140.h1.t1, Aa_G566620.h1.t1
OG0000151	CARHR165120	Aa_G729400.h1.t1
OG0000151	CARHR134140	Aa_G351720.h1.t1
OG0000151	CARHR163410	Aa_G13900.h1.t1
OG0000151	CARHR132240	Aa_G30120.h1.t1
OG0000151	CARHR199860	Aa_G388320.h1.t1
OG0000153	CARHR122540	Aa_G35530.h1.t1
OG0000153	CARHR007190	Aa_G310600.h1.t1
OG0000153	CARHR122550	Aa_G173900.h1.t1
OG0000154	CARHR121480	Aa_G37000.h1.t1
OG0000154	CARHR290670	Aa_G507510.h1.t1, Aa_G507500.h1.t1
OG0000154	CARHR040880, CARHR041470	Aa_G406970.h1.t1, Aa_G434970.h1.t1, Aa_G462070.h1.t1, Aa_G434980.h1.t1
OG0000158	CARHR245230	Aa_G223250.h1.t1
OG0000158	CARHR104280	Aa_G270230.h1.t1
OG0000160	CARHR109500	Aa_G190130.h1.t1
OG0000160	CARHR238090	Aa_G620370.h1.t1
OG0000160	CARHR271150	Aa_G307400.h1.t1
OG0000160	CARHR104060	Aa_G194510.h1.t1
OG0000160	CARHR153650	Aa_G490420.h1.t1
OG0000160	CARHR073860	Aa_G21590.h1.t1
OG0000160	CARHR117520	Aa_G41590.h1.t1
OG0000161	CARHR059960, CARHR284490	Aa_G172360.h1.t1
OG0000162	CARHR127170, CARHR145900, CARHR145910, CARHR145930, CARHR102790, CARHR102800, CARHR102820, CARHR145920, CARHR102810, CARHR103310, CARHR127190	Aa_G363640.h1.t1
OG0000163	CARHR259710, CARHR057870, CARHR288340	Aa_G308560.h1.t1, Aa_G366470.h1.t1, Aa_G589080.h1.t1
OG0000165	CARHR292600	Aa_G285150.h1.t1
OG0000165	CARHR085710, CARHR085700, CARHR085180	Aa_G266430.h1.t1
OG0000165	CARHR180370, CARHR180470	Aa_G49720.h1.t1, Aa_G78930.h1.t1, Aa_G78940.h1.t1, Aa_G322280.h1.t1, Aa_G169270.h1.t1
OG0000166	CARHR067330	Aa_G510600.h1.t1, Aa_G87240.h1.t1
OG0000166	CARHR067380	Aa_G792200.h1.t1
OG0000170	CARHR171330	Aa_G48820.h1.t1
OG0000170	CARHR140750	Aa_G16090.h1.t1, Aa_G569190.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1
OG0000170	CARHR140730	Aa_G16110.h1.t1
OG0000170	CARHR140770, CARHR103320	Aa_G16040.h1.t1
OG0000171	CARHR266340	Aa_G134060.h1.t1
OG0000171	CARHR046700	Aa_G688860.h1.t1, Aa_G135580.h1.t1
OG0000171	CARHR107000	Aa_G70150.h1.t1
OG0000171	CARHR269520	Aa_G580840.h1.t1
OG0000171	CARHR083000, CARHR082990	Aa_G24370.h1.t1
OG0000171	CARHR235660	Aa_G2000.h1.t1
OG0000175	CARHR023910	Aa_G101710.h1.t1
OG0000175	CARHR052550	Aa_G193050.h1.t1
OG0000176	CARHR176300, CARHR291280, CARHR064660, CARHR291340, CARHR292140	Aa_G319580.h1.t1, Aa_G319590.h1.t1
OG0000176	CARHR291350, CARHR291370	Aa_G245790.h1.t1, Aa_G319570.h1.t1
OG0000177	CARHR021660, CARHR054130, CARHR287770	Aa_G60820.h1.t1, Aa_G835800.h1.t1
OG0000178	CARHR253020	Aa_G320630.h1.t1
OG0000178	CARHR259510	Aa_G320670.h1.t1
OG0000179	CARHR123300	Aa_G323330.h1.t1
OG0000182	CARHR167770	Aa_G22640.h1.t1, Aa_G167450.h1.t1
OG0000182	CARHR119130	Aa_G398660.h1.t1, Aa_G322440.h1.t1
OG0000183	CARHR215030, CARHR058380	Aa_G505900.h1.t1
OG0000184	CARHR103600	Aa_G310780.h1.t1
OG0000184	CARHR097910	Aa_G315780.h1.t1, Aa_G456930.h1.t1
OG0000185	CARHR028040	Aa_G464540.h1.t1, Aa_G464550.h1.t1
OG0000186	CARHR145120	Aa_G344900.h1.t1
OG0000186	CARHR113370, CARHR050630	Aa_G218170.h1.t1
OG0000187	CARHR112670, CARHR112680	Aa_G279240.h1.t1, Aa_G279230.h1.t1
OG0000188	CARHR201470	Aa_G606990.h1.t1
OG0000188	CARHR078860, CARHR078880	Aa_G462700.h1.t1
OG0000189	CARHR244350, CARHR108220	Aa_G514660.h1.t1, Aa_G459730.h1.t1
OG0000189	CARHR069390	Aa_G281740.h1.t1
OG0000191	CARHR150970	Aa_G26980.h1.t1
OG0000192	CARHR233830	Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G184310.h1.t1, Aa_G457510.h1.t1
OG0000193	CARHR091810	Aa_G484150.h1.t1
OG0000195	CARHR191180	Aa_G459140.h1.t1
OG0000195	CARHR273570, CARHR273530, CARHR273550, CARHR273540, CARHR273560	Aa_G376620.h1.t1
OG0000196	CARHR272920	Aa_G185160.h1.t1
OG0000196	CARHR272910	Aa_G574390.h1.t1
OG0000196	CARHR213580, CARHR272900, CARHR287600	Aa_G84820.h1.t1
OG0000196	CARHR291950	Aa_G201160.h1.t1
OG0000196	CARHR288120, CARHR287580, CARHR213590	Aa_G165200.h1.t1
OG0000196	CARHR288130, CARHR291940, CARHR213880	Aa_G229810.h1.t1
OG0000197	CARHR215070, CARHR051370	Aa_G460250.h1.t1, Aa_G460270.h1.t1
OG0000198	CARHR144080	Aa_G509920.h1.t1
OG0000198	CARHR015470	Aa_G328840.h1.t1
OG0000198	CARHR015480	Aa_G272200.h1.t1
OG0000198	CARHR147290	Aa_G222140.h1.t1, Aa_G238450.h1.t1
OG0000198	CARHR231070	Aa_G222150.h1.t1, Aa_G222160.h2.t1, Aa_G222160.h1.t1
OG0000199	CARHR063270, CARHR063300	Aa_G385540.h1.t1, Aa_G191200.h1.t1
OG0000199	CARHR251110, CARHR215270, CARHR237670	Aa_G123140.h1.t1, Aa_G191220.h1.t1, Aa_G284830.h1.t1
OG0000200	CARHR005020	Aa_G152770.h1.t1
OG0000200	CARHR037150	Aa_G37370.h1.t1
OG0000200	CARHR037130	Aa_G689010.h1.t1
OG0000203	CARHR168640	Aa_G526150.h1.t1
OG0000203	CARHR168730	Aa_G367660.h1.t1, Aa_G835690.h1.t1
OG0000203	CARHR168740	Aa_G526230.h1.t1
OG0000203	CARHR168690, CARHR168710	Aa_G526180.h1.t1
OG0000208	CARHR057780	Aa_G350.h1.t1
OG0000208	CARHR183230	Aa_G979430.h1.t1
OG0000210	CARHR140170	Aa_G175290.h1.t1
OG0000210	CARHR069160, CARHR059610	Aa_G77240.h1.t1
OG0000210	CARHR170850	Aa_G208990.h1.t1
OG0000216	CARHR253870	Aa_G389410.h1.t1
OG0000216	CARHR054340	Aa_G57040.h1.t1
OG0000216	CARHR166590	Aa_G373050.h1.t1
OG0000219	CARHR065380	Aa_G30010.h1.t1, Aa_G48860.h1.t1
OG0000219	CARHR037370, CARHR272960	Aa_G584620.h1.t1
OG0000219	CARHR253110	Aa_G493540.h1.t1
OG0000219	CARHR123890	Aa_G974030.h1.t1, Aa_G961810.h1.t1, Aa_G631990.h1.t1
OG0000225	CARHR180390	Aa_G335460.h1.t1
OG0000225	CARHR072270	Aa_G109260.h1.t1, Aa_G458000.h1.t1
OG0000225	CARHR141370	Aa_G335450.h1.t1, Aa_G335440.h1.t1
OG0000227	CARHR080100, CARHR085660	Aa_G216090.h1.t1, Aa_G333250.h1.t1
OG0000227	CARHR105480	Aa_G51090.h1.t1
OG0000230	CARHR169340	Aa_G175750.h1.t1, Aa_G175760.h1.t1
OG0000230	CARHR051200	Aa_G175820.h1.t1, Aa_G175780.h1.t1, Aa_G284870.h1.t1
OG0000230	CARHR169400	Aa_G175840.h1.t1
OG0000232	CARHR180870, CARHR049200, CARHR122740, CARHR110940	Aa_G193030.h1.t1
OG0000233	CARHR205610	Aa_G471610.h1.t1
OG0000233	CARHR205600, CARHR205590, CARHR205580	Aa_G529880.h1.t1, Aa_G471590.h1.t1, Aa_G471600.h1.t1
OG0000234	CARHR210320, CARHR095200, CARHR095190, CARHR100580, CARHR100650, CARHR100570	Aa_G685240.h1.t1
OG0000235	CARHR133380	Aa_G278130.h1.t1
OG0000235	CARHR073970	Aa_G291160.h1.t1, Aa_G105690.h1.t1
OG0000236	CARHR062590, CARHR062610	Aa_G342510.h1.t1
OG0000236	CARHR102640	Aa_G133920.h1.t1
OG0000236	CARHR062600	Aa_G133930.h1.t1, Aa_G792760.h1.t1, Aa_G826850.h1.t1
OG0000236	CARHR102630	Aa_G384940.h1.t1
OG0000237	CARHR043980, CARHR044120	Aa_G29610.h1.t1
OG0000238	CARHR064100, CARHR064090	Aa_G417160.h1.t1
OG0000238	CARHR064130	Aa_G412940.h1.t1
OG0000238	CARHR064110	Aa_G271400.h1.t1
OG0000238	CARHR292540, CARHR185670, CARHR023530, CARHR023500, CARHR023520, CARHR023510	Aa_G367300.h1.t1, Aa_G367290.h1.t1
OG0000238	CARHR064120	Aa_G412960.h1.t1
OG0000241	CARHR228610	Aa_G213370.h1.t1
OG0000241	CARHR252730	Aa_G974580.h1.t1, Aa_G257180.h1.t1
OG0000241	CARHR107520	Aa_G257190.h1.t1
OG0000242	CARHR102150, CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520, CARHR183240	Aa_G129860.h1.t1, Aa_G129870.h1.t1, Aa_G269360.h1.t1
OG0000242	CARHR175670	Aa_G40840.h1.t1
OG0000243	CARHR028800, CARHR028770, CARHR028900, CARHR028820, CARHR028850	Aa_G465070.h1.t1, Aa_G22120.h1.t1
OG0000243	CARHR028830	Aa_G465080.h1.t1, Aa_G465100.h1.t1, Aa_G22140.h1.t1, Aa_G465010.h1.t1, Aa_G223820.h1.t1
OG0000244	CARHR251330, CARHR251340	Aa_G189060.h1.t1
OG0000246	CARHR131170, CARHR131180	Aa_G25290.h1.t1
OG0000246	CARHR131110	Aa_G25260.h1.t1
