Orthogroup	Cardamine_hirsuta	Alyssum_gmelinii
OG0000238	CARHR185670, CARHR023530, CARHR023500, CARHR023520, CARHR023510	Ag034G4035700
OG0000238	CARHR064120	Ag034G4054700
OG0000241	CARHR228610	Ag033G3624000
OG0000241	CARHR252730	Ag087G5425400, Ag066G5154800
OG0000241	CARHR107520	Ag066G5154900, Ag087G5425500
OG0000242	CARHR175670	Ag025G2907300, Ag053G4869700, Ag060G4999200
OG0000243	CARHR028760	Ag013G1732000, Ag013G1731400
OG0000243	CARHR028880, CARHR028810	Ag013G1732100, Ag013G1731300
OG0000244	CARHR251320, CARHR252330, CARHR252290	Ag016G2372100
OG0000244	CARHR251330, CARHR251340	Ag013G1572000
OG0000246	CARHR131170, CARHR131180	Ag054G4896600, Ag039G4258400
OG0000246	CARHR131110	Ag054G4896300
OG0000246	CARHR131140, CARHR131130, CARHR131150, CARHR131160	Ag054G4896100, Ag054G4896400
OG0000248	CARHR215600	Ag011G1039300, Ag011G1039400
