Orthogroup	Cardamine_hirsuta	Arabidopsis_thaliana
OG0000119	CARHR114860	AT2G26135.1, AT2G26130.1
OG0000119	CARHR256190, CARHR263010	AT3G43750.1
OG0000119	CARHR150080	AT3G45560.1
OG0000119	CARHR150140, CARHR143200, CARHR207890	AT2G16520.1
OG0000119	CARHR150200	AT3G45480.1, AT3G45510.1
OG0000121	CARHR101000, CARHR114800	AT2G01050.1
OG0000122	CARHR269920	AT5G56390.1
OG0000122	CARHR036540, CARHR031780	AT1G32375.1
OG0000123	CARHR283690, CARHR187420	AT5G36739.1, AT5G36662.1
OG0000123	CARHR274650, CARHR274680, CARHR016560, CARHR042770	AT5G36460.1, AT5G36450.1, AT5G36400.1, AT5G36390.1, AT5G36430.1, AT5G36350.1, AT5G36380.1, AT5G36420.1, AT5G36360.1, AT5G36500.1, AT5G36490.1, AT5G36330.1, AT5G36340.1, AT5G36310.1, AT5G36540.1, AT5G36550.1, AT5G36520.1, AT5G36410.1, AT5G36440.1, AT5G36470.1, AT5G36370.1, AT5G36738.1, AT5G36480.1, AT5G36320.1, AT5G36658.1, AT5G36661.1, AT5G36659.1
OG0000123	CARHR274670	AT3G42565.1
OG0000125	CARHR122230	AT2G29000.1
OG0000125	CARHR007350	AT1G07560.1
OG0000125	CARHR039100	AT1G49100.1
OG0000125	CARHR041970	AT1G51820.1, AT1G51850.2, AT1G51830.2
OG0000125	CARHR102140	AT2G04300.2
OG0000125	CARHR097260	AT3G21340.1
OG0000125	CARHR258870	AT1G51810.1
OG0000126	CARHR048790, CARHR257160	AT1G35150.1
OG0000126	CARHR184750	AT5G35475.1
OG0000126	CARHR217430, CARHR184740	AT3G29638.1
OG0000126	CARHR128510	AT2G06500.1
OG0000127	CARHR190650	AT5G22880.1
OG0000127	CARHR163570	AT3G53650.1
OG0000127	CARHR210790	AT5G02570.1
OG0000127	CARHR273520	AT5G59910.1
OG0000127	CARHR154390	AT3G46030.1
OG0000127	CARHR121850	AT2G28720.1
OG0000128	CARHR061850	AT3G59270.1
OG0000128	CARHR169630	AT3G59250.1
OG0000128	CARHR123020, CARHR061840	AT3G59240.1
OG0000128	CARHR169580	AT3G59200.1
OG0000128	CARHR169600	AT3G59210.1
OG0000128	CARHR169570	AT4G14096.1
OG0000129	CARHR038520, CARHR038560, CARHR056630	AT1G65120.2
OG0000129	CARHR056640	AT1G65130.1
OG0000129	CARHR275720, CARHR275710	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2
OG0000129	CARHR120250, CARHR120240, CARHR120610	AT2G27630.1, AT2G27650.1
OG0000129	CARHR038530, CARHR038540, CARHR056610	AT1G65110.2
OG0000130	CARHR158410, CARHR153220, CARHR117340, CARHR057000	AT3G09510.1, AT2G13980.1, AT5G26617.1
OG0000130	CARHR287060, CARHR146840	AT5G44470.1
OG0000130	CARHR038370, CARHR217450	AT3G23320.1, AT5G52115.1, AT5G65005.1, AT1G52990.1
OG0000130	CARHR123710, CARHR043800	AT2G46460.1, AT1G47497.1
OG0000132	CARHR164880	AT3G54910.1
OG0000132	CARHR256230	AT4G09920.1
OG0000132	CARHR214020	AT5G38590.2, AT5G38570.1, AT5G38565.1
OG0000132	CARHR214030	AT5G38580.1
OG0000134	CARHR054550, CARHR054640, CARHR054580	AT1G57650.1
OG0000134	CARHR106050	AT1G65850.2
OG0000134	CARHR202050	AT5G11250.2
OG0000136	CARHR186370	AT1G40390.1
OG0000137	CARHR268710	AT5G55370.1
OG0000137	CARHR268720	AT5G55380.1
OG0000137	CARHR268700	AT5G55360.1
OG0000137	CARHR268690	AT5G55350.1
OG0000137	CARHR268680	AT5G55340.1
OG0000138	CARHR052000	AT3G62440.1
OG0000138	CARHR169360	AT3G58980.1
OG0000138	CARHR169320	AT3G58960.1
OG0000138	CARHR169270	AT3G58920.1
OG0000141	CARHR012600	AT1G12290.1
OG0000141	CARHR255820	AT4G10780.1
OG0000141	CARHR012590	AT1G12280.1
OG0000141	CARHR012520	AT1G12220.1
OG0000141	CARHR013070	AT1G12210.1
OG0000141	CARHR048950, CARHR048730, CARHR048980, CARHR049220, CARHR049190, CARHR048930, CARHR049010, CARHR156260	AT5G63020.1
OG0000148	CARHR040900	AT1G50870.1
OG0000148	CARHR037710, CARHR037720, CARHR037850	AT1G47730.1
OG0000151	CARHR165130	AT3G55110.1
OG0000151	CARHR165120	AT3G55100.1
OG0000151	CARHR134140	AT2G39350.1
OG0000151	CARHR165110	AT3G55090.1
OG0000151	CARHR163410	AT3G53510.1
OG0000151	CARHR132240	AT2G37360.1
OG0000151	CARHR199860	AT5G13580.1
OG0000153	CARHR124170, CARHR124160	AT2G30670.1
OG0000153	CARHR122560	AT2G29310.1
OG0000153	CARHR122540	AT2G29300.2, AT2G29320.1
OG0000153	CARHR007190	AT1G07450.1
OG0000154	CARHR040870	AT1G50830.1
OG0000154	CARHR121480	AT5G18510.1
OG0000154	CARHR290670	AT4G16050.1
OG0000154	CARHR041490, CARHR040850	AT1G50790.1, AT1G50820.2
OG0000154	CARHR040860, CARHR041500	AT1G50750.1
OG0000157	CARHR030250	AT1G32660.1
OG0000158	CARHR113640	AT4G36840.1
OG0000160	CARHR109500	AT2G18960.1
OG0000160	CARHR238090	AT4G30190.2
OG0000160	CARHR271150	AT5G57350.1
OG0000160	CARHR104060	AT2G07560.1
OG0000160	CARHR153650	AT3G42640.1
OG0000160	CARHR073860	AT1G80660.1
OG0000160	CARHR117520	AT2G24520.2
OG0000162	CARHR127170	AT2G33190.1
OG0000162	CARHR102790, CARHR102800, CARHR102820	AT2G04830.1
OG0000162	CARHR145920	AT2G03610.1
OG0000162	CARHR102810, CARHR103310	AT2G04810.1, AT2G04840.1
OG0000163	CARHR259710, CARHR057870, CARHR288340, CARHR058120, CARHR218430	AT2G06105.1
OG0000165	CARHR085710, CARHR085700, CARHR085180	AT2G15010.1
OG0000165	CARHR057950	AT1G66100.1
OG0000166	CARHR183950	AT1G54470.1
OG0000167	CARHR097030	AT3G21170.1
OG0000167	CARHR108190, CARHR108200	AT3G21130.1
OG0000167	CARHR150060	AT3G21120.1
OG0000167	CARHR099220	AT3G23260.1
OG0000169	CARHR219990	AT1G47340.1, AT1G47350.1
OG0000170	CARHR140800	AT2G45580.1
OG0000170	CARHR171350	AT3G61040.1
OG0000170	CARHR171330	AT3G61035.1
OG0000170	CARHR140750	AT1G33720.1
OG0000170	CARHR186310, CARHR140760	AT2G45570.1
OG0000170	CARHR140780, CARHR140790, CARHR140740	AT2G45560.1
OG0000170	CARHR140730	AT2G45550.1
OG0000171	CARHR266340	AT5G53300.1
OG0000171	CARHR046700	AT5G41700.4, AT1G64230.4
OG0000171	CARHR107000	AT2G16740.1
OG0000171	CARHR269520	AT5G56150.1
OG0000171	CARHR083000	AT3G08700.1
OG0000171	CARHR082990	AT3G08690.1
OG0000171	CARHR235660	AT4G27960.2
OG0000173	CARHR100900	AT2G14288.1
OG0000174	CARHR115250	AT1G52603.1, AT5G33393.1, AT1G67235.1
OG0000175	CARHR023910	AT1G23490.1, AT1G70490.1
OG0000175	CARHR198650	AT5G14670.1
OG0000176	CARHR176300	AT1G71390.2
OG0000176	CARHR291350, CARHR291370	AT1G71400.1
OG0000177	CARHR059110	AT1G21270.1
OG0000178	CARHR253020	AT4G04490.1
OG0000178	CARHR250370	AT4G04510.2
OG0000178	CARHR250360	AT4G04500.1
OG0000178	CARHR252970, CARHR263930	AT4G04570.1
OG0000178	CARHR252960	AT4G04540.1
OG0000182	CARHR265190	AT2G38365.1
OG0000183	CARHR215030, CARHR058380	AT1G66410.2, AT5G37780.3
OG0000183	CARHR166950	AT2G41110.2
OG0000183	CARHR136200	AT3G56800.1
OG0000183	CARHR119300	AT2G27030.3
OG0000184	CARHR097880	AT3G22030.1
OG0000184	CARHR097910	AT3G22053.1
OG0000185	CARHR087540, CARHR087530	AT1G23970.2, AT1G23950.2
OG0000185	CARHR160040, CARHR160050	AT1G23960.1
OG0000185	CARHR028040	AT1G27860.1, AT1G28500.1
OG0000186	CARHR211050	AT2G13895.1
OG0000186	CARHR269100	AT5G55800.1
OG0000186	CARHR147550, CARHR269160	AT5G46660.1
OG0000186	CARHR145130	AT2G02690.1, AT2G02700.1, AT2G02680.1
OG0000186	CARHR145120	AT2G02610.1, AT2G02640.1
OG0000186	CARHR113370	AT2G40050.1
OG0000187	CARHR112670, CARHR112680	AT2G21680.1
OG0000187	CARHR020040	AT1G19460.1, AT1G19470.1
OG0000188	CARHR078870	AT2G13630.1
OG0000189	CARHR160880	AT3G51300.1
OG0000189	CARHR244350	AT4G35950.1
OG0000189	CARHR108220	AT2G17800.1
OG0000189	CARHR069390	AT1G75840.1
OG0000189	CARHR020570	AT1G20090.1
OG0000192	CARHR233830	AT3G51210.1
OG0000192	CARHR014030	AT5G43690.1
OG0000193	CARHR091790	AT2G14710.1, AT3G16580.1
OG0000193	CARHR036380, CARHR036970	AT1G47390.1
OG0000193	CARHR031880	AT1G32430.1
OG0000195	CARHR110100	AT2G19650.1
OG0000195	CARHR175700	AT2G19660.2
OG0000195	CARHR191180	AT5G22355.1
OG0000195	CARHR273570	AT4G01340.1
OG0000196	CARHR272920	AT5G41540.1
OG0000196	CARHR272910, CARHR213580, CARHR272900, CARHR287600, CARHR287570, CARHR212840, CARHR289150	AT5G41750.1, AT5G41740.2, AT5G41550.1
OG0000197	CARHR215060, CARHR215050, CARHR215370	AT5G37760.1
OG0000198	CARHR144080	AT2G01520.1
OG0000198	CARHR015470	AT1G14930.1, AT1G14940.1
OG0000198	CARHR015480	AT1G14950.1
OG0000198	CARHR147290	AT3G26450.1, AT3G26460.1
OG0000199	CARHR063270, CARHR063300, CARHR163030, CARHR063260, CARHR063690, CARHR063700, CARHR263650	AT1G51670.1, AT1G48180.1
OG0000199	CARHR251110, CARHR215270	AT4G29770.2
OG0000200	CARHR028750, CARHR037140	AT1G30170.1
OG0000200	CARHR037150	AT1G30160.2
OG0000202	CARHR250390, CARHR248840, CARHR250050, CARHR250400	AT4G02190.1, AT4G01910.1, AT4G01930.1, AT4G01740.1, AT4G01920.1
OG0000203	CARHR168640	AT3G58270.1
OG0000203	CARHR168590, CARHR259860	AT3G58370.1
OG0000203	CARHR168740	AT3G58360.1
OG0000203	CARHR168770	AT3G58400.1
OG0000203	CARHR168690	AT3G58350.1
OG0000208	CARHR183230	AT5G34581.1
OG0000209	CARHR202500	AT5G10340.1
OG0000209	CARHR125670, CARHR125660, CARHR124000	AT4G01640.1, AT2G34280.1
OG0000210	CARHR140170	AT2G44930.1
OG0000210	CARHR059620	AT1G67150.2
OG0000210	CARHR057980	AT1G65985.1
OG0000216	CARHR253820, CARHR253860, CARHR253850	AT4G00893.1
OG0000216	CARHR253870	AT4G12370.1
OG0000216	CARHR253840	AT4G10695.1
OG0000216	CARHR054340	AT1G57790.1
OG0000216	CARHR166590	AT3G56470.1
OG0000219	CARHR037370, CARHR272960	AT3G48840.1
OG0000225	CARHR072290	AT1G78730.1
OG0000225	CARHR072270, CARHR141370	AT1G69630.1
OG0000225	CARHR201930, CARHR072280	AT1G78740.1
OG0000226	CARHR058450	AT3G26250.1, AT3G26240.1
OG0000226	CARHR176630	AT4G15070.1, AT5G48320.1
OG0000226	CARHR118070, CARHR209970	AT5G37210.1, AT5G03355.1
OG0000226	CARHR256020	AT4G10560.1
OG0000227	CARHR080100	AT3G05650.1
OG0000227	CARHR039350	AT5G25910.1
OG0000227	CARHR105510	AT2G15042.1
OG0000227	CARHR105540	AT2G15080.1
OG0000229	CARHR062190	AT5G28820.1
OG0000229	CARHR004570	AT2G29880.1, AT5G27260.1, AT1G30140.1, AT5G35540.1
OG0000230	CARHR217340	AT5G38391.1
OG0000230	CARHR186450, CARHR286030	AT3G58820.1
OG0000230	CARHR169400	AT3G58900.4
OG0000233	CARHR205610	AT5G07550.1
OG0000233	CARHR205600, CARHR205590, CARHR205580	AT5G07571.1, AT5G07560.1
OG0000234	CARHR139700	AT2G44030.1, AT2G45406.1
OG0000234	CARHR135510, CARHR049800	AT5G02990.1
OG0000234	CARHR095190	AT5G02980.1
OG0000234	CARHR100580, CARHR100650, CARHR100570	AT5G03000.1, AT3G46050.1
OG0000235	CARHR168030	AT3G25080.1
OG0000236	CARHR062590, CARHR062610, CARHR102640	AT1G69650.1
OG0000236	CARHR062620	AT1G69660.1
OG0000236	CARHR102630	AT2G15710.1
OG0000237	CARHR099050	AT3G10430.1, AT4G04690.1
OG0000237	CARHR044120	AT1G77650.1
OG0000237	CARHR098530	AT3G22650.2
OG0000237	CARHR238210, CARHR097380	AT3G21410.1
OG0000238	CARHR064110	AT1G70840.1
OG0000238	CARHR185670	AT5G28000.1
OG0000238	CARHR023530, CARHR023500, CARHR023520, CARHR023510	AT5G28010.1
OG0000239	CARHR113140	AT1G43145.1
OG0000241	CARHR228610	AT4G21860.1
OG0000241	CARHR252730	AT4G04800.1
OG0000241	CARHR107520	AT4G04830.1
OG0000242	CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520	AT5G48670.1
OG0000242	CARHR183240	AT5G27810.1
OG0000242	CARHR175670	AT5G26630.1
OG0000243	CARHR028900, CARHR028820, CARHR028850	AT1G29510.1
OG0000243	CARHR028830	AT1G29500.1
OG0000243	CARHR028880, CARHR028810	AT1G29440.1, AT1G29430.1, AT5G27780.1
OG0000244	CARHR252260, CARHR252270, CARHR252310, CARHR252320, CARHR252280	AT4G05260.1
OG0000244	CARHR252240	AT4G05240.1, AT4G05250.1
OG0000244	CARHR251320, CARHR252330, CARHR252290	AT4G05230.1
OG0000244	CARHR251330	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1
OG0000246	CARHR131170, CARHR131180	AT2G36790.1, AT2G36800.1
OG0000246	CARHR131110	AT2G36750.1
OG0000246	CARHR131140, CARHR131130, CARHR131150, CARHR131160	AT2G36760.1, AT2G36780.1, AT2G36770.1
OG0000247	CARHR291820	AT5G38500.1
OG0000247	CARHR263700	AT3G49610.1
OG0000247	CARHR101580, CARHR101880, CARHR101530	AT5G24050.1, AT3G24850.1
OG0000248	CARHR063130	AT1G70040.1
OG0000248	CARHR263070	AT5G39330.1
OG0000249	CARHR029720	AT5G31412.1
OG0000250	CARHR252250	AT4G02890.3
OG0000251	CARHR147300	AT3G26300.1, AT3G26310.1
OG0000251	CARHR147330	AT3G26330.1, AT3G26320.1
OG0000251	CARHR147340	AT2G02580.1
OG0000251	CARHR271060	AT5G57260.1
OG0000252	CARHR230420	AT5G37170.1
OG0000252	CARHR048360, CARHR048350, CARHR048370	AT1G63140.4
OG0000252	CARHR071040	AT1G77520.1
OG0000252	CARHR071060, CARHR071050	AT1G77530.1
OG0000253	CARHR087080	AT3G12580.1
OG0000253	CARHR083850	AT3G09440.1
OG0000253	CARHR210880	AT5G02500.1
OG0000254	CARHR290060, CARHR290070	AT4G15670.1
OG0000254	CARHR290100	AT4G15690.1
OG0000256	CARHR092830, CARHR151680	AT3G17500.1
OG0000256	CARHR099690	AT3G22710.1, AT3G22720.1, AT3G22700.1
OG0000257	CARHR069250, CARHR069290, CARHR069270	AT2G26020.1, AT2G26010.1, AT5G44430.1
OG0000257	CARHR069280, CARHR069310, CARHR284300, CARHR069260	AT5G44420.1
OG0000260	CARHR247220	AT4G39510.1
OG0000260	CARHR260330, CARHR264830	AT5G02900.1
OG0000262	CARHR051080, CARHR046940	AT2G14540.1
OG0000269	CARHR273300	AT5G59720.1
OG0000269	CARHR053220	AT1G59860.1
OG0000269	CARHR122830	AT2G29500.1
OG0000270	CARHR048540, CARHR048090	AT1G63320.1
OG0000270	CARHR048780	AT1G63330.1
OG0000275	CARHR175770	AT4G39760.1
OG0000275	CARHR041170, CARHR041160	AT4G39753.1
OG0000275	CARHR185060, CARHR185040	AT5G28180.1, AT5G28160.1
OG0000275	CARHR246950	AT4G39756.1
OG0000277	CARHR243020, CARHR247840	AT4G38920.1
OG0000278	CARHR215670	AT5G37400.2
OG0000278	CARHR215220	AT5G37650.1
OG0000278	CARHR215570, CARHR215560, CARHR215610	AT5G37470.2, AT5G37460.1
OG0000278	CARHR215640, CARHR215620, CARHR215650, CARHR215200	AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1
OG0000279	CARHR094510	AT2G26030.4
OG0000279	CARHR031350, CARHR031360	AT5G44950.1
OG0000279	CARHR177740, CARHR257320, CARHR177410, CARHR177420, CARHR152170, CARHR177900, CARHR221580, CARHR177780, CARHR177760, CARHR177770, CARHR178120, CARHR177310, CARHR177790, CARHR177800, CARHR178860, CARHR178130, CARHR180680	AT5G44980.1, AT5G44940.1, AT5G44960.1
OG0000282	CARHR229730	AT4G22170.1
OG0000282	CARHR229030, CARHR229040	AT4G22660.1, AT4G22165.1
OG0000282	CARHR283650, CARHR229570	AT4G14165.1
OG0000284	CARHR285950, CARHR256150, CARHR177480	AT4G03566.1
OG0000285	CARHR227980	AT4G21380.1
OG0000285	CARHR234950	AT4G27290.2
OG0000286	CARHR175950, CARHR174900	AT1G05080.1
OG0000289	CARHR175550	AT3G25010.2, AT3G25020.1, AT3G24982.1, AT3G24900.2
OG0000289	CARHR262160	AT2G32680.1
OG0000291	CARHR103190, CARHR103130	AT2G05510.1, AT2G05440.2
