Orthogroup	Cardamine_hirsuta	Raphanus_sativus
OG0000095	CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940	XP_018458821.1, XP_018482330.1
OG0000095	CARHR117880	XP_018458817.1
OG0000095	CARHR117220	XP_018436175.1
OG0000096	CARHR101790	XP_018466022.1
OG0000096	CARHR159080	XP_018462071.1
OG0000098	CARHR046250	XP_018443647.1, XP_018461538.1, XP_018467732.1
OG0000098	CARHR174970	XP_018477065.1
OG0000098	CARHR253270, CARHR188180	XP_018482705.1
OG0000100	CARHR047460, CARHR047540	XP_018453997.1, XP_018453999.1
OG0000100	CARHR047470, CARHR047430, CARHR047580, CARHR047440, CARHR261260, CARHR047450	XP_018455681.1
OG0000100	CARHR048000, CARHR048030, CARHR048060, CARHR048070, CARHR048510	XP_018454730.1, XP_018466158.1
OG0000101	CARHR099970, CARHR036950	XP_018456076.1
OG0000102	CARHR252110, CARHR252090, CARHR252060	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1
OG0000102	CARHR252130	XP_018453850.1
OG0000105	CARHR181190, CARHR228760	XP_018448388.1
OG0000105	CARHR175830, CARHR174830, CARHR175790, CARHR175310, CARHR289490, CARHR175270, CARHR292210, CARHR178690, CARHR116320, CARHR175110, CARHR175150, CARHR175080	XP_018437703.1
OG0000105	CARHR222460	XP_018449080.1
OG0000105	CARHR149270, CARHR047160	XP_018464844.1
OG0000106	CARHR183910	XP_018433530.1, XP_018448462.1, XP_018433853.1, XP_018436268.1, XP_018470067.1, XP_018448227.1, XP_018448228.1, XP_018439490.1, XP_018453762.1
OG0000106	CARHR055550	XP_018483022.1, XP_018435770.1, XP_018482722.1
OG0000107	CARHR119260, CARHR119250	XP_018474063.1, XP_018435236.1
OG0000107	CARHR095650	XP_018489727.1, XP_018489629.1, XP_018488234.1, XP_018486234.1
OG0000107	CARHR095640, CARHR095620, CARHR055760	XP_018486571.1, XP_018467025.1
OG0000107	CARHR096820, CARHR096830, CARHR097220, CARHR095680, CARHR095690, CARHR095670	XP_018440339.1, XP_018435080.1, XP_018436775.1
OG0000108	CARHR131960	XP_018476215.1, XP_018441209.1
OG0000108	CARHR203590	XP_018445204.1, XP_018476330.1, XP_018471220.1
OG0000108	CARHR094190	XP_018440679.1, XP_018492579.1
OG0000110	CARHR151660	XP_018464346.1, XP_018460458.1, XP_018487640.1, XP_018453398.1, XP_018458166.1, XP_018458754.1
OG0000111	CARHR148290	XP_018470802.1, XP_018479437.1, XP_018436418.1, XP_018473888.1
OG0000114	CARHR258830, CARHR283860	XP_018456273.1
OG0000116	CARHR217650	XP_018487410.1
OG0000116	CARHR101930	XP_018453443.1
OG0000117	CARHR024100	XP_018434385.1
OG0000118	CARHR101240, CARHR101220, CARHR133050, CARHR115930, CARHR115940, CARHR115970, CARHR133070, CARHR133060	XP_018491246.1, XP_018488077.1, XP_018438578.1, XP_018442744.1, XP_018491336.1, XP_018485751.1, XP_018486403.1, XP_018488302.1, XP_018482093.1
OG0000119	CARHR059580, CARHR150110	XP_018435717.1
OG0000119	CARHR114860, CARHR256190, CARHR263010, CARHR150080, CARHR150140, CARHR143200, CARHR207890, CARHR150200	XP_018479792.1
OG0000121	CARHR054680, CARHR054690, CARHR181920, CARHR054110, CARHR100990, CARHR102670	XP_018448551.1
OG0000122	CARHR269740	XP_018475453.1, XP_018473352.1, XP_018474205.1
OG0000122	CARHR269900, CARHR036560, CARHR031790, CARHR031760, CARHR036530, CARHR269750	XP_018460882.1
OG0000122	CARHR129080, CARHR031770, CARHR269910, CARHR269890	XP_018473651.1
OG0000122	CARHR033520, CARHR033430	XP_018453563.1, XP_018487691.1
OG0000122	CARHR269930	XP_018468941.1
OG0000123	CARHR181480, CARHR181490	XP_018448747.1, XP_018459700.1, XP_018459701.1, XP_018459703.1, XP_018466453.1, XP_018459702.1, XP_018459697.1, XP_018459698.1, XP_018459699.1, XP_018448750.1, XP_018448748.1, XP_018465661.1, XP_018450290.1, XP_018459696.1, XP_018448772.1, XP_018448773.1, XP_018448746.1, XP_018448771.1, XP_018448752.1, XP_018467474.1, XP_018467238.1, XP_018459695.1, XP_018448753.1, XP_018448754.1, XP_018459694.1
OG0000124	CARHR261370	XP_018467348.1
OG0000124	CARHR259840	XP_018458113.1, XP_018474425.1
OG0000125	CARHR122240	XP_018478791.1, XP_018437245.1, XP_018462942.1
OG0000125	CARHR007350	XP_018493580.1, XP_018487612.1
OG0000125	CARHR039100	XP_018485742.1
OG0000125	CARHR041970, CARHR041980	XP_018486058.1
OG0000125	CARHR097260	XP_018485989.1, XP_018488966.1
OG0000126	CARHR048790, CARHR257160	XP_018464668.1
OG0000126	CARHR103200	XP_018465786.1
OG0000126	CARHR217430, CARHR184740	XP_018448241.1, XP_018448597.1
OG0000127	CARHR190650	XP_018442304.1, XP_018463483.1, XP_018464380.1
OG0000127	CARHR163570	XP_018485557.1, XP_018478149.1
OG0000127	CARHR121850	XP_018441606.1, XP_018478084.1, XP_018472875.1
OG0000128	CARHR061850	XP_018444638.1
OG0000128	CARHR104600	XP_018460829.1
OG0000128	CARHR169580	XP_018489183.1, XP_018442568.1, XP_018459990.1
OG0000128	CARHR169600	XP_018459995.1
OG0000128	CARHR169570	XP_018487764.1, XP_018461995.1
OG0000129	CARHR038520, CARHR038560	XP_018491243.1, XP_018491241.1
OG0000129	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730	XP_018438997.1, XP_018435583.1, XP_018439597.1, XP_018439599.1, XP_018435186.1
OG0000130	CARHR287060, CARHR146840	XP_018464495.1
OG0000130	CARHR182430	XP_018461011.1, XP_018465244.1
OG0000132	CARHR164880	XP_018490205.1, XP_018464835.1, XP_018486610.1, XP_018465554.1, XP_018489158.1, XP_018489931.1, XP_018465557.1, XP_018490414.1
OG0000132	CARHR277260	XP_018435564.1, XP_018466320.1
OG0000132	CARHR214020	XP_018492037.1
OG0000132	CARHR214030	XP_018474558.1
OG0000134	CARHR054550, CARHR054640, CARHR054580, CARHR151520	XP_018438959.1, XP_018438956.1
OG0000136	CARHR186370	XP_018473630.1
OG0000137	CARHR268710	XP_018466390.1
OG0000137	CARHR268720	XP_018452340.1
OG0000137	CARHR268700	XP_018469497.1, XP_018452341.1, XP_018454603.1
OG0000137	CARHR268680	XP_018454803.1
OG0000141	CARHR220970, CARHR220990	XP_018489511.1
OG0000141	CARHR012600	XP_018485467.1
OG0000141	CARHR255820	XP_018492203.1
OG0000141	CARHR012590	XP_018440872.1
OG0000141	CARHR013070	XP_018489435.1
OG0000141	CARHR048210, CARHR049580, CARHR049710, CARHR049690, CARHR049380, CARHR049330, CARHR049720, CARHR049640, CARHR049340, CARHR049700, CARHR048830, CARHR049260	XP_018454446.1, XP_018454444.1
OG0000143	CARHR181670, CARHR183500	XP_018464818.1, XP_018464198.1, XP_018443711.1, XP_018487913.1, XP_018448766.1, XP_018459729.1, XP_018467146.1, XP_018487762.1, XP_018463067.1
OG0000148	CARHR037410	XP_018474116.1, XP_018450098.1
OG0000148	CARHR037710, CARHR037720, CARHR037850	XP_018488107.1
OG0000150	CARHR288220	XP_018462446.1
OG0000151	CARHR151000	XP_018484857.1, XP_018484839.1
OG0000151	CARHR165130	XP_018491621.1, XP_018443657.1, XP_018481788.1
OG0000151	CARHR165120	XP_018483151.1
OG0000151	CARHR134140	XP_018439853.1
OG0000151	CARHR165110	XP_018481215.1
OG0000151	CARHR132240	XP_018478165.1, XP_018478354.1
OG0000151	CARHR199860	XP_018445846.1
OG0000153	CARHR124170, CARHR124160, CARHR124140	XP_018480951.1
OG0000153	CARHR122600, CARHR122610	XP_018477489.1
OG0000153	CARHR122540	XP_018475632.1, XP_018475595.1
OG0000153	CARHR007210	XP_018451355.1, XP_018448203.1
OG0000153	CARHR007190	XP_018489135.1
OG0000153	CARHR122550	XP_018481073.1, XP_018477487.1, XP_018438804.1, XP_018439613.1
OG0000154	CARHR121480	XP_018479145.1
OG0000154	CARHR290670	XP_018449548.1
OG0000154	CARHR040880, CARHR041470	XP_018485330.1
OG0000154	CARHR041490, CARHR040850	XP_018477996.1
OG0000157	CARHR029970	XP_018447035.1, XP_018466284.1, XP_018469964.1, XP_018467053.1, XP_018465922.1, XP_018468683.1
OG0000157	CARHR253630, CARHR047620	XP_018448171.1
OG0000158	CARHR113640	XP_018455540.1
OG0000158	CARHR150520	XP_018479452.1
OG0000159	CARHR184120	XP_018450983.1, XP_018460947.1
OG0000160	CARHR109500	XP_018456672.1, XP_018439896.1
OG0000160	CARHR238090	XP_018482147.1, XP_018459851.1, XP_018480330.1, XP_018459849.1, XP_018470513.1, XP_018447677.1, XP_018447191.1
OG0000160	CARHR271150	XP_018470730.1, XP_018456230.1
OG0000160	CARHR104060	XP_018489772.1
OG0000160	CARHR153650	XP_018440073.1
OG0000160	CARHR073860	XP_018442966.1, XP_018453169.1
OG0000160	CARHR117520	XP_018441376.1
OG0000162	CARHR127170	XP_018438649.1
OG0000163	CARHR259710, CARHR057870, CARHR288340	XP_018473864.1, XP_018476696.1
OG0000166	CARHR115410, CARHR183960	XP_018466358.1
OG0000166	CARHR067330	XP_018453394.1
OG0000166	CARHR115420	XP_018461465.1, XP_018482827.1
OG0000166	CARHR067380	XP_018443442.1
OG0000166	CARHR050360, CARHR220400, CARHR067460, CARHR067550, CARHR067350, CARHR060140, CARHR067390, CARHR067560	XP_018442278.1
OG0000166	CARHR019250	XP_018460684.1, XP_018463769.1
OG0000166	CARHR067410, CARHR067450	XP_018443534.1
OG0000167	CARHR096970	XP_018490261.1
OG0000167	CARHR099220	XP_018487656.1
OG0000169	CARHR148260, CARHR265180, CARHR265400, CARHR149520, CARHR149530, CARHR116790, CARHR043210, CARHR041580, CARHR040020, CARHR042890, CARHR042510, CARHR043190, CARHR260050, CARHR042900, CARHR041590, CARHR042520, CARHR043200, CARHR263740, CARHR037920	XP_018490650.1, XP_018465835.1, XP_018488136.1, XP_018460812.1, XP_018449930.1, XP_018450149.1, XP_018464337.1, XP_018493592.1, XP_018476446.1
OG0000170	CARHR140750	XP_018485103.1
OG0000170	CARHR186310, CARHR140760	XP_018478569.1
OG0000170	CARHR140730	XP_018481458.1
OG0000171	CARHR266340	XP_018471382.1, XP_018457991.1
OG0000171	CARHR107000	XP_018435045.1
OG0000171	CARHR269520	XP_018476067.1, XP_018468491.1, XP_018455854.1
OG0000171	CARHR083000, CARHR082990	XP_018440453.1, XP_018492109.1, XP_018491228.1, XP_018486328.1
OG0000171	CARHR235660	XP_018447674.1, XP_018461966.1, XP_018445231.1
OG0000173	CARHR246590	XP_018451159.1
OG0000173	CARHR132630	XP_018471389.1
OG0000174	CARHR292260, CARHR102990	XP_018435672.1
OG0000174	CARHR115250	XP_018461398.1, XP_018461214.1, XP_018473885.1, XP_018443531.1, XP_018443569.1
OG0000175	CARHR023910	XP_018486354.1, XP_018471533.1, XP_018466301.1, XP_018433300.1
OG0000175	CARHR063650	XP_018457613.1
OG0000175	CARHR198650	XP_018446341.1
OG0000175	CARHR052550	XP_018461928.1, XP_018466967.1
OG0000175	CARHR142560	XP_018441749.1
OG0000176	CARHR118040	XP_018440112.1
