Orthogroup	Cardamine_hirsuta	Arabidopsis_lyrata_NCBI
OG0000046	CARHR273180, CARHR286710, CARHR217190	XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1, XP_020883604.1, XP_020876127.1
OG0000047	CARHR257880	XP_020883415.1
OG0000048	CARHR261660, CARHR042940	XP_002894465.2
OG0000048	CARHR126110	XP_002886496.1, XP_002886498.2
OG0000051	CARHR002800	XP_020868191.1
OG0000051	CARHR137510	XP_002881850.2
OG0000051	CARHR137530	XP_020883122.1
OG0000051	CARHR127280	XP_020884766.1, XP_020885237.1, XP_020890130.1
OG0000051	CARHR137550, CARHR137540	XP_020883307.1
OG0000051	CARHR260850	XP_020883311.1
OG0000052	CARHR148060	XP_020882260.1
OG0000052	CARHR065210, CARHR065340	XP_002894621.2
OG0000052	CARHR150860	XP_020881195.1, XP_020881409.1
OG0000052	CARHR162550	XP_020881215.1, XP_020881213.1
OG0000052	CARHR162560	XP_020881212.1
OG0000052	CARHR162510	XP_020881214.1
OG0000052	CARHR157840	XP_020882208.1
OG0000052	CARHR148050, CARHR278920, CARHR148010, CARHR065350	XP_020886942.1
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	XP_020889173.1
OG0000055	CARHR092560, CARHR092720	XP_020889148.1
OG0000055	CARHR107830, CARHR149830, CARHR108270	XP_002862289.1
OG0000055	CARHR092150, CARHR092000	XP_020889167.1
OG0000055	CARHR149840	XP_020883674.1
OG0000055	CARHR111010	XP_020886503.1, XP_020887842.1
OG0000055	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370	XP_020886512.1
OG0000055	CARHR092630, CARHR092620, CARHR213520	XP_020889170.1
OG0000056	CARHR049970	XP_002886488.1
OG0000056	CARHR049990, CARHR050000	XP_020865627.1
OG0000056	CARHR050280, CARHR049980, CARHR050290	XP_002888053.1
OG0000056	CARHR050160	XP_020891223.1
OG0000056	CARHR155600	XP_020880767.1
OG0000059	CARHR293330, CARHR148640, CARHR151940, CARHR118340	XP_020889554.1, XP_020890752.1, XP_020876125.1
OG0000059	CARHR286550, CARHR102470, CARHR152130	XP_020879890.1, XP_020878851.1, XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1, XP_020870695.1
OG0000061	CARHR228580	XP_020868372.1, XP_020870753.1, XP_020869081.1, XP_020868711.1
OG0000061	CARHR270010	XP_020867733.1
OG0000061	CARHR039590	XP_020879494.1
OG0000061	CARHR123140	XP_020886448.1, XP_020870001.1
OG0000061	CARHR151510, CARHR219570	XP_020891333.1, XP_020888256.1
OG0000064	CARHR054420, CARHR289730, CARHR289690	XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1
OG0000065	CARHR059090	XP_020865720.1
OG0000065	CARHR059270, CARHR059250	XP_020865823.1, XP_020865819.1
OG0000065	CARHR059080	XP_020865822.1, XP_020865825.1
OG0000065	CARHR059360, CARHR263420	XP_020865724.1
OG0000065	CARHR214430	XP_020876931.1
OG0000065	CARHR263400	XP_020872917.1
OG0000065	CARHR263410	XP_020872918.1
OG0000066	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1
OG0000066	CARHR068990	XP_020891413.1, XP_020877536.1
OG0000066	CARHR202310	XP_020875249.1, XP_020875248.1, XP_020876760.1
OG0000068	CARHR210190	XP_002883446.1, XP_002873094.1, XP_002871038.2, XP_020879355.1, XP_020881372.1
OG0000068	CARHR064230	XP_002871317.2
OG0000070	CARHR010350	XP_020867590.1
OG0000070	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	XP_002883942.1, XP_002875195.1, XP_002875194.1
OG0000070	CARHR020650	XP_020885789.1, XP_002890373.1, XP_002887052.2
OG0000070	CARHR069500	XP_020891141.1
OG0000070	CARHR284690	XP_002863814.1
OG0000070	CARHR052170, CARHR288810	XP_002867118.1
OG0000072	CARHR153090	XP_020891370.1, XP_002865523.2
OG0000072	CARHR049910, CARHR219260, CARHR119870, CARHR260200	XP_020876164.1, XP_020889278.1
OG0000075	CARHR247180	XP_002868913.1
OG0000075	CARHR247140	XP_002868917.2
OG0000075	CARHR247160	XP_020874617.1
OG0000075	CARHR286190, CARHR286200, CARHR286160	XP_020875017.1, XP_002863944.2
OG0000075	CARHR285960	XP_020875009.1, XP_020871408.1
OG0000076	CARHR247830	XP_020872718.1
OG0000076	CARHR127180	XP_020884728.1
OG0000077	CARHR054510	XP_002894680.1
OG0000077	CARHR145640	XP_020881582.1, XP_020881188.1
OG0000077	CARHR009640	XP_020868196.1
OG0000078	CARHR077950	XP_002884413.1
OG0000078	CARHR194990, CARHR195030, CARHR195060, CARHR195010	XP_002871799.1, XP_020877812.1, XP_002873872.1, XP_002873870.1, XP_020877813.1
OG0000079	CARHR180710, CARHR151670, CARHR119610	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1
OG0000081	CARHR217030	XP_020870247.1
OG0000081	CARHR264280	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1
OG0000086	CARHR214810	XP_002868825.1
OG0000086	CARHR276580	XP_002864819.1
OG0000086	CARHR214830	XP_002870579.2
OG0000086	CARHR214840	XP_002868826.1
OG0000086	CARHR214870	XP_002868577.1
OG0000086	CARHR058600	XP_020865653.1
OG0000089	CARHR189700	XP_020879374.1
OG0000089	CARHR155480	XP_020880680.1
OG0000089	CARHR122890	XP_020883550.1
OG0000089	CARHR200860	XP_002873559.1
OG0000089	CARHR178800	XP_002863588.1
OG0000089	CARHR227450	XP_020872103.1
OG0000089	CARHR128920	XP_002881356.1
OG0000089	CARHR020480	XP_020866480.1
OG0000089	CARHR069200	XP_020890671.1
OG0000091	CARHR156270	XP_002875849.2
OG0000091	CARHR156220, CARHR156240	XP_020881857.1, XP_020881860.1
OG0000091	CARHR192340, CARHR192330	XP_020878730.1
OG0000091	CARHR262970	XP_002864053.1
OG0000092	CARHR257050	XP_020879516.1
OG0000095	CARHR116960, CARHR117230, CARHR116990	XP_020885291.1, XP_020884026.1
OG0000095	CARHR117020	XP_020884027.1
OG0000095	CARHR116980, CARHR117870, CARHR117890, CARHR116700	XP_020884655.1
OG0000095	CARHR116940	XP_002878787.2
OG0000095	CARHR117220	XP_020885162.1
OG0000095	CARHR117860	XP_002880565.1, XP_020884335.1
OG0000096	CARHR084920	XP_002885709.2, XP_020888916.1, XP_002885705.1, XP_002885707.1
OG0000096	CARHR093690	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020865803.1, XP_020886742.1, XP_002883180.1, XP_002884070.2
OG0000096	CARHR094810, CARHR094850, CARHR094860, CARHR094840	XP_020889406.1
OG0000096	CARHR159090, CARHR101800, CARHR101790	XP_002872691.1
OG0000098	CARHR046250	XP_020865728.1
OG0000098	CARHR174970	XP_002893476.1, XP_020869068.1
OG0000100	CARHR055030	XP_020867631.1
OG0000100	CARHR047580, CARHR047440, CARHR261260, CARHR047450	XP_020891283.1
OG0000100	CARHR047060	XP_020890033.1
OG0000100	CARHR051270, CARHR051280, CARHR051250	XP_020891540.1
OG0000102	CARHR252050, CARHR252070, CARHR252100	XP_002874844.1
OG0000102	CARHR252110, CARHR252090	XP_020876795.1
OG0000102	CARHR252060	XP_002865915.2
OG0000105	CARHR181190, CARHR228760	XP_020875322.1
OG0000106	CARHR055550	XP_020871478.1, XP_020889746.1
OG0000107	CARHR095660	XP_020887921.1
OG0000107	CARHR095650	XP_002883228.1
OG0000107	CARHR095610	XP_002883226.2
OG0000107	CARHR096820, CARHR096830	XP_020888430.1
OG0000107	CARHR097220, CARHR095680, CARHR095690, CARHR095670	XP_020886789.1
OG0000108	CARHR285740	XP_020882238.1, XP_020871933.1
OG0000108	CARHR086670	XP_020888275.1
OG0000108	CARHR203590	XP_020876820.1
OG0000108	CARHR094190	XP_020867828.1, XP_002883150.1
OG0000110	CARHR151660	XP_020870662.1
OG0000111	CARHR148290	XP_002877840.1, XP_002876201.1, XP_002875482.1, XP_020865753.1
OG0000114	CARHR258830, CARHR283860	XP_020885335.1, XP_020881794.1, XP_020882022.1
OG0000114	CARHR118270	XP_020878269.1
OG0000115	CARHR155450	XP_020889357.1
OG0000117	CARHR023950	XP_020869256.1
OG0000117	CARHR024070	XP_020866884.1
OG0000117	CARHR024100	XP_002893302.1
OG0000118	CARHR101240, CARHR101220	XP_020882923.1
OG0000118	CARHR133050	XP_020882845.1, XP_020882847.1, XP_020885096.1
OG0000118	CARHR133070, CARHR133060	XP_020875172.1
OG0000118	CARHR099660	XP_002885586.1, XP_020888654.1
OG0000119	CARHR150070, CARHR118170	XP_020882357.1
OG0000119	CARHR059580, CARHR150110	XP_020881724.1
OG0000119	CARHR114860	XP_002878927.2, XP_020885607.1, XP_002878925.2
OG0000119	CARHR256190, CARHR263010	XP_002875622.2
OG0000119	CARHR143200, CARHR207890	XP_020876007.1
OG0000119	CARHR150200	XP_002877410.2, XP_020881729.1
OG0000122	CARHR269920	XP_020866960.1
OG0000122	CARHR269730	XP_020871241.1
OG0000122	CARHR129080, CARHR031770, CARHR269910, CARHR269890	XP_002864448.2
OG0000122	CARHR269930	XP_020865748.1
OG0000123	CARHR283690, CARHR187420, CARHR274650, CARHR274680, CARHR016560, CARHR042770	XP_002884106.1
OG0000123	CARHR274670	XP_002878578.1
OG0000124	CARHR261370	XP_020875630.1
OG0000125	CARHR122140	XP_020883008.1, XP_020885175.1
OG0000125	CARHR122190	XP_020885247.1
OG0000125	CARHR007350	XP_020870885.1
OG0000125	CARHR039100	XP_020866497.1
OG0000125	CARHR041970	XP_020870264.1, XP_020870260.1, XP_020870269.1
OG0000125	CARHR102140	XP_020886046.1
OG0000125	CARHR097260	XP_020886058.1
OG0000125	CARHR258870	XP_020870266.1
OG0000125	CARHR041960	XP_020870268.1
OG0000126	CARHR103200	XP_020885553.1
OG0000127	CARHR007600	XP_020868538.1
OG0000127	CARHR190650	XP_002874101.1
OG0000127	CARHR210790	XP_002873061.1
OG0000127	CARHR273520	XP_020872447.1, XP_002864658.2
OG0000127	CARHR154340, CARHR154390	XP_002877451.1
OG0000127	CARHR121850	XP_002879182.1
OG0000128	CARHR061850	XP_020879745.1
OG0000128	CARHR169630	XP_020879609.1
OG0000128	CARHR123020, CARHR061840	XP_020879607.1
OG0000128	CARHR169580	XP_020880511.1
OG0000128	CARHR169600	XP_020880525.1
OG0000128	CARHR169570	XP_020880503.1
OG0000129	CARHR038520, CARHR038560, CARHR056630	XP_020890882.1
OG0000129	CARHR056640	XP_020890886.1
OG0000129	CARHR275720, CARHR275710	XP_020867988.1, XP_002864761.1, XP_020871006.1
OG0000129	CARHR120250, CARHR120240, CARHR120610	XP_020885823.1, XP_002879145.1
OG0000129	CARHR275730	XP_020884859.1
OG0000129	CARHR038530, CARHR038540, CARHR056610	XP_020890885.1
OG0000130	CARHR158410, CARHR153220, CARHR117340, CARHR057000	XP_020866264.1, XP_020866430.1, XP_020875826.1, XP_020881874.1, XP_020870431.1, XP_020890790.1, XP_020888401.1
OG0000130	CARHR038370, CARHR217450	XP_002865522.1, XP_020866113.1, XP_020881817.1, XP_020873128.1
OG0000132	CARHR164880	XP_020880888.1
OG0000132	CARHR277270	XP_020882481.1, XP_020882467.1
OG0000132	CARHR277260	XP_020871481.1, XP_020883459.1
OG0000132	CARHR214020	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1
OG0000134	CARHR054550, CARHR054640, CARHR054580	XP_002892003.1, XP_020866269.1, XP_020870825.1
OG0000134	CARHR106050	XP_020865886.1
OG0000134	CARHR202050	XP_020879464.1, XP_020879441.1, XP_002863119.2, XP_020875295.1, XP_020875315.1, XP_002873501.1
OG0000137	CARHR268720	XP_002866093.1
OG0000137	CARHR268700	XP_020870474.1
OG0000137	CARHR268690	XP_002866092.1
OG0000137	CARHR268680	XP_020872008.1
OG0000138	CARHR052000	XP_020880953.1, XP_020865702.1
OG0000138	CARHR169360	XP_020880550.1
OG0000138	CARHR169320	XP_020880529.1
OG0000138	CARHR169390	XP_020881910.1, XP_020880545.1
OG0000140	CARHR146770	XP_020890722.1
OG0000141	CARHR012600	XP_020869968.1
OG0000141	CARHR012590	XP_020867361.1
OG0000141	CARHR012520	XP_020867542.1
OG0000141	CARHR220850	XP_020874215.1
OG0000141	CARHR013070	XP_002889921.2
OG0000141	CARHR048830, CARHR049260	XP_020891221.1
OG0000148	CARHR037410	XP_002894068.1
OG0000148	CARHR040900	XP_020866202.1
OG0000148	CARHR040920	XP_020889929.1
OG0000148	CARHR037710, CARHR037720, CARHR037850	XP_020868378.1, XP_020868376.1
OG0000150	CARHR217380, CARHR294480	XP_020889706.1, XP_020866739.1
OG0000151	CARHR165130	XP_020881605.1
OG0000151	CARHR165120	XP_002878017.1
OG0000151	CARHR134140	XP_002881649.1
OG0000151	CARHR165110	XP_002878016.1
OG0000151	CARHR163410	XP_020880621.1
OG0000151	CARHR132240	XP_020884903.1
OG0000151	CARHR199860	XP_002871574.1
OG0000153	CARHR124170, CARHR124160	XP_002881123.1
OG0000153	CARHR122600, CARHR122610	XP_020885353.1
OG0000153	CARHR007190	XP_020866558.1
OG0000154	CARHR040870	XP_020866593.1
OG0000154	CARHR121480	XP_020879595.1, XP_020877958.1
OG0000154	CARHR290670	XP_020874310.1
OG0000154	CARHR040880, CARHR041470	XP_020866511.1
OG0000154	CARHR041490, CARHR040850	XP_020867950.1, XP_020867947.1, XP_020867946.1, XP_020866200.1
OG0000154	CARHR040760, CARHR040790, CARHR041510	XP_020867949.1
OG0000157	CARHR144020	XP_020866091.1
OG0000157	CARHR029970	XP_020889806.1
OG0000158	CARHR245230	XP_002869017.2
OG0000158	CARHR210870	XP_020873567.1, XP_020873647.1, XP_002869930.1
OG0000160	CARHR109500	XP_020888881.1
OG0000160	CARHR238090	XP_020872380.1
OG0000160	CARHR271150	XP_020870964.1
OG0000160	CARHR104060	XP_020889051.1
OG0000160	CARHR153650	XP_020882578.1
OG0000160	CARHR073860	XP_020890865.1
OG0000160	CARHR117520	XP_020885195.1
OG0000161	CARHR059960, CARHR284490	XP_002892325.1
OG0000162	CARHR127170	XP_002879435.1
OG0000162	CARHR145910, CARHR145930	XP_002875217.1
OG0000162	CARHR102790, CARHR102800, CARHR102820	XP_020888514.1
OG0000162	CARHR102810, CARHR103310	XP_002883663.1, XP_020887605.1
OG0000162	CARHR127190	XP_002879439.1, XP_002879438.1
OG0000165	CARHR085710, CARHR085700, CARHR085180	XP_002883872.1, XP_020866166.1
OG0000166	CARHR115420	XP_020885127.1
OG0000167	CARHR096990	XP_002883624.2
OG0000167	CARHR097030	XP_020888465.1, XP_020886358.1, XP_020886753.1
OG0000167	CARHR099220	XP_020889511.1
OG0000169	CARHR042890, CARHR042510, CARHR043190, CARHR260050	XP_002877168.1
OG0000169	CARHR219990	XP_020868436.1, XP_002894040.2
OG0000170	CARHR140800	XP_002882022.1
OG0000170	CARHR171350	XP_020882337.1
OG0000170	CARHR186310, CARHR140760	XP_002882021.1
OG0000170	CARHR140780, CARHR140790, CARHR140740	XP_002882020.2
OG0000171	CARHR266340	XP_002865968.1
OG0000171	CARHR046700	XP_020874812.1, XP_002887912.1
OG0000171	CARHR107000	XP_020888018.1
OG0000171	CARHR269520	XP_020891046.1
OG0000171	CARHR082990	XP_020888570.1
OG0000171	CARHR235660	XP_002867477.1
OG0000173	CARHR246590	XP_002868934.1
OG0000173	CARHR246290, CARHR146050	XP_002866926.1
OG0000174	CARHR292260, CARHR102990	XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1, XP_020866195.1
OG0000174	CARHR115250	XP_020876483.1
OG0000175	CARHR023910	XP_020870037.1, XP_020890687.1
OG0000175	CARHR010800	XP_002892585.1
OG0000175	CARHR198650	XP_002871626.1
OG0000176	CARHR118040	XP_020883479.1, XP_020883055.1, XP_020882682.1, XP_020882656.1
OG0000176	CARHR176300	XP_020889939.1
OG0000176	CARHR291350, CARHR291370	XP_020865931.1, XP_020872871.1
OG0000177	CARHR021660	XP_020869474.1
OG0000177	CARHR181970	XP_020869475.1
OG0000177	CARHR059110	XP_020869473.1
OG0000178	CARHR253020	XP_002874799.1
OG0000178	CARHR250370	XP_002872696.1
OG0000178	CARHR250360	XP_020877648.1
OG0000178	CARHR252970, CARHR263930	XP_020877653.1
OG0000178	CARHR252960	XP_002872697.1
OG0000179	CARHR284060, CARHR284130, CARHR283910, CARHR284020, CARHR283760, CARHR284100, CARHR283900, CARHR053500, CARHR284050, CARHR284010	XP_020868284.1
OG0000179	CARHR284070	XP_002886692.2
OG0000179	CARHR283730	XP_020890288.1
OG0000182	CARHR167770	XP_020882675.1, XP_020881705.1, XP_020881706.1
OG0000182	CARHR166230	XP_020870979.1
OG0000183	CARHR215030, CARHR058380	XP_002888498.1, XP_002870564.1
OG0000183	CARHR119300	XP_002879035.1
OG0000184	CARHR097900	XP_020886142.1
OG0000185	CARHR279920	XP_002876919.1
OG0000185	CARHR087540, CARHR087530	XP_020871016.1, XP_020867770.1
OG0000185	CARHR160040, CARHR160050	XP_020866285.1
OG0000185	CARHR028040	XP_002890779.1
OG0000186	CARHR147550, CARHR269160	XP_020881811.1
OG0000186	CARHR113370	XP_020884619.1, XP_020882765.1
OG0000186	CARHR050630	XP_020891314.1
OG0000187	CARHR112670, CARHR112680	XP_020882989.1, XP_002878566.1
OG0000187	CARHR020040	XP_020869806.1
OG0000188	CARHR078890	XP_020874302.1
OG0000188	CARHR201470	XP_020879451.1, XP_020879478.1, XP_002873533.1
OG0000189	CARHR160880	XP_002876081.1
OG0000189	CARHR244350	XP_020873047.1
OG0000189	CARHR108220	XP_020885855.1
OG0000189	CARHR069390	XP_002887616.1
OG0000189	CARHR020570	XP_020870471.1
OG0000192	CARHR049240	XP_020890702.1
OG0000193	CARHR031320, CARHR091800, CARHR036940	XP_002885152.1
OG0000193	CARHR091790	XP_020888709.1, XP_020887386.1, XP_002865715.1, XP_002885153.1
OG0000193	CARHR036380, CARHR036970	XP_002891353.1
OG0000193	CARHR031880	XP_020866445.1, XP_020869780.1, XP_020869845.1
OG0000195	CARHR191180	XP_020877989.1
OG0000195	CARHR273570	XP_020884059.1
OG0000196	CARHR272910, CARHR213580, CARHR272900, CARHR287600, CARHR287570, CARHR212840, CARHR289150	XP_020872249.1, XP_020883783.1, XP_020874890.1
OG0000196	CARHR262360	XP_002868590.1
OG0000197	CARHR215060, CARHR215050, CARHR215370	XP_020872600.1, XP_020872360.1
OG0000197	CARHR226280, CARHR226370	XP_020872593.1
OG0000198	CARHR144080	XP_002875203.1, XP_002875076.1
OG0000198	CARHR015470	XP_002892838.1, XP_020869981.1
OG0000198	CARHR015480	XP_020869449.1
OG0000198	CARHR147290	XP_020882067.1
OG0000199	CARHR063270, CARHR063300, CARHR163030, CARHR063260, CARHR063690, CARHR063700, CARHR263650	XP_002891651.2, XP_002891717.1, XP_020868387.1
OG0000199	CARHR251110, CARHR215270	XP_020874321.1
OG0000200	CARHR203250	XP_020867608.1
OG0000200	CARHR028750, CARHR037140	XP_020870363.1
OG0000200	CARHR037150	XP_020870362.1
OG0000202	CARHR250390, CARHR248840, CARHR250050, CARHR250400	XP_020879031.1
OG0000203	CARHR168640	XP_002878203.1, XP_020880570.1
OG0000203	CARHR168590, CARHR259860	XP_020880616.1
OG0000203	CARHR168740	XP_020880586.1
OG0000203	CARHR168770	XP_020880589.1
OG0000203	CARHR168690	XP_020880584.1
OG0000208	CARHR183230	XP_020876154.1
OG0000209	CARHR202500	XP_002871416.1
OG0000209	CARHR125670, CARHR125660, CARHR124000	XP_020883217.1
OG0000209	CARHR008650	XP_020867374.1
OG0000210	CARHR140170	XP_020884580.1
OG0000210	CARHR059620	XP_020865963.1
OG0000210	CARHR057970	XP_020891301.1
OG0000210	CARHR170850	XP_020879924.1
OG0000215	CARHR033990	XP_020874119.1, XP_020871428.1
OG0000215	CARHR055980, CARHR108830	XP_020866215.1, XP_020884668.1
OG0000215	CARHR284710	XP_002863102.2, XP_002878830.2, XP_020890798.1
OG0000216	CARHR253820, CARHR253860, CARHR253850	XP_020877703.1
OG0000216	CARHR253870	XP_002872655.2
OG0000216	CARHR253840	XP_002874641.2
OG0000216	CARHR054340	XP_020865893.1
OG0000216	CARHR166590	XP_002876368.2
OG0000219	CARHR065380	XP_020873116.1, XP_020873172.1, XP_020873179.1
OG0000219	CARHR272960	XP_020880727.1
OG0000219	CARHR123890	XP_020872035.1
OG0000225	CARHR072290	XP_020890466.1
OG0000225	CARHR072270, CARHR141370	XP_020889768.1
OG0000225	CARHR201930, CARHR072280	XP_020890452.1
OG0000226	CARHR118070, CARHR209970	XP_020881126.1
OG0000226	CARHR256020	XP_020877252.1
OG0000227	CARHR080100	XP_020886550.1
OG0000227	CARHR105470	XP_020886582.1
OG0000227	CARHR039350	XP_020877841.1
OG0000227	CARHR105540	XP_020888649.1
OG0000227	CARHR105520	XP_020888528.1
OG0000227	CARHR105480	XP_020890178.1
OG0000229	CARHR062190	XP_020884846.1, XP_002878902.1, XP_020884852.1
OG0000229	CARHR004570	XP_002877248.2, XP_020866249.1, XP_020866248.1, XP_002875577.1
OG0000230	CARHR186450, CARHR286030	XP_020880546.1, XP_020880539.1
OG0000230	CARHR169400	XP_020880534.1
OG0000233	CARHR205610	XP_002873316.1
OG0000233	CARHR205600, CARHR205590, CARHR205580	XP_020876210.1, XP_020876208.1
OG0000234	CARHR135510, CARHR049800	XP_002871007.2
OG0000234	CARHR095190	XP_002871005.2
OG0000234	CARHR100580, CARHR100650, CARHR100570	XP_020876636.1, XP_020879255.1, XP_002883924.1, XP_002891659.1
OG0000234	CARHR210300	XP_002871008.2
