Orthogroup	Cardamine_hirsuta	Arabidopsis_arenosa
OG0000032	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717
OG0000032	CARHR287680, CARHR287700, CARHR266450	jg27186
OG0000034	CARHR230270, CARHR230290	jg10193, jg10203, jg10197
OG0000034	CARHR055320, CARHR230240	jg10200
OG0000034	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070	jg10426
OG0000034	CARHR289950	jg10425
OG0000034	CARHR230320	jg10186
OG0000034	CARHR230230, CARHR230200	jg10202, jg10195, jg10208
OG0000034	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650	jg10177
OG0000035	CARHR120350	jg32621, jg13872
OG0000035	CARHR153260, CARHR182390	jg32484
OG0000042	CARHR260310	jg2222
OG0000042	CARHR181500	jg32380
OG0000044	CARHR116340	jg21039
OG0000044	CARHR223510	jg21834
OG0000044	CARHR175160	jg20587
OG0000044	CARHR289560, CARHR289640, CARHR175800, CARHR175810, CARHR175170, CARHR175250	jg20418
OG0000044	CARHR175260	jg20420
OG0000046	CARHR116100, CARHR183570, CARHR057390, CARHR107370	jg13501, jg20886
OG0000046	CARHR159290	jg29315, jg17523, jg14196
OG0000046	CARHR273180, CARHR286710, CARHR217190	jg1035, jg17283, jg1573, jg1834, jg309, jg32416
OG0000046	CARHR117470	jg1572, jg1555, jg21339
OG0000048	CARHR054750	jg20748, jg20747
OG0000048	CARHR261660, CARHR042940	jg33607
OG0000048	CARHR125110	jg18210, jg18207
OG0000048	CARHR125800	jg18270
OG0000048	CARHR126110	jg740
OG0000050	CARHR154060	jg14086
OG0000051	CARHR002800	jg29349
OG0000051	CARHR137510	jg19555
OG0000051	CARHR137530	jg19558
OG0000051	CARHR127280	jg19551, jg19550, jg907, jg19552, jg19554, jg18423
OG0000051	CARHR137550, CARHR137540	jg19560
OG0000051	CARHR260850	jg19564
OG0000052	CARHR148060	jg13373
OG0000052	CARHR065210, CARHR065340	jg1458, jg1459, jg1457
OG0000052	CARHR150860	jg13394, jg13392, jg13393
OG0000052	CARHR162490	jg20913, jg15189
OG0000052	CARHR162550	jg15188, jg15190
OG0000052	CARHR162560	jg15192
OG0000052	CARHR162510	jg15191
OG0000052	CARHR162500	jg20912
OG0000052	CARHR157840	jg14762
OG0000052	CARHR148050, CARHR278920, CARHR148010, CARHR065350	jg20319
OG0000052	CARHR162520, CARHR162530, CARHR292090	jg21516
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	jg25886, jg26868
OG0000055	CARHR100840	jg26780
OG0000055	CARHR108270	jg12073
OG0000055	CARHR092150, CARHR092000	jg25759, jg25744
OG0000055	CARHR149840	jg17788
OG0000055	CARHR111010	jg28057, jg28058
OG0000055	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370	jg27919
OG0000055	CARHR092630, CARHR092620, CARHR213520	jg25830
OG0000056	CARHR050320	jg748
OG0000056	CARHR049970	jg721
OG0000056	CARHR049990, CARHR050000	jg726
OG0000056	CARHR050280, CARHR049980, CARHR050290	jg745
OG0000056	CARHR050160	jg746
OG0000056	CARHR155600	jg14491
OG0000059	CARHR104020	jg31675, jg32414
OG0000059	CARHR286550, CARHR102470, CARHR152130	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178
OG0000060	CARHR273260	jg15309
OG0000060	CARHR132050	jg14419
OG0000061	CARHR228580	jg32915, jg32919, jg32548, jg32845, jg32861, jg32993
OG0000061	CARHR270010	jg1961, jg32859, jg32550, jg32843, jg32866, jg32855
OG0000061	CARHR039590	jg32841, jg32864, jg32857, jg32551
OG0000061	CARHR123140	jg25262, jg18012
OG0000061	CARHR123070	jg18005
OG0000061	CARHR151510, CARHR219570	jg375, jg20934, jg12023
OG0000064	CARHR054420, CARHR289730, CARHR289690	jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979
OG0000065	CARHR059090	jg2192
OG0000065	CARHR059230, CARHR059320, CARHR124320	jg2154
OG0000065	CARHR059270, CARHR059250	jg2209, jg2212, jg2195
OG0000065	CARHR059080	jg2188, jg2193
OG0000065	CARHR214430	jg6601
OG0000065	CARHR214340, CARHR214350	jg12333, jg12335
OG0000065	CARHR263400	jg12464
OG0000065	CARHR263410	jg12463
OG0000066	CARHR279310	jg4871
OG0000066	CARHR279320, CARHR202900	jg29279
OG0000066	CARHR068990	jg3219, jg3220
OG0000066	CARHR246630, CARHR202310, CARHR246640	jg4927
OG0000068	CARHR210960	jg4186
OG0000068	CARHR210190	jg4088, jg4089, jg14390, jg14389, jg14204, jg4055
OG0000068	CARHR064230	jg4679
OG0000070	CARHR010350	jg29403
OG0000070	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	jg28225, jg28226, jg13116, jg13115
OG0000070	CARHR020650	jg16631, jg30544, jg4483
OG0000070	CARHR069500	jg3251
OG0000070	CARHR284690	jg21183
OG0000070	CARHR052170, CARHR288810	jg8905
OG0000072	CARHR153090	jg12160, jg21424, jg13720, jg16912
OG0000072	CARHR049910, CARHR219260, CARHR119870, CARHR260200	jg7100, jg12084, jg27349, jg7332, jg11849
OG0000075	CARHR247180	jg8424, jg8422, jg21647
OG0000075	CARHR247140	jg8428
OG0000075	CARHR247160	jg8426
OG0000075	CARHR286190, CARHR286200, CARHR286160	jg21500, jg21501
OG0000075	CARHR285960	jg21503
OG0000075	CARHR174400	jg20353
OG0000076	CARHR247830	jg8362
OG0000076	CARHR127180	jg18482
OG0000077	CARHR176890	jg20569
OG0000077	CARHR054510	jg1310
OG0000077	CARHR288740	jg13131
OG0000077	CARHR145640	jg13128
OG0000077	CARHR009640	jg29337
OG0000078	CARHR077940	jg24239
OG0000078	CARHR194990, CARHR195030, CARHR195060, CARHR195010	jg5641, jg5643, jg5648, jg5639
OG0000079	CARHR180710, CARHR151670, CARHR119610	jg7377
OG0000081	CARHR217030	jg17678, jg24928, jg28032, jg1125, jg20814, jg32127, jg1799
OG0000081	CARHR264280	jg5265, jg31440, jg25892, jg12998, jg14036, jg6463
OG0000086	CARHR276580	jg23234
OG0000086	CARHR272990	jg12259
OG0000086	CARHR214830	jg12260
OG0000086	CARHR214870	jg12265, jg12276
OG0000086	CARHR214790, CARHR214760	jg12281
OG0000086	CARHR058600	jg2126, jg2127
OG0000089	CARHR189700	jg6235
OG0000089	CARHR276490	jg14482
OG0000089	CARHR122890	jg17972
OG0000089	CARHR200860	jg5068
OG0000089	CARHR178800	jg20749
OG0000089	CARHR227450	jg10485
OG0000089	CARHR128920	jg18593
OG0000089	CARHR020480	jg30528
OG0000089	CARHR069200	jg3235
OG0000091	CARHR155740	jg14507
OG0000091	CARHR192340, CARHR192330	jg5910
OG0000091	CARHR262970	jg21695
OG0000092	CARHR225740	jg1807
OG0000092	CARHR286110	jg14356
OG0000092	CARHR035170	jg17518
OG0000092	CARHR152920, CARHR180590, CARHR261190	jg32487
OG0000092	CARHR293270	jg26653
OG0000095	CARHR116960, CARHR117230, CARHR116990	jg16984
OG0000095	CARHR117020	jg16989, jg17288
OG0000095	CARHR116940	jg16997
OG0000095	CARHR117880, CARHR117220	jg16996
OG0000095	CARHR117860	jg16900, jg16897, jg16899
OG0000096	CARHR266870	jg17695
OG0000096	CARHR084920	jg26888, jg26886
OG0000096	CARHR093690	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg25966, jg12059, jg25964, jg25967, jg26027, jg26030, jg26079, jg27891
OG0000096	CARHR094810, CARHR094850, CARHR094860, CARHR094840	jg25957
OG0000096	CARHR159090, CARHR101800, CARHR101790, CARHR120380	jg27435
OG0000096	CARHR159080	jg14860
OG0000098	CARHR103960	jg27461, jg27465, jg16874, jg31283, jg17594, jg11987
OG0000098	CARHR000040, CARHR188170	jg6405, jg1132
OG0000098	CARHR046250	jg2306
OG0000098	CARHR174970	jg17595, jg31284
OG0000098	CARHR253270	jg17593
OG0000100	CARHR047460, CARHR047540	jg472
OG0000100	CARHR047080	jg476
OG0000100	CARHR055030	jg1396
OG0000100	CARHR047580, CARHR047440, CARHR261260, CARHR047450	jg492
OG0000100	CARHR047060	jg777
OG0000100	CARHR048000, CARHR048030, CARHR048060, CARHR048070, CARHR048510	jg515
OG0000100	CARHR051270, CARHR051280, CARHR051250, CARHR047730, CARHR047100	jg471
OG0000100	CARHR047140	jg475
OG0000101	CARHR154270, CARHR176810, CARHR287350, CARHR006250, CARHR183060, CARHR099970, CARHR036950	jg27510
OG0000102	CARHR252050, CARHR252070, CARHR252100	jg7815, jg7812, jg7813
OG0000102	CARHR252060	jg7818
OG0000105	CARHR106060	jg14191, jg14194
OG0000105	CARHR288500	jg12802, jg12815
OG0000105	CARHR047480	jg1379
OG0000105	CARHR263770	jg12426
OG0000105	CARHR047550	jg508
OG0000105	CARHR175180, CARHR153990, CARHR256480	jg12094
OG0000106	CARHR055550	jg17558, jg25723
OG0000107	CARHR119260, CARHR119250	jg17559, jg17556
OG0000107	CARHR095660	jg26161
OG0000107	CARHR095650	jg26159
OG0000107	CARHR095640	jg26158
OG0000107	CARHR095610	jg26157
OG0000107	CARHR097220, CARHR095680, CARHR095690, CARHR095670	jg26163
OG0000108	CARHR285740	jg14433, jg22870
OG0000108	CARHR203590	jg4799
OG0000111	CARHR148290	jg26895, jg27877, jg15265, jg13696, jg13695, jg13697, jg3144
OG0000114	CARHR258830, CARHR283860	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973
OG0000114	CARHR150440, CARHR283870, CARHR035130, CARHR286300, CARHR148220, CARHR118270, CARHR287300	jg6733
OG0000115	CARHR155450	jg32874, jg29546
OG0000116	CARHR101930	jg27190
OG0000117	CARHR023950	jg30923, jg30924
OG0000117	CARHR024070	jg30935, jg30933
OG0000117	CARHR024100	jg30938
OG0000118	CARHR101240, CARHR101220	jg19043
OG0000118	CARHR133050	jg19023, jg19021, jg19020
OG0000118	CARHR133070, CARHR133060	jg12773
OG0000118	CARHR099660	jg26630, jg26627, jg26631, jg26628
OG0000118	CARHR133040, CARHR180020	jg7233
OG0000118	CARHR078400, CARHR189820	jg24304
OG0000118	CARHR102680	jg26990
OG0000119	CARHR118700, CARHR273840	jg22962
OG0000119	CARHR059580, CARHR150110	jg14325
OG0000119	CARHR114860	jg17260, jg17259, jg17257
OG0000119	CARHR256190, CARHR263010	jg14055
OG0000119	CARHR143200, CARHR207890	jg4290
OG0000119	CARHR150200	jg14315, jg14316
OG0000122	CARHR036540, CARHR031780	jg31888
OG0000122	CARHR269730	jg22486
OG0000122	CARHR129080, CARHR031770, CARHR269910, CARHR269890	jg22485
OG0000122	CARHR033520, CARHR033430	jg22505, jg32572
OG0000122	CARHR269930	jg22508
OG0000123	CARHR274670	jg16607
OG0000124	CARHR261370	jg12674
OG0000125	CARHR122240	jg17897
OG0000125	CARHR122140	jg17896
OG0000125	CARHR122190	jg17890, jg17891, jg17887
OG0000125	CARHR007350	jg29111
OG0000125	CARHR039100	jg33004
OG0000125	CARHR041970	jg33352, jg33355
OG0000125	CARHR041980	jg33354
OG0000125	CARHR097260	jg26323
OG0000125	CARHR258870	jg33349
OG0000126	CARHR048790, CARHR257160	jg27207
OG0000126	CARHR103200	jg17369, jg17588
OG0000126	CARHR289900, CARHR149350, CARHR290850, CARHR034350, CARHR144860	jg32822
OG0000126	CARHR217430, CARHR184740	jg27206, jg17305
OG0000126	CARHR128510	jg27209
OG0000126	CARHR098000, CARHR034340	jg1403
OG0000126	CARHR116070, CARHR178380, CARHR257270	jg17368
OG0000127	CARHR007600	jg29136
OG0000127	CARHR190650	jg6123
OG0000127	CARHR163570	jg15301
OG0000127	CARHR210790	jg3993
OG0000127	CARHR273520	jg22931
OG0000127	CARHR154390	jg14383
OG0000127	CARHR121850	jg17851
OG0000128	CARHR169590, CARHR104610	jg12826
OG0000128	CARHR061820	jg20835
OG0000128	CARHR169630	jg27428, jg27424, jg15966
OG0000128	CARHR123020, CARHR061840	jg15965
OG0000128	CARHR169580	jg15959
OG0000128	CARHR169600	jg15960
OG0000129	CARHR038520, CARHR038560, CARHR056630	jg1820
OG0000129	CARHR056640	jg1822, jg1705, jg1715
OG0000129	CARHR056760, CARHR056690	jg1832
OG0000129	CARHR275720, CARHR275710	jg33436, jg33435, jg23141, jg23140
OG0000129	CARHR120250, CARHR120240, CARHR120610	jg17685, jg17683, jg17687
OG0000129	CARHR038530, CARHR038540, CARHR056610	jg1819
OG0000130	CARHR103120	jg25904
OG0000130	CARHR183650	jg12111
OG0000130	CARHR123710, CARHR043800	jg17565
OG0000130	CARHR183660	jg27977
OG0000132	CARHR164880	jg15428
OG0000132	CARHR277270	jg23313
OG0000132	CARHR277260	jg23312
OG0000132	CARHR214020	jg12398, jg12389, jg12393, jg12394, jg12395
OG0000132	CARHR214030	jg12396
OG0000134	CARHR054550, CARHR054640, CARHR054580	jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319
OG0000134	CARHR151520	jg27419
OG0000134	CARHR106050	jg2013
OG0000134	CARHR077970, CARHR202010	jg7114
OG0000134	CARHR202050	jg20992, jg20995, jg20998, jg20997, jg20999, jg4953, jg20994
OG0000137	CARHR268700	jg22365
OG0000137	CARHR268690	jg22364
OG0000137	CARHR268680	jg22363
OG0000138	CARHR052000	jg16317
OG0000138	CARHR169360	jg15930
OG0000138	CARHR169320	jg15926
OG0000138	CARHR169270	jg15923
OG0000138	CARHR169390	jg15932
OG0000140	CARHR146770	jg14078, jg1761, jg1441
OG0000141	CARHR012600	jg29672
OG0000141	CARHR012590	jg29671
OG0000141	CARHR012520	jg29664
OG0000141	CARHR220850	jg11302
OG0000141	CARHR013070	jg12025
OG0000141	CARHR048210	jg650
OG0000141	CARHR048950, CARHR048730, CARHR048980, CARHR049220, CARHR049190, CARHR048930, CARHR049010, CARHR156260	jg23265
OG0000143	CARHR116230, CARHR285000	jg20945
OG0000148	CARHR040900	jg33221
OG0000148	CARHR040920	jg461
OG0000148	CARHR037710, CARHR037720, CARHR037850	jg32882, jg32881, jg32883
OG0000151	CARHR165130	jg15449
OG0000151	CARHR165120	jg15448
OG0000151	CARHR134140	jg19118
OG0000151	CARHR165110	jg15447
OG0000151	CARHR163410	jg15282
OG0000151	CARHR132240	jg18884
OG0000151	CARHR199860	jg5170
OG0000153	CARHR124170, CARHR124160	jg18114
OG0000153	CARHR122600, CARHR122610	jg17940
OG0000153	CARHR122560	jg17932
OG0000153	CARHR122540	jg17933
OG0000153	CARHR007190	jg29098
OG0000154	CARHR040870	jg33217, jg33218
OG0000154	CARHR121480	jg5696, jg5697
OG0000154	CARHR290670	jg11063
OG0000154	CARHR040880, CARHR041470	jg33219
OG0000154	CARHR041490, CARHR040850	jg33216, jg33214, jg33213
OG0000154	CARHR040760, CARHR040790, CARHR041510	jg1392, jg1393, jg33212
OG0000157	CARHR029980	jg31645
OG0000157	CARHR029970	jg12097
OG0000158	CARHR245230	jg8653
OG0000158	CARHR210870	jg10511
OG0000160	CARHR109500	jg28078
OG0000160	CARHR238090	jg9392
OG0000160	CARHR271150	jg22635
OG0000160	CARHR104060	jg27288
OG0000160	CARHR153650	jg13954
OG0000160	CARHR073860	jg3697
OG0000160	CARHR117520	jg16942
OG0000161	CARHR059960, CARHR284490	jg6881
OG0000162	CARHR127170	jg18404
OG0000162	CARHR145900	jg13155, jg13158
OG0000162	CARHR145910, CARHR145930	jg13160
OG0000162	CARHR102810, CARHR103310	jg26999, jg27000, jg27001
OG0000162	CARHR127190	jg18412, jg18409, jg18408
OG0000163	CARHR058120, CARHR218430	jg1575, jg27445
OG0000166	CARHR115410, CARHR183960	jg21553
OG0000166	CARHR115420	jg17125
OG0000166	CARHR067380	jg21554
OG0000167	CARHR096990	jg26901
OG0000167	CARHR097030	jg26298, jg26296, jg26297
OG0000167	CARHR150060	jg14328, jg14329
OG0000167	CARHR099220	jg26576, jg26577
OG0000169	CARHR042890, CARHR042510, CARHR043190, CARHR260050	jg16530
OG0000169	CARHR042900, CARHR041590	jg16527
OG0000169	CARHR043200, CARHR263740	jg27591
OG0000169	CARHR219990	jg32767, jg32768, jg32765
OG0000170	CARHR140800	jg19952
OG0000170	CARHR171350	jg16152
OG0000170	CARHR186310, CARHR140760	jg19951
OG0000170	CARHR140780, CARHR140790, CARHR140740	jg19948
OG0000171	CARHR266340	jg22050
OG0000171	CARHR046700	jg12793
OG0000171	CARHR107000	jg27769
OG0000171	CARHR269520	jg22463
OG0000171	CARHR082990	jg24782
OG0000173	CARHR246590	jg8491, jg3298
OG0000173	CARHR246290	jg8611
OG0000174	CARHR292260, CARHR102990	jg21576, jg27974, jg7024, jg9836, jg1719, jg13725
OG0000174	CARHR115250	jg20878, jg12954, jg1495, jg13634, jg13504
OG0000175	CARHR198650	jg5289
OG0000175	CARHR142560	jg16299
OG0000176	CARHR118040	jg16886, jg16884, jg16885
OG0000176	CARHR291360, CARHR291330, CARHR121440	jg32007
OG0000176	CARHR176300	jg2771
OG0000176	CARHR291340, CARHR292140	jg2772
OG0000176	CARHR291350, CARHR291370	jg2773
OG0000177	CARHR021670	jg30663
OG0000177	CARHR181970	jg3362
OG0000178	CARHR253020	jg7702
OG0000178	CARHR250370	jg7704
OG0000178	CARHR250360	jg7703
OG0000178	CARHR252970, CARHR263930	jg7707
OG0000178	CARHR252960	jg7705
OG0000179	CARHR284070	jg1145
OG0000179	CARHR283730	jg1072
OG0000179	CARHR053540	jg1085, jg1082, jg1074, jg1073, jg1075, jg1083
OG0000179	CARHR053290, CARHR283710, CARHR053930	jg1022
OG0000182	CARHR167770	jg15782, jg15779, jg32711, jg15778
OG0000183	CARHR215030	jg2098
OG0000183	CARHR058380	jg12245
OG0000183	CARHR136200	jg15648, jg15712, jg19387
OG0000183	CARHR191680, CARHR114540	jg14060
OG0000183	CARHR119300	jg17567
OG0000184	CARHR103600	jg26401
OG0000184	CARHR097880	jg26416, jg26419
OG0000184	CARHR097890	jg26421
OG0000184	CARHR097900	jg26423
OG0000185	CARHR087540, CARHR087530	jg30960
OG0000185	CARHR028040	jg31379, jg31377
OG0000186	CARHR211050	jg3970
OG0000186	CARHR269100	jg22416
OG0000186	CARHR147550, CARHR269160	jg22417, jg22418
OG0000186	CARHR145130	jg13067
OG0000186	CARHR145120	jg13066
OG0000186	CARHR050630	jg19241
OG0000187	CARHR112670, CARHR112680	jg16584
OG0000187	CARHR020040	jg30474
OG0000188	CARHR201470	jg5008, jg5007, jg5020, jg5022, jg5021
OG0000189	CARHR160880	jg15013
OG0000189	CARHR069390	jg3242
OG0000189	CARHR020570	jg30537
OG0000192	CARHR233830	jg647
OG0000192	CARHR014050, CARHR014060	jg29806
OG0000193	CARHR031320, CARHR091800, CARHR036940	jg25724
OG0000193	CARHR091790	jg25726, jg27497, jg27499, jg27501, jg21538, jg27017, jg25725
OG0000193	CARHR036380, CARHR036970	jg32770
OG0000193	CARHR031880	jg31894, jg31896
OG0000195	CARHR175700	jg28161
OG0000195	CARHR191180	jg6046
OG0000195	CARHR273570	jg22932
OG0000196	CARHR272920	jg12776
OG0000196	CARHR272910, CARHR213580, CARHR272900, CARHR287600, CARHR287570, CARHR212840, CARHR289150	jg12812, jg12806, jg12803, jg12809, jg12800, jg12817, jg12816, jg17734, jg12804, jg12810, jg12779
OG0000196	CARHR288390, CARHR291930, CARHR212850, CARHR212830, CARHR285160, CARHR291950, CARHR288120, CARHR287580, CARHR213590, CARHR288130, CARHR291940, CARHR213880, CARHR262360	jg12778
OG0000197	CARHR215070, CARHR051370	jg12243
OG0000197	CARHR226280, CARHR226370	jg10623
OG0000198	CARHR144080	jg12942
OG0000198	CARHR015470	jg29979
OG0000198	CARHR015480	jg29981
OG0000198	CARHR147290	jg13337
OG0000199	CARHR063270, CARHR063300, CARHR163030, CARHR063260, CARHR063690, CARHR063700, CARHR263650	jg33326, jg32894
OG0000199	CARHR251110, CARHR215270	jg9442
OG0000200	CARHR203250	jg31432
OG0000200	CARHR028750, CARHR037140	jg31559
OG0000200	CARHR037150	jg31560
OG0000203	CARHR168640	jg15851
OG0000203	CARHR168590, CARHR259860	jg15863
OG0000203	CARHR168740	jg15862
OG0000203	CARHR168770	jg15865
OG0000203	CARHR168690	jg15861
OG0000209	CARHR014880, CARHR035940, CARHR010330	jg21051, jg1344
OG0000209	CARHR014740, CARHR010320	jg14429
OG0000209	CARHR202500	jg4863, jg4865
OG0000210	CARHR140170	jg19859
OG0000210	CARHR059620	jg2236
OG0000210	CARHR057970	jg2036
OG0000210	CARHR069160, CARHR059610	jg19860
OG0000215	CARHR284710	jg12459, jg1615, jg32047, jg27336, jg20828, jg32156, jg32318
OG0000216	CARHR253820, CARHR253860, CARHR253850	jg7641
OG0000216	CARHR253870	jg7640
OG0000216	CARHR253840	jg7420
OG0000216	CARHR054340	jg1267
OG0000216	CARHR166590	jg15619
OG0000219	CARHR065380	jg12176, jg12633, jg12636
OG0000219	CARHR272960	jg17925
OG0000219	CARHR123890	jg12179
OG0000225	CARHR180390	jg16693
OG0000225	CARHR072290	jg3554
OG0000225	CARHR072270, CARHR141370	jg2551
OG0000226	CARHR058450	jg4069
OG0000226	CARHR029480	jg4074
OG0000226	CARHR209980	jg4068
OG0000226	CARHR176630	jg21365
OG0000226	CARHR118070, CARHR209970	jg14255
OG0000226	CARHR256020	jg7405
OG0000227	CARHR080100	jg24479
OG0000227	CARHR105470	jg25050
OG0000227	CARHR039350	jg6481, jg6484
OG0000227	CARHR105540	jg27543
OG0000227	CARHR105520	jg27540
OG0000227	CARHR105480	jg27541
OG0000229	CARHR062190	jg17464, jg1772
OG0000229	CARHR004570	jg23298, jg32293
OG0000230	CARHR186450, CARHR286030	jg15911, jg15928
OG0000230	CARHR169400	jg15921
OG0000232	CARHR122740	jg28047
OG0000233	CARHR205610	jg4598
OG0000233	CARHR205600, CARHR205590, CARHR205580	jg4599
OG0000234	CARHR139700	jg19739
OG0000234	CARHR095200	jg4032
OG0000234	CARHR095190	jg4031
OG0000234	CARHR100580, CARHR100650, CARHR100570	jg4033, jg4035, jg27620, jg33336, jg33337, jg33335
OG0000234	CARHR210300	jg4034
OG0000235	CARHR133380	jg19164
OG0000236	CARHR062600	jg2555
OG0000236	CARHR097950	jg26494
OG0000236	CARHR260580	jg7280
OG0000237	CARHR043980, CARHR044120	jg15213
OG0000237	CARHR098530	jg26496
OG0000237	CARHR238210, CARHR097380	jg26333
OG0000238	CARHR064110	jg2698
OG0000238	CARHR064140	jg2702
OG0000238	CARHR185670	jg6718
OG0000238	CARHR023530, CARHR023500, CARHR023520, CARHR023510	jg6720
OG0000238	CARHR064120	jg2707
OG0000239	CARHR218360	jg17673
OG0000241	CARHR228610	jg10370
OG0000241	CARHR107520	jg7735
OG0000242	CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520	jg24512, jg11645, jg21432
OG0000242	CARHR175670	jg6565
OG0000243	CARHR028760	jg31468
OG0000243	CARHR028880, CARHR028810	jg31471, jg31479, jg31470
OG0000244	CARHR252260, CARHR252270, CARHR252310, CARHR252320, CARHR252280	jg7793
OG0000244	CARHR252240	jg7788
OG0000244	CARHR251320, CARHR252330, CARHR252290	jg7787
OG0000244	CARHR251330	jg7884, jg7885, jg7892, jg7931, jg7886
OG0000244	CARHR251340	jg7883
OG0000246	CARHR131170, CARHR131180	jg18819
OG0000246	CARHR131110	jg18816
OG0000246	CARHR131140, CARHR131130, CARHR131150, CARHR131160	jg18818, jg18817
OG0000247	CARHR291820	jg12382
OG0000247	CARHR217360	jg9719
OG0000247	CARHR263700	jg14818
OG0000247	CARHR101580, CARHR101880, CARHR101530	jg26794, jg26858, jg26826
OG0000248	CARHR063140	jg2614
OG0000248	CARHR063130	jg2609, jg2612, jg2608
OG0000248	CARHR263070	jg12494, jg12493
OG0000249	CARHR033120	jg27200
OG0000249	CARHR029720	jg6559
OG0000251	CARHR147300	jg13318, jg13319
OG0000251	CARHR147330	jg13320
OG0000251	CARHR271060	jg22623
OG0000252	CARHR230420	jg9231
OG0000252	CARHR048360, CARHR048350, CARHR048370	jg571, jg570
OG0000252	CARHR071040	jg3420
