Orthogroup	Cardamine_hirsuta	Eutrema_salsugineum
OG0000011	CARHR259400	XP_024003642.1, XP_024003759.1, XP_024004876.1, XP_024016548.1
OG0000012	CARHR032720	XP_024010329.1
OG0000012	CARHR032700	XP_024010196.1
OG0000014	CARHR287490	XP_024013196.1, XP_024005930.1, XP_024011382.1, XP_024011409.1
OG0000015	CARHR258200, CARHR258330	XP_024014590.1, XP_024006904.1
OG0000015	CARHR110600	XP_024012449.1, XP_024013064.1, XP_024007917.1
OG0000022	CARHR234420	XP_006413138.1
OG0000022	CARHR196550	XP_006400202.2
OG0000022	CARHR051050, CARHR048810, CARHR047980, CARHR049170	XP_006391833.2
OG0000022	CARHR048820, CARHR051020, CARHR048770	XP_006391821.1, XP_006391819.1, XP_006391862.1, XP_006391806.1, XP_006391783.1, XP_006391822.1, XP_024003783.1, XP_006391808.1, XP_006391749.1
OG0000022	CARHR045470, CARHR051030, CARHR048220, CARHR049120	XP_006391829.2
OG0000022	CARHR013000	XP_006417237.2
OG0000022	CARHR012910	XP_006417199.1, XP_006417205.1, XP_006417216.1
OG0000022	CARHR046370	XP_006391605.2
OG0000022	CARHR213210	XP_024014798.1
OG0000022	CARHR091960	XP_024015415.1
OG0000024	CARHR116780	XP_006415351.1
OG0000024	CARHR168020, CARHR167830	XP_006402766.1
OG0000025	CARHR288360	XP_024007336.1, XP_024013062.1
OG0000027	CARHR264010, CARHR255080, CARHR255070, CARHR255050	XP_024009838.1, XP_006396897.2
OG0000027	CARHR255040	XP_006396896.1
OG0000027	CARHR255010, CARHR263990, CARHR255060, CARHR254990	XP_024010236.1
OG0000027	CARHR057450	XP_006413565.1
OG0000027	CARHR230500	XP_024013896.1
OG0000027	CARHR230400, CARHR230390	XP_006413569.1
OG0000027	CARHR254870	XP_006396890.1
OG0000027	CARHR230300	XP_024004623.1
OG0000027	CARHR055330	XP_006413573.1
OG0000028	CARHR244240	XP_006411607.2
OG0000029	CARHR056480, CARHR153130	XP_024004858.1
OG0000029	CARHR116610, CARHR153140	XP_024013922.1
OG0000030	CARHR025790, CARHR162370, CARHR260760, CARHR260790	XP_024008003.1
OG0000030	CARHR158520, CARHR158510, CARHR158530	XP_024016186.1
OG0000030	CARHR088150	XP_006401009.1
OG0000030	CARHR088870	XP_024013353.1
OG0000032	CARHR284240	XP_024009309.1
OG0000032	CARHR266460	XP_024004841.1, XP_024010402.1
OG0000034	CARHR230270, CARHR230290	XP_006413571.1, XP_024010975.1
OG0000034	CARHR055320, CARHR230240	XP_006413574.2
OG0000034	CARHR228000, CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070, CARHR289950	XP_024005104.1
OG0000034	CARHR230230, CARHR230200	XP_006413576.1
OG0000035	CARHR034500, CARHR120350	XP_024010425.1, XP_024007977.1
OG0000035	CARHR216710, CARHR153260, CARHR182390	XP_024007976.1, XP_024016141.1
OG0000038	CARHR259820	XP_024006448.1
OG0000039	CARHR184170, CARHR117850	XP_024006661.1
OG0000042	CARHR181500	XP_024006466.1
OG0000044	CARHR223510	XP_024004579.1
OG0000044	CARHR175070	XP_024011128.1
OG0000044	CARHR175060	XP_006398339.2
OG0000044	CARHR174840	XP_024013343.1
OG0000044	CARHR116350	XP_024009991.1
OG0000044	CARHR222980, CARHR290490, CARHR223500	XP_024005671.1
OG0000046	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330, CARHR116100, CARHR183570, CARHR057390, CARHR107370, CARHR152970	XP_024015030.1
OG0000046	CARHR117470	XP_024009472.1, XP_024009471.1, XP_024009726.1, XP_024010419.1
OG0000047	CARHR257880	XP_024014421.1, XP_024011365.1
OG0000048	CARHR054750	XP_024005913.1
OG0000048	CARHR042940	XP_006406533.1
OG0000048	CARHR126110	XP_006407903.2
OG0000050	CARHR071180, CARHR153550	XP_024013613.1, XP_024009750.1, XP_024004962.1, XP_024006598.1
OG0000051	CARHR002800	XP_006418389.2, XP_024008111.1
OG0000051	CARHR109310	XP_006392148.1, XP_024013725.1, XP_024013699.1
OG0000051	CARHR137540	XP_024004184.1
OG0000052	CARHR065210, CARHR065340, CARHR278910, CARHR148040, CARHR150860	XP_024007553.1
OG0000054	CARHR218070, CARHR104410, CARHR182000, CARHR219040, CARHR221160, CARHR284340, CARHR057830, CARHR034710	XP_024013114.1, XP_024013119.1
OG0000054	CARHR153240	XP_024009399.1, XP_024014412.1, XP_024016309.1, XP_024009765.1, XP_024010410.1, XP_024006543.1, XP_024013932.1, XP_024006559.1, XP_024010157.1, XP_024010469.1, XP_024007282.1, XP_024010278.1, XP_024004993.1, XP_024014049.1, XP_024013966.1, XP_024010381.1, XP_024015903.1, XP_024006435.1, XP_024004823.1, XP_024009187.1, XP_024010437.1, XP_024009578.1, XP_024007262.1
OG0000054	CARHR105040, CARHR056220	XP_024015897.1, XP_024007304.1, XP_024015898.1
OG0000054	CARHR218650	XP_024007933.1
OG0000055	CARHR092560, CARHR092720, CARHR094260, CARHR107830, CARHR149830, CARHR108270	XP_006398121.1, XP_006406735.1
OG0000055	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370	XP_024016535.1
OG0000056	CARHR155600	XP_006405761.2
OG0000061	CARHR252580	XP_024015522.1
OG0000064	CARHR050760, CARHR273290, CARHR054420, CARHR289730, CARHR289690	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1
OG0000065	CARHR059260, CARHR059160	XP_024012825.1
OG0000065	CARHR059130, CARHR059070, CARHR059140	XP_024014567.1
OG0000065	CARHR059270, CARHR059250	XP_006391458.1
OG0000065	CARHR257300, CARHR257310, CARHR263400, CARHR263410	XP_024014419.1
OG0000066	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1
OG0000066	CARHR202310	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1
OG0000068	CARHR210960	XP_024014925.1
OG0000068	CARHR064230	XP_006406656.1
OG0000070	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	XP_006395735.1
OG0000070	CARHR020650	XP_006416426.1
OG0000070	CARHR069500	XP_006390250.1
OG0000072	CARHR049910, CARHR219260, CARHR119870, CARHR260200	XP_024014631.1, XP_024009608.1, XP_024004060.1, XP_024006592.1
OG0000075	CARHR247180	XP_024009720.1, XP_024009721.1
OG0000076	CARHR247830	XP_006411683.1
OG0000076	CARHR127180	XP_006410525.1
OG0000076	CARHR260300	XP_024004083.1, XP_024004092.1, XP_006410127.1, XP_024010259.1, XP_024010258.1, XP_006397052.1, XP_024010257.1, XP_024010383.1, XP_006410067.1, XP_024004059.1, XP_024004093.1, XP_024004091.1, XP_006410069.1, XP_006410074.2, XP_006410076.1, XP_006410126.2, XP_024004081.1, XP_006410042.2, XP_006410043.2, XP_006410041.1
OG0000077	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080	XP_006398175.2
OG0000077	CARHR288740, CARHR145630	XP_006395717.2, XP_006395727.1
OG0000077	CARHR145650, CARHR145640	XP_006395720.2
OG0000078	CARHR077930	XP_006408252.2
OG0000078	CARHR077950	XP_006408254.2, XP_006408256.1
OG0000078	CARHR077940	XP_024014979.1
OG0000078	CARHR077910	XP_006408255.1
OG0000081	CARHR217030, CARHR117010	XP_024014389.1, XP_024004223.1
OG0000081	CARHR264280	XP_024014942.1, XP_024013908.1
OG0000086	CARHR214810	XP_024014367.1
OG0000086	CARHR272990	XP_006405821.2
OG0000086	CARHR214860	XP_024014611.1, XP_006405827.1, XP_006405828.1, XP_006405825.1, XP_006405877.2
OG0000086	CARHR214790, CARHR214760	XP_024014475.1, XP_006405815.1
OG0000086	CARHR058690, CARHR058660, CARHR058640, CARHR058680	XP_006391405.1
OG0000089	CARHR189700	XP_006394642.1
OG0000089	CARHR155480	XP_006404433.1, XP_006404432.1
OG0000089	CARHR122890	XP_006410012.1
OG0000089	CARHR200860	XP_006399740.1
OG0000089	CARHR178800	XP_006403108.1
OG0000089	CARHR227450	XP_006413842.1
OG0000089	CARHR128920	XP_006410628.1
OG0000089	CARHR069200	XP_006390273.1
OG0000091	CARHR156270	XP_024013782.1
OG0000091	CARHR192340, CARHR192330	XP_024011446.1
OG0000091	CARHR152670	XP_024013720.1
OG0000092	CARHR150900	XP_006397382.1
OG0000095	CARHR117030, CARHR118620	XP_006405019.2
OG0000096	CARHR084920	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000096	CARHR094810, CARHR094850, CARHR094860, CARHR094840	XP_006408882.1, XP_024014982.1
OG0000098	CARHR046250	XP_006395726.1
OG0000098	CARHR174970	XP_006404383.1, XP_006394690.1, XP_006414046.1
OG0000100	CARHR055030	XP_024014529.1
OG0000101	CARHR183060	XP_024010678.1, XP_024008063.1
OG0000102	CARHR252110, CARHR252090, CARHR252060	XP_006396592.1
OG0000102	CARHR252130	XP_006396591.1
OG0000105	CARHR077960, CARHR181190, CARHR228760, CARHR106060, CARHR104310	XP_024011529.1
OG0000105	CARHR108280, CARHR054220	XP_024014375.1
OG0000105	CARHR175180, CARHR153990, CARHR256480	XP_006414517.2
OG0000106	CARHR055550	XP_024013941.1, XP_024004736.1, XP_024012932.1, XP_024005999.1
OG0000107	CARHR095660	XP_024015177.1
OG0000108	CARHR285740	XP_006400969.1, XP_006418890.1
OG0000108	CARHR086670	XP_006407369.1
OG0000108	CARHR203590	XP_006399464.1
OG0000108	CARHR094190	XP_006406564.1
OG0000111	CARHR148290	XP_006391257.1, XP_006409739.1, XP_006409738.2, XP_006409778.1
OG0000114	CARHR258830, CARHR283860	XP_024014535.1
OG0000114	CARHR150440, CARHR283870, CARHR035130, CARHR286300, CARHR148220, CARHR118270, CARHR287300	XP_024009390.1, XP_024014516.1, XP_024009469.1, XP_024011379.1, XP_024006494.1, XP_024006892.1, XP_024013367.1
OG0000116	CARHR217650	XP_024004957.1
OG0000117	CARHR023940	XP_024008857.1
OG0000117	CARHR023950	XP_024008035.1
OG0000117	CARHR024100	XP_024008246.1
OG0000118	CARHR101240, CARHR101220, CARHR133050, CARHR115930, CARHR115940, CARHR115970, CARHR133070, CARHR133060	XP_006416096.1
OG0000118	CARHR099660, CARHR133040, CARHR180020	XP_006408206.1
OG0000119	CARHR118700, CARHR273840	XP_024009951.1
OG0000119	CARHR059580, CARHR150110	XP_006419033.2
OG0000122	CARHR269760	XP_024012240.1
OG0000122	CARHR036540, CARHR031780	XP_024012533.1
OG0000122	CARHR036560, CARHR031790, CARHR031760, CARHR036530	XP_024011179.1
OG0000122	CARHR269730	XP_024012350.1
OG0000122	CARHR269930	XP_006401333.2
OG0000123	CARHR181480, CARHR181490	XP_024006376.1, XP_024016087.1
OG0000124	CARHR261370	XP_024014203.1
OG0000124	CARHR153360, CARHR119160, CARHR259840	XP_024011275.1, XP_024009428.1, XP_024006620.1, XP_024007267.1, XP_024015892.1, XP_024009781.1, XP_024013977.1, XP_024010413.1, XP_024005584.1, XP_024010662.1, XP_024011095.1, XP_024010391.1, XP_006409642.2, XP_024007266.1, XP_024011274.1, XP_024016583.1
OG0000125	CARHR122190	XP_024003754.1
OG0000125	CARHR039100	XP_024006051.1
OG0000125	CARHR041970, CARHR041980	XP_006392987.1
OG0000125	CARHR097260	XP_006406282.1
OG0000125	CARHR258870	XP_024006009.1
OG0000126	CARHR103200	XP_024016126.1
OG0000126	CARHR184750	XP_024004101.1, XP_024010268.1
OG0000126	CARHR128520, CARHR293480, CARHR256860, CARHR252010, CARHR117440, CARHR098000, CARHR034340, CARHR116070, CARHR178380, CARHR257270	XP_024009117.1, XP_024009113.1
OG0000127	CARHR190650	XP_006400797.1
OG0000127	CARHR163570	XP_006403666.1
OG0000127	CARHR273520	XP_006400898.1
OG0000127	CARHR121850	XP_006409905.1
OG0000128	CARHR061850	XP_024012970.1
OG0000128	CARHR061840	XP_024012967.1
OG0000128	CARHR169580	XP_006402712.2
OG0000128	CARHR169600	XP_006402710.1
OG0000128	CARHR169570	XP_006402715.1
OG0000129	CARHR038520, CARHR038560	XP_006408194.2
OG0000129	CARHR056680, CARHR056760, CARHR056690	XP_024011911.1
OG0000129	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730	XP_024006771.1, XP_006394457.2, XP_024007354.1
OG0000130	CARHR158410, CARHR153220, CARHR117340, CARHR057000	XP_024006636.1
OG0000130	CARHR182430	XP_024004501.1, XP_024004928.1
OG0000132	CARHR164880	XP_006403516.1
OG0000132	CARHR256230	XP_006405758.2, XP_024014449.1
OG0000132	CARHR277270, CARHR277260	XP_006396648.1, XP_006391408.1, XP_006391409.1
OG0000132	CARHR214020	XP_006393001.2, XP_024014405.1, XP_024014786.1, XP_006405613.2, XP_006405755.2, XP_006405611.2, XP_024014617.1, XP_024014705.1
OG0000134	CARHR202050	XP_006399626.1
OG0000136	CARHR186370	XP_024015179.1
OG0000137	CARHR268710	XP_006401461.1
OG0000137	CARHR268720	XP_006401460.1
OG0000137	CARHR268700	XP_006401462.1
OG0000137	CARHR268690	XP_006401463.2
OG0000137	CARHR268680	XP_006401465.2
OG0000138	CARHR052000	XP_006402375.2
OG0000138	CARHR169320	XP_024012920.1
OG0000140	CARHR116590, CARHR146770	XP_024009937.1
OG0000141	CARHR012600	XP_024008234.1
OG0000141	CARHR220960, CARHR049620, CARHR049360, CARHR049300	XP_024016652.1
OG0000141	CARHR048210, CARHR049580, CARHR049710, CARHR049690, CARHR049380, CARHR049330, CARHR049720, CARHR049640, CARHR049340, CARHR049700, CARHR048830, CARHR049260	XP_024004548.1, XP_006391848.1
OG0000143	CARHR287550	XP_024004869.1, XP_024013112.1
OG0000143	CARHR181670, CARHR183500	XP_024010602.1, XP_024010603.1, XP_024010269.1, XP_024010488.1, XP_024009587.1, XP_024014718.1, XP_024007269.1, XP_024014984.1, XP_024006558.1, XP_024015954.1, XP_024014871.1, XP_024011336.1, XP_024009448.1, XP_024009582.1, XP_024007272.1, XP_024007245.1, XP_024016353.1, XP_024013094.1, XP_024015124.1, XP_024011407.1, XP_024010424.1, XP_024007246.1, XP_024007303.1, XP_024009244.1, XP_024011363.1, XP_024013386.1, XP_024009423.1, XP_024005024.1, XP_024013120.1, XP_024013068.1, XP_024010915.1, XP_024010675.1
OG0000148	CARHR037410	XP_024006468.1, XP_024006465.1, XP_024006281.1
OG0000148	CARHR040920	XP_024004911.1
OG0000148	CARHR037710, CARHR037720, CARHR037850	XP_024006236.1, XP_006393101.1, XP_006393087.2
OG0000151	CARHR165130	XP_006403491.1
OG0000151	CARHR165120	XP_006403492.1
OG0000151	CARHR134140	XP_006411161.1
OG0000151	CARHR165110	XP_006403493.1
OG0000151	CARHR163410	XP_006403679.1
OG0000151	CARHR132240	XP_006410918.1
OG0000151	CARHR199860	XP_006399852.1
OG0000153	CARHR122540	XP_024003801.1, XP_006409980.1
OG0000153	CARHR007190	XP_024008215.1
OG0000153	CARHR122550	XP_006409978.1
OG0000154	CARHR040870, CARHR121480	XP_006393107.1
OG0000154	CARHR290670	XP_024005670.1
OG0000154	CARHR040880, CARHR041470	XP_024006135.1
OG0000157	CARHR029970	XP_006418682.2, XP_024008597.1
OG0000157	CARHR253630, CARHR047620	XP_024016536.1
OG0000158	CARHR113640	XP_006391162.2
OG0000158	CARHR245230	XP_006402964.2
OG0000159	CARHR184120	XP_024009779.1
OG0000160	CARHR109500	XP_006409094.1
OG0000160	CARHR238090	XP_024005341.1
OG0000160	CARHR271150	XP_024012572.1
OG0000160	CARHR104060	XP_006396088.1
OG0000160	CARHR153650	XP_006419170.1
OG0000160	CARHR073860	XP_006389820.1
OG0000160	CARHR117520	XP_006404985.2
OG0000161	CARHR059960, CARHR284490	XP_024013360.1
OG0000162	CARHR127190	XP_024004125.1
OG0000163	CARHR259710, CARHR057870, CARHR288340	XP_024010313.1
OG0000163	CARHR058120, CARHR218430	XP_024013090.1, XP_024013108.1
OG0000165	CARHR180400	XP_006418673.2
OG0000166	CARHR183950	XP_024013957.1
OG0000167	CARHR097030	XP_024014991.1, XP_024006548.1
OG0000167	CARHR108190, CARHR108200, CARHR150060	XP_024015693.1
OG0000167	CARHR099220	XP_024015423.1
OG0000169	CARHR219990	XP_024006540.1, XP_024006299.1, XP_024006462.1
OG0000170	CARHR140750	XP_024010761.1
OG0000170	CARHR186310, CARHR140760	XP_024010825.1
OG0000170	CARHR140780, CARHR140790, CARHR140740	XP_006410182.1
OG0000170	CARHR140730	XP_024010808.1
OG0000171	CARHR266340	XP_006401722.1
OG0000171	CARHR046700	XP_006391653.1, XP_006405318.1
OG0000171	CARHR107000	XP_006409398.1
OG0000171	CARHR269520	XP_006401372.1
OG0000171	CARHR083000, CARHR082990	XP_006407751.1
OG0000171	CARHR235660	XP_024005195.1
OG0000173	CARHR246590	XP_006411787.1
OG0000173	CARHR132630	XP_006411932.1
OG0000173	CARHR100900	XP_006412595.2
OG0000173	CARHR246290	XP_024006800.1
OG0000174	CARHR292260, CARHR102990	XP_024009910.1, XP_024010843.1, XP_024010311.1, XP_024004523.1
OG0000174	CARHR115250	XP_024013619.1, XP_024011132.1, XP_024009468.1, XP_024006493.1, XP_024004480.1, XP_024014964.1, XP_024007918.1, XP_024011208.1, XP_024006536.1, XP_024009367.1
OG0000175	CARHR023910	XP_006416080.1, XP_024015929.1
OG0000175	CARHR198650	XP_024012404.1
OG0000175	CARHR052550	XP_006417443.1
OG0000176	CARHR118040	XP_006405511.2
OG0000176	CARHR291350, CARHR291370	XP_024014641.1
OG0000177	CARHR256500, CARHR181980, CARHR021660, CARHR054130, CARHR287770	XP_006416321.2
OG0000178	CARHR253020	XP_006396688.1
OG0000178	CARHR250370, CARHR250360	XP_006396683.2
OG0000178	CARHR259510	XP_024010195.1
OG0000178	CARHR252970, CARHR263930	XP_024009811.1
OG0000178	CARHR252960	XP_024010194.1, XP_006396684.1
OG0000179	CARHR123300	XP_024004887.1, XP_006392295.2
OG0000179	CARHR053290, CARHR283710, CARHR053930	XP_006392266.1
OG0000182	CARHR167770	XP_006418087.2
OG0000183	CARHR215030, CARHR058380	XP_006391396.1, XP_006405835.1
OG0000183	CARHR119300	XP_006408585.1
OG0000185	CARHR087540, CARHR087530	XP_024008728.1
OG0000186	CARHR269100, CARHR147550, CARHR269160	XP_006402068.1
OG0000186	CARHR145130, CARHR145120	XP_024006671.1
OG0000186	CARHR113370, CARHR050630	XP_024003658.1, XP_024003647.1
OG0000187	CARHR112670, CARHR112680	XP_006409848.1, XP_006413517.1, XP_006413085.1, XP_006401995.1, XP_006410218.1
OG0000188	CARHR201470	XP_006403294.1, XP_006413270.2
OG0000188	CARHR078860, CARHR078880, CARHR078870	XP_006408167.1
OG0000189	CARHR244350, CARHR108220	XP_006412039.1
OG0000189	CARHR243300	XP_006412162.1
OG0000189	CARHR069390	XP_006390262.1
OG0000189	CARHR020570	XP_006416436.1
OG0000191	CARHR150970	XP_006396068.2, XP_024014023.1, XP_024006586.1, XP_024004140.1
OG0000192	CARHR233830	XP_006413192.2
OG0000192	CARHR014040	XP_006399077.1
OG0000192	CARHR014030	XP_006399078.1
OG0000192	CARHR014050, CARHR014060	XP_024013225.1
OG0000192	CARHR049240	XP_006408668.1, XP_006391843.2, XP_006391844.1, XP_006416391.1, XP_006416395.1, XP_006391838.1
OG0000193	CARHR036380, CARHR036970	XP_006410830.1, XP_006415272.2
OG0000193	CARHR031880, CARHR091810, CARHR031310	XP_024007938.1
OG0000196	CARHR272920	XP_006405313.2
OG0000196	CARHR272910	XP_006405333.1
OG0000196	CARHR288390, CARHR291930, CARHR212850, CARHR212830, CARHR285160, CARHR291950, CARHR288120, CARHR287580, CARHR213590	XP_024014729.1
OG0000197	CARHR215070, CARHR051370	XP_006413958.1
OG0000197	CARHR215060, CARHR215050, CARHR215370	XP_024005579.1
OG0000197	CARHR226280, CARHR226370	XP_006393616.1
OG0000198	CARHR144080	XP_006395886.1, XP_006395885.1
OG0000198	CARHR015470, CARHR015480, CARHR147290, CARHR231070	XP_006413529.1
OG0000199	CARHR251110, CARHR215270	XP_006412791.2, XP_006413298.1
OG0000200	CARHR028750, CARHR037140	XP_006415505.2
OG0000200	CARHR037150	XP_006415507.2
OG0000203	CARHR168640	XP_024012757.1
OG0000203	CARHR168590, CARHR259860	XP_006405456.2
OG0000205	CARHR105060, CARHR218440	XP_024014711.1, XP_024015854.1, XP_024006545.1
OG0000208	CARHR057780, CARHR183230	XP_024013235.1
OG0000209	CARHR014740, CARHR010320	XP_024006207.1
OG0000209	CARHR202500	XP_024015726.1
OG0000210	CARHR121990, CARHR140170	XP_024010855.1, XP_024004704.1
OG0000210	CARHR057970	XP_024012462.1
OG0000210	CARHR170840	XP_024012914.1
OG0000210	CARHR069160, CARHR059610	XP_006395656.2
OG0000215	CARHR033990	XP_024014265.1, XP_006408133.1, XP_006411039.1, XP_006419058.2
OG0000216	CARHR054340	XP_024016821.1
OG0000216	CARHR216300	XP_024010225.1
OG0000219	CARHR065380, CARHR037370, CARHR272960, CARHR219370, CARHR253110, CARHR037380, CARHR123890	XP_024009776.1, XP_006391273.1, XP_024005932.1, XP_024005928.1
OG0000225	CARHR072270, CARHR141370	XP_024009484.1
OG0000225	CARHR201930, CARHR072280	XP_024011254.1
OG0000227	CARHR105540, CARHR105520, CARHR105480	XP_024014358.1
OG0000229	CARHR004570	XP_024007588.1, XP_006407514.1, XP_024005057.1, XP_024010219.1, XP_006396981.1
OG0000230	CARHR169340	XP_006402736.1
OG0000230	CARHR217340, CARHR186450, CARHR286030	XP_024012973.1
OG0000230	CARHR169400	XP_024012843.1
OG0000232	CARHR180870, CARHR049200, CARHR122740, CARHR110940	XP_024004085.1
OG0000232	CARHR174010, CARHR102280	XP_024014219.1
OG0000233	CARHR205610	XP_006399237.1
OG0000233	CARHR205600, CARHR205590, CARHR205580	XP_024012088.1, XP_006399240.2
OG0000235	CARHR168030	XP_006394180.1, XP_006394175.1
OG0000235	CARHR073970	XP_006405376.2
OG0000236	CARHR062590, CARHR062610, CARHR102640	XP_024011487.1
OG0000236	CARHR000080, CARHR100230, CARHR102630	XP_024014966.1
OG0000236	CARHR260580	XP_024014734.1
OG0000237	CARHR098530	XP_006406140.1
OG0000237	CARHR238210, CARHR097380	XP_024014985.1
OG0000238	CARHR064100, CARHR064090	XP_006390832.1
OG0000238	CARHR064110	XP_024007098.1
OG0000239	CARHR184570, CARHR118460, CARHR285080, CARHR125790	XP_024010605.1
OG0000241	CARHR228610	XP_006413726.1
OG0000241	CARHR252730	XP_006396665.1
OG0000241	CARHR107520	XP_024010083.1
OG0000242	CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520	XP_024015704.1, XP_006392079.1, XP_006392157.1
OG0000242	CARHR183240	XP_006391312.1, XP_006396188.1, XP_006391455.1, XP_006419174.1, XP_006391378.1, XP_006391379.1, XP_006391380.1, XP_006391456.1, XP_024009775.1, XP_024009395.1, XP_006418995.1, XP_006391433.1
OG0000242	CARHR175670	XP_006394900.1
OG0000243	CARHR028760	XP_006415575.2
OG0000243	CARHR028800, CARHR028770, CARHR028900, CARHR028820, CARHR028850	XP_024008323.1, XP_006415570.1
OG0000243	CARHR028830	XP_006415569.1
OG0000244	CARHR251330, CARHR251340	XP_006396522.2
OG0000246	CARHR131170, CARHR131180	XP_006410852.1
OG0000246	CARHR131110	XP_006410850.1
OG0000248	CARHR063140, CARHR063150, CARHR063130, CARHR215600, CARHR263070, CARHR263080	XP_006390930.2
OG0000251	CARHR147300	XP_006395570.1
OG0000251	CARHR147330	XP_006395568.2
OG0000251	CARHR147340	XP_006395567.1
OG0000251	CARHR271060	XP_006401223.1
OG0000252	CARHR230420	XP_006412567.1
OG0000252	CARHR048360, CARHR048350, CARHR048370	XP_024015991.1
OG0000252	CARHR071040	XP_006390080.1
OG0000253	CARHR083850	XP_006407676.1
OG0000253	CARHR210880	XP_006398709.1
OG0000254	CARHR290080	XP_024005335.1, XP_006414471.1
OG0000256	CARHR092830, CARHR151680	XP_024014914.1, XP_006406014.2
OG0000256	CARHR024770	XP_006418788.1, XP_006412628.2, XP_024009328.1, XP_006402133.2
OG0000257	CARHR069280, CARHR069310, CARHR284300, CARHR069260	XP_006405181.1
OG0000259	CARHR093450	XP_024004170.1
OG0000260	CARHR149040	XP_006405740.1, XP_006405739.1
OG0000260	CARHR181000	XP_006405350.1, XP_024014684.1
OG0000262	CARHR051080, CARHR046940	XP_024013586.1, XP_024011074.1
OG0000266	CARHR257990	XP_024011221.1, XP_006401683.1
OG0000266	CARHR266730, CARHR253160	XP_006409554.2
OG0000268	CARHR157490, CARHR181110, CARHR154180	XP_024005307.1
OG0000269	CARHR273300	XP_006400925.1
OG0000269	CARHR122830	XP_024003799.1
OG0000270	CARHR055290, CARHR048540, CARHR048090	XP_024014551.1
OG0000273	CARHR266740	XP_024011934.1
OG0000275	CARHR175770	XP_024006885.1, XP_006395689.1
OG0000275	CARHR185060, CARHR185040	XP_024006417.1
