Orthogroup	Cardamine_hirsuta	Capsella_rubella
OG0000081	CARHR217030	XP_023638026.1, XP_023634808.1, XP_023641960.1
OG0000081	CARHR264280	XP_023634311.1
OG0000086	CARHR214810	XP_006291706.2
OG0000086	CARHR276580	XP_023633444.1
OG0000086	CARHR272990	XP_006284296.1
OG0000086	CARHR214830	XP_006284253.1, XP_006288380.2
OG0000086	CARHR214840	XP_006301558.1
OG0000086	CARHR058600	XP_006302255.2
OG0000086	CARHR058690	XP_023644279.1
OG0000086	CARHR058660, CARHR058640, CARHR058680	XP_023644252.1
OG0000089	CARHR189700	XP_006287738.1
OG0000089	CARHR155480	XP_006292748.1, XP_006291122.1
OG0000089	CARHR122890	XP_006294210.1
OG0000089	CARHR200860	XP_006289933.1
OG0000089	CARHR178800	XP_006281513.1
OG0000089	CARHR227450	XP_006283733.1
OG0000089	CARHR020480	XP_006307490.1
OG0000089	CARHR069200	XP_006302256.1
OG0000091	CARHR192340, CARHR192330	XP_023636467.1
OG0000091	CARHR262970	XP_023644362.1
OG0000092	CARHR180960, CARHR036310	XP_023640340.1
OG0000092	CARHR225750, CARHR035160, CARHR150890, CARHR286120, CARHR152920, CARHR180590, CARHR261190	XP_023642043.1
OG0000092	CARHR293270	XP_023633335.1
OG0000095	CARHR116960, CARHR117230, CARHR116990	XP_006295399.1
OG0000095	CARHR116870	XP_006295705.1, XP_006294284.1
OG0000095	CARHR117030	XP_006295555.1
OG0000095	CARHR117860	XP_006295595.1, XP_006295861.1
OG0000096	CARHR266870	XP_023640363.1, XP_006296370.1, XP_006296007.1
OG0000096	CARHR248580	XP_006301737.1
OG0000096	CARHR093690	XP_006297893.1, XP_006299978.1
OG0000096	CARHR094810, CARHR094850, CARHR094860, CARHR094840	XP_006297929.1
OG0000098	CARHR046250	XP_006292655.1
OG0000098	CARHR174970	XP_006305026.1
OG0000100	CARHR047460, CARHR047540	XP_023641940.1
OG0000100	CARHR047080	XP_023643498.1
OG0000100	CARHR055030	XP_006301098.2, XP_023643317.1, XP_023643319.1, XP_023643315.1
OG0000100	CARHR047730, CARHR047100	XP_023642309.1
OG0000100	CARHR047140	XP_023643246.1
OG0000102	CARHR252050	XP_006285555.2
OG0000102	CARHR252110, CARHR252090	XP_023634256.1
OG0000102	CARHR252060	XP_006289089.1
OG0000102	CARHR252130	XP_023633387.1
OG0000105	CARHR106060	XP_023639286.1
OG0000105	CARHR288500	XP_006284602.1, XP_006285182.1
OG0000105	CARHR215710	XP_023639256.1
OG0000106	CARHR183910	XP_023646042.1, XP_023644298.1
OG0000106	CARHR055550	XP_006301047.2, XP_023643263.1
OG0000107	CARHR095660	XP_006299861.1
OG0000107	CARHR095650	XP_006300030.1, XP_006297457.1
OG0000107	CARHR095690, CARHR095670	XP_006289895.1
OG0000108	CARHR285740	XP_006282193.1, XP_006291307.1
OG0000108	CARHR086670	XP_006297921.1
OG0000108	CARHR203590	XP_006287952.1
OG0000108	CARHR094190	XP_006297920.1
OG0000110	CARHR151660	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1
OG0000111	CARHR148290	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1, XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000114	CARHR258830, CARHR283860	XP_006301152.1
OG0000114	CARHR118270	XP_023640326.1
OG0000117	CARHR023950	XP_006304583.1
OG0000117	CARHR024070	XP_023644784.1, XP_006303494.2
OG0000117	CARHR024100	XP_023632781.1
OG0000118	CARHR133050	XP_006290039.1, XP_023640365.1
OG0000118	CARHR133070, CARHR133060	XP_023634338.1
OG0000118	CARHR099660	XP_023642688.1
OG0000119	CARHR118700, CARHR273840	XP_023633433.1, XP_006280698.1
OG0000119	CARHR059580, CARHR150110	XP_023638901.1
OG0000119	CARHR114860	XP_006296419.2, XP_006295986.2
OG0000119	CARHR256190, CARHR263010	XP_006292836.2, XP_006292499.2, XP_023638877.1
OG0000119	CARHR150080	XP_006291315.2
OG0000119	CARHR150140, CARHR143200, CARHR207890	XP_023638900.1
OG0000119	CARHR150200	XP_006293090.1, XP_023639195.1
OG0000121	CARHR101000	XP_023640327.1, XP_023634261.1
OG0000121	CARHR114800	XP_006305928.1, XP_023638089.1
OG0000121	CARHR054680, CARHR054690, CARHR181920, CARHR054110, CARHR100990, CARHR102670	XP_023638959.1
OG0000122	CARHR269740	XP_006281892.1
OG0000122	CARHR269920	XP_006281709.1
OG0000122	CARHR036540, CARHR031780	XP_006306021.1
OG0000122	CARHR269900	XP_023633504.1
OG0000122	CARHR036560, CARHR031790, CARHR031760, CARHR036530, CARHR269750	XP_023633528.1
OG0000122	CARHR269730	XP_023645912.1, XP_023633493.1
OG0000122	CARHR129080, CARHR031770, CARHR269910, CARHR269890, CARHR033520, CARHR033430, CARHR269930	XP_023633416.1
OG0000124	CARHR261370	XP_023635269.1
OG0000125	CARHR122240	XP_006296171.1
OG0000125	CARHR007350	XP_023645280.1
OG0000125	CARHR039100	XP_023645616.1
OG0000125	CARHR041970	XP_023645225.1, XP_006306741.1
OG0000125	CARHR097260	XP_006299926.1
OG0000126	CARHR103200	XP_023640354.1
OG0000127	CARHR190650	XP_006289049.1
OG0000127	CARHR210790	XP_006286660.1
OG0000127	CARHR273520	XP_006281264.1
OG0000127	CARHR154340, CARHR154390	XP_006292010.1
OG0000128	CARHR061850	XP_023639092.1
OG0000128	CARHR169630	XP_006291075.1
OG0000128	CARHR061840	XP_006291073.1
OG0000128	CARHR169580	XP_006290900.1
OG0000128	CARHR169600	XP_006291045.1
OG0000129	CARHR038520, CARHR038560, CARHR056630	XP_023644190.1
OG0000129	CARHR056680, CARHR056760, CARHR056690	XP_023644195.1
OG0000129	CARHR275720, CARHR275710	XP_023645120.1, XP_023635333.1
OG0000129	CARHR120250, CARHR120240, CARHR120610	XP_023640860.1, XP_023640089.1
OG0000129	CARHR038530, CARHR038540, CARHR056610	XP_023644193.1
OG0000130	CARHR038370, CARHR217450	XP_006285982.2
OG0000132	CARHR164880	XP_006291215.1
OG0000132	CARHR256230	XP_023637355.1
OG0000132	CARHR214020	XP_006283852.1, XP_023634364.1
OG0000132	CARHR214030, CARHR213990, CARHR214010	XP_023634360.1
OG0000134	CARHR054550, CARHR054640, CARHR054580	XP_023643303.1, XP_023643420.1
OG0000134	CARHR202050	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1, XP_006286802.2
OG0000137	CARHR268710	XP_006280761.2
OG0000137	CARHR268720	XP_006280742.1
OG0000137	CARHR268700	XP_023637930.1, XP_006281726.2
OG0000137	CARHR268690	XP_006281991.1
OG0000137	CARHR268680	XP_006281729.1
OG0000138	CARHR052000	XP_006293105.1
OG0000138	CARHR169360	XP_023639085.1
OG0000138	CARHR169320	XP_006292673.2
OG0000138	CARHR169390	XP_023639081.1
OG0000141	CARHR012600	XP_023644396.1
OG0000141	CARHR012590	XP_006306386.2
OG0000141	CARHR220960, CARHR049620, CARHR049360, CARHR049300	XP_006301979.2
OG0000143	CARHR287550	XP_023638853.1
OG0000143	CARHR181670, CARHR183500	XP_023644225.1
OG0000148	CARHR037410	XP_023634320.1, XP_006307735.2, XP_023632976.1, XP_023632977.1
OG0000148	CARHR040920	XP_023644303.1
OG0000148	CARHR037710, CARHR037720, CARHR037850	XP_023633110.1
OG0000151	CARHR151000	XP_006292174.1, XP_006279090.2
OG0000151	CARHR165130	XP_006290668.1
OG0000151	CARHR165120	XP_006292545.1
OG0000151	CARHR134140	XP_006295608.1
OG0000151	CARHR165110	XP_006292248.1
OG0000151	CARHR163410	XP_006290640.1
OG0000151	CARHR132240	XP_006295587.1
OG0000151	CARHR199860	XP_006287124.2
OG0000153	CARHR124170, CARHR124160	XP_006294819.1
OG0000153	CARHR122600, CARHR122610	XP_023640128.1
OG0000153	CARHR122560	XP_023639767.1, XP_023639968.1
OG0000153	CARHR007210, CARHR007190	XP_023639879.1
OG0000153	CARHR122550	XP_023639769.1
OG0000154	CARHR040870	XP_006306278.1
OG0000154	CARHR121480	XP_023644539.1
OG0000154	CARHR290670	XP_023633661.1
OG0000154	CARHR040880, CARHR041470	XP_006303205.1
OG0000154	CARHR041490, CARHR040850	XP_023645184.1, XP_006306758.1
OG0000157	CARHR144020	XP_006304647.1
OG0000157	CARHR029970	XP_023634266.1, XP_006304655.2
OG0000157	CARHR030250	XP_006306555.2
OG0000158	CARHR113640	XP_023635458.1
OG0000158	CARHR245230	XP_006285768.2
OG0000160	CARHR109500	XP_006296920.1
OG0000160	CARHR238090	XP_006282542.1
OG0000160	CARHR271150	XP_006282289.1
OG0000160	CARHR104060	XP_006279406.1
OG0000160	CARHR153650	XP_006279360.1
OG0000160	CARHR073860	XP_023643729.1
OG0000160	CARHR117520	XP_006293643.2
OG0000161	CARHR059960, CARHR284490	XP_023634397.1
OG0000162	CARHR162850	XP_006292602.1
OG0000162	CARHR127170	XP_006296229.1
OG0000162	CARHR145900	XP_006292794.1
OG0000162	CARHR102810, CARHR103310	XP_006299665.1
OG0000162	CARHR127190	XP_006295600.1, XP_006296378.1
OG0000165	CARHR085710, CARHR085700, CARHR085180	XP_006284720.1
OG0000165	CARHR057950	XP_006285197.1, XP_006298795.1, XP_006292031.1, XP_006282755.1, XP_006296672.1, XP_006298803.1, XP_006295221.1, XP_006298802.1, XP_006298799.1, XP_006288874.1, XP_006284739.1, XP_006284738.1, XP_006284744.1, XP_006300570.1, XP_023633899.1
OG0000166	CARHR115420	XP_023640242.1
OG0000167	CARHR097030	XP_006299157.1, XP_023642627.1
OG0000169	CARHR041580, CARHR040020, CARHR042890, CARHR042510, CARHR043190, CARHR260050	XP_023642400.1
OG0000169	CARHR042900, CARHR041590, CARHR042520, CARHR043200, CARHR263740, CARHR037920	XP_006304855.1, XP_023637223.1, XP_023638076.1, XP_006299871.1, XP_006299319.1
OG0000169	CARHR219990	XP_023644508.1, XP_023644509.1
OG0000170	CARHR140800	XP_023640533.1
OG0000170	CARHR171350	XP_006293280.2
OG0000170	CARHR140750	XP_023641004.1
OG0000170	CARHR186310, CARHR140760	XP_023640714.1
OG0000170	CARHR140780, CARHR140790, CARHR140740	XP_023639945.1
OG0000170	CARHR140730	XP_023640606.1, XP_023640163.1
OG0000171	CARHR266340	XP_006281266.1
OG0000171	CARHR046700	XP_006284706.1
OG0000171	CARHR107000	XP_006298751.1
OG0000171	CARHR269520	XP_006281239.2
OG0000171	CARHR083000	XP_023641832.1
OG0000171	CARHR082990	XP_006298742.1
OG0000171	CARHR235660	XP_006284700.1
OG0000173	CARHR246590	XP_006284898.2, XP_023644326.1
OG0000173	CARHR100900	XP_023641239.1
OG0000173	CARHR246290, CARHR146050	XP_006289268.1
OG0000174	CARHR115250	XP_023639187.1, XP_023634312.1, XP_023640329.1, XP_023644479.1, XP_006281259.1
OG0000175	CARHR010800	XP_006305640.2
OG0000175	CARHR198650	XP_023635842.1
OG0000176	CARHR118040	XP_006293700.1, XP_006293701.1, XP_023639559.1, XP_006295969.1
OG0000176	CARHR176300	XP_023644310.1
OG0000177	CARHR256500, CARHR181980	XP_006306853.1
OG0000178	CARHR253020	XP_006289433.1
OG0000178	CARHR250370	XP_006286464.1
OG0000178	CARHR250360	XP_006286371.1
OG0000178	CARHR252970, CARHR263930	XP_006289092.1, XP_006289348.1, XP_023635846.1, XP_006287233.1
OG0000178	CARHR252960	XP_023635847.1, XP_006289234.1, XP_006286467.1
OG0000179	CARHR284070	XP_023643817.1
OG0000179	CARHR283730	XP_006300788.1
OG0000179	CARHR053540	XP_023643268.1
OG0000179	CARHR053290, CARHR283710, CARHR053930	XP_006300705.1
OG0000179	CARHR058170	XP_006300699.2
OG0000183	CARHR215030, CARHR058380	XP_006302967.1, XP_006284698.1
OG0000183	CARHR119300	XP_006294957.1
OG0000184	CARHR103600	XP_006299261.1
OG0000184	CARHR097890	XP_023641352.1
OG0000184	CARHR097900	XP_023641851.1
OG0000185	CARHR087540, CARHR087530	XP_006305431.1
OG0000185	CARHR028040	XP_023645963.1, XP_006305370.1
OG0000186	CARHR269100	XP_006282024.1
OG0000186	CARHR145120	XP_006292502.1
OG0000186	CARHR113370	XP_006303240.1, XP_006293848.1
OG0000186	CARHR050630	XP_023632799.1
OG0000187	CARHR112670, CARHR112680	XP_006296499.1
OG0000187	CARHR020040	XP_006304517.1
OG0000188	CARHR201470	XP_006289243.1, XP_006289137.1, XP_006286705.1
OG0000189	CARHR160880	XP_006293293.1
OG0000189	CARHR244350	XP_023633909.1
OG0000189	CARHR108220	XP_006296623.1
OG0000189	CARHR069390	XP_006302850.1
OG0000189	CARHR020570	XP_006305647.1
OG0000192	CARHR014030	XP_006303793.1
OG0000193	CARHR091790	XP_006299089.1, XP_006300124.1, XP_006299335.1, XP_006300121.1, XP_006299527.1, XP_023642703.1
OG0000193	CARHR036380, CARHR036970	XP_006304962.1
OG0000193	CARHR031880	XP_023633071.1, XP_023632600.1
OG0000195	CARHR175680, CARHR155390, CARHR110710, CARHR110090	XP_006299848.1
OG0000195	CARHR191180	XP_006287222.1
OG0000195	CARHR273570	XP_006281429.1
OG0000195	CARHR273530, CARHR273550, CARHR273540	XP_023644268.1, XP_006301244.1
OG0000196	CARHR272920	XP_023635062.1
OG0000197	CARHR215070, CARHR051370	XP_023635153.1, XP_023644224.1
OG0000197	CARHR215060, CARHR215050, CARHR215370	XP_006282799.2
OG0000197	CARHR226280, CARHR226370	XP_006285566.1
OG0000198	CARHR144080	XP_006291995.1
OG0000198	CARHR015470	XP_006305966.2
OG0000198	CARHR015480	XP_006306087.1
OG0000198	CARHR147290	XP_006291997.1, XP_023638678.1, XP_006291999.1, XP_023638990.1
OG0000199	CARHR063270, CARHR063300, CARHR163030, CARHR063260, CARHR063690, CARHR063700, CARHR263650	XP_006304151.2, XP_006303339.1, XP_006304149.1
OG0000199	CARHR251110, CARHR215270	XP_006293511.1
OG0000199	CARHR237670	XP_006294905.1
OG0000200	CARHR110490	XP_023641964.1
OG0000200	CARHR028750, CARHR037140	XP_006305145.1
OG0000200	CARHR037150	XP_006305143.1
OG0000203	CARHR168640	XP_006292197.1
OG0000203	CARHR168590, CARHR259860	XP_006293093.1
OG0000203	CARHR168740	XP_006292664.2
OG0000203	CARHR168690	XP_023638587.1
OG0000205	CARHR286250	XP_023644466.1, XP_023644460.1, XP_023634071.1, XP_023641994.1, XP_023636047.1, XP_023644478.1, XP_023634282.1, XP_023644465.1, XP_023640333.1, XP_023645651.1, XP_023634063.1, XP_023634058.1, XP_023636043.1
OG0000208	CARHR057780, CARHR183230	XP_023632621.1
OG0000209	CARHR202500	XP_006287874.1, XP_006296766.1
OG0000210	CARHR140170	XP_006294103.1
OG0000210	CARHR057970	XP_006302230.1
OG0000210	CARHR057980	XP_023644267.1
OG0000210	CARHR170850	XP_006292318.1
OG0000215	CARHR055980, CARHR108830	XP_006296786.1
OG0000216	CARHR253820, CARHR253860, CARHR253850	XP_023636119.1, XP_023635737.1
OG0000216	CARHR253870	XP_023637283.1
OG0000216	CARHR253840	XP_023635820.1
OG0000216	CARHR054340	XP_006302421.1
OG0000216	CARHR166590	XP_006292358.1
OG0000219	CARHR065380	XP_023634346.1
OG0000225	CARHR201930, CARHR072280	XP_006300476.1
OG0000226	CARHR058450	XP_006285264.2
OG0000226	CARHR029480	XP_023641923.1
OG0000226	CARHR176630	XP_023633599.1, XP_023643982.1
OG0000226	CARHR256020	XP_023635990.1
OG0000227	CARHR080100	XP_006296962.1
OG0000227	CARHR039350	XP_006286443.2
OG0000227	CARHR105540	XP_006296914.1
OG0000229	CARHR062190	XP_006289451.2, XP_023644307.1, XP_006282853.2, XP_006286342.2
OG0000229	CARHR004570	XP_006290232.2, XP_006281727.1, XP_006279442.1, XP_006304782.2
OG0000230	CARHR186450, CARHR286030	XP_006292365.1
OG0000232	CARHR122740	XP_023636098.1
OG0000232	CARHR110940	XP_023638057.1
OG0000233	CARHR205610	XP_006290020.1
OG0000233	CARHR205600, CARHR205590, CARHR205580	XP_006286767.1
OG0000234	CARHR095200	XP_023639230.1, XP_006295841.1
OG0000234	CARHR100580, CARHR100650, CARHR100570	XP_023636750.1, XP_023644543.1, XP_006305075.2
OG0000235	CARHR170750	XP_006284259.1, XP_023634339.1
OG0000236	CARHR102640	XP_023644265.1
OG0000236	CARHR062620	XP_023644184.1
OG0000236	CARHR260580	XP_006289606.1
OG0000237	CARHR099050	XP_023641253.1, XP_006299438.1, XP_006299488.1, XP_006289972.1, XP_006289053.1, XP_006290121.1, XP_006286744.1
OG0000237	CARHR098530	XP_006296746.1
OG0000237	CARHR238210, CARHR097380	XP_006297875.1
OG0000238	CARHR064110	XP_023644384.1
OG0000238	CARHR064140	XP_006301818.1
OG0000238	CARHR185670	XP_006289231.1
OG0000238	CARHR064120	XP_006302942.1
OG0000241	CARHR228610	XP_006284545.1
OG0000241	CARHR252730	XP_006289916.1
OG0000241	CARHR107520	XP_006289215.1
OG0000242	CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520	XP_006298183.1
OG0000242	CARHR175670	XP_006279117.1, XP_006286819.1, XP_006286567.1
OG0000243	CARHR028760	XP_006305764.1, XP_006304484.1
OG0000243	CARHR028830	XP_006305771.1
OG0000243	CARHR028880, CARHR028810	XP_023632576.1, XP_006305710.2, XP_006304552.1
OG0000244	CARHR251320, CARHR252330, CARHR252290	XP_006286805.1, XP_006290182.1
OG0000244	CARHR251330	XP_023636139.1, XP_006286807.1
OG0000246	CARHR131170, CARHR131180	XP_006294087.1, XP_006294083.1
OG0000246	CARHR131110	XP_006296366.1
OG0000246	CARHR131140, CARHR131130, CARHR131150, CARHR131160	XP_006294067.1, XP_006293528.1
OG0000247	CARHR291820, CARHR217360	XP_006285568.2
OG0000247	CARHR263700	XP_006279047.1
OG0000247	CARHR101580, CARHR101880, CARHR101530	XP_006300085.1
OG0000248	CARHR063130	XP_006301801.2
OG0000248	CARHR263070	XP_006284516.1
