Orthogroup	Cardamine_hirsuta	Cochlearia_excelsa
OG0000169	CARHR219990	g53988
OG0000170	CARHR140750	g52256
OG0000170	CARHR186310, CARHR140760	g52257
OG0000170	CARHR140770, CARHR103320	g37614, g37615
OG0000171	CARHR266340	g915, g28415
OG0000171	CARHR107000	g14078
OG0000171	CARHR269520	g28546
OG0000171	CARHR083000, CARHR082990	g7540
OG0000171	CARHR235660	g17072
OG0000174	CARHR292260, CARHR102990	g50178
OG0000175	CARHR023910	g45857
OG0000175	CARHR198650	g29297
OG0000175	CARHR142560	g50814
OG0000177	CARHR054130, CARHR287770	g36879
OG0000177	CARHR181970	g27488, g50732, g31972
OG0000178	CARHR253020	g40442
OG0000178	CARHR252970, CARHR263930	g45158
OG0000178	CARHR252960	g45173
OG0000179	CARHR123300	g31539, g1718
OG0000179	CARHR284060, CARHR284130, CARHR283910, CARHR284020, CARHR283760, CARHR284100, CARHR283900, CARHR053500, CARHR284050, CARHR284010	g44052
OG0000183	CARHR215030, CARHR058380	g18117
OG0000183	CARHR119300	g40143
OG0000184	CARHR097880, CARHR097910	g17322, g17326, g17324, g17323, g17327, g17334, g17336, g17332
OG0000184	CARHR097890, CARHR097900	g11846
OG0000185	CARHR279920	g11864
OG0000186	CARHR211050	g14029
OG0000187	CARHR112670, CARHR112680	g17092
OG0000189	CARHR244350	g47947
OG0000189	CARHR108220	g18237
OG0000189	CARHR069390, CARHR020570	g50117
OG0000192	CARHR233830	g25904
OG0000192	CARHR014050	g25911
OG0000193	CARHR036380, CARHR036970	g27763
OG0000193	CARHR091810, CARHR031310	g39564, g2101
OG0000196	CARHR272920	g43806, g43821, g2891
OG0000196	CARHR291930	g53971
OG0000196	CARHR291950	g43782, g43797
OG0000196	CARHR288130, CARHR291940, CARHR213880	g53972
OG0000197	CARHR215070, CARHR051370, CARHR215060, CARHR215050, CARHR215370, CARHR226280, CARHR226370	g24122
OG0000198	CARHR144080	g25893
OG0000198	CARHR015470	g31564
OG0000198	CARHR015480	g49926
OG0000199	CARHR237670	g47707
OG0000200	CARHR028750, CARHR037140	g27686
OG0000203	CARHR168640	g18958
OG0000203	CARHR168730, CARHR168740	g2360
OG0000205	CARHR286250, CARHR105060, CARHR218440	g11567
OG0000209	CARHR035940, CARHR010330	g5026
OG0000209	CARHR014740, CARHR010320	g12731
OG0000210	CARHR057970	g26821
OG0000210	CARHR069160, CARHR059610	g1914
OG0000215	CARHR033990, CARHR055980, CARHR108830	g449
OG0000216	CARHR253870	g25664
OG0000216	CARHR054340	g41090, g41083, g41086
OG0000216	CARHR054360	g41087
OG0000219	CARHR065380	g27764, g39817
OG0000225	CARHR180390	g4046
OG0000225	CARHR141370	g4045
OG0000226	CARHR058450	g17691, g17690, g17692
OG0000229	CARHR062190	g13978
OG0000229	CARHR004570	g26214, g10490, g22460, g24726
OG0000230	CARHR169340	g18915
OG0000230	CARHR169400	g2000
OG0000233	CARHR205610	g45483
OG0000233	CARHR205600, CARHR205590, CARHR205580	g29622
OG0000235	CARHR073970, CARHR170750	g11302
OG0000236	CARHR062590, CARHR062610, CARHR102640	g11672
OG0000236	CARHR000080, CARHR100230	g13483
OG0000237	CARHR098530	g11805
OG0000237	CARHR238210, CARHR097380	g36933
OG0000238	CARHR064100, CARHR064090	g44677
OG0000239	CARHR113140	g2261, g45344, g44563, g51060, g10741, g28476, g5898, g32750
OG0000241	CARHR228610, CARHR252730, CARHR107520	g17320
OG0000242	CARHR183240	g12521
OG0000242	CARHR175670	g10112
OG0000243	CARHR028830	g27682
OG0000244	CARHR251320, CARHR252330, CARHR252290	g25493
OG0000246	CARHR131170, CARHR131180	g37185
OG0000246	CARHR131110	g51603
OG0000249	CARHR014080	g34924, g34773, g26678
OG0000251	CARHR147330, CARHR147340	g16641
OG0000252	CARHR048360, CARHR048350, CARHR048370	g40852
OG0000252	CARHR071040	g46370
OG0000253	CARHR083800, CARHR083820, CARHR083810	g54073
OG0000253	CARHR087080	g12277
OG0000253	CARHR083850	g7492
OG0000253	CARHR000060, CARHR229590, CARHR210880	g5784, g45315
OG0000254	CARHR290080	g47117
OG0000254	CARHR290060, CARHR290070, CARHR290100, CARHR290090	g47115
OG0000257	CARHR216400, CARHR216420	g19589
OG0000257	CARHR069250, CARHR069290, CARHR069270	g46235
OG0000259	CARHR135220, CARHR117790	g1607
OG0000259	CARHR093470, CARHR093450	g6897
OG0000260	CARHR149040	g1632
OG0000260	CARHR181000	g24958
OG0000262	CARHR051080, CARHR046940	g24889
OG0000265	CARHR033470, CARHR263710, CARHR257150, CARHR159730, CARHR113850	g30948, g25301, g11542, g43509, g3110, g32825, g14672
OG0000266	CARHR266780, CARHR224090, CARHR036480	g28434, g45026
OG0000268	CARHR181110	g35054, g25240, g11530, g44991
OG0000268	CARHR154180	g53121, g53878, g53859, g50734
OG0000269	CARHR273300	g28758
OG0000269	CARHR122830	g39974
OG0000270	CARHR046830, CARHR048520, CARHR048230, CARHR055280	g41044
OG0000270	CARHR051040	g33428
OG0000270	CARHR048470, CARHR048080, CARHR051150, CARHR055290, CARHR048540, CARHR048090, CARHR048780	g40880
OG0000275	CARHR246950	g22735
OG0000277	CARHR243020, CARHR247840	g18216, g23060, g18323
OG0000277	CARHR020400	g50111, g27445, g31888
OG0000278	CARHR215670, CARHR215220	g14307
OG0000278	CARHR215570, CARHR215560, CARHR215610, CARHR215640, CARHR215620, CARHR215650, CARHR215200	g46809, g46812, g46827
OG0000279	CARHR094510	g40527, g40528, g40529
OG0000282	CARHR229020, CARHR229730	g47412
OG0000282	CARHR229010, CARHR229580, CARHR229030, CARHR229040, CARHR229110, CARHR229050, CARHR229070, CARHR283650, CARHR229570	g53736
OG0000285	CARHR227980	g47372
OG0000285	CARHR234950	g23645
OG0000285	CARHR164950	g17338
OG0000286	CARHR232240	g41270
OG0000289	CARHR116010, CARHR127060	g39775
OG0000289	CARHR127090	g39783
OG0000291	CARHR103190, CARHR103130	g11641, g53214, g52576, g53200
OG0000294	CARHR058080	g51379, g32720, g28307, g28263
OG0000294	CARHR198380	g25697
OG0000295	CARHR223360	g27709
OG0000296	CARHR285460, CARHR285480	g1252, g28701, g28702
OG0000296	CARHR272760, CARHR053670, CARHR272770	g28714
OG0000296	CARHR272750	g1225
OG0000297	CARHR115150	g30421, g30418, g30424, g30425, g21279, g20461
OG0000298	CARHR033060	g16334
OG0000298	CARHR033080	g16330
OG0000298	CARHR033050	g32687
OG0000305	CARHR260510, CARHR135390	g53520, g51878
OG0000306	CARHR214120, CARHR262590	g13807, g46733
OG0000307	CARHR220080	g24015, g31669, g11568
OG0000307	CARHR041320	g36491
OG0000308	CARHR180250	g39732
OG0000308	CARHR180280	g11113, g11114
OG0000309	CARHR274060	g849, g41323
OG0000309	CARHR007730, CARHR204750	g28817
OG0000311	CARHR111770	g20487
OG0000312	CARHR119980	g49078, g28337, g53936, g25486, g44392
OG0000312	CARHR284410	g14467, g35227
OG0000313	CARHR111260	g13846
OG0000313	CARHR135320	g23784
OG0000314	CARHR213600	g1672
OG0000314	CARHR287660	g6082, g4525, g37385
OG0000314	CARHR006310	g28453, g9121, g30700, g27333
OG0000316	CARHR057270	g12167, g12172
OG0000318	CARHR073450, CARHR062770, CARHR062740, CARHR057010, CARHR016600, CARHR062730, CARHR062760	g43847
OG0000318	CARHR004290	g49471
OG0000321	CARHR095140, CARHR040120	g54159
OG0000321	CARHR193110, CARHR193130	g41419
OG0000321	CARHR055410	g666
OG0000322	CARHR259720	g10751, g26081, g26058, g3407, g30889, g27502, g27505
OG0000325	CARHR004130	g26947, g49462
OG0000325	CARHR127110	g51329
OG0000325	CARHR004140	g30904
OG0000329	CARHR220880	g24516, g24521
OG0000329	CARHR263560, CARHR263570	g37784, g53311, g37787, g53330, g53326, g53348, g53328, g46723
OG0000330	CARHR065880	g44587
OG0000331	CARHR249810	g25429, g39522
OG0000331	CARHR001810	g26892
OG0000331	CARHR092710	g6947
OG0000332	CARHR050960, CARHR050950, CARHR055150, CARHR050930, CARHR051060, CARHR050990, CARHR051100, CARHR051090, CARHR051110, CARHR051120, CARHR050970, CARHR050980, CARHR050860	g24568, g44176
OG0000335	CARHR169770, CARHR170010	g1956
OG0000336	CARHR054330, CARHR054520, CARHR009570, CARHR009660, CARHR183900	g31190, g27091, g27095, g31209
OG0000341	CARHR038710, CARHR038690, CARHR038330	g53570, g31035
OG0000341	CARHR038630	g54095
OG0000344	CARHR119930	g36278
OG0000345	CARHR203880, CARHR006290	g29557, g39719
OG0000345	CARHR203890	g45514
OG0000345	CARHR003600, CARHR203870	g26927, g49447, g30863
OG0000346	CARHR163180	g2365
OG0000346	CARHR147230	g10579
OG0000347	CARHR141230	g52289
OG0000348	CARHR286050, CARHR149600, CARHR292690	g50668
OG0000349	CARHR273130	g1278
OG0000349	CARHR273200, CARHR273170, CARHR273210, CARHR273220	g28755, g1676
OG0000350	CARHR097870	g13403, g13402
OG0000356	CARHR117270	g50999
OG0000357	CARHR128500, CARHR029510	g32419, g32420, g50521
OG0000358	CARHR041650, CARHR259760	g54187
OG0000358	CARHR041640	g11643
OG0000359	CARHR235380	g23616
OG0000362	CARHR056490	g35345, g4371
OG0000362	CARHR266430, CARHR150180	g43613, g4131, g4234, g3255, g33492, g25276, g43263, g20304, g3787, g16102, g4130, g35341, g25266, g43262, g41821, g36457, g12619, g25261, g25259, g43259, g33494, g3251, g25071, g9678, g35281, g34308, g9679, g35248
OG0000363	CARHR071990	g27806
OG0000363	CARHR119900	g50959
OG0000365	CARHR025550	g27592
OG0000365	CARHR227340	g24049
OG0000365	CARHR025540, CARHR025530	g50367
OG0000368	CARHR155090	g11421
OG0000368	CARHR154970	g11422
OG0000369	CARHR293630, CARHR283580, CARHR058390, CARHR059500, CARHR186430, CARHR116680	g4480, g4569, g4675, g4768, g6892, g51876, g6424
OG0000370	CARHR033610, CARHR100280, CARHR100270, CARHR288610, CARHR033580, CARHR288600, CARHR033590, CARHR288590, CARHR100310, CARHR288580	g6467
OG0000376	CARHR051700	g41000
OG0000377	CARHR245750	g47983
