Orthogroup	Cardamine_hirsuta	Cardamine_glauca
OG0000096	CARHR094810, CARHR094850, CARHR094860, CARHR094840	Cg004G1260000
OG0000098	CARHR046250	Cg007G2258600, Cg007G2258500
OG0000098	CARHR174970	Cg008G2823500
OG0000100	CARHR050870	Cg007G2289500
OG0000100	CARHR055030	Cg007G2332300
OG0000100	CARHR051270, CARHR051280, CARHR051250	Cg007G2290800
OG0000101	CARHR176810, CARHR287350, CARHR006250, CARHR183060, CARHR099970, CARHR036950	Cg007G2332400
OG0000102	CARHR252050	Cg003G0864100, Cg003G0734300
OG0000102	CARHR252070	Cg003G0734500
OG0000102	CARHR252110, CARHR252090	Cg003G0863700, Cg003G0734700
OG0000102	CARHR252060	Cg003G0734400, Cg003G0864000
OG0000105	CARHR047220	Cg007G2307400, Cg007G2331800
OG0000105	CARHR047590, CARHR048050, CARHR288100, CARHR047560, CARHR047570, CARHR047200, CARHR047260, CARHR262020, CARHR047480, CARHR215710, CARHR149270, CARHR047160, CARHR055020	Cg007G2332200, Cg007G2332800
OG0000106	CARHR183910	Cg007G2419200, Cg008G2833600
OG0000107	CARHR119260, CARHR119250	Cg005G1681600
OG0000107	CARHR095660	Cg004G1267700
OG0000107	CARHR095650	Cg004G1267500
OG0000107	CARHR095620	Cg004G1267300
OG0000107	CARHR055760	Cg004G1267400
OG0000107	CARHR095610	Cg004G1267200
OG0000108	CARHR131960	Cg005G1557400
OG0000108	CARHR285740	Cg003G0983900, Cg002G0564200
OG0000108	CARHR086670	Cg004G1180800
OG0000108	CARHR203590	Cg008G2664600
OG0000108	CARHR094190	Cg004G1253800
OG0000111	CARHR155540, CARHR161910, CARHR161710, CARHR161740	Cg002G0508300, Cg002G0508200, Cg006G1938400
OG0000111	CARHR148290	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600
OG0000115	CARHR155450	Cg006G1927900, Cg008G2910800
OG0000116	CARHR217650	Cg001G0293300, Cg001G0282800
OG0000117	CARHR023950	Cg006G2031100
OG0000117	CARHR024070	Cg006G2029900
OG0000117	CARHR024100	Cg006G2029400
OG0000119	CARHR114860	Cg005G1714200
OG0000119	CARHR256190, CARHR263010	Cg002G0596700
OG0000119	CARHR150080	Cg002G0574300
OG0000119	CARHR143200, CARHR207890	Cg001G0041500
OG0000119	CARHR150200	Cg002G0574700
OG0000121	CARHR114800	Cg002G0640900, Cg004G1362200
OG0000121	CARHR054110, CARHR100990	Cg008G2905000
OG0000122	CARHR269920	Cg003G0952800
OG0000122	CARHR269930	Cg003G0800700
OG0000123	CARHR181480, CARHR181490	Cg008G2893000, Cg008G2892800, Cg008G2892300, Cg008G2892200, Cg008G2892500, Cg008G2892400, Cg008G2892600, Cg008G2892100, Cg008G2892000, Cg008G2892700, Cg008G2892900
OG0000124	CARHR261370	Cg001G0378100
OG0000124	CARHR153360, CARHR119160, CARHR259840, CARHR180340	Cg001G0298900
OG0000125	CARHR122240	Cg005G1643500
OG0000125	CARHR122230	Cg005G1643600
OG0000125	CARHR122140	Cg005G1644900
OG0000125	CARHR122190	Cg005G1644600
OG0000125	CARHR007350	Cg006G2188500
OG0000125	CARHR039100	Cg006G1841400
OG0000125	CARHR041970	Cg006G1816500
OG0000125	CARHR041980	Cg006G1816900, Cg006G1816400
OG0000125	CARHR097260	Cg004G1281100
OG0000127	CARHR007600	Cg006G2186100
OG0000127	CARHR190650	Cg008G2786000
OG0000127	CARHR163570	Cg002G0489900
OG0000127	CARHR210790	Cg008G2597500
OG0000127	CARHR273520	Cg003G0989900
OG0000127	CARHR154340, CARHR154390	Cg002G0569500, Cg002G0569100
OG0000127	CARHR121850	Cg005G1647800
OG0000128	CARHR061850	Cg007G2459200
OG0000128	CARHR169630	Cg002G0434200
OG0000128	CARHR169580	Cg002G0434700
OG0000128	CARHR169600	Cg002G0434600
OG0000129	CARHR038520, CARHR038560, CARHR056630	Cg007G2357000
OG0000129	CARHR056680	Cg007G2393300
OG0000129	CARHR056760, CARHR056690	Cg007G2412500, Cg007G2396400
OG0000129	CARHR275720	Cg003G1010100
OG0000129	CARHR275710	Cg003G1010200, Cg003G1010000
OG0000129	CARHR120250	Cg005G1662800, Cg005G1661800, Cg005G1660700
OG0000129	CARHR120240, CARHR120610	Cg005G1661700
OG0000129	CARHR038530, CARHR038540	Cg008G2880200
OG0000129	CARHR056610	Cg007G2357100
OG0000130	CARHR038370, CARHR217450	Cg008G2849000
OG0000132	CARHR164880	Cg002G0477500
OG0000134	CARHR202050	Cg008G2920900
OG0000137	CARHR268710	Cg003G0942200
OG0000137	CARHR268720	Cg003G0942300
OG0000137	CARHR268700	Cg003G0942100
OG0000137	CARHR268690	Cg003G0942000
OG0000137	CARHR268680	Cg003G0941900
OG0000138	CARHR052000	Cg007G2299800
OG0000138	CARHR169390	Cg002G0558300, Cg002G0563500
OG0000138	CARHR052010	Cg007G2299300
OG0000138	CARHR052020, CARHR053570	Cg007G2299200, Cg008G2872200, Cg002G0573400, Cg007G2299500
OG0000140	CARHR146770	Cg003G0810900
OG0000141	CARHR048950, CARHR048730, CARHR048980, CARHR049220, CARHR049190, CARHR048930, CARHR049010	Cg007G2276000, Cg007G2276100
OG0000143	CARHR287550	Cg001G0285100
OG0000143	CARHR181670, CARHR183500	Cg002G0608200
OG0000148	CARHR040900	Cg006G1825800
OG0000151	CARHR151000	Cg002G0579800
OG0000151	CARHR165130	Cg002G0475200
OG0000151	CARHR165120	Cg002G0475300
OG0000151	CARHR134140	Cg005G1538800
OG0000151	CARHR165110	Cg002G0475400
OG0000151	CARHR163410	Cg002G0491600
OG0000151	CARHR132240	Cg005G1560100
OG0000151	CARHR199860	Cg008G2699500
OG0000153	CARHR124170, CARHR124160	Cg005G1625900
OG0000153	CARHR122600, CARHR122610	Cg005G1641100
OG0000153	CARHR007210	Cg006G2190200
OG0000153	CARHR122550	Cg005G1640700
OG0000154	CARHR040870	Cg006G1826100
OG0000154	CARHR290670	Cg001G0245400
OG0000154	CARHR040880, CARHR041470	Cg006G1826000
OG0000154	CARHR041490, CARHR040850	Cg006G1826400
OG0000154	CARHR040860, CARHR041500	Cg006G1826200
OG0000157	CARHR030250	Cg006G1948100, Cg006G1948200, Cg006G1948000
OG0000158	CARHR210870	Cg008G2596700
OG0000159	CARHR184120	Cg003G0778900, Cg005G1705200
OG0000160	CARHR109500	Cg004G1426700
OG0000160	CARHR238090	Cg001G0100800
OG0000160	CARHR271150	Cg003G0963700
OG0000160	CARHR104060	Cg004G1353700
OG0000160	CARHR073860	Cg007G2573400
OG0000160	CARHR117520	Cg005G1742100
OG0000162	CARHR127170	Cg005G1601600
OG0000162	CARHR145910	Cg002G0675900, Cg002G0676200
OG0000162	CARHR145930	Cg002G0676100
OG0000162	CARHR102810, CARHR103310	Cg004G1334900
OG0000162	CARHR127190	Cg005G1601400
OG0000165	CARHR180400	Cg008G2927600
OG0000166	CARHR115410, CARHR183960	Cg013G3025200, Cg013G3024600, Cg013G3024900
OG0000166	CARHR115420	Cg036G3082400
OG0000167	CARHR096960, CARHR096980	Cg004G1278400
OG0000167	CARHR099220	Cg004G1301000
OG0000169	CARHR148260, CARHR265180, CARHR265400	Cg003G0905500, Cg003G0905700
OG0000170	CARHR140800	Cg005G1473800
OG0000170	CARHR186310, CARHR140760	Cg005G1474000
OG0000171	CARHR266340	Cg003G0916500
OG0000171	CARHR046700	Cg007G2262400
OG0000171	CARHR107000	Cg004G1402700
OG0000171	CARHR269520	Cg003G0949800
OG0000171	CARHR082990	Cg004G1146700
OG0000171	CARHR235660	Cg001G0123300
OG0000173	CARHR246590	Cg008G2861400, Cg008G2846800
OG0000173	CARHR132630	Cg001G0073600
OG0000174	CARHR292260	Cg007G2342000, Cg002G0629800
OG0000174	CARHR102990	Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900
OG0000175	CARHR023910	Cg006G2031400, Cg007G2474600
OG0000175	CARHR010800	Cg007G2303300, Cg006G2157000
OG0000175	CARHR198650	Cg008G2710700
OG0000175	CARHR142560	Cg002G0406800, Cg005G1457900
OG0000176	CARHR118040	Cg005G1747600
OG0000176	CARHR118080, CARHR118100	Cg004G1115500
OG0000176	CARHR118130	Cg005G1747800
OG0000176	CARHR176300	Cg008G2964200
OG0000176	CARHR291280, CARHR064660, CARHR291340, CARHR292140	Cg007G2484200
OG0000177	CARHR256500, CARHR181980	Cg006G2054300, Cg006G2054100
OG0000177	CARHR059110	Cg006G2054500
OG0000178	CARHR253020	Cg003G0742900, Cg003G0743000
OG0000178	CARHR250370	Cg006G1925200
OG0000178	CARHR250360	Cg006G1925100
OG0000178	CARHR259510	Cg003G0742300
OG0000179	CARHR283730	Cg007G2311400
OG0000183	CARHR215030	Cg001G0339800
OG0000183	CARHR136200	Cg002G0456600, Cg005G1519300
OG0000183	CARHR191680, CARHR114540	Cg008G2776300
OG0000183	CARHR119300	Cg005G1681400
OG0000185	CARHR087540, CARHR087530	Cg004G1189300
OG0000185	CARHR028040	Cg006G1989500
OG0000186	CARHR113370	Cg005G1766900
OG0000186	CARHR158340	Cg002G0535100
OG0000187	CARHR112670, CARHR112680	Cg005G1772000
OG0000187	CARHR020040	Cg006G2070900
OG0000188	CARHR078870	Cg004G1107000
OG0000189	CARHR160880	Cg002G0515600
OG0000189	CARHR244350	Cg001G0040600
OG0000189	CARHR108220	Cg004G1414100
OG0000189	CARHR243300	Cg001G0051000
OG0000189	CARHR069390	Cg007G2529500
OG0000189	CARHR020570	Cg006G2064800
OG0000191	CARHR150970	Cg001G0299600, Cg005G1682000, Cg007G2302000, Cg006G1951500, Cg007G2389300, Cg007G2329300
OG0000192	CARHR233830	Cg006G1993900
OG0000192	CARHR014050	Cg006G1994000
OG0000193	CARHR091790	Cg004G1230500
OG0000193	CARHR036380	Cg006G1859600, Cg006G1859800
OG0000193	CARHR036970	Cg006G1859900, Cg006G1859400
OG0000193	CARHR031880	Cg006G1948300
OG0000195	CARHR175680, CARHR155390, CARHR110710, CARHR110090	Cg004G1434800, Cg004G1435000, Cg004G1433700, Cg004G1435100, Cg004G1434700
OG0000195	CARHR273570	Cg003G0787700
OG0000195	CARHR273550, CARHR273540	Cg003G0990000, Cg002G0555700
OG0000195	CARHR273560	Cg003G0787800
OG0000196	CARHR272920	Cg001G0390600
OG0000196	CARHR213580, CARHR272900, CARHR287600	Cg001G0388500
OG0000196	CARHR288120, CARHR287580, CARHR213590	Cg001G0388000, Cg001G0388200
OG0000196	CARHR288130	Cg001G0387900, Cg001G0387800
OG0000196	CARHR291940, CARHR213880	Cg001G0388400
OG0000197	CARHR215060, CARHR215050, CARHR215370	Cg001G0339500
OG0000197	CARHR266210	Cg003G0914600, Cg003G0914900, Cg003G0915100, Cg003G0914800
OG0000197	CARHR260280	Cg003G0788900, Cg003G0788200
OG0000198	CARHR144080	Cg002G0692800
OG0000198	CARHR015470	Cg006G2114000
OG0000198	CARHR015480	Cg006G2113800, Cg006G2113700
OG0000198	CARHR147290	Cg002G0664200
OG0000199	CARHR063260, CARHR063690, CARHR063700, CARHR263650	Cg007G2470500, Cg007G2472200, Cg007G2392400
OG0000199	CARHR251110	Cg014G3034400, Cg008G2903900
OG0000199	CARHR237670	Cg001G0105000
OG0000200	CARHR110490	Cg006G2183200
OG0000200	CARHR028490	Cg006G1985400
OG0000200	CARHR028750, CARHR037140	Cg006G1857600
OG0000200	CARHR037150	Cg006G1857700
OG0000202	CARHR250390, CARHR248840, CARHR250050, CARHR250400	Cg003G0719400
OG0000203	CARHR168640	Cg002G0442000
OG0000203	CARHR168590, CARHR259860	Cg002G0441200
OG0000203	CARHR168740	Cg002G0441400
OG0000203	CARHR168770	Cg002G0441100
OG0000203	CARHR168690	Cg002G0441500
OG0000205	CARHR286250, CARHR105060, CARHR218440	Cg006G1892500
OG0000208	CARHR057780, CARHR183230	Cg005G1738400, Cg007G2356100, Cg005G1738000
OG0000209	CARHR014880, CARHR035940, CARHR010330	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400
OG0000209	CARHR014740, CARHR010320	Cg008G2968000
OG0000209	CARHR202500	Cg008G2677700
OG0000209	CARHR125670, CARHR125660, CARHR124000	Cg005G1613100, Cg003G0772300
OG0000209	CARHR024930	Cg006G2021100
OG0000209	CARHR008650	Cg006G1996300
OG0000210	CARHR121990	Cg005G1646400
OG0000210	CARHR140170	Cg005G1480200
OG0000210	CARHR170840	Cg002G0423700
OG0000210	CARHR069160, CARHR059610	Cg005G1646200
OG0000216	CARHR253850	Cg003G0750100
OG0000216	CARHR253870	Cg003G0750300, Cg003G0750200
OG0000216	CARHR253840	Cg003G0750000
OG0000216	CARHR054340	Cg007G2323800
OG0000216	CARHR166590	Cg001G0324000
OG0000216	CARHR216300	Cg001G0323300
OG0000219	CARHR037370, CARHR272960	Cg001G0279900
OG0000219	CARHR253110	Cg006G1830800
OG0000225	CARHR072280	Cg007G2558500
OG0000226	CARHR256020	Cg003G0770400
OG0000227	CARHR080100	Cg004G1118500
OG0000227	CARHR105540, CARHR105520	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200
OG0000227	CARHR105480	Cg004G1376900
OG0000229	CARHR062190	Cg001G0315200
OG0000229	CARHR004570	Cg005G1664500, Cg007G2409700
OG0000230	CARHR186450, CARHR286030	Cg008G2846600, Cg008G2861200, Cg008G2861500
OG0000232	CARHR122740	Cg006G1824400, Cg004G1119800
OG0000232	CARHR110940	Cg005G1715100, Cg005G1758600
OG0000233	CARHR205610	Cg008G2647600
OG0000233	CARHR205600	Cg008G2647700
OG0000233	CARHR205590	Cg008G2647900
OG0000233	CARHR205580	Cg008G2647800
OG0000233	CARHR205620	Cg008G2647400
OG0000234	CARHR139700	Cg005G1484700
OG0000234	CARHR095200	Cg004G1263300
OG0000234	CARHR210300	Cg008G2601400
OG0000235	CARHR133380	Cg005G1544000
OG0000235	CARHR073970	Cg007G2571200, Cg007G2574000
OG0000236	CARHR062600	Cg007G2466600
OG0000236	CARHR097950	Cg004G1287300
OG0000236	CARHR000080, CARHR100230	Cg004G1311000
OG0000236	CARHR102630	Cg004G1333500
OG0000236	CARHR260580	Cg003G0795800
OG0000237	CARHR099050	Cg004G1316600
OG0000237	CARHR043980, CARHR044120	Cg006G1842500
OG0000237	CARHR238210	Cg001G0099500
OG0000237	CARHR097380	Cg004G1282100
OG0000238	CARHR064100, CARHR064090	Cg007G2478500
OG0000238	CARHR064130	Cg007G2478800
OG0000238	CARHR064110	Cg007G2478600
OG0000238	CARHR064140	Cg007G2478900
OG0000238	CARHR292540	Cg002G0635600
OG0000238	CARHR185670	Cg008G2832400
OG0000238	CARHR023530	Cg006G2034900
OG0000238	CARHR023500, CARHR023520, CARHR023510	Cg006G2035000
OG0000238	CARHR064120	Cg007G2478700
OG0000239	CARHR218360	Cg002G0661500, Cg007G2316100, Cg006G2142800
OG0000239	CARHR113140	Cg001G0354900, Cg008G2902200
OG0000239	CARHR184570, CARHR118460, CARHR285080, CARHR125790	Cg003G0837600
OG0000241	CARHR228610	Cg001G0185400
OG0000241	CARHR252730	Cg003G0857500, Cg003G0740200
OG0000242	CARHR175670	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800
OG0000244	CARHR252310	Cg003G0862300, Cg003G0736100, Cg003G0862100, Cg003G0861900, Cg003G0736300, Cg003G0736000, Cg003G0862400, Cg003G0735900
OG0000244	CARHR251320, CARHR252330, CARHR252290	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400
OG0000244	CARHR251330	Cg003G0728100, Cg003G0869700
OG0000246	CARHR131170, CARHR131180	Cg005G1566300
OG0000247	CARHR291820	Cg001G0351600, Cg001G0351800
OG0000247	CARHR101580, CARHR101880, CARHR101530	Cg003G0782000, Cg004G1322200, Cg004G1322700
OG0000248	CARHR063140	Cg007G2470700
OG0000248	CARHR063150, CARHR063130	Cg007G2470600
OG0000249	CARHR029720	Cg007G2349500, Cg004G1391400
OG0000251	CARHR147310	Cg002G0663900
OG0000251	CARHR147300	Cg002G0664000
OG0000251	CARHR147330	Cg002G0663800
OG0000251	CARHR271060	Cg003G0962700
OG0000252	CARHR230420	Cg001G0086600
OG0000252	CARHR048360, CARHR048350, CARHR048370	Cg007G2272200
OG0000252	CARHR071040	Cg007G2546100
OG0000252	CARHR071060	Cg007G2546300
OG0000252	CARHR071050	Cg007G2546200
OG0000253	CARHR083800, CARHR083820, CARHR083810	Cg004G1153800
OG0000253	CARHR210890	Cg008G2596500
OG0000253	CARHR087080	Cg004G1184700
OG0000253	CARHR083850	Cg004G1154100
OG0000253	CARHR210880	Cg008G2596600
OG0000254	CARHR290060	Cg001G0250300
OG0000254	CARHR290070	Cg001G0250200
OG0000254	CARHR290100	Cg001G0249500
OG0000254	CARHR290090	Cg001G0249800
OG0000257	CARHR069370	Cg007G2529300
OG0000257	CARHR069250, CARHR069290, CARHR069270	Cg008G2969000
OG0000257	CARHR069280, CARHR069310, CARHR284300, CARHR069260	Cg007G2529400
OG0000262	CARHR051080	Cg007G2264500, Cg007G2264400
OG0000262	CARHR046940	Cg007G2264300
OG0000265	CARHR033470, CARHR263710, CARHR257150, CARHR159730, CARHR113850	Cg005G1655600
OG0000268	CARHR181110	Cg006G1966300, Cg006G1965600, Cg008G2873000
OG0000269	CARHR273300	Cg003G0987700
OG0000269	CARHR007130, CARHR007140	Cg006G2190700
OG0000269	CARHR053220	Cg007G2309100
OG0000269	CARHR122830	Cg005G1638700
OG0000270	CARHR051040	Cg001G0375300
OG0000275	CARHR175770	Cg003G1065200
OG0000275	CARHR185060, CARHR185040	Cg008G2833500
OG0000277	CARHR243020, CARHR247840	Cg001G0007500
OG0000277	CARHR020400	Cg006G2066500
OG0000278	CARHR215670	Cg001G0332400
OG0000278	CARHR215220	Cg001G0336600
OG0000278	CARHR215570	Cg001G0333000
