Orthogroup	Cardamine_hirsuta	Brassica_rapa
OG0000061	CARHR123140	XP_033145280.1
OG0000061	CARHR123070	XP_009133838.1
OG0000061	CARHR151510, CARHR219570	XP_033134438.1
OG0000064	CARHR050760, CARHR273290, CARHR054420, CARHR289730, CARHR289690	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1
OG0000065	CARHR214320	XP_033134366.1, XP_009125066.1
OG0000065	CARHR059230, CARHR059320, CARHR124320	XP_009127504.1
OG0000065	CARHR059130, CARHR059070, CARHR059140	XP_009105243.1
OG0000065	CARHR059150	XP_009127507.1
OG0000065	CARHR059200	XP_033143336.1
OG0000065	CARHR214430, CARHR214400	XP_009125065.1
OG0000065	CARHR263400, CARHR263410	XP_009140101.2, XP_009151130.2
OG0000066	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1
OG0000066	CARHR202310	XP_009104699.1, XP_009125263.1, XP_009131189.1, XP_009130061.1, XP_018511751.1
OG0000068	CARHR210960	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1
OG0000069	CARHR264470	XP_033144869.1
OG0000069	CARHR264460	XP_033144867.1, XP_033144865.1, XP_009137441.1, XP_033143704.1, XP_009150992.2
OG0000069	CARHR070150	XP_033128537.1, XP_009102077.1, XP_018511249.1
OG0000070	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	XP_009123589.1, XP_033136464.1
OG0000070	CARHR020650	XP_009149503.1
OG0000070	CARHR069500	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000072	CARHR292290	XP_033148496.1, XP_033146751.1, XP_009145557.2, XP_033128162.1, XP_033129519.1, XP_033134361.1, XP_033128616.1
OG0000075	CARHR247180	XP_009101861.1, XP_033141207.1, XP_009124954.2, XP_009127369.1
OG0000075	CARHR247150, CARHR221070, CARHR247140	XP_009101862.1
OG0000076	CARHR247830	XP_009101919.1
OG0000076	CARHR260300	XP_009141037.3, XP_009132713.2, XP_009132712.2, XP_009141118.1, XP_033146437.1, XP_018512826.1, XP_009132724.1, XP_009141423.1, XP_009141039.2, XP_009141424.2, XP_009105095.1, XP_009127648.2
OG0000077	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080	XP_033139970.1
OG0000077	CARHR288740, CARHR145630	XP_033141183.1
OG0000077	CARHR145620	XP_018512146.1
OG0000078	CARHR194990, CARHR195030, CARHR195060, CARHR195010	XP_009126231.2, XP_009131624.1, XP_009121025.2, XP_009131630.2, XP_009126229.1, XP_009131627.1
OG0000081	CARHR264280	XP_018509212.1, XP_033131829.1, XP_033133259.1
OG0000081	CARHR258030	XP_009136781.1, XP_009107885.2, XP_033142712.1, XP_033132815.1, XP_033139711.1, XP_033129160.1, XP_009107884.2
OG0000086	CARHR214860	XP_009135925.1, XP_009139756.1
OG0000086	CARHR214870	XP_009139752.1
OG0000086	CARHR214790, CARHR214760	XP_033147599.1
OG0000086	CARHR058690, CARHR058660, CARHR058640, CARHR058680	XP_033130821.1
OG0000089	CARHR189700	XP_009150907.1
OG0000089	CARHR155480	XP_009150568.2, XP_009149954.2
OG0000089	CARHR122890	XP_009144365.1, XP_009141007.2
OG0000089	CARHR200860	XP_009121863.1
OG0000089	CARHR178800	XP_009113926.1, XP_009101721.2
OG0000089	CARHR227450	XP_009123590.1
OG0000089	CARHR128920	XP_018514901.1
OG0000089	CARHR069200	XP_009106234.1
OG0000090	CARHR116840, CARHR259920	XP_033133394.1, XP_033141800.1
OG0000091	CARHR155720	XP_009150032.2
OG0000091	CARHR192340, CARHR192330	XP_009131797.1, XP_009120802.1
OG0000091	CARHR262970	XP_009143939.1, XP_033147614.1
OG0000092	CARHR180580	XP_033147154.1
OG0000092	CARHR152920, CARHR180590, CARHR261190	XP_009145085.2
OG0000092	CARHR293270	XP_033136537.1
OG0000095	CARHR117030, CARHR118620	XP_009134223.1, XP_009140586.1
OG0000095	CARHR117020	XP_033145266.1, XP_033145760.1
OG0000095	CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940	XP_033146353.1, XP_033146352.1
OG0000095	CARHR117880, CARHR117220	XP_033145265.1
OG0000096	CARHR084920	XP_009136113.1
OG0000096	CARHR159080	XP_033148466.1
OG0000098	CARHR103960	XP_033141220.1
OG0000098	CARHR046250	XP_033144223.1, XP_009137095.2, XP_033143042.1
OG0000098	CARHR174970	XP_009150964.1, XP_009130073.1
OG0000100	CARHR047470, CARHR047430, CARHR047580, CARHR047440, CARHR261260, CARHR047450	XP_018509586.1
OG0000100	CARHR048000, CARHR048030, CARHR048060, CARHR048070, CARHR048510	XP_033135340.1
OG0000100	CARHR051270, CARHR051280, CARHR051250	XP_033135321.1
OG0000100	CARHR047090, CARHR047300, CARHR047120	XP_009112782.1
OG0000101	CARHR287350	XP_009123725.2
OG0000102	CARHR252110, CARHR252090, CARHR252060	XP_009121666.1
OG0000102	CARHR252130	XP_033136290.1, XP_033140146.1
OG0000105	CARHR047220	XP_033134179.1
OG0000106	CARHR183910	XP_033141352.1, XP_033135598.1, XP_033135708.1, XP_033132990.1, XP_009119936.1, XP_009138559.1, XP_033134634.1
OG0000107	CARHR119260, CARHR119250	XP_033131954.1, XP_009113964.1
OG0000107	CARHR095660	XP_018514730.2
OG0000107	CARHR095650	XP_009140112.1, XP_033142636.1
OG0000107	CARHR095610	XP_033147102.1
OG0000107	CARHR096820, CARHR096830, CARHR097220, CARHR095680, CARHR095690, CARHR095670	XP_009111243.1
OG0000108	CARHR131960	XP_009133195.1, XP_009141678.2
OG0000108	CARHR155270	XP_009150245.1
OG0000108	CARHR086670	XP_009146646.1
OG0000108	CARHR203590	XP_033138402.1, XP_009131124.2, XP_009125344.2
OG0000108	CARHR094190	XP_009145858.2, XP_018513774.1
OG0000110	CARHR151660	XP_033134264.1, XP_033148525.1, XP_033147962.1, XP_018511583.2, XP_018512883.1, XP_033145191.1, XP_033134317.1
OG0000111	CARHR148290	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1, XP_033128640.1, XP_033129028.1, XP_033146399.1, XP_033146035.1, XP_009133886.1
OG0000114	CARHR258830, CARHR283860	XP_033145921.1
OG0000115	CARHR155450	XP_009133161.1
OG0000117	CARHR024100	XP_033130333.1
OG0000118	CARHR101240, CARHR101220, CARHR133050, CARHR115930, CARHR115940, CARHR115970, CARHR133070, CARHR133060	XP_009113644.3, XP_009115539.2, XP_033135170.1, XP_033135169.1, XP_033135012.1, XP_009135990.1, XP_033135900.1
OG0000119	CARHR150070, CARHR118170	XP_033138816.1
OG0000119	CARHR118700, CARHR273840	XP_033138803.1
OG0000119	CARHR059580, CARHR150110	XP_033139673.1
OG0000119	CARHR114860, CARHR256190, CARHR263010, CARHR150080, CARHR150140, CARHR143200, CARHR207890, CARHR150200	XP_009140726.1
OG0000119	CARHR114850	XP_033143911.1
OG0000121	CARHR101000	XP_009144746.3
OG0000121	CARHR054680, CARHR054690, CARHR181920, CARHR054110, CARHR100990, CARHR102670	XP_033141060.1
OG0000122	CARHR269740	XP_033139826.1, XP_033139827.1
OG0000122	CARHR129080, CARHR031770, CARHR269910, CARHR269890	XP_033142107.1
OG0000122	CARHR033520, CARHR033430	XP_033137394.1, XP_033142009.1, XP_018512820.2
OG0000122	CARHR269930	XP_033139821.1
OG0000123	CARHR181480, CARHR181490	XP_033133176.1, XP_033133177.1, XP_033132773.1, XP_033132770.1, XP_033132771.1, XP_033132772.1, XP_033132774.1, XP_033133179.1, XP_033133178.1
OG0000124	CARHR261370	XP_033145235.1
OG0000124	CARHR153360, CARHR119160, CARHR259840	XP_009145189.1
OG0000125	CARHR122240	XP_033145187.1, XP_033131572.1
OG0000125	CARHR007350	XP_009118428.1
OG0000125	CARHR039100	XP_033146903.1
OG0000125	CARHR041970, CARHR041980	XP_009144873.1
OG0000125	CARHR097260	XP_009135746.2, XP_018514690.2
OG0000126	CARHR103200	XP_033134231.1
OG0000126	CARHR217430, CARHR184740	XP_033136403.1
OG0000126	CARHR252010	XP_033133742.1
OG0000127	CARHR190650	XP_009120626.1, XP_009131894.1
OG0000127	CARHR163570	XP_009139383.1, XP_009116061.1
OG0000127	CARHR273520	XP_009120513.1
OG0000127	CARHR121850	XP_009133865.1, XP_009140934.1, XP_009103710.2
OG0000128	CARHR061850	XP_009104190.1
OG0000128	CARHR104600	XP_033134414.1
OG0000128	CARHR169580	XP_009116587.1, XP_018508692.1
OG0000128	CARHR169600	XP_009104193.2
OG0000129	CARHR038520, CARHR038560	XP_033146831.1, XP_033146830.1
OG0000129	CARHR056680, CARHR056760, CARHR056690	XP_033145048.1
OG0000129	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730	XP_009130179.2, XP_009130183.1
OG0000130	CARHR287060, CARHR146840	XP_033147807.1
OG0000130	CARHR183650, CARHR123710, CARHR043800	XP_009107043.1, XP_033130441.1
OG0000132	CARHR164880	XP_009116244.2, XP_009116245.1, XP_009116184.2, XP_033137144.1, XP_018510613.1
OG0000132	CARHR277270	XP_033136550.1
OG0000132	CARHR277260	XP_033141227.1
OG0000132	CARHR214020	XP_009144883.2
OG0000134	CARHR054550, CARHR054640, CARHR054580, CARHR151520	XP_018508210.2
OG0000134	CARHR202050	XP_033142785.1, XP_033142547.1, XP_009113973.2, XP_033142504.1
OG0000136	CARHR186370	XP_033133938.1
OG0000137	CARHR268710	XP_033144579.1, XP_009127007.2, XP_033139637.1
OG0000137	CARHR268720	XP_009111746.1, XP_009127005.1
OG0000137	CARHR268700	XP_033138715.1
OG0000137	CARHR268690	XP_009132393.1
OG0000137	CARHR268680	XP_009132642.1, XP_009120051.1
OG0000138	CARHR169390	XP_033146362.1
OG0000140	CARHR116590	XP_009145081.1
OG0000141	CARHR220970, CARHR220990	XP_033133736.1
OG0000141	CARHR012600	XP_033135443.1
OG0000141	CARHR255820	XP_009118104.3
OG0000141	CARHR012590	XP_018510931.2
OG0000141	CARHR012520, CARHR220850	XP_009110666.1
OG0000141	CARHR013070	XP_009118092.2, XP_033134902.1
OG0000143	CARHR181670, CARHR183500	XP_033134274.1, XP_033135796.1
OG0000148	CARHR037410	XP_033144403.1, XP_009132885.2
OG0000150	CARHR288220	XP_033138999.1
OG0000150	CARHR217380, CARHR294480	XP_033139048.1, XP_033139149.1, XP_033139478.1, XP_033139494.1, XP_033139194.1, XP_033139164.1, XP_033138880.1, XP_033139010.1, XP_033139244.1, XP_033138885.1
OG0000151	CARHR151000	XP_009124228.1
OG0000151	CARHR165130	XP_009116212.1, XP_009103951.1, XP_033146519.1
OG0000151	CARHR165120	XP_009139199.2
OG0000151	CARHR134140	XP_033148760.1
OG0000151	CARHR165110	XP_009139200.1
OG0000151	CARHR132240	XP_009141649.1
OG0000151	CARHR199860	XP_009121752.1
OG0000153	CARHR124170, CARHR124160, CARHR124140	XP_009140992.3, XP_009140985.1, XP_033147950.1, XP_018514500.2
OG0000153	CARHR122600, CARHR122610	XP_033145172.1
OG0000153	CARHR007210	XP_009110944.1
OG0000153	CARHR007190	XP_009118438.1
OG0000153	CARHR122550	XP_009140988.2, XP_009144387.2
OG0000154	CARHR290670	XP_009107881.1
OG0000154	CARHR040880, CARHR041470	XP_018515541.1
OG0000154	CARHR041490, CARHR040850	XP_033128714.1
OG0000157	CARHR029970	XP_033130702.1, XP_033139818.1, XP_009140642.2, XP_009129819.1, XP_009129831.2
OG0000158	CARHR113640	XP_033136525.1
OG0000158	CARHR245230	XP_009104904.1
OG0000158	CARHR150520	XP_033141607.1
OG0000159	CARHR184120	XP_033130755.1, XP_033139533.1, XP_009115089.3, XP_033137203.1, XP_033128569.1, XP_033147093.1
OG0000160	CARHR109500	XP_009112568.1, XP_009102205.2
OG0000160	CARHR238090	XP_009137896.1, XP_009137895.2, XP_009128001.1, XP_009109000.1
OG0000160	CARHR271150	XP_033141904.1, XP_009120261.2
OG0000160	CARHR104060	XP_018513014.1
OG0000160	CARHR153650	XP_009128205.1
OG0000160	CARHR073860	XP_018508569.2, XP_009106729.2
OG0000160	CARHR117520	XP_009117122.1
OG0000162	CARHR162850	XP_009113251.2
OG0000162	CARHR127170	XP_009143883.1
OG0000162	CARHR102790, CARHR102800, CARHR102820, CARHR145920	XP_033129079.1
OG0000163	CARHR259710, CARHR057870, CARHR288340	XP_033139285.1, XP_033146254.1, XP_009108251.2, XP_033131804.1, XP_033131809.1
OG0000165	CARHR085710, CARHR085700, CARHR085180	XP_009127572.1
OG0000166	CARHR115420	XP_009140600.1
OG0000166	CARHR067380	XP_033131489.1, XP_033141680.1
OG0000166	CARHR019250	XP_033128105.1, XP_033128100.1
OG0000167	CARHR096970	XP_033147121.1
OG0000167	CARHR099220	XP_033131842.1
OG0000169	CARHR148260, CARHR265180, CARHR265400, CARHR149520, CARHR149530, CARHR116790, CARHR043210, CARHR041580, CARHR040020, CARHR042890, CARHR042510, CARHR043190, CARHR260050, CARHR042900, CARHR041590, CARHR042520, CARHR043200, CARHR263740, CARHR037920	XP_033132763.1
OG0000170	CARHR171350	XP_009116769.1
OG0000170	CARHR140750	XP_018514087.1
OG0000170	CARHR186310, CARHR140760	XP_009142347.1
OG0000170	CARHR140770, CARHR103320	XP_018514178.1
OG0000171	CARHR266340	XP_009119874.1
OG0000171	CARHR046700	XP_009112891.1
OG0000171	CARHR107000	XP_009121200.1
OG0000171	CARHR269520	XP_018512593.2
OG0000171	CARHR083000, CARHR082990	XP_009123804.1, XP_009146989.1, XP_009135093.1
OG0000171	CARHR235660	XP_009109116.1, XP_009144093.1
OG0000173	CARHR246590	XP_009109432.1
OG0000173	CARHR100900	XP_033128749.1, XP_033129164.1
OG0000173	CARHR146050	XP_009138208.2
OG0000174	CARHR115250	XP_009139373.1, XP_009111365.1, XP_009123003.1, XP_009130013.1
OG0000175	CARHR023910	XP_033134622.1, XP_009103171.1, XP_009127800.1
OG0000175	CARHR063650	XP_009110099.1
OG0000175	CARHR198650	XP_033137829.1
OG0000175	CARHR052550	XP_009113207.1
OG0000175	CARHR142560, CARHR172630	XP_033146739.1
OG0000177	CARHR256500, CARHR181980	XP_009149600.1
OG0000177	CARHR021660, CARHR054130, CARHR287770	XP_033132885.1
OG0000177	CARHR146970, CARHR021690, CARHR021680, CARHR116570	XP_009149598.1, XP_009149599.2
OG0000177	CARHR021670, CARHR181970	XP_009124585.1, XP_033147925.1
OG0000178	CARHR253020	XP_033136390.1
OG0000178	CARHR250370	XP_009134310.1
OG0000178	CARHR250360	XP_009134313.1
OG0000178	CARHR252970, CARHR263930	XP_009114346.2, XP_009134304.1, XP_033142043.1, XP_033142131.1, XP_033136829.1, XP_009134308.2
OG0000178	CARHR252960	XP_033141427.1, XP_009144510.1
OG0000179	CARHR053290, CARHR283710, CARHR053930	XP_033143525.1
OG0000182	CARHR167770	XP_009122203.1
OG0000183	CARHR215030, CARHR058380	XP_009105204.1
OG0000183	CARHR119300	XP_009140755.1
OG0000185	CARHR087540, CARHR087530	XP_033131216.1, XP_018508547.1
OG0000186	CARHR113370, CARHR050630	XP_009133030.1, XP_033142532.1
OG0000188	CARHR201470	XP_033136263.1, XP_033135940.1
OG0000188	CARHR078870	XP_033134665.1, XP_033135894.1, XP_009124984.2, XP_033137619.1, XP_033136539.1
OG0000189	CARHR108220	XP_009112460.1, XP_009121076.1, XP_009124572.1, XP_009115809.1, XP_009138399.1, XP_009148517.1
OG0000189	CARHR243300	XP_009107160.1
OG0000189	CARHR020570	XP_009110241.1
OG0000191	CARHR150970	XP_009114469.1, XP_009135913.1, XP_033133384.1, XP_033131339.1, XP_009110851.3, XP_033133909.1, XP_009123000.1, XP_033138772.1, XP_009114814.1, XP_018509101.1, XP_018509033.1, XP_033134390.1, XP_009138632.1, XP_009110955.2, XP_009138088.1, XP_009137132.1
OG0000192	CARHR014030	XP_033137383.1
OG0000192	CARHR049240	XP_033135368.1, XP_033143576.1, XP_033143410.1
OG0000193	CARHR036380, CARHR036970	XP_033134338.1, XP_033147866.1
OG0000193	CARHR031880, CARHR091810, CARHR031310	XP_033147857.1
OG0000195	CARHR175680	XP_033136721.1
OG0000195	CARHR273530, CARHR273550, CARHR273540	XP_009131959.1
OG0000195	CARHR273560	XP_033143217.1
OG0000196	CARHR272920	XP_033131243.1, XP_009140116.1, XP_009125379.2
OG0000196	CARHR213580, CARHR272900, CARHR287600, CARHR287570, CARHR212840, CARHR289150	XP_033141524.1
OG0000197	CARHR215070, CARHR051370, CARHR215060, CARHR215050, CARHR215370, CARHR226280, CARHR226370	XP_033133256.1
OG0000198	CARHR015480	XP_009117861.2
OG0000198	CARHR147290	XP_009137379.1
OG0000199	CARHR251110, CARHR215270	XP_009127652.1, XP_009108973.2, XP_009102300.2, XP_009108976.2
OG0000200	CARHR028490	XP_033136326.1
OG0000200	CARHR028750, CARHR037140	XP_009109613.1
OG0000200	CARHR037150	XP_009109611.1
OG0000203	CARHR168640	XP_033131129.1
OG0000203	CARHR168590, CARHR259860	XP_033136042.1, XP_009116516.1, XP_033136014.1
OG0000203	CARHR168740	XP_009138966.1, XP_009138965.1
OG0000203	CARHR168690, CARHR168710	XP_009104131.1
OG0000205	CARHR286250, CARHR105060, CARHR218440	XP_033131805.1, XP_033131844.1, XP_033128516.1, XP_033138985.1
OG0000209	CARHR014880, CARHR035940, CARHR010330	XP_033134010.1
OG0000209	CARHR202500	XP_018509924.1, XP_033135419.1
OG0000210	CARHR121990, CARHR140170	XP_009143082.1
OG0000210	CARHR170840	XP_009104263.2
OG0000210	CARHR170820	XP_033134420.1
OG0000215	CARHR284710	XP_009144753.2, XP_033143272.1, XP_018514409.1, XP_033139809.1, XP_033144986.1, XP_033139775.1, XP_033142243.1
OG0000216	CARHR253870	XP_033134839.1, XP_009144491.1
OG0000216	CARHR253840	XP_033142073.1, XP_033142074.1
OG0000216	CARHR054340	XP_009102525.1
OG0000216	CARHR166590	XP_009116349.1
OG0000216	CARHR216300	XP_033134160.1, XP_033141123.1, XP_033142084.1, XP_009135947.1
OG0000219	CARHR065380	XP_033144576.1, XP_009145945.1
OG0000225	CARHR072270, CARHR141370	XP_009106592.3
OG0000227	CARHR105520	XP_009136266.2, XP_033138822.1
OG0000229	CARHR062190	XP_009151331.2, XP_033145123.1, XP_033134005.1, XP_033141396.1
OG0000229	CARHR004570	XP_009124766.1, XP_033129354.1, XP_033137486.1, XP_009108848.1, XP_009113706.2, XP_033128874.1
OG0000230	CARHR169340	XP_009104177.1, XP_033130624.1
OG0000230	CARHR051200	XP_009116566.1
OG0000233	CARHR205610	XP_009122326.1
OG0000233	CARHR205600, CARHR205590, CARHR205580	XP_018511882.1, XP_009125692.3, XP_033144506.1, NP_001288906.1
