Raphanus_sativus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_018432540.1	349	AT3G56470.1	AT3G56470.1	orthologue	GO:0005634;GO:0003674;;GO:0005515	F-box protein At3g56470
XP_018432541.1	293	AT3G56560.1, AT5G39540.1, AT3G55210.1, AT3G56530.1	AT3G56530.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0003700;GO:0006355;GO:0003677;GO:0016020	F-box associated ubiquitination effector family protein;NAC domain containing protein 63 (NAM (No apical meristem)-like protein);NAC domain containing protein 64 (NAM-like protein);NAC domain containing protein 65
XP_018432542.1	259	AT3G56510.1	AT3G56510.1	orthologue	GO:0000472;GO:0034462;GO:0000480;GO:0005634;GO:0003723;GO:0005515;GO:0005730;GO:0003676;GO:0000447	At3g56510 (RNA-binding (RRM/RBD/RNP motifs) family protein)
XP_018432543.1	146	AT3G56490.1	AT3G56490.1	orthologue	GO:0005576;GO:0009150;GO:0005777;GO:0005737;GO:0047627;GO:0006790;GO:0005886;GO:0099503;GO:0005829;GO:0000166;GO:0009507;GO:0003824	Adenylylsulfatase HINT1 (EC 3.6.2.1) (HIS triad family protein 3) (Histidine triad nucleotide-binding protein 1)
XP_018432545.1	548	AT3G08670.1	AT3G08670.1	orthologue	GO:0055028;GO:0043622;GO:0005634;GO:0006979;GO:0003674	At3g08670 (Serine/arginine repetitive matrix-like protein)
XP_018432546.1	548	AT3G08670.1	AT3G08670.1	orthologue	GO:0055028;GO:0043622;GO:0005634;GO:0006979;GO:0003674	At3g08670 (Serine/arginine repetitive matrix-like protein)
XP_018432547.1	643	AT3G60850.1	AT3G60850.1	orthologue	GO:0005634;GO:0003674	At3g60850
XP_018432548.1	1040	AT3G09040.2	AT3G09040.2	orthologue	GO:0009451;GO:0003723;GO:0005739;GO:0043231;GO:0005515	Pentatricopeptide repeat (PPR) superfamily protein;Pentatricopeptide repeat-containing protein At3g09040, mitochondrial
XP_018432549.1	772	AT1G15690.1	AT1G15690.1	orthologue	GO:0000325;GO:0004427;GO:0009705;GO:0009414;GO:0005794;GO:0005985;GO:0052546;GO:0009507;GO:0005886;GO:0005773;GO:0010008;GO:0009941;GO:0009926;GO:0009678;GO:0005739;GO:2000904;GO:0005774;GO:0009651;GO:0048366;GO:1902600;GO:0010248;GO:0005576;GO:0003729;GO:0046872;GO:0012505;GO:0016020	H(+)-exporting diphosphatase (EC 7.1.3.1);Pyrophosphate-energized vacuolar membrane proton pump 1 (EC 7.1.3.1) (Pyrophosphate-energized inorganic pyrophosphatase 1) (H(+)-PPase 1) (Vacuolar proton pyrophosphatase 1) (Vacuolar proton pyrophosphatase 3)
XP_018432552.1	511	AT2G27000.1, AT2G27010.1, AT3G20950.1, AT3G20940.1, AT4G15350.1, AT5G47990.1, AT4G15380.1, AT3G20080.1, AT2G14100.1, AT3G32047.1, AT3G20140.1, AT3G20120.4, AT3G20110.1, AT4G15330.1, AT5G42580.1, AT3G20960.2, AT3G20090.2, AT4G15360.1, AT2G05180.1, AT3G20130.1, AT3G20100.1	AT3G20950.1	other	GO:0004497;GO:0008150;GO:0005506;GO:0020037;GO:0016709;GO:0016020;GO:0016705;GO:0009507;GO:0005576;GO:0009506;GO:0005739;GO:0009630;GO:0009958;GO:0012505;GO:0005783;GO:0048364;GO:0051554;GO:0080003;GO:0080004;GO:0050832;GO:0046246	AT3g20100/MAL21_14 (Cytochrome P450, family 705, subfamily A, polypeptide 19) (Cytochrome P450-like protein);At3g20960 (Cytochrome P450, family 705, subfamily A, polypeptide 33) (Putative cytochrome P450);Cytochrome P450 705A1 (EC 1.14.-.-);Cytochrome P450 705A12 (EC 1.14.-.-);Cytochrome P450 705A20 (EC 1.14.-.-);Cytochrome P450 705A22 (EC 1.14.-.-) (Protein GRAVITY PERSISTENCE SIGNAL 1);Cytochrome P450 705A5 (EC 1.14.-.-) (Thalian-diol desaturase) (AtTHAD);Cytochrome P450 family protein (Cytochrome P450, family 705, subfamily A, polypeptide 23) (Cytochrome P450-like protein);Cytochrome P450 like protein (Cytochrome P450, family 705, subfamily A, polypeptide 2) (Putative cytochrome P450 protein);Cytochrome P450 like protein (Cytochrome P450, family 705, subfamily A, polypeptide 3);Cytochrome P450 superfamily protein;Cytochrome P450, family 705, subfamily A, polypeptide 1;Cytochrome P450, family 705, subfamily A, polypeptide 13 (Putative cytochrome P450);Cytochrome P450, family 705, subfamily A, polypeptide 15;Cytochrome P450, family 705, subfamily A, polypeptide 15 (Cytochrome P450-like protein);Cytochrome P450, family 705, subfamily A, polypeptide 18;Cytochrome P450, family 705, subfamily A, polypeptide 18 (Cytochrome P450-like protein);Cytochrome P450, family 705, subfamily A, polypeptide 21;Cytochrome P450, family 705, subfamily A, polypeptide 21 (Cytochrome P450-like protein);Cytochrome P450, family 705, subfamily A, polypeptide 22;Cytochrome P450, family 705, subfamily A, polypeptide 30 (Cytochrome P450-like protein) (Putative cytochrome P450);Cytochrome P450, family 705, subfamily A, polypeptide 32 (Cytochrome P450-like protein);Cytochrome P450, family 705, subfamily A, polypeptide 33 (Cytochrome P450-like protein);Cytochrome P450, family 705, subfamily A, polypeptide 4 (Putative cytochrome P450);Cytochrome P450, family 705, subfamily A, polypeptide 6 (Putative cytochrome P450);Cytochrome P450, family 705, subfamily A, polypeptide 8 (Putative cytochrome P450);Cytochrome P450, family 705, subfamily A, polypeptide 9 (Putative cytochrome P450)
XP_018432553.1	505	AT3G54950.1	AT3G54950.1	orthologue	GO:0006644;GO:0047617;GO:0051707;GO:0019374;GO:0004620;GO:0005886;GO:0016042;GO:0006629	Patatin-like protein 7 (AtPLP7) (EC 3.1.1.-) (Patatin-related phospholipase A IIIbeta) (pPLAIIIb) (Phospholipase A IIIA) (AtPLAIIIA)
XP_018432554.1	156	AT1G26660.2	AT1G26660.2	other	GO:0005737;GO:0045944;GO:0003712;GO:0016592;GO:0000785;GO:0006457;GO:0009409	Prefoldin chaperone subunit family protein
XP_018432556.1	664	AT3G55340.1	AT3G55340.1	orthologue	GO:0000914;GO:0005515;GO:0009524;GO:0003729;GO:0009920;GO:0008270;GO:0003723;GO:0005634;GO:0005856;GO:0005886;GO:0019898;GO:0003676	Phragmoplastin interacting protein 1
XP_018432557.1	426	AT1G53750.1	AT1G53750.1	orthologue	GO:0036402;GO:0008540;GO:0000502;GO:0043161;GO:0005634;GO:0016887;GO:0006511;GO:0005524;GO:0005737	26S proteasome regulatory subunit 7 homolog A (26S proteasome AAA-ATPase subunit RPT1a) (26S proteasome subunit 7 homolog A) (Regulatory particle triple-A ATPase subunit 1a)
XP_018432559.1	1016	AT3G12280.1	AT3G12280.1	orthologue	GO:0006357;GO:0005515;GO:0009555;GO:1903866;GO:0000082;GO:0001708;GO:0048366;GO:0007129;GO:0005667;GO:0001558;GO:0010377;GO:0008134;GO:0000977;GO:0032875;GO:0005634;GO:2000134;GO:0016480;GO:0009960;GO:0009553;GO:0010090;GO:0051726;GO:0003677;GO:0030154;GO:0022619;GO:0051783;GO:0008356;GO:2000036;GO:0070176;GO:0048229;GO:0000785;GO:0009567	Retinoblastoma-related 1;Retinoblastoma-related protein 1 (AtRBR) (AtRBR1)
XP_018432561.1	1161	AT3G19960.2	AT3G19960.2	orthologue	GO:0051015;GO:0005768;GO:0010082;GO:0003774;GO:0030048;GO:0005737;GO:0007015;GO:0005886;GO:0016020;GO:0009504;GO:0009506;GO:0000146;GO:0009524;GO:0015629;GO:0005783;GO:0003779;GO:0005516;GO:0005524;GO:0006897;GO:0016459;GO:0005515	Myosin 1;Myosin-1 (AtATM1)
XP_018432563.1	457	AT1G15730.1	AT1G15730.1	orthologue	GO:0120127;GO:0009507;GO:0009570;GO:0003674;GO:0005737;GO:0016787	At1g15730/F7H2_7 (Cobalamin biosynthesis CobW-like protein) (F7H2.7 protein) (Putative PRLI-interacting factor L)
XP_018432564.1	461	AT3G48760.1	AT3G48760.1	orthologue	GO:0005794;GO:0019706;GO:0005783;GO:0006612;GO:0005634;GO:0005886;GO:0016409;GO:0018230	Probable protein S-acyltransferase 5 (EC 2.3.1.225) (Probable palmitoyltransferase At3g48760) (Zinc finger DHHC domain-containing protein At3g48760)
XP_018432565.1	703	AT1G02660.1	AT1G02660.1	orthologue	GO:0009507;GO:0002213;GO:0031349;GO:0047714;GO:0008970;GO:0005576;GO:0009628;GO:0052739;GO:0009570;GO:0016042;GO:0031969;GO:0006629	Phospholipase A1 PLIP2, chloroplastic (EC 3.1.1.32) (Galactolipase PLIP2) (EC 3.1.1.26) (Protein PLASTID LIPASE 2)
XP_018432566.1	465					
XP_018432568.1	527	AT3G52990.1	AT3G52990.1	orthologue	GO:0006096;GO:0000287;GO:0005737;GO:0003729;GO:0030955;GO:0009507;GO:0004743;GO:0005829;GO:0005524;GO:0016301;GO:0003824	Pyruvate kinase (EC 2.7.1.40)
XP_018432569.1	897	AT3G20440.2	AT3G20440.2	orthologue	GO:0009507;GO:0019252;GO:0009793;GO:0005978;GO:0005737;GO:0003844;GO:0005975;GO:0009791;GO:0043169;GO:0009536;GO:0009501;GO:0009570;GO:0003824	1,4-alpha-glucan-branching enzyme 3, chloroplastic/amyloplastic (AtSBE III) (EC 2.4.1.18) (Branching enzyme 1) (AtBE1) (Protein EMBRYO DEFECTIVE 2729) (Starch-branching enzyme 3)
XP_018432570.1	267	AT3G20430.1	AT3G20430.1	orthologue	GO:0006408;GO:0005634;GO:0003674;GO:0003723;GO:0005737;GO:0015031	Phosphorylated adapter RNA export protein (RNA U small nuclear RNA export adapter protein)
XP_018432571.1	754	AT1G12380.1	AT1G12380.1	orthologue	GO:0003674;GO:0005634	Uncharacterized protein
XP_018432572.1	740	AT1G03090.2	AT1G03090.2	orthologue	GO:0005739;GO:0022626;GO:0006552;GO:0005576;GO:0050897;GO:0004485;GO:0005524;GO:0005759;GO:0046872	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)
XP_018432575.1	1702	AT1G28420.1	AT1G28420.1	orthologue	GO:0006357;GO:0045892;GO:0010228;GO:0048510;GO:0031010;GO:0003700;GO:0005515;GO:0005634;GO:0003677;GO:0009908;GO:0006355	Homeobox-DDT domain protein RLT1 (Protein HOMEOBOX-1) (Protein RINGLET 1)
XP_018432576.1	464	AT2G05940.1	AT2G05940.1	orthologue	GO:0005739;GO:0004674;GO:0005515;GO:0042742;GO:0005886;GO:0006468;GO:0005524;GO:0106310;GO:0004672	Serine/threonine-protein kinase RIPK (EC 2.7.11.1) (ACIK1A/PBL14) (ACRE protein ortholog 264A) (AtACRE264a) (PBS1-like protein 14) (RPM1-induced protein kinase)
XP_018432577.1	413	AT3G59530.1	AT3G59530.1	orthologue	GO:0010584;GO:0005739;GO:0009555;GO:0009058;GO:0016787;GO:0005773;GO:0012505	Protein STRICTOSIDINE SYNTHASE-LIKE 13 (AtSSL13) (Protein LESS ADHERENT POLLEN 3) (Strictosidine synthase 11) (AtSS11)
XP_018432578.1	483	AT3G12780.1	AT3G12780.1	orthologue	GO:0005634;GO:0019375;GO:0019253;GO:0009507;GO:0009941;GO:0006096;GO:0010319;GO:0004672;GO:0009570;GO:0009409;GO:0006094;GO:0005524;GO:0004618;GO:0043531;GO:0003729;GO:0005739;GO:0005737;GO:0018119;GO:0010027;GO:0005829;GO:0009579;GO:0005515;GO:0009505;GO:0048046;GO:0016020;GO:0046872	Phosphoglycerate kinase 1, chloroplastic (EC 2.7.2.3)
XP_018432580.1	392	AT3G12775.1	AT3G12775.1	orthologue	GO:0005634;GO:0061631;GO:0008150	Ubiquitin-conjugating enzyme family protein
XP_018432581.1	592	AT1G38131.1, AT1G38065.1	AT1G38131.1	orthologue	GO:0005634;GO:0009507;GO:0016757;GO:0006004;GO:0016020	O-fucosyltransferase 10 (O-FucT-10) (EC 2.4.1.-) (O-fucosyltransferase family protein);O-fucosyltransferase 11 (O-FucT-11) (EC 2.4.1.-) (O-fucosyltransferase family protein)
XP_018432582.1	669	AT3G62200.1	AT3G62200.1	orthologue	GO:0005777;GO:0010468;GO:0003729;GO:0004540;GO:0005634;GO:0004519;GO:0016787	Endonuclease or glycosyl hydrolase
XP_018432584.1	436	AT2G13840.1	AT2G13840.1	orthologue	GO:0004534;GO:0008150;GO:0005737;GO:0035312;GO:0003824	Expressed protein (Polymerase/histidinol phosphatase-like protein)
XP_018432585.1	123	AT2G14045.1	AT2G14045.1	orthologue	GO:0005634;GO:0006355;GO:0003713	At2g14045 (Putative c-myc binding protein) (c-Myc-binding protein);c-Myc-binding protein
XP_018432586.1	827	AT1G11330.2	AT1G11330.2	other	GO:0004674;GO:0006468;GO:0007165;GO:0004672;GO:0005886;GO:0005516;GO:0005576;GO:0006955;GO:0048544;GO:0002229;GO:0005524;GO:0030246;GO:0106310	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330 (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
XP_018432587.1	834	AT1G11330.2	AT1G11330.2	other	GO:0004674;GO:0006468;GO:0007165;GO:0004672;GO:0005886;GO:0005516;GO:0005576;GO:0006955;GO:0048544;GO:0002229;GO:0005524;GO:0030246;GO:0106310	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330 (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
XP_018432588.1	446	AT1G51760.1	AT1G51760.1	orthologue	GO:0005783;GO:0010179;GO:0009850;GO:0009611;GO:0009507;GO:0005634;GO:0005788;GO:0046872;GO:0016787	IAA-amino acid hydrolase ILR1-like 4 (EC 3.5.1.-) (jasmonoyl-L-amino acid hydrolase) (EC 3.5.1.127)
XP_018432589.1	422	AT3G13510.1	AT3G13510.1	orthologue	GO:0005576;GO:0003674	AT3g13510/MRP15_15 (Carboxyl-terminal peptidase, putative (DUF239))
XP_018432590.1	627	AT5G65820.1	AT5G65820.1	orthologue	GO:0005739;GO:0003729;;GO:0005515	Putative pentatricopeptide repeat-containing protein At5g65820
XP_018432591.1	262	AT5G65810.1	AT5G65810.1	orthologue	GO:0045488;GO:0045489;GO:0010394;GO:0051512;GO:0005794;GO:1905157;GO:0009965;GO:0009664;GO:0005802;GO:0005634;GO:0048639;GO:0009832;GO:0005768;GO:1903942;GO:0015976;GO:0000139;GO:0008168;GO:0032259	Probable pectin methylesterase CGR3 (EC 2.1.1.-) (Cotton Golgi-related 3)
XP_018432592.1	738	AT1G28350.1	AT1G28350.1	orthologue	GO:0005737;GO:0004831;GO:0006437;GO:0006418;GO:0004812;GO:0005524;GO:0005829;GO:0016740;GO:0000166	Tyrosine--tRNA ligase 2, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS);tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase)
XP_018432593.1	425	AT3G18240.1, AT4G21460.2	AT3G18240.1	orthologue	GO:0003735;GO:0032543;GO:0005763;GO:0005739;GO:0005829;GO:0005840	AT3g18240 (Ribosomal protein S24/S35) (Uncharacterized protein At3g18240);Ribosomal protein S24/S35
XP_018432594.1	1882	AT1G01040.2	AT1G01040.2	orthologue	GO:0035196;GO:0006364;GO:0005634;GO:0004525;GO:0035279;GO:0010228;GO:0009616;GO:0006396;GO:0030422;GO:2000034;GO:0005737;GO:0005515;GO:0010267;GO:0031053;GO:0009880;GO:0048317;GO:0010599;GO:0010098;GO:0000911;GO:0009908;GO:0010445;GO:0003677;GO:0003725;GO:0003723;GO:0004386;GO:0005524;GO:0046872;GO:0016787;GO:0016891	Endoribonuclease Dicer homolog 1 (Dicer-like protein 1);Endoribonuclease Dicer homolog 1 (EC 3.1.26.-) (Dicer-like protein 1) (AtDCL1) (Protein ABNORMAL SUSPENSOR 1) (Protein CARPEL FACTORY) (Protein SHORT INTEGUMENTS 1) (Protein SUSPENSOR 1)
XP_018432595.1	411	AT3G18240.1, AT4G21460.2	AT3G18240.1	orthologue	GO:0003735;GO:0032543;GO:0005763;GO:0005739;GO:0005829;GO:0005840	AT3g18240 (Ribosomal protein S24/S35) (Uncharacterized protein At3g18240);Ribosomal protein S24/S35
XP_018432596.1	81	AT3G18250.1	AT3G18250.1	orthologue	GO:0003674;GO:0005783;GO:0016020	Membrane lipoprotein
XP_018432597.1	444	AT1G25280.1	AT1G25280.1	orthologue	GO:0005634;GO:0006355;GO:0005886;GO:0009536;GO:0016567;GO:0005515;GO:0009507;GO:0009620;GO:0005829	Tubby-like F-box protein;Tubby-like F-box protein 10 (AtTLP10) (SKP1-interacting partner 26)
XP_018432598.1	532	AT3G10980.1	AT3G10980.1	orthologue	GO:0051762;GO:0005634;GO:0009975;GO:0016020	PLAC8 family protein
XP_018432599.1	519	AT5G48300.1	AT5G48300.1	other	GO:0005978;GO:0009536;GO:0048046;GO:0030931;GO:0009570;GO:0048573;GO:0019252;GO:0009507;GO:0008878;GO:0005524;GO:0009058	Glucose-1-phosphate adenylyltransferase small subunit, chloroplastic (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADP-glucose synthase) (AGPase B) (Alpha-D-glucose-1-phosphate adenyl transferase)
XP_018432600.1	446	AT3G04680.1	AT3G04680.1	orthologue	GO:0006388;GO:0051731;GO:0010228;GO:0009908;GO:0006397;GO:0005634;GO:0048827;GO:0005515;GO:0005849;GO:0005524;GO:0031124;GO:0006378;GO:0006396	Protein CLP1 homolog (CLP-like protein 3) (Protein CLP-SIMILAR PROTEIN 3)
XP_018432601.1	445	AT3G04680.1	AT3G04680.1	orthologue	GO:0006388;GO:0051731;GO:0010228;GO:0009908;GO:0006397;GO:0005634;GO:0048827;GO:0005515;GO:0005849;GO:0005524;GO:0031124;GO:0006378;GO:0006396	Protein CLP1 homolog (CLP-like protein 3) (Protein CLP-SIMILAR PROTEIN 3)
XP_018432602.1	390	AT1G49970.1	AT1G49970.1	orthologue	GO:0006396;GO:0006515;GO:0003723;GO:0006364;GO:0009570;GO:0009507;GO:0051117;GO:0009658;GO:0009534;GO:0009840;GO:0004176;GO:0004252;GO:0009368;GO:0005634;GO:0009532;GO:0009941;GO:0006508	ATP-dependent Clp protease proteolytic subunit-related protein 1, chloroplastic (ClpR1) (Protein SUPPRESSOR OF VARIEGATION 2) (nClpP5)
XP_018432603.1	390	AT1G49970.1	AT1G49970.1	orthologue	GO:0006396;GO:0006515;GO:0003723;GO:0006364;GO:0009570;GO:0009507;GO:0051117;GO:0009658;GO:0009534;GO:0009840;GO:0004176;GO:0004252;GO:0009368;GO:0005634;GO:0009532;GO:0009941;GO:0006508	ATP-dependent Clp protease proteolytic subunit-related protein 1, chloroplastic (ClpR1) (Protein SUPPRESSOR OF VARIEGATION 2) (nClpP5)
XP_018432604.1	450	AT3G19390.1	AT3G19390.1	orthologue	GO:0004197;GO:0005576;GO:0005764;GO:0005515;GO:0051603;GO:0005615;GO:0006508;GO:0008234	Probable cysteine protease RD21C (EC 3.4.22.-)
XP_018432605.1	213	AT1G01050.1	AT1G01050.1	orthologue	GO:0005737;GO:2000904;GO:0004427;GO:0005985;GO:0006796;GO:0005829;GO:0042546;GO:0005654;GO:0005634;GO:0000287;GO:0019915	Soluble inorganic pyrophosphatase 1 (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase 1) (PPase 1)
XP_018432606.1	664	AT2G04865.1	AT2G04865.1	orthologue	GO:0005634;GO:0003674;GO:0010073;GO:0008483;GO:0048507	Protein MAIN-LIKE 2
XP_018432607.1	585	AT1G53210.1	AT1G53210.1	orthologue	GO:0000325;GO:0016020;GO:0070588;GO:0055074;GO:0005509;GO:0005774;GO:0005773;GO:0009507;GO:0071472;GO:0006874;GO:0003729;GO:0015369;GO:0005432;GO:0009506;GO:0005886;GO:0055085;GO:0006812;GO:0008324	Sodium/calcium exchanger NCL (Na(+)/Ca(2+)-exchange protein NCL) (Protein NCX-like) (AtNCL)
XP_018432608.1	543	AT1G35580.1	AT1G35580.1	orthologue	GO:0005515;GO:0034214;GO:0006520;GO:0005987;GO:0016020;GO:0005829;GO:0004575;GO:0048364;GO:0004564;GO:0033926;GO:0042542;GO:0005634;GO:0005975;GO:0005739;GO:0009507	Alkaline/neutral invertase (EC 3.2.1.26);Alkaline/neutral invertase CINV1 (AtCINV1) (EC 3.2.1.26) (Alkaline/neutral invertase G) (A/N-INVG) (Cytosolic invertase 1) (AtCYT-INV1)
XP_018432609.1	709	AT3G61570.1	AT3G61570.1	orthologue	GO:0031267;GO:0006888;GO:0005576;GO:0007030;GO:0005794;GO:0005515;GO:0005768	GRIP-related ARF-binding domain-containing protein 1;Golgin candidate 3 (AtGC3) (GRIP-related ARF-binding domain-containing Arabidopsis protein 1)
XP_018432610.1	455	AT3G05900.1	AT3G05900.1	orthologue	GO:0005737;GO:0003674;GO:0005829	Neurofilament protein-like protein
XP_018432611.1	416	AT3G05910.1	AT3G05910.1	orthologue	GO:0009505;GO:0005576;GO:0071555;GO:0052793;GO:0016787	Pectin acetylesterase (EC 3.1.1.-);Pectin acetylesterase 12 (EC 3.1.1.-)
XP_018432612.1	431	AT1G04680.1	AT1G04680.1	orthologue	GO:0016829;GO:0045490;GO:0005576;GO:0030570;GO:0046872	Probable pectate lyase 1 (EC 4.2.2.2) (Pectate lyase A1)
XP_018432613.1	556	AT5G26360.1	AT5G26360.1	other	GO:0016887;GO:0006457;GO:0009507;GO:0051082;GO:0005832;GO:0009536;GO:0140662;GO:0005515;GO:0005524	T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma) (Chaperonin CCT3)
XP_018432614.1	1507	AT2G47800.1	AT2G47800.1	orthologue	GO:0005886;GO:0042626;GO:0008517;GO:0005773;GO:0005794;GO:0000325;GO:0009624;GO:0009611;GO:0005829;GO:0009414;GO:0008559;GO:0005774;GO:0016887;GO:0055085;GO:0016020;GO:0009507;GO:0009506;GO:0010118;GO:0005524;GO:0140359	ABC transporter C family member 4 (ABC transporter ABCC.4) (AtABCC4) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 4) (Glutathione S-conjugate-transporting ATPase 4) (Multidrug resistance-associated protein 4)
XP_018432615.1	501	AT3G14860.2	AT3G14860.2	orthologue	GO:0003674;GO:0005576;;GO:0005515	NHL domain-containing protein
XP_018432616.1	150	AT5G45570.1	AT5G45570.1	other	GO:0016929;GO:0016926;GO:0005634;GO:0005886;GO:0008234;GO:0006508	Ulp1 protease family protein
