Euclidium_syriacum	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
ESY10_g13703_DN2_SP0_c0.t1	217	AT2G17905.1, AT5G36225.1	AT5G36225.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634	Ta11-like non-LTR retrotransposon;Zinc knuckle protein
ESY10_g13711_DN3_SP3_c0.t1	140	AT3G27340.1	AT3G27340.1	orthologue	GO:0009507;GO:0003674;GO:0005739;GO:0046872	At3g27340 (Myb domain protein);Myb domain protein
ESY10_g13712_DN3_SP0_c0.t1	576	AT3G27330.1	AT3G27330.1	orthologue	GO:0070085;GO:0005737;GO:0016757;GO:0008270;GO:0016020	Zinc finger (C3HC4-type RING finger) family protein
ESY10_g13713_DN3_SP1_c0.t1	351	AT3G27330.1	AT3G27330.1	other	GO:0070085;GO:0005737;GO:0016757;GO:0008270;GO:0016020;GO:0046872;GO:0004842;GO:0005634;GO:0006302;GO:0031491;GO:0035861	Zinc finger (C3HC4-type RING finger) family protein
ESY10_g13714_DN3_SP0_c0.t1	68	AT5G40730.1	AT5G40730.1	other	GO:0016020;GO:0005886;GO:0003674;GO:0098552	Arabinogalactan protein 24 (AtAGP24) (Arabinogalactan peptide 24) (AG-peptide 24)
ESY10_g13715_DN3_SP1_c0.t1	967	AT3G27325.2	AT3G27325.2	orthologue	GO:0015031;GO:0006505;GO:0005739;GO:0005783;GO:0016788;GO:0050185;GO:0000325;GO:0005789	GPI inositol-deacylase (EC 3.1.-.-)
ESY10_g13716_DN1_SP0_c0.t1	138	AT3G27325.2	AT3G27325.2	other	GO:0015031;GO:0006505;GO:0005739;GO:0005783;GO:0016788;GO:0050185;GO:0000325;GO:0005789	GPI inositol-deacylase (EC 3.1.-.-)
ESY10_g13717_DN3_SP0_c0.t1	250	AT3G27310.1	AT3G27310.1	orthologue	GO:0032984;GO:0035265;GO:0051117;GO:0005634;GO:0005737;GO:0005515	Plant UBX domain-containing protein 1 (PUX1) (CDC48-interacting UBX-domain protein 1)
ESY10_g13718_DN3_SP0_c0.t1	290	AT1G09480.1	AT1G09480.1	other	GO:0004022;GO:0005575;GO:0016616	F14J9.14 protein (NAD(P)-binding Rossmann-fold superfamily protein);NAD(P)-binding Rossmann-fold superfamily protein
ESY10_g13719_DN1_SP0_c0.t1	61	AT3G27310.1	AT3G27310.1	other	GO:0032984;GO:0035265;GO:0051117;GO:0005634;GO:0005737	Plant UBX domain-containing protein 1 (PUX1) (CDC48-interacting UBX-domain protein 1)
ESY10_g13720_DN3_SP8_c18.t1	516	AT3G27300.4	AT3G27300.4	orthologue	GO:0009507;GO:0006006;GO:0009051;GO:0098554;GO:0004345;GO:0005737;GO:0005829;GO:0050661;GO:0016020;GO:0016614	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49);Glucose-6-phosphate 1-dehydrogenase 5, cytoplasmic (AtG6PD5) (G6PDH5) (EC 1.1.1.49)
ESY10_g13721_DN3_SP0_c0.t1	473	AT3G27290.1	AT3G27290.1	orthologue	GO:0005634;GO:0005737;GO:0003674;;GO:0005515	F-box protein At3g27290
ESY10_g13722_DN3_SP0_c0.t1	279	AT3G27280.1	AT3G27280.1	orthologue	GO:0007005;GO:0005739;GO:0000325;GO:0045271;GO:0005886;GO:0005829;GO:0009536;GO:0003674;GO:0009505;GO:0005743;GO:0016020	Prohibitin-4, mitochondrial (Atphb4)
ESY10_g13723_DN3_SP0_c0.t1	249	AT3G27270.2	AT3G27270.2	orthologue	GO:0003674;GO:0005576;GO:0016020	At3g27270 (TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein);TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein
ESY10_g13724_DN3_SP1_c0.t1	717	AT3G27260.3	AT3G27260.3	orthologue	GO:0005634;GO:0003674;GO:0009507;GO:0005515	Global transcription factor group E8;Transcription factor GTE8 (Bromodomain-containing protein GTE8) (Protein GLOBAL TRANSCRIPTION FACTOR GROUP E8)
ESY10_g13727_DN2_SP0_c0.t1	56	AT3G09820.1	AT3G09820.1	other	GO:0006144;GO:0005829;GO:0006169;GO:0005634;GO:0005576;GO:0005886;GO:0004001;GO:0005507;GO:0048046;GO:0080094;GO:0005737;GO:0009506;GO:0044209;GO:0005524	Adenosine kinase 1 (AK 1) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase 1)
ESY10_g13728_DN3_SP0_c0.t1	275	AT3G27250.1	AT3G27250.1	orthologue	GO:0005634;GO:2000143;GO:0003674	At3g27250
ESY10_g13737_DN2_SP0_c0.t1	173					
ESY10_g13738_DN3_SP7_c0.t1	307	AT3G27240.1	AT3G27240.1	orthologue	GO:0000325;GO:0020037;GO:0005739;GO:0005773;GO:0006122;GO:0045275;GO:0009055;GO:0005829;GO:0005743;GO:0046872;GO:0005750	Cytochrome c1 1, heme protein, mitochondrial (Complex III subunit 4-1) (Complex III subunit IV-1) (Cytochrome b-c1 complex subunit 4-1) (Ubiquinol-cytochrome c reductase complex cytochrome c1 subunit 1) (Cytochrome c-1 1)
ESY10_g13739_DN3_SP0_c0.t1	410	AT3G27230.1	AT3G27230.1	orthologue	GO:0005794;GO:0005802;GO:0000138;GO:0005768;GO:0008150;GO:0008168;GO:0016020;GO:0032259	At3g27230 (S-adenosyl-L-methionine-dependent methyltransferases superfamily protein)
ESY10_g13740_DN3_SP6_c0.t1	428	AT3G27220.1	AT3G27220.1	orthologue	GO:0005794;GO:0005802;GO:0005737;GO:0005797;GO:0071456;GO:0009061;GO:0003674;GO:0005768;GO:0016020;GO:0005515	Kelch repeat-containing protein At3g27220
ESY10_g13742_DN2_SP0_c0.t1	116					
ESY10_g13748_DN1_SP0_c0.t1	78	AT1G17745.2	AT1G17745.2	other	GO:0009570;GO:0009507;GO:0004617;GO:0005634;GO:0006564;GO:0051287;GO:0005515;GO:0016616	D-3-phosphoglycerate dehydrogenase 2, chloroplastic (PGDH) (EC 1.1.1.95)
ESY10_g13757_DN3_SP0_c0.t1	264	AT3G27210.1	AT3G27210.1	orthologue	GO:0003674;GO:0005634	Uncharacterized protein At3g27210
ESY10_g13758_DN3_SP3_c0.t1	174	AT3G27200.1	AT3G27200.1	orthologue	GO:0016020;GO:0005576;GO:0005886;GO:0009055;GO:0098552	At3g27200 (Blue copper protein, putative) (Cupredoxin superfamily protein)
ESY10_g13759_DN3_SP8_c0.t1	483	AT3G27190.1	AT3G27190.1	orthologue	GO:0004849;GO:0044206;GO:0006207;GO:2001006;GO:0044211;GO:0009507;GO:0005737;GO:1901141;GO:2000904;GO:0005524;GO:0005525;GO:0016757;GO:0043771;GO:0016301	Uridine/cytidine kinase UKL1, chloroplastic (EC 2.7.1.48) (Uridine kinase-like protein 2) (Uridine/cytidine kinase 2)
ESY10_g13761_DN3_SP8_c0.t1	521	AT3G27180.1	AT3G27180.1	orthologue	GO:0006396;GO:0008173;GO:0009507;GO:0032259	At3g27180 (S-adenosyl-L-methionine-dependent methyltransferases superfamily protein)
ESY10_g13762_DN3_SP8_c0.t1	772	AT3G27170.1	AT3G27170.1	orthologue	GO:0005253;GO:0009705;GO:0009671;GO:0005622;GO:0005634;GO:0043231;GO:0005515;GO:0005247;GO:0034707;GO:0006821;GO:0015108;GO:0016020;GO:0055085	Chloride channel protein CLC-b (AtCLC-b) (CBS domain-containing protein CBSCLC7)
ESY10_g13763_DN3_SP7_c0.t1	181	AT3G27160.2	AT3G27160.2	orthologue	GO:0009507;GO:0009534;GO:0003735;GO:0009570;GO:0006412;GO:0003729;GO:0005829;GO:0005840;GO:1990904	Ribosomal protein S21 family protein
ESY10_g13767_DN3_SP0_c0.t1	408	AT3G27150.1	AT3G27150.1	orthologue	GO:1901698;GO:0005634;GO:0005829;GO:0003674;GO:0005515	F-box/kelch-repeat protein At3g27150
ESY10_g13768_DN3_SP4_c0.t1	650	AT3G27120.1	AT3G27120.1	orthologue	GO:0045128;GO:0016887;GO:0005515;GO:0005634;GO:0005524;GO:0006281;GO:0006310	ATPase family AAA domain-containing protein FIGL1 (AAA-ATPase FIDGETIN-LIKE 1) (EC 3.6.4.-)
ESY10_g13769_DN3_SP8_c0.t1	342	AT3G27110.1	AT3G27110.1	orthologue	GO:0071586;GO:0009535;GO:1900055;GO:0005515;GO:0004222;GO:0009507;GO:0010150;GO:0005789;GO:0006508;GO:0010287;GO:0031969;GO:0046872	Peptidase family M48 family protein;Plastoglobule-localized metallopeptidase 48, chloroplastic (EC 3.4.24.-)
ESY10_g13770_DN3_SP8_c0.t1	131	AT3G27100.1	AT3G27100.1	orthologue	GO:0009941;GO:0016973;GO:0003713;GO:0005643;GO:0005654;GO:0140936;GO:0006357;GO:0005634;GO:0045893;GO:0006406;GO:0000124;GO:0071819;GO:0070461;GO:0003682;GO:0006325;GO:0006368;GO:0015031;GO:0070390;GO:0016020	Transcription and mRNA export factor ENY2 (Enhancer of yellow 2 transcription factor homolog);Transcription/mRNA export factor
ESY10_g13771_DN3_SP8_c0.t1	291	AT3G27090.1	AT3G27090.1	orthologue	GO:1904350;GO:0005575;GO:0034976;GO:0043067;GO:0003674	AT3g27090/MOJ10_18 (DCD (Development and Cell Death) domain protein)
ESY10_g13775_DN2_SP0_c0.t1	145	AT3G27080.1	AT3G27080.1	orthologue	GO:0005742;GO:0006626;GO:0015450;GO:0045040;GO:0005741;GO:0005744;GO:0005515;GO:0005743;GO:0005829;GO:0061617;GO:0005739	Mitochondrial import receptor subunit TOM20-3 (Translocase of outer membrane 20 kDa subunit 3)
ESY10_g13776_DN3_SP0_c0.t1	331	AT3G27060.1	AT3G27060.1	orthologue	GO:0006281;GO:0006260;GO:0051726;GO:0007275;GO:0005737;GO:0012501;GO:0004748;GO:0005634;GO:0009263;GO:0046872;GO:0016491	Ribonucleoside-diphosphate reductase small chain C (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase TSO2 subunit) (Ribonucleotide reductase small subunit C)
ESY10_g13777_DN3_SP7_c0.t1	181	AT3G27050.1	AT3G27050.1	orthologue	GO:0005829;GO:0003674	AT3g27050/MOJ10_14 (Plant/protein)
ESY10_g13778_DN2_SP0_c0.t1	69	AT5G08391.1	AT5G08391.1	other	GO:0003674;GO:0005575;GO:0016020	Transmembrane protein, putative (DUF 3339)
ESY10_g13779_DN3_SP0_c0.t1	69	AT3G27030.1	AT3G27030.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0016020	Transmembrane protein
ESY10_g13780_DN1_SP0_c0.t1	69	AT3G27027.1	AT3G27027.1	orthologue	GO:0008150;GO:0005575;GO:0003674;GO:0016020	GPI-anchored-like protein (DUF 3339)
ESY10_g13781_DN3_SP0_c0.t1	297	AT3G27025.1	AT3G27025.1	orthologue	GO:0003674;GO:2000012;GO:0009630;GO:0005634;GO:0009507	LAZY1;Uncharacterized protein
ESY10_g13783_DN3_SP8_c11.t1	677	AT3G27020.1	AT3G27020.1	orthologue	GO:0009507;GO:0005774;GO:0035673;GO:0034755;GO:0009705;GO:0009526;GO:0000325;GO:0016020	Probable metal-nicotianamine transporter YSL6 (Protein YELLOW STRIPE LIKE 6) (AtYSL6)
ESY10_g13793_DN2_SP0_c0.t1	277					
ESY10_g13795_DN3_SP0_c0.t1	298	AT3G27010.1	AT3G27010.1	orthologue	GO:0003700;GO:0005515;GO:0009653;GO:0000976;GO:0043565;GO:1900056;GO:0005634;GO:0008361;GO:0003677;GO:0000987	Transcription factor TCP20
ESY10_g13796_DN3_SP0_c0.t1	177					
ESY10_g13797_DN1_SP0_c0.t1	93					
ESY10_g13799_DN3_SP8_c5.t1	368	AT3G27000.1	AT3G27000.1	orthologue	GO:0005885;GO:0000902;GO:0030036;GO:0034314;GO:0009825;GO:0010090;GO:0051015;GO:0007015;GO:0030029;GO:0005737;GO:0005938;GO:0003779;GO:0005524	Actin-related protein 2 (Protein WURM)
ESY10_g13800_DN3_SP0_c0.t1	121	AT1G43810.1	AT1G43810.1	orthologue	GO:0003674;GO:0009507;GO:0008150	Uncharacterized protein
ESY10_g13801_DN1_SP0_c0.t1	100	AT3G44760.1	AT3G44760.1	orthologue	GO:0003674;GO:0005739;GO:0008150;GO:0016020	Transmembrane protein
ESY10_g13802_DN2_SP0_c0.t1	104	AT1G43790.1	AT1G43790.1	other	GO:0009834;GO:0005634;GO:0005886;GO:2000652;GO:0009505;GO:0044568;GO:1905177;GO:0005515;GO:0005576;GO:0071555	Protein TRACHEARY ELEMENT DIFFERENTIATION-RELATED 6
ESY10_g13803_DN3_SP0_c0.t1	56	AT1G06220.1	AT1G06220.1	other	GO:0005515;GO:0000398;GO:0045694;GO:0009505;GO:0009793;GO:0005737;GO:0071007;GO:0030623;GO:0003924;GO:0048437;GO:0016607;GO:0046540;GO:0005829;GO:0005576;GO:0005525;GO:0005681;GO:0006397;GO:0008380	110 kDa U5 small nuclear ribonucleoprotein component CLO (Protein CLOTHO) (Protein GAMETOPHYTE FACTOR 1) (Protein MATERNAL EFFECT EMBRYO ARREST 5) (Protein VAJRA-1) (SNU114 homolog)
ESY10_g13804_DN3_SP0_c0.t1	252					
ESY10_g13805_DN1_SP0_c0.t1	63	AT5G20510.1	AT5G20510.1	other	GO:0042393;GO:0000976;GO:0009651;GO:0005634;GO:0003712;GO:0009414;GO:0003677;GO:0003714;GO:0035064;GO:0006325;GO:0008270;GO:0006355	PHD finger protein ALFIN-LIKE;PHD finger protein ALFIN-LIKE 5 (Protein AL5)
ESY10_g13806_DN2_SP0_c0.t1	140					
ESY10_g13807_DN3_SP0_c0.t1	134	AT3G26960.1	AT3G26960.1	orthologue	GO:0003674;GO:0005576	Pollen Ole e 1 allergen and extensin family protein
ESY10_g13808_DN3_SP7_c0.t1	137	AT3G26980.1	AT3G26980.1	orthologue	GO:0008150;GO:0003674;GO:0005886;GO:0005515	Membrane-anchored ubiquitin-fold protein 4 (AtMUB4) (Membrane-anchored ub-fold protein 4)
ESY10_g13809_DN3_SP0_c0.t1	485	AT3G26990.1	AT3G26990.1	orthologue	GO:0031124;GO:0005634;GO:0000993	At3g26990 (ENTH/VHS family protein)
ESY10_g13810_DN3_SP7_c0.t1	552	AT3G26950.1	AT3G26950.1	orthologue	GO:0003674;GO:0005739;GO:0016020	At3g26950 (Transmembrane protein)
ESY10_g13811_DN2_SP0_c0.t1	95					
ESY10_g13813_DN3_SP8_c0.t1	439	AT3G26935.1	AT3G26935.1	orthologue	GO:0019706;GO:0005829;GO:0005794;GO:0006612;GO:0005783;GO:0005886;GO:0016409;GO:0018230	Probable protein S-acyltransferase 7 (EC 2.3.1.225) (Probable palmitoyltransferase At3g26935) (Zinc finger DHHC domain-containing protein At3g26935)
ESY10_g13814_DN3_SP5_c0.t1	366	AT3G26932.1	AT3G26932.1	orthologue	GO:0003725;GO:0005515;GO:0009507;GO:0005634	Double-stranded RNA-binding protein 3 (dsRNA-binding protein 3) (AtDRB3);DsRNA-binding protein 3
ESY10_g13815_DN3_SP0_c0.t1	140	AT3G26934.1	AT3G26934.1	orthologue	GO:0008150;GO:0005634;GO:0003674	Uncharacterized protein
ESY10_g13816_DN3_SP1_c0.t1	534	AT3G26910.3	AT3G26910.3	orthologue	GO:0003674;GO:0005634	AT3G26910 protein (Hydroxyproline-rich glycoprotein family protein);Hydroxyproline-rich glycoprotein family protein
ESY10_g13818_DN3_SP0_c0.t1	280	AT3G26900.1	AT3G26900.1	orthologue	GO:0009507;GO:0005829;GO:0009658;GO:0009570;GO:0010027	Probable inactive shikimate kinase like 1, chloroplastic (AtSKL1)
ESY10_g13819_DN3_SP4_c0.t1	544	AT3G26890.1	AT3G26890.1	orthologue	GO:0009507;GO:0008150;GO:0003674	AT3G26890 protein (Meiosis chromosome segregation family protein)
ESY10_g13820_DN3_SP0_c25.t1	670	AT3G26840.1, AT3G26820.1	AT3G26840.1	orthologue	GO:0010866;GO:0090693;GO:0010287;GO:0009507;GO:0006995;GO:0033306;GO:0019432;GO:1904963;GO:0004144;GO:0005515;GO:0016020;GO:0003674;GO:0008374	Esterase/lipase/thioesterase family protein;Phytyl ester synthase 2, chloroplastic (EC 2.3.1.-)
ESY10_g13827_DN3_SP0_c0.t1	673	AT5G32613.1	AT5G32613.1	other	GO:0005634;GO:0008150;GO:0003676;GO:0008270	Zinc knuckle (CCHC-type) family protein
ESY10_g13833_DN3_SP0_c0.t1	435	AT3G26618.1	AT3G26618.1	orthologue	GO:0002184;GO:0005737;GO:1990825;GO:0018444;GO:0005829;GO:0006415;GO:0016149;GO:0003747	Eukaryotic peptide chain release factor subunit 1-3 (Eukaryotic release factor 1-3) (eRF1-3) (Omnipotent suppressor protein 1 homolog 3) (SUP1 homolog 3)
ESY10_g13834_DN3_SP1_c0.t1	118	AT3G26620.1, AT3G26660.1	AT3G26660.1	orthologue	GO:0005515;GO:0001216;GO:0005634;GO:0008150	LOB domain-containing protein 23 (ASYMMETRIC LEAVES 2-like protein 14) (AS2-like protein 14);LOB domain-containing protein 24 (ASYMMETRIC LEAVES 2-like protein 13) (AS2-like protein 13)
ESY10_g13835_DN2_SP0_c0.t1	451	AT3G26630.1	AT3G26630.1	orthologue	GO:0009451;GO:0043231;GO:0009507;GO:0003723;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At3g26630, chloroplastic
ESY10_g13836_DN3_SP0_c0.t1	346	AT3G26640.1	AT3G26640.1	orthologue	GO:0003674;GO:0043153;GO:0005737;GO:0048573;GO:0005634;GO:0048511;GO:0005515	WD repeat-containing protein LWD2 (Protein ANTHOCYANIN 11-B) (AtAN11-B) (Protein LIGHT-REGULATED WD2) (WD repeat-containing protein AN11-B)
ESY10_g13837_DN3_SP8_c0.t1	398	AT3G26650.1	AT3G26650.1	orthologue	GO:0048046;GO:0004365;GO:0009507;GO:0009535;GO:0009570;GO:0009416;GO:0047100;GO:0009409;GO:0006006;GO:0019253;GO:1901149;GO:0018119;GO:0005829;GO:0009941;GO:0010319;GO:0005515;GO:0009744;GO:0051287;GO:0003729;GO:0031969;GO:0042802;GO:0042803;GO:0050661;GO:0051289;GO:0097718;GO:0099080;GO:0016620	Glyceraldehyde-3-phosphate dehydrogenase GAPA1, chloroplastic (EC 1.2.1.13) (NADP-dependent glyceraldehydephosphate dehydrogenase A subunit 1)
ESY10_g13838_DN3_SP8_c0.t1	443	AT3G26670.1	AT3G26670.1	orthologue	GO:0008150;GO:0009507;GO:0015095;GO:0005769;GO:0005886;GO:0015693;GO:0016020	Probable magnesium transporter NIPA8
ESY10_g13839_DN3_SP5_c0.t1	481	AT3G26680.1	AT3G26680.1	orthologue	GO:0006303;GO:0003684;GO:0036297;GO:0035312;GO:0005634;GO:0006281	DNA cross-link repair protein SNM1 (AtSNM1);DNA repair metallo-beta-lactamase family protein
ESY10_g13840_DN3_SP3_c0.t1	207	AT3G26690.1	AT3G26690.1	orthologue	GO:0016787;GO:0005737;GO:0034432;GO:0005739;GO:0005634;GO:0046872;GO:0016462	Nudix hydrolase 13, mitochondrial (AtNUDT13) (EC 3.6.1.-)
ESY10_g13841_DN3_SP8_c0.t1	381	AT3G26700.1	AT3G26700.1	orthologue	GO:0006468;GO:0005576;GO:0003674;GO:0004674;GO:0005524;GO:0005886;GO:0004672	non-specific serine/threonine protein kinase (EC 2.7.11.1)
ESY10_g13842_DN3_SP4_c0.t1	266	AT3G26710.1	AT3G26710.1	orthologue	GO:0009507;GO:0003674;GO:0005829;GO:0010190;GO:0009535	Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB1, chloroplastic
ESY10_g13843_DN1_SP0_c0.t1	59					
ESY10_g13844_DN3_SP8_c0.t1	1024	AT3G26720.1	AT3G26720.1	orthologue	GO:0099503;GO:0006013;GO:0009507;GO:0030246;GO:0005576;GO:0004559;GO:0005773;GO:0000325;GO:0046872;GO:0005975;GO:0003824	Alpha-mannosidase (EC 3.2.1.-);Alpha-mannosidase At3g26720 (EC 3.2.1.24)
ESY10_g13847_DN1_SP0_c0.t1	62					
ESY10_g13857_DN2_SP0_c0.t1	59					
ESY10_g13858_DN2_SP0_c0.t1	502	AT4G28700.1	AT4G28700.1	orthologue	GO:0008519;GO:0005886;GO:0009506;GO:0072488;GO:0005576;GO:0097272;GO:0016020	Ammonium transporter 1 member 4 (AtAMT1;4)
ESY10_g13859_DN3_SP0_c0.t1	763	AT3G26730.1	AT3G26730.1	orthologue	GO:0045944;GO:0009507;GO:0000976;GO:0005737;GO:0008270;GO:0016020;GO:0046872	Putative RING zinc finger protein (RING/U-box superfamily protein);RING/U-box superfamily protein
ESY10_g13860_DN2_SP0_c0.t1	136	AT3G26740.1	AT3G26740.1	orthologue	GO:0009507;GO:0098807;GO:0005829;GO:0003674;GO:0007623;GO:0009570;GO:0009941	Light-regulated protein 1, chloroplastic (Protein CCR-LIKE, chloroplastic)
ESY10_g13861_DN3_SP8_c0.t1	500	AT3G26744.1	AT3G26744.1	orthologue	GO:0045892;GO:0048317;GO:0010162;GO:0003700;GO:0010440;GO:0005634;GO:0050826;GO:0000976;GO:0009738;GO:0010115;GO:0009960;GO:0009409;GO:0005515;GO:0006355;GO:0046983;GO:0045893;GO:0001046;GO:0000987;GO:0016567;GO:0003677;GO:0043565;GO:0080090	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor ICE1 (Basic helix-loop-helix protein 116) (AtbHLH116) (bHLH 116) (Inducer of CBF expression 1) (Transcription factor EN 45) (Transcription factor SCREAM) (bHLH transcription factor bHLH116)
ESY10_g13862_DN3_SP0_c0.t1	509	AT3G26750.1	AT3G26750.1	orthologue	GO:0006513;GO:0000209;GO:0031624;GO:0005634;GO:0000151;GO:0043161;GO:0051865;GO:0005829;GO:0030332;GO:0061630	HECT-like ubiquitin-conjugating enzyme (E2)-binding protein
ESY10_g13863_DN3_SP7_c0.t1	300	AT3G26760.1	AT3G26760.1	orthologue	GO:0008270;GO:0005739;GO:0016491	Alcohol dehydrogenase-like protein (NAD(P)-binding Rossmann-fold superfamily protein) (Putative short chain alcohol dehydrogenase)
ESY10_g13865_DN3_SP2_c0.t1	295	AT3G26770.1	AT3G26770.1	orthologue	GO:0005575;GO:0003674;GO:0016491	Alcohol dehydrogenase-like protein (At3g26770/MDJ14_21) (NAD(P)-binding Rossmann-fold superfamily protein)
ESY10_g13869_DN3_SP2_c0.t1	396	AT3G26780.1	AT3G26780.1	orthologue	GO:0005634;GO:0009451;GO:0003674;GO:0005739	Phosphoglycerate mutase family protein
ESY10_g13877_DN3_SP4_c0.t1	313	AT3G26790.1	AT3G26790.1	orthologue	GO:0003700;GO:0009793;GO:0010373;GO:0099402;GO:0010116;GO:0009789;GO:0010262;GO:0009733;GO:0005634;GO:0045995;GO:0019900;GO:0003677;GO:0010228;GO:0008284	B3 domain-containing transcription factor FUS3 (Protein FUSCA3)
ESY10_g13880_DN2_SP0_c0.t1	70					
ESY10_g13882_DN2_SP0_c0.t1	78	AT2G17620.1	AT2G17620.1	other	GO:0005737;GO:0044772;GO:0005634;GO:0000082;GO:0005815;GO:0016538;GO:0005515;GO:0000307;GO:0051301	Cyclin-B2-1 (Cyc2a-At) (Cyclin-2a) (G2/mitotic-specific cyclin-B2-1) (CycB2;1)
ESY10_g13883_DN1_SP0_c0.t1	63					
ESY10_g13884_DN2_SP0_c0.t1	161					
ESY10_g13888_DN3_SP0_c0.t1	92					
ESY10_g13889_DN3_SP0_c0.t1	670	AT3G26840.1, AT3G26820.1	AT3G26840.1	orthologue	GO:0010866;GO:0090693;GO:0010287;GO:0009507;GO:0006995;GO:0033306;GO:0019432;GO:1904963;GO:0004144;GO:0005515;GO:0016020;GO:0003674;GO:0008374	Esterase/lipase/thioesterase family protein;Phytyl ester synthase 2, chloroplastic (EC 2.3.1.-)
ESY10_g13890_DN2_SP0_c0.t1	55					
ESY10_g13891_DN3_SP0_c0.t1	442	AT3G26610.1	AT3G26610.1	orthologue	GO:0009826;GO:0052546;GO:0045490;GO:0004650;GO:0005576;GO:0048046;GO:0060773;GO:0016829;GO:0005975	Pectin lyase-like superfamily protein (Polygalacturonase) (Putative polygalacturonase)
ESY10_g13892_DN3_SP0_c0.t1	357					
ESY10_g13893_DN3_SP0_c0.t1	257	AT2G07240.1	AT2G07240.1	other	GO:0006508;GO:0008234;GO:0005575	Cysteine-type peptidase
ESY10_g13895_DN3_SP0_c0.t1	379					
ESY10_g13896_DN3_SP0_c0.t1	613	AT3G26600.1	AT3G26600.1	orthologue	GO:0007166;GO:0009506;GO:0003674;GO:0005515	Armadillo repeat only 4;Armadillo repeat only 4 (At3g26600) (Orf 05 protein)
ESY10_g13897_DN1_SP0_c0.t1	112					
ESY10_g13898_DN3_SP5_c0.t1	500	AT5G38030.1, AT3G26590.1	AT3G26590.1	orthologue	GO:0005886;GO:0005774;GO:0009624;GO:1990961;GO:0042910;GO:0022857;GO:0015297;GO:0005773;GO:0000325;GO:0016020;GO:0055085	MATE efflux family protein;Protein DETOXIFICATION 29 (AtDTX29) (Multidrug and toxic compound extrusion protein 29) (MATE protein 29);Protein DETOXIFICATION 30 (AtDTX30) (Multidrug and toxic compound extrusion protein 30) (MATE protein 30)
