Eutrema_salsugineum	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_006389752.1	154	AT1G80100.3	AT1G80100.3	orthologue	GO:0043424;GO:0005737;GO:0000160;GO:0009736;GO:0010089;GO:0009735;GO:0005634;GO:0005739;GO:0005829;GO:0009927;GO:0016310	Histidine-containing phosphotransfer protein;Pseudo histidine-containing phosphotransfer protein 6 (Histidine-containing phosphotransfer protein 6)
XP_006389754.1	210	AT1G80120.1	AT1G80120.1	orthologue	GO:0003674;GO:0005575	Protein LURP-one-related 5
XP_006389755.1	318	AT1G80130.1	AT1G80130.1	orthologue	GO:0003674;GO:0005575;GO:0006979;GO:0005515	F18B13.21 protein (Tetratricopeptide repeat (TPR)-like superfamily protein)
XP_006389756.1	104	AT1G80133.1	AT1G80133.1	orthologue	GO:0010374;GO:0010052;GO:0005576;GO:0003674	EPIDERMAL PATTERNING FACTOR-like protein 8 (EPF-like protein 8) [Cleaved into: MEPFL8]
XP_006389758.1	147	AT1G15370.1	AT1G15370.1	other	GO:0030126;GO:0009507;GO:0006891;GO:0006890;GO:0005515;GO:0006886;GO:0000139	Coatomer subunit zeta
XP_006389759.1	336	AT1G80140.1	AT1G80140.1	orthologue	GO:0004650;GO:0005575;GO:0005975;GO:0005576;GO:0016829;GO:0071555	Pectin lyase-like superfamily protein
XP_006389761.2	397	AT1G80150.1	AT1G80150.1	orthologue	GO:0005739;GO:0008150;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At1g80150, mitochondrial;Tetratricopeptide repeat (TPR)-like superfamily protein
XP_006389762.1	168	AT1G80160.3	AT1G80160.3	orthologue	GO:0005737;GO:0003674;GO:0016829	At1g80160 (Lactoylglutathione lyase / glyoxalase I family protein);F18B13.24 protein (Lactoylglutathione lyase / glyoxalase I family protein);Lactoylglutathione lyase / glyoxalase I family protein
XP_006389764.1	446	AT1G80170.1	AT1G80170.1	orthologue	GO:0004650;GO:0005515;GO:0005576;GO:0005975;GO:0016829;GO:0071555	Pectin lyase-like superfamily protein;Probable polygalacturonase At1g80170 (PG) (EC 3.2.1.15) (Pectinase At1g80170)
XP_006389766.1	201	AT1G80190.5	AT1G80190.5	orthologue	GO:1902983;GO:0000811;GO:0005634;GO:0006270;GO:0003674;GO:0006260	At1g80190 (F18B13.27 protein) (Partner of SLD five 1);Partner of SLD five 1
XP_006389767.1	197	AT1G80200.2	AT1G80200.2	orthologue	GO:0008150;GO:0005739;GO:0003674;GO:0016020	Transmembrane protein
XP_006389769.1	406	AT1G80210.1, AT3G06820.2	AT1G80210.1	orthologue	GO:0006281;GO:0031593;GO:0004843;GO:0006302;GO:0070552;GO:0070531;GO:0005634;GO:0008237;GO:0006310;GO:0070536;GO:0006508;GO:0046872;GO:0005515;GO:0008233	At1g80210/F18B13_28 (Mov34/MPN/PAD-1 family protein);Mov34/MPN/PAD-1 family protein
XP_006389772.1	372	AT1G80240.1	AT1G80240.1	orthologue	GO:0005576;GO:0009505;GO:0030234;GO:0003674	Protein DUF642 L-GALACTONO-1,4-LACTONE-RESPONSIVE GENE 1 (DUF642 L-GalL-RESPONSIVE GENE 1)
XP_006389773.1	107	AT4G00695.3, AT1G80245.1	AT1G80245.1	orthologue	GO:0005739;GO:0003674;GO:0008150;GO:0005575	At1g80245 (Spc97 / Spc98 family of spindle pole body (SBP) component);Spc97 / Spc98 family of spindle pole body (SBP) component;Spc97/Spc98 family of spindle pole body (SBP) component
XP_006389775.1	999	AT1G20570.3	AT1G20570.3	orthologue	GO:0051225;GO:0043015;GO:0000922;GO:0016757;GO:0000930;GO:0031122;GO:0007020;GO:0051321;GO:0000278;GO:0051011;GO:0005737;GO:0005874;GO:0005815;GO:0000226	Gamma-tubulin complex component
XP_006389776.2	606	AT1G80270.1	AT1G80270.1	orthologue	GO:0009507;GO:0009941;GO:0005739;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At1g80270, mitochondrial
XP_006389777.1	649	AT1G80280.1	AT1G80280.1	orthologue	GO:0034055;GO:0005886;GO:0016787;GO:0005737;GO:0016020;GO:0003824	Alpha/beta-Hydrolases superfamily protein
XP_006389778.1	624	AT1G80300.1	AT1G80300.1	orthologue	GO:0009941;GO:0009536;GO:0005471;GO:0009507;GO:0005739;GO:0005524;GO:0031969;GO:0006862;GO:0016020	ADP,ATP carrier protein 1, chloroplastic (ADP/ATP translocase 1) (Adenine nucleotide translocase 1)
XP_006389779.1	467	AT1G80310.1	AT1G80310.1	other	GO:0009705;GO:0090414;GO:0015098;GO:0015116;GO:0000325;GO:0005739;GO:0015689	Molybdate transporter 2 (Sulfate transporter like protein 5.1)
XP_006389780.1	323	AT1G80320.1	AT1G80320.1	orthologue	GO:0005737;GO:0016706;GO:0008150	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (Putative oxidoreductase; 24302-25416)
XP_006389781.1	351	AT1G80330.1	AT1G80330.1	orthologue	GO:0016706;GO:0009686;GO:0009507;GO:0016707;GO:0046872	Gibberellin 3-beta-dioxygenase 4 (EC 1.14.11.15) (GA 3-oxidase 4) (AtGA3ox4) (Gibberellin 3 beta-hydroxylase 4)
XP_006389782.2	359	AT1G80340.1	AT1G80340.1	orthologue	GO:0009686;GO:0016707;GO:0010114;GO:0005515;GO:0009845;GO:0009639;GO:0009416;GO:0009507;GO:0046872	Gibberellin 3-beta-dioxygenase 2 (EC 1.14.11.15) (GA 3-oxidase 2) (AtGA3ox2) (Gibberellin 3 beta-hydroxylase 2) (Protein GA4 homolog)
XP_006389783.1	523	AT1G80350.1	AT1G80350.1	orthologue	GO:0090436;GO:0043622;GO:0016887;GO:0051211;GO:0008352;GO:0010091;GO:0005515;GO:0015630;GO:0003674;GO:0005575;GO:0051013;GO:0000226;GO:0008568;GO:0010154;GO:0009825;GO:0009832;GO:0005524;GO:0005737;GO:0005874;GO:0008017	Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (CAD ATPase) (Katanin-1) (AtKTN1) (Katanin-like microtubule-severing protein) (AtKSS) (Protein BOTERO 1) (Protein ECTOPIC ROOT HAIR 3) (Protein FAT ROOT) (Protein FRAGILE FIBER 2) (AtAAA1) (p60 katanin) (Atp60)
XP_006389785.1	394	AT1G80360.1	AT1G80360.1	orthologue	GO:0006520;GO:0005737;GO:0005739;GO:0009851;GO:0030170;GO:0008483;GO:0009641;GO:1901997;GO:0010366;GO:0050362;GO:0005829;GO:0004838;GO:0006555;GO:0010326;GO:0006569;GO:0009693;GO:0009698;GO:0003824;GO:0009058	Aromatic aminotransferase ISS1 (EC 2.6.1.27) (EC 2.6.1.5) (EC 2.6.1.88) (Methionine aminotransferase ISS1) (Phenylalanine aminotransferase ISS1) (Protein INDOLE SEVERE SENSITIVE 1) (Protein REVERSAL OF SAV3 PHENOTYPE 1) (Tryptophan aminotransferase ISS1) (Tyrosine aminotransferase ISS1)
XP_006389789.1	404	AT1G80400.1	AT1G80400.1	orthologue	GO:0005634;GO:0008270;GO:0016020	AT1G80400 protein (Putative RING zinc finger protein) (RING/U-box superfamily protein)
XP_006389790.1	897	AT1G80410.2	AT1G80410.2	orthologue	GO:0009793;GO:0010698;GO:0005829;GO:0009506;GO:0003674;GO:0005739;GO:0009414;GO:0005634;GO:0005737;GO:0031415;GO:0005515;GO:0017196	N-terminal acetyltransferase A complex auxiliary subunit NAA15 (AtNAA15) (Protein OMISHA);Tetratricopeptide repeat (TPR)-containing protein
XP_006389792.1	371	AT1G80420.1	AT1G80420.1	orthologue	GO:0000012;GO:0005634;GO:0006303;GO:0006284;GO:0006266;GO:0010385;GO:0003684;GO:0005515	DNA-repair protein XRCC1 (AtXRCC1) (Homolog of X-ray repair cross complementing 1)
XP_006389793.1	358	AT1G80440.1	AT1G80440.1	orthologue	GO:0005829;GO:2000762;GO:0080037;GO:0005737;GO:0019005;GO:0003674;GO:0009611;GO:0005515	F-box/kelch-repeat protein At1g80440
XP_006389794.1	178	AT1G80450.1	AT1G80450.1	orthologue	GO:0005634;GO:0003674	VQ motif-containing protein 11 (AtVQ11) (MPK3/6-targeted VQ-motif-containing protein 5)
XP_006389795.1	522	AT1G80460.1	AT1G80460.1	orthologue	GO:0006071;GO:0005829;GO:0019563;GO:0004370;GO:0005739;GO:0042742;GO:0009617;GO:0046167;GO:0002237;GO:0010188;GO:0006641;GO:0006072;GO:0005524;GO:0005975;GO:0016301;GO:0016310;GO:0016773	Glycerol kinase (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Protein GLYCEROL INSENSITIVE 1) (Protein NONHOST RESISTANCE TO P. S. PHASEOLICOLA 1);glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)
XP_006389797.1	768	AT1G15690.1	AT1G15690.1	other	GO:0000325;GO:0004427;GO:0009705;GO:0009414;GO:0005794;GO:0005985;GO:0052546;GO:0009507;GO:0005886;GO:0005773;GO:0010008;GO:0009941;GO:0009926;GO:0009678;GO:0005739;GO:2000904;GO:0005774;GO:0009651;GO:0048366;GO:1902600;GO:0010248;GO:0005576;GO:0003729;GO:0046872;GO:0012505;GO:0016020	H(+)-exporting diphosphatase (EC 7.1.3.1);Pyrophosphate-energized vacuolar membrane proton pump 1 (EC 7.1.3.1) (Pyrophosphate-energized inorganic pyrophosphatase 1) (H(+)-PPase 1) (Vacuolar proton pyrophosphatase 1) (Vacuolar proton pyrophosphatase 3)
XP_006389798.1	77	AT2G36724.1	AT2G36724.1	orthologue	GO:0005575;GO:0003674	Transmembrane protein
XP_006389799.1	587	AT4G33370.1	AT4G33370.1	orthologue	GO:0003724;GO:0003729;GO:0000398;GO:0005737;GO:0005681;GO:0003723;GO:0005524;GO:0008270;GO:0016887;GO:0003676	Putative DEAD-box ATP-dependent RNA helicase 43 (EC 3.6.4.13)
XP_006389800.1	443	AT1G80480.1	AT1G80480.1	orthologue	GO:0009507;GO:0003674;GO:0005737;GO:0009570;GO:0042644;GO:0120127;GO:0016787	At1g80480 (Plastid transcriptionally active 17)
XP_006389805.1	492	AT1G80510.1	AT1G80510.1	orthologue	GO:0005789;GO:0009737;GO:0005774;GO:0034605;GO:0005886;GO:0003333;GO:0016020;GO:0015179;GO:0015171;GO:0006865	Amino acid transporter AVT6E (AtAvt6E)
XP_006389806.1	171	AT1G80520.1	AT1G80520.1	orthologue	GO:0003674;GO:0005575	Sterile alpha motif (SAM) domain-containing protein
XP_006389807.1	563	AT1G80530.1	AT1G80530.1	orthologue	GO:0003674;GO:0016020	Major facilitator superfamily protein (Nodulin-like protein; 38383-40406) (Putative nodulin protein)
XP_006389808.1	536	AT1G80540.1	AT1G80540.1	orthologue	GO:0003674;GO:0008150;GO:0005739;GO:0016020;GO:0005886;GO:0009506	Envelope glycoprotein B
XP_006389809.1	448	AT1G80550.1	AT1G80550.1	orthologue	GO:0006397;GO:0003729;GO:0005739;GO:0005737;GO:0005515	Pentatricopeptide repeat-containing protein At1g80550, mitochondrial
XP_006389810.1	405	AT1G80560.1	AT1G80560.1	orthologue	GO:0009098;GO:0009570;GO:0042803;GO:0009553;GO:0009536;GO:0000287;GO:0005829;GO:0009507;GO:0009941;GO:0003862;GO:0009555;GO:0070403;GO:0016616;GO:0051287	3-isopropylmalate dehydrogenase 2, chloroplastic (3-IPM-DH 2) (AtIMDH2) (AtIMDH3) (IMDH 2) (EC 1.1.1.85) (Beta-IPM dehydrogenase 2) (Isopropylmalate dehydrogenase 2) (AtIMD2)
XP_006389812.1	465	AT1G80570.2	AT1G80570.2	orthologue	GO:0006511;GO:0005737;GO:0031146;GO:0019005;GO:0003674;	F-box/LRR-repeat protein 14
XP_006389813.1	258	AT1G80580.1	AT1G80580.1	orthologue	GO:0009873;GO:0006355;GO:0003700;GO:0005634;GO:0005622;GO:0003677	Ethylene-responsive transcription factor ERF084
XP_006389814.1	457	AT1G80600.1	AT1G80600.1	orthologue	GO:0006526;GO:0009507;GO:0005507;GO:0009570;GO:0030170;GO:0048364;GO:0003992;GO:0080022;GO:0005739;GO:0005515;GO:0042742;GO:0042802;GO:0006525;GO:0008483	Acetylornithine aminotransferase, chloroplastic/mitochondrial (ACOAT) (EC 2.6.1.11) (Acetylornithine transaminase) (AOTA) (Protein HOPW1-1-INTERACTING 1)
XP_006389815.1	206	AT1G80610.1	AT1G80610.1	orthologue	GO:0005739;GO:0003674	At1g80610/T21F11_6
XP_006389816.1	431	AT1G80620.1	AT1G80620.1	orthologue	GO:0003735;GO:0006412;GO:0009507;GO:0005840;GO:0009536;GO:1990904	Small ribosomal subunit protein uS15c (30S ribosomal protein S15, chloroplastic)
XP_006389817.2	580	AT1G80630.1	AT1G80630.1	orthologue	GO:0031146;GO:0005737;GO:0019005;GO:0003674	At1g80630 (RNI-like superfamily protein)
XP_006389818.1	434	AT1G80640.1	AT1G80640.1	orthologue	GO:0009507;GO:0016310;GO:0004674;GO:0016301;GO:0004672;GO:0007165;GO:0005886;GO:0005524;GO:0106310;GO:0006468	Probable receptor-like protein kinase At1g80640 (EC 2.7.11.1)
XP_006389819.1	209	AT1G80650.1	AT1G80650.1	orthologue	GO:0005634;GO:0003674;GO:0003723	RNAse THREE-like protein 1;Ribonuclease 3-like protein 1 (Ribonuclease III-like protein 1) (RNase III-like protein 1) (Ribonuclease three-like protein 1)
XP_006389820.1	953	AT1G80660.1	AT1G80660.1	orthologue	GO:0008553;GO:0005886;GO:0003729;GO:0120029;GO:1902600;GO:0051453;GO:0000325;GO:0016887;GO:0005739;GO:0005524;GO:0046872;GO:0000166;GO:0016020;GO:0005215	ATPase 9, plasma membrane-type (EC 7.1.2.1) (Proton pump 9);Plasma membrane ATPase (EC 7.1.2.1)
XP_006389821.1	348	AT1G80670.1	AT1G80670.1	orthologue	GO:0000972;GO:0005635;GO:0006405;GO:0080008;GO:0005634;GO:0005643;GO:0005515;GO:0003723;GO:0043130;GO:0015031;GO:0051028	Protein RAE1 (RNA export factor 1)
XP_006389822.1	1042	AT1G80680.1	AT1G80680.1	orthologue	GO:0006913;GO:0002758;GO:0005515;GO:0048574;GO:0009910;GO:0015288;GO:0009733;GO:0005635;GO:0031965;GO:0017056;GO:0005643;GO:0006406;GO:0005634;GO:0006952;GO:0015031;GO:0051028	Nuclear pore complex protein NUP96 (AtNUP96) (Nucleoporin 96) (Nucleoporin PRECOCIOUS) (Nucleoporin PRECOZ) (Protein MODIFIER OF SNC1 3) (Protein SUPPRESSOR OF AUXIN RESISTANCE 3)
XP_006389825.1	231	AT1G80690.2	AT1G80690.2	orthologue	GO:0101005;GO:0005737;GO:0008233;GO:0006508;GO:0016579;GO:0070646	At1g80690 (PPPDE putative thiol peptidase family protein);F23A5.4 protein (PPPDE putative thiol peptidase family protein)
XP_006389826.1	224	AT1G80700.1, AT1G80980.1	AT1G80980.1	orthologue	GO:0003674;GO:0008150;GO:0005739;GO:0016020	At1g80980 (F23A5.34) (Stress response NST1-like protein);F23A5.5 (Stress response NST1-like protein)
XP_006389828.1	239	AT1G80720.2	AT1G80720.2	orthologue	GO:0003674;GO:0005759;GO:0005739	At1g80720 (F23A5.7) (Mitochondrial glycoprotein family protein);Mitochondrial glycoprotein family protein
XP_006389829.1	230	AT1G80730.1	AT1G80730.1	orthologue	GO:0009640;GO:0003700;GO:0009788;GO:0005575;GO:0005634;GO:0008270;GO:0009738	Zinc finger protein 1 (AtZFP1)
XP_006389830.1	305	AT1G80760.1	AT1G80760.1	orthologue	GO:0005886;GO:0015250;GO:0015168;GO:0015204;GO:0080029;GO:0046713;GO:0046715;GO:0015267;GO:0016020;GO:0055085	Aquaporin NIP6-1 (NOD26-like intrinsic protein 6-1) (AtNIP6;1)
XP_006389831.1	248	AT1G80750.1	AT1G80750.1	orthologue	GO:0000463;GO:0022625;GO:0003735;GO:0005730;GO:0005737;GO:0003723	Large ribosomal subunit protein uL30z (60S ribosomal protein L7-1)
XP_006389832.1	440	AT1G80770.6	AT1G80770.6	orthologue	GO:0005525;GO:0003924;GO:0005634;GO:0005730;GO:0042273;GO:0003723;GO:0016787	GTP-binding protein, putative (P-loop containing nucleoside triphosphate hydrolases superfamily protein);P-loop containing nucleoside triphosphate hydrolases superfamily protein
XP_006389833.1	634	AT1G80790.1	AT1G80790.1	orthologue	GO:0080188;GO:0003674;GO:0005634;GO:0031047	Factor of DNA methylation 5;XH/XS domain-containing protein
XP_006389834.1	274	AT1G80780.3	AT1G80780.3	orthologue	GO:0004535;GO:0003676;GO:0000932;GO:0005634;GO:0030014;GO:0000288;GO:0030015;GO:0005515;GO:0000289;GO:0003723;GO:0005737;GO:0016740;GO:0042742;GO:0046872	Probable CCR4-associated factor 1 homolog 6 (EC 3.1.13.4);poly(A)-specific ribonuclease (EC 3.1.13.4)
XP_006389836.1	532	AT1G80830.1	AT1G80830.1	orthologue	GO:0071421;GO:0015691;GO:0005381;GO:0005384;GO:0009507;GO:0005886;GO:0015103;GO:0015086;GO:0030001;GO:0015692;GO:0034755;GO:0046873;GO:0055071;GO:0006828;GO:0070574;GO:0030003;GO:0016020	Metal transporter Nramp1 (AtNramp1)
XP_006389837.1	329	AT1G80820.1	AT1G80820.1	orthologue	GO:0042754;GO:0009699;GO:0005575;GO:0007623;GO:0016621;GO:0009809;GO:0009409;GO:0016616;GO:0006952;GO:0016491	Cinnamoyl coa reductase;Cinnamoyl-CoA reductase 2 (AtCCR2) (EC 1.2.1.44)
