Camelina_sativa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
NP_001289912.1	416	AT1G08510.1	AT1G08510.1	orthologue	GO:0006633;GO:0009507;GO:0000036;GO:0016297;GO:0009536;GO:0016790	Palmitoyl-acyl carrier protein thioesterase, chloroplastic (EC 3.1.2.-) (16:0-acyl-carrier protein thioesterase) (16:0-ACP thioesterase) (Acyl-[acyl-carrier-protein] hydrolase) (Acyl-acyl carrier protein thioesterase B1) (AtFATB1)
NP_001289914.1	636	AT1G01510.1	AT1G01510.1	orthologue	GO:2000039;GO:0045604;GO:0034063;GO:0009965;GO:0005515;GO:0005829;GO:0010091;GO:0051287;GO:0042802;GO:0010494;GO:0019900;GO:0031129;GO:0005802;GO:0042814;GO:0016616;GO:0048530;GO:0003714;GO:0009651;GO:0048826;GO:0000226;GO:0048444;GO:0042803;GO:0006970;GO:0007097;GO:0009507;GO:0010482;GO:0005874;GO:0008360	C-terminal binding protein AN (CtBP) (Protein ANGUSTIFOLIA) (Protein DETORQUEO)
NP_001289915.1	493	AT1G08430.1	AT1G08430.1	orthologue	GO:0010044;GO:0071423;GO:0009705;GO:0005634;GO:0015140;GO:0005886;GO:0034220	Aluminum-activated malate transporter 1 (AtALMT1)
NP_001289916.1	884	AT5G21930.1	AT5G21930.1	orthologue	GO:0016020;GO:0009535;GO:0009507;GO:0016887;GO:0005375;GO:0055070;GO:0006825;GO:0043682;GO:0019829;GO:0005507;GO:0005524;GO:0009767;GO:0046872;GO:0000166;GO:0005215;GO:0006812	Copper-transporting ATPase PAA2, chloroplastic (EC 7.2.2.9) (Protein HEAVY METAL ATPASE 8);P-type ATPase of Arabidopsis 2
NP_001289917.1	761	AT4G30120.1	AT4G30120.1	orthologue	GO:0005524;GO:0015662;GO:0016887;GO:0005886;GO:0005774;GO:0071585;GO:0055085;GO:0016020;GO:0019829;GO:0046872;GO:0022857;GO:0006812;GO:0005215;GO:0000166	Heavy metal atpase 3;Putative inactive cadmium/zinc-transporting ATPase HMA3 (Putative inactive cadmium/zinc-transporting ATPase 4) (Putative inactive protein HEAVY METAL ATPASE 3)
NP_001289918.1	378	AT4G34160.1	AT4G34160.1	orthologue	GO:0005515;GO:0010444;GO:0048316;GO:0000082;GO:0009735;GO:0005634;GO:0042127;GO:0000307;GO:0005737;GO:0009741;GO:0009744;GO:0016538;GO:0051301	Cyclin-D3-1 (Cyclin-delta-3) (Cyclin-d3) (G1/S-specific cyclin-D3-1) (CycD3;1)
NP_001289919.1	761	AT4G30120.1	AT4G30120.1	orthologue	GO:0005524;GO:0015662;GO:0016887;GO:0005886;GO:0005774;GO:0071585;GO:0055085;GO:0016020;GO:0019829;GO:0046872;GO:0022857;GO:0005215;GO:0000166;GO:0006812	Heavy metal atpase 3;Putative inactive cadmium/zinc-transporting ATPase HMA3 (Putative inactive cadmium/zinc-transporting ATPase 4) (Putative inactive protein HEAVY METAL ATPASE 3)
NP_001289920.1	499	AT4G36380.1	AT4G36380.1	orthologue	GO:0009965;GO:0016709;GO:0048366;GO:0102097;GO:0048443;GO:0016132;GO:0048441;GO:0009507;GO:0005506;GO:0020037;GO:0008395;GO:0010268;GO:0042814;GO:0048868;GO:0004497;GO:0016705;GO:0016020;GO:0005789;GO:0007275;GO:0016125;GO:0016491	3-epi-6-deoxocathasterone 23-monooxygenase CYP90C1 (3-dehydro-6-deoxoteasterone) (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) (EC 1.14.14.-) ((22R,23R)-22,23-dihydroxycampesterol synthase) (EC 1.14.14.-) (6-deoxoteasterone synthase) (EC 1.14.14.-) (Cytochrome P450 90C1) (Protein ROTUNDIFOLIA 3) (Teasterone synthase) (EC 1.14.14.-);Cytochrome P450 superfamily protein
NP_001289923.1	416	AT1G08510.1	AT1G08510.1	orthologue	GO:0006633;GO:0009507;GO:0000036;GO:0016297;GO:0009536;GO:0016790	Palmitoyl-acyl carrier protein thioesterase, chloroplastic (EC 3.1.2.-) (16:0-acyl-carrier protein thioesterase) (16:0-ACP thioesterase) (Acyl-[acyl-carrier-protein] hydrolase) (Acyl-acyl carrier protein thioesterase B1) (AtFATB1)
NP_001289924.1	450	AT5G62700.1, AT5G62690.1	AT5G62700.1	orthologue	GO:0009505;GO:0005737;GO:0003729;GO:0005200;GO:0007017;GO:0009506;GO:0003924;GO:0005794;GO:0005515;GO:0045298;GO:0000278;GO:0000226;GO:0005525;GO:0005886;GO:0005874;GO:0005730;GO:0046872	Tubulin beta-2 chain;Tubulin beta-3 chain
NP_001290396.1	556	AT1G74960.1	AT1G74960.1	orthologue	GO:0009793;GO:0004315;GO:0006633;GO:0009631;GO:0009507;GO:0006636;GO:0005829;GO:0009570;GO:0009536;GO:0005739;GO:0016746;GO:0016747	3-oxoacyl-[acyl-carrier-protein] synthase II, chloroplastic (EC 2.3.1.41) (Beta-ketoacyl-acyl-carrier-protein synthase II) (AtKAS2) (Beta-ketoacyl-ACP synthetase 2) (Protein FATTY ACID BIOSYNTHESIS 1)
NP_001291954.1	384	AT3G12120.1	AT3G12120.1	orthologue	GO:0016720;GO:0045485;GO:0005783;GO:0050184;GO:0102985;GO:0005634;GO:0006636;GO:0005789;GO:0016491;GO:0006629	Delta(12)-fatty-acid desaturase (Fatty acid desaturase 2) (EC 1.14.19.22) (EC 1.14.19.6) (Omega-6 fatty acid desaturase, endoplasmic reticulum)
NP_001305009.1	384	AT3G12120.1	AT3G12120.1	orthologue	GO:0016720;GO:0045485;GO:0005783;GO:0050184;GO:0102985;GO:0005634;GO:0006636;GO:0005789;GO:0016491;GO:0006629	Delta(12)-fatty-acid desaturase (Fatty acid desaturase 2) (EC 1.14.19.22) (EC 1.14.19.6) (Omega-6 fatty acid desaturase, endoplasmic reticulum)
NP_001306212.1	258	AT4G36020.1	AT4G36020.1	orthologue	GO:0009409;GO:0009414;GO:0009651;GO:0005886;GO:0005737;GO:0009631;GO:0032508;GO:0003690;GO:0003697;GO:0010501;GO:0008270;GO:0003729;GO:0005634;GO:0003723;GO:0003676	Cold shock domain protein 1;Cold shock protein 1 (AtCSP1) (Cold shock domain-containing protein 1)
NP_001306213.1	388	AT4G24220.1	AT4G24220.1	orthologue	GO:0009611;GO:0047787;GO:0005829;GO:0035671;GO:0046983;GO:0010051;GO:0008202	3-oxo-Delta(4,5)-steroid 5-beta-reductase (EC 1.3.1.3) (Delta(4)-3-oxosteroid 5-beta-reductase) (Delta-4,5-steroid 5-beta-reductase) (At5beta-StR) (Progesterone 5-beta-reductase) (5beta-POR) (Protein VEIN PATTERNING 1)
NP_001306214.1	358	AT1G15550.1	AT1G15550.1	orthologue	GO:0005515;GO:0009739;GO:0009686;GO:0009416;GO:0009639;GO:0009740;GO:0016707;GO:0005737;GO:0010114;GO:0008134;GO:0046872	Gibberellin 3-beta-dioxygenase 1 (EC 1.14.11.15) (GA 3-oxidase 1) (AtGA3ox1) (Gibberellin 3 beta-hydroxylase 1)
NP_001306215.1	401	AT2G43710.1	AT2G43710.1	orthologue	GO:0009570;GO:0006631;GO:0006636;GO:0045300;GO:0051607;GO:0006952;GO:0002213;GO:0004768;GO:0009507;GO:0042742;GO:0009534;GO:2000022;GO:0008610;GO:0009536;GO:0009695;GO:2000031;GO:0006633;GO:0046872;GO:0016491	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-);Stearoyl-[acyl-carrier-protein] 9-desaturase 7, chloroplastic (Stearoyl-ACP desaturase 7) (EC 1.14.19.2) (Acyl-[acyl-carrier-protein] desaturase 7) (Protein FATTY ACID BIOSYNTHESIS 2) (Protein SUPPRESSOR OF SA INSENSITIVITY 2) (AtSSI2)
NP_001306958.1	553	AT1G74960.1	AT1G74960.1	orthologue	GO:0009793;GO:0004315;GO:0006633;GO:0009631;GO:0009507;GO:0006636;GO:0005829;GO:0009570;GO:0009536;GO:0005739;GO:0016747;GO:0016746	3-oxoacyl-[acyl-carrier-protein] synthase II, chloroplastic (EC 2.3.1.41) (Beta-ketoacyl-acyl-carrier-protein synthase II) (AtKAS2) (Beta-ketoacyl-ACP synthetase 2) (Protein FATTY ACID BIOSYNTHESIS 1)
XP_010412390.1	175	AT3G56520.1, AT5G41090.1	AT3G56520.1	other	GO:0003677;GO:0006355;GO:0005515;GO:0009555;GO:0005634;GO:0003700	At5g41090 (Emb|CAB88055.1) (NAC domain containing protein 95);NAC (No Apical Meristem) domain transcriptional regulator superfamily protein (No apical meristem family protein)
XP_010412392.1	109	AT2G04790.10	AT2G04790.10	orthologue		
XP_010412393.1	323	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT3G56520.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964;GO:0003824	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_010412394.1	330				GO:0003677	
XP_010412395.1	393	AT3G27320.1	AT3G27320.1	other	GO:0008150;GO:0005634;GO:0106435;GO:0016787	Probable carboxylesterase 11 (AtCXE11) (EC 3.1.1.1)
XP_010412397.1	386					
XP_010412398.1	650	AT2G04842.1	AT2G04842.1	orthologue	GO:0009793;GO:0006435;GO:0009507;GO:0004829;GO:0009570;GO:0005739;GO:0005524;GO:0046872;GO:0005737;GO:0004812;GO:0043039;GO:0000166;GO:0006418	Threonine--tRNA ligase, chloroplastic/mitochondrial 2 (EC 6.1.1.3) (Protein EMBRYO DEFECTIVE 2761) (Threonyl-tRNA synthetase) (ThrRS)
XP_010412402.1	224	AT2G04845.1	AT2G04845.1	orthologue	GO:0005829;GO:0008080;GO:0005634;GO:0016747	Acyl-CoA N-acyltransferases (NAT) superfamily protein;GCN5-related N-acetyltransferase 9 (EC 2.3.1.48)
XP_010412403.1	103	AT3G27425.1	AT3G27425.1	orthologue	GO:0005739;GO:0008150;GO:0003674	ECA1-like gametogenesis related family protein
XP_010412404.1	322	AT1G58310.1, AT3G59210.1, AT3G59200.1, AT3G59230.1, AT3G59250.1, AT3G59240.1, AT3G49150.1, AT3G59170.1, AT3G59160.1, AT4G14103.2, AT4G14096.1	AT4G14096.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005515;GO:0009507;GO:0005634;GO:0030163;	F-box/FBD/LRR protein;F-box/LRR-repeat protein At3g59200;F-box/LRR-repeat protein At3g59210;F-box/LRR-repeat protein At3g59250;F-box/LRR-repeat protein At4g14096;F-box/LRR-repeat protein At4g14103;F-box/RNI-like superfamily protein;Putative F-box protein At1g58310;Putative F-box/FBD/LRR-repeat protein At3g59240;Putative F-box/LRR-repeat protein At3g49150;Putative F-box/LRR-repeat protein At3g59160;Putative F-box/LRR-repeat protein At3g59170;Putative F-box/LRR-repeat protein At3g59230
XP_010412405.1	387	AT1G32420.1, AT3G56670.1, AT5G50220.1, AT5G62060.1	AT5G50220.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0005739;;GO:0005515	Probable F-box protein At3g56670;Putative F-box protein At1g32420;Putative F-box protein At5g50220;Putative F-box protein At5g62060
XP_010412406.1	429				GO:0046983;GO:0003677	
XP_010412409.1	569	AT3G32940.1	AT3G32940.1	orthologue	GO:0003729;GO:0003723;GO:0048024;GO:0005634;GO:0045292	RNA-binding KH domain-containing protein
XP_010412410.1	197	AT1G40390.1, AT1G43760.1	AT5G50220.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634	DNAse I-like superfamily protein
XP_010412411.1	706	AT2G04860.1	AT2G04860.1	orthologue	GO:0009451;GO:0009507;GO:0003723;GO:0043231;GO:0005515	Pentatricopeptide repeat-containing protein At2g04860
XP_010412413.1	159	AT3G27650.1	AT3G27650.1	orthologue	GO:0003674;GO:0005634	LOB domain-containing protein 25 (ASYMMETRIC LEAVES 2-like protein 3) (AS2-like protein 3)
XP_010412414.1	365				GO:0003676;GO:0008270	
XP_010412415.1	172	AT3G27690.2	AT3G27690.2	other	GO:0009416;GO:0009517;GO:0009535;GO:0009507;GO:0009769;GO:0042631;GO:0016168;GO:0010114;GO:0009409;GO:0009765;GO:0009269;GO:0009941;GO:0071215;GO:0009768;GO:0009645;GO:0005829;GO:0009644;GO:0009579;GO:1903428;GO:0009523;GO:0010218;GO:0090333;GO:0009522;GO:0003729;GO:0046872;GO:0016020	Chlorophyll a-b binding protein 2.4, chloroplastic (Photosystem II light harvesting complex gene 2.4) (Protein LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2.4);Chlorophyll a-b binding protein, chloroplastic
XP_010412417.1	430	AT2G04850.1	AT2G04850.1	orthologue	GO:0005576;GO:0005575;GO:0003674;GO:0008150;GO:0016020;GO:0046872	Cytochrome b561 and DOMON domain-containing protein At2g04850 (Protein b561A.tha7)
XP_010412418.1	165					
XP_010412420.1	531					
XP_010412421.1	810	AT3G28030.3	AT3G28030.3	other	GO:0010213;GO:0006289;GO:0004520;GO:0003677;GO:0005634;GO:0003697;GO:0009408;GO:0004519;GO:0005515;GO:0010224;GO:0004527;GO:0016740;GO:0046872;GO:0004518;GO:0016788	5'-3' exonuclease family protein;DNA repair protein UVH3 (EC 3.1.-.-) (ERCC5 homolog) (RAD2 homolog) (AtRAD2) (AtUVH3) (AtXPG) (UV hypersensitive protein 3) (XPG homolog)
XP_010412422.1	370	AT3G28080.1, AT3G28070.1	AT3G28070.1	orthologue	GO:0009507;GO:0005886;GO:0005739;GO:0008150;GO:0022857;GO:0016020	Nodulin MtN21 /EamA-like transporter family protein;WAT1-related protein;WAT1-related protein At3g28070;WAT1-related protein At3g28080
XP_010412423.1	681	AT2G04865.1	AT2G04865.1	orthologue	GO:0005634;GO:0003674;GO:0010073;GO:0008483;GO:0048507	Protein MAIN-LIKE 2
XP_010412424.1	662				GO:0008270	
XP_010412429.1	156					
XP_010412432.1	400	AT3G28330.1	AT3G28330.1	orthologue	GO:0031146;GO:0004842;GO:0005634;;GO:0005515	F-box protein At3g28330
XP_010412433.2	376	AT3G57030.1	AT3G57030.1	other	GO:0009507;GO:0009505;GO:0009058;GO:0005886;GO:0016787;GO:0009506;GO:0005783;GO:0005829;GO:0005773;GO:0012505	Protein STRICTOSIDINE SYNTHASE-LIKE 10 (AtSSL10) (Strictosidine synthase 8) (AtSS8)
XP_010412434.1	371	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT1G10000.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_010412435.1	1148	AT3G28390.1	AT3G28390.1	orthologue	GO:0055085;GO:0042626;GO:0005739;GO:0016020;GO:0140359;GO:0016887;GO:0005524	ABC transporter B family member 18 (ABC transporter ABCB.18) (AtABCB18) (P-glycoprotein 18) (Putative multidrug resistance protein 20)
XP_010412437.1	463				GO:0003676	
XP_010412443.1	370				GO:0003677	
XP_010412444.1	472	AT2G04880.1	AT2G04880.1	orthologue	GO:0005739;GO:0003700;GO:0009863;GO:0005634;GO:0000976;GO:0045893;GO:0003677;GO:0008270;GO:0009751;GO:0006355;GO:0043565	WRKY transcription factor 1 (Transcription factor ZAP1) (WRKY DNA-binding protein 1) (Zinc-dependent activator protein 1)
XP_010412445.1	2081	AT3G28770.1	AT3G28770.1	orthologue	GO:0003674;GO:0005575;GO:0008150	Transmembrane protein, putative (DUF1216)
XP_010412446.1	140	AT5G23535.1	AT5G23535.1	other	GO:0005739;GO:0003735;GO:0006412;GO:0003723;GO:0005840;GO:1990904	50S ribosomal protein L24 (At5g23535) (KOW domain-containing protein)
XP_010412447.1	308					
XP_010412448.1	1329	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964;GO:0003676;GO:0004523;GO:0003824	Non-LTR retroelement reverse transcriptase
XP_010412451.1	1172	AT5G48600.2	AT5G48600.2	other	GO:0000070;GO:0000796;GO:0016887;GO:0009793;GO:0007076;GO:0005694;GO:0005634;GO:0005524;GO:0051301;GO:0051321;GO:0030261;GO:0005515;GO:0051276	Structural maintenance of chromosomes protein;Structural maintenance of chromosomes protein 4 (AtSMC4) (SMC protein 4) (SMC-4) (Chromosome-associated protein C) (AtCAP-C)
XP_010412453.2	167				GO:0006511	
XP_010412456.1	1103	AT1G47350.1	AT1G47350.1	other	GO:0008150;GO:0003674;GO:0005575;;GO:0003676;GO:0008270	F-box associated ubiquitination effector family protein
XP_010412457.1	116	AT2G04910.1	AT2G04910.1	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0005886;GO:0009506;GO:0098552	Carbohydrate-binding X8 domain superfamily protein
XP_010412458.2	806	AT5G28810.1	AT5G28810.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0006508;GO:0008233;GO:0008234;GO:0005634;GO:0016926;GO:0016929	Ulp1 protease family protein
XP_010412459.1	444				GO:0008270	
XP_010412462.1	686				GO:0003676;GO:0008270	
XP_010412463.1	228	AT3G29300.2	AT3G29300.2	orthologue	GO:0003674;GO:0005576;GO:0016020	Transmembrane protein
XP_010412464.1	129	AT2G04900.1	AT2G04900.1	orthologue	GO:0003674;GO:0016020;GO:0005739	Expressed protein;Transmembrane protein
XP_010412465.1	148	AT2G10975.1	AT2G10975.1	orthologue	GO:0005575;GO:0008150;GO:0003674	No apical meristem-associated C-terminal domain-containing protein
XP_010412466.1	257	AT5G39300.1	AT5G39300.1	other	GO:0009664;GO:0009826;GO:0009828;GO:0005576;GO:0003674;GO:0009653;GO:0016020	Expansin-A25 (AtEXPA25) (Alpha-expansin-25) (At-EXP25) (AtEx25) (Ath-ExpAlpha-1.18)
XP_010412467.1	161	AT3G58230.1	AT3G58230.1	other	GO:0008150;GO:0005634;GO:0003674;GO:0006508;GO:0008233	Ubiquitin-specific protease family C19-related protein
XP_010412470.1	107	AT4G39200.1, AT2G21580.1	AT4G39200.1	other	GO:0005737;GO:0005773;GO:0022626;GO:0022627;GO:0000325;GO:0009506;GO:0003735;GO:0003729;GO:0005886;GO:0008150;GO:0005840;GO:1990904	40S ribosomal protein S25;Small ribosomal subunit protein eS25w (40S ribosomal protein S25-4);Small ribosomal subunit protein eS25y (40S ribosomal protein S25-2)
XP_010412471.1	313					
XP_010412472.1	245					
XP_010412473.1	213				GO:0008270	
XP_010412474.1	314	ATMG00860.1	ATMG00860.1	other	GO:0003674;GO:0005739;GO:0008150;GO:0003676;GO:0015074	Uncharacterized mitochondrial protein AtMg00860 (ORF158)
XP_010412475.1	132					
XP_010412477.1	357					
XP_010412478.1	225					
XP_010412480.1	1273	AT3G33530.3	AT3G33530.3	other	GO:0005634;GO:0005737;GO:0008150;GO:0003674;GO:0005515	Transducin family protein / WD-40 repeat family protein
XP_010412482.1	145	AT1G19080.1, AT3G55490.1	AT3G55490.1	other	GO:0005634;GO:0003674;GO:0008150;GO:0009793;GO:1902975;GO:0000811;GO:0006261;GO:0006260	At1g19080 (GINS complex protein)
XP_010412483.1	270	AT3G42960.1	AT3G42960.1	other	GO:0042802;GO:0005575;GO:0016491	Short-chain dehydrogenase reductase ATA1 (EC 1.1.1.-) (Protein TAPETUM 1) (ATA1) (Tasselseed-2 homolog ATA1)
XP_010412484.1	1816	AT3G43300.1	AT3G43300.1	orthologue	GO:0006886;GO:0005829;GO:0006955;GO:0005802;GO:0045087;GO:0005769;GO:0005634;GO:0005515;GO:0032012;GO:0016192;GO:2000067;GO:0042742;GO:0031338;GO:2000012;GO:0005085;GO:0006897;GO:0009734;GO:0031901	Brefeldin A-inhibited guanine nucleotide-exchange protein 5 (BIG5) (ARF guanine-nucleotide exchange factor BIG5) (Protein BFA-VISUALIZED ENDOCYTIC TRAFFICKING DEFECTIVE 1) (Protein BEN1) (Protein HOPM INTERACTOR 7) (AtMIN7)
XP_010412486.1	392	AT3G43700.1	AT3G43700.1	orthologue	GO:0005515;GO:0071472;GO:0006970;GO:0016567;GO:0005634;GO:0005829	BTB-POZ and MATH domain 6;BTB/POZ and MATH domain-containing protein 6 (Protein BTB-POZ AND MATH DOMAIN 6) (AtBPM6)
XP_010412487.1	309	AT3G44240.1	AT3G44240.1	orthologue	GO:0000288;GO:0004535;GO:0030015;GO:0000932;GO:0005634;GO:0030014;GO:0003723;GO:0005737;GO:0046872;GO:0003676	Putative CCR4-associated factor 1 homolog 8 (EC 3.1.13.4)
XP_010412488.1	374	AT2G04920.1, AT3G22350.1, AT3G22710.1, AT3G22720.1, AT3G22700.1, AT3G23633.1, AT3G22730.1	AT3G22730.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0006511;;GO:0005515	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At3g22350;F-box protein At3g22700;Probable F-box protein At3g22720;Putative F-box only protein 9;Putative F-box protein At3g22710;Putative F-box/kelch-repeat protein At3g22730
XP_010412489.1	337	AT1G40390.1, AT1G43760.1	AT3G22730.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634	DNAse I-like superfamily protein
XP_010412490.1	110	AT3G43800.1	AT3G43800.1	other	GO:0006749;GO:0009407;GO:0005737;GO:0004364;GO:0005829	Glutathione S-transferase U27 (AtGSTU27) (EC 2.5.1.18) (GST class-tau member 27)
XP_010412491.1	281	AT1G48150.1, AT1G50780.1	AT1G48150.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0006357;GO:0006355;GO:0000981;GO:0000978;GO:0000987;GO:0045944;GO:0046983;GO:0005634;GO:0003700;GO:0051537;GO:0003677	2Fe-2S ferredoxin-like superfamily protein;F21D18.12 (MADS-box transcription factor family protein)
XP_010412492.1	435	AT3G43860.1	AT3G43860.1	other	GO:0005576;GO:0008810;GO:0030245;GO:0071555;GO:0005975;GO:0004553	Endoglucanase 16 (EC 3.2.1.4) (Endo-1,4-beta glucanase 16)
XP_010412494.1	380	AT2G04940.1	AT2G04940.1	orthologue	GO:0005739;GO:0017121;GO:0005886;GO:0017128	Phospholipid scramblase
XP_010412495.1	230					
XP_010412499.1	364	AT3G43990.1	AT3G43990.1	orthologue	GO:0003682;GO:0005634;GO:0006351;GO:0001217;GO:0045814;GO:0140566	Bromo-adjacent homology (BAH) domain-containing protein
XP_010412500.1	295					
