Cardamine_amara	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
evm.model.RL_1.1008	576	AT3G10960.1	AT3G10960.1	orthologue	GO:0005829;GO:0015854;GO:0015853;GO:0005886;GO:0005345;GO:0006863;GO:0016020;GO:0015205;GO:0022857;GO:0055085	Adenine/guanine permease AZG1 (AzgA-homolog protein) (Protein AZAGUANINE RESISTANT 1) (AtAzg1)
evm.model.RL_1.1009	364	AT3G10970.1	AT3G10970.1	orthologue	GO:0009507;GO:0003674;GO:0016787	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
evm.model.RL_1.101	283	AT3G01220.1	AT3G01220.1	orthologue	GO:0045893;GO:0043565;GO:0005634;GO:0000981;GO:0005515;GO:0009733;GO:0003700;GO:0006355;GO:0003677	Homeobox-leucine zipper protein ATHB-20 (HD-ZIP protein ATHB-20) (Homeodomain transcription factor ATHB-20)
evm.model.RL_1.1010	555	AT3G10980.1	AT3G10980.1	orthologue	GO:0051762;GO:0005634;GO:0009975;GO:0016020	PLAC8 family protein
evm.model.RL_1.1011	107	AT3G10985.1	AT3G10985.1	orthologue	GO:0010193;GO:0009624;GO:0010150;GO:0003674;GO:0002238;GO:0009620;GO:0005575	Senescence associated gene 20 (Protein WOUND-INDUCED 12) (AtWI-12)
evm.model.RL_1.1012	165	AT3G10986.1	AT3G10986.1	orthologue	GO:0003674;GO:0005739	Protein LURP-one-related 9
evm.model.RL_1.1013	454	AT3G11000.2	AT3G11000.2	orthologue	GO:0003674;GO:0034976;GO:0005634	At3g11000 (DCD (Development and Cell Death) domain protein);DCD (Development and Cell Death) domain protein
evm.model.RL_1.1014	324	AT3G11020.1	AT3G11020.1	orthologue	GO:0009414;GO:0006355;GO:0000976;GO:0003700;GO:0045893;GO:0009555;GO:0005634;GO:0010286;GO:0006950;GO:0003677	Dehydration-responsive element-binding protein 2B (Protein DREB2B)
evm.model.RL_1.1015	720	AT3G61010.1, AT3G11040.3	AT3G11040.3	orthologue	GO:0005737;GO:0033925;GO:0008198;GO:0009507;GO:0008199;GO:0006491;GO:0006517;GO:0005829;GO:0016491;GO:0004553	Cytosolic endo-beta-N-acetylglucosaminidase 2 (ENGase 2) (EC 3.2.1.96) (Endo-beta-N-acetyglucosaminidase 85B) (AtENGase85B);Ferritin/ribonucleotide reductase-like family protein;mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase (EC 3.2.1.96)
evm.model.RL_1.1016	255	AT3G11050.1	AT3G11050.1	orthologue	GO:0009737;GO:0008199;GO:0006826;GO:0008198;GO:0009507;GO:0005737;GO:0006979;GO:0004322;GO:0006879;GO:0006880	Ferritin-2, chloroplastic (EC 1.16.3.1)
evm.model.RL_1.1017	352	AT4G31660.1	AT4G31660.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0003677	B3 domain-containing protein REM7 (Auxin response factor 25) (Protein REPRODUCTIVE MERISTEM 7)
evm.model.RL_1.1018	517	AT3G11070.1	AT3G11070.1	orthologue	GO:0003674;GO:0005634;GO:0005741;GO:0005829;GO:0005739;GO:0009707;GO:0019867	Outer membrane OMP85 family protein
evm.model.RL_1.1019	163	AT3G11090.1	AT3G11090.1	orthologue	GO:0003674;GO:0005634	LOB domain-containing protein 21 (ASYMMETRIC LEAVES 2-like protein 12) (AS2-like protein 12)
evm.model.RL_1.102	250	AT3G01210.1	AT3G01210.1	orthologue	GO:0005737;GO:0050832;GO:0005515;GO:0005634;GO:0003723;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein (T4P13.10 protein)
evm.model.RL_1.1020	253	AT3G11100.1	AT3G11100.1	orthologue	GO:0010468;GO:0005515;GO:0009873;GO:0006355;GO:0005634;GO:0000976;GO:0003700;GO:0005654;GO:0042393;GO:0040029;GO:0003682;GO:0003677	Trihelix transcription factor ENAP1 (Trihelix DNA-binding protein ENAP1) (Agrobacterium tumefaciens VirF-interacting protein 3) (EIN2 nuclear associated protein 1)
evm.model.RL_1.1021	156	AT3G11110.1	AT3G11110.1	orthologue	GO:0003674;GO:0005634;GO:0016567;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL66 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL66)
evm.model.RL_1.1022	1705	AT3G11130.1	AT3G11130.1	orthologue	GO:0009414;GO:0000325;GO:0032051;GO:0005515;GO:0006886;GO:0016192;GO:0010118;GO:0006898;GO:0072583;GO:0030132;GO:0005829;GO:0006897;GO:0071439;GO:0005886;GO:0005773;GO:0009506;GO:0005794;GO:0030130;GO:0005198;GO:0009507	Clathrin heavy chain 1
evm.model.RL_1.1023	375	AT3G11150.1	AT3G11150.1	orthologue	GO:0009507;GO:0003674	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (At3g11150)
evm.model.RL_1.1024	444	AT3G11170.1	AT3G11170.1	orthologue	GO:0005829;GO:0042170;GO:0009507;GO:0006633;GO:0009409;GO:0042389;GO:0006636;GO:0102993;GO:0009941;GO:0009706;GO:0006629;GO:0016491;GO:0016717	sn-2 acyl-lipid omega-3 desaturase (ferredoxin), chloroplastic (EC 1.14.19.35) (Omega-3 fatty acid desaturase 7, chloroplastic)
evm.model.RL_1.1025	265	AT3G11180.2	AT3G11180.2	orthologue	GO:1900150;GO:2000022;GO:1900366;GO:0120091;GO:0005737;GO:0016706;GO:0005506;GO:0006952;GO:0051213;GO:0046872	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;Jasmonate-induced oxygenase 1 (EC 1.14.11.-) (2-oxoglutarate-dependent dioxygenase JOX1) (Jasmonic acid oxidase 1)
evm.model.RL_1.1026	245	AT3G11200.1	AT3G11200.1	other	GO:0005634;GO:0000976;GO:0042393;GO:0035064;GO:0006355;GO:0003712;GO:0006325;GO:0008270	PHD finger protein ALFIN-LIKE;PHD finger protein ALFIN-LIKE 2 (Protein AL2) [Cleaved into: PHD finger protein ALFIN-LIKE 2, N-terminally processed]
evm.model.RL_1.1027	256	AT3G11210.1	AT3G11210.1	orthologue	GO:0005737;GO:0016788;GO:0005576;GO:0016042	GDSL esterase/lipase CPRD49 (EC 3.1.1.-) (Extracellular lipase CPRD49)
evm.model.RL_1.1028	356	AT3G11220.1	AT3G11220.1	orthologue	GO:0010928;GO:0008284;GO:0008023;GO:2000024;GO:0005737;GO:0009737;GO:0033588;GO:0002098;GO:0051301;GO:0071329;GO:0035265;GO:0031538;GO:0006979;GO:0005634;GO:0005515;GO:0043609;GO:0009734;GO:0009738	Elongator complex protein 4 (AtELP4) (Elongator component 4) (Protein ELONGATA 1)
evm.model.RL_1.1029	130	AT3G11230.2	AT3G11230.2	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0046872	Protein yippee-like;Protein yippee-like At3g11230
evm.model.RL_1.103	379	AT3G01200.1	AT3G01200.1	orthologue	GO:0004672;GO:0005524;GO:0016776;GO:0005829;GO:0009507;GO:0004674;GO:0016772	Pyruvate, phosphate dikinase regulatory protein 2 (EC 2.7.11.32) (EC 2.7.4.27) (Pyruvate, Pi dikinase regulatory protein 2) (AtRP2) (PPDK RP2) (PPDK regulatory protein 2)
evm.model.RL_1.1030	603	AT3G11240.1	AT3G11240.1	orthologue	GO:0050994;GO:0005737;GO:0009737;GO:0004057;GO:0005634;GO:0010029;GO:0010498;GO:0050832;GO:0016598	Arginyl-tRNA--protein transferase (EC 2.3.2.8);Arginyl-tRNA--protein transferase 2 (Arginyltransferase 2) (R-transferase 2) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 2) (AtATE2)
evm.model.RL_1.1031	323	AT3G11250.1	AT3G11250.1	orthologue	GO:0005829;GO:0042254;GO:0022625;GO:0003729;GO:0003735;GO:0002181;GO:0042742;GO:0022626;GO:0070180;GO:0005737;GO:1990904;GO:0000027	Large ribosomal subunit protein uL10x (60S acidic ribosomal protein P0-3)
evm.model.RL_1.1032	188	AT3G11260.1	AT3G11260.1	orthologue	GO:0005515;GO:0010078;GO:0005634;GO:0043565;GO:0009733;GO:1902459;GO:0003700;GO:0003677;GO:0099402	WUSCHEL-related homeobox 5
evm.model.RL_1.1033	310	AT3G11270.1	AT3G11270.1	orthologue	GO:0009793;GO:0030163;GO:0005634;GO:0000502;GO:0005829;GO:0006511;GO:0009507;GO:0043161;GO:0006364;GO:0008237;GO:0005838;GO:0048731;GO:0005515;GO:0008233	26S proteasome non-ATPase regulatory subunit 7 homolog B (26S proteasome regulatory subunit RPN8b) (AtRPN8b) (Protein MATERNAL EFFECT EMBRYO ARREST 34);Mov34/MPN/PAD-1 family protein
evm.model.RL_1.1034.1.687c87ec	301	AT3G11280.1	AT3G11280.1	orthologue	GO:0003700;GO:0000976;GO:0005634;GO:0009739;GO:0006355;GO:0009751;GO:0003677	Duplicated homeodomain-like superfamily protein (MYB transcription factor) (MYB-family transcription factor, putative; alternative splicing isoform 2 of 2;71559-70643 (Myb-family transcription factor, putative; alternative splicing isoform 1 of 2;71559-70643)) (Putative MYB-family transcription factor)
evm.model.RL_1.1035	450	AT2G19220.1, AT3G11310.1, AT3G11300.1, AT3G11290.1	AT3G11290.1	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0005575;GO:0005576;GO:0003677	Myb/SANT-like DNA-binding domain protein;Uncharacterized protein
evm.model.RL_1.1036	308	AT3G11320.1	AT3G11320.1	orthologue	GO:0055085;GO:0005783;GO:0015297;GO:0005794;GO:0005886;GO:0008514;GO:0016020	Probable sugar phosphate/phosphate translocator At3g11320
evm.model.RL_1.1037	405	AT3G11325.2	AT3G11325.2	other	GO:0005576;GO:0010143;GO:0016791;GO:0090447;GO:0016020;GO:0008654;GO:0016746	Phospholipid/glycerol acyltransferase family protein
evm.model.RL_1.1038	497	AT3G11330.1	AT3G11330.1	orthologue	GO:0035556;GO:0009507;GO:0055046;GO:0009555;GO:0005829;GO:0003674;GO:0005515;GO:0005737	Plant intracellular Ras-group-related LRR protein 9
evm.model.RL_1.1039	448	AT3G11340.1	AT3G11340.1	orthologue	GO:0046527;GO:0080043;GO:0008194;GO:0097359;GO:0035251;GO:0050829;GO:0052640;GO:0002239;GO:0010150;GO:0009863;GO:0009507;GO:0006952;GO:0080044;GO:0005737	UDP-glycosyltransferase 76B1 (EC 2.4.1.-)
evm.model.RL_1.104	321	AT3G01190.1	AT3G01190.1	orthologue	GO:0140825;GO:0005576;GO:0006950;GO:0009505;GO:0006979;GO:0020037;GO:0004601;GO:0042744;GO:0046872	Peroxidase 27 (Atperox P27) (EC 1.11.1.7) (ATP12a) (PRXR7)
evm.model.RL_1.1040	707	AT3G11350.1, AT3G11380.1, AT1G28020.1	AT3G11380.1	other	GO:0003674;GO:0008150;GO:0005739;GO:0003729;GO:0005515	Pentatricopeptide repeat (PPR) superfamily protein;Putative pentatricopeptide repeat-containing protein At1g28020
evm.model.RL_1.1041	339	AT3G11350.1	AT3G11350.1	orthologue	GO:0003674;GO:0008150;GO:0005739;GO:0005515	Pentatricopeptide repeat (PPR) superfamily protein
evm.model.RL_1.1042	81	AT2G20710.1	AT2G20710.1	other	GO:0005739;GO:0003674;GO:0008150;GO:0003729	Pentatricopeptide repeat-containing protein At2g20710, mitochondrial
evm.model.RL_1.1043	695	AT3G11390.1, AT3G11385.1, AT3G11370.1, AT3G11402.1	AT3G11390.1	orthologue	GO:0005634;GO:0003674;GO:0008150	Cysteine/Histidine-rich C1 domain family protein
evm.model.RL_1.1044	209	AT3G11397.1	AT3G11397.1	orthologue	GO:0016192;GO:0005739;GO:0016020;GO:0003674;GO:0005783;GO:0010008	PRA1 family protein A3 (AtPRA1.A3)
evm.model.RL_1.1045	293	AT3G11400.2	AT3G11400.2	orthologue	GO:0005737;GO:0005829;GO:0003743;GO:0006413;GO:0010494;GO:0003729;GO:0005515;GO:0005852;GO:0001732;GO:0016282;GO:0033290;GO:0003723;GO:0003676	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4)
evm.model.RL_1.1046	152	AT3G11405.1	AT3G11405.1	orthologue	GO:0005634;GO:0003674;GO:0008150	DUF7722 domain-containing protein
evm.model.RL_1.1047	406	AT3G11410.1	AT3G11410.1	orthologue	GO:0051607;GO:0005515;GO:0009788;GO:0009738;GO:0009737;GO:0005634;GO:0017018;GO:0009414;GO:0004722;GO:0004721;GO:0009409;GO:1902531;GO:0016791;GO:0010119;GO:0019900;GO:0005829;GO:0010360;GO:0019901;GO:0046872;GO:0043169;GO:0006470	Protein phosphatase 2C 37 (AtPP2C37) (EC 3.1.3.16) (Protein ABA-HYPERSENSITIVE GERMINATION 3) (Protein phosphatase 2C A) (PP2CA)
evm.model.RL_1.1048	502	AT3G11420.1	AT3G11420.1	orthologue	GO:0005886;GO:0016757;GO:0008375;GO:0016020	At3g11420 (Beta-1,3-N-acetylglucosaminyltransferase lunatic protein, putative (DUF604)) (Glycosyltransferase)
evm.model.RL_1.1049	502	AT3G11430.1	AT3G11430.1	orthologue	GO:0090447;GO:0016791;GO:0010345;GO:0004366;GO:0016024;GO:0010143;GO:0016020;GO:0008514;GO:0016746	Glycerol-3-phosphate acyltransferase 5 (AtGPAT5) (EC 2.3.1.15)
evm.model.RL_1.105	802	AT3G01180.1	AT3G01180.1	orthologue	GO:0019252;GO:0033840;GO:0009507;GO:0010021;GO:0009011;GO:0004373;GO:0016757;GO:0009501	Starch synthase 2, chloroplastic/amyloplastic (AtSS2) (EC 2.4.1.21) (Soluble starch synthase II)
evm.model.RL_1.1050	546	AT3G11440.1	AT3G11440.1	orthologue	GO:0000976;GO:0045893;GO:0009740;GO:0006355;GO:1990019;GO:0048235;GO:0048655;GO:0005634;GO:0048653;GO:0003700;GO:0045926;GO:0043068;GO:0008285;GO:0003677;GO:0009653;GO:0040008	Myb domain protein 65;Transcription factor MYB65 (Myb-related protein 65) (AtMYB65)
evm.model.RL_1.1051	646	AT3G11450.1	AT3G11450.1	orthologue	GO:0009909;GO:0051083;GO:0030544;GO:0009793;GO:0005829;GO:0048366;GO:0043022;GO:0006450;GO:0005634;GO:1902182;GO:0003677	DnaJ and Myb-like DNA-binding domain-containing protein
evm.model.RL_1.1052	623	AT3G11460.1	AT3G11460.1	orthologue	GO:0005515;GO:0005739;GO:0009451;GO:0043231;GO:0016554;GO:0003723;GO:0008270;GO:0006397	Putative pentatricopeptide repeat-containing protein At3g11460, mitochondrial (Mitochondrial RNA editing factor 10)
evm.model.RL_1.1053	295	AT3G11470.1	AT3G11470.1	orthologue	GO:0005737;GO:0005739;GO:0008897;GO:0005829;GO:0019878;GO:0018215;GO:0000287	holo-[acyl-carrier-protein] synthase (EC 2.7.8.7)
evm.model.RL_1.1054	377	AT3G11480.1	AT3G11480.1	orthologue	GO:0008757;GO:0032259;GO:0009611;GO:0052624;GO:0051707;GO:0080150;GO:0005634;GO:0006952;GO:0046872;GO:0008168	Salicylate/benzoate carboxyl methyltransferase (Benzoate O-methyltransferase) (EC 2.1.1.273) (S-adenosyl-L-methionine:benzoic acid carboxyl methyltransferase) (S-adenosyl-L-methionine:salicylate acid carboxyl methyltransferase) (SABATH methyltransferase) (Salicylate carboxymethyltransferase) (EC 2.1.1.274)
evm.model.RL_1.1055	440	AT3G11490.1	AT3G11490.1	orthologue	GO:0007165;GO:0009664;GO:0009507;GO:0034059;GO:0003674;GO:0005096	Rho GTPase-activating protein 4 (Rho-type GTPase-activating protein 4)
evm.model.RL_1.1056	79	AT2G23930.1, AT3G11500.1	AT2G23930.1	other	GO:0034719;GO:0000387;GO:0003723;GO:0000398;GO:0071013;GO:0005687;GO:0005685;GO:0005689;GO:0043186;GO:0005634;GO:0097526;GO:0071011;GO:0071004;GO:0005773;GO:0003729;GO:0005682;GO:0005686;GO:0005829;GO:0005730;GO:0005681;GO:1990904	Probable small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG);Sm protein G;Small nuclear ribonucleoprotein G (snRNP-G)
evm.model.RL_1.1057	151	AT2G36160.1, AT3G11510.1, AT3G52580.1	AT3G52580.1	other	GO:0003729;GO:0005737;GO:0009506;GO:0006412;GO:0022627;GO:0005515;GO:0022626;GO:0005783;GO:0003735;GO:0000028;GO:0000325;GO:0005829;GO:0005730;GO:0005840;GO:1990904	Small ribosomal subunit protein uS11x (40S ribosomal protein S14-3);Small ribosomal subunit protein uS11y (40S ribosomal protein S14-2);Small ribosomal subunit protein uS11z (40S ribosomal protein S14-1)
evm.model.RL_1.1058	414	AT3G11520.1	AT3G11520.1	orthologue	GO:0005515;GO:0005634;GO:0016538;GO:0044772;GO:0000307;GO:0000082;GO:0005815;GO:0005737;GO:0010332;GO:0016020;GO:0051301	CYCLIN B13;Cyclin-B1-3 (Cyc2-At) (G2/mitotic-specific cyclin-B1-3) (CycB1;3)
evm.model.RL_1.1059	113	AT3G11530.1	AT3G11530.1	orthologue	GO:0005768;GO:0003674;GO:0032511;GO:0000325;GO:0016020	Vacuolar protein sorting 55 (VPS55) family protein
evm.model.RL_1.106	562	AT3G01175.1	AT3G01175.1	orthologue	GO:0005739;GO:0003674;GO:0016020	Transmembrane protein
evm.model.RL_1.1060	913	AT3G11540.1	AT3G11540.1	orthologue	GO:0046922;GO:0005634;GO:0016757;GO:0005515;GO:0036066;GO:0016262;GO:0006486;GO:0005737;GO:0097363;GO:0009938;GO:0009740;GO:0009736;GO:2000377;GO:0009908;GO:0030154;GO:0048511	Probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY (EC 2.4.1.255) (GDP-fucose protein O-fucosyltransferase SPINDLY) (EC 2.4.1.221);protein O-GlcNAc transferase (EC 2.4.1.255)
evm.model.RL_1.1061	204	AT3G11550.1	AT3G11550.1	orthologue	GO:0042545;GO:0005886;GO:0007043;GO:0042803;GO:0005515;GO:0048226	Casparian strip membrane protein 2 (AtCASP2)
evm.model.RL_1.1062	880	AT3G11560.2	AT3G11560.2	orthologue	GO:0009941;GO:0009507;GO:0005743;GO:0005739;GO:0003674;GO:0005829;GO:0030003	AT3G11560 protein (LETM1-like protein);LETM1-like protein
evm.model.RL_1.1063	427	AT3G11570.1	AT3G11570.1	orthologue	GO:0009507;GO:0016413;GO:0005794;GO:0005743;GO:0005829;GO:0009941;GO:0016020;GO:0016740	AT3G11560 protein (LETM1-like protein);Protein trichome birefringence-like 8
evm.model.RL_1.1064.2.687c87ec.1.687c9a66	279	AT3G11580.3	AT3G11580.3	orthologue	GO:1990837;GO:0019760;GO:0043565;GO:0000976;GO:0005634;GO:0080113;GO:0003700;GO:0048507;GO:0003677;GO:0016020	AP2/B3-like transcriptional factor family protein;B3 domain-containing protein At3g11580 (Protein AUXIN RESPONSE FACTOR 32)
evm.model.RL_1.1065	617	AT3G11590.1	AT3G11590.1	orthologue	GO:0003674;GO:0005634	At3g11590/F24K9_26 (Golgin family A protein);Golgin family A protein
evm.model.RL_1.1066	69	AT3G11591.1	AT3G11591.1	orthologue	GO:0003674;GO:0005575;GO:0008150	Bric-a-brac protein
evm.model.RL_1.1067	110	AT3G11600.1	AT3G11600.1	orthologue	GO:0005634;GO:0005515;GO:0080147	Protein GL2-INTERACTING REPRESSOR 2
evm.model.RL_1.1068	362	AT3G11620.1	AT3G11620.1	orthologue	GO:0005739;GO:0019915;GO:0005811;GO:0016298	Alpha/beta-Hydrolases superfamily protein
evm.model.RL_1.1069	265	AT3G11630.1	AT3G11630.1	orthologue	GO:0008379;GO:0009507;GO:0045454;GO:0140824;GO:0009570;GO:1901149;GO:0010319;GO:0006979;GO:0009579;GO:0042744;GO:0005515;GO:0048046;GO:0009941;GO:0005829;GO:0051920;GO:0009409;GO:0004601;GO:0016209;GO:0016491;GO:0033554	2-Cys peroxiredoxin BAS1, chloroplastic (2-Cys Prx A) (2-Cys peroxiredoxin A) (EC 1.11.1.24) (Thiol-specific antioxidant protein A) (Thioredoxin-dependent peroxiredoxin BAS1)
evm.model.RL_1.107	231	AT3G01170.1	AT3G01170.1	orthologue	GO:0008150;GO:0003674;GO:0005575;GO:0005840;GO:0016020	At3g01170 (Ribosomal protein L34e superfamily protein);Ribosomal protein L34e superfamily protein
evm.model.RL_1.1070	176	AT3G11640.1	AT3G11640.1	orthologue	GO:0005576;GO:0003674	At3g11640 (T19F11.4 protein) (Transmembrane protein);Transmembrane protein
evm.model.RL_1.1071	242	AT3G11650.1	AT3G11650.1	orthologue	GO:0009506;GO:0009507;GO:0005886;GO:0051607;GO:0003674;GO:0098542	NDR1/HIN1-like protein 2
evm.model.RL_1.1072	209	AT3G11660.1	AT3G11660.1	orthologue	GO:0051607;GO:0005886;GO:0003674;GO:0005739;GO:0009506;GO:0098542	NDR1/HIN1-like protein 1
evm.model.RL_1.1073	810	AT3G11670.1	AT3G11670.1	orthologue	GO:0009507;GO:0009867;GO:0009266;GO:0042550;GO:0046480;GO:0019375;GO:0005739;GO:0009707;GO:0031408;GO:0046481;GO:0009809;GO:0016757;GO:0006869;GO:0035250	Digalactosyldiacylglycerol synthase 1, chloroplastic (EC 2.4.1.241)
evm.model.RL_1.1074	420	AT5G56440.1	AT5G56440.1	other	GO:0005634;GO:0008150;GO:0003674;;GO:0005515	Putative FBD-associated F-box protein At5g56440
evm.model.RL_1.1075	438				GO:0004843;GO:0016579;GO:0005634;GO:0005829;GO:0031647	
evm.model.RL_1.1076	409	AT3G11680.2	AT3G11680.2	orthologue	GO:0003674;GO:0009705;GO:0015743;GO:0016020;GO:0034220	Aluminum activated malate transporter family protein;Aluminum-activated malate transporter 8 (AtALMT8)
evm.model.RL_1.1077	507					
evm.model.RL_1.1078	1612				GO:0003676;GO:0015074;GO:0008270	
evm.model.RL_1.1079	117	AT3G11680.2	AT3G11680.2	orthologue	GO:0003674;GO:0009705;GO:0015743;GO:0016020;GO:0034220	Aluminum activated malate transporter family protein;Aluminum-activated malate transporter 8 (AtALMT8)
evm.model.RL_1.108	710	AT3G01160.1	AT3G01160.1	orthologue	GO:0005634;GO:0006364;GO:0003723;GO:0005730	Pre-rRNA-processing ESF1-like protein (T4P13.15 protein)
evm.model.RL_1.1080	250	AT3G11690.1	AT3G11690.1	orthologue	GO:0003674;GO:0005634	At3g11690 (T19F11.9 protein)
evm.model.RL_1.1081	461	AT3G11700.1	AT3G11700.1	orthologue	GO:0003674;GO:0000325;GO:0099503;GO:0005886;GO:0005576	Fasciclin-like arabinogalactan protein 18
evm.model.RL_1.1082	628	AT3G11710.1	AT3G11710.1	orthologue	GO:0006430;GO:0005737;GO:0000049;GO:0005829;GO:0004824;GO:0009506;GO:0003677;GO:0005524;GO:0046872;GO:0000166;GO:0003676;GO:0004812;GO:0006418	Lysine--tRNA ligase, cytoplasmic (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS) (Lysyl-tRNA synthetase 1) (AtKRS-1)
evm.model.RL_1.1083	550	AT3G11720.3	AT3G11720.3	orthologue	GO:0005576;GO:0008150;GO:0003674	At3g11720 (F26K24.1 protein) (Polyketide cyclase/dehydrase and lipid transport superfamily protein);Polyketide cyclase/dehydrase and lipid transport superfamily protein
evm.model.RL_1.1084	202	AT3G11730.1	AT3G11730.1	orthologue	GO:0006886;GO:0000139;GO:0012505;GO:0032588;GO:0030742;GO:0005886;GO:0005515;GO:0003924;GO:0006888;GO:0080115;GO:0005525;GO:0015031	Ras-related protein RABD1 (AtRABD1) (Ras-related protein ATFP8)
evm.model.RL_1.1085	194	AT3G11740.1	AT3G11740.1	orthologue	GO:0005575;GO:0003674	Protein LURP-one-related 10
evm.model.RL_1.1086	229	AT1G10000.1	AT1G10000.1	orthologue	GO:0005575;GO:0004523;GO:0003676	Ribonuclease H-like superfamily protein
evm.model.RL_1.1087	702	AT3G11760.1	AT3G11760.1	orthologue	GO:0005634;GO:0003674	F26K24.5 protein (Structural maintenance of chromosomes flexible hinge domain protein)
