Odontarrhena_muralis	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Om001G000140	250	AT4G17340.1	AT4G17340.1	orthologue	GO:0000325;GO:0009705;GO:0042807;GO:0055085;GO:0015250;GO:0015267;GO:0006833;GO:0016020	Probable aquaporin TIP2-2 (Tonoplast intrinsic protein 2-2) (AtTIP2;2)
Om001G000150	400	AT4G17350.1	AT4G17350.1	orthologue	GO:0005634;GO:0009734;GO:0010305;GO:0005794;GO:0035091;GO:0010087;GO:0007165	At4g17350 (Auxin canalization protein (DUF828))
Om001G000160	315	AT4G17360.1	AT4G17360.1	orthologue	GO:0008864;GO:0046653;GO:0005739;GO:0006189;GO:0009853;GO:0009507;GO:0006730;GO:0016740;GO:0009058	Formyl transferase;Formyltetrahydrofolate deformylase 2, mitochondrial (EC 3.5.1.10)
Om001G000170	362	AT4G17370.1	AT4G17370.1	orthologue	GO:0009507;GO:0008150;GO:0000166;GO:0005576	At4g17370 (Oxidoreductase family protein);Oxidoreductase family protein
Om001G000180	792	AT4G17380.1	AT4G17380.1	orthologue	GO:0010777;GO:0007131;GO:0005634;GO:0000794;GO:0007129;GO:0009506;GO:0043073;GO:0045143;GO:0006298;GO:0030983;GO:0140664;GO:0003690;GO:0005524;GO:0051321	DNA mismatch repair protein MSH4 (AtMSH4) (MutS protein homolog 4);MUTS-like protein 4
Om001G000190	204	AT4G16720.1	AT4G16720.1	orthologue	GO:0003735;GO:0006412;GO:0022626;GO:0022625;GO:0000325;GO:0005829;GO:0002181;GO:0003723;GO:0005737;GO:0003729;GO:0005840	Large ribosomal subunit protein eL15z (60S ribosomal protein L15-1)
Om001G000200	779	AT4G17410.2	AT4G17410.2	orthologue	GO:0061630;GO:0032436;GO:0016567;GO:0006979;GO:1902883;GO:0061659;GO:0005634;GO:0009414;GO:0009651;GO:0010555;GO:0006511;GO:0005515;GO:0042542;GO:0046686;GO:1901562;GO:1902884;GO:0072756;GO:0008270;GO:0006397	DWNN domain, a CCHC-type zinc finger;E3 ubiquitin ligase PARAQUAT TOLERANCE 3 (EC 2.3.2.27)
Om001G000210	285	AT4G17420.1	AT4G17420.1	orthologue	GO:0009507;GO:0030968;GO:0005515;GO:0005783;GO:0000836;GO:1904292	Tryptophan RNA-binding attenuator protein-like protein
Om001G000220	507	AT4G17430.1	AT4G17430.1	orthologue	GO:0005797;GO:0005802;GO:0005794;GO:0005634;GO:0016757;GO:0005768;GO:0006004;GO:0016020	O-fucosyltransferase 30 (O-FucT-30) (EC 2.4.1.-) (O-fucosyltransferase family protein)
Om001G000230	209	AT5G47390.1	AT5G47390.1	other	GO:0006355;GO:0045892;GO:0009737;GO:0009646;GO:0000976;GO:2000377;GO:0090697;GO:0000122;GO:0009723;GO:0030307;GO:0005515;GO:0048366;GO:0005634;GO:0048527;GO:0003700;GO:0010150;GO:0140964;GO:0009739;GO:0008270;GO:0003677	Transcription factor KUA1 (Myb-related protein H) (AtMYBH) (AtMYBS3) (MYBS3-homolog protein) (Protein KUODA1)
Om001G000240	95	AT5G47390.1	AT5G47390.1	other	GO:0006355;GO:0045892;GO:0009737;GO:0009646;GO:0000976;GO:2000377;GO:0090697;GO:0000122;GO:0009723;GO:0030307;GO:0005515;GO:0048366;GO:0005634;GO:0048527;GO:0003700;GO:0010150;GO:0140964;GO:0009739;GO:0008270;GO:0003676	Transcription factor KUA1 (Myb-related protein H) (AtMYBH) (AtMYBS3) (MYBS3-homolog protein) (Protein KUODA1)
Om001G000250	206	AT4G17440.3	AT4G17440.3	orthologue	GO:0005634;GO:0003674	At4g17440 (Chromogranin (DUF1639));Chromogranin (DUF1639)
Om001G000260	87	AT2G36410.1	AT2G36410.1	other	GO:0005634;GO:0005783;GO:0005737;GO:0043565	Expressed protein (Transcriptional activator (DUF662));Transcriptional activator (DUF662)
Om001G000270	274	AT4G17460.1	AT4G17460.1	orthologue	GO:0005515;GO:0048467;GO:0000976;GO:0080127;GO:0010582;GO:0003006;GO:0003700;GO:0005634;GO:0048507;GO:0000981;GO:0003677;GO:0006355;GO:0043565	Homeobox-leucine zipper protein HAT1 (Homeodomain-leucine zipper protein HAT1) (HD-ZIP protein 1)
Om001G000280	306	AT4G17480.1	AT4G17480.1	orthologue	GO:0009507;GO:0005576;GO:0098599;GO:0016787;GO:0016790;GO:0043231	Alpha/beta-Hydrolases superfamily protein
Om001G000290	309	AT4G17480.1	AT4G17480.1	orthologue	GO:0009507;GO:0005576;GO:0098599;GO:0016787;GO:0016790;GO:0043231	Alpha/beta-Hydrolases superfamily protein
Om001G000300	304	AT4G17483.1	AT4G17483.1	orthologue	GO:0009507;GO:0016787;GO:0016790;GO:0043231	Alpha/beta-Hydrolases superfamily protein
Om001G000310	214	AT4G17486.1	AT4G17486.1	orthologue	GO:0009507;GO:0008233;GO:0101005;GO:0006508;GO:0016579;GO:0070646	DeSI-like protein At4g17486 (EC 3.4.-.-);PPPDE putative thiol peptidase family protein
Om001G000320	242	AT4G17490.1	AT4G17490.1	orthologue	GO:0000976;GO:0005634;GO:0003700;GO:0000302;GO:0051301;GO:0009873;GO:0006355;GO:0009624;GO:0005622;GO:0005515;GO:0009644;GO:0010087;GO:0006952;GO:0003677	Ethylene-responsive transcription factor 6 (AtERF6) (Ethylene-responsive element-binding factor 6) (EREBP-6)
Om001G000330	224	AT4G17500.1	AT4G17500.1	orthologue	GO:0006355;GO:0003700;GO:0000976;GO:0003677;GO:0051301;GO:0045893;GO:0009624;GO:0005634;GO:0010087;GO:0005515;GO:0006952;GO:0009873	Ethylene-responsive transcription factor 1A (AtERF1A) (Ethylene-responsive element-binding factor 1A) (EREBP-1A)
Om001G000360	324	AT4G17505.1	AT4G17505.1	orthologue	GO:0008150;GO:0005576;GO:0003674	Carboxyl-terminal proteinase-like protein (DUF239)
Om001G000370	234	AT4G17510.1	AT4G17510.1	orthologue	GO:0005737;GO:0004843;GO:0016579;GO:0006511	Ubiquitin carboxyl-terminal hydrolase 3 (EC 3.4.19.12)
Om001G000380	348	AT4G17520.1	AT4G17520.1	orthologue	GO:0005829;GO:0005634;GO:0005777;GO:0003729;GO:0005737;GO:0006417;GO:0048471;GO:0003723	RGG repeats nuclear RNA binding protein B
Om001G000390	202	AT5G47200.1	AT5G47200.1	orthologue	GO:0005794;GO:0005886;GO:0009860;GO:0005525;GO:0016192;GO:0003924;GO:0005515;GO:0009536;GO:0000139;GO:0015031	Ras-related protein RABD2b (AtRABD2b) (Ras-related protein Rab1A) (AtRab1A)
Om001G000400	290	AT4G17540.1	AT4G17540.1	orthologue	GO:0003674;GO:0008150;GO:0005575	Dynamin
Om001G000410	534	AT4G17550.1	AT4G17550.1	orthologue	GO:0000325;GO:0061513;GO:0009507;GO:0055085;GO:0055062;GO:0016020;GO:0022857	Putative glycerol-3-phosphate transporter 4 (G-3-P transporter 4) (Glycerol-3-phosphate permease 4) (AtG3Pp4) (G-3-P permease 4)
Om001G000420	227	AT4G17560.1	AT4G17560.1	other	GO:0009570;GO:0009941;GO:0009507;GO:0005829;GO:0006412;GO:0003735;GO:0003729;GO:0005840;GO:0019843;GO:1990904	Large ribosomal subunit protein bL19cz (50S ribosomal protein L19-1, chloroplastic)
Om001G000430	364	AT4G17565.1	AT4G17565.1	orthologue	GO:0008150;GO:0003674;GO:0005634;;GO:0005515	Putative F-box protein At4g17565
Om001G000440	514	AT4G17570.2	AT4G17570.2	orthologue	GO:0006355;GO:0000976;GO:0005634;GO:0003700;GO:0043565;GO:0008270	GATA transcription factor 26
Om001G000450	455	AT4G17750.1	AT4G17750.1	orthologue	GO:0005634;GO:0006355;GO:0034605;GO:0000978;GO:0009408;GO:0006357;GO:0003700;GO:0003677;GO:0005515;GO:0043565;GO:0005737	Heat stress transcription factor A-1a (AtHsfA1a) (AtHsf-13) (Heat shock factor protein 1) (HSF 1) (Heat shock transcription factor 1) (HSTF 1)
Om001G000470	75					
Om001G000490	428	AT4G17740.1	AT4G17740.1	orthologue	GO:0009543;GO:0004252;GO:0004175;GO:0009579;GO:0005576;GO:0031977;GO:0008233;GO:0005739;GO:0006508;GO:0008236;GO:0005515	Carboxyl-terminal-processing peptidase 2, chloroplastic (EC 3.4.21.102) (D1 C-terminal processing protease 2) (Photosystem II D1 protein processing peptidase 2)
Om001G000500	373	AT4G17750.1	AT4G17750.1	orthologue	GO:0005634;GO:0006355;GO:0034605;GO:0000978;GO:0009408;GO:0006357;GO:0003700;GO:0003677;GO:0005515;GO:0043565;GO:0005737	Heat stress transcription factor A-1a (AtHsfA1a) (AtHsf-13) (Heat shock factor protein 1) (HSF 1) (Heat shock transcription factor 1) (HSTF 1)
Om001G000520	95					
Om001G000530	135					
Om001G000540	418	AT2G31290.1	AT2G31290.1	orthologue	GO:0008150;GO:0005739;GO:0003723;GO:0016787	Ubiquitin carboxyl-terminal hydrolase family protein
Om001G000550	766	AT1G28060.1	AT1G28060.1	orthologue	GO:0000398;GO:0003674;GO:0005654;GO:0005634;GO:0046540;GO:0009793;GO:0080188	Protein RDM16 (Pre-mRNA-splicing factor RDM16) (Protein RNA-directed DNA methylation 16)
Om001G000560	1808	AT4G17610.1	AT4G17610.1	orthologue	GO:0016423;GO:0030488;GO:0003723;GO:0009507;GO:0001510;GO:0006396;GO:0008173	tRNA (guanosine(18)-2'-O)-methyltransferase TARBP1 (EC 2.1.1.34) (TAR RNA-binding protein 1)
Om001G000570	284					
Om001G000580	213	AT4G17615.3	AT4G17615.3	orthologue	GO:0005515;GO:0009738;GO:0009651;GO:0005886;GO:0009860;GO:0090406;GO:0016036;GO:0005737;GO:0010118;GO:1990573;GO:0006970;GO:0009409;GO:0019900;GO:0009414;GO:0005509;GO:0019722;GO:0005829;GO:0016020	Calcineurin B-like protein;Calcineurin B-like protein 1 (SOS3-like calcium-binding protein 5)
Om001G000590	675	AT4G17616.1	AT4G17616.1	orthologue	GO:0005739;GO:0003674;;GO:0005515	Pentatricopeptide repeat-containing protein At4g17616
Om001G000600	545	AT4G17620.1	AT4G17620.1	orthologue	GO:0000956;GO:0009507;GO:0110155;GO:0000175;GO:0034353;GO:0003723;GO:0005829;GO:0016787;GO:0005634;GO:0004534;GO:0110154;GO:0000166;GO:0005737;GO:0046872;GO:0110152;GO:0004518	Decapping nuclease (EC 3.6.1.-);NAD-capped RNA hydrolase DXO1 (DeNADding enzyme DXO1) (EC 3.6.1.-)
Om001G000610	281	AT4G17640.1	AT4G17640.1	orthologue	GO:0005956;GO:0005829;GO:0006468;GO:0005634;GO:0019887;GO:0005737;GO:0016301	Casein kinase II subunit beta (CK II beta);Casein kinase II subunit beta-2 (CK II beta-2)
Om001G000620	251	AT4G17650.1	AT4G17650.1	orthologue	GO:0045333;GO:0048039;GO:0005739	Polyketide cyclase / dehydrase and lipid transport protein
Om001G000630	388	AT4G17660.1	AT4G17660.1	orthologue	GO:0004674;GO:0044024;GO:0005829;GO:0006468;GO:0016310;GO:0005524;GO:0005886;GO:0006952;GO:0106310;GO:0004672	Probable serine/threonine-protein kinase PBL20 (EC 2.7.11.1) (PBS1-like protein 20)
Om001G000640	143	AT4G17670.1	AT4G17670.1	orthologue	GO:0019900;GO:0005634;GO:0009744;GO:1905582;GO:0009749;GO:0042594;GO:0008270	FCS-Like Zinc finger 2
Om001G000650	328	AT4G17690.1	AT4G17690.1	orthologue	GO:0140825;GO:0020037;GO:0006979;GO:0005576;GO:0042744;GO:0046872;GO:0004601	Peroxidase 41 (Atperox P41) (EC 1.11.1.7)
Om001G000660	299	AT4G17695.1	AT4G17695.1	orthologue	GO:0005739;GO:0000976;GO:0010158;GO:0006355;GO:0003700;GO:0005634;GO:0003677	Probable transcription factor KAN3 (Protein KANADI 3)
Om001G000670	713	AT4G17710.1	AT4G17710.1	orthologue	GO:0005634;GO:0000981;GO:0008150;GO:0003700;GO:0008289;GO:0005515;GO:0003677;GO:0006355	Homeobox-leucine zipper protein HDG4 (HD-ZIP protein HDG4) (Homeodomain GLABRA 2-like protein 4) (Homeodomain transcription factor HDG4) (Protein HOMEODOMAIN GLABROUS 4)
Om001G000680	313	AT4G17720.1, AT5G46870.1	AT4G17720.1	orthologue	GO:0050832;GO:0005515;GO:0005634;GO:0005886;GO:0009536;GO:0006364;GO:0071226;GO:0005829;GO:0034051;GO:0003723;GO:0003676	At5g46870 (RNA-binding (RRM/RBD/RNP motifs) family protein);Putative RRM-containing protein (Putative splicing regulatory protein) (RNA-binding (RRM/RBD/RNP motifs) family protein)
Om001G000690	280	AT4G17730.2	AT4G17730.2	orthologue	GO:0016192;GO:0005829;GO:0061025;GO:0005484;GO:0006886;GO:0006906;GO:0000325;GO:0048278;GO:0016020;GO:0031201;GO:0009597;GO:0000149;GO:0012505;GO:0005634	AT4G17730 protein (Syntaxin of plants 23);Syntaxin-23 (AtPLP) (AtSYP23) (AtPEP12-like protein)
Om001G000700	512	AT4G17740.1	AT4G17740.1	orthologue	GO:0009543;GO:0004252;GO:0004175;GO:0009579;GO:0005576;GO:0031977;GO:0008233;GO:0005739;GO:0006508;GO:0008236;GO:0005515	Carboxyl-terminal-processing peptidase 2, chloroplastic (EC 3.4.21.102) (D1 C-terminal processing protease 2) (Photosystem II D1 protein processing peptidase 2)
Om001G000710	424	AT4G17750.1	AT4G17750.1	orthologue	GO:0005634;GO:0006355;GO:0034605;GO:0000978;GO:0009408;GO:0006357;GO:0003700;GO:0003677;GO:0005515;GO:0043565;GO:0005737	Heat stress transcription factor A-1a (AtHsfA1a) (AtHsf-13) (Heat shock factor protein 1) (HSF 1) (Heat shock transcription factor 1) (HSTF 1)
Om001G000720	298	AT4G17760.1	AT4G17760.1	orthologue	GO:0003674;GO:0005634;GO:0006281;GO:0000077;GO:0030896	At4g17760 (PCNA domain-containing protein) (Rad1-like protein);PCNA domain-containing protein (Rad1-like protein)
Om001G000750	86					
Om001G000770	198					
Om001G000780	279	AT4G17730.2	AT4G17730.2	orthologue	GO:0016192;GO:0005829;GO:0061025;GO:0005484;GO:0006886;GO:0006906;GO:0000325;GO:0048278;GO:0016020;GO:0031201;GO:0009597;GO:0000149;GO:0012505;GO:0005634	AT4G17730 protein (Syntaxin of plants 23);Syntaxin-23 (AtPLP) (AtSYP23) (AtPEP12-like protein)
Om001G000800	365					
Om001G000810	858	AT4G17770.1	AT4G17770.1	orthologue	GO:0005992;GO:0016757;GO:0009507;GO:0003824;GO:0004805;GO:0005829	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 5 (EC 2.4.1.15) (Trehalose-6-phosphate synthase 5) (AtTPS5)
Om001G000820	390	AT3G25550.1	AT3G25550.1	other	GO:0031146;GO:0004842;GO:0005739;;GO:0005515	Probable F-box protein At3g25550
Om001G000830	90	AT4G17770.1	AT4G17770.1	other	GO:0005992;GO:0016757;GO:0009507;GO:0003824;GO:0004805;GO:0005829	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 5 (EC 2.4.1.15) (Trehalose-6-phosphate synthase 5) (AtTPS5)
Om001G000850	300					
Om001G000870	152	AT5G22800.2	AT5G22800.2	other	GO:0009793;GO:0009570;GO:0006419;GO:0009507;GO:0005739;GO:0004813;GO:0005829;GO:0002161;GO:0000049;GO:0005524;GO:0008270;GO:0016020;GO:0000166	Alanine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein EMBRYO DEFECTIVE 1030) (Protein EMBRYO DEFECTIVE 263) (Protein EMBRYO DEFECTIVE 86);Probable alanine--tRNA ligase, chloroplastic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)
Om001G000880	121	AT5G22800.2	AT5G22800.2	other	GO:0009793;GO:0009570;GO:0006419;GO:0009507;GO:0005739;GO:0004813;GO:0005829;GO:0002161;GO:0000049;GO:0005524;GO:0008270;GO:0016020;GO:0000166	Alanine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein EMBRYO DEFECTIVE 1030) (Protein EMBRYO DEFECTIVE 263) (Protein EMBRYO DEFECTIVE 86);Probable alanine--tRNA ligase, chloroplastic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)
Om001G000890	361	AT4G17785.1	AT4G17785.1	orthologue	GO:2000762;GO:0005634;GO:0006355;GO:0045893;GO:0003700;GO:0005515;GO:0010345;GO:0048226;GO:0003677	Transcription factor MYB39 (Myb-related protein 39) (AtMYB39)
Om001G000910	261	AT4G17790.1	AT4G17790.1	orthologue	GO:0000045;GO:0005575;GO:0003674;GO:0016020	SNARE associated Golgi protein family
Om001G000920	203					
Om001G000930	303	AT4G17800.1	AT4G17800.1	orthologue	GO:0003680;GO:0003700;GO:0005737;GO:0005634	AT-hook motif nuclear-localized protein 23
Om001G000940	194	AT4G17810.1	AT4G17810.1	orthologue	GO:0006355;GO:1902890;GO:0000987;GO:0048766;GO:0005634;GO:0043565;GO:0003700;GO:0008270	At4g17810 (C2H2 and C2HC zinc fingers superfamily protein);C2H2 and C2HC zinc fingers superfamily protein
Om001G000950	438	AT4G17830.2	AT4G17830.2	orthologue	GO:0008777;GO:0006526;GO:0005829;GO:0009507;GO:0006592;GO:0046872;GO:0016787	Acetylornithine deacetylase (EC 3.5.1.16) (N-acetylornithinase);Acetylornithine deacetylase (EC 3.5.1.16) (N-acetylornithinase) (AO) (Acetylornithinase) (NAO)
Om001G000960	415	AT4G17840.1	AT4G17840.1	orthologue	GO:0071586;GO:0004222;GO:0009507;GO:0004175;GO:0006508;GO:0016020;GO:0080120	At4g17840 (CAAX protease self-immunity protein)
Om001G000970	362	AT4G17860.1	AT4G17860.1	orthologue	GO:0003674;GO:0005737;GO:0008150	Carboxyl-terminal proteinase-like protein, putative (DUF239)
Om001G000980	199	AT4G17870.1	AT4G17870.1	orthologue	GO:0005515;GO:0009705;GO:0009738;GO:0010427;GO:0005737;GO:1902584;GO:0005829;GO:0004864;GO:0042803;GO:0038023;GO:0005634;GO:0042802;GO:0019207;GO:0005886;GO:0044389;GO:0062049	Abscisic acid receptor PYR1 (ABI1-binding protein 6) (Protein PYRABACTIN RESISTANCE 1) (Regulatory components of ABA receptor 11)
Om001G001010	547	AT4G17880.1	AT4G17880.1	orthologue	GO:0005634;GO:0005515;GO:0003700;GO:0006355;GO:0046983;GO:0106167;GO:0000976;GO:0010374;GO:2000652;GO:0045893;GO:0009718;GO:0043425;GO:0006952;GO:0003677	Transcription factor MYC4 (AtMYC4) (Basic helix-loop-helix protein 4) (AtbHLH4) (bHLH 4) (Transcription factor EN 37) (bHLH transcription factor bHLH004)
Om001G001020	416	AT4G17890.1	AT4G17890.1	orthologue	GO:0005634;GO:0048205;GO:0003674;GO:0005096;GO:0008270	Probable ADP-ribosylation factor GTPase-activating protein AGD8 (ARF GAP AGD8) (Protein ARF-GAP DOMAIN 8) (AtAGD8)
Om001G001030	588	AT4G17895.1	AT4G17895.1	orthologue	GO:0005634;GO:0005829;GO:0004843;GO:0031647;GO:0006508;GO:0016579	Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (AtUBP20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20)
Om001G001040	227	AT4G17900.1	AT4G17900.1	orthologue	GO:0003674;GO:0005634;GO:0005739	At4g17900 (PLATZ transcription factor family protein);PLATZ transcription factor family protein
Om001G001050	301	AT4G17905.2	AT4G17905.2	orthologue	GO:0016740;GO:0016567;GO:0009507;GO:0005634;GO:0008270;GO:0016020;GO:0061630	Putative RING-H2 finger protein ATL53 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL53);RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Om001G001060	400	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT1G10000.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
Om001G001070	468	AT4G17910.4	AT4G17910.4	orthologue	GO:0005739;GO:0006506;GO:0032216;GO:0008374;GO:0016020;GO:0016746;GO:0005783;GO:0072659	Transferases, transferring acyl groups;Uncharacterized protein At4g17910
Om001G001080	463	AT5G46680.1	AT5G46680.1	other	GO:0003729;GO:0005739;;GO:0005515	Pentatricopeptide repeat-containing protein At5g46680
Om001G001090	297	AT4G17920.1	AT4G17920.1	orthologue	GO:0005737;GO:0003674;GO:0016567;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL29 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL29)
Om001G001100	265	AT4G17940.1	AT4G17940.1	orthologue	GO:0003674;GO:0009507;;GO:0005515	Tetratricopeptide repeat (TPR)-like superfamily protein
Om001G001110	428	AT4G17950.1	AT4G17950.1	orthologue	GO:0005515;GO:0003680;GO:0005575;GO:0005634;GO:0003677	AT-hook motif nuclear-localized protein 13 (AT-hook protein 2)
Om001G001120	155	AT4G17960.1	AT4G17960.1	orthologue	GO:0008150;GO:0005737;GO:0003674;GO:0004601	Phospholipid hydroperoxide glutathione peroxidase
Om001G001130	196	AT3G04320.2, AT3G04330.1	AT3G04320.2	other	GO:0003674;GO:0005576;GO:0008150;GO:0005575;GO:0004867;GO:0004866	Kunitz trypsin inhibitor 6 (AtKTI6);Kunitz trypsin inhibitor 7 (AtKTI7)
Om001G001140	550	AT4G17970.1	AT4G17970.1	orthologue	GO:0009705;GO:0008509;GO:0010118;GO:0015743;GO:0012505;GO:0005886	Aluminum-activated malate transporter 12 (AtALMT12) (Quick anion channel 1)
Om001G001150	299	AT4G17700.1	AT4G17700.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein At4g17700
Om001G001160	299	AT4G17700.1	AT4G17700.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein At4g17700
Om001G001170	291	AT4G17700.1	AT4G17700.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein At4g17700
Om001G001200	231					
Om001G001210	316	AT4G17700.1	AT4G17700.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein At4g17700
Om001G001250	123	AT4G17970.1	AT4G17970.1	orthologue	GO:0009705;GO:0008509;GO:0010118;GO:0015743;GO:0012505;GO:0005886	Aluminum-activated malate transporter 12 (AtALMT12) (Quick anion channel 1)
Om001G001260	99	AT4G17970.1	AT4G17970.1	other	GO:0009705;GO:0008509;GO:0010118;GO:0015743;GO:0012505;GO:0005886	Aluminum-activated malate transporter 12 (AtALMT12) (Quick anion channel 1)
Om001G001270	293	AT4G17700.1	AT4G17700.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein At4g17700
Om001G001280	290	AT4G17700.1	AT4G17700.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein At4g17700
Om001G001290	299	AT4G17700.1	AT4G17700.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein At4g17700
Om001G001300	305	AT4G17700.1	AT4G17700.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein At4g17700
Om001G001310	193	AT3G44750.1	AT3G44750.1	orthologue	GO:0009944;GO:0004407;GO:0005515;GO:0010162;GO:0048364;GO:0005730;GO:0005634;GO:0009294;GO:0006325;GO:0008270;GO:0016787	Histone deacetylase 3;Histone deacetylase HDT1 (HD-tuins protein 1) (Histone deacetylase 2a) (AtHD2A)
Om001G001320	641	AT4G18010.1	AT4G18010.1	orthologue	GO:0046856;GO:0004445;GO:0005737;GO:0052658;GO:0009737;GO:0005515;GO:0004439;GO:0032957;GO:0034485;GO:0090351;GO:0009845;GO:0052659;GO:0009738;GO:0016791	Myo-inositol polyphosphate 5-phosphatase 2;Type I inositol polyphosphate 5-phosphatase 2 (At5PTase2) (EC 3.1.3.56)
Om001G001330	473					
Om001G001340	533	AT4G18020.1	AT4G18020.1	orthologue	GO:0000976;GO:0005737;GO:0005515;GO:0045893;GO:0003700;GO:0005634;GO:0000156;GO:0007623;GO:0000160;GO:0003677	Two-component response regulator-like APRR2 (Pseudo-response regulator 2) (TOC2 protein)
Om001G001350	632	AT4G18030.1	AT4G18030.1	orthologue	GO:0005802;GO:0005797;GO:0005768;GO:0005794;GO:0005829;GO:0000325;GO:0005737;GO:0009505;GO:0005634;GO:0000139;GO:0008168;GO:0032259	Probable methyltransferase PMT14 (EC 2.1.1.-)
