Cochlearia_excelsa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
g10049	369	AT5G25265.1	AT5G25265.1	orthologue	GO:1990585;GO:0005801;GO:0005797;GO:0005802;GO:0005794;GO:0016757;GO:0009536;GO:0000325;GO:0005886;GO:0005768	Hydroxyproline O-arabinosyltransferase 1 (EC 2.4.2.58)
g1005	537	AT5G55220.1	AT5G55220.1	orthologue	GO:0061077;GO:0051083;GO:0006457;GO:0044183;GO:0043022;GO:0015031;GO:0009941;GO:0009570;GO:0009536;GO:0003755;GO:0009507;GO:0043335;GO:0003729	Trigger factor-like protein TIG, Chloroplastic (EC 5.2.1.8) (Immunophilin TIG) (Peptidyl-prolyl cis-trans isomerase TIG) (PPIase TIG) (Rotamase)
g10050	205	AT2G47840.1	AT2G47840.1	orthologue	GO:0009941;GO:0009706;GO:0009507;GO:0005829;GO:0003674;GO:0009536;GO:0015031	Protein TIC 20-II, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 20-II) (AtTIC20-II)
g10051	633	AT5G25270.1	AT5G25270.1	orthologue	GO:0036503;GO:0051787;GO:0005634;GO:0031593;GO:0071818;GO:0005515	Ubiquitin-like superfamily protein
g10052	210	AT5G11090.1, AT5G25280.1	AT5G25280.1	other	GO:0005515;GO:0000049;GO:0005634;GO:0009611;GO:0009737;GO:0009751;GO:0009753	AT5g25280/F18G18_20 (Serine-rich protein-like protein);At5g11090 (Serine-rich protein)
g10053	80					
g10054	214	ATMG00860.1	ATMG00860.1	other	GO:0003674;GO:0005739;GO:0008150	Uncharacterized mitochondrial protein AtMg00860 (ORF158)
g10055	1049	AT5G11110.1	AT5G11110.1	other	GO:0005634;GO:0010208;GO:0005986;GO:0016157;GO:0046524;GO:0071836;GO:0005985;GO:0016757	Probable sucrose-phosphate synthase 2 (EC 2.4.1.14) (Protein KAONASHI 2) (Sucrose-phosphate synthase 2F) (AtSPS2F) (Sucrose-phosphate synthase 5.2) (AtSPS5.2) (UDP-glucose-fructose-phosphate glucosyltransferase)
g10056	196	AT2G30360.1	AT2G30360.1	other	GO:0004674;GO:0009738;GO:0009268;GO:0007165;GO:0005515;GO:0005634;GO:0044024;GO:0004672;GO:0006468;GO:0051592;GO:0005524;GO:0106310	CBL-interacting serine/threonine-protein kinase 11 (EC 2.7.11.1) (SNF1-related kinase 3.22) (SOS2-like protein kinase PKS5) (SOS3-interacting protein 4)
g10057	492	AT5G25310.1	AT5G25310.1	other	GO:0006486;GO:0005575;GO:0003674;GO:0000139;GO:0016757;GO:0071555;GO:0009101	Probable glycosyltransferase At5g25310 (EC 2.4.-.-)
g10058	211	AT5G25340.1	AT5G25340.1	orthologue	GO:0000398;GO:0005634;GO:0003674	Ubiquitin-like superfamily protein
g10059	632	AT5G25350.1	AT5G25350.1	orthologue	GO:0031146;GO:0006511;GO:0019005;GO:0010105;GO:0009723;GO:0009507;GO:0016567;GO:0005515;GO:0005634;GO:0009873	EIN3-binding F-box protein 2
g1006	591	AT5G55230.2	AT5G55230.2	orthologue	GO:0043622;GO:0005634;GO:0010005;GO:0007020;GO:0001578;GO:0048528;GO:0046785;GO:0009574;GO:0046983;GO:0005515;GO:0000911;GO:0008017;GO:0009536;GO:0009524;GO:0055028;GO:0031116;GO:0000226;GO:0072686;GO:0005819;GO:0005874;GO:0005737;GO:0016049;GO:0005938;GO:0051301	65-kDa microtubule-associated protein 1 (AtMAP65-1);Microtubule-associated proteins 65-1
g10060	154	AT4G32342.2	AT4G32342.2	orthologue	GO:0008150;GO:0003674;GO:0005634	Gag1-like clamp domain-containing protein
g10061	113					
g10062	828	AT5G25370.1	AT5G25370.1	orthologue	GO:0004630;GO:0009395;GO:0009737;GO:0046466;GO:0070290;GO:0046470;GO:0009414;GO:0016020;GO:0009651;GO:0005509;GO:0005886;GO:0005737;GO:0016042;GO:0003824	Phospholipase D (EC 3.1.4.4);Phospholipase D alpha 3 (AtPLDalpha3) (PLD alpha 3) (EC 3.1.4.4)
g10063	194	AT2G39320.1	AT2G39320.1	orthologue	GO:0006508;GO:0004843;GO:0005737;GO:0005634;GO:0016579	Putative OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 8 (OTU domain-containing protein 8) (EC 3.4.19.12) (Deubiquitinating enzyme OTU8)
g10064	363	AT5G25610.1	AT5G25610.1	orthologue	GO:0009651;GO:0009269;GO:0009737;GO:0003729;GO:0045735;GO:0005802;GO:0005768;GO:0005576;GO:0005794	BURP domain protein RD22 (Dehydration-responsive protein RD22)
g10065	746	AT5G25590.1	AT5G25590.1	orthologue	GO:0005634;GO:0003674;GO:0016874	DNA ligase (DUF630 and DUF632)
g10066	97	AT5G25570.3	AT5G25570.3	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0009507	At5g25570 (Polyamine-modulated factor 1-binding protein);Polyamine-modulated factor 1-binding protein
g10067	458	AT5G25550.1	AT5G25550.1	orthologue	GO:0005575;GO:0008150;GO:0005199;GO:0005576;GO:0071555;GO:0005515	Leucine-rich repeat extensin-like protein 7 (AtLRX7) (LRR/EXTENSIN7) (Cell wall hydroxyproline-rich glycoprotein)
g10068	238	AT5G25540.1	AT5G25540.1	orthologue	GO:0043130;GO:0005634	AT5G25540 protein (CTC-interacting domain 6);Polyadenylate-binding protein-interacting protein 6 (PABP-interacting protein 6) (Poly(A)-binding protein-interacting protein 6) (PAM2-containing protein CID6) (Protein CTC-INTERACTING DOMAIN 6)
g10069	499	AT5G25510.1	AT5G25510.1	orthologue	GO:0005737;GO:0005515;GO:0000159;GO:0007165;GO:0019888	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' kappa isoform (AtB' kappa) (PP2A, B' subunit, kappa isoform)
g1007	78	AT5G55240.1	AT5G55240.1	orthologue	GO:0004497;GO:0005509;GO:0071614;GO:0004392;GO:0031408;GO:0006952;GO:1990137;GO:0005811	Peroxygenase 2 (AtPXG2) (EC 1.11.2.3) (Caleosin-2) (Embryo-specific protein 2) (Putative embryo-specific protein 1 (ATS2))
g10070	420	AT5G25500.1	AT5G25500.1	orthologue	GO:0005739;GO:0003674;GO:0000373;GO:0004527	Exosome complex exonuclease
g10071	165	AT5G25490.1	AT5G25490.1	orthologue	GO:0005737;GO:0005634;GO:0003729;GO:0008270;GO:0003723;GO:0006355	Ran BP2/NZF zinc finger-like superfamily protein
g10072	281	AT5G25640.1	AT5G25640.1	orthologue	GO:0004252;GO:0008150;GO:0005575;GO:0006508;GO:0016020	Rhomboid-related intramembrane serine protease family protein
g10073	271	AT5G25410.1, AT5G25415.1, AT5G60380.1	AT5G25410.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005576	AT5g25410/F18G18_150 (Transmembrane protein, putative (DUF239));Neprosin PEP catalytic domain-containing protein;Transmembrane protein, putative (DUF239)
g10074	523	AT5G25757.1, AT5G25754.1	AT5G25757.1	orthologue	GO:0005634;GO:0009506;GO:0003729;GO:0009536;GO:0005852;GO:0006413;GO:0003674;GO:0001732;GO:0003743;GO:0016282;GO:0033290;GO:0005737	Eukaryotic translation initiation factor 3 subunit L (eIF3l)
g10075	157	AT5G25760.1	AT5G25760.1	orthologue	GO:0007031;GO:0061631;GO:0005739;GO:0016567;GO:0004842;GO:0016558;GO:0005634;GO:0006635;GO:0000209;GO:0005515;GO:0005524;GO:0005778	Protein PEROXIN-4 (AtPEX4) (E2 ubiquitin-conjugating enzyme 21) (Probable ubiquitin-conjugating enzyme E2 21) (EC 2.3.2.23) (Ubiquitin carrier protein 21)
g10076	344				GO:0005634;GO:0006355	
g10077	572	AT5G25800.2	AT5G25800.2	orthologue	GO:0005634;GO:0031125;GO:0004527;GO:0003676;GO:0016740	Polynucleotidyl transferase, ribonuclease H-like superfamily protein;Small RNA degrading nuclease 5 (EC 3.1.-.-)
g10078	210	AT5G25810.1	AT5G25810.1	orthologue	GO:0006355;GO:0005634;GO:0000976;GO:0009825;GO:0003700;GO:0003677	Ethylene-responsive transcription factor TINY
g10079	118					
g1008	907	AT5G55300.2	AT5G55300.2	orthologue	GO:0006265;GO:0006338;GO:0005634;GO:0005515;GO:0009793;GO:0009791;GO:1905393;GO:0003917;GO:0010075;GO:0019827;GO:0005730;GO:0007059;GO:0009965;GO:0005694;GO:0048439;GO:0010016;GO:0009933;GO:0006260;GO:0003677	DNA topoisomerase (EC 5.6.2.1);DNA topoisomerase 1 alpha (EC 5.6.2.1) (DNA topoisomerase 1) (DNA topoisomerase I) (Protein FASCIATA 5) (Protein MGOUN1);DNA topoisomerase I (EC 5.6.2.1) (DNA topoisomerase 1)
g10080	534				GO:0015074;GO:0003676	
g10081	164					
g10082	271					
g10083	336					
g10084	99					
g10085	596	AT5G25820.1	AT5G25820.1	orthologue	GO:0006486;GO:0003674;GO:0005575;GO:0000139;GO:0016757;GO:0009101	Exostosin family protein (Glycosyltransferase)
g10086	506	AT5G25900.1	AT5G25900.1	orthologue	GO:0009686;GO:0016709;GO:0009507;GO:0005783;GO:0009707;GO:0010241;GO:0005506;GO:0052615;GO:0020037;GO:0009740;GO:0019825;GO:0004497;GO:0016705	Ent-kaurene oxidase, chloroplastic (AtKO1) (EC 1.14.14.86) (Cytochrome P450 701A3)
g10087	1011	AT5G25930.1	AT5G25930.1	orthologue	GO:0005886;GO:0016301;GO:0004672;GO:0005515;GO:0005524;GO:0006468	Kinase family with leucine-rich repeat domain-containing protein (Leucine-rich repeat receptor-like protein kinase) (Putative receptor protein kinase) (T1N24.22 protein)
g10088	339	AT1G74090.1	AT1G74090.1	other	GO:0019761;GO:0047364;GO:0005737;GO:0120527;GO:0051923;GO:0008146	Cytosolic sulfotransferase 18 (AtSOT18) (EC 2.8.2.38) (Desulfo-glucosinolate sulfotransferase B) (Sulfotransferase 5B) (AtST5b)
g10089	270	AT5G26000.1	AT5G26000.1	orthologue	GO:0005576;GO:0019762;GO:0019137;GO:0009507;GO:0002213;GO:0009737;GO:0022626;GO:0005777;GO:0009625;GO:0009579;GO:0048046;GO:0099503;GO:0008422;GO:0000325;GO:0009536;GO:0010119;GO:0005975;GO:0009738;GO:0046872;GO:0004553	Myrosinase 1 (EC 3.2.1.147) (Beta-glucosidase 38) (AtBGLU38) (EC 3.2.1.21) (Sinigrinase 1) (Thioglucosidase 1)
g1009	107	AT1G34490.1, AT1G34520.1, AT5G55320.1, AT1G34500.1, AT5G55330.1	AT5G55320.1	other	GO:0005739;GO:0008150;GO:0047196;GO:0009579;GO:0005575;GO:0006629;GO:0016020	Probable long-chain-alcohol O-fatty-acyltransferase 6 (EC 2.3.1.75) (Wax synthase 6);Probable long-chain-alcohol O-fatty-acyltransferase 7 (EC 2.3.1.75) (Wax synthase 7);Probable long-chain-alcohol O-fatty-acyltransferase 8 (EC 2.3.1.75) (Wax synthase 8);Probable long-chain-alcohol O-fatty-acyltransferase 9 (EC 2.3.1.75) (Wax synthase 9);Putative long-chain-alcohol O-fatty-acyltransferase 10 (EC 2.3.1.75) (Wax synthase 10)
g10090	635	ATMG00240.1	ATMG00240.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005739;GO:0003676	Uncharacterized mitochondrial protein AtMg00240 (ORF111a)
g10091	237	AT5G25980.2	AT5G25980.2	other	GO:0005975;GO:0009507;GO:0048046;GO:0000325;GO:0002213;GO:0022626;GO:0005576;GO:0009737;GO:0008422;GO:0019762;GO:0005777;GO:0009536;GO:0019137;GO:0099503;GO:0009506;GO:0010119;GO:0009738;GO:0004553	Myrosinase 2 (EC 3.2.1.147) (Beta-glucosidase 37) (AtBGLU37) (Sinigrinase 2) (Thioglucosidase 2)
g10092	541	AT5G25980.2	AT5G25980.2	orthologue	GO:0005975;GO:0009507;GO:0048046;GO:0000325;GO:0002213;GO:0022626;GO:0005576;GO:0009737;GO:0008422;GO:0019762;GO:0005777;GO:0009536;GO:0019137;GO:0099503;GO:0009506;GO:0010119;GO:0009738;GO:0004553	Myrosinase 2 (EC 3.2.1.147) (Beta-glucosidase 37) (AtBGLU37) (Sinigrinase 2) (Thioglucosidase 2)
g10093	447	AT5G26030.1	AT5G26030.1	orthologue	GO:0009536;GO:0009507;GO:0006783;GO:0006979;GO:0004325;GO:0005739;GO:0033014;GO:0009535;GO:0031969	Ferrochelatase-1, chloroplastic/mitochondrial (AtFC1) (EC 4.98.1.1) (Ferrochelatase-I) (AtFC-I) (Heme synthase 1) (Protoheme ferro-lyase 1)
g10094	144	AT5G26050.1	AT5G26050.1	orthologue	GO:0008150;GO:0003674;GO:0005576;GO:0060320	S-protein homolog 13
g10095	132	AT5G26060.1	AT5G26060.1	orthologue	GO:0005576;GO:0008150;GO:0003674;GO:0060320	S-protein homolog 12
g10096	158	AT5G26090.2	AT5G26090.2	orthologue	GO:0005634;GO:0008150;GO:0003674;GO:0005576;GO:0060320	Plant self-incompatibility protein S1 family
g10097	116	AT3G44170.1	AT3G44170.1	other	GO:0005576;GO:0008150;GO:0003674	Plant self-incompatibility protein S1 family protein
g10098	259	AT5G26210.1	AT5G26210.1	orthologue	GO:0000976;GO:0035064;GO:0003712;GO:0005634;GO:0006355;GO:0006325;GO:0008270;GO:0042393	PHD finger protein ALFIN-LIKE 4 (Protein AL4)
g10099	508	AT5G26250.1	AT5G26250.1	orthologue	GO:0015145;GO:0009507;GO:0005886;GO:0015749;GO:0015144;GO:0090406;GO:0015293;GO:0016020;GO:0022857;GO:0055085	Sugar transport protein 8 (Hexose transporter 8)
g101	896	AT5G67470.1, AT3G25493.1	AT5G67470.1	orthologue	GO:0005634;GO:0005819;GO:0045010;GO:0003779;GO:0005730;GO:0051015;GO:0009524;GO:0009505;GO:0005737;GO:0005575;GO:0016020;GO:0030036	Formin-like protein;Formin-like protein 6 (AtFH6) (AtFORMIN-6)
g1010	317	AT5G55370.1	AT5G55370.1	orthologue	GO:0047196;GO:0005575;GO:0006629;GO:0016020;GO:0008374	Probable long-chain-alcohol O-fatty-acyltransferase 2 (EC 2.3.1.75) (Wax synthase 2)
g10100	186	AT5G26330.1	AT5G26330.1	orthologue	GO:0016020;GO:0005886;GO:0009055;GO:0098552	At5g26330 (Copper binding protein-like, predicted GPI-anchored protein) (Cupredoxin superfamily protein) (F9D12.16 protein)
g10101	117	AT5G26570.1	AT5G26570.1	other	GO:0051752;GO:0009507;GO:0009570;GO:2001070;GO:0009536;GO:0005983;GO:0019200;GO:0005982;GO:0046777;GO:0005524;GO:0046872;GO:0016301;GO:0030246	Chloroplastidic phosphoglucan, water dikinase (ATGWD3);Phosphoglucan, water dikinase, chloroplastic (EC 2.7.9.5)
g10102	155					
g10103	209	AT5G26667.1	AT5G26667.1	other	GO:0004127;GO:0046705;GO:0006225;GO:0006207;GO:0033862;GO:0046050;GO:0005737;GO:0006221;GO:0005829;GO:0005634;GO:0005524;GO:0009173;GO:0009041;GO:0009536;GO:0036430;GO:0036431;GO:0016776;GO:0006139;GO:0019205	UMP-CMP kinase 3 (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)
g10104	766	AT5G26742.2	AT5G26742.2	orthologue	GO:0009570;GO:0005737;GO:0009658;GO:0009507;GO:0008270;GO:0000373;GO:0009651;GO:0009793;GO:0005634;GO:0042254;GO:0009941;GO:0003723;GO:0003729;GO:0003724;GO:0009536;GO:0005524;GO:0016887;GO:0016787;GO:0004386;GO:0003676;GO:0005829	DEAD-box ATP-dependent RNA helicase 3, chloroplastic (EC 3.6.4.13) (Protein EMBRYO DEFECTIVE 1138);RNA helicase (EC 3.6.4.13)
g10105	104	AT5G26730.1	AT5G26730.1	other	GO:0008150;GO:0003674;GO:0005739	Fasciclin-like arabinogalactan family protein
g10106	138	AT5G26720.1	AT5G26720.1	orthologue	GO:0009860;GO:0003674;GO:0005634;GO:0016787	Ubiquitin carboxyl-terminal hydrolase-like protein
g10107	727	AT5G26710.1	AT5G26710.1	orthologue	GO:0006424;GO:0004818;GO:0017102;GO:0005829;GO:0009507;GO:0009536;GO:0005524;GO:0009791;GO:0032991;GO:0048608;GO:0000166;GO:0004812;GO:0043039;GO:0005737;GO:0006418;GO:0006412	Glutamate--tRNA ligase, cytoplasmic (EC 6.1.1.17) (GluRSAt) (Glutamyl-tRNA synthetase) (GluRS)
g10108	214	AT5G26700.1	AT5G26700.1	orthologue	GO:0010497;GO:0005576;GO:0009506;GO:2000280;GO:0030145;GO:0048046	Probable germin-like protein subfamily 2 member 5
