Alyssum_gmelinii	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Ag001G000390	502	AT1G56040.1, AT1G56030.1	AT1G56040.1	orthologue	GO:0004842;GO:0016567;GO:0005634;GO:0008150;GO:0005575;GO:0003674;GO:0003723;GO:0005515	Putative U-box domain-containing protein 58 (EC 2.3.2.27) (Plant U-box protein 58) (RING-type E3 ubiquitin transferase PUB58);U-box domain-containing protein 57 (EC 2.3.2.27) (Plant U-box protein 57) (RING-type E3 ubiquitin transferase PUB57)
Ag001G000400	215				GO:0004842;GO:0016567	
Ag001G000410	316				GO:0004842;GO:0016567	
Ag001G000440	398					
Ag001G000450	204					
Ag001G000460	267	AT1G56030.1, AT1G56040.1	AT1G56040.1	other	GO:0004842;GO:0016567;GO:0005634;GO:0008150;GO:0005575;GO:0003674	Putative U-box domain-containing protein 58 (EC 2.3.2.27) (Plant U-box protein 58) (RING-type E3 ubiquitin transferase PUB58);U-box domain-containing protein 57 (EC 2.3.2.27) (Plant U-box protein 57) (RING-type E3 ubiquitin transferase PUB57)
Ag001G000470	244	AT1G56030.1	AT1G56030.1	other	GO:0004842;GO:0016567;GO:0005634	U-box domain-containing protein 57 (EC 2.3.2.27) (Plant U-box protein 57) (RING-type E3 ubiquitin transferase PUB57)
Ag001G000480	267	AT1G56030.1, AT1G56040.1	AT1G56040.1	other	GO:0004842;GO:0016567;GO:0005634;GO:0008150;GO:0005575;GO:0003674	Putative U-box domain-containing protein 58 (EC 2.3.2.27) (Plant U-box protein 58) (RING-type E3 ubiquitin transferase PUB58);U-box domain-containing protein 57 (EC 2.3.2.27) (Plant U-box protein 57) (RING-type E3 ubiquitin transferase PUB57)
Ag001G000500	360	AT1G56030.1, AT1G56040.1	AT1G56040.1	other	GO:0004842;GO:0016567;GO:0005634;GO:0008150;GO:0005575;GO:0003674	Putative U-box domain-containing protein 58 (EC 2.3.2.27) (Plant U-box protein 58) (RING-type E3 ubiquitin transferase PUB58);U-box domain-containing protein 57 (EC 2.3.2.27) (Plant U-box protein 57) (RING-type E3 ubiquitin transferase PUB57)
Ag001G000560	393	AT1G56020.1	AT1G56020.1	orthologue	GO:0003674;GO:0005634	At1g56020 (F14J16.33) (Serine/arginine repetitive matrix-like protein) (T6H22.18 protein)
Ag001G000570	314	AT1G56010.2	AT1G56010.2	orthologue	GO:0006355;GO:0048527;GO:0009734;GO:0005634;GO:0003700;GO:0003677	NAC domain-containing protein 21/22 (ANAC021/ANAC022)
Ag001G000580	371	AT1G56000.1	AT1G56000.1	other	GO:0016491;GO:0005634	AT1G56000 protein (At1g55980/T6H22.19) (FAD/NAD(P)-binding oxidoreductase family protein) (T6H22.19/T6H22.19);FAD/NAD(P)-binding oxidoreductase family protein
Ag001G000620	369	AT3G13040.1	AT3G13040.1	other	GO:0006355;GO:0003700;GO:0005634;GO:0003677	Myb family transcription factor PHL6 (Protein PHR1-LIKE 6)
Ag001G000630	383	AT1G55960.1	AT1G55960.1	other	GO:0009651;GO:0005886;GO:0006970;GO:0008289;GO:0005737	Polyketide cyclase/dehydrase and lipid transport superfamily protein;Polyketide cyclase/dehydrase and lipid transport superfamily protein (Putative membrane related protein CP5)
Ag001G000660	396	AT1G55947.1	AT1G55947.1	orthologue	GO:0003674;GO:0008150;GO:0005634;;GO:0005515	F-box/associated interaction domain protein
Ag001G000670	314	AT1G23950.2, AT1G23970.2, AT1G23960.1, AT1G27860.1, AT1G28500.1	AT1G28500.1	orthologue	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0005737	Putative UPF0725 protein At1g28500;UPF0725 protein At1g23950;UPF0725 protein At1g23960;UPF0725 protein At1g23970;UPF0725 protein At1g27860;Uncharacterized protein
Ag001G000680	71					
Ag001G000690	302	AT1G23950.2, AT1G23970.2, AT1G23960.1, AT1G27860.1, AT1G28500.1	AT1G28500.1	orthologue	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0005737	Putative UPF0725 protein At1g28500;UPF0725 protein At1g23950;UPF0725 protein At1g23960;UPF0725 protein At1g23970;UPF0725 protein At1g27860;Uncharacterized protein
Ag001G000720	176	AT1G55820.1	AT1G55820.1	other	GO:0005634;GO:0051082;GO:0008150	GBF-interacting protein 1-like (Protein GIP1-like)
Ag001G000840	297	AT1G55920.1	AT1G55920.1	orthologue	GO:0006535;GO:0009970;GO:0005737;GO:0009001;GO:0005829;GO:0005634;GO:0009507;GO:0005515	Serine acetyltransferase 1, chloroplastic (AtSAT-1) (EC 2.3.1.30) (AtSERAT2;1) (SAT-p)
Ag001G000850	373	AT1G55915.2	AT1G55915.2	orthologue	GO:0005634;GO:0006281;GO:0008237;GO:0008270	At1g55915 (Zinc ion binding protein);Zinc ion binding protein
Ag001G000860	328	AT1G55910.1	AT1G55910.1	orthologue	GO:0005385;GO:0016020;GO:0005634;GO:0009507;GO:0055085;GO:0071577;GO:0046873;GO:0005886;GO:0006829;GO:0030001	Zinc transporter 11 (ZRT/IRT-like protein 11)
Ag001G000870	375	AT1G55900.1	AT1G55900.1	orthologue	GO:0005739;GO:0003674;GO:0009793;GO:0030150;GO:0005743;GO:0005744;GO:0005634;GO:0015031;GO:0016787	Mitochondrial import inner membrane translocase subunit TIM50;Mitochondrial import inner membrane translocase subunit TIM50 (Protein EMBRYO DEFECTIVE 1860)
Ag001G000880	423	AT1G55880.1	AT1G55880.1	orthologue	GO:0009507;GO:0006535;GO:0004124;GO:0005737;GO:0016020;GO:0016740	cysteine synthase (EC 2.5.1.47)
Ag001G000890	107					
Ag001G000900	729	AT1G55870.1	AT1G55870.1	orthologue	GO:0003723;GO:0000175;GO:0004535;GO:0009751;GO:0009737;GO:0005634;GO:0009651;GO:0043169;GO:0006970;GO:0003676;GO:0005739;GO:0016740;GO:0016787;GO:0006397;GO:0006952;GO:0046872	Poly(A)-specific ribonuclease PARN (EC 3.1.13.4) (Polyadenylate-specific ribonuclease) (AtPARN) (Protein ABA hypersensitive germination 2);Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Ag001G000910	261	AT1G55865.1	AT1G55865.1	orthologue	GO:0008150;GO:0005634;GO:0003674;GO:0016874	Ubiquitin-protein ligase
Ag001G000920	3671	AT1G55860.1, AT1G70320.1	AT1G55860.1	orthologue	GO:0004842;GO:0000151;GO:0009506;GO:0005634;GO:0006511;GO:0016567;GO:0005829;GO:0061630;GO:0005737;GO:0005739;GO:0005515;GO:0000209	E3 ubiquitin-protein ligase UPL1 (Ubiquitin-protein ligase 1) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase UPL1);E3 ubiquitin-protein ligase UPL2 (Ubiquitin-protein ligase 2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase UPL2)
Ag001G000930	726	AT1G55850.1	AT1G55850.1	orthologue	GO:0016760;GO:0009833;GO:0005783;GO:0005886;GO:0005634;GO:0016757;GO:0016759;GO:0005794;GO:0030244;GO:0051753;GO:0000139;GO:0071555;GO:0016020	Cellulose synthase-like protein E1 (AtCslE1) (EC 2.4.1.-)
Ag001G000940	720	AT1G55850.1	AT1G55850.1	orthologue	GO:0016760;GO:0009833;GO:0005783;GO:0005886;GO:0005634;GO:0016757;GO:0016759;GO:0005794;GO:0030244;GO:0051753;GO:0000139;GO:0071555;GO:0016020	Cellulose synthase-like protein E1 (AtCslE1) (EC 2.4.1.-)
Ag001G000950	728	AT1G55850.1	AT1G55850.1	orthologue	GO:0016760;GO:0009833;GO:0005783;GO:0005886;GO:0005634;GO:0016757;GO:0016759;GO:0005794;GO:0030244;GO:0051753;GO:0000139;GO:0071555;GO:0016020	Cellulose synthase-like protein E1 (AtCslE1) (EC 2.4.1.-)
Ag001G000960	325	AT1G55840.1	AT1G55840.1	orthologue	GO:0005634;GO:0003674;GO:0016020	At1g55840/F14J16_2 (Sec14p-like phosphatidylinositol transfer family protein);Sec14p-like phosphatidylinositol transfer family protein
Ag001G000990	488	AT1G55830.2	AT1G55830.2	orthologue	GO:0005737;GO:2000060;GO:0097602	Coiled-coil protein
Ag001G001000	482	AT2G20710.1	AT2G20710.1	orthologue	GO:0005739;GO:0003674;GO:0008150;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At2g20710, mitochondrial
Ag001G001010	597	AT1G55820.1	AT1G55820.1	orthologue	GO:0005634;GO:0051082;GO:0008150;GO:0005515	GBF-interacting protein 1-like (Protein GIP1-like)
Ag001G001020	468	AT1G55810.4	AT1G55810.4	orthologue	GO:0044211;GO:0044206;GO:0004849;GO:0071456;GO:0004845;GO:0005524;GO:0005737;GO:0005525;GO:0009507;GO:0043771;GO:2000904;GO:0016301	Uridine kinase (EC 2.7.1.48);Uridine kinase-like protein 3 [Includes: Uridine kinase (UK) (EC 2.7.1.48); Putative uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9) (UMP pyrophosphorylase)]
Ag001G001030	149	AT1G55805.1	AT1G55805.1	orthologue	GO:0009507;GO:0016226;GO:0005515;GO:0046872;GO:0051537	Protein BOLA1, chloroplastic
Ag001G001040	306	AT1G55800.1	AT1G55800.1	orthologue	GO:0070042;GO:0070475;GO:0005737;GO:0005739	25S rRNA (uridine-N(3))-methyltransferase BMT5-like domain-containing protein
Ag001G001050	434	AT1G55790.1	AT1G55790.1	other	GO:0070475;GO:0070042;GO:0005634;GO:0005737;GO:0046872	Heavy metal-associated isoprenylated plant protein 41 (AtHIP41)
Ag001G001060	144	AT1G55775.1	AT1G55775.1	orthologue	GO:0008150;GO:0003674;GO:0005575;GO:0046872	Heavy metal-associated domain protein
Ag001G001080	175	AT1G55770.1	AT1G55770.1	orthologue	GO:0005634;GO:0043086;GO:0004857	Plant invertase/pectin methylesterase inhibitor superfamily protein
Ag001G001090	329	AT1G55760.1	AT1G55760.1	orthologue	GO:0009651;GO:0016567;GO:0005634;GO:0009507;GO:0003674;GO:0005515	BTB/POZ domain-containing protein At1g55760
Ag001G001100	520	AT2G01170.1	AT2G01170.1	orthologue	GO:0015812;GO:0015189;GO:0006865;GO:0055085;GO:0005313;GO:0005739;GO:0015180;GO:0015185;GO:0031966;GO:0016020;GO:0022857	Amino-acid permease BAT1 (Bidirectional amino acid transporter 1) (GABA permease) (AtGABP);At2g01170 (Bidirectional amino acid transporter 1)
Ag001G001110	213	AT3G13230.1	AT3G13230.1	other	GO:0008150;GO:0005634;GO:0003723;GO:0005730;GO:0003676	At3g13230 (RNA-binding KH domain-containing protein)
Ag001G001140	752	AT1G55740.1	AT1G55740.1	orthologue	GO:0005737;GO:0047274	Probable galactinol--sucrose galactosyltransferase 1 (EC 2.4.1.82) (Protein SEED IMBIBITION 1) (Raffinose synthase 1)
Ag001G001150	441	AT1G55730.1	AT1G55730.1	orthologue	GO:0009705;GO:0070588;GO:0015368;GO:0006874;GO:0015369;GO:0005774;GO:0006816;GO:0016020;GO:0055085;GO:0006812;GO:0008324	Vacuolar cation/proton exchanger 5 (Ca(2+)/H(+) antiporter CAX5) (Ca(2+)/H(+) exchanger 5) (Protein CATION EXCHANGER 5)
Ag001G001160	206	AT1G55700.1	AT1G55700.1	other	GO:0003674;GO:0005634;GO:0008270	Cysteine/Histidine-rich C1 domain family protein (F20N2.12)
Ag001G001170	610	AT1G55690.1	AT1G55690.1	orthologue	GO:0005794;GO:0003674;GO:0000139;GO:0005886;GO:0015031	Phosphatidylinositol/phosphatidylcholine transfer protein SFH13 (Protein SEC FOURTEEN HOMOLOGS 13) (AtSFH13);Sec14p-like phosphatidylinositol transfer family protein
Ag001G001190	552	AT4G03440.1	AT4G03440.1	orthologue	GO:0005737;GO:0016020;GO:0003674;GO:0005886;GO:0005515	Ankyrin repeat family protein
Ag001G001240	447	AT1G55680.1	AT1G55680.1	orthologue	GO:0003674;GO:0080008;GO:0005737;GO:0008150;GO:0005515	Transducin/WD40 repeat-like superfamily protein
Ag001G001250	157	AT1G55670.1	AT1G55670.1	orthologue	GO:0009773;GO:0009535;GO:0003674;GO:0030093;GO:0009534;GO:0009941;GO:0042550;GO:0009579;GO:0009780;GO:0009507;GO:0005634;GO:0050821;GO:0015979;GO:0031969;GO:0009522;GO:0016020	Photosystem I reaction center subunit V, chloroplastic (PSI-G)
Ag001G001290	137	AT4G17700.1	AT4G17700.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein At4g17700
Ag001G001300	467	AT1G55630.1	AT1G55630.1	orthologue	GO:0003729;GO:0005737;GO:0005739;GO:0006397;;GO:0005515	Pentatricopeptide repeat-containing protein At1g55630
Ag001G001310	786	AT1G55620.2	AT1G55620.2	orthologue	GO:0009507;GO:0005794;GO:0005247;GO:0005254;GO:0034707;GO:0006821;GO:0015108;GO:0016020;GO:0055085	Chloride channel protein CLC-f (AtCLC-f) (CBS domain-containing protein CBSCLC1)
Ag001G001320	1101	AT1G55610.1	AT1G55610.1	other	GO:0005515;GO:0005886;GO:0009414;GO:0004674;GO:0009755;GO:0009416;GO:0016301;GO:0038023;GO:0006468;GO:0005496;GO:0005524;GO:0106310;GO:0004672;GO:0033612	Serine/threonine-protein kinase BRI1-like 1 (EC 2.7.11.1) (BRASSINOSTEROID INSENSITIVE 1-like protein 1)
Ag001G001370	601	AT1G55590.1	AT1G55590.1	orthologue	GO:0019005;GO:0031146;GO:0003674;;GO:0005515	F-box protein At-B
Ag001G001380	444	AT1G55580.1	AT1G55580.1	orthologue	GO:0006355;GO:0005634;GO:0090506;GO:0003700;GO:0010014;GO:0010223;GO:0043565	Scarecrow-like protein 18 (AtSCL18) (GRAS family protein 7) (AtGRAS-7) (Protein LATERAL SUPPRESSOR)
Ag001G001400	555	AT1G55570.1	AT1G55570.1	orthologue	GO:0016491;GO:0005507;GO:0005576;GO:0009860	At1g55570/T5A14_1 (SKU5 similar 12) (T5A14.1 protein)
Ag001G001430	549	AT1G55560.1	AT1G55560.1	orthologue	GO:0008150;GO:0005576;GO:0016491;GO:0005507	At1g55560 (BNH protein) (SKU5 similar 14)
Ag001G001440	842	AT1G55550.1	AT1G55550.1	orthologue	GO:0003777;GO:0016887;GO:0005874;GO:0005737;GO:0008017;GO:0007018;GO:0005739;GO:0005871;GO:0005524;GO:0007017;GO:0015630	Kinesin-like protein KIN-14T
Ag001G001460	425	AT1G55947.1, AT2G16810.1	AT2G16810.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0006511;GO:0005739;;GO:0005515	F-box only protein 8;F-box/associated interaction domain protein
Ag001G001480	1782	AT1G55540.2	AT1G55540.2	orthologue	GO:0005739;GO:0009793;GO:0017056;GO:0005634;GO:0010070;GO:0006405;GO:0005643;GO:0015031;GO:0051028	Nuclear pore complex protein NUP214 (Nucleoporin 214) (Protein EMBRYO DEFECTIVE 1011) (Protein LNO1) (Protein LONO1)
Ag001G001490	255	AT1G55535.1	AT1G55535.1	orthologue	GO:0003674;GO:0005739;GO:0016020	At1g55535 (Transmembrane protein);Transmembrane protein
Ag001G001500	312	AT2G03800.2	AT2G03800.2	orthologue	GO:0051499;GO:0019478;GO:0009636;GO:0009507;GO:0005634;GO:0005737;GO:0046872;GO:0016788	D-aminoacyl-tRNA deacylase;D-aminoacyl-tRNA deacylase (EC 3.1.1.96) (Ethanol tolerance protein GEKO1)
Ag001G001510	337	AT1G55530.1	AT1G55530.1	orthologue	GO:0061630;GO:0016567;GO:0005737;GO:0005634;GO:0008270	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Ag001G001520	491	AT3G50120.1	AT3G50120.1	other	GO:0003674;GO:0010383;GO:0005575;GO:0016020	Transmembrane protein, putative (DUF247)
Ag001G001580	526	AT3G50120.1	AT3G50120.1	other	GO:0003674;GO:0010383;GO:0005575;GO:0016020	Transmembrane protein, putative (DUF247)
Ag001G001600	369	AT3G50120.1	AT3G50120.1	other	GO:0003674;GO:0010383;GO:0005575;GO:0016020	Transmembrane protein, putative (DUF247)
Ag001G001620	495	AT3G50120.1	AT3G50120.1	other	GO:0003674;GO:0010383;GO:0005575;GO:0016020	Transmembrane protein, putative (DUF247)
Ag001G001650	406	AT3G50120.1	AT3G50120.1	other	GO:0003674;GO:0010383;GO:0005575;GO:0016020	Transmembrane protein, putative (DUF247)
Ag001G001660	500	AT3G50120.1	AT3G50120.1	other	GO:0003674;GO:0010383;GO:0005575;GO:0016020	Transmembrane protein, putative (DUF247)
Ag001G001670	66					
Ag001G001780	200	AT1G55520.1	AT1G55520.1	orthologue	GO:0006352;GO:0005634;GO:0016251;GO:0005515;GO:0017025;GO:0003677;GO:0016020	TATA binding protein 2;TATA-box-binding protein 2 (TATA sequence-binding protein 2) (AtTBP2) (TBP-2) (TATA-binding factor 2) (TATA-box factor 2) (Transcription initiation factor TFIID TBP-2 subunit)
Ag001G001790	559					
Ag001G001800	101	AT2G22155.1, AT2G22145.1	AT2G22155.1	orthologue	GO:0031982;GO:0003674;GO:0009567;GO:2000008;GO:0080155;GO:0005576	ECA1 gametogenesis family protein;ECA1 gametogenesis related family protein
Ag001G001920	134					
Ag001G001970	308	AT5G27607.1	AT5G27607.1	orthologue	GO:0008237;GO:0008150;GO:0005739;GO:0006508;GO:0005515;GO:0008233	JAB1/Mov34/MPN/PAD-1 ubiquitin protease
Ag001G001990	737				GO:0005524;GO:0016887	
Ag001G002030	386	AT3G26930.2, AT3G26920.1	AT3G26920.1	orthologue	GO:0005575;GO:0003674;GO:0008150	F-box/FBD/LRR-repeat protein At3g26920;F-box/LRR-repeat protein 15;FBD / Leucine Rich Repeat domains containing protein
Ag001G002040	311	AT1G55450.2	AT1G55450.2	orthologue	GO:0008757;GO:0010494;GO:0005634;GO:0032259	At1g55450/T5A14_14 (S-adenosyl-L-methionine-dependent methyltransferases superfamily protein) (T5A14.14 protein);S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Ag001G002050	91	AT1G14205.1	AT1G14205.1	other	GO:0003735;GO:0009507;GO:0008097;GO:0006412;GO:0005840;GO:1990904	Ribosomal L18p/L5e family protein
