Arabis_alpina	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Aa_G100190.h1.t1	607	AT2G22140.1	AT2G22140.1	orthologue	GO:0003677;GO:0006281;GO:0005634;GO:0006310;GO:0048476;GO:0004519;GO:0016787;GO:0046872;GO:0051301;GO:0051321	Crossover junction endonuclease EME1B (EC 3.1.22.-) (Essential meiotic endonuclease 1B) (AtEME1B);Essential meiotic endonuclease 1B
Aa_G10020.h1.t1	239					
Aa_G100200.h1.t1	2154	AT2G22125.1	AT2G22125.1	orthologue	GO:0005634;GO:0010215;GO:0043622;GO:2001006;GO:0005515;GO:0048467;GO:0048868;GO:0008017;GO:0009833;GO:0070507;GO:0010208;GO:0030244;GO:0055028;GO:0009901;GO:2000067;GO:0051211;GO:0036449;GO:0010330;GO:0005829;GO:0072699;GO:0009506;GO:0009898;GO:0005886;GO:0009414;GO:0005794;GO:0005737;GO:0051592;GO:0008360	Protein CELLULOSE SYNTHASE INTERACTIVE 1 (Protein POM-POM 2)
Aa_G1002090.h1.t1	87	AT5G40260.1	AT5G40260.1	other	GO:0052543;GO:0010584;GO:0005515;GO:0051260;GO:0010208;GO:0005886;GO:0051119;GO:0009555;GO:0008643;GO:0016020	Bidirectional sugar transporter SWEET8 (AtSWEET8) (Protein RUPTURED POLLEN GRAIN 1) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 8)
Aa_G100210.h1.t1	69	AT2G22122.1	AT2G22122.1	orthologue	GO:0003674;GO:0005575	At2g22122
Aa_G100220.h1.t1	261					
Aa_G100230.h1.t1	323	AT2G22120.2	AT2G22120.2	orthologue	GO:0005737;GO:0008270;GO:0016020	RING/FYVE/PHD zinc finger superfamily protein
Aa_G100240.h1.t1	373	AT2G22100.1	AT2G22100.1	orthologue	GO:0005634;GO:0003729;GO:0003723;GO:0003676	UBP1-associated proteins 1B
Aa_G100250.h1.t1	331	AT2G22090.2	AT2G22090.2	orthologue	GO:0048255;GO:0005515;GO:0003729;GO:0042802;GO:0005634;GO:0035925;GO:0003723;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein;UBP1-associated proteins 1A (UBP1-interacting protein 1a)
Aa_G1002530.h1.t1	43	AT5G16210.1	AT5G16210.1	other	GO:0005737;GO:0032367;GO:0055037;GO:0005802;GO:0005515	AT5g16210/T21H19_130 (HEAT repeat-containing protein)
Aa_G1002530.h2.t1	43	AT5G16210.1	AT5G16210.1	other	GO:0005737;GO:0032367;GO:0055037;GO:0005802;GO:0005515	AT5g16210/T21H19_130 (HEAT repeat-containing protein)
Aa_G100260.h1.t1	175	AT2G22080.1	AT2G22080.1	orthologue	GO:0005634;GO:0003674;GO:0006979	At2g22080 (Transmembrane protein)
Aa_G1002640.h1.t1	289				GO:0003676;GO:0004523	
Aa_G100270.h1.t1	559	AT2G22070.1	AT2G22070.1	orthologue	GO:0005739;GO:0009451;GO:0003723;GO:0043231;GO:0008270;GO:0005515	Pentatricopeptide repeat-containing protein At2g22070
Aa_G100280.h1.t1	351	AT2G22050.1	AT2G22050.1	orthologue	GO:0005634;GO:0003674;GO:0008150;;GO:0005515	F-box/kelch-repeat protein At2g22050;Galactose oxidase/kelch repeat superfamily protein
Aa_G1002970.h1.t1	63	AT1G08830.1	AT1G08830.1	other	GO:0071472;GO:0019430;GO:0034599;GO:0005829;GO:0071493;GO:0071280;GO:0006979;GO:0010193;GO:0009651;GO:0071329;GO:0005515;GO:0071484;GO:0035195;GO:0004784;GO:0005737;GO:0071457;GO:0042742;GO:0005507;GO:0005634;GO:0010039;GO:0046688;GO:0006801;GO:0046872	Superoxide dismutase [Cu-Zn] 1 (EC 1.15.1.1) (Copper/zinc superoxide dismutase 1)
Aa_G100300.h1.t1	693					
Aa_G100310.h1.t1	1280	AT2G22010.2	AT2G22010.2	orthologue	GO:0030163;GO:0051603;GO:0016567;GO:0005737;GO:2000060;GO:0051726;GO:0009615;GO:0061630;GO:0006511;GO:0000151;GO:0004842;GO:0034450;GO:0008270;GO:0016020;GO:0005515	E3 ubiquitin-protein ligase RKP (AtKPC1) (EC 2.3.2.27) (Protein RELATED TO KPC1) (RING-type E3 ubiquitin transferase RKP);RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Aa_G100320.h1.t1	104	AT2G22000.1	AT2G22000.1	orthologue	GO:0003674;GO:0045087;GO:0005634	Elicitor peptide 6
Aa_G100330.h1.t1	115					
Aa_G100340.h1.t1	258	AT2G21990.1	AT2G21990.1	orthologue	GO:0003674;GO:0010274;GO:0005634	Uncharacterized protein At2g21990
Aa_G100350.h1.t1	196	AT2G21970.1	AT2G21970.1	orthologue	GO:0009535;GO:0071486;GO:0071492;GO:0009765;GO:0009507;GO:0009611;GO:0016168;GO:0009523	Stress enhanced protein 2, chloroplastic
Aa_G100360.h1.t1	333	AT2G21960.1	AT2G21960.1	orthologue	GO:0009507;GO:0004222;GO:0009534;GO:0005773;GO:0005524;GO:0004176;GO:0006508;GO:0016020	Expressed protein (Transmembrane protein)
Aa_G100370.h1.t1	98	AT3G16940.1	AT3G16940.1	other	GO:0006357;GO:0006355;GO:0009651;GO:0005634;GO:0003677;GO:0005576;GO:0003712;GO:0005516;GO:0003690;GO:0006950	Calmodulin-binding transcription activator;Calmodulin-binding transcription activator 6 (AtCAMTA6) (Ethylene-induced calmodulin-binding protein 5) (EICBP5) (Ethylene-induced calmodulin-binding protein e) (EICBP.e) (Signal-responsive protein 3) (AtSR3)
Aa_G1003740.h1.t1	13					
Aa_G1003740.h2.t1	13					
Aa_G1003740.h3.t1	13					
Aa_G10040.h1.t1	588					
Aa_G1004400.h1.t1	91					
Aa_G1004620.h1.t1	73	AT5G22350.1	AT5G22350.1	other	GO:0005829;GO:0000266;GO:0005741;GO:0005515;GO:0005634;GO:0033365	Mitochondrial fission protein ELM1 (Protein ELONGATED MITOCHONDRIA 1)
Aa_G1004730.h1.t1	158					
Aa_G1004730.h2.t1	158					
Aa_G100480.h1.t1	93	AT2G44080.1	AT2G44080.1	orthologue	GO:0009741;GO:0005783;GO:0005622;GO:0035265;GO:0005739;GO:0009825;GO:0009742;GO:0046622;GO:0003674;GO:0005634;GO:0016020	ARGOS-like protein
Aa_G1004840.h1.t1	80	AT5G17410.2	AT5G17410.2	other	GO:0007020;GO:0005635;GO:0031122;GO:0051321;GO:0055028;GO:0005737;GO:0000930;GO:0000922;GO:0043015;GO:0051225;GO:0033566;GO:0048229;GO:0051011;GO:0005634;GO:0090063;GO:0005938;GO:0000278;GO:0005515	Gamma-tubulin complex component 2 (AtGCP2) (GCP-2) (Protein SPIRAL 3) (Spindle pole body protein Spc97 homolog) (AtSpc97)
Aa_G1004840.h2.t1	80	AT5G17410.2	AT5G17410.2	other	GO:0007020;GO:0005635;GO:0031122;GO:0051321;GO:0055028;GO:0005737;GO:0000930;GO:0000922;GO:0043015;GO:0051225;GO:0033566;GO:0048229;GO:0051011;GO:0005634;GO:0090063;GO:0005938;GO:0000278;GO:0005515	Gamma-tubulin complex component 2 (AtGCP2) (GCP-2) (Protein SPIRAL 3) (Spindle pole body protein Spc97 homolog) (AtSpc97)
Aa_G100490.h1.t1	588	AT2G44090.1	AT2G44090.1	orthologue	GO:0003674;GO:0005634	AT2G44090 protein (Ankyrin repeat family protein) (At2g44090/F6E13.22) (Expressed protein);Ankyrin repeat family protein
Aa_G100500.h1.t1	445	AT2G44100.1	AT2G44100.1	orthologue	GO:0015031;GO:0048227;GO:0005737;GO:0016192;GO:0005829;GO:0005093;GO:0007264;GO:0005515;GO:0005096;GO:0005092	Guanosine nucleotide diphosphate dissociation inhibitor 1 (AtGDI1)
Aa_G1005060.h1.t1	108					
Aa_G100510.h1.t1	507	AT2G44110.2	AT2G44110.2	orthologue	GO:0005575;GO:0003674;GO:0005516;GO:0006952;GO:0016020	MLO-like protein;MLO-like protein 15 (AtMlo15)
Aa_G1005170.h1.t1	98	AT1G55870.1	AT1G55870.1	other	GO:0003723;GO:0000175;GO:0004535;GO:0009751;GO:0009737;GO:0005634;GO:0009651;GO:0043169;GO:0006970;GO:0003676;GO:0005739;GO:0016740;GO:0016787;GO:0006397;GO:0006952;GO:0046872	Poly(A)-specific ribonuclease PARN (EC 3.1.13.4) (Polyadenylate-specific ribonuclease) (AtPARN) (Protein ABA hypersensitive germination 2);Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Aa_G100520.h1.t1	242	AT2G44120.2	AT2G44120.2	orthologue	GO:0009507;GO:0022625;GO:0022626;GO:0000463;GO:0005737;GO:0003735;GO:0003729;GO:0005773;GO:0003723;GO:0005829;GO:0009506;GO:0005730;GO:0005840;GO:1990904	Large ribosomal subunit protein uL30x (60S ribosomal protein L7-3);Ribosomal protein L30/L7 family protein
Aa_G1005280.h1.t1	214	AT1G59890.2	AT1G59890.2	other	GO:0000122;GO:0000785;GO:0070822;GO:0005634;GO:0003714;GO:0000118	Paired amphipathic helix protein Sin3-like 5;SIN3-like 5
Aa_G100530.h1.t1	385	AT2G44130.1	AT2G44130.1	orthologue	GO:2000762;GO:0080037;GO:0005829;GO:0005515;GO:0005737	F-box/kelch-repeat protein At2g44130
Aa_G100540.h1.t1	386	AT2G44140.1	AT2G44140.1	orthologue	GO:0035973;GO:0000045;GO:0016485;GO:0009507;GO:0004175;GO:0004197;GO:0000423;GO:0019786;GO:0005737;GO:0034727;GO:0006914;GO:0008234;GO:0006508;GO:0015031;GO:0006501;GO:0051697	Cysteine protease (EC 3.4.22.-);Cysteine protease ATG4a (EC 3.4.22.-) (Autophagy-related protein 4 homolog a) (AtAPG4a) (Protein autophagy 4a)
Aa_G100550.h1.t1	387	AT2G44150.1	AT2G44150.1	orthologue	GO:0046975;GO:0006355;GO:0016279;GO:0005634;GO:0000785;GO:0009506;GO:0005783;GO:0000775;GO:0032259;GO:0042054;GO:0005515	Histone-lysine N-methyltransferase ASHH3 (EC 2.1.1.-) (ASH1 homolog 3) (Protein SET DOMAIN GROUP 7)
Aa_G1005500.h1.t1	96					
Aa_G100560.h1.t1	594	AT2G44160.1	AT2G44160.1	orthologue	GO:0035999;GO:0071949;GO:0006555;GO:0005634;GO:0009086;GO:0004489;GO:0005829;GO:0106312	Methylenetetrahydrofolate reductase (NADH) 2 (AtMTHFR2) (EC 1.5.1.54)
Aa_G100570.h1.t1	286	AT5G18000.1, AT5G18090.1	AT5G18000.1	other	GO:0005634;GO:0003674;GO:0008150;GO:0009553;GO:0010198;GO:0046982;GO:0009567;GO:0005575;GO:0003677	B3 domain-containing protein At5g18000;B3 domain-containing protein At5g18090;VERDANDI
Aa_G1005720.h1.t1	197	AT1G62600.1, AT1G62620.1, AT1G63370.1	AT1G62620.1	other	GO:0004499;GO:0000325;GO:0050660;GO:0005634;GO:0050661;GO:0008150	Flavin-containing monooxygenase (EC 1.-.-.-);Flavin-containing monooxygenase FMO GS-OX-like 3 (EC 1.8.-.-) (Flavin-monooxygenase glucosinolate S-oxygenase-like 3);Flavin-containing monooxygenase FMO GS-OX-like 4 (EC 1.8.-.-) (Flavin-monooxygenase glucosinolate S-oxygenase-like 4);Flavin-containing monooxygenase FMO GS-OX-like 5 (EC 1.8.-.-) (Flavin-monooxygenase glucosinolate S-oxygenase-like 5)
Aa_G100580.h1.t1	434	AT2G44180.1	AT2G44180.1	orthologue	GO:0004239;GO:0004177;GO:0005737;GO:0008235;GO:0031365;GO:0006508;GO:0046872;GO:0070006;GO:0035551	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M);Methionine aminopeptidase 2A (MAP 2A) (MetAP 2A) (EC 3.4.11.18) (Peptidase M)
Aa_G100590.h1.t1	424	AT2G44190.1	AT2G44190.1	orthologue	GO:0009960;GO:0005880;GO:0048316;GO:0008017;GO:0005737;GO:0051225;GO:0000226;GO:0051301;GO:0010342;GO:0005634	Protein ENDOSPERM DEFECTIVE 1 (Protein EMBRYO DEFECTIVE 3116) (QWRF motif-containing protein 5)
Aa_G100600.h1.t1	494	AT2G44200.1	AT2G44200.1	orthologue	GO:0005634;GO:0005684;GO:0000398;GO:0003674	At2g44200/F6E13.34 (Expressed protein) (Pre-mRNA splicing factor domain-containing protein)
Aa_G100610.h1.t1	401	AT2G44210.2	AT2G44210.2	orthologue	GO:0005576;GO:0003674	AT2G44210 protein (Carboxyl-terminal peptidase (DUF239));At2g44210/F4I1.2 (Carboxyl-terminal peptidase (DUF239)) (Expressed protein)
Aa_G1006160.h1.t1	59					
Aa_G100620.h1.t1	546	AT2G44230.1	AT2G44230.1	orthologue	GO:0009507;GO:0003674	At2g44230/F4I1.4 (Expressed protein)
Aa_G100630.h1.t1	401	AT2G44240.1	AT2G44240.1	orthologue	GO:0005576;GO:0003674;GO:0006979	At2g44240/F4I1.5 (Expressed protein) (NEP-interacting protein (DUF239))
Aa_G1006380.h1.t1	189					
Aa_G100640.h1.t1	336	AT2G44240.1	AT2G44240.1	orthologue	GO:0005576;GO:0003674;GO:0006979	At2g44240/F4I1.5 (Expressed protein) (NEP-interacting protein (DUF239))
Aa_G1006490.h1.t1	32	AT1G33860.2	AT1G33860.2	orthologue	GO:0008150;GO:0005739;GO:0003674	Uncharacterized protein
Aa_G100650.h1.t1	82	AT2G44260.2	AT2G44260.2	other	GO:0003674;GO:0009507;GO:0016020	DUF946 family protein (DUF946);DUF946 family protein (DUF946) (Expressed protein)
Aa_G100660.h1.t1	38					
Aa_G100670.h1.t1	461	AT2G44280.1	AT2G44280.1	orthologue	GO:0005886;GO:0055085;GO:0015293;GO:0008643;GO:0016020;GO:0005215;GO:0071702	AT3g60070/T2O9_50 (Major facilitator superfamily protein);Major facilitator superfamily protein
Aa_G1006710.h1.t1	238				GO:0005634;GO:0016926;GO:0016929;GO:0006508;GO:0008234	
Aa_G10070.h1.t1	96	AT2G21210.2	AT2G21210.2	orthologue	GO:0009733;GO:0009507;GO:0010200;GO:0003674;GO:0005739	At2g21210 (Putative auxin-regulated protein) (SAUR-like auxin-responsive protein family);SAUR-like auxin-responsive protein family
Aa_G1007040.h1.t1	118					
Aa_G1007590.h1.t1	127	AT4G16765.1	AT4G16765.1	orthologue	GO:0005737;GO:0003674;GO:0016491;GO:0046872;GO:0051213	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (At4g16765)
Aa_G1007700.h1.t1	247	AT4G12620.1, AT4G14700.1	AT4G12620.1	other	GO:0005515;GO:0006355;GO:0033314;GO:0005664;GO:0003682;GO:0003688;GO:0000808;GO:0005634;GO:0016887;GO:0010385;GO:0006270;GO:0006260;GO:0009567;GO:0042393;GO:0005524;GO:0008270	Origin of replication complex subunit 1A (AtORC1a) (Origin recognition complex subunit 1a);Origin of replication complex subunit 1B (AtORC1b) (Origin recognition complex 1b protein) (Protein UNFERTILIZED EMBRYO SAC 13)
Aa_G1007700.h2.t1	247	AT4G12620.1, AT4G14700.1	AT4G12620.1	other	GO:0005515;GO:0006355;GO:0033314;GO:0005664;GO:0003682;GO:0003688;GO:0000808;GO:0005634;GO:0016887;GO:0010385;GO:0006270;GO:0006260;GO:0009567;GO:0042393;GO:0005524;GO:0008270	Origin of replication complex subunit 1A (AtORC1a) (Origin recognition complex subunit 1a);Origin of replication complex subunit 1B (AtORC1b) (Origin recognition complex 1b protein) (Protein UNFERTILIZED EMBRYO SAC 13)
Aa_G100780.h1.t1	71					
Aa_G1007810.h1.t1	180				GO:0003676;GO:0008270	
Aa_G100790.h1.t1	65					
Aa_G10080.h1.t1	198					
Aa_G100800.h1.t1	288	AT1G58180.2	AT1G58180.2	orthologue	GO:0009507;GO:0005737;GO:0015976;GO:0004089;GO:0008270;GO:0005739	Beta carbonic anhydrase 6, mitochondrial (AtbCA6) (AtbetaCA6) (EC 4.2.1.1) (Beta carbonate dehydratase 6);Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)
Aa_G1008030.h1.t1	273				GO:0003676;GO:0008270	
Aa_G100810.h1.t1	185	AT1G58170.1	AT1G58170.1	orthologue	GO:0009507;GO:0003674;GO:0009699;GO:0048046	Dirigent protein 19 (AtDIR19)
Aa_G1008250.h1.t1	281	AT5G28823.1	AT5G28823.1	other	GO:0005575;GO:0003674;GO:0008150;;GO:0003676;GO:0008270	DUF4283 domain-containing protein
Aa_G1008250.h2.t1	281	AT5G28823.1	AT5G28823.1	other	GO:0005575;GO:0003674;GO:0008150;;GO:0003676;GO:0008270	DUF4283 domain-containing protein
Aa_G100830.h1.t1	420	AT1G58120.1	AT1G58120.1	orthologue	GO:0003674;GO:0005575	Uncharacterized protein At1g58120/68103_m00121 (Uncharacterized protein T15M6.13)
Aa_G100840.h1.t1	350	AT1G58110.1	AT1G58110.1	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0005515	Basic-leucine zipper (BZIP) transcription factor family protein
Aa_G1008580.h1.t1	201				GO:0003676;GO:0008270;GO:0004190;GO:0006508	
Aa_G100860.h1.t1	518					
Aa_G100870.h1.t1	368	AT1G58110.1	AT1G58110.1	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0005515	Basic-leucine zipper (BZIP) transcription factor family protein
Aa_G100890.h1.t1	405	AT1G58100.1	AT1G58100.1	orthologue	GO:0005515;GO:0000976;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0000978	Transcription factor TCP8
Aa_G1008910.h1.t1	93					
Aa_G1008910.h2.t1	93					
Aa_G10090.h1.t1	91	AT2G21195.4	AT2G21195.4	orthologue	GO:0006979;GO:0005739;GO:0003674	At2g21195 (Expressed protein);Uncharacterized protein
Aa_G100900.h1.t1	80	AT3G47110.1, AT5G20480.1, AT5G39390.1	AT3G47110.1	other	GO:0005515;GO:0009626;GO:0009755;GO:0002764;GO:0140426;GO:0019199;GO:0005886;GO:0004674;GO:0016045;GO:0044024;GO:0016301;GO:0006468;GO:0038023;GO:0016310;GO:0005576;GO:0002237;GO:0005524;GO:0010359;GO:0012505;GO:0106310;GO:0009617;GO:0016020	LRR receptor-like serine/threonine-protein kinase EFR (EC 2.7.11.1) (Elongation factor Tu receptor) (EF-Tu receptor);Putative receptor-like protein kinase At3g47110 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Aa_G100900.h2.t1	80	AT3G47110.1, AT5G20480.1, AT5G39390.1	AT3G47110.1	other	GO:0005515;GO:0009626;GO:0009755;GO:0002764;GO:0140426;GO:0019199;GO:0005886;GO:0004674;GO:0016045;GO:0044024;GO:0016301;GO:0006468;GO:0038023;GO:0016310;GO:0005576;GO:0002237;GO:0005524;GO:0010359;GO:0012505;GO:0106310;GO:0009617;GO:0016020	LRR receptor-like serine/threonine-protein kinase EFR (EC 2.7.11.1) (Elongation factor Tu receptor) (EF-Tu receptor);Putative receptor-like protein kinase At3g47110 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Aa_G100910.h1.t1	114	AT3G47110.1, AT5G20480.1, AT5G39390.1	AT3G47110.1	other	GO:0005515;GO:0009626;GO:0009755;GO:0002764;GO:0140426;GO:0019199;GO:0005886;GO:0004674;GO:0016045;GO:0044024;GO:0016301;GO:0006468;GO:0038023;GO:0016310;GO:0005576;GO:0002237;GO:0005524;GO:0010359;GO:0012505;GO:0106310;GO:0009617;GO:0004672	LRR receptor-like serine/threonine-protein kinase EFR (EC 2.7.11.1) (Elongation factor Tu receptor) (EF-Tu receptor);Putative receptor-like protein kinase At3g47110 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Aa_G1009130.h1.t1	182				GO:0005199;GO:0009664	
Aa_G100920.h1.t1	405	AT1G58080.1	AT1G58080.1	orthologue	GO:0000287;GO:0000105;GO:0009570;GO:0003879;GO:0009507;GO:0005737	ATP phosphoribosyltransferase 1, chloroplastic (ATP-PRTase 1) (AtATP-PRT1) (EC 2.4.2.17)
Aa_G1009350.h1.t1	208					
Aa_G1009570.h1.t1	191					
Aa_G1009680.h1.t1	137	AT2G15860.2	AT2G15860.2	other	GO:0005634;GO:0003674;GO:0008150	BAT2 domain protein
Aa_G1010.h1.t1	221	AT3G15300.1	AT3G15300.1	orthologue	GO:0005575;GO:0003674;GO:0005634	VQ motif-containing protein 19 (AtVQ19) (MPK3/6-targeted VQ-motif-containing protein 4)
Aa_G10100.h1.t1	93	AT2G21185.1	AT2G21185.1	orthologue	GO:0005575;GO:0003674;GO:0016020	Expressed protein (Transmembrane protein)
Aa_G1010230.h1.t1	96	AT5G12420.1	AT5G12420.1	other	GO:0019432;GO:0047196;GO:0005783;GO:0008374;GO:0009414;GO:0010025;GO:0005794;GO:0005886;GO:0004144;GO:0009651;GO:0009737;GO:0005634;GO:0000139;GO:0005789;GO:0045017	O-acyltransferase (WSD1-like) family protein;Wax ester synthase/diacylglycerol acyltransferase 7 (WS/DGAT 7) (Diacylglycerol O-acyltransferase WSD7) (EC 2.3.1.20) (Long-chain-alcohol O-fatty-acyltransferase WSD7) (EC 2.3.1.75)
Aa_G1010340.h1.t1	130				GO:0030570	
Aa_G1010340.h2.t1	130				GO:0030570	
Aa_G101040.h1.t1	873	AT5G35370.1	AT5G35370.1	orthologue	GO:0004674;GO:0005516;GO:0005576;GO:0004672;GO:0005524;GO:0005886;GO:0030246;GO:0031625;GO:0106310;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase At5g35370 (EC 2.7.11.1)
Aa_G1010450.h1.t1	65	AT4G04800.1, AT4G04810.1, AT4G04830.1, AT4G04840.1, AT4G21830.1, AT4G21840.1, AT4G21850.1, AT4G21860.1	AT4G04800.1	other	GO:0000304;GO:0030091;GO:0034599;GO:0005737;GO:0005739;GO:0033743;GO:0008113;GO:0005829;GO:0009507;GO:0009631;GO:0005634;GO:0005783;GO:0005886;GO:0009570;GO:0006979;GO:0046872;GO:0016671	Methionine sulfoxide reductase B4;Methionine sulfoxide reductase B5;Peptide methionine sulfoxide reductase B2, chloroplastic (AtMSRB2) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductasemethionine);Peptide methionine sulfoxide reductase B3 (AtMSRB3) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase);Peptide methionine sulfoxide reductase B4 (AtMSRB4) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase);Peptide methionine sulfoxide reductase B5 (AtMSRB5) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase);Peptide methionine sulfoxide reductase B6 (AtMSRB6) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase);Peptide methionine sulfoxide reductase B7 (AtMSRB7) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase);Peptide methionine sulfoxide reductase B8 (AtMSRB8) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase);Peptide methionine sulfoxide reductase B9 (AtMSRB9) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)
