Arabidopsis_lyrata_NCBI	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_002862175.2	175	AT5G56470.1	AT5G56470.1	orthologue	GO:0003885;GO:0050105;GO:0019853;GO:0005739;GO:0016020;GO:0016491	Probable truncated L-gulonolactone oxidase 7, mitochondrial (AtGulLO7) (EC 1.1.3.8)
XP_002862180.1	96	AT4G26850.1	AT4G26850.1	other	GO:0080048;GO:0009753;GO:0052544;GO:0042742;GO:0010473;GO:0010471;GO:0019853;GO:0010472;GO:0005634;GO:0009408;GO:0006006;GO:0080047;GO:0019852;GO:0008928;GO:0005737;GO:0080046;GO:0000166;GO:0005085;GO:0016787	GDP-L-galactose phosphorylase 1 (EC 2.7.7.69) (Protein VITAMIN C DEFECTIVE 2)
XP_002862182.2	145	AT3G15000.1	AT3G15000.1	other	GO:0080156;GO:0009451;GO:0050897;GO:0005739;GO:0005829;GO:0005515;GO:0009507;GO:0046983;GO:0042803;GO:0003729;GO:0016554;GO:0006397	Multiple organellar RNA editing factor 8, chloroplastic/mitochondrial (RNA editing-interacting protein 1)
XP_002862189.2	163	AT3G06390.1	AT3G06390.1	orthologue	GO:0005886;GO:0005634;GO:0003674	CASP-like protein 1D2 (AtCASPL1D2)
XP_002862190.2	171				GO:0000272;GO:0016161	
XP_002862194.1	127	AT5G49550.1	AT5G49550.1	orthologue	GO:0005634;GO:0005515;GO:0031083;GO:0005768	Biogenesis of lysosome-related organelles complex 1 subunit 2 (BLOC-1 subunit 2)
XP_002862195.2	209	AT3G17205.1	AT3G17205.1	other	GO:0061630;GO:0000209;GO:0006511;GO:0004842;GO:0005634;GO:0016567;GO:0000151;GO:0016874	E3 ubiquitin-protein ligase UPL6 (Ubiquitin-protein ligase 6) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase UPL6);HECT-type E3 ubiquitin transferase (EC 2.3.2.26)
XP_002862198.1	232	AT2G35240.1	AT2G35240.1	orthologue	GO:0005783;GO:0005739;GO:0080156;GO:0042803;GO:0046983;GO:0016554;GO:0003729;GO:0009507;GO:0006397	Multiple organellar RNA editing factor 6, mitochondrial (RNA editing-interacting protein 6)
XP_002862200.1	417	AT3G19100.1	AT3G19100.1	other	GO:0004713;GO:0009939;GO:0005516;GO:0009931;GO:0004674;GO:0005737;GO:0005634;GO:0004683;GO:0005886;GO:0035556;GO:0005524;GO:0016020;GO:0046872;GO:0106310;GO:0004672;GO:0006468	CDPK-related kinase 2 (AtCRK2) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase 2)
XP_002862201.1	118					
XP_002862203.1	702	AT2G45540.2	AT2G45540.2	other	GO:0005634;GO:0003674	BEACH domain-containing protein C2 (BEACH-domain homolog C2)
XP_002862207.1	393	AT3G03730.1	AT3G03730.1	orthologue	GO:0005634;GO:1900459;GO:0006511;GO:0005730;GO:0009742;GO:0003674;GO:0005737;GO:0005515	F-box protein KIB4 (Protein KINK SUPPRESSED IN BZR1-1D 4)
XP_002862208.1	81	AT2G27535.1	AT2G27535.1	orthologue	GO:0005634;GO:0003674;GO:0022625;GO:0003735	Ribosomal protein L10A family protein
XP_002862211.2	81	AT5G44190.1	AT5G44190.1	other	GO:0045893;GO:0000976;GO:0003700;GO:0010380;GO:0009910;GO:0005634;GO:1900056;GO:0009658;GO:0005515;GO:0003677	GOLDEN2-like 2;Transcription activator GLK2 (GBF'S PRO-RICH REGION-INTERACTING factor 2) (Golden2-like protein 2) (AtGLK2)
XP_002862214.2	245	AT1G79510.1	AT1G79510.1	orthologue	GO:0009507;GO:0003674	T8K14.7 protein
XP_002862216.2	202				GO:0030570	
XP_002862217.2	136	AT2G39975.1	AT2G39975.1	orthologue	GO:0008150;GO:0003674;GO:0005575;GO:0005737;GO:0016747	At2g39980/T28M21.14 (Transferase family protein) (Putative anthocyanin 5-aromatic acyltransferase);C2 domain-containing protein
XP_002862218.1	137	AT2G39970.1	AT2G39970.1	other	GO:0055085;GO:0005778;GO:0022857;GO:0000325;GO:0043132;GO:0044375;GO:0005777;GO:0005739;GO:0015297;GO:0046861;GO:0006862	Peroxisomal nicotinamide adenine dinucleotide carrier (Peroxisomal NAD carrier) (Peroxisomal membrane protein 38, (PMP36)) (AtPMP38) (Protein ABERRANT PEROXISOME MORPHOLOGY 3) (Solute carrier family 25 member 17)
XP_002862221.2	287	AT3G03960.1	AT3G03960.1	other	GO:0051082;GO:0005829;GO:0005737;GO:0006457;GO:0005515;GO:0044183;GO:0016887;GO:0009507;GO:0005832;GO:0140662;GO:0051050;GO:0009506;GO:0005524	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Chaperonin CCT8) (Chaperonin containing TCP1 8) (TCP1-ring complex)
XP_002862227.2	82	AT3G25265.1	AT3G25265.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0031640;GO:0050832	Putative defensin-like protein 148 (Putative low-molecular-weight cysteine-rich protein 4) (Protein LCR4)
XP_002862228.1	82	AT2G40995.2	AT2G40995.2	orthologue	GO:0008150;GO:0003674;GO:0005576;GO:0031640;GO:0050832	Defensin-like protein 107;Molecular chaperone Hsp40/DnaJ family protein
XP_002862229.2	88	AT2G41997.1	AT2G41997.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0031640;GO:0050832	Defensin-like protein 108 (Low-molecular-weight cysteine-rich protein 51) (Protein LCR51)
XP_002862231.1	174	AT2G38255.1	AT2G38255.1	orthologue	GO:0003674;GO:0005575;GO:0008150	Neprosin PEP catalytic domain-containing protein
XP_002862234.2	138	AT1G19920.1	AT1G19920.1	other	GO:0009507;GO:0000103;GO:0009970;GO:0004781;GO:0009570;GO:0004020;GO:0070814;GO:0005634;GO:0005524	ATP sulfurylase 2 (EC 2.7.7.4)
XP_002862235.1	168	AT3G22530.1	AT3G22530.1	orthologue	GO:0003674;GO:0000325	Heat shock protein
XP_002862238.2	190	AT1G50325.1, AT1G50340.1	AT1G50325.1	orthologue	GO:0008150;GO:0005737;GO:0043086;GO:0046910;GO:0004857	Plant invertase/pectin methylesterase inhibitor superfamily protein
XP_002862239.2	114	AT1G50320.1	AT1G50320.1	orthologue	GO:0015035;GO:0008150;GO:0009570;GO:0005737;GO:0009507;GO:0008047;GO:0043085	Thioredoxin X, chloroplastic (AtTrxx)
XP_002862240.2	123	AT5G55570.1	AT5G55570.1	orthologue	GO:0005739;GO:0003674;GO:0016020	Transmembrane protein
XP_002862243.2	255	AT1G07190.1	AT1G07190.1	other	GO:0008150;GO:0003674;GO:0005575;GO:0006508;GO:0008233;GO:0003697;GO:0004176;GO:0004252;GO:0005524;GO:0005759;GO:0006515;GO:0007005;GO:0030163;GO:0051131	Lon protease
XP_002862245.1	124	AT5G63250.1	AT5G63250.1	orthologue	GO:0005886;GO:0008150;GO:0003674;GO:0009506;GO:0098552	At5g63250 (Carbohydrate-binding X8 domain superfamily protein)
XP_002862246.1	129	AT5G63240.1	AT5G63240.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0005886;GO:0009506;GO:0098552	At5g63240 (Carbohydrate-binding X8 domain superfamily protein)
XP_002862247.1	111	AT5G63230.1	AT5G63230.1	orthologue	GO:0008150;GO:0005576;GO:0003674;GO:0005886;GO:0009506;GO:0098552	At5g63230 (Carbohydrate-binding X8 domain superfamily protein);Carbohydrate-binding X8 domain superfamily protein
XP_002862253.2	236	AT2G45740.1	AT2G45740.1	orthologue	GO:0042802;GO:0007031;GO:0005777;GO:0005778;GO:0005515;GO:0009507;GO:0005829;GO:0016559;GO:0005739;GO:0044375	Peroxisomal membrane protein 11D (Peroxin-11D) (AtPEX11d)
XP_002862254.2	126	AT2G45730.1	AT2G45730.1	other	GO:0005515;GO:0005634;GO:0030488;GO:0031515;GO:0003743	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
XP_002862257.1	226	AT5G60190.1	AT5G60190.1	orthologue	GO:0019784;GO:0000338;GO:0005634;GO:0006508;GO:0008234	NEDD8-specific protease 1 (EC 3.4.22.-) (Deneddylase-1)
XP_002862261.2	226				GO:0005515	
XP_002862263.1	353	AT2G38240.1	AT2G38240.1	orthologue	GO:1900366;GO:0005829;GO:0016706;GO:1900150;GO:2000022;GO:0120091;GO:0005737;GO:0005506;GO:0006952;GO:0051213	Jasmonate-induced oxygenase 4 (EC 1.14.11.-) (2-oxoglutarate-dependent dioxygenase JOX4) (Anthocyanidin synthase) (Jasmonic acid oxidase 4)
XP_002862268.1	76	AT3G20997.1	AT3G20997.1	orthologue	GO:0003674;GO:0008150;GO:0005576;GO:0031640;GO:0050832	Putative defensin-like protein 121 (Putative low-molecular-weight cysteine-rich protein 55) (Protein LCR55)
XP_002862270.2	144				GO:0006974	
XP_002862271.2	145	AT5G45600.1	AT5G45600.1	other	GO:0009507;GO:0006357;GO:2000028;GO:0006355;GO:0035267;GO:0005634;GO:0005515;GO:0010485;GO:0000812;GO:0006338;GO:0042393;GO:0048510;GO:0005737;GO:0006281;GO:0006325;GO:0009908;GO:0009909;GO:0030154	Transcription initiation factor TFIID subunit 14b (GAS 41-like protein) (Protein AF-9 homolog a) (TBP-associated factor 14b) (AtTAF14b)
XP_002862272.2	231	AT5G43175.1	AT5G43175.1	orthologue	GO:0006355;GO:0006357;GO:0000981;GO:0000978;GO:0005634;GO:0046983;GO:0003700;GO:0003677	Transcription factor bHLH139 (Basic helix-loop-helix protein 139) (AtbHLH139) (bHLH 139) (Transcription factor EN 116) (bHLH transcription factor bHLH139)
XP_002862273.1	219	AT3G13950.1	AT3G13950.1	orthologue	GO:0003674;GO:0005575;GO:0016020;GO:0005886	AT3G13950 protein (Ankyrin)
XP_002862277.2	182	AT3G25510.1	AT3G25510.1	other	GO:0043531;GO:0006952;GO:0005737;GO:0016787	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6)
XP_002862281.2	362	AT5G59960.1	AT5G59960.1	other	GO:0003674;GO:0005739;GO:0005783;GO:0005634;GO:0016020	K-stimulated pyrophosphate-energized sodium pump protein
XP_002862282.2	103	AT1G07660.1	AT1G07660.1	orthologue	GO:0005634;GO:0000325;GO:0030527;GO:0046982;GO:0009507;GO:0005576;GO:0005886;GO:0009506;GO:0000786;GO:0003677;GO:0005730;GO:0005777;GO:0005829;GO:0009414;GO:0009536;GO:0009579	Histone H4
XP_002862283.1	144	AT3G02280.1	AT3G02280.1	other	GO:0050660;GO:0009793;GO:0005515;GO:0010181;GO:0005829;GO:0016491;GO:0005634;GO:0003958;GO:0005737;GO:0016651;GO:0016226;GO:0050661	NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH-dependent FMN and FAD-containing oxidoreductase)
XP_002862287.1	250	AT2G39795.1	AT2G39795.1	orthologue	GO:0003674;GO:0005794;GO:0008150;GO:0005739;GO:0005759	Uncharacterized protein At2g39795, mitochondrial
XP_002862288.2	280					
XP_002862289.1	198	AT3G18120.1	AT3G18120.1	orthologue	GO:0009507;GO:0008150;GO:0003674;;GO:0003723;GO:0003729;GO:0005730;GO:0006417	F-box associated ubiquitination effector family protein (F-box family protein-related)
XP_002862291.2	105	AT2G44740.1	AT2G44740.1	orthologue	GO:0005515;GO:0005575;GO:0019901;GO:0051301;GO:0000079	Cyclin-U4-1 (CycU4;1) (Cyclin-P4.1) (CycP4;1)
XP_002862292.1	169	AT2G31570.1	AT2G31570.1	orthologue	GO:0005829;GO:0006979;GO:0004602;GO:0005634;GO:0010494;GO:0005886;GO:0004601;GO:1901149;GO:0005737;GO:0005515;GO:0005777	Probable glutathione peroxidase 2 (EC 1.11.1.9)
XP_002862294.2	293	AT3G07255.1	AT3G07255.1	orthologue	GO:0003674;GO:0045892;GO:0005634;GO:0007165	Ninja-family protein (ABI-binding protein)
XP_002862297.1	166	AT5G26130.1	AT5G26130.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0005615;GO:0098542	Pathogenesis-related protein 1
XP_002862298.1	103	AT4G27060.1	AT4G27060.1	other	GO:0010005;GO:0010031;GO:0008017;GO:0009826;GO:0005515;GO:0007275;GO:0009507	Microtubule-associated protein TORTIFOLIA1 (Microtubule-associated protein SPIRAL2) (Protein CONVOLUTA)
XP_002862299.1	166	AT4G33710.1	AT4G33710.1	orthologue	GO:0005576;GO:0005615;GO:0008150;GO:0003674	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein (Pathogenesis-related protein 1) (Putative pathogenesis-related protein 1, 18.9K)
XP_002862301.1	238	AT5G65670.1	AT5G65670.1	other	GO:0006355;GO:0005515;GO:0005634;GO:0009734;GO:0000976;GO:0009733;GO:0003700	Auxin-responsive protein;Auxin-responsive protein IAA9 (Indoleacetic acid-induced protein 9)
XP_002862304.1	176	AT2G34700.1	AT2G34700.1	orthologue	GO:0071944;GO:0003674;GO:0005576	Pollen Ole e 1 allergen and extensin family protein (Putative proline-rich glycoprotein)
XP_002862305.2	181	AT2G39060.1	AT2G39060.1	orthologue	GO:0051119;GO:0005515;GO:0032588;GO:0005576;GO:0012506;GO:0016020;GO:0008515;GO:0071836;GO:0008643;GO:0005886;GO:0030659	Bidirectional sugar transporter SWEET9 (AtSWEET9) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 9)
XP_002862306.2	318	AT2G39050.1	AT2G39050.1	orthologue	GO:0090332;GO:0005515;GO:0042742;GO:0005737;GO:0005634;GO:0030246;GO:0005794	Ricin B-like lectin EULS3 (Euonymus lectin S3) (AtEULS3)
XP_002862307.1	202				GO:0005085;GO:0007264;GO:0043547	
XP_002862319.2	182					
XP_002862322.1	275	AT1G30190.1	AT1G30190.1	orthologue	GO:0003674;GO:0005634;GO:0016020	Cotton fiber protein
XP_002862327.2	260	AT5G38360.1	AT5G38360.1	other	GO:0009507;GO:0008150;GO:0003674;GO:0006654;GO:0042171;GO:0052689;GO:0055088	Alpha/beta-Hydrolases superfamily protein
XP_002862330.1	137	AT3G04260.1	AT3G04260.1	other	GO:0042644;GO:0003677;GO:0009507;GO:0009535;GO:0048564;GO:0005515	Plastid transcriptionally active 3
XP_002862332.1	299	AT4G29580.2, AT4G29570.1	AT4G29570.1	orthologue	GO:0008270;GO:0004126;GO:0009972;GO:0005829;GO:0005634;GO:0005737;GO:0042802;GO:0042803;GO:0003824;GO:0016787	Cytidine deaminase 8 (EC 3.5.4.5);Cytidine/deoxycytidylate deaminase family protein;Probable inactive cytidine deaminase 9
XP_002862334.1	142	AT4G26470.3	AT4G26470.3	other	GO:0005886;GO:0030234;GO:0000226;GO:0005737;GO:0005509	Calcium-binding EF-hand family protein;Probable calcium-binding protein CML21 (Calmodulin-like protein 21)
XP_002862338.2	174	AT5G57520.1	AT5G57520.1	orthologue	GO:0060862;GO:0009788;GO:0005515;GO:0006355;GO:0005634;GO:0003700;GO:0008270	Zinc finger protein 2 (AtZFP2)
XP_002862339.2	129				GO:0004553;GO:0005975;GO:0005618;GO:0016762;GO:0044042;GO:0048046	
XP_002862350.2	532	AT3G21480.1	AT3G21480.1	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0006974	At3g21480 protein (BRCT domain-containing DNA repair protein)
XP_002862353.1	220	AT5G61650.1	AT5G61650.1	orthologue	GO:0005737;GO:0005515;GO:0019901;GO:0051301;GO:0000079	Cyclin-U4-3 (CycU4;3) (Cyclin-P4.2) (CycP4;2)
XP_002862354.1	139	AT5G61660.1	AT5G61660.1	orthologue	GO:0008150;GO:0003674;GO:0005575	At5g61660 (Glycine-rich protein) (Structural protein-like)
XP_002862355.1	86	AT4G12590.1	AT4G12590.1	other	GO:0072546;GO:0005783;GO:0005739;GO:0003674;GO:0016020;GO:0034975	ER membrane protein complex subunit 3
XP_002862356.1	401	AT4G22390.1	AT4G22390.1	other	GO:0003674;GO:0005575;GO:0008150;;GO:0005515	F-box associated ubiquitination effector family protein;F-box protein At4g22390
XP_002862359.2	228	AT1G11145.1	AT1G11145.1	orthologue	GO:0003674;GO:0005575;GO:0008150	Uncharacterized protein
XP_002862360.1	115	AT4G08025.1	AT4G08025.1	orthologue	GO:0008150;GO:0005576;GO:0003674	ECA1 gametogenesis family protein (DUF784)
XP_002862361.1	115	AT4G08025.1	AT4G08025.1	orthologue	GO:0008150;GO:0005576;GO:0003674	ECA1 gametogenesis family protein (DUF784)
XP_002862362.1	115	AT4G08025.1	AT4G08025.1	orthologue	GO:0008150;GO:0005576;GO:0003674	ECA1 gametogenesis family protein (DUF784)
XP_002862367.2	282	AT1G80760.1	AT1G80760.1	orthologue	GO:0005886;GO:0015250;GO:0015168;GO:0015204;GO:0080029;GO:0046713;GO:0046715;GO:0015267;GO:0016020;GO:0055085	Aquaporin NIP6-1 (NOD26-like intrinsic protein 6-1) (AtNIP6;1)
XP_002862370.1	293	AT2G39990.1	AT2G39990.1	orthologue	GO:0005737;GO:0009793;GO:0003743;GO:0008237;GO:0005794;GO:0071541;GO:0031369;GO:0005515;GO:0009846;GO:0005634;GO:0009507;GO:0009744;GO:0006413;GO:0001732;GO:0005852;GO:0016282;GO:0033290;GO:0008233	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (eIF-3-epsilon) (eIF3 p32 subunit)
XP_002862372.2	161	AT3G23955.2	AT3G23955.2	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0016020	F-box family protein;Putative F-box/FBD/LRR-repeat protein At3g23955
XP_002862377.1	158	AT5G51870.3	AT5G51870.3	orthologue	GO:0006357;GO:0046983;GO:0009909;GO:0005634;GO:0000978;GO:0003700;GO:0005515;GO:0045944;GO:0000981;GO:0000977;GO:0009908;GO:0030154;GO:0006355	AGAMOUS-like 71;MADS-box protein AGL71 (Protein AGAMOUS-LIKE 71)
XP_002862385.1	115	AT5G34908.1, AT3G44115.1, AT1G57760.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34882.1, AT5G42957.1, AT5G42955.1	AT5G34887.1	other	GO:0003674;GO:0005576;GO:0008150;GO:0009507;GO:0005575;GO:0016020	At4g07515 (ECA1 gametogenesis family protein (DUF784));Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;ECA1 gametogenesis family protein (DUF784);Inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (DUF784);Inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein, putative (DUF784);Transmembrane protein
XP_002862386.1	115	AT5G34908.1, AT3G44115.1, AT1G57760.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34882.1, AT5G42957.1, AT5G42955.1	AT5G34887.1	other	GO:0003674;GO:0005576;GO:0008150;GO:0009507;GO:0005575;GO:0016020	At4g07515 (ECA1 gametogenesis family protein (DUF784));Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;ECA1 gametogenesis family protein (DUF784);Inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (DUF784);Inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein, putative (DUF784);Transmembrane protein
XP_002862387.1	228	AT5G62650.1	AT5G62650.1	orthologue	GO:0003674;GO:0015031;GO:0005575;GO:0009507	AT5g62650/MRG21_7 (Tic22-like family protein)
XP_002862391.2	317				GO:0003676	
XP_002862392.2	135					
XP_002862393.2	356	AT2G35690.1, AT4G16760.1	AT2G35690.1	other	GO:0033540;GO:0071949;GO:0005504;GO:0005783;GO:0009695;GO:0001676;GO:0006635;GO:0005777;GO:0002213;GO:0050660;GO:0003997;GO:0009555;GO:0009620;GO:0009506;GO:0005829;GO:0005737;GO:0009611;GO:0016627;GO:0006631;GO:0055088	Acyl-coenzyme A oxidase;Peroxisomal acyl-coenzyme A oxidase 1 (AOX 1) (EC 1.3.3.6) (Long-chain acyl-CoA oxidase) (AtCX1);Putative peroxisomal acyl-coenzyme A oxidase 1.2 (EC 1.3.3.6)
XP_002862402.2	196	AT3G05950.1	AT3G05950.1	orthologue	GO:0005576;GO:0010446;GO:0030145;GO:0048046	Germin-like protein subfamily 1 member 7
XP_002862404.1	195	AT5G64110.1	AT5G64110.1	orthologue	GO:0009505;GO:0099503;GO:0006979;GO:0004601;GO:0020037;GO:0140825;GO:0006950;GO:0005576;GO:0042744;GO:0046872	Peroxidase 70 (Atperox P70) (EC 1.11.1.7) (ATP45)
XP_002862408.1	420	AT3G23840.1	AT3G23840.1	orthologue	GO:0016747;GO:0009535;GO:0042761;GO:0009555;GO:0005618;GO:0071555	Protein ECERIFERUM 26-like (CER26-like) (CER2-like protein 2) (CER2-like2)
XP_002862414.2	173	AT4G16233.1	AT4G16233.1	orthologue	GO:0005575;GO:0016788;GO:0008150;GO:0005576;GO:0016042	GDSL-like lipase/acylhydrolase superfamily protein
XP_002862415.1	229	AT3G06778.1	AT3G06778.1	orthologue	GO:0005575;GO:0003674;GO:0008150	Chaperone DnaJ-domain superfamily protein
XP_002862417.1	271	AT1G45063.1	AT1G45063.1	orthologue	GO:0005886;GO:0005576;GO:0008150;GO:0009055	Copper ion binding / electron carrier protein
XP_002862418.1	271	AT1G45063.1	AT1G45063.1	orthologue	GO:0005886;GO:0005576;GO:0008150;GO:0009055	Copper ion binding / electron carrier protein
XP_002862422.2	98				GO:0000145;GO:0006887;GO:0006893;GO:0090522	
XP_002862423.2	402					
XP_002862425.1	120	AT3G29580.1	AT3G29580.1	other	GO:0003674;GO:0005634;GO:0008150	MATH domain and coiled-coil domain-containing protein At3g29580 (RTM3-like protein At3g29580)
XP_002862427.2	113	AT5G08470.1	AT5G08470.1	other	GO:0006635;GO:0016558;GO:0005778;GO:0005524;GO:0043335;GO:0005886;GO:0007031;GO:0005777;GO:0005515;GO:0016887;GO:0005737;GO:0005829;GO:0015031;GO:0016020	Peroxisomal ATPase PEX1 (EC 3.6.4.-) (Peroxin-1) (AtPEX1) (Peroxisome biogenesis protein 1);Peroxisomal ATPase PEX1 (Peroxin-1)
XP_002862430.2	286	AT5G08490.1	AT5G08490.1	orthologue	GO:0009451;GO:0005739;GO:0009737;GO:0003723;GO:0009414;GO:0080156;GO:0099402;GO:0005515	Putative pentatricopeptide repeat-containing protein At5g08490;Tetratricopeptide repeat (TPR)-like superfamily protein
XP_002862432.1	831	AT5G64740.1	AT5G64740.1	other	GO:0005515;GO:0043622;GO:0005886;GO:0016757;GO:0030244;GO:0010005;GO:0009833;GO:0016759;GO:0016760;GO:0005794;GO:0009825;GO:0010330;GO:0009832;GO:0008270;GO:0071555;GO:0016020	Cellulose synthase A catalytic subunit 6 [UDP-forming] (AtCesA6) (EC 2.4.1.12) (AraxCelA) (Isoxaben-resistant protein 2) (Protein PROCUSTE 1) (Protein QUILL)
XP_002862435.2	171	AT2G34720.1	AT2G34720.1	orthologue	GO:0045892;GO:0005634;GO:0005515;GO:0016602;GO:0006357;GO:0003700;GO:0048510;GO:0000981;GO:0003677;GO:0006355	Nuclear transcription factor Y subunit;Nuclear transcription factor Y subunit A-4 (AtNF-YA-4)
