Capsella_rubella	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_006279057.2	435	AT1G61840.1, AT2G40050.1	AT1G61840.1	other	GO:0003674;GO:0005634;GO:0008270	Cysteine/Histidine-rich C1 domain family protein;Cysteine/Histidine-rich C1 domain family protein (F8K4.5 protein)
XP_006279058.2	227	AT2G20380.1	AT2G20380.1	orthologue	GO:0005575;GO:0003674;GO:0008150;;GO:0005515	F-box protein At2g20380
XP_006279059.2	263	AT5G48980.1, AT5G48990.1, AT2G20380.1, AT4G39600.2	AT5G48990.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0005575;GO:0006511;GO:0005515	F-box protein At2g20380;F-box/kelch-repeat protein At5g48980;F-box/kelch-repeat protein At5g48990;Galactose oxidase/kelch repeat superfamily protein;Putative F-box/kelch-repeat protein At4g39600
XP_006279063.1	202	AT3G06120.1	AT3G06120.1	orthologue	GO:0010052;GO:0005634;GO:0003700;GO:0045893;GO:0090627;GO:0010374;GO:0000976;GO:0046983;GO:0009913	Transcription factor MUTE (Basic helix-loop-helix protein 45) (AtbHLH45) (bHLH 45) (Transcription factor EN 20) (bHLH transcription factor bHLH045)
XP_006279064.2	266	AT1G59800.1	AT1G59800.1	orthologue	GO:0005575;GO:0006511;GO:0031625	Cullin-like protein 3 (Cullin-5) (AtCUL5)
XP_006279071.2	308	AT1G56070.1	AT1G56070.1	other	GO:0003924;GO:0003746;GO:0005737;GO:0005507;GO:0009409;GO:0005886;GO:0043022;GO:0009631;GO:0000325;GO:0006414;GO:0009507;GO:0003729;GO:0005829;GO:0009506;GO:0005730;GO:1990904;GO:0005634;GO:0005525	Elongation factor 2 (EF-2) (EC 3.6.5.-) (Protein LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1)
XP_006279072.2	182	AT3G43540.1	AT3G43540.1	orthologue	GO:0009507;GO:0005576;GO:0003674;GO:0008150;GO:0003743	Initiation factor 4F subunit (DUF1350)
XP_006279075.1	466	AT5G44120.3	AT5G44120.3	orthologue	GO:0010431;GO:0005634;GO:0045735;GO:0009737;GO:0071215;GO:0000326	12S seed storage protein CRA1 (Cruciferin 1) (AtCRU1) (Cruciferin A1) (Legumin-type globulin storage protein CRA1) [Cleaved into: 12S seed storage protein CRA1 alpha chain (12S seed storage protein CRA1 acidic chain); 12S seed storage protein CRA1 beta chain (12S seed storage protein CRA1 basic chain)];RmlC-like cupins superfamily protein
XP_006279081.2	493	AT1G32340.1	AT1G32340.1	other	GO:0006511;GO:0008270;GO:0004842;GO:0061630;GO:0000151;GO:0031624;GO:0016567;GO:0005737;GO:0005634;GO:0005515;GO:0046872	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)
XP_006279086.1	418	AT1G72730.1	AT1G72730.1	other	GO:0010494;GO:0003724;GO:0000325;GO:0005739;GO:0003743;GO:0003729;GO:0009505;GO:0002183;GO:0005737;GO:0005524;GO:0016887;GO:0003676	Eukaryotic initiation factor 4A-3 (eIF-4A-3) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-3) (DEAD-box ATP-dependent RNA helicase 23)
XP_006279087.1	362	AT3G61180.1	AT3G61180.1	orthologue	GO:0006511;GO:0000325;GO:0005634;GO:0016567;GO:0061630;GO:0008270;GO:0016020	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_006279089.1	75	AT3G61177.1, AT3G61175.1	AT3G61177.1	orthologue	GO:0003674;GO:0008150;GO:0005576;GO:0031640;GO:0050832	Putative defensin-like protein 118 (Putative low-molecular-weight cysteine-rich protein 52) (Protein LCR52);Putative defensin-like protein 119 (Putative low-molecular-weight cysteine-rich protein 53) (Protein LCR53)
XP_006279090.2	378	AT3G55130.1	AT3G55130.1	other	GO:0042626;GO:0007034;GO:0055085;GO:0016020;GO:0005775;GO:0016887;GO:0005739;GO:0140359;GO:0005524;GO:0005774	ABC transporter G family member 19 (ABC transporter ABCG.19) (AtABCG19) (White-brown complex homolog protein 19) (AtWBC19)
XP_006279092.2	568	AT4G34110.1	AT4G34110.1	orthologue	GO:0006446;GO:0005886;GO:0048255;GO:0005634;GO:0010494;GO:0060211;GO:0005829;GO:0006413;GO:0009507;GO:0008266;GO:1900151;GO:0003729;GO:1990904;GO:0005515;GO:0008143;GO:0003743;GO:0003730;GO:0000184;GO:0005737;GO:0003723;GO:0003676	Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2)
XP_006279093.1	78	AT3G22235.1, AT3G22231.1, AT3G22240.1	AT3G22240.1	other	GO:0005634;GO:0005829;GO:0003674;GO:0008150;GO:0005886;GO:0005737;GO:0005515;GO:0007623;GO:1902290;GO:0046890;GO:0016020;GO:0009620;GO:0010513;GO:0009617;GO:2000028;GO:0009737;GO:0071494;GO:1900150;GO:0009863;GO:0055088;GO:0006629;GO:0006952;GO:0009738	Cysteine-rich and transmembrane domain-containing protein PCC1 (Protein PATHOGEN AND CIRCADIAN CONTROLLED 1);Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 8 (AthCYSTM8);Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 9 (AthCYSTM9)
XP_006279094.2	77	AT3G22235.1, AT3G22231.1, AT3G22240.1	AT3G22240.1	other	GO:0005634;GO:0005829;GO:0003674;GO:0008150;GO:0005886;GO:0005737;GO:0005515;GO:0007623;GO:1902290;GO:0046890;GO:0016020;GO:0009620;GO:0010513;GO:0009617;GO:2000028;GO:0009737;GO:0071494;GO:1900150;GO:0009863;GO:0055088;GO:0006629;GO:0006952;GO:0009738	Cysteine-rich and transmembrane domain-containing protein PCC1 (Protein PATHOGEN AND CIRCADIAN CONTROLLED 1);Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 8 (AthCYSTM8);Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 9 (AthCYSTM9)
XP_006279096.1	269	AT4G15093.1	AT4G15093.1	orthologue	GO:0005737;GO:0008198;GO:0016701;GO:0008152;GO:0008270;GO:0016702;GO:0051213;GO:0016491	Extradiol ring-cleavage dioxygenase (AtLigB) (EC 1.13.11.-)
XP_006279099.1	103	AT4G21850.1	AT4G21850.1	orthologue	GO:0034599;GO:0005829;GO:0030091;GO:0005737;GO:0005739;GO:0033743;GO:0009507;GO:0006979;GO:0046872;GO:0016671	Peptide methionine sulfoxide reductase B9 (AtMSRB9) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)
XP_006279100.1	143	AT4G21850.1	AT4G21850.1	orthologue	GO:0034599;GO:0005829;GO:0030091;GO:0005737;GO:0005739;GO:0033743;GO:0009507;GO:0006979;GO:0046872;GO:0016671	Peptide methionine sulfoxide reductase B9 (AtMSRB9) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)
XP_006279101.1	129	AT4G21850.1	AT4G21850.1	orthologue	GO:0034599;GO:0005829;GO:0030091;GO:0005737;GO:0005739;GO:0033743;GO:0009507;GO:0006979;GO:0046872;GO:0016671	Peptide methionine sulfoxide reductase B9 (AtMSRB9) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)
XP_006279102.2	734	AT3G47110.1, AT5G20480.1, AT5G39390.1	AT5G20480.1	other	GO:0005515;GO:0009626;GO:0009755;GO:0002764;GO:0140426;GO:0019199;GO:0005886;GO:0004674;GO:0016045;GO:0044024;GO:0016301;GO:0006468;GO:0038023;GO:0016310;GO:0005576;GO:0002237;GO:0005524;GO:0010359;GO:0012505;GO:0106310;GO:0009617;GO:0004672	LRR receptor-like serine/threonine-protein kinase EFR (EC 2.7.11.1) (Elongation factor Tu receptor) (EF-Tu receptor);Putative receptor-like protein kinase At3g47110 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_006279103.2	208	AT1G59700.1	AT1G59700.1	orthologue	GO:0009407;GO:0005634;GO:0004364;GO:0006749;GO:0005829;GO:0005737	Glutathione S-transferase U16 (AtGSTU16) (EC 2.5.1.18) (GST class-tau member 16)
XP_006279108.2	784	AT4G14570.1	AT4G14570.1	other	GO:0009507;GO:0005773;GO:0051289;GO:0004252;GO:0008242;GO:0005829;GO:0005634;GO:0070009;GO:0005737;GO:0009536;GO:0008238;GO:0005739;GO:0006508;GO:0008236	Acylamino-acid-releasing enzyme (AARE) (EC 3.4.19.1) (Oxidized protein hydrolase) (OPH);Acylamino-acid-releasing enzyme (EC 3.4.19.1)
XP_006279111.1	406	AT5G28340.1, AT5G28380.1, AT3G60960.1	AT3G60960.1	orthologue	GO:0003729;GO:0005739;GO:0008150;GO:0005515	Pentatricopeptide repeat-containing protein At3g60960, mitochondrial;Tetratricopeptide repeat (TPR)-like superfamily protein
XP_006279112.1	598				GO:0004843;GO:0016579	
XP_006279114.2	408	AT1G47765.1	AT1G47765.1	orthologue	GO:0005634;GO:0008150;GO:0003674;;GO:0005515	Putative F-box protein At1g47765
XP_006279117.1	220	AT5G26630.1	AT5G26630.1	orthologue	GO:0006355;GO:0006357;GO:0000981;GO:0046983;GO:0005634;GO:0003700;GO:0000976;GO:0000978;GO:0003677;GO:0000987;GO:0045944	MADS-box protein AGL35 (MADS-box transcription factor family protein)
XP_006279122.2	243				GO:0016491	
XP_006279124.2	416	AT2G29190.1	AT2G29190.1	other	GO:0010608;GO:0003729;GO:0005737;GO:0003730;GO:0003723;GO:0006417	Pumilio homolog 2 (APUM-2) (AtPUM2)
XP_006279127.2	687	AT3G44900.1	AT3G44900.1	orthologue	GO:0012505;GO:0015385;GO:1902600;GO:0006812;GO:0098662;GO:0006885;GO:0006813;GO:0015297;GO:0016020	Cation/H(+) antiporter 4 (Protein CATION/H+ EXCHANGER 4) (AtCHX4)
XP_006279131.2	716	AT5G61700.1	AT5G61700.1	orthologue	GO:0043231;GO:0016887;GO:0055085;GO:0042626;GO:0009507;GO:0005524;GO:0005319;GO:0140359;GO:0006869;GO:0022857;GO:0016020	ABC transporter A family member 12 (ABC transporter ABCA.12) (AtABCA12) (Putative ABC2 homolog 16);ABC2 homolog 16
XP_006279132.2	358	AT1G60380.1, AT1G60340.1, AT1G60300.1, AT1G60350.1	AT1G60350.1	orthologue	GO:0003700;GO:0003677;GO:0006355;GO:0005634;GO:0000976;GO:0005575	Apical meristem formation protein-related (NAC (No Apical Meristem) domain transcriptional regulator superfamily protein) (T13D8.18 protein);Apical meristem formation protein-related (NAC (No Apical Meristem) domain transcriptional regulator superfamily protein) (T13D8.25 protein);NAC (No Apical Meristem) domain transcriptional regulator superfamily protein (T13D8.21 protein);NAC domain containing protein 24 (T13D8.22 protein)
XP_006279136.1	470	AT5G22540.1	AT5G22540.1	orthologue	GO:0005575;GO:0003674;GO:0042742;GO:0016020	At5g22540 (Emb|CAB72473.1) (Transmembrane protein, putative (DUF247))
XP_006279138.1	137	AT5G22520.1, AT5G22530.1	AT5G22530.1	orthologue	GO:0005575;GO:0003674;GO:0008150;GO:0097501	At5g22520;Uncharacterized protein At5g22530
XP_006279139.1	450	AT1G04820.1	AT1G04820.1	orthologue	GO:0005576;GO:0000325;GO:0009505;GO:0071258;GO:0007017;GO:0005634;GO:0005886;GO:0003729;GO:0005829;GO:0045298;GO:0009570;GO:0005200;GO:0005525;GO:0005737;GO:0005874;GO:0016787;GO:0046872	Tubulin alpha-4 chain (EC 3.6.5.-)
XP_006279140.1	294	AT1G50000.1	AT1G50000.1	orthologue	GO:0070042;GO:0009507;GO:0070475;GO:0005737;GO:0006364;GO:0008168;GO:0032259	16S rRNA (uracil(1498)-N(3))-methyltransferase (EC 2.1.1.193);Methyltransferase
XP_006279141.1	440	AT1G49990.1	AT1G49990.1	orthologue	GO:0031146;GO:0004842;GO:0005575;;GO:0005515	F-box protein At1g49990
XP_006279144.2	634	AT3G25020.1, AT3G24982.1, AT3G25010.2, AT3G24900.2	AT3G25010.2	orthologue	GO:0003674;GO:0005576;GO:0007165;GO:0005886;GO:0010150;GO:0071215;GO:0080136;GO:0016301;GO:1902288;GO:1900150;GO:0005515;GO:0002238;GO:0006952;GO:0031347	Receptor like protein 39;Receptor like protein 41;Receptor-like protein 39 (AtRLP39);Receptor-like protein 40 (AtRLP40);Receptor-like protein 41 (AtRLP41);Receptor-like protein 42 (AtRLP42) (Protein RESPONSIVENESS TO BOTRYTIS POLYGALACTURONASES 1)
XP_006279145.2	225	AT2G33030.1	AT2G33030.1	other	GO:0005886;GO:0003674;GO:0007165;GO:0005515	Putative receptor like protein 25 (AtRLP25)
XP_006279147.1	98	AT2G16594.1	AT2G16594.1	orthologue	GO:0003674;GO:0008150;GO:0005575	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
XP_006279149.1	537	AT1G65660.1, AT4G37120.1, AT3G45950.1	AT1G65660.1	other	GO:0005681;GO:0005515;GO:0008380;GO:0003727;GO:0010100;GO:0000398;GO:0030628;GO:0010230;GO:0005634;GO:0008284;GO:0003674;GO:0008270;GO:0009416;GO:0009637;GO:0010114;GO:0010218;GO:1900140	Pre-mRNA-splicing factor SLU7;Pre-mRNA-splicing factor SLU7-A (Protein SWELLMAP 1);Pre-mRNA-splicing factor SLU7-B (Protein DOMINANT COP1-6 SUPPRESSOR 5) (Protein SWELLMAP 2)
XP_006279150.2	306	AT3G23270.2	AT3G23270.2	orthologue	GO:0035091;GO:0005737;GO:0007165;GO:0008270	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein
XP_006279156.2	339	AT2G17033.2	AT2G17033.2	orthologue	GO:0003729;GO:0009507;;GO:0005515	Pentatricopeptide (PPR) repeat-containing protein;Pentatricopeptide repeat-containing protein At2g17033
XP_006279157.2	475	AT1G13320.1	AT1G13320.1	orthologue	GO:0042325;GO:0005886;GO:0019888;GO:0005634;GO:0005576;GO:0005829;GO:0000159;GO:0006470;GO:0005515;GO:0009505;GO:0005737	Protein phosphatase 2A subunit A3;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A gamma isoform (AtA gamma) (PP2A, subunit A, gamma isoform)
XP_006279162.2	168	AT2G17030.1	AT2G17030.1	orthologue	GO:0005515;GO:0016567;GO:0005634	F-box protein SKIP23 (SKP1-interacting partner 23)
XP_006279166.1	330	AT2G36700.1	AT2G36700.1	orthologue	GO:0042545;GO:0045490;GO:0030599;GO:0009507;GO:0005576;GO:0052689	Putative pectinesterase 14 (PE 14) (EC 3.1.1.11) (Pectin methylesterase 14) (AtPME14)
XP_006279168.1	352	AT5G06920.1	AT5G06920.1	orthologue	GO:0003674;GO:0008150;GO:0005576	Fasciclin-like arabinogalactan protein 21
XP_006279170.1	502	AT5G06900.1	AT5G06900.1	orthologue	GO:0016709;GO:0016020;GO:0020037;GO:0005506;GO:0016705;GO:0004497	Cytochrome P450
XP_006279172.2	377	AT5G06905.1	AT5G06905.1	orthologue	GO:0016020;GO:0020037;GO:0008150;GO:0016709;GO:0005506;GO:0016705;GO:0004497	Cytochrome P450, family 712, subfamily A, polypeptide 2
XP_006279174.1	778	AT1G14850.1	AT1G14850.1	other	GO:0044611;GO:0006606;GO:0005886;GO:0006405;GO:0006913;GO:0009506;GO:0000972;GO:0005643;GO:0005730;GO:0005515;GO:0005634;GO:0036228;GO:0017056;GO:0015031;GO:0051028	Nuclear pore complex protein NUP155 (Nucleoporin 155)
XP_006279179.2	825	AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1	AT1G67000.1	other	GO:0004674;GO:0044024;GO:0005576;GO:0006468;GO:0030247;GO:0016310;GO:0004675;GO:0009620;GO:0004672;GO:0016301;GO:0009506;GO:0005634;GO:0005575;GO:0005886;GO:0005524;GO:0016020;GO:0106310	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.2 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.2);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.3 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.3);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.4 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.4);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.5 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.5);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.7 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.7);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.8 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.8);PR5-like receptor kinase;PR5-like receptor kinase (EC 2.7.11.1);Protein kinase family protein;Receptor Serine/Threonine kinase-like protein;non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_006279182.1	760	AT1G66970.2	AT1G66970.2	orthologue	GO:0008889;GO:0005509;GO:0016301;GO:0099503;GO:0016020;GO:0005886;GO:0005739;GO:0048046;GO:0009507;GO:0030643;GO:0006629;GO:0006071;GO:0008081	Glycerophosphodiester phosphodiesterase GDPDL1 (EC 3.1.4.46) (Glycerophosphodiester phosphodiesterase-like 1) (ATGDPDL1) (Glycerophosphodiesterase-like 3) (Protein SHV3-LIKE 2);glycerophosphodiester phosphodiesterase (EC 3.1.4.46)
XP_006279186.1	254					
XP_006279187.2	297	AT1G80220.1	AT1G80220.1	other	GO:0003674;GO:0008150;GO:0005739;GO:0003700;GO:0005634	Uncharacterized protein
XP_006279190.1	165	AT2G24945.1, AT4G36925.2, AT3G26800.1	AT3G26800.1	orthologue	GO:0003674;GO:0005739;GO:0008150;GO:0016020	Transmembrane protein
XP_006279192.2	113	AT3G58150.1	AT3G58150.1	other	GO:0003674;GO:0019216;GO:0005739	Optic atrophy 3 protein (OPA3)
XP_006279193.2	328	AT3G21740.1	AT3G21740.1	orthologue	GO:0003723;GO:0005739	APO protein 4, mitochondrial
XP_006279197.2	520	AT2G01050.1	AT2G01050.1	other	GO:0005634;GO:0008150;GO:0003674	Zinc ion binding / nucleic acid binding protein
XP_006279198.1	134	AT3G27680.1	AT3G27680.1	orthologue	GO:0008150;GO:0005576;GO:0003674;GO:0060320	S-protein homolog 31
XP_006279199.1	409	AT2G06420.1	AT2G06420.1	other	GO:0008150;GO:0003674;GO:0005739	En/Spm-like transposon, putative (DUF1985)
XP_006279201.2	313	AT3G28270.1	AT3G28270.1	other	GO:0005515;GO:0042631;GO:0010009;GO:0009898;GO:0005829;GO:0031234;GO:0031313	UPF0496 protein At3g28270
XP_006279202.2	320	AT3G28270.1	AT3G28270.1	other	GO:0005515;GO:0042631;GO:0010009;GO:0009898;GO:0005829;GO:0031234;GO:0031313	UPF0496 protein At3g28270
XP_006279210.1	231	AT3G02550.1	AT3G02550.1	other	GO:0010468;GO:0071456;GO:0006355;GO:0005634;GO:0001217	LOB domain-containing protein 41 (ASYMMETRIC LEAVES 2-like protein 38) (AS2-like protein 38)
XP_006279211.1	74	AT5G16060.1	AT5G16060.1	orthologue	GO:0003674;GO:0005739;GO:0009536	COX assembly mitochondrial protein
XP_006279212.2	319	AT5G16100.2	AT5G16100.2	orthologue	GO:0003700;GO:0005634;GO:0008150	RWP-RK domain protein
XP_006279213.2	491	AT3G02530.1, AT5G16070.1	AT5G16070.1	other	GO:0051082;GO:0005832;GO:0006457;GO:0005737;GO:0005829;GO:0010043;GO:0140662;GO:0016887;GO:0009536;GO:0005524	T-complex protein 1 subunit zeta 1 (TCP-1-zeta 1) (CCT-zeta 1) (Chaperonin CCT6A);T-complex protein 1 subunit zeta 2 (TCP-1-zeta 2) (CCT-zeta 2) (Chaperonin CCT6B)
XP_006279217.2	178	AT5G16080.1	AT5G16080.1	orthologue	GO:0005515;GO:0106435;GO:0005575;GO:0016787	Probable carboxylesterase 17 (AtCXE17) (EC 3.1.1.1)
XP_006279222.1	115	AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34882.1, AT5G42957.1, AT5G42955.1	AT5G42567.1	orthologue	GO:0003674;GO:0009507;GO:0008150;GO:0005576	ECA1 gametogenesis family protein (DUF784);Inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (DUF784)
XP_006279223.1	115	AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34882.1, AT5G42957.1, AT5G42955.1	AT5G42567.1	orthologue	GO:0003674;GO:0009507;GO:0008150;GO:0005576	ECA1 gametogenesis family protein (DUF784);Inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (DUF784)
XP_006279224.1	115	AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34882.1, AT5G42957.1, AT5G42955.1	AT5G42567.1	orthologue	GO:0003674;GO:0009507;GO:0008150;GO:0005576	ECA1 gametogenesis family protein (DUF784);Inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (DUF784)
XP_006279227.1	115	AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34882.1, AT5G42957.1, AT5G42955.1	AT5G42567.1	orthologue	GO:0003674;GO:0009507;GO:0008150;GO:0005576	ECA1 gametogenesis family protein (DUF784);Inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (DUF784)
XP_006279243.2	368	AT3G21110.1	AT3G21110.1	orthologue	GO:0009570;GO:0009507;GO:0006164;GO:0006189;GO:0004639;GO:0009733;GO:0005524;GO:0005737	Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic (EC 6.3.2.6) (SAICAR synthetase)
XP_006279259.2	319	AT3G21110.1	AT3G21110.1	orthologue	GO:0009570;GO:0009507;GO:0006164;GO:0006189;GO:0004639;GO:0009733;GO:0005524;GO:0005737	Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic (EC 6.3.2.6) (SAICAR synthetase)
XP_006279280.2	123	AT1G02900.1	AT1G02900.1	orthologue	GO:0048364;GO:0030308;GO:0005179;GO:0048046;GO:0005576;GO:0019722;GO:0007267;GO:0005515;GO:0009506	Protein RALF-like 1 (Rapid alkalinization factor 1) (AtRALF1)
XP_006279281.1	92	AT3G51810.1, AT2G40170.1	AT2G40170.1	orthologue	GO:0009793;GO:0009737;GO:0005737;GO:0005829;GO:0003674;GO:0048316;GO:0048700	Em-like protein GEA1 (EM1);Em-like protein GEA6;Late embryogenic abundant protein (Stress induced protein)
XP_006279282.2	287	AT2G44750.2, AT1G02880.6	AT2G44750.2	orthologue	GO:0004788;GO:0030975;GO:0006772;GO:0009229;GO:0005829;GO:0005524;GO:0016301	Thiamine pyrophosphokinase (EC 2.7.6.2);Thiamine pyrophosphokinase 1 (AtTPK1) (EC 2.7.6.2) (Thiamine kinase 1);Thiamine pyrophosphokinase 2 (AtTPK2) (EC 2.7.6.2) (Thiamine kinase 2);thiamine diphosphokinase (EC 2.7.6.2)
XP_006279286.2	312					
XP_006279287.2	387	AT1G02910.1	AT1G02910.1	other	GO:0010270;GO:0005576;GO:0003674;GO:0009507;GO:0009535;GO:0016020	Protein LOW PSII ACCUMULATION 1, chloroplastic;Tetratricopeptide repeat (TPR)-containing protein
XP_006279300.1	170	AT1G40083.1	AT1G40083.1	orthologue	GO:0009507;GO:0003674;GO:0008150	Uncharacterized protein
XP_006279303.2	170	AT1G40083.1	AT1G40083.1	orthologue	GO:0009507;GO:0003674;GO:0008150	Uncharacterized protein
