Erysimum_linariifolium	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
El001G000120	427	AT4G00090.1	AT4G00090.1	orthologue	GO:0005783;GO:0005829;GO:0003674;GO:0005737;GO:0016020;GO:0005515	AT4g00090/F6N15_8 (Transducin/WD40 repeat-like superfamily protein)
El001G000130	151	AT4G00100.1	AT4G00100.1	other	GO:0006412;GO:0005730;GO:0003729;GO:0003735;GO:0022627;GO:0009965;GO:0009507;GO:0005829;GO:0000911;GO:0005783;GO:0010090;GO:0070181;GO:0005840	Small ribosomal subunit protein uS15y (40S ribosomal protein S13-2)
El001G000140	429	AT4G00110.1	AT4G00110.1	orthologue	GO:0016020;GO:0050378;GO:0008150;GO:0032580	UDP-glucuronate 4-epimerase 3 (EC 5.1.3.6) (UDP-glucuronic acid epimerase 3)
El001G000170	165	AT4G00120.1	AT4G00120.1	orthologue	GO:0005515;GO:0010197;GO:0006355;GO:0046983;GO:0005634;GO:0003700;GO:0003677	Transcription factor IND (Basic helix-loop-helix protein 40) (AtbHLH40) (bHLH 40) (Protein INDEHISCENT) (Transcription factor EN 120) (bHLH transcription factor bHLH040)
El001G000180	249	AT1G73440.1, AT4G00140.1	AT1G73440.1	orthologue	GO:0000226;GO:0005634;GO:0010197;GO:0005815;GO:0005509;GO:0008017	At1g73440 (Calmodulin-like protein);Calcium-binding EF-hand family protein (F6N15.19 protein)
El001G000190	557	AT4G00150.1	AT4G00150.1	orthologue	GO:0048768;GO:0051301;GO:0006355;GO:0005634;GO:0005515;GO:0007623;GO:0003700;GO:0043565;GO:0030154	Scarecrow-like protein 6 (AtSCL6) (GRAS family protein 22) (AtGRAS-22) (SCL6-IV)
El001G000200	128	AT4G00165.1	AT4G00165.1	orthologue	GO:0005576;GO:0008150;GO:0003674	Putative lipid-binding protein At4g00165
El001G000210	232	AT4G00170.1	AT4G00170.1	orthologue	GO:0005886;GO:0005789;GO:0005783;GO:0043495;GO:0003674;GO:0061817;GO:0090158	Plant VAMP (Vesicle-associated membrane protein) family protein;Vesicle-associated protein 1-3 (Plant VAP homolog 13) (AtPVA13) (VAMP-associated protein 1-3) [Cleaved into: Vesicle-associated protein 1-3, N-terminally processed]
El001G000220	234	AT4G00180.1	AT4G00180.1	orthologue	GO:1902183;GO:0005515;GO:0006355;GO:2000024;GO:0045165;GO:0009944;GO:0010154;GO:0003700;GO:0010158;GO:0000976;GO:0005634;GO:0008270;GO:0007275	AT4G00180 protein (Plant-specific transcription factor YABBY family protein);Axial regulator YABBY 3
El001G000250	88					
El001G000260	306	AT4G00200.1	AT4G00200.1	orthologue	GO:0005634;GO:0003680	AT-hook motif nuclear-localized protein 7
El001G000270	218	AT4G00210.1	AT4G00210.1	orthologue	GO:0009755;GO:0045893;GO:0005634;GO:0003674;	LOB domain-containing protein 31 (ASYMMETRIC LEAVES 2-like protein 22) (AS2-like protein 22)
El001G000280	229	AT4G00220.1	AT4G00220.1	orthologue	GO:0005515;GO:0005634;GO:0009755;GO:0001216;GO:0045893;GO:0010199;GO:0010089	LOB domain-containing protein 30 (ASYMMETRIC LEAVES 2-like protein 19) (AS2-like protein 19)
El001G000290	226	AT1G01355.1, AT5G35640.1	AT5G35640.1	other	GO:0010468;GO:0004540;GO:0005634;GO:0005777;GO:0009507;GO:0004519;GO:0016787	Endonuclease or glycosyl hydrolase
El001G000300	167	AT4G36000.1	AT4G36000.1	other	GO:0005576;GO:0003674;GO:0008150	Pathogenesis-related thaumatin superfamily protein
El001G000320	747	AT4G00230.1	AT4G00230.1	orthologue	GO:0005576;GO:0004252;GO:0009505;GO:0006508;GO:0008236	Subtilisin-like protease SBT4.14 (EC 3.4.21.-) (Cucumisin-like protein) (Subtilase subfamily 4 member 14) (AtSBT4.14) (Xylem serine proteinase 1) (AtXSP1);Xylem serine peptidase 1
El001G000330	482	AT4G00231.1	AT4G00231.1	orthologue	GO:0009793;GO:0005829;GO:0003674;GO:0051301	ARM repeat superfamily protein (F6N15.2 protein)
El001G000340	1010	AT4G00240.1	AT4G00240.1	orthologue	GO:0046470;GO:0005634;GO:0005515;GO:0005509;GO:0016020;GO:0009395;GO:0004630;GO:0070290;GO:0005886;GO:0005737;GO:0016042;GO:0003824	Phospholipase D (EC 3.1.4.4);Phospholipase D beta 2 (AtPLDbeta2) (PLD beta 2) (EC 3.1.4.4) (PLDdelta1)
El001G000350	538	AT4G00290.1, AT4G00234.1	AT4G00290.1	orthologue	GO:0008150;GO:0003674;GO:0009507;GO:0009941;GO:0005743;GO:0005739;GO:0008381;GO:0034599;GO:0005886;GO:0016020;GO:0055085	Mechanosensitive ion channel protein 1, mitochondrial (Mechanosensitive channel of small conductance-like 1) (MscS-Like protein 1);Mechanosensitive ion channel-like protein
El001G000360	511	AT4G00295.1	AT4G00295.1	orthologue	GO:0008375;GO:0005794;GO:0008150;GO:0016020	Fringe-like protein
El001G000370	481	AT4G00300.1	AT4G00300.1	orthologue	GO:0004714;GO:0005783;GO:0016757;GO:0005576;GO:0004674;GO:0016020;GO:0006468	Receptor-like kinase
El001G000380	721	AT1G01580.2	AT1G01580.2	other	GO:0033214;GO:0005886;GO:0060586;GO:0009617;GO:0140618;GO:0000293;GO:0005634;GO:0046872;GO:0016020;GO:0016491	Ferric reduction oxidase 2;Ferric reduction oxidase 2 (AtFRO2) (EC 1.16.1.7) (Ferric-chelate reductase 2) (Protein FERRIC CHELATE REDUCTASE DEFECTIVE 1)
El001G000390	120	AT3G28216.1	AT3G28216.1	orthologue	GO:0003674;GO:0005739	Uncharacterized protein
El001G000400	126	AT4G00305.1	AT4G00305.1	orthologue	GO:0005737;GO:0016567;GO:0061630;GO:0008270	RING/U-box superfamily protein
El001G000410	299	AT4G00310.1	AT4G00310.1	orthologue	GO:0009793;GO:0009561;GO:0003674;GO:0005634	AT4G00310 protein (AT4g00310/A_IG005I10_17) (A_IG005I10.17 protein) (F5I10.17 protein) (Membrane lipoprotein)
El001G000420	69					
El001G000430	406	AT4G00330.1	AT4G00330.1	orthologue	GO:0009507;GO:0009555;GO:0004674;GO:0005829;GO:0005524;GO:0106310;GO:0004672;GO:0006468;GO:0016301;GO:0016310	Calmodulin-binding receptor-like cytoplasmic kinase 2 (EC 2.7.11.1)
El001G000440	190	AT4G00335.1	AT4G00335.1	orthologue	GO:0005634;GO:0016567;GO:0005829;GO:0004842;GO:0008270;GO:0016740	Probable E3 ubiquitin-protein ligase RHB1A (EC 2.3.2.27) (RING-H2 finger B1a) (RING-H2 zinc finger protein RHB1a) (RING-type E3 ubiquitin transferase RHB1A)
El001G000450	821	AT4G00340.1	AT4G00340.1	orthologue	GO:0004674;GO:0006468;GO:0016020;GO:0004672;GO:0005515;GO:0005576;GO:0048544;GO:0005516;GO:0005886;GO:0005524;GO:0030246;GO:0031625;GO:0106310	G-type lectin S-receptor-like serine/threonine-protein kinase SD2-2 (EC 2.7.11.1) (Receptor-like kinase 4) (S-domain-2 (SD2) receptor kinase 2) (SD2-2);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
El001G000460	541	AT4G00350.1	AT4G00350.1	orthologue	GO:0015297;GO:1990961;GO:0016020;GO:0022857;GO:0042910;GO:0009507;GO:0055085	Protein DETOXIFICATION 34 (AtDTX34) (Multidrug and toxic compound extrusion protein 34) (MATE protein 34)
El001G000470	283	AT4G00355.1	AT4G00355.1	orthologue	GO:0005634;GO:0043231;GO:0005515;GO:0005783;GO:0005789;GO:0006914;GO:0015031	ATG8-interacting protein 2
El001G000490	554	AT4G00360.1	AT4G00360.1	orthologue	GO:0005506;GO:0006631;GO:0005515;GO:0018685;GO:0070330;GO:0020037;GO:0005576;GO:0006952;GO:0016020;GO:0016712;GO:0004497;GO:0016705	Cytochrome P450 86A2 (EC 1.14.14.1) (Protein ABERRANT INDUCTION OF TYPE THREE 1)
El001G000500	556	AT4G00370.1	AT4G00370.1	orthologue	GO:0009941;GO:0009507;GO:0009536;GO:0015882;GO:0008514;GO:0009706;GO:0015229;GO:0010028;GO:0005315;GO:0022857;GO:0055085	Ascorbate transporter, chloroplastic (Phosphate transporter PHT4;4) (AtPHT4;4) (Probable anion transporter 2)
El001G000510	500	AT4G00400.1	AT4G00400.1	orthologue	GO:0016791;GO:0090447;GO:0010143;GO:0005783;GO:0016024;GO:0016020;GO:0004366;GO:0016746	Probable glycerol-3-phosphate acyltransferase 8 (EC 2.3.1.15)
El001G000520	287	AT4G00430.1	AT4G00430.1	orthologue	GO:0005886;GO:0055085;GO:0009414;GO:0015250;GO:0005829;GO:0006833;GO:0005515;GO:0015267;GO:0016020	Plasma membrane intrinsic protein 14;Probable aquaporin PIP1-4 (Plasma membrane intrinsic protein 1-4) (AtPIP1;4) (Transmembrane protein C) (TMP-C)
El001G000530	489	AT2G17905.1, AT5G36225.1	AT2G17905.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634	Ta11-like non-LTR retrotransposon;Zinc knuckle protein
El001G000540	90	AT5G45330.1	AT5G45330.1	other	GO:0005634;GO:0010606;GO:0000932;GO:0017148;GO:0031087;GO:0003723;GO:0034063;GO:0003729;GO:0033962;GO:0042803;GO:0006397	Decapping 5-like protein
El001G000550	832	AT4G00440.2	AT4G00440.2	orthologue	GO:0005634;GO:0003674	GPI-anchored adhesin-like protein, putative (DUF3741)
El001G000560	2234	AT4G00450.1	AT4G00450.1	orthologue	GO:0005634;GO:0040034;GO:0016592;GO:0006357;GO:0090213;GO:0048573;GO:0003712	Mediator of RNA polymerase II transcription subunit 12 (Protein CENTER CITY) (Protein CRYPTIC PRECOCIOUS)
El001G000570	479	AT4G00460.2	AT4G00460.2	orthologue	GO:0005634;GO:0005886;GO:0005085;GO:0016020	RHO guanyl-nucleotide exchange factor 3;Rop guanine nucleotide exchange factor 3 (AtRopGEF3) (Rho of plants guanine nucleotide exchange factor 3)
El001G000580	704	AT4G00480.2	AT4G00480.2	other	GO:0005515;GO:0006355;GO:0005634;GO:0048629;GO:0046983;GO:0035618;GO:0003700;GO:0003677;GO:0009889;GO:0080090	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor MYC1 (AtMYC1) (Basic helix-loop-helix protein 12) (AtbHLH12) (bHLH 12) (Transcription factor EN 58) (bHLH transcription factor bHLH012)
El001G000590	533	AT4G00490.1	AT4G00490.1	orthologue	GO:0016161;GO:0009507;GO:0009570;GO:0005576;GO:0000272	Beta-amylase 2, chloroplastic (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase) (Beta-amylase 9)
El001G000600	460	AT4G00500.1	AT4G00500.1	orthologue	GO:0005886;GO:0005516;GO:0016042;GO:0006629	Alpha/beta-Hydrolases superfamily protein
El001G000610	429	AT4G00520.2	AT4G00520.2	orthologue	GO:0009062;GO:0005634;GO:0006637;GO:0003674;GO:0047617;GO:0005782;GO:0006631;GO:0051289;GO:0052815;GO:0052816	Acyl-CoA hydrolase 1 (AtACH1) (EC 3.1.2.20) (Acyl-coA thioesterase I) (ACT-I) (Protein CYCLIC NUCLEOTIDE REGULATED THIOESTERASE 1) (AtCNTE1);Acyl-CoA thioesterase family protein
El001G000620	142	AT4G00525.1	AT4G00525.1	orthologue	GO:0008150;GO:0003674;GO:0005634	At4g00525
El001G000630	72	AT4G00530.1	AT4G00530.1	orthologue	GO:0008150;GO:0005739;GO:0003674	UvrABC system protein A
El001G000640	149	AT2G45760.1	AT2G45760.1	other	GO:0005575;GO:0003674;GO:0006952;GO:0016020	BON1-associated protein 2 (Protein BON1-ASSOCIATED PROTEIN 1-LIKE)
El001G000650	402	AT4G00540.1	AT4G00540.1	orthologue	GO:0003700;GO:0006355;GO:0005634;GO:0000978;GO:0043565;GO:0042752;GO:0000981;GO:0003677	Myb domain protein 3r2;Transcription factor MYB3R-2 (Myb-related protein 3R-2) (Plant c-MYB-like protein 2) (Protein PC-MYB2)
El001G000660	473	AT4G00550.1	AT4G00550.1	orthologue	GO:0009707;GO:0019375;GO:0016036;GO:0009507;GO:0008194;GO:0035250;GO:0046481;GO:0016757;GO:0009247	Digalactosyldiacylglycerol synthase 2, chloroplastic (EC 2.4.1.241)
El001G000670	325	AT4G00560.4	AT4G00560.4	orthologue	GO:0008150;GO:0003674;GO:0005575	At4g00560 (NAD(P)-binding Rossmann-fold superfamily protein);NAD(P)-binding Rossmann-fold superfamily protein
El001G000680	607	AT4G00570.1	AT4G00570.1	orthologue	GO:0005739;GO:0006090;GO:0005515;GO:0008270;GO:0004471;GO:0051287;GO:0005524;GO:0005829;GO:0006108;GO:0050897;GO:0042803;GO:0004470;GO:0016616	NAD-dependent malic enzyme 2, mitochondrial (AtNAD-ME2) (NAD-malic enzyme 2) (EC 1.1.1.39)
El001G000690	88	AT4G00585.1	AT4G00585.1	orthologue	GO:0045271;GO:0031966;GO:0003674;GO:0009853	Transmembrane protein (Uncharacterized protein At4g00585)
El001G000700	408	AT4G00590.1	AT4G00590.1	orthologue	GO:0004298;GO:0051604;GO:0005737;GO:0006508;GO:0016787	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein;Putative threonine aspartase (Taspase-1) (EC 3.4.25.-) [Cleaved into: Putative threonine aspartase subunit alpha; Putative threonine aspartase subunit beta]
El001G000710	192					
El001G000720	346	AT4G00600.1	AT4G00600.1	orthologue	GO:0005829;GO:0035999;GO:0004477;GO:0009507;GO:0004488;GO:0009853;GO:0003824	Bifunctional protein FolD 3, chloroplastic (Tetrahydrofolate dehydrogenase/cyclohydrolase 3) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
El001G000730	363	AT4G00620.1	AT4G00620.1	orthologue	GO:0035999;GO:0004477;GO:0009507;GO:0004488;GO:0005829;GO:0009853;GO:0003824	Bifunctional protein FolD 4, chloroplastic (Protein EMBRYO DEFECTIVE 3127) (Tetrahydrofolate dehydrogenase/cyclohydrolase 4) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
El001G000740	1188	AT4G00630.2	AT4G00630.2	orthologue	GO:2000070;GO:0015386;GO:0009507;GO:0009646;GO:0031969;GO:0009706;GO:0009658;GO:1902600;GO:0009941;GO:1900069;GO:1900140;GO:0140899;GO:0010109;GO:0009737;GO:2001057;GO:2000377;GO:0015079;GO:0042794;GO:0015078;GO:0006813;GO:0019722;GO:0080022;GO:0016020;GO:0009536;GO:0009744;GO:0005829;GO:0006885;GO:0009738;GO:0006812;GO:0008324;GO:0015297;GO:0055085	K(+) efflux antiporter 2, chloroplastic (AtKEA2);K+ efflux antiporter 2
El001G000750	504	AT4G00660.1	AT4G00660.1	orthologue	GO:0017148;GO:0034063;GO:0016032;GO:0003724;GO:0033962;GO:0005737;GO:0005829;GO:0000932;GO:0010494;GO:0019060;GO:0003729;GO:0005515;GO:0005524;GO:0006397;GO:0006417;GO:0016887;GO:0051028;GO:0003676	DEAD-box ATP-dependent RNA helicase 8 (EC 3.6.4.13)
El001G000760	123	AT4G00670.1	AT4G00670.1	orthologue	GO:0005886;GO:0008150;GO:0003674	At4g00670 (Remorin family protein)
El001G000770	141	AT4G00680.2	AT4G00680.2	orthologue	GO:0030042;GO:0015629;GO:0005737;GO:0051015;GO:0003779	Actin depolymerizing factor 8;Actin-depolymerizing factor 8 (ADF-8) (AtADF8)
El001G000780	173					
El001G000790	1006	AT4G00700.1	AT4G00700.1	orthologue	GO:0003674;GO:0005886;GO:0005829;GO:0046872	Multiple C2 domain and transmembrane region protein 9
El001G000800	490	AT4G00710.1	AT4G00710.1	orthologue	GO:0009742;GO:0004674;GO:0005829;GO:0005886;GO:0005634;GO:0005515;GO:0009506;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Serine/threonine-protein kinase BSK3 (EC 2.7.11.1) (Brassinosteroid-signaling kinase 3)
El001G000810	473	AT4G00720.1	AT4G00720.1	orthologue	GO:0005634;GO:0005737;GO:0009741;GO:0004674;GO:0030154;GO:0046777;GO:0016301;GO:0007165;GO:0005524;GO:0106310;GO:0004672;GO:0006468;GO:0018107	Shaggy-related protein kinase theta (EC 2.7.11.1) (ASK-theta) (Shaggy-related protein kinase 32) (AtSK32)
El001G000820	797	AT4G00730.1	AT4G00730.1	orthologue	GO:0010143;GO:0005515;GO:0000976;GO:0005634;GO:0000981;GO:0003700;GO:0043481;GO:0009827;GO:0048364;GO:0048765;GO:0008289;GO:0006723;GO:0003677;GO:0006355	Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein;Homeobox-leucine zipper protein ANTHOCYANINLESS 2 (HD-ZIP protein ANL2) (Homeodomain protein AHDP) (Homeodomain transcription factor ANL2)
El001G000830	599	AT4G00740.1	AT4G00740.1	orthologue	GO:0000139;GO:0045489;GO:0005634;GO:0016020;GO:0005739;GO:0042546;GO:0052546;GO:0008757;GO:0005768;GO:0005802;GO:0005794;GO:0005737;GO:0000138;GO:0032259;GO:0008168	Probable pectin methyltransferase QUA3 (EC 2.1.1.-) (Protein QUASIMODO 3)
El001G000840	640	AT4G00750.1	AT4G00750.1	orthologue	GO:0005794;GO:0005829;GO:0005737;GO:0005768;GO:0005802;GO:0000139;GO:0008168;GO:0032259	Probable methyltransferase PMT15 (EC 2.1.1.-)
El001G000850	469	AT4G00752.1	AT4G00752.1	orthologue	GO:0005575;GO:0043130;;GO:0005515	Plant UBX domain-containing protein 9 (PUX9)
El001G000860	369	AT4G00755.1	AT4G00755.1	orthologue	GO:0003674;GO:0005634;;GO:0005515	F-box protein At4g00755
El001G000870	372	AT4G00760.1	AT4G00760.1	orthologue	GO:0009736;GO:0000156;GO:0006355;GO:0005634;GO:0000160	Pseudo-response regulator 8;Putative two-component response regulator-like APRR8 (Pseudo-response regulator 8)
El001G000880	425	AT4G00770.1	AT4G00770.1	orthologue	GO:0003674;GO:0005634	At4g00770 (DUF4378 domain protein)
El001G000890	273	AT1G45063.1	AT1G45063.1	other	GO:0005886;GO:0005576;GO:0008150;GO:0009055	Copper ion binding / electron carrier protein
El001G000900	373	AT4G01370.1	AT4G01370.1	orthologue	GO:0006468;GO:0010183;GO:0007112;GO:0009862;GO:0005634;GO:0005515;GO:0042539;GO:0000911;GO:0071244;GO:0009651;GO:0016310;GO:0004707;GO:0004672;GO:0009868;GO:0009409;GO:0004674;GO:2000377;GO:0035556;GO:0009620;GO:0006972;GO:0043622;GO:0009861;GO:0005737;GO:0010119;GO:0090333;GO:0009737;GO:0009555;GO:0009504;GO:0016301;GO:0007165;GO:0005524;GO:0005874;GO:0045087;GO:0106310	Mitogen-activated protein kinase 4 (AtMPK4) (MAP kinase 4) (EC 2.7.11.24)
El001G000910	362	AT4G01360.1	AT4G01360.1	orthologue	GO:0009793;GO:0009507;GO:0071456;GO:0003674	BPS1-like protein
El001G000920	608	AT1G42615.1, AT2G02955.1	AT2G02955.1	other	GO:0001164;GO:0001188;GO:0009793;GO:0005515;GO:0070860;GO:0005634;GO:0042790;GO:0008270;GO:0006360	TATA box-binding protein associated factor RNA polymerase I subunit B;TATA box-binding protein-associated factor RNA polymerase I subunit B (Central cell guidance protein) (Protein MATERNAL EFFECT EMBRYO ARREST 12) (TATA box-binding protein-associated factor 1B) (TBP-associated factor 1B)
El001G000930	256	AT4G01245.1	AT4G01245.1	orthologue	GO:0005575;GO:0003674;GO:0008150	Uncharacterized protein
El001G000950	424	AT4G01320.1	AT4G01320.1	orthologue	GO:0005783;GO:0071586;GO:0004175;GO:0009507;GO:0004222;GO:0080120;GO:0005773;GO:0005789;GO:0005829;GO:0006508;GO:0046872;GO:0008233	CAAX prenyl protease (EC 3.4.24.84);CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (AtFACE-1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog) (AtSTE24)
El001G000960	264	AT4G01310.1	AT4G01310.1	orthologue	GO:0009570;GO:0006412;GO:0022626;GO:0009941;GO:0003729;GO:0005829;GO:0009507;GO:0003735;GO:0003723;GO:0019843;GO:1990904;GO:0005840	Large ribosomal subunit protein uL5c (50S ribosomal protein L5, chloroplastic)
El001G000970	996	AT4G01290.1	AT4G01290.1	orthologue	GO:0034518;GO:0008150;GO:0003729;GO:0005634	Chorismate synthase
El001G000980	106	AT4G01870.2	AT4G01870.2	other	GO:0005829;GO:0005634;GO:0003674;GO:0006508;GO:0009507	TolB protein-like protein
El001G000990	308	AT4G01280.2	AT4G01280.2	orthologue	GO:0005634;GO:0003700;GO:0003677	Protein REVEILLE 5
El001G001000	505	AT4G01270.1	AT4G01270.1	other	GO:0005737;GO:0003674;GO:0008270	Putative RING zinc finger protein (RING/U-box superfamily protein)
El001G001010	301	AT4G01250.1	AT4G01250.1	orthologue	GO:0006355;GO:0005634;GO:0003700;GO:0071456;GO:0000976;GO:0010150;GO:0006952;GO:0043565	WRKY transcription factor 22 (WRKY DNA-binding protein 22)
El001G001020	350	AT4G00620.1, AT4G00600.1	AT4G00620.1	other	GO:0005829;GO:0035999;GO:0004477;GO:0009507;GO:0004488;GO:0009853	Bifunctional protein FolD 3, chloroplastic (Tetrahydrofolate dehydrogenase/cyclohydrolase 3) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)];Bifunctional protein FolD 4, chloroplastic (Protein EMBRYO DEFECTIVE 3127) (Tetrahydrofolate dehydrogenase/cyclohydrolase 4) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
El001G001030	478	AT4G01240.1	AT4G01240.1	orthologue	GO:0008150;GO:0005634;GO:0008168;GO:0012505;GO:0016020;GO:0032259	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
El001G001040	244	AT4G01230.2	AT4G01230.2	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0005789;GO:0009617	Reticulon-like protein B7 (AtRTNLB7)
El001G001050	359	AT4G01220.1	AT4G01220.1	orthologue	GO:0010306;GO:0005794;GO:0048868;GO:0000138;GO:0035252;GO:0042285;GO:0009507;GO:0000139;GO:0016757	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase MGP4 (EC 2.4.2.-) (Protein MALE GAMETOPHYTE DEFECTIVE 4) (Rhamnogalacturonan xylosyltransferase MGP4)
El001G001060	1023	AT4G01210.1	AT4G01210.1	orthologue	GO:0005739;GO:0005802;GO:0000137;GO:0005794;GO:0016757;GO:0005768;GO:0016020;GO:0016740	Glycosyl transferase family 1 protein (Glycosyltransferase)
El001G001070	249	AT4G01200.1	AT4G01200.1	orthologue	GO:0003674;GO:0005575;GO:0006952	Calcium-dependent lipid-binding (CaLB domain) family protein
El001G001080	411	AT4G01190.2	AT4G01190.2	orthologue	GO:0046854;GO:0046488;GO:0016308;GO:0005886;GO:0005737;GO:0005524;GO:0052742	1-phosphatidylinositol-4-phosphate 5-kinase (EC 2.7.1.68);Putative phosphatidylinositol 4-phosphate 5-kinase 11 (AtPIP5K11) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 11) (Diphosphoinositide kinase 11) (PtdIns(4)P-5-kinase 11)
El001G001090	489	AT4G01160.2	AT4G01160.2	orthologue	GO:0016567;GO:0005634;GO:0070026;GO:0010114;GO:0005515	BTB/POZ domain-containing protein At4g01160
El001G001100	163	AT4G01150.1	AT4G01150.1	orthologue	GO:0009941;GO:0090391;GO:0009535;GO:0009534;GO:0005515;GO:0009507;GO:0010287;GO:0009515;GO:0009579;GO:0005829;GO:0097753;GO:0016020	CURVATURE THYLAKOID 1A-like protein;Protein CURVATURE THYLAKOID 1A, chloroplastic
El001G001120	303	AT4G01140.1	AT4G01140.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0016020	At4g01140 (Transmembrane protein, putative (DUF1191))
El001G001130	230	AT4G01130.1	AT4G01130.1	orthologue	GO:0005739;GO:0016788;GO:0005829;GO:0009507;GO:0005576;GO:0016042	GDSL esterase/lipase At4g01130 (EC 3.1.1.-) (Extracellular lipase At4g01130);GDSL-like Lipase/Acylhydrolase superfamily protein
El001G001140	364	AT4G01120.1	AT4G01120.1	orthologue	GO:0043565;GO:0005515;GO:0006355;GO:0000976;GO:0005634;GO:0003700;GO:0019760;GO:0009637;GO:0005737;GO:0003677	G-box-binding factor 2 (bZIP transcription factor 54) (AtbZIP54)
