Arabidopsis_lyrata_Rawat	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
AL1089U10010	113	AT4G01100.2	AT4G01100.2	other	GO:0015217;GO:0005739;GO:0080121;GO:0080122;GO:0000325;GO:0005347;GO:0015866;GO:0005829;GO:0055085;GO:0015867;GO:0009060;GO:0005743;GO:0015297	Adenine nucleotide transporter 1;Mitochondrial adenine nucleotide transporter ADNT1 (Adenine nucleotide transporter 1)
AL108U10010	243	AT2G40200.1	AT2G40200.1	orthologue	GO:0046983;GO:0006355;GO:0003700;GO:0005634;GO:0003677	Transcription factor bHLH51 (Basic helix-loop-helix protein 51) (AtbHLH51) (bHLH 51) (Transcription factor EN 57) (bHLH transcription factor bHLH051)
AL108U10020	728	AT2G40190.1	AT2G40190.1	orthologue	GO:0006487;GO:0004377;GO:0009737;GO:0006970;GO:0005789;GO:0018279;GO:0006488;GO:0005576;GO:0009832;GO:0005783;GO:0006490;GO:0016020;GO:0005515;GO:0016757	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Protein LEAF WILTING 3)
AL108U10030	315	AT1G02770.1, AT1G19060.1, AT1G23950.2, AT1G23960.1, AT1G23970.2, AT1G27860.1, AT1G28500.1, AT3G19520.3	AT1G23950.2	other	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0005737	Putative UPF0725 protein At1g28500;UPF0725 protein At1g02770;UPF0725 protein At1g19060;UPF0725 protein At1g23950;UPF0725 protein At1g23960;UPF0725 protein At1g23970;UPF0725 protein At1g27860;UPF0725 protein At3g19520;Uncharacterized protein
AL109U10010	87					
AL109U10020	130	AT2G29000.1	AT2G29000.1	other	GO:0004672;GO:0006468;GO:0005575;GO:0004674;GO:0005524;GO:0016020	Leucine-rich repeat protein kinase family protein
AL109U10030	1526	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020;GO:0015074;GO:0003676;GO:0006468;GO:0004713	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
AL1105U10010	198	AT5G66970.1	AT5G66970.1	other	GO:0006614;GO:0003924;GO:0048500;GO:0005737;GO:0005525;GO:0005786;GO:0005829;GO:0006616;GO:0008312;GO:0030942	P-loop containing nucleoside triphosphate hydrolases superfamily protein (Signal recognition particle-like/SRP-like)
AL110U10010	1871	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964;GO:0003676;GO:0004523;GO:0003824	Non-LTR retroelement reverse transcriptase
AL110U10020	184	AT2G36026.1	AT2G36026.1	orthologue	GO:0005515;GO:0005634;GO:0045892	Transcription repressor (Ovate family protein)
AL112U10010	268	AT5G65600.1, AT5G10530.1	AT5G65600.1	other	GO:0002229;GO:0140426;GO:0006468;GO:0009626;GO:0005515;GO:0004674;GO:0016301;GO:0005886;GO:0009862;GO:1900426;GO:0005576;GO:0005524;GO:0030246;GO:0106310	L-type lectin-domain containing receptor kinase IX.1 (LecRK-IX.1) (EC 2.7.11.1);L-type lectin-domain containing receptor kinase IX.2 (LecRK-IX.2) (EC 2.7.11.1)
AL112U10040	524	AT5G65620.2	AT5G65620.2	orthologue	GO:0009536;GO:0009570;GO:0004222;GO:0006518;GO:0009507;GO:0005739;GO:0006508;GO:0005759;GO:0046872;GO:0005829	Organellar oligopeptidase A, chloroplastic/mitochondrial (AtOOP) (EC 3.4.24.70) (Thimet metalloendopeptidase 1) (Zincin-like metalloproteases family protein 1);oligopeptidase A (EC 3.4.24.70)
AL112U10050	547	AT5G65630.1	AT5G65630.1	orthologue	GO:0004674;GO:0003674;GO:0042393;GO:0006357;GO:0000785;GO:0005634;GO:0006338;GO:0003682;GO:0009294;GO:0005515	Transcription factor GTE7 (Bromodomain-containing protein GTE7) (Protein GLOBAL TRANSCRIPTION FACTOR GROUP E7)
AL113U10010	808	AT4G27290.2, AT1G65800.1, AT1G65790.1, AT4G21380.1	AT4G21380.1	other	GO:0004674;GO:0004675;GO:0005886;GO:0031625;GO:0007165;GO:0005773;GO:0009506;GO:0048544;GO:0009507;GO:0006955;GO:0005516;GO:0005576;GO:0005829;GO:0006468;GO:0004672;GO:0046777;GO:0007178;GO:0071215;GO:0016020;GO:0019199;GO:0005634;GO:0005524;GO:0009738;GO:0030246;GO:0106310	G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290 (EC 2.7.11.1);Receptor kinase 3;Receptor-like serine/threonine-protein kinase (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase SD1-6 (EC 2.7.11.1) (Arabidopsis thaliana receptor kinase 2) (S-domain-1 (SD1) receptor kinase 6) (SD1-6);Receptor-like serine/threonine-protein kinase SD1-7 (EC 2.7.11.1) (Arabidopsis thaliana receptor kinase 1) (S-domain-1 (SD1) receptor kinase 7) (SD1-7);Receptor-like serine/threonine-protein kinase SD1-8 (EC 2.7.11.1) (Arabidopsis thaliana receptor kinase 3) (S-domain-1 (SD1) receptor kinase 8) (SD1-8);non-specific serine/threonine protein kinase (EC 2.7.11.1)
AL113U10020	531	AT3G50930.1	AT3G50930.1	orthologue	GO:0009626;GO:0009863;GO:0009617;GO:0005740;GO:0012501;GO:0002237;GO:0005741;GO:0005886;GO:0005739;GO:0042802;GO:0009411;GO:0005524;GO:0008219;GO:0016887	Protein HYPER-SENSITIVITY-RELATED 4 (AtHSR4) (EC 3.6.1.-) (BCS1-like protein)
AL113U10030	603	AT4G27290.2, AT1G65800.1, AT1G65790.1, AT4G21380.1	AT4G21380.1	other	GO:0004674;GO:0004675;GO:0005886;GO:0031625;GO:0007165;GO:0005773;GO:0009506;GO:0048544;GO:0009507;GO:0006955;GO:0005516;GO:0005576;GO:0005829;GO:0006468;GO:0004672;GO:0046777;GO:0007178;GO:0071215;GO:0016020;GO:0019199;GO:0005634;GO:0005524;GO:0009738;GO:0030246;GO:0106310	G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290 (EC 2.7.11.1);Receptor kinase 3;Receptor-like serine/threonine-protein kinase (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase SD1-6 (EC 2.7.11.1) (Arabidopsis thaliana receptor kinase 2) (S-domain-1 (SD1) receptor kinase 6) (SD1-6);Receptor-like serine/threonine-protein kinase SD1-7 (EC 2.7.11.1) (Arabidopsis thaliana receptor kinase 1) (S-domain-1 (SD1) receptor kinase 7) (SD1-7);Receptor-like serine/threonine-protein kinase SD1-8 (EC 2.7.11.1) (Arabidopsis thaliana receptor kinase 3) (S-domain-1 (SD1) receptor kinase 8) (SD1-8);non-specific serine/threonine protein kinase (EC 2.7.11.1)
AL117U10010	133				GO:0016020;GO:0022857;GO:0055085	
AL117U10020	387					
AL117U10040	473	AT5G43360.1	AT5G43360.1	orthologue	GO:0055085;GO:0005737;GO:0005886;GO:0005315;GO:0006817;GO:0015293;GO:0022857;GO:0016020	Probable inorganic phosphate transporter 1-3 (AtPht1;3) (H(+)/Pi cotransporter)
AL120U10010	907	AT2G32990.1	AT2G32990.1	orthologue	GO:0008810;GO:0005576;GO:0030245;GO:0071555;GO:0004553;GO:0005975	Endoglucanase 11 (EC 3.2.1.4) (Endo-1,4-beta glucanase 11)
AL120U10020	294	AT2G32980.1	AT2G32980.1	orthologue	GO:1990498;GO:0005515;GO:0051225;GO:0000278;GO:0005634;GO:0031023;GO:0007020;GO:0000911;GO:0005874	AUGMIN subunit 2
AL122U10010	296	AT1G78490.1	AT1G78490.1	other	GO:0010268;GO:0020037;GO:0016132;GO:0005506;GO:0004497;GO:0016705;GO:0009507;GO:0016020;GO:0007275;GO:0016125;GO:0016491	At1g78490 (Cytochrome P450, family 708, subfamily A, polypeptide 3) (Similar to cytochrome P450);Cytochrome P450, family 708, subfamily A, polypeptide 3
AL122U10020	2410				GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0003676;GO:0004523;GO:0015074	
AL123U10010	315	AT3G25180.1	AT3G25180.1	orthologue	GO:0046246;GO:0050832;GO:0009617;GO:0002213;GO:0009507;GO:0016114;GO:0005506;GO:0097008;GO:1901045;GO:0004497;GO:0097007;GO:0020037;GO:0016020;GO:0102171;GO:0016705	Dimethylnonatriene synthase (EC 1.14.14.59) (Cytochrome P450 82G1) (Protein OVIPOSITION RATE 9) (Trimethyltridecatetraene synthase) (EC 1.14.14.58)
AL123U10020	474	AT4G05360.1	AT4G05360.1	other	GO:1990414;GO:0007062;GO:0008270;GO:0008278;GO:0003682;GO:0003676	Zinc knuckle (CCHC-type) family protein
AL123U10030	219	AT3G25180.1	AT3G25180.1	other	GO:0046246;GO:0050832;GO:0009617;GO:0002213;GO:0009507;GO:0016114;GO:0005506;GO:0097008;GO:1901045;GO:0004497;GO:0097007;GO:0020037;GO:0016020;GO:0102171;GO:0016705	Dimethylnonatriene synthase (EC 1.14.14.59) (Cytochrome P450 82G1) (Protein OVIPOSITION RATE 9) (Trimethyltridecatetraene synthase) (EC 1.14.14.58)
AL123U10040	129	AT1G71110.1	AT1G71110.1	other	GO:0005576;GO:0003674;GO:0016020	Transmembrane protein
AL125U10010	123				GO:0003677;GO:0000981;GO:0006355	
AL125U10020	182	AT2G32360.1	AT2G32360.1	orthologue	GO:0005634;GO:0003674;;GO:0005515;GO:0005654;GO:0005829;GO:0031593;GO:0043130;GO:0043161;GO:0070628	Ubiquitin-like superfamily protein
AL125U10030	598	AT2G32350.1	AT2G32350.1	orthologue	GO:0043161;GO:0043130;GO:0070628;GO:0005829;GO:0005654;GO:0031593;GO:0005515;GO:0005741	Ubiquitin-like superfamily protein
AL125U10040	714	AT2G32320.2	AT2G32320.2	orthologue	GO:0006400;GO:0008193;GO:0005737;GO:0010228;GO:0005654;GO:0008033;GO:0000287;GO:0007049;GO:0040007;GO:0005525;GO:0005515	tRNA(His) guanylyltransferase 2 (EC 2.7.7.79)
AL126U10010	722	AT3G20520.1	AT3G20520.1	orthologue	GO:0008889;GO:0016020;GO:0006629;GO:0009507;GO:0006071;GO:0008081	Glycerophosphodiester phosphodiesterase GDPDL5 (EC 3.1.4.46) (Glycerophosphodiester phosphodiesterase-like 5) (ATGDPDL5) (Glycerophosphodiesterase-like 4) (Protein SHV3-LIKE 3)
AL126U10020	542				GO:0016020;GO:0009706;GO:0015245;GO:0015908	
AL126U10040	360	AT3G20555.1	AT3G20555.1	orthologue	GO:0003674;GO:0005739;GO:0008150	Uncharacterized protein
AL126U10050	276				GO:0004575;GO:0005739;GO:0005987;GO:0033926	
AL126U10060	363				GO:0004672;GO:0005524;GO:0006468;GO:0004540;GO:0006397;GO:0004521;GO:0004674;GO:0030968;GO:0036498;GO:0051082;GO:0070059;GO:1990604	
AL128U10010	695	AT2G09388.1	AT2G09388.1	other	GO:0005575;GO:0003674;GO:0008150	Uncharacterized protein
AL128U10020	115					
AL128U10030	161	AT2G27350.3	AT2G27350.3	orthologue	GO:0045814;GO:0003682;GO:0045893;GO:0042393;GO:0031491;GO:0140934;GO:0009507;GO:0045892;GO:0045927;GO:0004843;GO:0061578;GO:1902275;GO:0009966;GO:0005634;GO:0005737;GO:0040029;GO:0005515;GO:0006508	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 6 (OTU domain-containing protein 6) (EC 3.4.19.12) (Deubiquitinating enzyme OTU6) (Otubain-like deubiquitinase 1)
AL130U10010	54	AT5G51590.1	AT5G51590.1	other	GO:0005634;GO:0005515;GO:0003680;GO:0010089;GO:0010051	AT-hook motif nuclear-localized protein 4
AL130U10020	261	AT5G51585.1	AT5G51585.1	orthologue	GO:0003674;GO:0005634;GO:0016020	Transmembrane protein
AL132U10010	260	AT4G08730.1	AT4G08730.1	other	GO:0008150;GO:0005575;GO:0003674;;GO:0003676	RNA-binding protein
AL132U10020	271					
AL132U10030	245	AT3G46490.1	AT3G46490.1	orthologue	GO:0003674;GO:0005737;GO:0046872;GO:0051213	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AL133U10010	80					
AL133U10020	60					
AL133U10030	199	AT3G28223.1, AT3G28280.1, AT3G28330.1, AT3G48220.1	AT3G48220.1	other	GO:0003674;GO:0005737;GO:0008150;GO:0005575;GO:0004842;GO:0031146;GO:0005634	F-box family protein;F-box protein;F-box protein At3g28330;Putative F-box protein At3g28280
AL135U10010	352					
AL136U10010	322	AT2G30400.1	AT2G30400.1	orthologue	GO:0045892;GO:0005634;GO:0003677	Transcription repressor OFP2 (Ovate family protein 2) (AtOFP2)
AL136U10020	113	AT2G30410.1	AT2G30410.1	orthologue	GO:0015631;GO:0007021;GO:0005737;GO:0006457;GO:0000911;GO:0015630;GO:0007023;GO:0048487;GO:0005829;GO:0005777;GO:0005515	Tubulin-folding cofactor A (AtTFCA) (CFA) (Protein KIESEL) (TCP1-chaperonin cofactor A) (Tubulin-specific chaperone A)
AL136U10030	101	AT2G30420.1	AT2G30420.1	orthologue	GO:0080147;GO:0006355;GO:0048629;GO:0048765;GO:0005515;GO:0000976;GO:0005634;GO:1900033;GO:0010026;GO:0003700;GO:0003677;GO:0030154	MYB-like transcription factor ETC2 (Protein ENHANCER OF TRY AND CPC 2)
AL136U10040	1427					
AL138U10010	106	AT2G23970.1	AT2G23970.1	orthologue	GO:0005737;GO:0008150;GO:0003674;GO:0005829;GO:0006508;GO:0008233	Gamma-glutamyl peptidase 5 (EC 3.4.19.-)
AL139U10010	232	AT5G64890.1	AT5G64890.1	orthologue	GO:0098542;GO:0045087;GO:0003674;GO:0005737	Elicitor peptide 2
AL139U10020	530	AT5G58930.1	AT5G58930.1	orthologue	GO:0005739;GO:0003674;GO:0042659;GO:2000037	Emb|CAB61945.1
AL139U10030	471	AT5G58940.1	AT5G58940.1	orthologue	GO:0009651;GO:0005634;GO:0009409;GO:0004674;GO:0004683;GO:0042542;GO:0009737;GO:0005516;GO:0005524;GO:0005737;GO:0106310;GO:0004672;GO:0006468;GO:0016301;GO:0016310	Calmodulin-binding receptor-like cytoplasmic kinase 1 (EC 2.7.11.1)
AL139U10040	412	AT5G58950.1	AT5G58950.1	orthologue	GO:0004674;GO:0002239;GO:0005515;GO:0009788;GO:0005524;GO:0004712;GO:0007165;GO:0009612;GO:0005829;GO:0004713;GO:0004672;GO:0006468	At5g58950 (Protein kinase superfamily protein) (Protein-tyrosine kinase)
AL142U10010	123				GO:0000785;GO:0005634;GO:0006281;GO:0007064	
AL142U10020	336	AT1G77610.1	AT1G77610.1	orthologue	GO:0005459;GO:0005794;GO:0015297;GO:0015786;GO:0005460;GO:0015783;GO:0008514;GO:0072334;GO:0005457;GO:0055085;GO:0005886;GO:0016020	UDP-galactose transporter 1 (At-UDP-GalT1)
AL142U10030	960	AT1G77620.1	AT1G77620.1	orthologue	GO:0003689;GO:0000077;GO:0003682;GO:0006281;GO:0033314;GO:0016887;GO:0005634;GO:0005524;GO:0006260	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AL143U10010	348	AT3G18010.1	AT3G18010.1	orthologue	GO:0005634;GO:0003700;GO:0099402;GO:0003677	WUSCHEL-related homeobox 1 (PFS2-like protein)
AL144U10010	139	AT5G45240.1	AT5G45240.1	other	GO:0007165;GO:0006952;GO:0005737;GO:0043531	Disease resistance protein (TIR-NBS-LRR class)
AL144U10020	149	AT5G45240.1	AT5G45240.1	other	GO:0007165;GO:0006952;GO:0005737;GO:0043531	Disease resistance protein (TIR-NBS-LRR class)
AL144U10030	160	AT5G45230.1	AT5G45230.1	other	GO:0005737;GO:0043531;GO:0006952;GO:0007165	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6)
AL146U10010	707	AT2G29040.1	AT2G29040.1	orthologue	GO:0005794;GO:0006486;GO:0003674;GO:0000139;GO:0016757;GO:0009101	Exostosin family protein;Probable xyloglucan galactosyltransferase GT11 (EC 2.4.1.-) (Glycosyltransferase 11) (AtGT11)
AL146U10030	132	AT2G29020.1	AT2G29020.1	orthologue	GO:0003674;GO:0097250;GO:0005575;GO:0005739;GO:0005789	At2g29020/T9I4.10 (Expressed protein) (Putative Rab5-interacting protein) (Rab5-interacting family protein)
AL149U10010	56	AT1G29870.1, AT1G29880.1	AT1G29880.1	other	GO:0005739;GO:0005737;GO:0006426;GO:0070150;GO:0015966;GO:0046983;GO:0004820;GO:0009507;GO:0005794;GO:0005634;GO:0005802;GO:0005768;GO:0005524;GO:0005829;GO:0141192	Glycine--tRNA ligase, mitochondrial 1 (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase 1) (GlyRS-1);Putative glycine--tRNA ligase, cytoplasmic (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (AP-4-A synthetase) (Glycyl-tRNA synthetase) (GlyRS)
AL14U10010	1098	AT1G41820.1	AT1G41820.1	orthologue	GO:0008150;GO:0005575;GO:0003674;;GO:0003676;GO:0008270	Uncharacterized protein T4I21.4
AL152U10010	45	AT2G27860.1	AT2G27860.1	orthologue	GO:0009226;GO:0010494;GO:0051287;GO:0005829;GO:0005777;GO:0048040;GO:0005737;GO:0005794;GO:0010396;GO:0033320;GO:0033352;GO:0042802;GO:0042803;GO:0046982;GO:0071555;GO:0102765	UDP-D-apiose/UDP-D-xylose synthase 1 (EC 4.1.1.35)
AL152U10020	970				GO:0006508;GO:0008234	
AL158U10010	69	AT1G71410.1	AT1G71410.1	orthologue	GO:0032588;GO:0031902;GO:0005737;GO:0004672;GO:0032050;GO:0005515;GO:0080147;GO:0005770;GO:0005802;GO:0005524;GO:0000139;GO:0005794;GO:0035619	SCY1-like protein 2 B (Inactive protein kinase SCYL2B)
AL158U10020	841	AT1G71400.1	AT1G71400.1	orthologue	GO:0005576;GO:0010073;GO:0003674;GO:0007165;GO:0005886;GO:0005515;GO:0033612	Receptor-like protein 12 (AtRLP12)
AL158U10030	1043	AT1G71390.2, AT1G71400.1, AT3G23010.1, AT3G23110.1, AT3G23120.1, AT3G05370.1, AT3G05360.1	AT1G71390.2	other	GO:0005575;GO:0010073;GO:0003674;GO:0007165;GO:0005576;GO:0005886;GO:0016301;GO:0010555;GO:0009651;GO:0002238;GO:0032491;GO:0002240;GO:0009620;GO:0050832;GO:0002237;GO:0009791;GO:0005515;GO:0004842;GO:0016567	Receptor like protein 11;Receptor like protein 36;Receptor-like protein 11 (AtRLP11);Receptor-like protein 12 (AtRLP12);Receptor-like protein 30 (AtRLP30);Receptor-like protein 31 (AtRLP31);Receptor-like protein 36 (AtRLP36);Receptor-like protein 37 (AtRLP37) (Protein EMBRYO DEFECTIVE 2800);Receptor-like protein 38 (AtRLP38)
AL159U10010	398	AT3G06920.2	AT3G06920.2	orthologue	GO:0005739;GO:0008150;GO:0003729;;GO:0005515	Pentatricopeptide repeat-containing protein At3g06920;Tetratricopeptide repeat (TPR)-like superfamily protein
AL159U10020	512	AT3G06910.1	AT3G06910.1	orthologue	GO:0016926;GO:0005634;GO:0009506;GO:0005737;GO:0016929;GO:0006508;GO:0008234	Ubiquitin-like-specific protease 1A (EC 3.4.22.-)
AL159U10030	912				GO:0005515;GO:0004252;GO:0006508	
AL159U10040	247	AT3G06950.1	AT3G06950.1	other	GO:0009507;GO:0031119;GO:0003723;GO:0001522;GO:0009982;GO:0160147;GO:0009451	tRNA pseudouridine synthase (EC 5.4.99.12)
AL161U10010	495	AT5G57190.1	AT5G57190.1	other	GO:0006646;GO:0005509;GO:0009705;GO:0004609;GO:0005737;GO:0005739;GO:0012505;GO:0016020;GO:0016540;GO:0008654	Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain];phosphatidylserine decarboxylase (EC 4.1.1.65)
AL161U10020	164					
AL161U10030	370	AT5G57200.1	AT5G57200.1	other	GO:0005546;GO:0000149;GO:0072583;GO:0048268;GO:0030136;GO:0005545;GO:0005905;GO:0006900;GO:0009536;GO:0030276;GO:0032050;GO:0005634;GO:0005794;GO:0005543	Putative clathrin assembly protein At5g57200
AL161U10040	680	AT5G57210.1	AT5G57210.1	orthologue	GO:0030904;GO:0010008;GO:0042147;GO:0005794;GO:0005096;GO:0005737;GO:0005829;GO:0090630	AT5g57210/MJB24_2 (Microtubule-associated protein-like) (Ypt/Rab-GAP domain of gyp1p superfamily protein);Ypt/Rab-GAP domain of gyp1p superfamily protein
AL163U10010	77	AT2G31170.1	AT2G31170.1	other	GO:0005524;GO:0006423;GO:0004817;GO:0043067;GO:0009507;GO:0005739;GO:0009570;GO:0005737;GO:0010197;GO:0042407;GO:0046872;GO:0000166;GO:0004812;GO:0006418	Cysteine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS);cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase)
AL163U10020	219	AT2G31160.1	AT2G31160.1	orthologue	GO:0048834;GO:0009299;GO:0010492;GO:0005634;GO:0003674;GO:0048441;GO:0090698;GO:0010199;GO:0009416;GO:0003677	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 3 (Protein ORGAN BOUNDARY 1)
AL163U10030	417	AT2G31150.1	AT2G31150.1	orthologue	GO:0003674;GO:0005575;GO:0003729;GO:0009507;GO:0010239;GO:0019843;GO:1901259	ATP binding / ATPase
AL164U10010	385	AT1G32420.1, AT3G56670.1, AT5G50220.1, AT5G62060.1	AT1G32420.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0005739;;GO:0005515	Probable F-box protein At3g56670;Putative F-box protein At1g32420;Putative F-box protein At5g50220;Putative F-box protein At5g62060
