Noccaea_praecox	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Np001G000490	336	AT5G66390.1	AT5G66390.1	orthologue	GO:0009505;GO:0005576;GO:0140825;GO:0020037;GO:0009809;GO:0006979;GO:0042744;GO:0046872;GO:0004601	Peroxidase 72 (Atperox P72) (EC 1.11.1.7) (ATP6a) (PRXR8)
Np001G000500	309	AT5G66380.1	AT5G66380.1	orthologue	GO:0009941;GO:0009507;GO:0055085;GO:0005739;GO:1904947;GO:0008517;GO:0015230;GO:0015884;GO:0006862;GO:0031969	Folate transporter 1, chloroplastic (AtFOLT1)
Np001G000510	132	AT5G66370.1	AT5G66370.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Metal ion-binding protein
Np001G000520	374	AT5G66360.2	AT5G66360.2	orthologue	GO:0000154;GO:0046085;GO:0000179;GO:0031167;GO:0005739;GO:0005634;GO:0003723;GO:0006364	Ribosomal RNA small subunit methyltransferase, mitochondrial (EC 2.1.1.-) (18S mitochondrial rRNA (adenine(1914)-N(6)/adenine(1915)-N(6))-dimethyltransferase) (Adenosine dimethyl transferase 1B) (Dimethyladenosine transferase 1B)
Np001G000530	362	AT3G53210.1	AT3G53210.1	orthologue	GO:0005886;GO:0005576;GO:0009507;GO:0022857;GO:0016020	WAT1-related protein;WAT1-related protein At3g53210
Np001G000540	342	AT5G66350.1	AT5G66350.1	orthologue	GO:0006355;GO:0000976;GO:0003700;GO:0005515;GO:0005634;GO:0009938;GO:0045893;GO:0048653;GO:0009740;GO:0046982;GO:0009739;GO:0009555;GO:0003677;GO:0009734;GO:0009851;GO:0046872	Lateral root primordium (LRP) protein-like protein;Protein SHORT INTERNODES
Np001G000550	133	AT1G77370.2	AT1G77370.2	orthologue	GO:0000137;GO:0005576;GO:0005794;GO:0034599;GO:0005789;GO:0005737;GO:0016491;GO:0015038	Glutaredoxin family protein;Glutaredoxin-C3 (AtGrxC3)
Np001G000560	421	AT5G66330.1	AT5G66330.1	other	GO:0005886;GO:0007165;GO:0005515;GO:0016020	Leucine-rich repeat (LRR) family protein (Similarity to elicitor-inducible receptor-like protein)
Np001G000580	335	AT5G66320.1	AT5G66320.1	orthologue	GO:0006355;GO:0008270;GO:0000976;GO:0030154;GO:0006357;GO:0005634;GO:0003700;GO:0045893;GO:0043565;GO:0003677	GATA transcription factor 5
Np001G000590	1094	AT5G66310.1	AT5G66310.1	orthologue	GO:0005634;GO:0007018;GO:0009506;GO:0008017;GO:0003777;GO:0005524;GO:0005874	Kinesin-like protein KIN-7H
Np001G000600	293	AT5G66300.1	AT5G66300.1	orthologue	GO:0006355;GO:0048759;GO:0043565;GO:0000976;GO:0005634;GO:0003700;GO:0005515;GO:1901348;GO:0071555;GO:0003677	NAC domain-containing protein 105 (ANAC105) (Protein VASCULAR RELATED NAC-DOMAIN 3)
Np001G000610	198	AT5G66290.2	AT5G66290.2	orthologue	GO:0005739;GO:0003674;GO:0005634;GO:0009536	BLOC-1-related complex subunit 5;Uncharacterized protein
Np001G000620	364	AT5G66280.1	AT5G66280.1	orthologue	GO:0005737;GO:0042351;GO:0009536;GO:0019673;GO:0008446;GO:0005794;GO:0005515	GDP-mannose 4,6 dehydratase 1 (EC 4.2.1.47) (GDP-D-mannose dehydratase 1) (GMD 1)
Np001G000630	398	AT5G66270.1	AT5G66270.1	orthologue	GO:0005575;GO:0003674;GO:0003677;GO:0008270;GO:0046872	Zinc finger CCCH domain-containing protein 68 (AtC3H68)
Np001G000640	756	AT5G66420.2	AT5G66420.2	orthologue	GO:0003824;GO:1901135;GO:0009507;GO:0005829;GO:0005737;GO:0097367	AT5G66420 protein (TIM-barrel signal transduction protein);AT5g66420/K1F13_7 (TIM-barrel signal transduction protein);TIM-barrel signal transduction protein
Np001G000650	396	AT5G66430.1	AT5G66430.1	orthologue	GO:0005634;GO:0032259;GO:0008757;GO:0046872;GO:0008168	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase-like protein)
Np001G000670	235	AT5G66440.1	AT5G66440.1	orthologue	GO:0003674;GO:0005634;GO:0016020	tRNA-methyltransferase non-catalytic subunit trm6MTase subunit
Np001G000690	282	AT5G66450.3	AT5G66450.3	orthologue	GO:0006651;GO:0008195;GO:0009507;GO:0009706;GO:0016020;GO:0016787;GO:0005789;GO:0006487;GO:0008610;GO:0043231;GO:0047874	Lipid phosphate phosphatase epsilon 2, chloroplastic (AtLPPE2) (EC 3.1.3.-) (Phosphatidic acid phosphatase epsilon 2) (Plastidic phosphatidic acid phosphatase epsilon 2);Phosphatidic acid phosphatase (PAP2) family protein
Np001G000700	706	AT3G47840.1	AT3G47840.1	orthologue	GO:0003723;GO:0005739;GO:0043231;GO:0009451;GO:0005515	Putative pentatricopeptide repeat-containing protein At3g47840
Np001G000710	432	AT5G66460.1	AT5G66460.1	orthologue	GO:1990059;GO:0009828;GO:0005576;GO:0016985;GO:0071944;GO:0010047;GO:0009845;GO:0000272;GO:0004553	Mannan endo-1,4-beta-mannosidase 7 (EC 3.2.1.78) (Beta-mannanase 7) (Endo-beta-1,4-mannanase 7) (AtMAN7)
Np001G000720	427	AT5G66470.1	AT5G66470.1	orthologue	GO:0000028;GO:0006364;GO:0042644;GO:0009507;GO:0043024;GO:0003729;GO:0042254;GO:0019843;GO:0005525;GO:0003723	GTPase ERA-like, chloroplastic (GTP-binding protein Era-like)
Np001G000730	390	AT5G66480.1	AT5G66480.1	orthologue	GO:0009507;GO:0003674;GO:0016020	Bacteriophage N4 adsorption B protein
Np001G000740	525	AT5G66500.1	AT5G66500.1	orthologue	GO:0003723;GO:0043231;GO:0005739;GO:0009451;GO:0005515	Pentatricopeptide repeat-containing protein At5g66500, mitochondrial
Np001G000750	258	AT5G66510.2	AT5G66510.2	orthologue	GO:0045271;GO:0070207;GO:0005739;GO:0009853;GO:0031966;GO:0004089;GO:0005737;GO:0009536;GO:0046872	Gamma carbonic anhydrase 3, mitochondrial (AtCA3) (GAMMA CA3) (EC 4.2.1.-)
Np001G000760	308	AT5G66530.1	AT5G66530.1	orthologue	GO:0009507;GO:0009536;GO:0009570;GO:0047938;GO:0005975;GO:0005737;GO:0048046;GO:0030246;GO:0016853;GO:0003824	glucose-6-phosphate 1-epimerase (EC 5.1.3.15)
Np001G000770	531	AT5G66540.1	AT5G66540.1	orthologue	GO:0005634;GO:0005730;GO:0003729;GO:0005732;GO:0032040;GO:0005515;GO:0034457;GO:0006364	M phase phosphoprotein 10 (AtMPP10) (U3 small nucleolar ribonucleoprotein protein MPP10)
Np001G000780	184	AT3G50870.1	AT3G50870.1	other	GO:0009793;GO:0009909;GO:0006355;GO:0045892;GO:0005515;GO:0005634;GO:0009908;GO:0048825;GO:0043565;GO:0042803;GO:0008270;GO:0003700;GO:0009934;GO:0001228	GATA transcription factor 18 (Protein HANABA TARANU)
Np001G000790	239	AT5G66550.2	AT5G66550.2	orthologue	GO:0005737;GO:0047429;GO:0009507	Maf-like protein
Np001G000800	278	AT5G49560.1	AT5G49560.1	orthologue	GO:0008276;GO:0005737;GO:0032259	Methyltransferase family protein
Np001G000810	680	AT5G66560.1	AT5G66560.1	orthologue	GO:0005634;GO:0003674;GO:0016567;GO:0009507;GO:0005515	BTB/POZ domain-containing protein At5g66560;Phototropic-responsive NPH3 family protein
Np001G000840	332	AT5G66570.1	AT5G66570.1	orthologue	GO:0005515;GO:0009535;GO:0010207;GO:0009543;GO:0055035;GO:0009534;GO:0010205;GO:0019888;GO:0009507;GO:0042549;GO:0003729;GO:0009570;GO:0019684;GO:0009579;GO:0048046;GO:0031977;GO:0009654;GO:0008266;GO:0009536;GO:0010287;GO:0010242	Oxygen-evolving enhancer protein 1-1, chloroplastic (OEE1) (33 kDa subunit of oxygen evolving system of photosystem II) (33 kDa thylakoid membrane protein) (Manganese-stabilizing protein 1) (MSP-1) (OEC 33 kDa subunit)
Np001G000850	153	AT5G66580.1	AT5G66580.1	orthologue	GO:0005575;GO:0003674	Uncharacterized protein At5g66580
Np001G000860	183	AT5G66590.1	AT5G66590.1	orthologue	GO:0005615;GO:0005576;GO:0003674	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein (Similarity to pathogenesis-related protein)
Np001G000870	620	AT5G66600.1	AT5G66600.1	orthologue	GO:0005634;GO:0003674	Ternary complex factor MIP1, leucine-zipper;Uncharacterized protein
Np001G000890	101	AT5G66595.1	AT5G66595.1	orthologue	GO:0005739;GO:0003674	Uncharacterized protein
Np001G000900	640	AT5G66620.1	AT5G66620.1	orthologue	GO:0005634;GO:0043130;GO:0005737;GO:0008150;GO:0046872	DA1-related protein 6;Protein DA1-related 6
Np001G000910	659	AT5G66631.1	AT5G66631.1	orthologue	GO:0009507;GO:0003674;;GO:0005515	Pentatricopeptide repeat-containing protein At5g66631
Np001G000920	479	AT5G66640.5	AT5G66640.5	orthologue	GO:0043130;GO:0005634;	DA1-related protein 3;Protein DA1-related 3
Np001G000940	318	AT5G66650.1	AT5G66650.1	orthologue	GO:1990246;GO:0036444;GO:0009941;GO:0051560;GO:0015292;GO:0005262;GO:0071456;GO:0070509;GO:0009507;GO:0005739;GO:0031969;GO:0046872	Chloroplastic calcium uniporter protein (cMCU) (Calcium uniporter protein 6, chloroplastic) (AtMCU6)
Np001G000960	405	AT5G66675.1	AT5G66675.1	orthologue	GO:0005634;GO:0003674;GO:0016020	UPF0496 protein At5g66675
Np001G000970	459	AT5G66680.1	AT5G66680.1	orthologue	GO:0009536;GO:0009664;GO:0008250;GO:0018279;GO:0009826;GO:0009505;GO:0003674;GO:0005794;GO:0000325;GO:0005730;GO:0005783;GO:0005576;GO:0009506;GO:0005789	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (Oligosaccharyl transferase 48 kDa subunit) (Protein DEFECTIVE GLYCOSYLATION 1)
Np001G000990	481	AT5G66690.1, AT5G26310.1	AT5G26310.1	orthologue	GO:0047209;GO:0047218;GO:0005575;GO:0009808;GO:0016757;GO:0008194	UDP-glycosyltransferase 72E2 (EC 2.4.1.111) (Hydroxycinnamate 4-beta-glucosyltransferase UGT72E2) (EC 2.4.1.126);UDP-glycosyltransferase 72E3 (EC 2.4.1.111) (Hydroxycinnamate 4-beta-glucosyltransferase UGT72E3) (EC 2.4.1.126)
Np001G001000	69	AT5G35300.1	AT5G35300.1	orthologue	GO:0005739;GO:0003674;GO:0008150	Uncharacterized protein
Np001G001010	123	AT5G35300.1	AT5G35300.1	orthologue	GO:0005739;GO:0003674;GO:0008150	Uncharacterized protein
Np001G001060	225	AT5G66700.1	AT5G66700.1	orthologue	GO:0005634;GO:0009733;GO:0043565;GO:0048364;GO:0000981;GO:0003700;GO:0045893;GO:0003677;GO:0006355	Homeobox-leucine zipper protein ATHB-53 (HD-ZIP protein ATHB-53) (Homeodomain transcription factor ATHB-53)
Np001G001070	403	AT5G66710.1	AT5G66710.1	orthologue	GO:0006468;GO:0004672;GO:0004712;GO:0007165;GO:0005737;GO:0005524;GO:0005886;GO:0004674	Protein kinase ATN1-like protein (Protein kinase superfamily protein)
Np001G001080	405	AT5G66720.1	AT5G66720.1	orthologue	GO:0005739;GO:0009570;GO:0004722;GO:0009507;GO:0017018;GO:0046872;GO:0006470	Probable protein phosphatase 2C 80 (AtPP2C80) (EC 3.1.3.16)
Np001G001090	496	AT5G66730.1	AT5G66730.1	orthologue	GO:0005515;GO:0009937;GO:0000976;GO:0010431;GO:0006355;GO:0003700;GO:0010029;GO:0005634;GO:0008270;GO:0009740	Zinc finger protein ENHYDROUS (Protein indeterminate-domain 1)
Np001G001100	370	AT5G66740.1	AT5G66740.1	orthologue	GO:0005634;GO:0003674	Spindle assembly abnormal protein (DUF620)
Np001G001110	189	AT1G09960.1	AT1G09960.1	orthologue	GO:0005985;GO:0008506;GO:0005886;GO:0008515;GO:0005801;GO:0015770;GO:0005773;GO:0009705;GO:0015293;GO:0016020	Sucrose transport protein SUC4 (AtSUC4) (Sucrose permease 4) (Sucrose transporter 4) (Sucrose-proton symporter 4)
Np001G001130	188	AT5G65650.1	AT5G65650.1	orthologue	GO:0005575;GO:0003674;GO:0016020	Sugar transporter, putative (DUF1195)
Np001G001140	446	AT3G50670.1	AT3G50670.1	other	GO:0000398;GO:0005634;GO:0005515;GO:0030619;GO:0003729;GO:0071004;GO:0005685;GO:0005681;GO:0016607;GO:0003723;GO:0017069;GO:0071011;GO:0003676	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)
Np001G001150	766	AT5G66750.1	AT5G66750.1	orthologue	GO:0031507;GO:0045944;GO:0005515;GO:0005634;GO:0140750;GO:0003682;GO:0006346;GO:0140658;GO:0000785;GO:0000786;GO:0003678;GO:0006338;GO:0009294;GO:0003677;GO:0016887;GO:0032197;GO:0005524;GO:0040029	ATP-dependent DNA helicase DDM1 (EC 3.6.4.12) (Protein CHROMATIN REMODELING 1) (AtCHR1) (CHR01) (Protein DECREASED DNA METHYLATION 1) (AtDDM1) (Protein SOMNIFEROUS 1) (SWI/SNF2-related matrix-associated actin-dependent regulator of chromatin DDM1)
Np001G001160	626	AT5G66760.1	AT5G66760.1	orthologue	GO:0045273;GO:0009055;GO:0005739;GO:0006121;GO:0008177;GO:0006099;GO:0009536;GO:0050660;GO:0005524;GO:0000104;GO:0009505;GO:0050897;GO:0005743;GO:0016491;GO:0016627;GO:0022900;GO:0005749	Succinate dehydrogenase [ubiquinone] flavoprotein subunit 1, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit 1 of complex II) (FP)
Np001G001170	116	AT5G66780.1	AT5G66780.1	orthologue	GO:0003674;GO:0009507	AT5g66780/MUD21_2 (Late embryogenesis abundant protein);Late embryogenesis abundant protein
Np001G001190	640	AT5G66790.1	AT5G66790.1	orthologue	GO:0016310;GO:0016301;GO:0005886;GO:0007166;GO:0004674;GO:0005524;GO:0016020;GO:0106310;GO:0004672;GO:0006468	Wall-associated receptor kinase-like 21 (EC 2.7.11.-)
Np001G001200	186	AT5G66800.1	AT5G66800.1	orthologue	GO:0005634;GO:0003674;GO:0016301	Emb|CAB62433.1| (Membrane-associated kinase regulator-like protein)
Np001G001230	382	AT1G20795.1, AT1G20800.1	AT1G20795.1	orthologue	GO:0005739;GO:0003674;GO:0008150;GO:0005575;;GO:0005515	Putative F-box protein At1g20795;Putative F-box protein At1g20800
Np001G001280	101	AT1G80070.1	AT1G80070.1	other	GO:0030619;GO:0000398;GO:0030623;GO:0000244;GO:0005515;GO:0017070;GO:0071013;GO:0005682;GO:0005739;GO:0005634;GO:0030620;GO:0097157;GO:0000380;GO:0005681;GO:0008237	Pre-mRNA-processing-splicing factor 8A (PRP8 homolog A) (AtPRP8A) (Protein ABNORMAL SUSPENSOR 2) (Protein EMBRYO DEFECTIVE 14) (Protein EMBRYO DEFECTIVE 177) (Protein EMBRYO DEFECTIVE 33) (Protein SUPPRESSOR OF OVEREXPRESSED FCA 81)
Np001G001290	692	AT5G66810.1	AT5G66810.1	orthologue	GO:0005634;GO:0043161;GO:0005737;GO:0003674	Ran-binding protein in the microtubule-organising centre protein
Np001G001300	82	AT5G66815.1	AT5G66815.1	orthologue	GO:0010311;GO:2000280;GO:1902025;GO:0048046;GO:0009751;GO:0005576;GO:0009739;GO:0009733;GO:0005179;GO:0080022;GO:0006995;GO:1901371;GO:0006970;GO:0009741;GO:0060359;GO:0090548;GO:0048364;GO:1905614;GO:1901698;GO:0009630;GO:0005515	Precursor of CEP5 (PCEP5) [Cleaved into: C-terminally encoded peptide 5 (CEP5)]
Np001G001310	84	AT5G66816.1	AT5G66816.1	orthologue	GO:2000280;GO:1901371;GO:0006995;GO:0048364;GO:0048046;GO:1902025;GO:0005576;GO:0005179	Precursor of CEP6 (PCEP6) [Cleaved into: C-terminally encoded peptide 6.1 (CEP6.1) (CEP6a); C-terminally encoded peptide 6.2 (CEP6.2) (CEP6b)]
Np001G001320	396					
Np001G001330	76					
Np001G001350	92	AT1G76310.3	AT1G76310.3	other	GO:0005737;GO:0005515;GO:0005634;GO:0016538;GO:0044772;GO:0000307;GO:0000082;GO:0005815;GO:0010332;GO:0051301	CYCLIN B24;Cyclin-B2-4 (G2/mitotic-specific cyclin-B2-4) (CycB2;4)
Np001G001370	85					
Np001G001380	519	AT5G66820.1	AT5G66820.1	orthologue	GO:0003674;GO:0005739;GO:0016020	Transmembrane protein
Np001G001390	83	AT5G66840.1	AT5G66840.1	other	GO:0005737;GO:0008150;GO:0003674	SAP domain-containing protein
Np001G001400	743	AT5G54480.1	AT5G54480.1	orthologue	GO:0005634;GO:0008150;GO:0003674	Uncharacterized protein
Np001G001410	503	AT5G66840.1	AT5G66840.1	orthologue	GO:0005737;GO:0008150;GO:0003674	SAP domain-containing protein
Np001G001420	731	AT5G66850.1	AT5G66850.1	orthologue	GO:0005515;GO:0004674;GO:2000071;GO:0002221;GO:0004709;GO:1900150;GO:0005886;GO:1900424;GO:0005737;GO:0046777;GO:0045088;GO:0004672;GO:0000165;GO:0009507;GO:0005829;GO:0005524;GO:0050832;GO:0106310;GO:0006468	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (MAP3K gamma protein kinase) (AtMAP3Kgamma);mitogen-activated protein kinase kinase kinase (EC 2.7.11.25)
