Cardamine_hirsuta	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
CARHR000110	122	AT3G23640.3	AT3G23640.3	other	GO:0005975;GO:0004553;GO:0009507;GO:0005634;GO:0005737;GO:0030246;GO:0005515	Alpha glucosidase-like protein (At3g23640) (Heteroglycan glucosidase 1);Heteroglycan glucosidase 1
CARHR000120	624	AT1G02205.3	AT1G02205.3	orthologue	GO:0160062;GO:0050832;GO:0005739;GO:0008610;GO:0010025;GO:0043447;GO:0009414;GO:0046185;GO:0042742;GO:0009753;GO:0016491;GO:0071771;GO:0005515;GO:0009611;GO:0005506;GO:0005789;GO:0016020	Fatty acid hydroxylase superfamily;Very-long-chain aldehyde decarbonylase CER1 (EC 4.1.99.5) (Protein ECERIFERUM 1)
CARHR000130	630	AT1G02190.1	AT1G02190.1	orthologue	GO:0005739;GO:0005506;GO:0008610;GO:0016491;GO:0016020	Protein CER1-like 1
CARHR000140	230	AT1G02180.1	AT1G02180.1	orthologue	GO:0005575;GO:0003674	Ferredoxin-like protein
CARHR000150	367	AT1G02170.1	AT1G02170.1	orthologue	GO:0004197;GO:0006508;GO:0005737;GO:0043068;GO:0005515;GO:0006952	Metacaspase-1 (AtMC1) (EC 3.4.22.-) (Metacaspase 1b) (AtMCP1b) (Protein LSD ONE LIKE 3)
CARHR000160	73	AT1G02160.2	AT1G02160.2	orthologue	GO:0003674;GO:0008150;GO:0005739	Cox19 family protein (CHCH motif)
CARHR000170	517	AT1G02150.1	AT1G02150.1	orthologue	GO:0003729;GO:0009507;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At1g02150
CARHR000180	497	AT1G02145.3	AT1G02145.3	orthologue	GO:0000009;GO:0018279;GO:0036503;GO:0005789;GO:0006487;GO:0052917;GO:0000030;GO:0016757	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Alpha-1,6-mannosyltransferase ALG12) (Asparagine-linked glycosylation protein 12) (EMS-mutagenized BRI1 suppressor 4)
CARHR000190	151	AT1G02140.1	AT1G02140.1	orthologue	GO:0008380;GO:0009793;GO:0005730;GO:0005634;GO:0005654;GO:0035145;GO:0005515;GO:0010628;GO:0010183;GO:0016607;GO:0000184;GO:0000932;GO:0003723;GO:0006397;GO:0006417;GO:0051028	Protein mago nashi homolog (AtMAGO)
CARHR000200	203	AT1G02130.1	AT1G02130.1	orthologue	GO:0005525;GO:0005576;GO:0032588;GO:0016192;GO:0006888;GO:0000325;GO:0005794;GO:0003924;GO:0000139;GO:0005886;GO:0015031	Ras-related protein RABD2a (AtRABD2a) (Ras-related protein Ara-5) (Ras-related protein Rab1B) (AtRab1B)
CARHR000210	608	AT1G02120.1	AT1G02120.1	orthologue	GO:0042742;GO:0043069;GO:0005634;GO:0003674;GO:0009723;GO:0005576;GO:0005783;GO:0009751;GO:0009507;GO:0009626;GO:0009873;GO:0016020	GRAM domain family protein;Protein VASCULAR ASSOCIATED DEATH 1, chloroplastic
CARHR000220	719	AT1G02110.1	AT1G02110.1	orthologue	GO:0005634;GO:0006499;GO:0003674	BZIP domain class transcription factor (DUF630 and DUF632) (BZIP-like protein)
CARHR000230	342	AT1G02100.1	AT1G02100.1	orthologue	GO:1900458;GO:0005634;GO:0005737;GO:0032259;GO:0018423;GO:0008757;GO:0016020;GO:0009966;GO:0008168	Leucine carboxyl methyltransferase 1 homolog (EC 2.1.1.233);Leucine carboxyl methyltransferase 1 homolog (EC 2.1.1.233) (Protein SUPPRESSOR OF BRI1) ([Phosphatase 2A protein]-leucine-carboxy methyltransferase 1)
CARHR000240	260	AT1G02090.1	AT1G02090.1	orthologue	GO:0005515;GO:0009640;GO:0000338;GO:0010387;GO:0005737;GO:0008180;GO:0009585;GO:0000502	COP9 signalosome complex subunit 7 (CSN complex subunit 7) (Protein FUSCA 5);Proteasome component (PCI) domain protein
CARHR000250	2412	AT1G02080.1	AT1G02080.1	orthologue	GO:0000288;GO:0010494;GO:0060090;GO:0005515;GO:0017148;GO:0000932;GO:0005576;GO:0030015;GO:0000289;GO:0005634	Transcription regulator
CARHR000260	132	AT1G02070.1	AT1G02070.1	orthologue	GO:0005575;GO:0008150;GO:0003674	At1g02070 (Zinc ion-binding protein)
CARHR000270	313	AT1G02065.1	AT1G02065.1	orthologue	GO:0048653;GO:0009556;GO:0009554;GO:0005634;GO:0003677;GO:0005737;GO:0008270;GO:0030154	Squamosa promoter binding protein-like 8;Squamosa promoter-binding-like protein 8
CARHR000280	713	AT1G02060.1	AT1G02060.1	orthologue	GO:0005739;GO:0003729;GO:0009507;GO:0005515	Pentatricopeptide repeat-containing protein At1g02060, chloroplastic
CARHR000290	395	AT1G02050.1	AT1G02050.1	orthologue	GO:0010584;GO:0005783;GO:0090439;GO:0080110;GO:0030639;GO:0009813;GO:0005515;GO:0005737;GO:0016747;GO:0016746;GO:0009058	Type III polyketide synthase A (PKS-A) (EC 2.3.1.-) (Hydroxyalkyl alpha-pyrone synthase PKS-A) (Protein LESS ADHESIVE POLLEN 6)
CARHR000300	256	AT1G02040.1	AT1G02040.1	orthologue	GO:0005634;GO:0006355;GO:0003700;GO:0008270	At1g02040 (C2H2-type zinc finger family protein)
CARHR000310	450				GO:0008289	
CARHR000320	112	AT1G02020.1	AT1G02020.1	other	GO:0005634;GO:0016491;GO:0009507;GO:0005739	Nitroreductase family protein;Nitroreductase family protein (T7I23.2 protein)
CARHR000330	502	AT1G02020.1	AT1G02020.1	orthologue	GO:0005634;GO:0016491;GO:0009507;GO:0005739	Nitroreductase family protein;Nitroreductase family protein (T7I23.2 protein)
CARHR000340	248	AT1G02030.1	AT1G02030.1	orthologue	GO:0006355;GO:0005634;GO:0003700;GO:0008270	Zinc finger protein ZAT1
CARHR000350	670	AT1G02010.4	AT1G02010.4	orthologue	GO:0030141;GO:0019905;GO:0006904;GO:0016192;GO:0005634;GO:0006886;GO:0005886;GO:0015031;GO:0016020	Protein transport Sec1a (AtSec1a);Secretory 1A
CARHR000360	429	AT1G02000.1	AT1G02000.1	orthologue	GO:0050378;GO:0005575;GO:0032580	UDP-glucuronate 4-epimerase 2 (EC 5.1.3.6) (UDP-glucuronic acid epimerase 2)
CARHR000370	532	AT1G01980.1	AT1G01980.1	orthologue	GO:0071949;GO:0009507;GO:0016899;GO:0005886;GO:0005794;GO:0009505;GO:0005576;GO:0050660;GO:0016491	Berberine bridge enzyme-like 1 (AtBBE-like 1) (EC 1.1.1.-) (Protein SIMILAR TO ELECTRON CAREER 1A) (AtSEC1A)
CARHR000380	401	AT1G01970.1	AT1G01970.1	orthologue	GO:0009507;GO:0005739;GO:0008150;GO:0003674;;GO:0005515	Pentatricopeptide repeat-containing protein At1g01970
CARHR000390	1748	AT1G01960.1	AT1G01960.1	orthologue	GO:0016192;GO:0032012;GO:0005802;GO:0005829;GO:0032588;GO:0003674;GO:0005634;GO:0009561;GO:0005085;GO:0015031	Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (BIG3) (ARF guanine-nucleotide exchange factor BIG3) (Protein EMBRYO SAC DEVELOPMENT ARREST 10)
CARHR000400	891	AT1G01950.3	AT1G01950.3	orthologue	GO:0008017;GO:0048364;GO:0005737;GO:0008574;GO:0005871;GO:0009507;GO:0030705;GO:0005874;GO:0003777;GO:0007018;GO:0016887;GO:0005634;GO:0005524;GO:0005515;GO:0005876;GO:0051231;GO:0072686;GO:0090307	Kinesin-like protein;Kinesin-like protein KIN-UB (AtKINUb) (Protein ARMADILLO REPEAT KINESIN2) (Protein ARMADILLO REPEAT-CONTAINING KINESIN 2)
CARHR000410	160	AT1G01940.1	AT1G01940.1	orthologue	GO:0006457;GO:0005634;GO:0010494;GO:0030620;GO:0034605;GO:0030623;GO:0071013;GO:0000398;GO:0003755;GO:0005730;GO:0005515;GO:0005737;GO:0000413	Peptidyl-prolyl cis-trans isomerase CYP18-1 (PPIase CYP18-1) (EC 5.2.1.8) (Cyclophilin of 18 kDa 1) (Cyclophilin-18-1)
CARHR000420	333	AT1G01930.1	AT1G01930.1	other	GO:0036503;GO:0005737;GO:0003674;GO:0004519;GO:0016787	F22M8.6 protein (Zinc finger protein-like protein)
CARHR000430	293	AT1G01930.1	AT1G01930.1	orthologue	GO:0036503;GO:0005737;GO:0003674;GO:0004519;GO:0016787	F22M8.6 protein (Zinc finger protein-like protein)
CARHR000440	554	AT1G01920.1	AT1G01920.1	orthologue	GO:0005634;GO:0005515;GO:0016279;GO:0009507;GO:0018026	At1g01920 (SET domain-containing protein);SET domain-containing protein
CARHR000450	353	AT1G01910.1	AT1G01910.1	orthologue	GO:0048767;GO:0005829;GO:0016887;GO:0005515;GO:0009507;GO:0043529;GO:0005576;GO:0005524;GO:0071816;GO:0045048;GO:0005783	ATPase GET3A (AtGET3A) (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins 3 homolog A);P-loop containing nucleoside triphosphate hydrolases superfamily protein
CARHR000460	763	AT1G01900.1	AT1G01900.1	orthologue	GO:0004252;GO:0009505;GO:0031012;GO:0006508;GO:0005576;GO:0048046;GO:0008236	Subtilisin-like protease SBT1.1 (EC 3.4.21.-) (Subtilase subfamily 1 member 1) (AtSBT1.1)
CARHR000470	598	AT1G01880.1	AT1G01880.1	orthologue	GO:0005634;GO:0017108;GO:0003677;GO:0008821;GO:0006259;GO:0009650;GO:0009555;GO:0004527;GO:0006281;GO:0046872;GO:0048256;GO:0004518;GO:0003824	5'-3' exonuclease family protein;Flap endonuclease GEN-like 1;Flap endonuclease GEN-like 1 (AtGEN1) (XPG-like endonuclease 1) (EC 3.1.-.-)
CARHR000480	331	AT1G01860.4	AT1G01860.4	orthologue	GO:0031167;GO:0009409;GO:0009507;GO:0000179;GO:0016422;GO:0005739;GO:0003723;GO:0000154;GO:0006364	Ribosomal RNA small subunit methyltransferase, chloroplastic (EC 2.1.1.-) (Dimethyladenosine transferase 1C) (Protein PALEFACE 1);rRNA adenine N(6)-methyltransferase (EC 2.1.1.-)
CARHR000490	150	AT1G01840.1	AT1G01840.1	orthologue	GO:0009507;GO:0003674	AP2-like ethylene-responsive transcription factor SNZ (At1g01840/T1N6_19) (T1N6.26)
CARHR000500	572	AT1G01830.1	AT1G01830.1	orthologue	GO:0008150;GO:0005575;GO:0003674;;GO:0005515	ARM repeat superfamily protein
CARHR000510	151	AT1G01810.1	AT1G01810.1	orthologue	GO:0008150;GO:0003674;GO:0005634	T1N6.23
CARHR000520	295	AT1G01800.1	AT1G01800.1	orthologue	GO:0005737;GO:0005829;GO:0009505;GO:0003674;GO:0009507;GO:0016491;GO:0016020	AT1G01800 protein (NAD(P)-binding Rossmann-fold superfamily protein) (Putative carbonyl reductase);NAD(P)-binding Rossmann-fold superfamily protein
CARHR000530	1148	AT1G01790.1	AT1G01790.1	orthologue	GO:0140899;GO:0009941;GO:2000377;GO:0019722;GO:0016020;GO:1900069;GO:1902600;GO:0006813;GO:0009646;GO:0015078;GO:0080022;GO:0009737;GO:0005576;GO:2000070;GO:0009507;GO:0042794;GO:0010109;GO:2001057;GO:0015386;GO:0015079;GO:0031969;GO:0009658;GO:0006885;GO:0009744;GO:1900140;GO:0009706;GO:0009738;GO:0006812;GO:0008324;GO:0015297;GO:0055085	K(+) efflux antiporter 1, chloroplastic (AtKEA1)
CARHR000540	205	AT1G01780.1	AT1G01780.1	orthologue	GO:0005886;GO:0000976;GO:0015629;GO:0051017;GO:0005737;GO:0051015;GO:0005856;GO:0046872	LIM domain-containing protein PLIM2b (Pollen-expressed LIM protein 2B)
CARHR000550	595	AT1G01770.1	AT1G01770.1	orthologue	GO:0005634;GO:0003674	Propionyl-CoA carboxylase
CARHR000560	424	AT1G01760.3	AT1G01760.3	orthologue	GO:0003726;GO:0003723;GO:0042803;GO:0005634;GO:0006396;GO:0006400;GO:0008251;GO:0003725;GO:0043829;GO:0006382;GO:0005730;GO:0005737;GO:0004000;GO:0046872	Denosine deaminases acting on tRNA;tRNA-specific adenosine deaminase TAD1 (AtTAD1) (EC 3.5.4.34) (tRNA-specific adenosine-37 deaminase TAD1)
CARHR000570	140	AT1G01750.2	AT1G01750.2	orthologue	GO:0030042;GO:0051015;GO:0015629;GO:0005737;GO:0003779	Actin depolymerizing factor 11;Actin-depolymerizing factor 10 (ADF-10) (AtADF10)
CARHR000580	488	AT1G01740.1	AT1G01740.1	orthologue	GO:0009742;GO:0005634;GO:0044024;GO:0006468;GO:0004674;GO:0005576;GO:0005524;GO:0005886;GO:0106310;GO:0005515;GO:0004672	Serine/threonine-protein kinase BSK (EC 2.7.11.1) (Brassinosteroid-signaling kinase);Serine/threonine-protein kinase BSK4 (EC 2.7.11.1) (Brassinosteroid-signaling kinase 4)
CARHR000590	152	AT1G01730.1	AT1G01730.1	orthologue	GO:0008150;GO:0005634;GO:0003674	T1N6.14 protein
CARHR000600	79	AT1G01725.1	AT1G01725.1	orthologue	GO:0005575;GO:0008150;GO:0003674	Adenylosuccinate synthetase (T1N6.13 protein)
CARHR000610	105	AT1G01730.1	AT1G01730.1	orthologue	GO:0008150;GO:0005634;GO:0003674	T1N6.14 protein
CARHR000620	291	AT1G01720.1	AT1G01720.1	orthologue	GO:0006355;GO:0009788;GO:0005634;GO:0000976;GO:0009611;GO:0071456;GO:0003700;GO:0019900;GO:0003677	NAC domain-containing protein 2 (ANAC002)
CARHR000630	427	AT1G01710.1	AT1G01710.1	orthologue	GO:0005777;GO:0051289;GO:0047617;GO:0006637;GO:0009062;GO:0006631;GO:0052816;GO:0052815;GO:0005782	Acyl-CoA hydrolase 2 (AtACH2) (EC 3.1.2.20) (Acyl-CoA thioesterase II) (ACT-II) (Hexadecanoyl-CoA hydrolase ACH2) (EC 3.1.2.2)
CARHR000640	503	AT4G00480.2	AT4G00480.2	other	GO:0005515;GO:0006355;GO:0005634;GO:0048629;GO:0046983;GO:0035618;GO:0003700;GO:0003677;GO:0009889;GO:0080090	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor MYC1 (AtMYC1) (Basic helix-loop-helix protein 12) (AtbHLH12) (bHLH 12) (Transcription factor EN 58) (bHLH transcription factor bHLH012)
CARHR000650	484	AT1G01700.4	AT1G01700.4	orthologue	GO:0005634;GO:0005085;GO:0005886;GO:0016020	RHO guanyl-nucleotide exchange factor 2;Rop guanine nucleotide exchange factor 2 (AtRopGEF2) (Rho of plants guanine nucleotide exchange factor 2)
CARHR000660	459	AT5G56680.1, AT1G70980.1	AT5G56680.1	other	GO:0006421;GO:0005737;GO:0005739;GO:0004816;GO:0009536;GO:0009793;GO:0009507;GO:0005829;GO:0003677;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Asparagine--tRNA ligase, cytoplasmic 1 (EC 6.1.1.22) (Asparaginyl-tRNA synthetase 1) (AsnRS 1) (Protein EMBRYO DEFECTIVE 2755);Asparagine--tRNA ligase, cytoplasmic 3 (EC 6.1.1.22) (Asparaginyl-tRNA synthetase 3) (AsnRS 3)
CARHR000670	452	AT1G01690.1	AT1G01690.1	orthologue	GO:0051026;GO:0070192;GO:0005634;GO:0048236;GO:0009553;GO:0042138;GO:0003674;GO:0009555;GO:0009556	Putative recombination initiation defects 3 (AtPRD3);Recombination initiation defects 3
CARHR000680	307	AT1G01680.1	AT1G01680.1	orthologue	GO:0016567;GO:0004842;GO:0005737	U-box domain-containing protein 54 (EC 2.3.2.27) (Plant U-box protein 54) (RING-type E3 ubiquitin transferase PUB54)
CARHR000690	569	AT1G01660.2	AT1G01660.2	orthologue	GO:0005737;GO:0004842;GO:0016567	Putative U-box domain-containing protein 55 (EC 2.3.2.27) (Plant U-box protein 55) (RING-type E3 ubiquitin transferase PUB54);RING-type E3 ubiquitin transferase (EC 2.3.2.27)
CARHR000700	540	AT1G01650.1	AT1G01650.1	orthologue	GO:0042500;GO:0098554;GO:0030660;GO:0005765;GO:0005886;GO:0098553;GO:0033619;GO:0006508;GO:0010008;GO:0012505;GO:0016020	SIGNAL PEPTIDE PEPTIDASE-LIKE 4;Signal peptide peptidase-like 4 (AtSPPL4) (EC 3.4.23.-)
CARHR000710	208	AT1G01640.1	AT1G01640.1	orthologue	GO:0016567;GO:0005737;GO:0005515;GO:0009908	BTB/POZ domain-containing protein;BTB/POZ domain-containing protein At1g01640
CARHR000720	256	AT1G01630.1	AT1G01630.1	orthologue	GO:0005634;GO:0003674;GO:0016020	Polyphosphoinositide binding protein, putative (Putative polyphosphoinositide-binding protein) (Sec14p-like phosphatidylinositol transfer family protein) (T1N6.1 protein)
CARHR000730	286	AT1G01620.1	AT1G01620.1	other	GO:0005515;GO:0015267;GO:0005886;GO:0015250;GO:0009414;GO:0055085;GO:0005576;GO:0006833;GO:0016020	Aquaporin PIP1-3 (AtPIP1;3) (Plasma membrane intrinsic protein 1c) (PIP1c) (Transmembrane protein B) (TMP-B);Plasma membrane intrinsic protein 1C
CARHR000740	502	AT1G01610.1	AT1G01610.1	orthologue	GO:0016791;GO:0010143;GO:0090447;GO:0009507;GO:0016020;GO:0008654;GO:0016746	Glycerol-3-phosphate 2-O-acyltransferase 4 (AtGPAT4) (EC 2.3.1.198) (Glycerol-3-phosphate acyltransferase 4)
CARHR000750	554	AT1G01600.1	AT1G01600.1	orthologue	GO:0005506;GO:0018685;GO:0020037;GO:0006631;GO:0005739;GO:0070330;GO:0016020;GO:0016712;GO:0004497;GO:0016705	Cytochrome P450 86A4 (EC 1.14.14.1)
CARHR000760	702	AT1G01590.1	AT1G01590.1	orthologue	GO:0000293;GO:0005886;GO:0140618;GO:0006811;GO:0016020;GO:0046872;GO:0016491	Probable ferric reduction oxidase 1 (AtFRO1) (EC 1.16.1.7) (Ferric-chelate reductase 1)
CARHR000770	723	AT1G01580.2	AT1G01580.2	orthologue	GO:0033214;GO:0005886;GO:0060586;GO:0009617;GO:0140618;GO:0000293;GO:0005634;GO:0046872;GO:0016020;GO:0016491	Ferric reduction oxidase 2;Ferric reduction oxidase 2 (AtFRO2) (EC 1.16.1.7) (Ferric-chelate reductase 2) (Protein FERRIC CHELATE REDUCTASE DEFECTIVE 1)
CARHR000780	479	AT4G00300.1	AT4G00300.1	other	GO:0004714;GO:0005783;GO:0016757;GO:0005576;GO:0004674;GO:0016020;GO:0006468	Receptor-like kinase
CARHR000790	510	AT1G01570.2	AT1G01570.2	orthologue	GO:0005794;GO:0008375;GO:0005783;GO:0016757;GO:0016020;GO:0016740	F22L4.11 protein (Transferring glycosyl group transferase (DUF604));Glycosyltransferase (Transferring glycosyl group transferase (DUF604))
CARHR000800	392	AT1G01560.2	AT1G01560.2	orthologue	GO:0005634;GO:0005886;GO:0004674;GO:0004707;GO:0005515;GO:0007165;GO:0035556;GO:0005737;GO:0009737;GO:0005829;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Mitogen-activated protein kinase (EC 2.7.11.24);Mitogen-activated protein kinase 11 (AtMPK11) (MAP kinase 11) (EC 2.7.11.24)
CARHR000810	345	AT1G01550.1	AT1G01550.1	orthologue	GO:0048367;GO:0048364;GO:0005634;GO:0009793;GO:0003674;GO:0009507	Protein BPS1, chloroplastic (Protein BYPASS 1)
CARHR000820	297	AT1G01540.2	AT1G01540.2	other	GO:0004674;GO:0005886;GO:0046777;GO:0009507;GO:0005524;GO:0106310;GO:0016020;GO:0004672;GO:0006468	Probable serine/threonine-protein kinase At1g01540 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
CARHR000830	213	AT1G01540.2	AT1G01540.2	other	GO:0004674;GO:0005886;GO:0046777;GO:0009507;GO:0005524;GO:0106310;GO:0016020	Probable serine/threonine-protein kinase At1g01540 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
CARHR000840	104					
CARHR000850	271	AT1G01520.1	AT1G01520.1	orthologue	GO:0005634;GO:0003700;GO:0003677;GO:0010468	Homeodomain-like superfamily protein;Protein REVEILLE 3 (Myb transcription factor LHY-CCA1-like3) (Myb-related protein ASG4) (Protein ALTERED SEED GERMINATION 4) (Transcription factor ASG4)
CARHR000860	639	AT1G01510.1	AT1G01510.1	orthologue	GO:2000039;GO:0045604;GO:0034063;GO:0009965;GO:0005515;GO:0005829;GO:0010091;GO:0051287;GO:0042802;GO:0010494;GO:0019900;GO:0031129;GO:0005802;GO:0042814;GO:0016616;GO:0048530;GO:0003714;GO:0009651;GO:0048826;GO:0000226;GO:0048444;GO:0042803;GO:0006970;GO:0007097;GO:0009507;GO:0010482;GO:0005874;GO:0008360	C-terminal binding protein AN (CtBP) (Protein ANGUSTIFOLIA) (Protein DETORQUEO)
CARHR000870	326	AT1G01500.1	AT1G01500.1	orthologue	GO:0004617;GO:0005575;GO:0016020	Uncharacterized protein At1g01500
CARHR000880	174	AT1G01490.4	AT1G01490.4	orthologue	GO:0005634;GO:0046872;GO:0009507	Heavy metal transport/detoxification superfamily protein;Heavy metal-associated isoprenylated plant protein 39 (AtHIP39)
CARHR000890	499	AT1G01480.1	AT1G01480.1	orthologue	GO:0008483;GO:0009693;GO:0042218;GO:0005737;GO:0009414;GO:0005515;GO:0016847;GO:0006520;GO:0030170;GO:0009835;GO:0009058;GO:0003824	1-aminocyclopropane-1-carboxylate synthase 2 (ACC synthase 2) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 2)
CARHR000900	151	AT1G01470.1	AT1G01470.1	orthologue	GO:0009269;GO:0005829;GO:0050832;GO:0003674;GO:0009611;GO:0009644	Probable desiccation-related protein LEA14
CARHR000910	426	AT1G01460.1	AT1G01460.1	orthologue	GO:0046854;GO:0046488;GO:0016308;GO:0005634;GO:0005886;GO:0005524;GO:0052742	Phosphatidylinositol 4-phosphate 5-kinase 10 (AtPIP5K10) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 10) (Diphosphoinositide kinase 10) (PtdIns(4)P-5-kinase 10)
CARHR000920	96					
CARHR000930	254	AT3G04420.1, AT1G02220.1	AT1G02220.1	orthologue	GO:0000976;GO:0006355;GO:0005634;GO:0005515;GO:0005886;GO:0003700;GO:0003677;GO:0016020	AT3g04420/T27C4_6 (NAC domain containing protein 48);NAC domain containing protein 48;NAC domain-containing protein 3 (ANAC003)
CARHR000940	74	AT1G02210.1	AT1G02210.1	orthologue	GO:0006355;GO:0005634;GO:0003677	At1g02210 (NAC (No Apical Meristem) domain transcriptional regulator superfamily protein)
CARHR000950	87	AT3G04430.1	AT3G04430.1	orthologue	GO:0006355;GO:0005634;GO:0003677;GO:0003700	NAC domain containing protein 49 (T27C4.7 protein)
CARHR000960	202	AT1G06925.1	AT1G06925.1	orthologue	GO:0010468;GO:0005634;GO:0003674;GO:0005777;GO:0004519;GO:0016787;GO:0004540	Endonuclease/glycosyl hydrolase
CARHR000970	269	AT1G01453.2	AT1G01453.2	orthologue	GO:0003674;GO:0005575;GO:0016020;GO:0098542;GO:0005886	Late embryogenesis abundant hydroxyproline-rich glycoprotein family protein
CARHR000980	232	AT1G01450.1	AT1G01450.1	orthologue	GO:0005524;GO:0006468;GO:0098542;GO:0004712;GO:0004672;GO:0007165;GO:0005737	Protein kinase superfamily protein
CARHR000990	273	AT1G01450.1	AT1G01450.1	orthologue	GO:0005524;GO:0006468;GO:0098542;GO:0004712;GO:0004672;GO:0007165;GO:0005737	Protein kinase superfamily protein
CARHR001000	657	AT1G01440.1	AT1G01440.1	orthologue	GO:1900150;GO:0003674;GO:0005634	At1g01440
CARHR001010	453	AT1G01430.1	AT1G01430.1	orthologue	GO:0016413;GO:0005794;GO:0016020;GO:0016740	Protein trichome birefringence-like 25
CARHR001020	462	AT1G01390.2, AT1G01420.2	AT1G01420.2	orthologue	GO:0008194;GO:0005783;GO:0016757;GO:0009507;GO:0080043	Glycosyltransferase (EC 2.4.1.-);UDP-glycosyltransferase 72B2 (EC 2.4.1.-);UDP-glycosyltransferase 72B3 (EC 2.4.1.-)
CARHR001030	61	AT1G01430.1	AT1G01430.1	other	GO:0016413;GO:0005794;GO:0016020;GO:0016740	Protein trichome birefringence-like 25
