Brassica_napus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
NP_001302491.1	374	AT2G46270.1	AT2G46270.1	orthologue	GO:0043565;GO:0006355;GO:0009737;GO:0000976;GO:0005515;GO:0005634;GO:0005829;GO:0003700;GO:0005737	G-box binding factor 3;G-box-binding factor 3 (bZIP transcription factor 55) (AtbZIP55)
NP_001302492.1	500	AT4G09570.1	AT4G09570.1	orthologue	GO:0005634;GO:0009931;GO:0004683;GO:0005737;GO:0005515;GO:0005509;GO:0009789;GO:0035556;GO:0004674;GO:0004672;GO:0005516;GO:0005886;GO:0005524;GO:0106310;GO:0006468	Calcium-dependent protein kinase 4 (EC 2.7.11.1) (Calmodulin-domain protein kinase CDPK isoform 4)
NP_001302494.1	239	AT2G45130.1	AT2G45130.1	orthologue	GO:0016036;GO:0005737;GO:0080040;GO:0003674	SPX domain-containing protein 3 (Protein SPX DOMAIN GENE 3) (AtSPX3)
NP_001302495.1	397	AT3G07840.1	AT3G07840.1	orthologue	GO:0005576;GO:0004650;GO:0005975;GO:0016829;GO:0071555	Pectin lyase-like superfamily protein (Putative polygalacturonase)
NP_001302496.1	476	AT5G49630.1	AT5G49630.1	orthologue	GO:0015804;GO:0015827;GO:0003333;GO:0015172;GO:0015175;GO:0015800;GO:0015810;GO:0016020;GO:0015171;GO:0005886;GO:0015293	Amino acid permease 6 (Amino acid transporter AAP6)
NP_001302498.1	497	AT3G21560.1	AT3G21560.1	orthologue	GO:0009718;GO:0050284;GO:0009801;GO:0005737;GO:0080043;GO:0080044;GO:0009636;GO:0008194	UDP-glycosyltransferase 84A2 (Protein BRIGHT TRICHOMES 1) (Sinapate 1-glucosyltransferase 1) (AtSGT1) (EC 2.4.1.120)
NP_001302500.1	323	AT2G03760.1	AT2G03760.1	other	GO:0080118;GO:0051923;GO:0006952;GO:0005737;GO:0016131;GO:1990135;GO:0009651;GO:0008146;GO:0009751;GO:0005794	Cytosolic sulfotransferase 12 (AtSOT12) (EC 2.8.2.-) (Sulfotransferase 1) (AtST1)
NP_001302502.1	343				GO:0008234;GO:0006508	
NP_001302504.1	281	AT3G23250.1	AT3G23250.1	orthologue	GO:0005515;GO:0005634;GO:0009414;GO:0009409;GO:0009651;GO:0003700;GO:0003677	Myb domain protein 15;Transcription factor MYB15 (Myb-related protein 15) (AtMYB15) (Myb-related protein Y19) (AtY19)
NP_001302507.1	449	AT2G46210.1	AT2G46210.1	orthologue	GO:0052631;GO:0030148;GO:0070417;GO:0005783;GO:0016717;GO:0006629;GO:0005789;GO:0046872;GO:0016491;GO:0016020	Delta(8)-fatty-acid desaturase 2 (EC 1.14.19.29) (Delta(8)-sphingolipid desaturase 2) (Sphingoid long-chain base desaturase 2) (Sphingoid LCB desaturase 2) (Sphingolipid 8-(E/Z)-desaturase 2)
NP_001302509.1	341	AT1G30040.1	AT1G30040.1	orthologue	GO:0045487;GO:0010114;GO:0071456;GO:0009686;GO:0009639;GO:0005737;GO:0045543;GO:0009416;GO:0046872	Gibberellin 2-beta-dioxygenase 2 (EC 1.14.11.13) (GA 2-oxidase 2) (Gibberellin 2-beta-hydroxylase 2) (Gibberellin 2-oxidase 2)
NP_001302511.1	873	AT4G01970.2	AT4G01970.2	orthologue	GO:0047274;GO:0047268;GO:0005737;GO:0006979	Probable galactinol--sucrose galactosyltransferase 4 (EC 2.4.1.82) (Raffinose synthase 4);Stachyose synthase
NP_001302512.1	300	AT4G27410.3	AT4G27410.3	orthologue	GO:0006355;GO:0000976;GO:0043565;GO:0009414;GO:1900055;GO:0005634;GO:0045893;GO:0009737;GO:1990841;GO:0003700;GO:0003677	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein;NAC domain-containing protein 72 (ANAC072) (Protein RESPONSIVE TO DESICCATION 26)
NP_001302513.1	339	AT3G04120.1	AT3G04120.1	orthologue	GO:0000325;GO:0006096;GO:0005886;GO:0008886;GO:0005829;GO:0045893;GO:0006094;GO:0005507;GO:0005739;GO:1901149;GO:0048316;GO:0051775;GO:0010154;GO:0005740;GO:0009408;GO:0006979;GO:0005634;GO:0004365;GO:0005515;GO:0009744;GO:0048046;GO:0042542;GO:0009507;GO:0051287;GO:0050661;GO:0005737;GO:0003677;GO:0016620;GO:0006006	Glyceraldehyde-3-phosphate dehydrogenase GAPC1, cytosolic (EC 1.2.1.12) (NAD-dependent glyceraldehydephosphate dehydrogenase C subunit 1)
NP_001302514.1	331	AT1G80820.1	AT1G80820.1	orthologue	GO:0042754;GO:0009699;GO:0005575;GO:0007623;GO:0016621;GO:0009809;GO:0009409;GO:0016616;GO:0006952;GO:0016491	Cinnamoyl coa reductase;Cinnamoyl-CoA reductase 2 (AtCCR2) (EC 1.2.1.44)
NP_001302516.1	334	AT3G01500.2	AT3G01500.2	orthologue	GO:0009941;GO:0005829;GO:0009535;GO:0009579;GO:0004089;GO:0010037;GO:0010319;GO:0003729;GO:0009570;GO:0048046;GO:0009507;GO:0005737;GO:0015976;GO:2000122;GO:0008270;GO:0010119;GO:0005886;GO:0009409;GO:0015979;GO:0050832	Beta carbonic anhydrase 1, chloroplastic (AtbCA1) (AtbetaCA1) (EC 4.2.1.1) (Beta carbonate dehydratase 1) (Protein SALICYLIC ACID-BINDING PROTEIN 3) (AtSABP3);Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)
NP_001302517.1	677	AT5G10180.1	AT5G10180.1	orthologue	GO:0009507;GO:0015116;GO:0008271;GO:0005886;GO:1902358;GO:0015293;GO:0016020;GO:0055085	Sulfate transporter 2.1 (AST68)
NP_001302518.1	342	AT2G47180.1	AT2G47180.1	orthologue	GO:0009651;GO:0016757;GO:0009737;GO:0009409;GO:0006012;GO:0009408;GO:0009644;GO:0047216;GO:0005575;GO:0006979;GO:0009414;GO:0005737;GO:0046872	Galactinol synthase 1 (AtGolS1) (GolS-1) (EC 2.4.1.123)
NP_001302519.1	645	AT5G02490.1	AT5G02490.1	orthologue	GO:0042026;GO:0005737;GO:0005515;GO:0005829;GO:0051085;GO:0009408;GO:0006457;GO:0009617;GO:0009505;GO:0009507;GO:0009615;GO:0005634;GO:0005794;GO:0140662;GO:0005886;GO:0031072;GO:0016887;GO:0044183;GO:0005524	Heat shock 70 kDa protein 2 (Heat shock cognate 70 kDa protein 2) (Heat shock cognate protein 70-2) (AtHsc70-2) (Heat shock protein 70-2) (AtHsp70-2)
NP_001302521.1	349	AT5G50700.1, AT5G50600.1	AT5G50700.1	orthologue	GO:0009507;GO:0072555;GO:0009741;GO:0102196;GO:0008202;GO:0005829;GO:0070524;GO:0072582;GO:0009737;GO:0004303;GO:0005811;GO:0006694;GO:0016020;GO:0016491	11-beta-hydroxysteroid dehydrogenase 1A (EC 1.1.1.146) (17-beta-hydroxysteroid dehydrogenase 1A) (EC 1.1.1.-) (Hydroxysteroid dehydrogenase 1) (AtHSD1);11-beta-hydroxysteroid dehydrogenase 1B (EC 1.1.1.146) (17-beta-hydroxysteroid dehydrogenase 1B) (EC 1.1.1.-) (Hydroxysteroid dehydrogenase 1) (AtHSD1)
NP_001302523.1	276	AT5G67500.1	AT5G67500.1	orthologue	GO:0005739;GO:0009941;GO:0098656;GO:0005741;GO:0009505;GO:0009617;GO:0000325;GO:0008308;GO:0009536;GO:0015288;GO:0046930;GO:0055085	Mitochondrial outer membrane protein porin 2 (Voltage-dependent anion-selective channel protein 2) (AtVDAC2) (VDAC-2);Voltage dependent anion channel 2
NP_001302525.1	463	AT5G07070.1	AT5G07070.1	orthologue	GO:0004674;GO:0007165;GO:0005515;GO:0005737;GO:0005524;GO:0106310;GO:0004672;GO:0006468	CBL-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (SNF1-related kinase 3.2) (SOS2-like protein kinase PKS16)
NP_001302527.1	378	AT3G22750.1	AT3G22750.1	orthologue	GO:0004674;GO:0007165;GO:0005829;GO:0004672;GO:0005634;GO:0001659;GO:0004713;GO:0005524;GO:0009637;GO:0010114;GO:0012505;GO:0071244;GO:1902456;GO:0005886;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
NP_001302529.1	701	AT2G47160.2	AT2G47160.2	orthologue	GO:0005886;GO:0080139;GO:0016328;GO:0080029;GO:0046715;GO:0055085;GO:0005773;GO:0046713;GO:0035445;GO:0009594;GO:0050801;GO:0006820;GO:0010036;GO:0005452;GO:0043674;GO:0005768;GO:0005737;GO:0005774;GO:0010008;GO:0016020;GO:0022857	Boron transporter 1;HCO3-transporter family
NP_001302531.1	592	AT3G52600.1	AT3G52600.1	orthologue	GO:0005975;GO:0004564;GO:0004553;GO:0090406;GO:0048481;GO:0048046	Beta-fructofuranosidase, insoluble isoenzyme CWINV2 (EC 3.2.1.26) (Cell wall beta-fructosidase 2) (AtbetaFRUCT2) (Cell wall invertase 2) (AtcwINV2) (Sucrose hydrolase 2);Cell wall invertase 2
NP_001302532.1	737	AT3G06450.1	AT3G06450.1	orthologue	GO:0050801;GO:0005886;GO:0005737;GO:0055085;GO:0022857;GO:0006820;GO:0005452;GO:0016020	Probable boron transporter 3
NP_001302533.1	356	AT5G56580.1	AT5G56580.1	orthologue	GO:0031435;GO:0051019;GO:0004708;GO:0005515;GO:0009524;GO:0002229;GO:0004674;GO:0009507;GO:0007112;GO:0010311;GO:0005737;GO:0004713;GO:0005524;GO:0005856;GO:0106310;GO:0004672;GO:0006468;GO:0000165	Mitogen-activated protein kinase kinase 6 (AtMKK6) (MAP kinase kinase 6) (EC 2.7.12.2) (Protein Arabidopsis NQK1 homolog)
NP_001302535.1	449	AT1G07940.1, AT1G07920.1, AT1G07930.1, AT5G60390.1	AT5G60390.1	orthologue	GO:0005737;GO:0006414;GO:0006412;GO:0003924;GO:0005773;GO:0005739;GO:0003729;GO:0009506;GO:0003746;GO:0000325;GO:0005730;GO:0005829;GO:0005886;GO:0009507;GO:0048471;GO:0005634;GO:0005515;GO:0005525	Elongation factor 1-alpha 1 (EF-1-alpha 1) (eEF-1A1);Elongation factor 1-alpha 2 (EF-1-alpha 2) (eEF-1A2);Elongation factor 1-alpha 3 (EF-1-alpha 3) (eEF-1A3);Elongation factor 1-alpha 4 (EF-1-alpha 4) (eEF-1A4);GTP binding Elongation factor Tu family protein
NP_001302537.1	413	AT3G54320.1	AT3G54320.1	orthologue	GO:0006355;GO:0006110;GO:0006109;GO:0019432;GO:0008610;GO:0005634;GO:0019900;GO:0003700;GO:1901959;GO:0006629;GO:0003677;GO:0009744;GO:0009873	Ethylene-responsive transcription factor WRI1 (Protein ACTIVATOR OF SPORAMIN::LUC 1) (Protein WRINKLED 1);Integrase-type DNA-binding superfamily protein
NP_001302539.1	271	AT1G20450.1	AT1G20450.1	orthologue	GO:0009737;GO:0005737;GO:0009414;GO:0009409;GO:0005634;GO:0009631;GO:0010029;GO:0016020;GO:0015629;GO:0005829;GO:0003779;GO:0009506;GO:0001786;GO:0005507;GO:0008289;GO:0009992;GO:0016151;GO:0019898;GO:0031210;GO:0044183;GO:0050821;GO:0090559;GO:0046872;GO:0009415	Dehydrin ERD10 (Low-temperature-induced protein LTI45);Dehydrin family protein
NP_001302541.1	468	AT1G23330.1	AT1G23330.1	orthologue	GO:0005576;GO:0003674	Alpha/beta-Hydrolases superfamily protein;Alpha/beta-Hydrolases superfamily protein (F26F24.20)
NP_001302543.1	321	AT5G46350.1	AT5G46350.1	orthologue	GO:0003700;GO:0005634;GO:0006355;GO:0051607;GO:0070301;GO:1901002;GO:0042742;GO:0050832;GO:0009737;GO:0043565;GO:0005515	WRKY transcription factor 8 (WRKY DNA-binding protein 8)
NP_001302545.1	367	AT3G06483.1	AT3G06483.1	orthologue	GO:0046777;GO:0009927;GO:0004740;GO:0042803;GO:0005739;GO:0010510;GO:0005829;GO:0010906;GO:0005524;GO:0004672;GO:0006468;GO:0016310;GO:0016772	[Pyruvate dehydrogenase (acetyl-transferring)] kinase, mitochondrial (AtPDHK) (Pyruvate dehydrogenase kinase) (EC 2.7.11.2)
NP_001302548.1	667	AT4G23850.1	AT4G23850.1	orthologue	GO:0004467;GO:0009684;GO:0006633;GO:0005794;GO:0005634;GO:0080024;GO:0006631;GO:0005783;GO:0016020;GO:0005777;GO:0005524	Long chain acyl-CoA synthetase 4 (EC 6.2.1.3)
NP_001302550.1	245	AT4G26740.1	AT4G26740.1	orthologue	GO:0009793;GO:0042803;GO:0005509;GO:0031408;GO:0006952;GO:0010431;GO:0071614;GO:1990137;GO:0020037;GO:0004497;GO:0034389;GO:0010888;GO:0004392;GO:0012511;GO:0005811;GO:0005783;GO:0016020	Peroxygenase 1 (AtPXG1) (EC 1.11.2.3) (Caleosin-1) (Embryo-specific protein 1 (ATS1))
NP_001302556.1	265	AT5G63790.2	AT5G63790.2	orthologue	GO:0000976;GO:0003677;GO:0006355;GO:0019760;GO:0005634;GO:0003700;GO:0071456;GO:0001666;GO:0009507;GO:0005515;GO:0043565	NAC domain containing protein 102;NAC domain-containing protein 102 (ANAC102)
NP_001302559.1	383	AT2G26300.1	AT2G26300.1	orthologue	GO:0019236;GO:0003924;GO:0009789;GO:0009740;GO:0009738;GO:0007186;GO:0005515;GO:0006571;GO:0016247;GO:0005525;GO:0007188;GO:0097468;GO:0006499;GO:0005834;GO:0010027;GO:0009845;GO:0009785;GO:0031683;GO:0005737;GO:0010119;GO:0005789;GO:0009506;GO:0005886;GO:0009094;GO:0003376;GO:0005777;GO:0090333;GO:0001664;GO:0005095;GO:0051020;GO:0009749;GO:0042127;GO:0010244;GO:0072593;GO:0008219;GO:0046872;GO:0019001;GO:0007165	Guanine nucleotide-binding protein alpha-1 subunit (GP-alpha-1)
NP_001302563.1	589	AT1G12110.1	AT1G12110.1	orthologue	GO:0048527;GO:0009414;GO:0015706;GO:0055085;GO:0048573;GO:0006857;GO:0016020;GO:0005515;GO:0010167;GO:0015112;GO:0005886;GO:0010540;GO:0009635;GO:0009734;GO:0015293;GO:0042128;GO:0022857	Protein NRT1/ PTR FAMILY 6.3 (AtNPF6.3) (Nitrate transporter 1.1) (AtNRT1) (Nitrate/chlorate transporter) (Protein CHLORINA 1)
NP_001302566.1	216	AT1G48130.1	AT1G48130.1	orthologue	GO:0008379;GO:0009269;GO:0005829;GO:0010231;GO:0005634;GO:0045454;GO:0098869;GO:0004601;GO:0005737;GO:0005739;GO:0016209;GO:0016491;GO:0051920	1-Cys peroxiredoxin PER1 (EC 1.11.1.24) (Rehydrin homolog) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin)
NP_001302568.1	567	AT4G38470.1	AT4G38470.1	orthologue	GO:0009737;GO:0004674;GO:0044024;GO:0004672;GO:0005524;GO:0007165;GO:0071456;GO:0004712;GO:0006468;GO:0005829;GO:0009658;GO:0005634;GO:0005515;GO:0106310	Serine/threonine-protein kinase STY46 (EC 2.7.11.1) (Serine/threonine/tyrosine-protein kinase 46);non-specific serine/threonine protein kinase (EC 2.7.11.1)
NP_001302570.1	254	AT5G01600.1	AT5G01600.1	orthologue	GO:0009535;GO:0000302;GO:0009409;GO:0042542;GO:0015979;GO:0010043;GO:0009507;GO:0004322;GO:0009617;GO:0009579;GO:0009570;GO:0005515;GO:0042802;GO:0008199;GO:0005737;GO:0009908;GO:0048366;GO:0005886;GO:0008198;GO:0005739;GO:0005506;GO:0060586;GO:0006826;GO:0010039;GO:0006879;GO:0019904;GO:0006880	Ferritin-1, chloroplastic (AtFer1) (EC 1.16.3.1)
NP_001302571.1	267	AT1G29920.1, AT1G29910.1, AT1G29930.1, AT2G34420.1, AT2G34430.1	AT1G29930.1	other	GO:0009534;GO:0009535;GO:0009768;GO:0009579;GO:0016168;GO:0009507;GO:0009416;GO:0005634;GO:0009765;GO:0003729;GO:0005515;GO:0009750;GO:0048046;GO:0010287;GO:0005739;GO:0042651;GO:0005783;GO:0009769;GO:0009941;GO:0015979;GO:0009522;GO:0009523;GO:0046872;GO:0019904;GO:0016020	Chlorophyll a-b binding protein 1, chloroplastic (Chlorophyll a-b protein 140) (CAB-140) (LHCII type I CAB-1);Chlorophyll a-b binding protein 2, chloroplastic (Chlorophyll a-b protein 165) (CAB-165) (LHCII type I CAB-2);Chlorophyll a-b binding protein 3, chloroplastic (Chlorophyll a-b protein 180) (CAB-180) (LHCII type I CAB-3);Chlorophyll a-b binding protein, chloroplastic
NP_001302574.1	230	AT1G21970.1	AT1G21970.1	orthologue	GO:0009738;GO:0046982;GO:0009785;GO:0000978;GO:0000981;GO:0045893;GO:0009793;GO:0045723;GO:0010262;GO:0016602;GO:0006357;GO:0005515;GO:0003682;GO:0043565;GO:0001228;GO:0003700;GO:0005634;GO:0040029;GO:0006355	Nuclear transcription factor Y subunit B-9 (AtNF-YB-9) (Protein LEAFY COTYLEDON 1)
NP_001302576.1	294	AT4G18170.1	AT4G18170.1	orthologue	GO:0042659;GO:0003700;GO:0006355;GO:1900057;GO:0043565;GO:0005634	WRKY transcription factor 28 (WRKY DNA-binding protein 28)
NP_001302577.1	286	AT3G47550.3	AT3G47550.3	orthologue	GO:0005737;GO:0005634;GO:0016020;GO:0004842;GO:0008270;GO:0016567	At3g47550 (RING/FYVE/PHD zinc finger superfamily protein);RING/FYVE/PHD zinc finger superfamily protein
NP_001302579.1	379	AT1G79230.1	AT1G79230.1	orthologue	GO:0005829;GO:0009507;GO:0004792;GO:0005739;GO:0009793;GO:0016783;GO:0016784	Sulfurtransferase;Thiosulfate/3-mercaptopyruvate sulfurtransferase 1, mitochondrial (EC 2.8.1.1) (EC 2.8.1.2) (AtMST1) (Rhodanese homolog protein 1) (AtRDH1) (Sulfurtransferase 1) (AtStr1)
NP_001302582.1	245	AT5G04395.1, AT3G17730.1	AT3G17730.1	orthologue	GO:0006355;GO:0003677;GO:0005634;GO:0003700	NAC domain containing protein 57 (No apical meristem family protein);NAC transcription factor-like protein
NP_001302584.1	231	AT3G10920.1	AT3G10920.1	orthologue	GO:0019430;GO:0005829;GO:0005739;GO:0004784;GO:0005507;GO:0009793;GO:0030145;GO:0046872;GO:0010043;GO:0005759;GO:0006801	Superoxide dismutase (EC 1.15.1.1);Superoxide dismutase [Mn] 1, mitochondrial (EC 1.15.1.1) (Protein MANGANESE SUPEROXIDE DISMUTASE 1) (AtMSD1) (Protein MATERNAL EFFECT EMBRYO ARREST 33)
NP_001302586.1	356	AT1G66200.3	AT1G66200.3	orthologue	GO:0009941;GO:0005515;GO:0006542;GO:0022626;GO:0003729;GO:0004356;GO:0009570;GO:1901149;GO:0042128;GO:0005737;GO:0048046;GO:0005739;GO:0005829;GO:0005507;GO:0000325;GO:0005524;GO:0003824	Glutamine synthetase (EC 6.3.1.2);Glutamine synthetase cytosolic isozyme 1-2 (EC 6.3.1.2) (Glutamate--ammonia ligase GLN1;2) (GLN1;2);glutamine synthetase (EC 6.3.1.2)
NP_001302590.1	226	AT4G26570.2, AT4G26560.1	AT4G26570.2	other	GO:0000325;GO:0005515;GO:0005829;GO:0055075;GO:0019722;GO:0009705;GO:0005509;GO:0005513;GO:0016020;GO:0005886;GO:0019900;GO:0010446;GO:0005737;GO:0042030;GO:0005634;GO:0032780	Calcineurin B-like protein 3 (SOS3-like calcium-binding protein 6);Calcineurin B-like protein 7 (SOS3-like calcium-binding protein 3)
NP_001302592.1	599	AT3G14720.1	AT3G14720.1	orthologue	GO:0005634;GO:0004707;GO:0005737;GO:0005739;GO:0005515;GO:0035556;GO:0007165;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Mitogen-activated protein kinase 19 (AtMPK19) (MAP kinase 19) (EC 2.7.11.24);mitogen-activated protein kinase (EC 2.7.11.24)
NP_001302594.1	447	AT1G01140.3	AT1G01140.3	orthologue	GO:0009409;GO:0005515;GO:0010555;GO:0004674;GO:0007165;GO:0051365;GO:0043266;GO:0005737;GO:0009651;GO:0055075;GO:0009611;GO:0005524;GO:0005634;GO:0106310;GO:0004672;GO:0006468	CBL-interacting serine/threonine-protein kinase 9 (EC 2.7.11.1) (SNF1-related kinase 3.12) (SOS2-like protein kinase PKS6)
NP_001302596.1	386	AT3G14210.1	AT3G14210.1	orthologue	GO:0099503;GO:0019762;GO:0009625;GO:0005777;GO:0009507;GO:0005634;GO:0009941;GO:0022626;GO:0005576;GO:0000325;GO:0016788;GO:0005829;GO:0048046;GO:0009506;GO:0016042;GO:0007029;GO:0016298	GDSL esterase/lipase ESM1 (EC 3.1.1.-) (Extracellular lipase ESM1) (Protein EPITHIOSPECIFIER MODIFIER 1) (AtESM1);GDSL-like lipase/acylhydrolase superfamily protein
NP_001302598.1	366	AT4G13050.1	AT4G13050.1	orthologue	GO:0000036;GO:0006633;GO:0016297;GO:0009507;GO:0016790	Oleoyl-acyl carrier protein thioesterase 2, chloroplastic (EC 3.1.2.14) (18:0-acyl-carrier protein thioesterase) (18:0-ACP thioesterase) (Acyl-[acyl-carrier-protein] hydrolase)
NP_001302600.1	417	AT4G28610.1	AT4G28610.1	orthologue	GO:0016036;GO:0005634;GO:0010468;GO:0006355;GO:0034765;GO:0071486;GO:0005515;GO:0007623;GO:1903842;GO:0003700;GO:0055063;GO:0003677	Protein PHOSPHATE STARVATION RESPONSE 1 (AtPHR1)
NP_001302602.1	377				GO:0005576;GO:0012511;GO:0016020;GO:0019915;GO:0019953	
NP_001302604.1	339	AT1G43670.1	AT1G43670.1	orthologue	GO:0042132;GO:0005983;GO:0005986;GO:0009737;GO:0005737;GO:0016311;GO:0005829;GO:0030388;GO:0015979;GO:0005634;GO:0006094;GO:0009750;GO:0006000;GO:0006002;GO:0046872;GO:0005975;GO:0016791;GO:0042578	Fructose-1,6-bisphosphatase, cytosolic (FBPase) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase) (Protein FRUCTOSE INSENSITIVE 1)
NP_001302606.1	534	AT5G57030.1	AT5G57030.1	orthologue	GO:0009507;GO:0016117;GO:0045435;GO:0009765;GO:0016123;GO:0016120;GO:0016705;GO:0031969	Lycopene epsilon cyclase, chloroplastic (EC 5.5.1.18) (Protein LUTEIN DEFICIENT 2)
NP_001302608.1	260	AT1G35160.2, AT1G78300.1, AT4G09000.2	AT1G78300.1	other	GO:0005515;GO:0005886;GO:0005634;GO:0009742;GO:0005635;GO:0005737;GO:0007165;GO:0045309;GO:0005794;GO:0005829;GO:0008104;GO:0019222;GO:0048046;GO:0009570;GO:0009507;GO:0000325;GO:0009506;GO:0005739;GO:0016020	14-3-3-like protein GF14 chi (General regulatory factor 1);14-3-3-like protein GF14 omega (General regulatory factor 2);14-3-3-like protein GF14 phi (General regulatory factor 4);GF14 protein phi chain;General regulatory factor 1
NP_001302614.1	248	AT3G58780.4	AT3G58780.4	orthologue	GO:0045944;GO:0048481;GO:0005634;GO:0000978;GO:0005515;GO:0006357;GO:0003700;GO:0048440;GO:0046983;GO:0000977;GO:0003677;GO:0000976;GO:0000981;GO:0009791;GO:0048608;GO:0009908;GO:0006355	Agamous-like MADS box protein AGL1/shatterproof 1 (K-box region and MADS-box transcription factor family protein);Agamous-like MADS-box protein AGL1 (Protein SHATTERPROOF 1);K-box region and MADS-box transcription factor family protein
NP_001302615.1	719	AT2G37040.1	AT2G37040.1	orthologue	GO:0009819;GO:0005515;GO:0005737;GO:0046274;GO:0009800;GO:0009699;GO:0006952;GO:0009555;GO:0009611;GO:0006979;GO:0045548;GO:0010224;GO:0046244;GO:0006559;GO:0016841;GO:0003824	Phenylalanine ammonia-lyase 1 (EC 4.3.1.24)
NP_001302619.1	463	AT5G20040.3	AT5G20040.3	orthologue	GO:0008033;GO:0052381;GO:0009691;GO:0005634;GO:0006400;GO:0005524;GO:0005737	tRNA dimethylallyltransferase (EC 2.5.1.75);tRNA dimethylallyltransferase 9 (EC 2.5.1.75) (Isopentenyl-diphosphate: tRNA isopentenyltransferase 9) (AtIPT9) (IPP transferase 9) (IPPT 9)
