Cardamine_glauca	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Cg001G000140	483	AT4G38230.2	AT4G38230.2	orthologue	GO:0035556;GO:0005886;GO:0005509;GO:0009931;GO:0005516;GO:0004683;GO:0004672;GO:0005737;GO:0005634;GO:0004674;GO:0005524;GO:0106310;GO:0006468	Calcium-dependent protein kinase 26 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Cg001G000150	444	AT4G38240.1	AT4G38240.1	orthologue	GO:0006486;GO:0003827;GO:0016262;GO:0005794;GO:0006491;GO:0005797;GO:0005768;GO:0016757;GO:0005802;GO:0006972;GO:0000139;GO:0046872;GO:0030145;GO:0008375;GO:0009101	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-acetylglucosaminyltransferase I) (GlcNAcT-I) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (Protein COMPLEX GLYCAN LESS 1);Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (GNT-I) (GlcNAc-T I) (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I)
Cg001G000160	435	AT4G38250.1	AT4G38250.1	orthologue	GO:0005774;GO:0015804;GO:0003333;GO:0015171;GO:0015179;GO:0005886;GO:0015175;GO:0016020	Amino acid transporter AVT3C (AtAvt3C) (Aromatic and neutral amino acid transporter-like protein 2)
Cg001G000170	265	AT4G38260.1	AT4G38260.1	orthologue	GO:0008150;GO:0003674;GO:0005575	Transport/golgi organization-like protein (DUF833)
Cg001G000180	689	AT4G38270.1	AT4G38270.1	orthologue	GO:0005802;GO:0045489;GO:0047262;GO:0005576;GO:0005797;GO:0005794;GO:0005768;GO:0016757;GO:0000325;GO:0000139;GO:0071555	Hexosyltransferase (EC 2.4.1.-);Probable galacturonosyltransferase 3 (EC 2.4.1.-)
Cg001G000190	158	AT2G45250.2, AT4G38280.1	AT4G38280.1	orthologue	GO:0005515;GO:0005634;GO:0008150;GO:0005739;GO:0009507;GO:0070176;GO:0006355	At4g38290 (Integral membrane hemolysin-III-like protein);Integral membrane hemolysin-III-like protein
Cg001G000200	688	AT4G38340.1	AT4G38340.1	orthologue	GO:0003700;GO:0006355;GO:0005634;GO:0000987;GO:0003677;GO:0005515	Plant regulator RWP-RK family protein;Protein NLP3 (AtNLP3) (NIN-like protein 3) (Nodule inception protein-like protein 3)
Cg001G000210	1273	AT4G38350.2	AT4G38350.2	orthologue	GO:0016020;GO:0005319;GO:0090153;GO:0000325;GO:0032934;GO:0048868;GO:0009507;GO:0005773;GO:0015918;GO:0008203;GO:0012505	Patched family protein
Cg001G000220	484	AT4G38360.2	AT4G38360.2	orthologue	GO:0098876;GO:0007033;GO:0012501;GO:0016020;GO:1900458;GO:0005829;GO:0022857;GO:0009705;GO:0005886;GO:0012505	Protein LAZ1 (Lazarus1)
Cg001G000230	223	AT4G38370.1	AT4G38370.1	orthologue	GO:0003674;GO:0008150;GO:0005634	Phosphoglycerate mutase family protein
Cg001G000240	563	AT4G38380.1	AT4G38380.1	orthologue	GO:0042910;GO:0055085;GO:0009507;GO:0015297;GO:0031969;GO:0016020	Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein);Protein DETOXIFICATION 45, chloroplastic (AtDTX45) (Multidrug and toxic compound extrusion protein 45) (MATE protein 45)
Cg001G000250	556	AT4G38390.1	AT4G38390.1	orthologue	GO:0016757;GO:0005634;GO:0006004;GO:0016020	Protein ROOT HAIR SPECIFIC 17 (EC 2.4.1.-) (O-fucosyltransferase 32) (O-FucT-32) (O-fucosyltransferase family protein)
Cg001G000260	171	AT4G38410.1	AT4G38410.1	orthologue	GO:0009414;GO:0009737;GO:0005829;GO:0009631;GO:0003674;GO:0016020;GO:0046872	At4g38410 (Dehydrin family protein) (Putative cold-regulated protein)
Cg001G000270	551	AT4G38420.1	AT4G38420.1	orthologue	GO:0009506;GO:0005507;GO:0016491;GO:0005576;GO:0009505	Putative pectinesterase (SKU5 similar 9);SKU5 similar 9
Cg001G000280	539	AT4G38430.1	AT4G38430.1	orthologue	GO:2000012;GO:0080092;GO:0005634;GO:0005515;GO:0009860;GO:0005886;GO:0016324;GO:0005085;GO:0005829;GO:2001108	Rop guanine nucleotide exchange factor 1 (AtRopGEF1) (Kinase partner protein-like) (KPP-like) (Rho of plants guanine nucleotide exchange factor 1)
Cg001G000290	1455	AT4G38440.1	AT4G38440.1	orthologue	GO:0005634;GO:0030154;GO:0005515;GO:0005737	Transcriptional elongation regulator MINIYO
Cg001G000310	312	AT4G38460.1	AT4G38460.1	orthologue	GO:0005515;GO:0009507;GO:0042651;GO:0004659;GO:0004161;GO:0043693;GO:0009535;GO:0046872;GO:0008299	Heterodimeric geranylgeranyl pyrophosphate synthase small subunit, chloroplastic
Cg001G000320	581	AT4G38470.1	AT4G38470.1	orthologue	GO:0009737;GO:0004674;GO:0044024;GO:0004672;GO:0005524;GO:0007165;GO:0071456;GO:0004712;GO:0006468;GO:0005829;GO:0009658;GO:0005634;GO:0005515;GO:0106310	Serine/threonine-protein kinase STY46 (EC 2.7.11.1) (Serine/threonine/tyrosine-protein kinase 46);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Cg001G000330	478	AT4G38480.1	AT4G38480.1	orthologue	GO:0005634;GO:0080008;GO:0008150;GO:0005515;GO:0005737;GO:0031461	Transducin/WD40 repeat-like superfamily protein
Cg001G000340	153	AT4G38490.1	AT4G38490.1	orthologue	GO:0005515;GO:0005739;GO:0009528;GO:0006886;GO:0006605;GO:0071806;GO:0090351;GO:0016020	Transmembrane protein
Cg001G000350	120	AT4G38495.1	AT4G38495.1	orthologue	GO:0009723;GO:0010104;GO:0005634;GO:0031011;GO:0010628;GO:0040029;GO:0006338;GO:0005515;GO:0005737;GO:0006281;GO:0006310;GO:0009873	Protein EIN6 ENHANCER (Protein ENHANCER OF ETHYLENE INSENSITIVITY 6)
Cg001G000360	501	AT4G38500.1	AT4G38500.1	orthologue	GO:0005802;GO:0016757;GO:0000138;GO:0005739;GO:0005794;GO:0005768;GO:0016020	AT4g38500/F20M13_60 (Sept9)
Cg001G000380	398	AT4G38520.1	AT4G38520.1	orthologue	GO:1902531;GO:0005886;GO:0004722;GO:0005515;GO:0017018;GO:0046872;GO:0006470;GO:0043169	Probable protein phosphatase 2C 64 (AtPP2C64) (EC 3.1.3.16)
Cg001G000390	579	AT4G38530.1	AT4G38530.1	orthologue	GO:0004435;GO:0005739;GO:0048015;GO:0005886;GO:0051209;GO:0035556;GO:0016042;GO:0046872;GO:0006629;GO:0008081;GO:0007165	Phosphoinositide phospholipase C 3 (EC 3.1.4.11) (Phosphoinositide phospholipase PLC3) (AtPLC1F) (AtPLC3) (PI-PLC3)
Cg001G000400	406	AT4G38540.1	AT4G38540.1	orthologue	GO:0004497;GO:0005739;GO:0071949;GO:0002239;GO:0005886	Monooxygenase 2 (AtMO2) (EC 1.14.13.-)
Cg001G000410	95					
Cg001G000420	585	AT4G38550.2	AT4G38550.2	orthologue	GO:0010494;GO:0005634;GO:0005737;GO:0003674;GO:0005886	Phospholipase-like protein (PEARLI 4) family protein;Phospholipase-like protein (PEARLI 4) family protein (Putative phospholipase)
Cg001G000430	542	AT4G38560.2	AT4G38560.2	orthologue	GO:0005634;GO:0003674	At4g38560 (Phospholipase like protein) (Phospholipase-like protein (PEARLI 4) family protein);Phospholipase like protein (Phospholipase-like protein (PEARLI 4) family protein)
Cg001G000450	153	AT4G38580.1	AT4G38580.1	orthologue	GO:0005634;GO:0032791;GO:0005507;GO:0009506;GO:0005515;GO:0005886;GO:0010286;GO:0046870;GO:0031965;GO:0046872	Heavy metal-associated isoprenylated plant protein 26 (AtHIP26) (AtHIPP26) (Farnesylated protein 6) (AtFP6)
Cg001G000460	888	AT4G38590.2	AT4G38590.2	orthologue	GO:0030246;GO:0009505;GO:0000398;GO:0004565;GO:0019388;GO:0005975;GO:0009827;GO:0005576;GO:0005773;GO:0048046;GO:0004553	Beta-galactosidase (EC 3.2.1.23);Beta-galactosidase 14 (Lactase 14) (EC 3.2.1.23)
Cg001G000470	1887	AT4G38600.1	AT4G38600.1	orthologue	GO:0061630;GO:0016567;GO:0005886;GO:0000209;GO:0006511;GO:0042023;GO:0004842;GO:0043161;GO:0010091;GO:0005634;GO:0016874;GO:0005515	E3 ubiquitin-protein ligase (EC 2.3.2.26);E3 ubiquitin-protein ligase UPL3 (Ubiquitin-protein ligase 3) (EC 2.3.2.26) (HECT ubiquitin-protein ligase 3) (HECT-type E3 ubiquitin transferase UPL3) (Protein KAKTUS)
Cg001G000480	292	AT4G38620.1	AT4G38620.1	orthologue	GO:0000976;GO:0005515;GO:2000762;GO:0000987;GO:0006355;GO:0045892;GO:1903086;GO:0010224;GO:0003677;GO:0003700;GO:0005634	Transcription repressor MYB4 (Myb-related protein 4) (AtMYB4)
Cg001G000490	385	AT4G38630.1	AT4G38630.1	orthologue	GO:0008540;GO:0043248;GO:0051788;GO:0009408;GO:0005886;GO:0006511;GO:0010029;GO:0043161;GO:0009737;GO:0006974;GO:0048767;GO:0048455;GO:0030163;GO:0031593;GO:0001653;GO:0009733;GO:0005515;GO:0048528;GO:0009735;GO:0000502;GO:0005634;GO:0010150;GO:0048366;GO:0005829;GO:0005737;GO:0009744;GO:0009651;GO:0009555	26S proteasome non-ATPase regulatory subunit 4 homolog (26S proteasome regulatory subunit RPN10) (AtRPN10) (26S proteasome regulatory subunit S5A homolog) (Multiubiquitin chain-binding protein 1) (AtMCB1)
Cg001G000500	555	AT4G38640.1	AT4G38640.1	orthologue	GO:0055085;GO:0022857;GO:0016020;GO:0005886	Choline transporter-like protein
Cg001G000510	562	AT4G38650.1	AT4G38650.1	orthologue	GO:0005576;GO:0003674;GO:0031176;GO:0045493;GO:0004553;GO:0005975	At4g38650 (Glycosyl hydrolase family 10 protein)
Cg001G000520	348	AT4G38660.1	AT4G38660.1	orthologue	GO:0005576;GO:0003674;GO:0016020;GO:0006952	Pathogenesis-related thaumatin superfamily protein (Putative thaumatin) (Thaumatin-like protein);Pathogenesis-related thaumatin superfamily protein (Putative thaumatin-like protein)
Cg001G000530	279	AT4G38670.1	AT4G38670.1	orthologue	GO:0003674;GO:0006952;GO:0005576	Pathogenesis-related thaumatin superfamily protein;Pathogenesis-related thaumatin superfamily protein (Putative thaumatin)
Cg001G000540	211	AT4G38680.1	AT4G38680.1	orthologue	GO:0009409;GO:0010228;GO:0009414;GO:0003697;GO:0009269;GO:0048443;GO:0005737;GO:0003729;GO:0008270;GO:0005730;GO:0005886;GO:0009631;GO:0032508;GO:0043457;GO:0005829;GO:0003676;GO:0048316;GO:0009737;GO:0003690;GO:0005634;GO:0031982	Cold shock protein 2 (AtCSP2) (Cold shock domain-containing protein 2) (Glycine-rich protein 2) (AtGRP2)
Cg001G000560	318	AT4G38690.1	AT4G38690.1	orthologue	GO:0008081;GO:0005886;GO:0006629;GO:0005576	AT4g38690/F20M13_250 (PLC-like phosphodiesterases superfamily protein)
Cg001G000570	190	AT4G38700.1	AT4G38700.1	orthologue	GO:0003674;GO:0005576;GO:0009699;GO:0048046	Dirigent protein 15 (AtDIR15)
Cg001G000580	451	AT4G38710.2	AT4G38710.2	orthologue	GO:0003729;GO:0005737;GO:0005515;GO:0005886;GO:0003743;GO:0042803;GO:0005634	Eukaryotic translation initiation factor 4B3 (AtTif4B3) (eIF4B3)
Cg001G000590	326	AT4G38730.1	AT4G38730.1	orthologue	GO:0015095;GO:0009507;GO:0015693;GO:0016020;GO:0005769;GO:0005886	Probable magnesium transporter NIPA7
Cg001G000600	172	AT4G38740.1	AT4G38740.1	orthologue	GO:0001932;GO:0009785;GO:0006457;GO:0005829;GO:0009704;GO:0005737;GO:0009416;GO:0007165;GO:0005886;GO:0003755;GO:0009585;GO:0009742;GO:0016018;GO:0010494;GO:0048046;GO:0009626;GO:0000413	Peptidyl-prolyl cis-trans isomerase CYP18-3 (PPIase CYP18-3) (EC 5.2.1.8) (Cyclophilin of 18 kDa 3) (Cyclosporin A-binding protein) (Rotamase cyclophilin-1)
Cg001G000610	1961	AT4G38760.1	AT4G38760.1	orthologue	GO:0006606;GO:0006405;GO:0017056;GO:0044611;GO:0005634	Nucleoporin (DUF3414)
Cg001G000620	644	AT4G38770.1	AT4G38770.1	orthologue	GO:0009505;GO:0003674;GO:0005576	Proline-rich protein 4 (AtPRP4)
Cg001G000630	272	AT4G38790.1	AT4G38790.1	orthologue	GO:0046923;GO:0005575;GO:0006621;GO:0005789;GO:0015031;GO:0016192;GO:0016020	ER lumen protein retaining receptor family protein (Putative ER lumen protein retaining receptor)
Cg001G000640	267	AT4G38800.1	AT4G38800.1	orthologue	GO:0008930;GO:0005886;GO:0005829;GO:0009116;GO:0010087;GO:0005737;GO:0019509;GO:0022414;GO:0003824	5'-methylthioadenosine nucleosidase (MTA nucleosidase) (EC 3.2.2.16) (5'-methylthioadenosine nucleosidase 1) (AtMTAN1) (MTA nucleosidase 1)
Cg001G000650	379	AT4G38810.2	AT4G38810.2	orthologue	GO:0005509;GO:0005737;GO:0005515;GO:0005634;GO:0005829;GO:0004860;GO:0005886	Calcium-binding EF-hand family protein (EF-Hand containing protein-like) (Putative EF-hand containing protein);Calcium-binding EF-hand family protein (EF-hand containing protein-like)
Cg001G000660	663	AT4G38830.1	AT4G38830.1	orthologue	GO:0004674;GO:0005576;GO:0005886;GO:0016301;GO:0007165;GO:0006955;GO:0005524;GO:0016020;GO:0106310;GO:0004672;GO:0006468	Cysteine-rich receptor-like protein kinase 26 (Cysteine-rich RLK26) (EC 2.7.11.-)
Cg001G000670	98	AT4G38840.1	AT4G38840.1	orthologue	GO:0003674;GO:0005886;GO:0009733;GO:0009409;GO:0009507	At4g38840 (Auxin-induced protein-like) (SAUR-like auxin-responsive protein family)
Cg001G000680	89	AT4G38850.1	AT4G38850.1	orthologue	GO:0009733;GO:0005739;GO:0005515;GO:0005886;GO:0009734	Auxin-responsive protein SAUR15 (Protein SMALL AUXIN UP RNA 15) (Protein SMALL AUXIN UP RNA FROM ARABIDOPSIS COLUMBIA 1)
Cg001G000690	105	AT4G38860.1	AT4G38860.1	orthologue	GO:0005739;GO:0009737;GO:0009639;GO:0009741;GO:0003674;GO:0009733;GO:0005886	Protein SMALL AUXIN UP-REGULATED RNA 16
Cg001G000700	694	AT4G38890.1	AT4G38890.1	orthologue	GO:0005634;GO:0005773;GO:0017150;GO:0050660;GO:0006397;GO:0008270;GO:0106414;GO:0008033;GO:0003723;GO:0046872	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like (EC 1.3.1.89) (Zinc finger CCCH domain-containing protein 50) (AtC3H50) (mRNA-dihydrouridine synthase DUS3 homolog) (EC 1.3.1.-) (tRNA-dihydrouridine synthase 3-like)
Cg001G000710	556	AT4G38900.1	AT4G38900.1	orthologue	GO:0006355;GO:0090567;GO:0005829;GO:0003700;GO:0042803;GO:0000976;GO:0005634;GO:0043565;GO:0005737	bZIP transcription factor 29 (AtbZIP29) (Protein DRINK ME-LIKE)
Cg001G000720	178	AT4G38905.1	AT4G38905.1	orthologue	GO:0003674;GO:0005739;GO:0016020	Transmembrane protein
Cg001G000730	295	AT4G38910.2	AT4G38910.2	orthologue	GO:0005634;GO:0003700;GO:0003677;GO:0043565;GO:0009723;GO:0005515	Protein BASIC PENTACYSTEINE5 (AtBPC5) (GAGA-motif binding transcriptional activator BBR/BPC5)
Cg001G000740	164	AT2G16510.1, AT4G34720.1, AT4G38920.1	AT4G38920.1	other	GO:0000325;GO:0016887;GO:0009507;GO:0046961;GO:0005773;GO:0033179;GO:0016020;GO:0005886;GO:0005774;GO:1902600;GO:0015078;GO:0033177	V-type proton ATPase proteolipid subunit;V-type proton ATPase subunit c1 (V-ATPase subunit c1) (V-type proton ATPase 16 kDa proteolipid subunit c1) (V-ATPase 16 kDa proteolipid subunit c1) (Vacuolar H(+)-ATPase subunit c isoform 1) (Vacuolar proton pump 16 kDa proteolipid subunit c1) (Vacuolar proton pump subunit c1);V-type proton ATPase subunit c3 (V-ATPase subunit c3) (V-type proton ATPase 16 kDa proteolipid subunit c3) (V-ATPase 16 kDa proteolipid subunit c3) (Vacuolar H(+)-ATPase subunit c isoform 3) (Vacuolar proton pump 16 kDa proteolipid subunit c3) (Vacuolar proton pump subunit c3);V-type proton ATPase subunit c5 (V-ATPase subunit c5) (V-type proton ATPase 16 kDa proteolipid subunit c5) (V-ATPase 16 kDa proteolipid subunit c5) (Vacuolar H(+)-ATPase subunit c isoform 5) (Vacuolar proton pump 16 kDa proteolipid subunit c5) (Vacuolar proton pump subunit c5)
Cg001G000750	365	AT4G38940.1	AT4G38940.1	orthologue	GO:0005634;GO:0016567;GO:0003674;GO:0005515	F-box/kelch-repeat protein At4g38940
Cg001G000760	829	AT4G38950.1	AT4G38950.1	orthologue	GO:0003777;GO:0005737;GO:0009506;GO:0008017;GO:0003729;GO:0007018;GO:0005524;GO:0005874	Kinesin-like protein KIN-7F
Cg001G000770	183	AT4G38960.3	AT4G38960.3	orthologue	GO:0005515;GO:0006355;GO:0045892;GO:0009640;GO:0008270;GO:0010228;GO:0010100;GO:0005634;GO:0042752;GO:0003700;GO:0007623;GO:0005737	B-box type zinc finger family protein;B-box zinc finger protein 19 (Protein DOUBLE B-BOX 1B) (Protein SALT TOLERANCE HOMOLOG 5)
Cg001G000780	398	AT4G38970.1	AT4G38970.1	orthologue	GO:0009570;GO:0006096;GO:0005829;GO:0009507;GO:0010287;GO:0006094;GO:0004332;GO:0009579;GO:0006098;GO:0009737;GO:0009941;GO:0048046;GO:0003729;GO:0030388;GO:0005886	Fructose-bisphosphate aldolase (EC 4.1.2.13);Fructose-bisphosphate aldolase 2, chloroplastic (AtFBA2) (EC 4.1.2.13)
Cg001G000790	279	AT4G38980.1	AT4G38980.1	orthologue	GO:0003674;GO:0008150;GO:0005634	Uncharacterized protein At4g38980 (Uncharacterized protein F19H22.80)
Cg001G000800	491	AT4G38990.2	AT4G38990.2	orthologue	GO:0008810;GO:0005576;GO:0008150;GO:0030245;GO:0071555;GO:0005975;GO:0004553	Endoglucanase 22 (EC 3.2.1.4) (Endo-1,4-beta glucanase 22) (Glycosyl hydrolase 9B16)
Cg001G000810	492	AT4G39000.1	AT4G39000.1	orthologue	GO:0008810;GO:0005576;GO:0030245;GO:0071555;GO:0005975;GO:0004553	Endoglucanase 23 (EC 3.2.1.4) (Endo-1,4-beta glucanase 23)
Cg001G000820	497	AT4G39010.1	AT4G39010.1	orthologue	GO:0009828;GO:1990059;GO:0010047;GO:0005576;GO:0008810;GO:0030245;GO:0071555;GO:0005975;GO:0004553	Endoglucanase 24 (EC 3.2.1.4) (Endo-1,4-beta glucanase 24);cellulase (EC 3.2.1.4)
Cg001G000830	232	AT1G75560.1	AT1G75560.1	other	GO:0005634;GO:0003729;GO:0008270;GO:0003677;GO:0003676	DNA-binding protein (Zinc knuckle (CCHC-type) family protein)
Cg001G000840	514	AT4G36220.1	AT4G36220.1	other	GO:0005886;GO:0009809;GO:0005783;GO:0005515;GO:0016705;GO:0009699;GO:0005506;GO:0004497;GO:0010224;GO:0020037;GO:0046424	Cytochrome P450 84A1 (EC 1.14.-.-) (Ferulate-5-hydroxylase) (F5H)
Cg001G000850	536	AT4G39030.1	AT4G39030.1	orthologue	GO:0009941;GO:0042910;GO:0009697;GO:0009507;GO:0031348;GO:0045087;GO:0006952;GO:0015297;GO:0042742;GO:0009624;GO:0009751;GO:0055085;GO:0009536;GO:0031969;GO:0016020	Protein DETOXIFICATION 47, chloroplastic (AtDTX47) (Multidrug and toxic compound extrusion protein 47) (MATE protein 47) (Protein ENHANCED DISEASE SUSCEPTIBILITY 5) (Protein EDS5) (Protein IMPORTANT FOR THE ARR PATHWAY 1) (Protein IAP1) (Protein SALICYLIC ACID INDUCTION DEFICIENT 1) (Protein SID1) (Protein SUSCEPTIBLE TO CORONATINE-DEFICIENT PST DC3000 3) (Protein SCORD3)
Cg001G000860	288	AT4G39040.1	AT4G39040.1	orthologue	GO:0009507;GO:0003729;GO:0005886;GO:0003723	At4g39040 (RNA-binding CRS1 / YhbY (CRM) domain protein);RNA-binding CRS1 / YhbY (CRM) domain protein
Cg001G000870	1062	AT4G39050.1	AT4G39050.1	orthologue	GO:0008017;GO:0005737;GO:0003777;GO:0007018;GO:0005874;GO:0005634;GO:0031347;GO:0005871;GO:0016887;GO:0005524;GO:0005739;GO:0008270	Kinesin-like protein KIN-7D, mitochondrial (Mitochondria-targeted kinesin-related protein 2)
Cg001G000880	242	AT4G39070.1	AT4G39070.1	orthologue	GO:0000976;GO:0009640;GO:0006355;GO:1900458;GO:2000306;GO:0005515;GO:0005634;GO:0008270;GO:0009741;GO:0003700	B-box zinc finger protein 20 (Protein BZR1 SUPPRESSOR 1) (Protein DOUBLE B-BOX 2) (Protein SALT TOLERANCE HOMOLOG 7)
Cg001G000900	376	AT4G39090.1	AT4G39090.1	orthologue	GO:0051603;GO:0005615;GO:0005764;GO:0006970;GO:0005576;GO:0004197;GO:0009414;GO:0009651;GO:0005634;GO:0000323;GO:0009269;GO:0042742;GO:0005886;GO:0005773;GO:0006508;GO:0008234	Cysteine protease RD19A (EC 3.4.22.-) (Protein RESPONSIVE TO DEHYDRATION 19) (RD19)
Cg001G000910	233	AT4G39100.1	AT4G39100.1	orthologue	GO:0005515;GO:2000028;GO:0045814;GO:0000976;GO:0035064;GO:0010228;GO:0005634;GO:0009791;GO:0003682;GO:0003700;GO:0008270;GO:0009908;GO:0140002;GO:0006325	Chromatin remodeling protein SHL (Protein SHORT LIFE);PHD finger family protein / bromo-adjacent homology (BAH) domain-containing protein
Cg001G000920	106					
Cg001G000930	882	AT4G39110.1	AT4G39110.1	orthologue	GO:0016301;GO:0004672;GO:0004714;GO:0080092;GO:0016324;GO:0005515;GO:0009507;GO:0005886;GO:0009555;GO:0004674;GO:0005524;GO:0006468	Probable receptor-like protein kinase At4g39110 (EC 2.7.11.-)
Cg001G000940	351	AT4G39120.2	AT4G39120.2	orthologue	GO:0004401;GO:0010347;GO:0000105;GO:0008934;GO:0009507;GO:0005737;GO:0006021;GO:0046872;GO:0052834;GO:0042578	Bifunctional phosphatase IMPL2, chloroplastic (Histidinol-phosphatase) (Histidinol-phosphate phosphatase) (HPP) (EC 3.1.3.15) (Inositol-phosphate phosphatase) (EC 3.1.3.25) (L-galactose 1-phosphate phosphatase) (EC 3.1.3.93) (Protein HISTIDINE BIOSYNTHESIS 7) (Protein MYO-INOSITOL MONOPHOSPHATASE-LIKE 2)
Cg001G000950	161	AT4G39130.1	AT4G39130.1	orthologue	GO:0009415;GO:0003674;GO:0005829;GO:0009414;GO:0009631;GO:0009737	Dehydrin family protein
Cg001G000960	426	AT4G39140.1	AT4G39140.1	orthologue	GO:0003674;GO:0005634;GO:0008270	RING finger family protein (RING/U-box superfamily protein)
Cg001G000970	344	AT4G39150.1	AT4G39150.1	orthologue	GO:0005886;GO:0003674;GO:0005737	AT4g39150/T22F8_50 (DNAJ heat shock N-terminal domain-containing protein) (DnaJ-like protein)
Cg001G000980	606	AT4G39160.2	AT4G39160.2	orthologue	GO:0070898;GO:0005634;GO:0000126;GO:0001156;GO:0003677	At4g39160 (Homeodomain-like superfamily protein);Homeodomain-like superfamily protein
Cg001G000990	614	AT4G39170.1	AT4G39170.1	orthologue	GO:0003674;GO:0005794;GO:0000139;GO:0005886;GO:0015031	Phosphatidylinositol/phosphatidylcholine transfer protein SFH6 (Protein SEC FOURTEEN HOMOLOGS 6) (AtSFH6);Sec14p-like phosphatidylinositol transfer family protein
Cg001G001000	550	AT4G39180.1	AT4G39180.1	orthologue	GO:0008526;GO:0015914;GO:0006656;GO:0005794;GO:0000139;GO:0005886;GO:0015031	Phosphatidylinositol/phosphatidylcholine transfer protein SFH2 (Protein SEC FOURTEEN HOMOLOGS 2) (AtSFH2);Sec14p-like phosphatidylinositol transfer family protein
Cg001G001010	286	AT4G39190.1	AT4G39190.1	orthologue	GO:0005575;GO:0003674;GO:0016020	Nucleolar-like protein
