Conringia_planisiliqua	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
CP10_g42096_DN3_SP5_c.t1	367	AT3G02040.1	AT3G02040.1	orthologue	GO:0071456;GO:0005737;GO:0046475;GO:0009536;GO:0000287;GO:0030643;GO:0006629;GO:0008889;GO:0006071;GO:0009507;GO:0008081	Glycerophosphodiester phosphodiesterase GDPD1, chloroplastic (EC 3.1.4.46) (Glycerophosphodiester phosphodiesterase 1) (AtGDPD1) (Protein SENESCENCE-RELATED GENE 3)
CP10_g42098_DN3_SP2_c.t1	426	AT5G14040.1	AT5G14040.1	other	GO:0005739;GO:0009505;GO:0005315;GO:0035435;GO:0009651;GO:1990547;GO:0003729;GO:0005743;GO:0009507;GO:0000325	Mitochondrial phosphate carrier protein 3, mitochondrial (Mitochondrial phosphate transporter 3) (MPT3) (Phosphate transporter 3;1)
CP10_g42099_DN3_SP7_c.t1	560	AT3G02020.1	AT3G02020.1	orthologue	GO:0009089;GO:0004072;GO:0009067;GO:0009507;GO:0005829;GO:0009088;GO:0009090;GO:0005524;GO:0008652;GO:0009570	Aspartokinase 3, chloroplastic (EC 2.7.2.4) (Aspartate kinase 3)
CP10_g42100_DN3_SP0_c.t1	137	AT3G02000.1	AT3G02000.1	orthologue	GO:0048448;GO:0000122;GO:0005515;GO:0005634;GO:0045892;GO:0005737;GO:0048441;GO:0048653;GO:0048451;GO:0003756;GO:0015036	Glutaredoxin-C7 (AtGrxC7) (Protein ROXY 1)
CP10_g42101_DN3_SP8_c.t1	442	AT3G01990.5	AT3G01990.5	orthologue	GO:0016597;GO:0005515;GO:0009507	ACT domain-containing protein ACR (Protein ACT DOMAIN REPEATS);ACT domain-containing protein ACR6 (Protein ACT DOMAIN REPEATS 6)
CP10_g42102_DN3_SP1_c.t1	232	AT3G01980.3	AT3G01980.3	orthologue	GO:0005777;GO:0005739;GO:0003674;GO:0016020	AT3g01980/F28J7_36 (NAD(P)-binding Rossmann-fold superfamily protein);F28J7.36 protein (NAD(P)-binding Rossmann-fold superfamily protein);NAD(P)-binding Rossmann-fold superfamily protein;NAD(P)-binding Rossmann-fold superfamily protein (Putative dehydrogenase)
CP10_g42103_DN3_SP5_c.t1	142	AT3G01970.1	AT3G01970.1	orthologue	GO:0005515;GO:0000976;GO:0003700;GO:0006355;GO:0006817;GO:0008134;GO:0046686;GO:0005634;GO:0046872;GO:0043565	Probable WRKY transcription factor 45 (AT.I.24-4) (WRKY DNA-binding protein 45)
CP10_g42105_DN2_SP0_c.t1	139	AT3G01960.1	AT3G01960.1	orthologue	GO:0008150;GO:0003674;GO:0005575	At3g01960 (F1C9.26 protein) (F28J7.29 protein)
CP10_g42106_DN3_SP0_c.t1	70	AT3G01950.1	AT3G01950.1	orthologue	GO:0016020;GO:0003674;GO:0004601	At3g01950 (F1C9.27 protein) (F28J7.28 protein) (GPI-anchored protein) (Peroxidase (DUF 3339))
CP10_g42107_DN1_SP0_c.t1	70	AT3G01940.1	AT3G01940.1	orthologue	GO:0003674;GO:0016020	F1C9.28 protein (F28J7.27 protein) (Transmembrane protein, putative (DUF 3339))
CP10_g42108_DN3_SP8_c.t1	389	AT3G01910.1	AT3G01910.1	orthologue	GO:0015994;GO:0020037;GO:0006790;GO:0010477;GO:0009507;GO:0005829;GO:0005777;GO:0043546;GO:0030151;GO:0005739;GO:0008482;GO:0016491	Sulfite oxidase (EC 1.8.3.1);Sulfite oxidase (EC 1.8.3.1) (Moco-containing protein AtMCP) (At-SO) (AtSOX)
CP10_g42109_DN3_SP0_c.t1	495	AT3G01900.1	AT3G01900.1	orthologue	GO:0004497;GO:0016705;GO:0005576;GO:0020037;GO:0005506	Cytochrome P450, family 94, subfamily B, polypeptide 2 (Putative cytochrome P450)
CP10_g42111_DN2_SP0_c.t1	203	AT3G01860.1	AT3G01860.1	orthologue	GO:0003674;GO:0005634	F28J7.19 protein;Uncharacterized protein At3g01860
CP10_g42112_DN3_SP0_c.t1	669	AT3G01840.1	AT3G01840.1	orthologue	GO:0009507;GO:0004672;GO:0016310;GO:0005515;GO:0005886;GO:0005524;GO:0006468	Protein LYK2 (LysM domain receptor-like kinase 2) (LysM-containing receptor-like kinase 2)
CP10_g42113_DN3_SP0_c.t1	140	AT3G01830.1	AT3G01830.1	orthologue	GO:0005634;GO:0005509	Probable calcium-binding protein CML40 (Calmodulin-like protein 40)
CP10_g42114_DN3_SP1_c.t1	269	AT3G01820.1	AT3G01820.1	orthologue	GO:0004017;GO:0005739;GO:0005737;GO:0005524;GO:0006139;GO:0019205	Probable adenylate kinase 7, mitochondrial (EC 2.7.4.3) (ATP-AMP transphosphorylase 7) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase 7) (AMK7)
CP10_g42115_DN3_SP2_c.t1	922	AT3G01810.1	AT3G01810.1	orthologue	GO:0005643;GO:0005634;GO:0003674	EEIG1/EHBP1 protein amino-terminal domain protein (F28J7.14 protein)
CP10_g42116_DN3_SP5_c.t1	270	AT3G01800.1	AT3G01800.1	orthologue	GO:0006412;GO:0005829;GO:0043023;GO:0005739	Ribosome-recycling factor, chloroplastic (Ribosome-releasing factor, chloroplastic)
CP10_g42117_DN3_SP8_c.t1	203	AT3G01790.1	AT3G01790.1	orthologue	GO:0009507;GO:0003729;GO:0003735;GO:0005840;GO:0005762;GO:0017148;GO:0005739;GO:0006412;GO:1990904	At1g01640 (Ribosomal protein L13 family protein) (Uncharacterized protein At3g01790);Ribosomal protein L13 family protein
CP10_g42118_DN3_SP8_c.t1	1182	AT3G01780.1	AT3G01780.1	orthologue	GO:0005515;GO:0006897;GO:0005737;GO:0009555;GO:0005634;GO:0042802;GO:0005886;GO:0005829;GO:0009506;GO:0009504;GO:0009524;GO:0000911;GO:0005856	ARM repeat superfamily protein;Protein TPLATE
CP10_g42119_DN3_SP0_c.t1	75	AT3G01780.1	AT3G01780.1	orthologue	GO:0005515;GO:0006897;GO:0005737;GO:0009555;GO:0005634;GO:0042802;GO:0005886;GO:0005829;GO:0009506;GO:0009504;GO:0009524;GO:0000911;GO:0005856	ARM repeat superfamily protein;Protein TPLATE
CP10_g42120_DN3_SP0_c.t1	751	AT3G01770.1	AT3G01770.1	orthologue	GO:0045893;GO:0005515;GO:0005634;GO:0009737	Bromodomain and extraterminal domain protein 10;Transcription factor GTE11 (BROMODOMAIN AND EXTRATERMINAL DOMAIN PROTEIN 10) (AtBET10) (Bromodomain-containing protein GTE11) (Protein GLOBAL TRANSCRIPTION FACTOR GROUP E11)
CP10_g42121_DN3_SP1_c.t1	438	AT1G61270.1	AT1G61270.1	orthologue	GO:0003333;GO:0016020;GO:0015172;GO:0005886;GO:0015171;GO:0006865	Lysine histidine transporter-like 3
CP10_g42122_DN3_SP2_c.t1	658	AT3G01750.1	AT3G01750.1	orthologue	GO:0005737;GO:0003674;;GO:0005515	Ankyrin repeat family protein (F28J7.8 protein) (F4P13.30 protein)
CP10_g42123_DN3_SP0_c.t1	128	AT3G01740.1	AT3G01740.1	orthologue	GO:0005829;GO:0003735;GO:0005762;GO:0005739	Large ribosomal subunit protein mL54
CP10_g42124_DN3_SP8_c.t1	818	AT3G01720.1	AT3G01720.1	orthologue	GO:0005575;GO:0016757;GO:0005789	Peptidyl serine alpha-galactosyltransferase (AtSGT1) (EC 2.4.1.-)
CP10_g42125_DN3_SP3_c.t1	386	AT3G01710.3	AT3G01710.3	orthologue	GO:0008150;GO:0005634;GO:0003674;GO:0005737;GO:0005874	TPX2 (Targeting protein for Xklp2) protein family
CP10_g42126_DN3_SP0_c.t1	137	AT3G01700.1	AT3G01700.1	other	GO:0009860;GO:0005886;GO:0003674;GO:0016020;GO:0098552	Classical arabinogalactan protein 11
CP10_g42127_DN3_SP5_c.t1	367	AT3G01690.1	AT3G01690.1	orthologue	GO:0005515;GO:0005634	Alpha/beta-Hydrolases superfamily protein (At3g01690) (F28J7.1 protein) (F4P13.23 protein)
CP10_g42128_DN3_SP8_c.t1	742	AT3G01680.1	AT3G01680.1	orthologue	GO:0005634;GO:0010088;GO:0042803	Protein SIEVE ELEMENT OCCLUSION B (AtSEOb) (Protein SIEVE ELEMENT OCCLUSION-RELATED 1) (AtSEOR1)
CP10_g42129_DN3_SP7_c.t1	832	AT3G01670.2	AT3G01670.2	orthologue	GO:0042803;GO:0005634;GO:0010088;GO:0005515;GO:0009507	Protein SIEVE ELEMENT OCCLUSION A (AtSEOa) (Protein SIEVE ELEMENT OCCLUSION-RELATED 2) (AtSEOR2);Sieve element occlusion protein
CP10_g42130_DN3_SP6_c.t1	719	AT3G01650.1	AT3G01650.1	orthologue	GO:0070534;GO:0016567;GO:0061630;GO:0009789;GO:0005886;GO:0080148;GO:0005515;GO:0005634;GO:0004842;GO:0009850;GO:0009690;GO:0008270;GO:0009738;GO:0008757	E3 ubiquitin-protein ligase RGLG1 (EC 2.3.2.27) (RING domain ligase 1)
CP10_g42131_DN3_SP4_c.t1	367	AT3G01640.2	AT3G01640.2	orthologue	GO:0004496;GO:0008266;GO:0005737;GO:0048868;GO:0047940;GO:0005829;GO:0006020;GO:0042546;GO:0019287;GO:0005524;GO:0046872;GO:0016301	Glucuronokinase 1 (AtGlcAK1) (EC 2.7.1.43);glucuronokinase (EC 2.7.1.43)
CP10_g42132_DN2_SP0_c.t1	568	AT3G01630.2	AT3G01630.2	orthologue	GO:0005739;GO:0016020;GO:0003674;GO:0008150	F4P13.17 protein (Major facilitator superfamily protein);Major facilitator superfamily protein
CP10_g42133_DN3_SP2_c.t1	388	AT3G01620.1	AT3G01620.1	orthologue	GO:0006487;GO:0016757;GO:0003830;GO:0005794;GO:0006044;GO:0016020	Beta-1,4-N-acetylglucosaminyltransferase family protein (F4P13.16 protein) (Glycosyltransferase)
CP10_g42134_DN3_SP1_c.t1	816	AT3G01610.2	AT3G01610.2	orthologue	GO:0005634;GO:0005524;GO:0009793;GO:0016887;GO:1990275;GO:0042254;GO:0005856;GO:0009524;GO:0015031;GO:0051301;GO:0005737	Cell division control protein 48 homolog C (AtCDC48c) (Protein EMBRYO DEFECTIVE 1354);Cell division cycle 48C
CP10_g42135_DN3_SP3_c.t1	459	AT3G01600.1	AT3G01600.1	orthologue	GO:0000976;GO:0005634;GO:0003700;GO:0006355;GO:0005515;GO:0003677	NAC domain containing protein 44
CP10_g42136_DN3_SP8_c.t1	306	AT3G01590.1	AT3G01590.1	orthologue	GO:0005737;GO:0005634;GO:0005975;GO:0047938;GO:0030246;GO:0016853;GO:0003824	glucose-6-phosphate 1-epimerase (EC 5.1.3.15)
CP10_g42138_DN3_SP6_c.t1	193	AT3G01570.1	AT3G01570.1	orthologue	GO:0050826;GO:0019915;GO:0003674;GO:0012511;GO:0010344;GO:0009791;GO:0016020;GO:0048608	Oleosin 5
CP10_g42139_DN3_SP0_c.t1	447	AT3G01560.1	AT3G01560.1	orthologue	GO:0009651;GO:0006970;GO:0042735;GO:0009507;GO:0043130;GO:0009737;GO:0005515;GO:0016301	Proline-rich receptor-like kinase, putative (DUF1421)
CP10_g42140_DN3_SP8_c.t1	1010	AT3G01540.2	AT3G01540.2	other	GO:1990904;GO:0005515;GO:0005634;GO:0006364;GO:0016887;GO:0003724;GO:0003729;GO:0005730;GO:0005737;GO:0000184;GO:0003723;GO:0005524;GO:0016020;GO:0022857;GO:0055085;GO:0003676	DEAD-box ATP-dependent RNA helicase 14 (EC 3.6.4.13)
CP10_g42141_DN3_SP2_c.t1	210	AT3G01530.1	AT3G01530.1	orthologue	GO:0009740;GO:0080086;GO:0006355;GO:0005634;GO:1990841;GO:0048443;GO:0003700;GO:0009867;GO:0043565;GO:0000976;GO:0005515	Transcription factor MYB57 (Myb-related protein 57) (AtMYB57)
CP10_g42142_DN3_SP2_c.t1	175	AT3G01520.1	AT3G01520.1	orthologue	GO:0005737;GO:0016208;GO:0005829;GO:0005886	Universal stress protein A-like protein
CP10_g42143_DN2_SP0_c.t1	184	AT3G01516.1	AT3G01516.1	orthologue	GO:0005634;GO:0003674;GO:0016020	At3g01516 (Transmembrane protein)
CP10_g42144_DN3_SP0_c.t1	241	AT3G01513.1	AT3G01513.1	orthologue	GO:0003674;GO:0005575	Uncharacterized protein
CP10_g42145_DN3_SP7_c.t1	587	AT3G01510.1	AT3G01510.1	orthologue	GO:0009507;GO:0005983;GO:0009570;GO:0009569;GO:0006470;GO:0019203;GO:0043036;GO:0004721;GO:0044042;GO:0005515;GO:0016311	Like SEX4 1;Phosphoglucan phosphatase LSF1, chloroplastic (EC 3.1.3.-) (Phosphoglucan phosphatase like sex Four1) (Protein LIKE SEX4 1)
CP10_g42146_DN3_SP8_c.t1	349	AT3G01500.2	AT3G01500.2	orthologue	GO:0009941;GO:0005829;GO:0009535;GO:0009579;GO:0004089;GO:0010037;GO:0010319;GO:0003729;GO:0009570;GO:0048046;GO:0009507;GO:0005737;GO:0015976;GO:2000122;GO:0008270;GO:0010119;GO:0005886;GO:0009409;GO:0015979;GO:0050832	Beta carbonic anhydrase 1, chloroplastic (AtbCA1) (AtbetaCA1) (EC 4.2.1.1) (Beta carbonate dehydratase 1) (Protein SALICYLIC ACID-BINDING PROTEIN 3) (AtSABP3);Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)
CP10_g42147_DN3_SP0_c.t1	208					
CP10_g42148_DN3_SP8_c.t1	413	AT3G01490.1	AT3G01490.1	orthologue	GO:0005515;GO:0005737;GO:1902456;GO:0005829;GO:0004712;GO:0004674;GO:0007165;GO:0009637;GO:0006468;GO:0001659;GO:0004713;GO:0005524;GO:0010114;GO:0071244;GO:0004672;GO:0005886	Protein kinase superfamily protein;Serine/threonine-protein kinase 54 (EC 2.7.11.1) (Protein CONVERGENCE OF BLUE LIGHT AND CO2 1)
CP10_g42149_DN3_SP7_c.t1	434	AT3G01480.1	AT3G01480.1	orthologue	GO:0009543;GO:0009579;GO:0009535;GO:0009534;GO:0003755;GO:0009507;GO:0009570;GO:0005829;GO:0031977;GO:0010102;GO:0010207;GO:0042549;GO:0000413	Peptidyl-prolyl cis-trans isomerase CYP38, chloroplastic (PPIase CYP38) (EC 5.2.1.8) (Rotamase CYP38) (Thylakoid lumen PPIase)
CP10_g42151_DN3_SP0_c.t1	2168	AT3G01460.1	AT3G01460.1	orthologue	GO:0042393;GO:0004402;GO:0000812;GO:0005634;GO:0048573;GO:0006355;GO:0008327;GO:0010223;GO:0009506;GO:0040029;GO:0008270;GO:0003677;GO:0005515	Methyl-CpG-binding domain-containing protein 9 (AtMBD9) (MBD09) (EC 2.3.1.48) (Histone acetyl transferase MBD9) (Methyl-CpG-binding protein MBD9)
CP10_g42152_DN3_SP1_c.t1	298	AT3G18530.1, AT3G01450.1	AT3G01450.1	orthologue	GO:0005881;GO:0000226;GO:0005739;GO:0008017;GO:0005634;GO:0031110;GO:1902903	ARM repeat superfamily protein;ARM repeat superfamily protein (At3g01450) (T13O15.9 protein)
CP10_g42153_DN3_SP0_c.t1	220	AT3G01440.1	AT3G01440.1	orthologue	GO:0009534;GO:0045156;GO:0009507;GO:0009767;GO:0009344;GO:0009535;GO:0009543;GO:0005829;GO:0019898;GO:0009654;GO:0005509;GO:0019684;GO:0009523;GO:0015979	Photosynthetic NDH subunit of lumenal location 3, chloroplastic (PsbQ-like protein 2)
CP10_g42154_DN3_SP6_c.t1	115	AT3G01435.2	AT3G01435.2	orthologue	GO:0016592;GO:0005515;GO:0005634;GO:0006357;GO:0003712	Mediator of RNA polymerase II transcription subunit 11;Mediator of RNA polymerase II transcription subunit 11 (Mediator complex subunit 11)
CP10_g42155_DN2_SP0_c.t1	165	AT3G01430.1	AT3G01430.1	orthologue	GO:0003674;GO:0005634	NHL domain protein (T13O15.7 protein)
CP10_g42156_DN3_SP5_c.t1	640	AT3G01420.1	AT3G01420.1	orthologue	GO:0071732;GO:0042742;GO:1902609;GO:0009737;GO:0050832;GO:0009627;GO:0001561;GO:0020037;GO:0034614;GO:0071446;GO:0006629;GO:0005576;GO:0012511;GO:0006979;GO:0016702;GO:0009751;GO:0051213;GO:0004601;GO:0008219;GO:0009626;GO:0031408;GO:0046872;GO:0102672;GO:0016491	Alpha-dioxygenase 1 (Alpha DOX1) (EC 1.13.11.92) (Fatty acid dioxygenase AlphaDOX1) (Pathogen-induced oxygenase) (Plant alpha dioxygenase 1)
CP10_g42157_DN3_SP0_c.t1	297	AT3G01410.1	AT3G01410.1	orthologue	GO:0005737;GO:0003676;GO:0005634;GO:0004523;GO:0016740	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
CP10_g42158_DN2_SP0_c.t1	361				GO:0005515	
CP10_g42159_DN2_SP0_c.t1	353	AT3G01400.1	AT3G01400.1	orthologue	GO:0005737;GO:0005634;GO:0003674;GO:0005515	ARM repeat superfamily protein (T13O15.4 protein)
CP10_g42160_DN3_SP8_c.t1	110	AT3G01390.1	AT3G01390.1	orthologue	GO:0005773;GO:0000221;GO:0005829;GO:0010494;GO:0000325;GO:0016471;GO:0046933;GO:0005886;GO:0016887;GO:0046961;GO:0008150;GO:0016469;GO:0005794;GO:1902600	V-type proton ATPase subunit G1 (V-ATPase subunit G1) (Vacuolar H(+)-ATPase subunit G isoform 1) (Vacuolar proton pump subunit G1)
CP10_g42161_DN3_SP8_c.t1	991	AT3G01380.2	AT3G01380.2	other	GO:0006506;GO:0051377;GO:0005789;GO:0005783;GO:0005576;GO:0005739;GO:0016020;GO:0016740	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-)
CP10_g42162_DN3_SP5_c.t1	1008	AT3G01370.1	AT3G01370.1	orthologue	GO:0000372;GO:0000373;GO:0009507;GO:0009532;GO:0003729;GO:0006397;GO:0009570;GO:1990904;GO:0003723;GO:0000375	CRM-domain containing factor CFM2, chloroplastic (Protein CRM FAMILY MEMBER 2) (AtCFM2)
CP10_g42163_DN3_SP0_c.t1	320	AT3G01360.1	AT3G01360.1	orthologue	GO:0005575;GO:0003674;GO:0016020	At3g01360 (Plant viral-response family protein (DUF716)) (T22N4.1 protein)
CP10_g42164_DN3_SP8_c.t1	567	AT3G01350.1	AT3G01350.1	orthologue	GO:0022857;GO:0016020;GO:0055085;GO:0042937;GO:0042938;GO:0071916	Protein NRT1/ PTR FAMILY 5.9 (AtNPF5.9)
CP10_g42165_DN3_SP0_c.t1	302	AT3G01340.1	AT3G01340.1	orthologue	GO:0030127;GO:0031080;GO:0005515;GO:0006606;GO:0005634;GO:0090114;GO:0005198;GO:0005737;GO:0005783;GO:0005794;GO:0015031;GO:0016192	Protein transport protein SEC13 homolog A (SEC13-like protein A)
CP10_g42166_DN3_SP0_c.t1	1463	AT3G01320.1	AT3G01320.1	orthologue	GO:0005634;GO:0003714;GO:0005515;GO:0045892;GO:0000785;GO:0000118;GO:0000122;GO:0070822;GO:0006355	Paired amphipathic helix protein Sin3-like 1;SIN3-like 1
