Aethionema_saxatile	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
As001G000140	354	AT2G20760.1	AT2G20760.1	other	GO:0072583;GO:0030125;GO:0005886;GO:0030130;GO:0005739;GO:0006886;GO:0030132;GO:0032050;GO:0005829;GO:0005634;GO:0005198;GO:0016192	Clathrin light chain 1
As001G000150	266	AT4G28250.1	AT4G28250.1	orthologue	GO:0005576;GO:0009826;GO:0006949;GO:0009828;GO:0003674;GO:0019953;GO:0009506;GO:0016020;GO:0009653;GO:0071555	Expansin B3;Expansin-B3 (At-EXPB3) (AtEXPB3) (Ath-ExpBeta-1.6) (Beta-expansin-3)
As001G000160	84	AT5G42110.1, AT4G28290.1	AT4G28290.1	orthologue	GO:0003674;GO:0005575;GO:0009507	At4g28290;Uncharacterized protein
As001G000170	205	AT4G28270.1	AT4G28270.1	orthologue	GO:0006511;GO:0036503;GO:0005737;GO:0004842;GO:0005783;GO:0005515;GO:0061630;GO:0016567;GO:0044390;GO:0005789;GO:0008270	E3 ubiquitin-protein ligase RMA2 (EC 2.3.2.27) (Protein RING membrane-anchor 2) (RING-type E3 ubiquitin transferase RMA2)
As001G000180	518	AT4G28260.1	AT4G28260.1	orthologue	GO:0003674;GO:0005575	Acyl-UDP-N-acetylglucosamine O-acyltransferase
As001G000190	517	AT4G28300.1	AT4G28300.1	orthologue	GO:0042735;GO:0005634;GO:0006970;GO:0010029;GO:0009415;GO:1902074;GO:0003674;GO:0005886	Formin-like protein (DUF1421);Formin-like protein (DUF1421) (Putative proline-rich protein)
As001G000200	200	AT4G28310.1, AT1G52270.1	AT4G28310.1	orthologue	GO:0005634;GO:0003674;GO:0008150	At4g28310 (Microtubule-associated protein);Uncharacterized protein F19K6.11
As001G000210	430	AT4G28320.1	AT4G28320.1	orthologue	GO:0000138;GO:0009845;GO:0016985;GO:1903927;GO:0005576;GO:0000272;GO:0004553	Mannan endo-1,4-beta-mannosidase 5 (EC 3.2.1.78) (Beta-mannanase 5) (Endo-beta-1,4-mannanase 5) (AtMAN5)
As001G000220	149	AT4G28340.1, AT4G28330.1	AT4G28330.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0016020	At4g28330 (Pyrroline-5-carboxylate reductase);Pyrroline-5-carboxylate reductase
As001G000230	686	AT4G28350.1	AT4G28350.1	orthologue	GO:0044024;GO:0004675;GO:0002229;GO:0006468;GO:0005886;GO:0042742;GO:0005576;GO:0004674;GO:0005524;GO:0030246;GO:0106310;GO:0004672	Probable L-type lectin-domain containing receptor kinase VII.2 (Arabidopsis thaliana lectin-receptor kinase d) (AthlecRK-d) (LecRK-VII.2) (EC 2.7.11.1)
As001G000240	291	AT4G32480.1	AT4G32480.1	orthologue	GO:0071456;GO:0005634;GO:0031667;GO:0003674	AT4g32480/F8B4_180 (Sugar phosphate exchanger, putative (DUF506))
As001G000250	106	AT2G20660.1	AT2G20660.1	other	GO:0019722;GO:0048046;GO:0007267;GO:0005179;GO:0005576;GO:0040008;GO:0009506	Protein RALF-like 14
As001G000260	213	AT4G32490.1, AT4G28365.1	AT4G28365.1	orthologue	GO:0008150;GO:0016020;GO:0009055;GO:0005886;GO:0005576;GO:0098552	Early nodulin-like protein 3 (AtENODL3) (Phytocyanin-like protein ENODL3);Early nodulin-like protein 4 (AtENODL4) (Phytocyanin-like protein ENODL4)
As001G000270	568	AT4G28370.1	AT4G28370.1	orthologue	GO:0008270;GO:0048358;GO:0043161;GO:0048363;GO:0012505;GO:0004842;GO:0061630;GO:0009827;GO:0016567;GO:0080001;GO:0016020	Transmembrane E3 ubiquitin-protein ligase FLY1 (EC 2.3.2.27) (Protein FLYING SAUCER 1) (RING-type E3 ubiquitin transferase FLY1)
As001G000280	404	AT4G28380.1	AT4G28380.1	orthologue	GO:0005575;GO:0003674;GO:0007165;GO:0005576;GO:0071555;GO:0005515	Cell wall hydroxyproline-rich glycoprotein
As001G000290	283	AT2G20630.2, AT4G28400.1	AT4G28400.1	orthologue	GO:0004722;GO:0005739;GO:0010494;GO:0017018;GO:0005515;GO:1902531;GO:0005886;GO:0009507;GO:0046872;GO:0006470	Probable protein phosphatase 2C 20 (AtPP2C20) (EC 3.1.3.16) (AtPPC3;1.2);Probable protein phosphatase 2C 58 (AtPP2C58) (EC 3.1.3.16);protein-serine/threonine phosphatase (EC 3.1.3.16)
As001G000300	120	AT4G28405.1, AT1G52415.1	AT1G52415.1	orthologue	GO:0008150;GO:0003674;GO:0005576	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;Expressed protein
As001G000310	75					
As001G000320	460	AT4G28430.1	AT4G28430.1	orthologue	GO:0003674;GO:0005634;GO:0005789	Reticulon-like protein B18 (AtRTNLB18)
As001G000330	152	AT4G28440.1	AT4G28440.1	orthologue	GO:0003729;GO:0008150;GO:0005886	Uncharacterized protein At4g28440
As001G000340	452	AT4G28450.1	AT4G28450.1	orthologue	GO:0005515;GO:0016567;GO:0000462;GO:0032040;GO:0080008;GO:0005634;GO:0005730	DDB1- and CUL4-associated factor 13 (WD repeat and SOF domain-containing protein 1)
As001G000350	889	AT2G20580.1, AT4G28470.1	AT2G20580.1	orthologue	GO:0008540;GO:0042176;GO:0043161;GO:0030234;GO:0005634;GO:0030163;GO:0034515;GO:0000502;GO:0005886;GO:0005515;GO:0009751;GO:0051726;GO:0045087;GO:0009506;GO:0043130;GO:0006511;GO:0005829;GO:0005739;GO:0005737	26S proteasome non-ATPase regulatory subunit 2 homolog A (26S proteasome regulatory subunit RPN1a) (AtRPN1a) (26S proteasome regulatory subunit S2 homolog A);26S proteasome non-ATPase regulatory subunit 2 homolog B (26S proteasome regulatory subunit RPN1b) (AtRPN1b) (26S proteasome regulatory subunit S2 homolog B)
As001G000360	340	AT4G28480.1	AT4G28480.1	orthologue	GO:0051082;GO:0051085;GO:0006457;GO:0005737;GO:0051087;GO:0005829	DNAJ heat shock family protein;DNAJ heat shock family protein (Heat-shock protein)
As001G000370	204	AT4G28485.2	AT4G28485.2	orthologue	GO:0010256;GO:0005783;GO:0005739;GO:0009838;GO:0009900;GO:0003674;GO:0005789	Protein DMP7 (AtDMP7)
As001G000380	997	AT4G28490.1	AT4G28490.1	orthologue	GO:0004672;GO:0004714;GO:0010102;GO:0050829;GO:0045490;GO:0046777;GO:0010227;GO:0004674;GO:0005886;GO:0005515;GO:0010468;GO:0060866;GO:0016301;GO:0005524;GO:0106310;GO:0006468;GO:0033612	Receptor-like protein kinase 5 (EC 2.7.10.1) (EC 2.7.11.1) (Protein HAESA)
As001G000390	275	AT4G28500.1	AT4G28500.1	orthologue	GO:0000976;GO:0045893;GO:0006355;GO:2000652;GO:0005634;GO:0003700;GO:0003677	NAC domain-containing protein 73 (ANAC073) (Protein SECONDARY WALL-ASSOCIATED NAC DOMAIN PROTEIN 2)
As001G000400	288	AT4G28510.1, AT2G20530.1	AT4G28510.1	orthologue	GO:0005739;GO:0007005;GO:0000325;GO:0045271;GO:0003674;GO:0009507;GO:0005743;GO:0016020	Prohibitin-1, mitochondrial (Atphb1);Prohibitin-6, mitochondrial (Atphb6)
As001G000410	469	AT4G28520.1	AT4G28520.1	orthologue	GO:0010431;GO:0009793;GO:0071215;GO:0042735;GO:0009737;GO:0045735;GO:0000326	12S seed storage protein CRC (Cruciferin 3) (AtCRU3) (Cruciferin C) (Legumin-type globulin Cruciferin1) (Legumin-type globulin storage protein CRU1) [Cleaved into: 12S seed storage protein CRC alpha chain (12S seed storage protein CRC acidic chain); 12S seed storage protein CRC beta chain (12S seed storage protein CRC basic chain)];Cruciferin 3
As001G000420	311	AT4G28530.1	AT4G28530.1	orthologue	GO:0006355;GO:0005634;GO:0080187;GO:0003677;GO:0043068;GO:0045893;GO:0043565;GO:0003700	At4g28530 (NAC domain containing protein 74) (NAM / CUC2-like protein);NAC domain containing protein 74 (NAM / CUC2-like protein)
As001G000430	1187	AT2G18760.3	AT2G18760.3	orthologue	GO:0005634;GO:0006974;GO:0140658;GO:0006283;GO:0010332;GO:0006281;GO:0003677;GO:0004386;GO:0005524;GO:0016787;GO:0008094	Chromatin remodeling 8;Protein CHROMATIN REMODELING 8 (AtCHR8) (AtCSB) (EC 3.6.4.-)
As001G000440	844	AT1G69770.1	AT1G69770.1	orthologue	GO:0051719;GO:0044027;GO:0003886;GO:0031625;GO:0003677;GO:0045814;GO:0010069;GO:0003682;GO:0005634;GO:0006346;GO:0032259;GO:0008168;GO:0010424	DNA (cytosine-5)-methyltransferase CMT3 (EC 2.1.1.37) (Protein CHROMOMETHYLASE 3)
As001G000450	484	AT4G28540.1	AT4G28540.1	orthologue	GO:0043622;GO:0055028;GO:0005737;GO:0004674;GO:0006897;GO:0051510;GO:0015631;GO:0001558;GO:0030054;GO:0009506;GO:0071944;GO:0012505;GO:0046777;GO:0005634;GO:0005856;GO:0007165;GO:0005524;GO:0016020;GO:0106310;GO:0004672;GO:0006468	Casein kinase 1-like protein 6 (EC 2.7.11.1) (Plasmodesmal-associated protein kinase 1) (Protein CASEIN KINASE I-LIKE 6)
As001G000460	134	AT4G27090.1	AT4G27090.1	orthologue	GO:0009506;GO:0000325;GO:0022626;GO:0003729;GO:0006412;GO:0003735;GO:0005783;GO:0003723;GO:0005829;GO:0042273;GO:0005773;GO:0005730;GO:0022625;GO:0005737;GO:0005840	Large ribosomal subunit protein eL14y (60S ribosomal protein L14-2)
As001G000470	425	AT4G28550.1	AT4G28550.1	orthologue	GO:0005737;GO:0005096;GO:0090630	At4g28550 (Ypt/Rab-GAP domain of gyp1p superfamily protein);Ypt/Rab-GAP domain of gyp1p superfamily protein
As001G000480	204	AT4G28556.1	AT4G28556.1	other	GO:0005634;GO:0003674;GO:0009416;GO:0005886;GO:0005737	CRIB domain-containing protein RIC7 (ROP-interactive CRIB motif-containing protein 7) (Target of ROP protein RIC7);PAK-box/P21-Rho-binding family protein
As001G000490	452	AT4G28560.1	AT4G28560.1	orthologue	GO:0016020;GO:0016324;GO:0009860;GO:0005515;GO:0007165;GO:0009507;GO:0005886;GO:0038023	ROP-interactive CRIB motif-containing protein 7
As001G000500	747	AT4G28570.1	AT4G28570.1	orthologue	GO:0050660;GO:0046577;GO:0005783;GO:0016020;GO:0016614	Long-chain-alcohol oxidase FAO4B (EC 1.1.3.20) (Long-chain fatty alcohol oxidase 4B)
As001G000510	329	AT4G28590.1	AT4G28590.1	orthologue	GO:0006355;GO:0009570;GO:0005515;GO:0042644;GO:0009658;GO:0009266;GO:0009507;GO:0005634	Thioredoxin-like fold domain-containing protein MRL7, chloroplastic (Protein EARLY CHLOROPLAST BIOGENESIS 1) (AtECB1) (Protein MESOPHYLL-CELL RNAI LIBRARY LINE 7) (AtMRL7) (Protein REGULATOR OF CHLOROPLAST BIOGENESIS) (Protein SUPPRESSOR OF VARIEGATION 4)
As001G000520	149					
As001G000530	745	AT4G28600.3	AT4G28600.3	orthologue	GO:0009898;GO:0005886;GO:0098857;GO:0005516;GO:0031234;GO:0005515	No pollen germination related 2;Protein NPGR2 (NO POLLEN GERMINATION RELATED 2)
As001G000540	407	AT4G28610.1	AT4G28610.1	orthologue	GO:0016036;GO:0005634;GO:0010468;GO:0006355;GO:0034765;GO:0071486;GO:0005515;GO:0007623;GO:1903842;GO:0003700;GO:0055063;GO:0003677	Protein PHOSPHATE STARVATION RESPONSE 1 (AtPHR1)
As001G000550	232	AT4G28640.2	AT4G28640.2	orthologue	GO:0009506;GO:0005515;GO:0009733;GO:0006355;GO:0005634;GO:0003700;GO:0009734;GO:0016020	Auxin-responsive protein;Auxin-responsive protein IAA11 (Indoleacetic acid-induced protein 11)
As001G000560	1008	AT4G28650.1	AT4G28650.1	orthologue	GO:0010183;GO:0004674;GO:0005886;GO:0006468;GO:0005515;GO:0046777;GO:0004672;GO:0010067;GO:0090406;GO:0010087;GO:0005524;GO:0030154;GO:0106310;GO:0033612	MDIS1-interacting receptor like kinase 1 (AtMIK1) (Leucine-rich repeat receptor-like protein kinase PXL2) (EC 2.7.11.1) (Protein PHLOEM INTERCALATED WITH XYLEM-LIKE 2)
As001G000570	184	AT4G28660.2	AT4G28660.2	orthologue	GO:0009507;GO:0009535;GO:0009570;GO:0005886;GO:0009654;GO:0003674;GO:0009579;GO:0015979;GO:0009523;GO:0016020	Photosystem II reaction center Psb28 protein;Photosystem II reaction center PSB28 protein, chloroplastic (Photosystem II protein W-like)
As001G000580	614	AT4G28670.1	AT4G28670.1	orthologue	GO:0004674;GO:0009507;GO:0016301;GO:0016310;GO:0005524;GO:0016020;GO:0106310;GO:0004672;GO:0006468	Cysteine-rich receptor-like protein kinase 46 (Cysteine-rich RLK46) (EC 2.7.11.1)
As001G000590	487	AT4G28680.5	AT4G28680.5	orthologue	GO:0019752;GO:1901695;GO:0005737;GO:0005634;GO:0009414;GO:0006520;GO:0004837;GO:0004058;GO:0009611;GO:0030170;GO:0016831;GO:0016830	L-tyrosine decarboxylase;Tyrosine decarboxylase 2 (AtTYDC) (EC 4.1.1.25) (TyrDC-like protein)
As001G000600	503	AT4G28700.1	AT4G28700.1	orthologue	GO:0008519;GO:0005886;GO:0009506;GO:0072488;GO:0005576;GO:0097272;GO:0016020	Ammonium transporter 1 member 4 (AtAMT1;4)
As001G000610	127	AT4G28703.1	AT4G28703.1	orthologue	GO:0005634;GO:0003674	RmlC-like cupins superfamily protein
As001G000620	401	AT4G28706.4	AT4G28706.4	orthologue	GO:0003674;GO:0009507;GO:0005829;GO:0016301	At4g29227 (PfkB-like carbohydrate kinase family protein);PfkB-like carbohydrate kinase family protein
As001G000640	1500	AT4G28710.1	AT4G28710.1	orthologue	GO:0000146;GO:0031982;GO:0030050;GO:0048767;GO:0005737;GO:0007015;GO:0003774;GO:0015629;GO:0051015;GO:0030048;GO:0016020;GO:0003779;GO:0005516;GO:0005524;GO:0016459;GO:0005515	Myosin-14 (Myosin XI H) (AtXIH)
As001G000650	433	AT4G28720.1	AT4G28720.1	orthologue	GO:0009723;GO:0050660;GO:0004499;GO:0004497;GO:0005634;GO:0010262;GO:0009742;GO:0010600;GO:0009851;GO:0009735;GO:0103075;GO:0050661	Probable indole-3-pyruvate monooxygenase YUCCA8 (EC 1.14.13.168) (Flavin-containing monooxygenase YUCCA8)
As001G000660	178	AT4G28730.1	AT4G28730.1	orthologue	GO:0034599;GO:0009507;GO:0005737;GO:0015038;GO:0016226;GO:0004362	Glutaredoxin family protein;Glutaredoxin-C5, chloroplastic (AtGrxC5)
As001G000670	333	AT4G28740.1	AT4G28740.1	orthologue	GO:0005886;GO:0009507;GO:0009658;GO:0003674	LOW PSII ACCUMULATION-like protein
As001G000680	139	AT4G28750.1	AT4G28750.1	orthologue	GO:0009579;GO:0009534;GO:0003729;GO:0009535;GO:0009941;GO:0009507;GO:0010287;GO:0009538;GO:0005886;GO:0015979;GO:0019904;GO:0009522	Photosystem I reaction center subunit IV A, chloroplastic (PSI-E A)
As001G000690	922	AT4G28760.1	AT4G28760.1	orthologue	GO:0005634;GO:0003674	Methyl-coenzyme M reductase II subunit gamma, putative (DUF3741)
As001G000700	269	AT4G28770.2	AT4G28770.2	orthologue	GO:0000325;GO:0005886;GO:0003674;GO:0005774;GO:0016020	Tetraspanin family protein;Tetraspanin-20 (TOM2A homologous protein 1)
As001G000710	361	AT4G28780.1	AT4G28780.1	orthologue	GO:0016788;GO:0009507;GO:0005576;GO:0016042	GDSL esterase/lipase At4g28780 (EC 3.1.1.-) (Extracellular lipase At4g28780)
As001G000720	537	AT4G28800.2, AT4G28815.1, AT4G28811.1, AT4G28790.1	AT4G28800.2	orthologue	GO:0003700;GO:0005634;GO:0006355;GO:0046983;GO:0008150;GO:0003677;GO:0010017	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Putative transcription factor bHLH056 (Basic helix-loop-helix protein 56) (AtbHLH56) (bHLH 56) (Transcription factor EN 106) (bHLH transcription factor bHLH056);Transcription factor bHLH119 (Basic helix-loop-helix protein 119) (AtbHLH119) (bHLH 119) (Transcription factor EN 104) (bHLH transcription factor bHLH119);Transcription factor bHLH127 (Basic helix-loop-helix protein 127) (AtbHLH127) (bHLH 127) (bHLH transcription factor bHLH127);Transcription factor bHLH23 (Basic helix-loop-helix protein 23) (AtbHLH23) (bHLH 23) (Transcription factor EN 107) (bHLH transcription factor bHLH023)
As001G000730	169	AT4G28820.3	AT4G28820.3	orthologue	GO:0000463;GO:0048254;GO:0005634;GO:0003674;GO:0000492;GO:0070761;GO:0008270	At4g28820 (HIT-type Zinc finger family protein);At4g28820 (HIT-type Zinc finger family protein) (mRNA, clone: RAFL25-15-L08);HIT-type Zinc finger family protein
As001G000740	208	AT4G28830.1	AT4G28830.1	orthologue	GO:0005737;GO:0008988;GO:0003676;GO:0005634;GO:0031167;GO:0008757;GO:0032259;GO:0008168;GO:0016740	Methyltransferase-like protein 5
As001G000750	999	AT4G29060.1	AT4G29060.1	orthologue	GO:0043253;GO:0009793;GO:0009507;GO:0009570;GO:0005886;GO:0003729;GO:0070125;GO:0003746;GO:0009941;GO:0061770;GO:0005739;GO:0003676;GO:0006414;GO:0005515	Polyprotein of EF-Ts, chloroplastic (150 kDa pro-protein) (Protein EMBRYO DEFECTIVE 2726) [Cleaved into: Plastid-specific ribosomal protein-7, chloroplastic; Elongation factor Ts, chloroplastic (EF-Ts)]
As001G000760	199	AT4G28840.1	AT4G28840.1	orthologue	GO:0003700;GO:0048366;GO:0005634;GO:0045892;GO:0005515	Mediator of RNA polymerase II transcription subunit;Protein SPEAR3 (SPL-like, EAR-containing protein 3) (TCP interactor containing EAR motif protein 1)
As001G000770	292	AT4G28850.1	AT4G28850.1	orthologue	GO:0005576;GO:0004553;GO:0042546;GO:0016762;GO:0030247;GO:0010411;GO:0048046;GO:0071555;GO:0005975;GO:0005618;GO:0044042	Probable xyloglucan endotransglucosylase/hydrolase protein 26 (At-XTH26) (XTH-26) (EC 2.4.1.207)
As001G000780	283	AT4G28850.1	AT4G28850.1	orthologue	GO:0005576;GO:0004553;GO:0042546;GO:0016762;GO:0030247;GO:0010411;GO:0048046;GO:0071555;GO:0005618;GO:0044042;GO:0005975	Probable xyloglucan endotransglucosylase/hydrolase protein 26 (At-XTH26) (XTH-26) (EC 2.4.1.207)
As001G000790	413	AT4G28890.1	AT4G28890.1	orthologue	GO:0016567;GO:0004842;GO:0005634;GO:0008270;GO:0016020	E3 ubiquitin-protein ligase ATL42 (EC 2.3.2.27) (RING-H2 finger protein ATL42) (RING-type E3 ubiquitin transferase ATL42)
As001G000800	409	AT4G28910.1	AT4G28910.1	orthologue	GO:0045892;GO:0005515;GO:0005634;GO:0009867;GO:1901371;GO:0009753;GO:0006952;GO:0007165	AFP homolog 2 (Novel interactor of JAZ)
As001G000810	466	AT1G77150.1, AT1G77170.1	AT1G77170.1	orthologue	GO:0005575;GO:0009451;GO:0009507;GO:0003723;GO:0005739;GO:0005515	Pentatricopeptide repeat (PPR) superfamily protein;Pentatricopeptide repeat-containing protein At1g77170, mitochondrial
As001G000820	338	AT4G28940.1	AT4G28940.1	orthologue	GO:0009116;GO:0005886;GO:0003824	Phosphorylase superfamily protein
As001G000830	213	AT4G28950.1	AT4G28950.1	orthologue	GO:0005576;GO:0007015;GO:0005525;GO:0007165;GO:0003924;GO:0007163;GO:0005856;GO:0042995;GO:0031410;GO:0032956;GO:0005886;GO:0019901;GO:0007264;GO:0008360;GO:0030865;GO:0009738	Rac-like GTP-binding protein ARAC7 (GTPase protein ROP9)
As001G000840	478	AT4G28980.1	AT4G28980.1	orthologue	GO:0019912;GO:0004674;GO:0005634;GO:0005515;GO:0005737;GO:0004693;GO:0008353;GO:0010078;GO:0006468;GO:0000079;GO:0005524;GO:0051301;GO:0106310;GO:0004672	Cyclin-dependent kinase F-1 (CDKF;1) (EC 2.7.11.22) (EC 2.7.11.23) (CDK-activating kinase 1-At) (CAK1-At)
As001G000850	558	AT4G29000.1	AT4G29000.1	orthologue	GO:0006355;GO:0005634;GO:0005515;GO:0003700;GO:0046872	Protein tesmin/TSO1-like CXC 5 (AtTCX5)
As001G000860	721	AT4G29010.1	AT4G29010.1	orthologue	GO:0003857;GO:0005737;GO:0006635;GO:0070403;GO:0005886;GO:0004300;GO:0008692;GO:0009695;GO:0005777;GO:0009908;GO:0009506;GO:0004165;GO:0007275;GO:0009505;GO:0009845;GO:0003824;GO:0006631;GO:0016491;GO:0016616	Peroxisomal fatty acid beta-oxidation multifunctional protein AIM1 (Protein ABNORMAL INFLORESCENCE MERISTEM 1) (AtAIM1) [Includes: Enoyl-CoA hydratase/3-2-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]
As001G000870	174	AT4G29020.1	AT4G29020.1	orthologue	GO:0003674;GO:0005575	Glycine-rich protein;Glycine-rich protein (Putative glycine-rich protein)
As001G000880	443	AT4G29040.1	AT4G29040.1	orthologue	GO:0010311;GO:0010015;GO:0035266;GO:0006511;GO:0048829;GO:0006499;GO:0043161;GO:0045087;GO:0005515;GO:0048364;GO:0043248;GO:0009965;GO:0009408;GO:0000502;GO:0005886;GO:0009933;GO:0048367;GO:0016887;GO:0048827;GO:0010229;GO:0007292;GO:0008540;GO:0051788;GO:0010078;GO:0048232;GO:0090351;GO:0005634;GO:0036402;GO:0000932;GO:0005524	26S proteasome regulatory subunit 4 homolog A (26S proteasome AAA-ATPase subunit RPT2a) (26S proteasome subunit 4 homolog A) (Protein HALTED ROOT) (Regulatory particle triple-A ATPase subunit 2a)
As001G000890	246	AT4G29070.1	AT4G29070.1	orthologue	GO:0005575;GO:0006644;GO:0050482;GO:0004623	At4g29070 (Phospholipase A2 family protein)
As001G000900	294	AT4G29080.1	AT4G29080.1	orthologue	GO:0005515;GO:0005634;GO:0006355;GO:0009733;GO:0000976;GO:0042802;GO:0003700;GO:0009734	Auxin-responsive protein IAA27 (Auxin-induced protein 27) (Indoleacetic acid-induced protein 27) (Phytochrome-associated protein 2)
As001G000920	442	AT4G29100.1	AT4G29100.1	orthologue	GO:0006357;GO:0046983;GO:0003700;GO:0005634;GO:0005515;GO:0006355;GO:0009737;GO:0000978;GO:0000981;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor bHLH68 (Basic helix-loop-helix protein 68) (AtbHLH68) (bHLH 68) (Transcription factor EN 60) (bHLH transcription factor bHLH068)
As001G000930	69	AT4G33145.1	AT4G33145.1	other	GO:0005575;GO:0008150;GO:0003674	Uncharacterized protein
As001G000940	213	AT4G29110.1	AT4G29110.1	orthologue	GO:0003674;GO:0000325	At4g29110 (Cotton fiber protein)
As001G000950	332	AT4G29120.1	AT4G29120.1	orthologue	GO:0051287;GO:0050661;GO:0006574;GO:0008442;GO:0005515;GO:0009507;GO:0005739;GO:0016491	Probable 3-hydroxyisobutyrate dehydrogenase-like 1, mitochondrial (HIBADH-like) (EC 1.1.1.31)
As001G000960	464	AT2G19860.1	AT2G19860.1	orthologue	GO:0005739;GO:0005741;GO:0006096;GO:0010182;GO:0001678;GO:0004396;GO:0009747;GO:0008865;GO:0005829;GO:0004340;GO:0019318;GO:0006006;GO:0051156;GO:0009507;GO:0005536;GO:0012501;GO:0005524;GO:0016020;GO:0005975;GO:0046835;GO:0016773	Hexokinase-2 (EC 2.7.1.1);Phosphotransferase (EC 2.7.1.-)
As001G000970	530	AT4G29140.1	AT4G29140.1	orthologue	GO:0046620;GO:0010008;GO:0005770;GO:1990961;GO:0010600;GO:0015297;GO:0022857;GO:0010015;GO:0016020;GO:0031348;GO:0042910;GO:0005886;GO:0006952;GO:0031902;GO:0055085	Protein DETOXIFICATION 51 (AtDTX51) (Multidrug and toxic compound extrusion protein 51) (MATE protein 51) (Protein ABNORMAL SHOOT 3) (Protein ACTIVATED DISEASE SUSCEPTIBILITY 1) (Protein ADS1) (Protein ALTERED DEVELOPMENT PROGRAM 1) (Protein ADP1) (Protein NOVEL ION CARRIER 4) (Protein NIC4)
As001G000980	384	AT4G29150.1	AT4G29150.1	orthologue	GO:0005575;GO:0003674;GO:0005516;GO:0005634;GO:0005886;GO:0005515	Protein IQ-DOMAIN 25 (AtIQD25)
As001G000990	441	AT4G17910.4	AT4G17910.4	orthologue	GO:0005739;GO:0006506;GO:0032216;GO:0008374;GO:0016020;GO:0016746;GO:0005783;GO:0072659	Transferases, transferring acyl groups;Uncharacterized protein At4g17910
As001G001000	225	AT4G29160.1	AT4G29160.1	orthologue	GO:0000815;GO:0005737;GO:0032511;GO:0006900;GO:0005515;GO:0010008;GO:0070676;GO:0005886;GO:0009898;GO:0007034;GO:0016192;GO:0005771;GO:0015031	Vacuolar protein sorting-associated protein 32 homolog 2 (AtVPS32-2) (Charged multivesicular body protein 4 homolog 2) (ESCRT-III complex subunit VPS32 homolog 2)
As001G001010	230	AT4G29170.1	AT4G29170.1	orthologue	GO:0005634;GO:0007131;GO:0005515;GO:0010212;GO:0003690;GO:0006302;GO:0009553;GO:0009555;GO:0005730	Meiotic nuclear division protein 1 homolog (AtMND1) (Meiotic nuclear division 1-like protein);Mnd1 family protein
