Brassica_rapa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
NP_001288842.1	130	AT2G39590.1	AT2G39590.1	orthologue	GO:0022627;GO:0009507;GO:0003735;GO:0006412;GO:0005840;GO:1990904	Small ribosomal subunit protein uS8y (40S ribosomal protein S15a-3)
NP_001288843.1	294	AT1G69310.1	AT1G69310.1	orthologue	GO:0006355;GO:0009651;GO:0003700;GO:0009414;GO:0000976;GO:0005634;GO:0006970;GO:0043565	Probable WRKY transcription factor 57 (WRKY DNA-binding protein 57);WRKY DNA-binding protein 57
NP_001288844.1	123	AT5G42980.1	AT5G42980.1	orthologue	GO:0009505;GO:0005739;GO:0010188;GO:0005737;GO:0005515;GO:0009507;GO:0009408;GO:0050832;GO:0005829;GO:0005886;GO:0010286;GO:0042542;GO:0003729;GO:0006457;GO:0000325;GO:0051259;GO:0009570;GO:0016671;GO:0005794;GO:0009506;GO:0009536	Thioredoxin H3 (AtTrxh3) (Thioredoxin 3) (AtTRX3)
NP_001288845.1	255	AT3G29030.1	AT3G29030.1	orthologue	GO:0009826;GO:0009664;GO:0080022;GO:0003674;GO:0005576;GO:0009828;GO:0016020	Expansin-A5 (AtEXPA5) (Alpha-expansin-5) (At-EXP5) (AtEx5) (Ath-ExpAlpha-1.4)
NP_001288846.1	163	AT3G17020.1	AT3G17020.1	orthologue	GO:0009409;GO:0005886;GO:0003674;GO:0005737;GO:0005829;GO:0016787	AT3g17020/K14A17_14 (Adenine nucleotide alpha hydrolases-like superfamily protein);Adenine nucleotide alpha hydrolases-like superfamily protein
NP_001288847.1	283	AT3G56400.1	AT3G56400.1	orthologue	GO:0009617;GO:0002229;GO:0005634;GO:0071456;GO:0010150;GO:2000022;GO:2000031;GO:0010120;GO:0003700;GO:0006970;GO:0009864;GO:0045892;GO:0009751;GO:0009862;GO:0080187;GO:0005515;GO:0050832;GO:0006355;GO:0010104;GO:2000070;GO:1900457;GO:0009753;GO:0080151;GO:0031347;GO:0009759;GO:0009625;GO:0047484;GO:1900056;GO:0042742;GO:0043565;GO:0000302;GO:0000976;GO:0009682;GO:0090333;GO:0009742;GO:0009873	Probable WRKY transcription factor 70 (WRKY DNA-binding protein 70)
NP_001288848.1	477	AT5G46180.1	AT5G46180.1	orthologue	GO:0009626;GO:0010121;GO:0006593;GO:0042742;GO:0004587;GO:0019544;GO:0009651;GO:0005739;GO:0042538;GO:0006561;GO:0051646;GO:0042802;GO:0005737;GO:0008270;GO:0030170;GO:0009507;GO:0009536;GO:0005759	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase)
NP_001288849.1	551	AT5G15130.1	AT5G15130.1	orthologue	GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0006952	Probable WRKY transcription factor 72 (WRKY DNA-binding protein 72);WRKY DNA-binding protein 72
NP_001288850.1	139	AT2G44650.1	AT2G44650.1	orthologue	GO:0009570;GO:0051085;GO:0005739;GO:0005524;GO:0044183;GO:0006457;GO:0051087;GO:0009941;GO:0005829;GO:0009507;GO:0046872;GO:0051082;GO:0019904	10 kDa chaperonin 2, chloroplastic (Chloroplast chaperonin 10) (Chl-Cpn10)
NP_001288851.1	283	AT2G46400.1	AT2G46400.1	other	GO:2000070;GO:0043565;GO:0071456;GO:0006355;GO:0003700;GO:0033198;GO:0000976;GO:1900457;GO:0005634;GO:0042742;GO:2000022;GO:0048527;GO:0005730;GO:0009617;GO:0000987;GO:0009751;GO:0005515;GO:0009742	Probable WRKY transcription factor 46 (WRKY DNA-binding protein 46)
NP_001288852.1	263	AT2G37640.1	AT2G37640.1	orthologue	GO:0003674;GO:0006949;GO:0005576;GO:0009828;GO:0009739;GO:0009826;GO:0009664;GO:0010114;GO:0016020;GO:0009653	Expansin;Expansin-A3 (AtEXPA3) (Alpha-expansin-3) (At-EXP3) (AtEx3) (Ath-ExpAlpha-1.9)
NP_001288853.1	461	AT1G44350.1	AT1G44350.1	orthologue	GO:0009850;GO:0009753;GO:0009694;GO:0010112;GO:0010178;GO:0010179;GO:0009507;GO:1990206;GO:0046872;GO:0016787	IAA-amino acid hydrolase ILR1-like 6 (EC 3.5.1.-) (Protein gr1) (jasmonoyl-L-amino acid hydrolase) (EC 3.5.1.127)
NP_001288854.1	218	AT2G44745.1	AT2G44745.1	orthologue	GO:0006355;GO:0043565;GO:0005634;GO:0009832;GO:0005515;GO:0003700	Probable WRKY transcription factor 12 (WRKY DNA-binding protein 12)
NP_001288855.1	190	AT3G13120.1	AT3G13120.1	other	GO:0009507;GO:0006412;GO:0005739;GO:0009570;GO:0042644;GO:0005515;GO:0003735;GO:0003729;GO:0015935;GO:0005829;GO:0005840;GO:1990904;GO:0003723	Small ribosomal subunit protein uS10c (30S ribosomal protein S10, chloroplastic)
NP_001288856.1	276	AT5G15090.1	AT5G15090.1	orthologue	GO:0005739;GO:0009617;GO:0009505;GO:0005741;GO:0009409;GO:0005515;GO:0009060;GO:0008308;GO:0009941;GO:0098656;GO:0009507;GO:0005773;GO:0005886;GO:0000325;GO:0005730;GO:0010029;GO:0009536;GO:0009626;GO:0015288;GO:0046930;GO:0055085	Mitochondrial outer membrane protein porin 3 (Protein HYPERSENSITIVE RESPONSE 2) (Athsr2) (Voltage-dependent anion-selective channel protein 3) (AtVDAC3) (VDAC-3)
NP_001288857.1	159	AT3G03270.1	AT3G03270.1	orthologue	GO:0071456;GO:0005737;GO:0005886;GO:0005515;GO:0005829;GO:0016787	AT3G03270 protein (Adenine nucleotide alpha hydrolases-like superfamily protein);Adenine nucleotide alpha hydrolases-like superfamily protein (T17B22.4 protein)
NP_001288858.1	202	AT3G12490.2	AT3G12490.2	other	GO:0004869;GO:0005515;GO:0005576;GO:0009409;GO:0005783;GO:0050897;GO:0009414;GO:0005829;GO:0006972;GO:0006979;GO:0006952	Cysteine proteinase inhibitor;Cysteine proteinase inhibitor 6 (AtCYS-6) (PIP-M) (PRLI-interacting factor M)
NP_001288859.1	492	AT5G60100.2	AT5G60100.2	orthologue	GO:0000156;GO:0005634;GO:0006355;GO:0009736;GO:0005515;GO:0000160;GO:0007623;GO:0016310;GO:0042752;GO:0010017;GO:0045892;GO:0048511	Pseudo-response regulator 3;Two-component response regulator-like APRR3 (Pseudo-response regulator 3)
NP_001288860.1	215	AT1G44760.2	AT1G44760.2	orthologue	GO:0005575;GO:0003674;GO:0016020;GO:0016787	Adenine nucleotide alpha hydrolases-like superfamily protein;Adenine nucleotide alpha hydrolases-like superfamily protein (T12C22.3 protein)
NP_001288861.1	505	AT2G30490.1	AT2G30490.1	other	GO:0005515;GO:0005576;GO:0005886;GO:0020037;GO:0005506;GO:0042802;GO:0009699;GO:0009611;GO:0009416;GO:0009505;GO:0005777;GO:0006744;GO:0009808;GO:0009555;GO:0009506;GO:0009698;GO:0000325;GO:0005783;GO:0005794;GO:0016710;GO:0032502;GO:0004497;GO:0016705	Trans-cinnamate 4-monooxygenase (EC 1.14.14.91) (Cinnamic acid 4-hydroxylase) (C4H) (CA4H) (Cytochrome P450 73) (Cytochrome P450C4H) (Protein REDUCED EPIDERMAL FLUORESCENCE 3)
NP_001288862.1	152	AT2G02760.1	AT2G02760.1	orthologue	GO:0043161;GO:0061631;GO:0006511;GO:0005634;GO:0006281;GO:0010228;GO:0000209;GO:0004842;GO:0140936;GO:0009650;GO:0016567;GO:0005524	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Ubiquitin carrier protein 2) (Ubiquitin-conjugating enzyme E2-17 kDa 2) (Ubiquitin-protein ligase 2)
NP_001288863.1	716	AT4G15560.1	AT4G15560.1	orthologue	GO:0009507;GO:0015995;GO:0042802;GO:0016114;GO:0019288;GO:0005515;GO:0052865;GO:0008661;GO:0016744;GO:0009228;GO:0009570;GO:0046872	1-deoxy-D-xylulose-5-phosphate synthase, chloroplastic (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS) (EC 2.2.1.7) (Protein CLOROPLASTOS ALTERADOS 1)
NP_001288865.1	399	AT1G13450.1	AT1G13450.1	orthologue	GO:0043565;GO:0003700;GO:0006355;GO:0005515;GO:0005634;GO:0000976;GO:0042802;GO:0003677	Homeodomain-like superfamily protein;Trihelix transcription factor GT-1 (Trihelix DNA-binding protein GT-1)
NP_001288866.1	248	AT1G69530.3	AT1G69530.3	orthologue	GO:0009828;GO:0010114;GO:0009831;GO:0003674;GO:0009505;GO:0005576;GO:0009664;GO:0009739;GO:0006949;GO:0005739;GO:0009826;GO:0010119;GO:0009653;GO:0016020	Expansin;Expansin-A1 (AtEXPA1) (Alpha-expansin-1) (At-EXP1) (AtEx1) (Ath-ExpAlpha-1.2)
NP_001288867.1	399	AT5G49520.1	AT5G49520.1	orthologue	GO:0009617;GO:0045893;GO:0003677;GO:0003700;GO:0042742;GO:0005634;GO:0000976;GO:0006355;GO:0043565	Probable WRKY transcription factor 48 (WRKY DNA-binding protein 48)
NP_001288868.1	265	AT4G28250.1	AT4G28250.1	orthologue	GO:0005576;GO:0009826;GO:0006949;GO:0009828;GO:0003674;GO:0019953;GO:0009506;GO:0016020;GO:0009653;GO:0071555	Expansin B3;Expansin-B3 (At-EXPB3) (AtEXPB3) (Ath-ExpBeta-1.6) (Beta-expansin-3)
NP_001288869.1	554	AT2G46830.1	AT2G46830.1	orthologue	GO:0009408;GO:0043565;GO:0005515;GO:0045893;GO:0045892;GO:0003677;GO:0010468;GO:0009409;GO:0048574;GO:0000987;GO:0005634;GO:0043254;GO:0010378;GO:0007623;GO:0003700;GO:0042754;GO:0019904	Protein CCA1 (MYB-related transcription factor CCA1) (Protein CIRCADIAN CLOCK ASSOCIATED 1)
NP_001288870.1	253	AT5G56320.3	AT5G56320.3	orthologue	GO:0009826;GO:0005576;GO:0010311;GO:0009664;GO:0003674;GO:0009828;GO:0009653;GO:0016020	Expansin;Expansin-A14 (AtEXPA14) (Alpha-expansin-14) (At-EXP14) (AtEx14) (Ath-ExpAlpha-1.5)
NP_001288871.1	185	AT1G70790.1	AT1G70790.1	orthologue	GO:0005515;GO:0005543;GO:0009737;GO:0005886;GO:0005096;GO:0009789;GO:0005634;GO:0043547;GO:0009738;GO:0046872;GO:0008289	Calcium-dependent lipid-binding (CaLB domain) family protein;Protein C2-DOMAIN ABA-RELATED 9
NP_001288872.1	140	AT1G79040.1	AT1G79040.1	orthologue	GO:0009535;GO:0009507;GO:0009654;GO:0010270;GO:0005515;GO:0009579;GO:0009534;GO:0005739;GO:0003729;GO:0009523;GO:0015979;GO:0042651	Photosystem II 10 kDa polypeptide, chloroplastic
NP_001288873.1	662	AT1G78240.1	AT1G78240.1	orthologue	GO:0005794;GO:0048364;GO:0005802;GO:0005737;GO:0010289;GO:0000138;GO:0048367;GO:0008168;GO:0005768;GO:0009735;GO:0005634;GO:0000139;GO:0007155;GO:0032259	Probable pectin methyltransferase QUA2 (EC 2.1.1.-) (Protein OVERSENSITIVE TO SUGAR 1) (Protein QUASIMODO 2) (Protein TUMOROUS SHOOT DEVELOPMENT 2)
NP_001288874.1	168	AT1G51200.1	AT1G51200.1	other	GO:0005634;GO:0003677;GO:0008270	Zinc finger A20 and AN1 domain-containing stress-associated protein 2 (AtSAP2)
NP_001288877.1	373	AT2G30250.1	AT2G30250.1	orthologue	GO:0005515;GO:0003700;GO:0009651;GO:0009409;GO:0043565;GO:0005634;GO:0070370;GO:0006970;GO:0034605;GO:0006355;GO:0046872	Probable WRKY transcription factor 25 (WRKY DNA-binding protein 25)
NP_001288878.1	522	AT1G05180.1	AT1G05180.1	orthologue	GO:0045116;GO:0009414;GO:0005515;GO:0009734;GO:0019781;GO:0016567;GO:0006281;GO:0005886;GO:0009965;GO:0140964;GO:0009735;GO:0007131;GO:0008641;GO:0005737;GO:0005634;GO:0000166;GO:0032446	NAD(P)-binding Rossmann-fold superfamily protein;NEDD8-activating enzyme E1 regulatory subunit AXR1 (Auxin-resistance protein AXR1) (Protein AUXIN-RESISTANT 1)
NP_001288879.1	285	AT4G31800.1	AT4G31800.1	orthologue	GO:0050691;GO:0003700;GO:0050832;GO:0005634;GO:0009751;GO:0005515;GO:0005737;GO:0042802;GO:0042742;GO:0006355;GO:0031347;GO:0002237;GO:0043565	WRKY DNA-binding protein 18;WRKY transcription factor 18 (WRKY DNA-binding protein 18) (AtWRKY18)
NP_001288880.1	109	AT4G13560.1	AT4G13560.1	other	GO:0009567;GO:0005829;GO:0003674;GO:0009409	Late embryogenesis abundant protein (LEA) family protein
NP_001288881.1	329	AT3G18990.2	AT3G18990.2	orthologue	GO:0010048;GO:0009909;GO:0003677;GO:0000976;GO:0005654;GO:0005634	AP2/B3-like transcriptional factor family protein;B3 domain-containing transcription factor VRN1 (Protein VERNALIZATION 1)
NP_001288882.1	383	AT1G69810.1	AT1G69810.1	orthologue	GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005515	Probable WRKY transcription factor 36 (WRKY DNA-binding protein 36);WRKY DNA-binding protein 36
NP_001288883.1	344	AT3G44310.1, AT3G44300.1, AT3G44320.1	AT3G44300.1	orthologue	GO:0000257;GO:0009617;GO:0005829;GO:0009684;GO:0051410;GO:0005886;GO:0080061;GO:0003729;GO:0018822;GO:0080109;GO:0019762;GO:0009970;GO:0005515;GO:0009506;GO:0009507;GO:0047427;GO:0048046;GO:0016836;GO:0003824	Nitrilase 1;Nitrilase 1 (EC 3.5.5.1);Nitrilase 2 (EC 3.5.5.1);Nitrilase 3 (EC 3.5.5.1)
NP_001288884.1	293	AT4G39410.1	AT4G39410.1	orthologue	GO:0003700;GO:1901141;GO:1990170;GO:0000976;GO:0000978;GO:0045893;GO:0005515;GO:0005634;GO:1904369;GO:0006355;GO:0043565	Probable WRKY transcription factor 13 (WRKY DNA-binding protein 13)
NP_001288885.1	409	AT2G37260.1	AT2G37260.1	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0043565;GO:0010214;GO:0090628;GO:0009957;GO:0046872	WRKY family transcription factor family protein;WRKY transcription factor 44 (Protein TRANSPARENT TESTA GLABRA 2) (WRKY DNA-binding protein 44)
NP_001288886.1	184	AT3G09800.6	AT3G09800.6	orthologue	GO:0008150;GO:0003674;GO:0005575;GO:0000139;GO:0006886;GO:0006890;GO:0006891;GO:0030126;GO:0015031	Coatomer subunit zeta;Coatomer subunit zeta-2 (Zeta-2-coat protein) (Zeta-COP 2)
NP_001288887.1	130	AT1G30380.1	AT1G30380.1	other	GO:0009535;GO:0009507;GO:0003674;GO:0009534;GO:0005634;GO:0009579;GO:0009522;GO:0015979;GO:0016020	Photosystem I reaction center subunit psaK, chloroplastic (PSI-K) (Photosystem I subunit X)
NP_001288888.1	678	AT1G30360.1	AT1G30360.1	orthologue	GO:0005886;GO:0000325;GO:0009941;GO:0005227;GO:0005576;GO:0005634;GO:0009506;GO:0003729;GO:0008381;GO:0016020	Hyperosmolality-gated Ca2+ permeable channel 3.1 (AtOSCA3.1) (Protein EARLY-RESPONSIVE TO DEHYDRATION STRESS 4)
NP_001288889.1	255	AT5G05290.1	AT5G05290.1	orthologue	GO:0009831;GO:0009826;GO:0009664;GO:0003674;GO:0005576;GO:0009828;GO:0009653;GO:0016020	Expansin-A2 (AtEXPA2) (Alpha-expansin-2) (At-EXP2) (AtEx2) (Ath-ExpAlpha-1.12)
NP_001288890.1	300	AT4G25700.1	AT4G25700.1	orthologue	GO:0016123;GO:0016119;GO:0009507;GO:0005506;GO:0010291;GO:0016787;GO:0031969;GO:0008610;GO:0016491	Beta-carotene 3-hydroxylase 1, chloroplastic (AtB1) (EC 1.14.15.24)
NP_001288891.1	704	AT4G08920.1	AT4G08920.1	orthologue	GO:0072387;GO:0005515;GO:0140517;GO:0010468;GO:0042752;GO:0010310;GO:1901529;GO:0005524;GO:0007623;GO:0046777;GO:0051510;GO:0009638;GO:0009646;GO:0003904;GO:0043153;GO:0009416;GO:1900426;GO:2000377;GO:0032922;GO:1902347;GO:0099402;GO:0009637;GO:0071949;GO:0009583;GO:0009785;GO:0016301;GO:2000652;GO:0009414;GO:0004672;GO:0060918;GO:0010343;GO:1901672;GO:0005634;GO:0009640;GO:0010114;GO:0010617;GO:0010075;GO:0009882;GO:0010117;GO:0005737;GO:0005829;GO:1901371;GO:1901332;GO:0071000;GO:0042803;GO:0010244;GO:1902448;GO:0010118;GO:0009266;GO:0016604;GO:0042802;GO:0003677;GO:0010218;GO:0046283;GO:0009644;GO:0006952;GO:0046872	Cryptochrome-1 (AtCry) (Atcry1) (Blue light photoreceptor) (Protein BLUE LIGHT UNINHIBITED 1) (Protein ELONGATED HYPOCOTYL 4) (Protein OUT OF PHASE 2) (OOP2)
NP_001288892.1	334	AT3G10113.1, AT1G18330.2	AT1G18330.2	orthologue	GO:0005634;GO:0003674;GO:0006355;GO:0007623;GO:0003700;GO:0003677	Protein REVEILLE 7 (Early-phytochrome-responsive 1) (MYB-related transcription factor EPR1);Protein REVEILLE 7-like
