Brassica_oleracea	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_013583260.1	310	AT5G39775.1	AT5G39775.1	other	GO:0008150;GO:0003674;GO:0005575	Gag-Pol polyprotein/retrotransposon
XP_013583261.1	148	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_013583262.1	1184				GO:0015074;GO:0003676;GO:0008270	
XP_013583263.1	276	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_013583264.1	571				GO:0005515	
XP_013583265.1	397	AT3G07840.1	AT3G07840.1	orthologue	GO:0005576;GO:0004650;GO:0005975;GO:0016829;GO:0071555	Pectin lyase-like superfamily protein (Putative polygalacturonase)
XP_013583266.1	255	AT3G18165.1	AT3G18165.1	orthologue	GO:0042742;GO:0071013;GO:0005634;GO:0050832;GO:0005515;GO:0005730;GO:0000974;GO:0005829;GO:0005681;GO:0006397;GO:0008380;GO:0045087;GO:0071011	Pre-mRNA-splicing factor SPF27 homolog (Modifier of SNC1 member 4) (Protein BCAS2 homolog)
XP_013583267.1	156					
XP_013583268.1	246				GO:0000786;GO:0003677;GO:0006334;GO:0003690;GO:0005634;GO:0005730;GO:0030261;GO:0031492;GO:0045910	
XP_013583269.1	374				GO:0000786;GO:0003677;GO:0006334;GO:0003690;GO:0005634;GO:0005730;GO:0030261;GO:0031492;GO:0045910	
XP_013583270.1	158				GO:0003676;GO:0004523	
XP_013583271.1	159	AT4G17960.1	AT4G17960.1	orthologue	GO:0008150;GO:0005737;GO:0003674;GO:0004601	Phospholipid hydroperoxide glutathione peroxidase
XP_013583272.1	181					
XP_013583273.1	502				GO:0000786;GO:0003677;GO:0006334;GO:0003690;GO:0005634;GO:0005730;GO:0030261;GO:0031492;GO:0045910	
XP_013583274.1	378	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT3G51700.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964;GO:0003824	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_013583275.1	726				GO:0008270	
XP_013583276.1	118	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964	Non-LTR retroelement reverse transcriptase
XP_013583277.1	1643	AT1G40390.1, AT1G43760.1	AT1G43760.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634;;GO:0003676;GO:0008270;GO:0003824	DNAse I-like superfamily protein
XP_013583278.1	162				GO:0004842	
XP_013583279.1	261	AT4G28180.1	AT4G28180.1	orthologue	GO:0005634;GO:0003674	At4g28180
XP_013583280.1	718					
XP_013583281.1	136	AT1G68960.1, AT5G03390.1	AT5G03390.1	other	GO:0003674;GO:0005739;GO:0008150;GO:0009507	At5g03390;KIB1-4 beta-propeller domain-containing protein;Uncharacterized protein T6L1.14
XP_013583282.1	226	AT1G34070.1	AT1G34070.1	orthologue	GO:0008150;GO:0003674;GO:0005575	Copia-like polyprotein/retrotransposon (F12G12.10 protein)
XP_013583283.1	525				GO:0005777;GO:0010468	
XP_013583284.1	484	AT3G17750.1	AT3G17750.1	orthologue	GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0005737	AT3g17750/MIG5_4 (Protein kinase superfamily protein)
XP_013583285.1	547					
XP_013583286.1	604	AT3G47040.2	AT3G47040.2	orthologue	GO:0005634;GO:0009251;GO:0005975;GO:0008422;GO:0005737;GO:0004553	Beta-D-glucan exohydrolase-like protein (Glycosyl hydrolase family protein);Glycosyl hydrolase family protein
XP_013583287.1	805	AT3G30730.2	AT3G30730.2	other	GO:0005575;GO:0003674;;GO:0000723;GO:0003678;GO:0006281	Uncharacterized protein
XP_013583288.1	557					
XP_013583289.1	158				GO:0003676;GO:0004523	
XP_013583290.1	494	AT4G33060.1	AT4G33060.1	orthologue	GO:0006457;GO:0071013;GO:0005634;GO:0003755;GO:0009506;GO:0005737;GO:0000413	Peptidyl-prolyl cis-trans isomerase CYP57 (PPIase CYP57) (EC 5.2.1.8) (Cyclophilin of 57 kDa) (Cyclophilin-57)
XP_013583291.1	226	AT3G10080.2	AT3G10080.2	orthologue	GO:0008150;GO:0030145;GO:0005576;GO:0009506;GO:0010497;GO:0048046;GO:2000280	Germin-like protein;Germin-like protein subfamily 3 member 2
XP_013583292.1	917				GO:0006508;GO:0008234	
XP_013583293.1	123	AT2G06265.1, AT2G07505.1	AT2G07505.1	other	GO:0005575;GO:0008150;GO:0008270;GO:0005634	Zinc ion binding protein;Zinc ion-binding protein
XP_013583294.1	187	AT3G17460.1	AT3G17460.1	orthologue	GO:0008150;GO:0005634;GO:0003674	PHD finger family protein
XP_013583295.1	393	AT3G17430.1	AT3G17430.1	orthologue	GO:0055085;GO:0005794;GO:0005886;GO:0015297;GO:0008514;GO:0016020	Probable sugar phosphate/phosphate translocator At3g17430
XP_013583296.1	252	AT5G41220.1	AT5G41220.1	other	GO:0009407;GO:0005737;GO:0009536;GO:0004364;GO:0005634	Glutathione S-transferase T3 (AtGSTT3) (EC 2.5.1.18) (GST class-theta member 3) (Glutathione S-transferase 10C);glutathione transferase (EC 2.5.1.18)
XP_013583297.1	241				GO:0003677;GO:0046983	
XP_013583298.1	527					
XP_013583299.1	990	AT2G12880.1	AT2G12880.1	orthologue	GO:0003676;GO:0008270;GO:0005634;GO:0008150;GO:0015074	Putative CCHC-type zinc finger protein (Zinc knuckle (CCHC-type) family protein)
XP_013583300.1	112	AT3G17240.1	AT3G17240.1	other	GO:0005739;GO:0006090;GO:0005524;GO:0050660;GO:0008270;GO:0050897;GO:0045252;GO:0006103;GO:0004148;GO:0045271;GO:0005829;GO:0005507;GO:0005759	Dihydrolipoyl dehydrogenase 2, mitochondrial (AtmLPD2) (mtLPD2) (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase 2) (Glycine cleavage system L protein 2) (Pyruvate dehydrogenase complex E3 subunit 2) (E3-2) (PDC-E3 2)
XP_013583301.1	190	AT3G17227.1, AT3G17230.1, AT3G17225.1, AT2G15345.1	AT3G17227.1	other	GO:0009505;GO:0004857;GO:0009827;GO:0009507;GO:0043086;GO:0046910;GO:0005576;GO:0008150	At2g15345 (Plant invertase/pectin methylesterase inhibitor superfamily protein);Plant invertase/pectin methylesterase inhibitor superfamily protein
XP_013583302.1	447	AT5G47980.1	AT5G47980.1	orthologue	GO:0003674;GO:0009507;GO:0016746	BAHD acyltransferase At5g47980 (EC 2.3.1.-)
XP_013583303.1	283					
XP_013583304.1	440					
XP_013583305.1	132	AT3G17160.1	AT3G17160.1	orthologue	GO:0005634;GO:0003674	At3g17160
XP_013583306.1	352	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_013583307.1	202	AT5G40595.1	AT5G40595.1	other	GO:0005739;GO:0003674;GO:0008150	DUF4283 domain-containing protein
XP_013583308.1	189	ATMG00820.1	ATMG00820.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005739	Uncharacterized mitochondrial protein AtMg00820 (ORF170)
XP_013583309.1	305	AT4G39410.1	AT4G39410.1	orthologue	GO:0003700;GO:1901141;GO:1990170;GO:0000976;GO:0000978;GO:0045893;GO:0005515;GO:0005634;GO:1904369;GO:0006355;GO:0043565	Probable WRKY transcription factor 13 (WRKY DNA-binding protein 13)
XP_013583310.1	283	AT3G18120.1	AT3G18120.1	orthologue	GO:0009507;GO:0008150;GO:0003674;;GO:0005515	F-box associated ubiquitination effector family protein (F-box family protein-related)
XP_013583311.1	529				GO:0003677	
XP_013583312.1	334	AT3G16920.2	AT3G16920.2	orthologue	GO:0005576;GO:0006032;GO:0016998;GO:0009809;GO:0004568;GO:0005886;GO:0005975	Chitinase-like protein;Chitinase-like protein 2 (AtCTL2)
XP_013583313.1	221	AT3G18120.1	AT3G18120.1	orthologue	GO:0009507;GO:0008150;GO:0003674	F-box associated ubiquitination effector family protein (F-box family protein-related)
XP_013583315.1	229	AT3G16780.1	AT3G16780.1	orthologue	GO:0005829;GO:0005737;GO:0003729;GO:0022625;GO:0003735;GO:0003723;GO:0006412;GO:0005840	Large ribosomal subunit protein eL19z (60S ribosomal protein L19-2)
XP_013583316.1	339	AT1G77390.1	AT1G77390.1	other	GO:0051445;GO:0007140;GO:0016538;GO:0007135;GO:0005634;GO:0005737;GO:0009556;GO:0044772;GO:0005515;GO:0000082;GO:0000307;GO:0051301	Cyclin-A1-2 (G2/mitotic-specific cyclin-A1-2) (CycA1;2) (Protein TARDY ASYNCHRONOUS MEIOSIS)
XP_013583317.1	388	AT1G32430.1, AT1G47390.1, AT2G14710.1, AT3G16580.1	AT2G14710.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005773;GO:0005634;GO:0009804;GO:0010446;GO:0034758;GO:1990641;GO:0005515	At1g47390;F-box protein At2g14710;F-box/kelch-repeat protein At3g16580;Putative F-box protein At1g47390;Putative F-box/kelch-repeat protein At1g32430
XP_013583319.1	148					
XP_013583320.1	911				GO:0030246	
XP_013583321.1	270					
XP_013583322.1	316				GO:0008270	
XP_013583323.1	346					
XP_013583324.1	116	AT3G45230.1	AT3G45230.1	other	GO:0009505;GO:0003674;GO:0016020	Hydroxyproline-rich glycoprotein family protein (Serine/proline-rich)
XP_013583325.1	146	AT4G03740.1	AT4G03740.1	orthologue	GO:0005739;GO:0003674;GO:0008150	Uncharacterized protein AT4g03740 (Uncharacterized protein T5L23.25)
XP_013583326.1	173					
XP_013583327.1	290	ATMG00240.1	ATMG00240.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005739	Uncharacterized mitochondrial protein AtMg00240 (ORF111a)
XP_013583328.1	301					
XP_013583329.1	211					
XP_013583330.1	307					
XP_013583331.1	854	AT3G16030.6	AT3G16030.6	other	GO:0045087;GO:0009507;GO:0004674;GO:0005516;GO:0009620;GO:0004672;GO:0005634;GO:0005524;GO:0007165;GO:0005886;GO:0030246;GO:0106310;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase CES101 (EC 2.7.11.1) (Protein CALLUS EXPRESSION OF RBCS 101);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_013583332.1	148	AT4G29020.1	AT4G29020.1	orthologue	GO:0003674;GO:0005575	Glycine-rich protein;Glycine-rich protein (Putative glycine-rich protein)
XP_013583333.1	298				GO:0003676	
XP_013583334.1	166	AT3G15860.1	AT3G15860.1	orthologue	GO:0003674;GO:0005739;GO:0008150	Plant self-incompatibility protein S1 family protein
XP_013583335.1	400	AT3G15800.1	AT3G15800.1	orthologue	GO:0005576;GO:0016020;GO:0005975;GO:0005886;GO:0042973;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
XP_013583336.1	407	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT2G14710.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964;GO:0003824	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_013583337.1	301	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
XP_013583338.1	205	AT3G15490.1	AT3G15490.1	orthologue	GO:0015031;GO:0005739;GO:0003674;GO:0008104	Regulator of Vps4 activity in the MVB pathway protein
XP_013583339.1	225	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_013583340.1	202	AT4G17810.1	AT4G17810.1	orthologue	GO:0006355;GO:1902890;GO:0000987;GO:0048766;GO:0005634;GO:0043565;GO:0003700;GO:0008270	At4g17810 (C2H2 and C2HC zinc fingers superfamily protein);C2H2 and C2HC zinc fingers superfamily protein
XP_013583341.1	454					
XP_013583342.1	509					
XP_013583343.1	434	AT3G31925.1	AT3G31925.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0003677	Replication protein A 70 kDa DNA-binding subunit B-like protein
XP_013583344.1	306	AT3G14850.2	AT3G14850.2	orthologue	GO:0005794;GO:0009507;GO:0005576;GO:0016413;GO:0016020;GO:0016740	Protein trichome birefringence-like 41
XP_013583346.1	422	AT3G14840.2	AT3G14840.2	other	GO:0005886;GO:0045088;GO:0006468;GO:0004674;GO:0004672;GO:0005515;GO:0044024;GO:0005576;GO:0009861;GO:0005829;GO:0009506;GO:0005524;GO:0106310;GO:0016740	Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840 (EC 2.7.11.1)
XP_013583347.1	577					
XP_013583348.1	388					
XP_013583349.1	545					
XP_013583350.1	165	AT3G14690.2, AT3G14650.1, AT3G14660.1, AT3G14640.2, AT3G14680.1	AT3G14690.2	other	GO:0005506;GO:0016705;GO:0004497;GO:0005575;GO:0020037;GO:0005829;GO:0009507;GO:0008150;GO:0005739;GO:0016020	Cytochrome P450 72A11 (EC 1.14.-.-);Cytochrome P450 72A13 (EC 1.14.-.-);Cytochrome P450 72A14 (EC 1.14.-.-);Cytochrome P450 72A15 (EC 1.14.-.-);Cytochrome P450, family 72, subfamily A, polypeptide 10;Cytochrome P450, family 72, subfamily A, polypeptide 13;Cytochrome P450, family 72, subfamily A, polypeptide 15
XP_013583351.1	518	AT3G05990.1	AT3G05990.1	orthologue	GO:0009507;GO:0007165;GO:0003674;GO:0016020;GO:0005515	At3g05990 (F2O10.5 protein) (Leucine-rich repeat (LRR) family protein)
XP_013583352.1	448	AT1G24650.1	AT1G24650.1	other	GO:0004674;GO:0005515;GO:0008150;GO:0005575;GO:0005524;GO:0016020;GO:0106310	Receptor-like kinase TMK2 (EC 2.7.11.1) (BARK1-like kinase 3) (Leucine-rich repeat receptor-like kinases TMK2) (Transmembrane kinase 2)
XP_013583353.1	689				GO:0003676;GO:0008270	
XP_013583354.1	164	AT3G14480.1	AT3G14480.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0016020	Glycine/proline-rich protein
XP_013583355.1	156	AT4G09490.1	AT4G09490.1	other	GO:0004523;GO:0003676;GO:0008150;GO:0005575;GO:0016740	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
XP_013583356.1	350	AT4G36930.1	AT4G36930.1	orthologue	GO:0005515;GO:0003700;GO:0048440;GO:0000976;GO:0009908;GO:0007623;GO:0010154;GO:0005634;GO:0042802;GO:0010187;GO:0010114;GO:0046983;GO:0009409	Transcription factor SPATULA (Basic helix-loop-helix protein 24) (AtbHLH24) (bHLH 24) (Transcription factor EN 99) (bHLH transcription factor bHLH024)
XP_013583357.1	316				GO:0003676	
XP_013583358.1	797	AT1G40390.1, AT1G43760.1	AT1G43760.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634;;GO:0003676;GO:0008270;GO:0003824	DNAse I-like superfamily protein
XP_013583359.1	604					
XP_013583360.1	820				GO:0003676;GO:0004523	
XP_013583362.1	263	AT3G30730.2	AT3G30730.2	orthologue	GO:0005575;GO:0003674;;GO:0000724;GO:0003684;GO:0005662;GO:0006289;GO:0007004;GO:0043047;GO:0051321	Uncharacterized protein
XP_013583363.1	249	AT4G29090.1	AT4G29090.1	other	GO:0004523;GO:0003676;GO:0009507;GO:0008150;GO:0003964	Putative reverse transcriptase/RNA-dependent DNA polymerase (Ribonuclease H-like superfamily protein)
XP_013583364.1	126					
XP_013583365.1	583	AT4G36050.2	AT4G36050.2	orthologue	GO:0005634;GO:0008270;GO:0008311;GO:0006281;GO:0008081;GO:0003906;GO:0006284;GO:0046403;GO:0004527;GO:0005576;GO:0004519;GO:0003824;GO:0003677;GO:0004518	DNA-(apurinic or apyrimidinic site) endonuclease 2;DNA-(apurinic or apyrimidinic site) endonuclease 2 (EC 3.1.-.-) (Apurinic-apyrimidinic endonuclease 2)
XP_013583366.1	169					
XP_013583367.1	416	AT3G14150.1, AT3G14130.1	AT3G14150.1	orthologue	GO:0042742;GO:0050665;GO:0009507;GO:0003973;GO:0010181;GO:0005777;GO:0006631;GO:0005737;GO:0016491	(S)-2-hydroxy-acid oxidase (EC 1.1.3.15);Peroxisomal (S)-2-hydroxyacid oxidase GLO3 (EC 1.1.3.15) (Glycolate oxidase 3) (AtGLO3) (GOX 3) (Short chain alpha-hydroxy acid oxidase GLO3) (lHAOX2);Peroxisomal (S)-2-hydroxyacid oxidase GLO4 (EC 1.1.3.15) (Glycolate oxidase 4) (AtGLO4) (GOX 4) (lHAOX1)
XP_013583368.1	284					
XP_013583369.1	201					
XP_013583370.1	308	AT3G13890.1	AT3G13890.1	orthologue	GO:0005634;GO:0006355;GO:0009901;GO:0009834;GO:0000976;GO:0003700;GO:0003677	Transcription factor MYB26 (Myb-related protein 26) (AtMYB26) (Protein MALE STERILE 35)
XP_013583371.1	819				GO:0000723;GO:0003678;GO:0006281	
XP_013583372.1	244	AT3G14770.1	AT3G14770.1	orthologue	GO:0016020;GO:0051119;GO:0005886;GO:0005515;GO:0008643	Bidirectional sugar transporter SWEET2 (AtSWEET2) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 2)
XP_013583373.1	146	AT1G80360.1	AT1G80360.1	other	GO:0006520;GO:0005737;GO:0005739;GO:0009851;GO:0030170;GO:0008483;GO:0009641;GO:1901997;GO:0010366;GO:0050362;GO:0005829;GO:0004838;GO:0006555;GO:0010326;GO:0006569;GO:0009693;GO:0009698;GO:0009058;GO:0003824	Aromatic aminotransferase ISS1 (EC 2.6.1.27) (EC 2.6.1.5) (EC 2.6.1.88) (Methionine aminotransferase ISS1) (Phenylalanine aminotransferase ISS1) (Protein INDOLE SEVERE SENSITIVE 1) (Protein REVERSAL OF SAV3 PHENOTYPE 1) (Tryptophan aminotransferase ISS1) (Tyrosine aminotransferase ISS1)
XP_013583374.1	141	AT3G13610.1	AT3G13610.1	other	GO:0010421;GO:0010447;GO:0010494;GO:1990641;GO:0009805;GO:0009699;GO:0005737;GO:0051213;GO:0046872	Feruloyl CoA ortho-hydroxylase 1 (EC 1.14.11.61)
XP_013583375.1	587	ATMG01250.1	ATMG01250.1	orthologue	GO:0005739;GO:0003674;GO:0008150;GO:0003676;GO:0004523	Uncharacterized mitochondrial protein AtMg01250 (ORF102)
XP_013583376.1	461					
XP_013583378.1	366					
XP_013583379.1	256	AT1G34070.1	AT1G34070.1	orthologue	GO:0008150;GO:0003674;GO:0005575	Copia-like polyprotein/retrotransposon (F12G12.10 protein)
XP_013583380.1	608	AT5G41680.1	AT5G41680.1	orthologue	GO:0005739;GO:0016310;GO:0004672;GO:0005524;GO:0006468;GO:0008270	Probably inactive receptor-like protein kinase At5g41680
XP_013583381.1	894				GO:0015074;GO:0003676;GO:0008270	
XP_013583382.1	252				GO:0009134;GO:0016020;GO:0016787;GO:0017110	
XP_013583383.1	167	AT3G14760.1	AT3G14760.1	orthologue	GO:0003674;GO:0005575;GO:0016020	Transmembrane protein
XP_013583384.1	184	AT3G13140.1	AT3G13140.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Hydroxyproline-rich glycoprotein family protein
XP_013583385.1	281					
XP_013583386.1	195	AT3G12860.1	AT3G12860.1	other	GO:0030515;GO:0031428;GO:0032040;GO:0005634;GO:0008150;GO:0005730;GO:0042254	Nucleolar protein 56
XP_013583387.1	138					
XP_013583388.1	410	AT3G60980.1	AT3G60980.1	other	GO:0003674;GO:0006979;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At3g60980, mitochondrial
XP_013583389.1	108	AT1G76490.1	AT1G76490.1	other	GO:0005778;GO:0005789;GO:0016126;GO:0004420;GO:0008299;GO:0019287;GO:0005515;GO:0015936;GO:0005783;GO:0016020;GO:0016616	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (AtHMGR1) (HMG-CoA reductase 1) (EC 1.1.1.34)
XP_013583390.1	512					
XP_013583391.1	186	AT4G37450.2, AT2G23130.1	AT2G23130.1	other	GO:0003674;GO:0005886;GO:0010306;GO:0016020;GO:0009554;GO:0098552	Arabinogalactan protein 17;Arabinogalactan protein 18;Lysine-rich arabinogalactan protein 17 (Lys-rich AGP 17);Lysine-rich arabinogalactan protein 18 (Lys-rich AGP 18)
XP_013583392.1	222	AT3G12400.2	AT3G12400.2	other	GO:0043130;GO:0010091;GO:0005515;GO:0005634;GO:0036211;GO:0005770;GO:0032991;GO:0000813;GO:0005769;GO:0008333;GO:0051301;GO:0015031;GO:0005768	Protein ELC (AtELC) (ESCRT-I complex subunit VPS23 homolog 1) (Protein VACUOLAR PROTEIN SORTING 23A) (Vacuolar protein-sorting-associated protein 23 homolog 1);Ubiquitin-conjugating enzyme/RWD-like protein
XP_013583393.1	295	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_013583394.1	208	AT5G04390.1	AT5G04390.1	other	GO:0005634;GO:0000976;GO:0008270	C2H2-type zinc finger family protein (Putative zinc finger transcription factor)
XP_013583395.1	166	AT5G16710.1	AT5G16710.1	other	GO:0033355;GO:0098869;GO:0140547;GO:0009570;GO:0004364;GO:0019852;GO:0010731;GO:0009507;GO:0009941;GO:0045174;GO:0009536	Glutathione S-transferase DHAR3, chloroplastic (EC 2.5.1.18) (Chloride intracellular channel homolog 3) (CLIC homolog 3) (Glutathione-dependent dehydroascorbate reductase 3) (AtDHAR3) (ChlDHAR) (GSH-dependent dehydroascorbate reductase 3) (EC 1.8.5.1)
XP_013583396.1	702	AT3G12010.1	AT3G12010.1	orthologue	GO:0010506;GO:0003674;GO:0031902;GO:0035658;GO:0005765	C18orf8
XP_013583397.1	177	AT4G13263.1, AT4G13261.1, AT5G35405.1, AT2G04041.1, AT2G04031.1, AT2G04037.1, AT1G47470.1, AT1G47450.1, AT3G11990.1, AT1G45190.1	AT1G47470.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005576	Downregulated in DIF1 18 (F27F5.27);ECA1 gametogenesis family protein (DUF784);ECA1 gametogenesis family protein (DUF784) (Genomic DNA, chromosome 5, BAC clone:F6I13);Prolamin-like protein (DUF784)
XP_013583398.1	258	AT3G49360.1	AT3G49360.1	orthologue	GO:0006098;GO:0005829;GO:0005737;GO:0005975;GO:0009051;GO:0017057;GO:0000325	Probable 6-phosphogluconolactonase 2 (6PGL2) (EC 3.1.1.31)
XP_013583399.1	165	AT4G13263.1, AT4G13261.1, AT5G35405.1, AT2G04041.1, AT2G04031.1, AT2G04037.1, AT1G47470.1, AT1G47450.1, AT3G11990.1, AT1G45190.1	AT1G45190.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005576	Downregulated in DIF1 18 (F27F5.27);ECA1 gametogenesis family protein (DUF784);ECA1 gametogenesis family protein (DUF784) (Genomic DNA, chromosome 5, BAC clone:F6I13);Prolamin-like protein (DUF784)
XP_013583400.1	165	AT4G13263.1, AT4G13261.1, AT5G35405.1, AT2G04041.1, AT2G04031.1, AT2G04037.1, AT1G47470.1, AT1G47450.1, AT3G11990.1, AT1G45190.1	AT1G45190.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005576	Downregulated in DIF1 18 (F27F5.27);ECA1 gametogenesis family protein (DUF784);ECA1 gametogenesis family protein (DUF784) (Genomic DNA, chromosome 5, BAC clone:F6I13);Prolamin-like protein (DUF784)
